Alright	RB	alright
level	NN	level
in	IN	in
our	PP$	our
bodies	NNS	body
translate	VBP	translate
across	IN	across
scales	NNS	scale
to	TO	to
have	VB	have
impacts	NNS	impact
on	IN	on
us	PP	us
at	IN	at
the	DT	the
system	NN	system
level	NN	level
,	,	,
at	IN	at
the	DT	the
human	JJ	human
level	NN	level
.	SENT	.
And	CC	and
computational	JJ	computational
models	NNS	model
that	WDT	that
resolve	VB	resolve
all	DT	all
of	IN	of
these	DT	these
scales	NNS	scale
,	,	,
from	IN	from
the	DT	the
microscale	NN	microscale
all	RB	all
the	DT	the
way	NN	way
up	RB	up
to	TO	to
the	DT	the
system	NN	system
level	NN	level
,	,	,
are	VBP	be
computationally	RB	computationally
intractable	JJ	intractable
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
solve	VB	solve
them	PP	them
even	RB	even
with	IN	with
today	NN	today
'	POS	'
s	JJ	<unknown>
supercomputing	NN	supercomputing
power	NN	power
.	SENT	.
But	CC	but
then	RB	then
you	PP	you
might	MD	might
say	VB	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
well	RB	well
what	WP	what
about	IN	about
the	DT	the
data	NNS	datum
?	SENT	?
You	PP	you
said	VBD	say
we	PP	we
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
data	NNS	datum
.	SENT	.
Can	MD	can
we	PP	we
not	RB	not
just	RB	just
learn	VB	learn
digital	JJ	digital
twins	NNS	twin
from	IN	from
data	NNS	datum
?	SENT	?
"	''	"
So	CC	so
yes	UH	yes
,	,	,
we	PP	we
live	VBP	live
in	IN	in
an	DT	an
era	NN	era
of	IN	of
big	JJ	big
data	NNS	datum
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
data	NNS	datum
often	RB	often
for	IN	for
our	PP$	our
systems	NNS	system
.	SENT	.
But	CC	but
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
these	DT	these
very	RB	very
challenging	JJ	challenging
,	,	,
complex	JJ	complex
systems	NNS	system
in	IN	in
engineering	NN	engineering
,	,	,
in	IN	in
science	NN	science
and	CC	and
in	IN	in
medicine	NN	medicine
,	,	,
the	DT	the
data	NNS	datum
by	IN	by
themselves	PP	themselves
are	VBP	be
almost	RB	almost
never	RB	never
enough	JJ	enough
.	SENT	.
The	DT	the
data	NNS	datum
are	VBP	be
almost	RB	almost
always	RB	always
very	RB	very
sparse	JJ	sparse
in	IN	in
both	DT	both
space	NN	space
and	CC	and
in	IN	in
time	NN	time
.	SENT	.
The	DT	the
data	NNS	datum
are	VBP	be
almost	RB	almost
always	RB	always
noisy	JJ	noisy
and	CC	and
they	PP	they
'	POS	'
re	NN	re
indirect	JJ	indirect
.	SENT	.
As	IN	as
an	DT	an
engineer	NN	engineer
,	,	,
I	PP	I
can	MD	can
almost	RB	almost
never	RB	never
measure	VB	measure
what	WP	what
it	PP	it
is	VBZ	be
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
If	IN	if
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
about	IN	about
the	DT	the
health	NN	health
on	IN	on
the	DT	the
structure	NN	structure
inside	IN	inside
my	PP$	my
aircraft	NN	aircraft
wing	NN	wing
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
just	RB	just
break	VB	break
it	PP	it
open	VB	open
and	CC	and
take	VB	take
a	DT	a
look	NN	look
.	SENT	.
I	PP	I
am	VBP	be
limited	VBN	limit
to	TO	to
those	DT	those
few	JJ	few
sensors	NNS	sensor
that	WDT	that
are	VBP	be
on	IN	on
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
wing	NN	wing
,	,	,
taking	VBG	take
those	DT	those
measurements	NNS	measurement
and	CC	and
then	RB	then
trying	VBG	try
to	TO	to
guess	VB	guess
.	SENT	.
More	JJR	more
than	IN	than
guess	NN	guess
,	,	,
trying	VBG	try
to	TO	to
infer	VB	infer
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
inside	IN	inside
the	DT	the
wing	NN	wing
.	SENT	.
The	DT	the
same	JJ	same
is	VBZ	be
true	JJ	true
in	IN	in
medicine	NN	medicine
.	SENT	.
A	DT	a
medical	JJ	medical
practitioner	NN	practitioner
can	NN	can
'	POS	'
t	NN	t
open	JJ	open
somebody	NN	somebody
up	RB	up
to	TO	to
take	VB	take
a	DT	a
look	NN	look
at	IN	at
an	DT	an
organ	NN	organ
.	SENT	.
Again	RB	again
,	,	,
we	PP	we
are	VBP	be
limited	VBN	limit
to	TO	to
sparse	JJ	sparse
,	,	,
noisy	JJ	noisy
and	CC	and
indirect	JJ	indirect
observations	NNS	observation
taken	VBN	take
from	IN	from
the	DT	the
outside	NN	outside
to	TO	to
try	VB	try
to	TO	to
infer	VB	infer
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
So	RB	so
then	RB	then
you	PP	you
might	MD	might
say	VB	say
,	,	,
"	``	"
Well	UH	well
,	,	,
we	PP	we
just	RB	just
have	VB	have
to	TO	to
wait	VB	wait
a	DT	a
few	JJ	few
years	NNS	year
because	IN	because
sensing	VBG	sense
technology	NN	technology
will	MD	will
get	VB	get
better	JJR	good
and	CC	and
better	JJR	good
and	CC	and
better	JJR	good
.	SENT	.
"	''	"
And	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
Maybe	RB	maybe
,	,	,
maybe	RB	maybe
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
enough	JJ	enough
data	NNS	datum
to	TO	to
really	RB	really
be	VB	be
able	JJ	able
to	TO	to
characterize	VB	characterize
what	WP	what
is	VBZ	be
going	VBG	go
on	IN	on
inside	IN	inside
these	DT	these
very	RB	very
complex	JJ	complex
systems	NNS	system
.	SENT	.
But	CC	but
even	RB	even
that	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
enough	RB	enough
,	,	,
because	IN	because
all	DT	all
that	WDT	that
would	MD	would
tell	VB	tell
us	PP	us
is	VBZ	be
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
.	SENT	.
And	CC	and
remember	VB	remember
,	,	,
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
predict	VB	predict
what	WP	what
might	MD	might
happen	VB	happen
in	IN	in
the	DT	the
future	NN	future
if	IN	if
we	PP	we
take	VBP	take
different	JJ	different
actions	NNS	action
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
always	RB	always
going	VBG	go
to	TO	to
need	VB	need
the	DT	the
models	NNS	model
.	SENT	.
So	IN	so
this	DT	this
sounds	NNS	sound
like	IN	like
a	DT	a
huge	JJ	huge
challenge	NN	challenge
,	,	,
and	CC	and
indeed	RB	indeed
it	PP	it
is	VBZ	be
.	SENT	.
But	CC	but
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
hope	NN	hope
for	IN	for
addressing	VBG	address
this	DT	this
challenge	NN	challenge
.	SENT	.
And	CC	and
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
this	DT	this
hope	NN	hope
rests	VBZ	rest
on	IN	on
this	DT	this
notion	NN	notion
of	IN	of
predictive	JJ	predictive
physics-based	JJ	<unknown>
models	NNS	model
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
models	NNS	model
that	WDT	that
encode	VBP	encode
the	DT	the
governing	VBG	govern
laws	NNS	law
of	IN	of
nature	NN	nature
that	WDT	that
let	VBD	let
us	PP	us
make	VB	make
predictions	NNS	prediction
--	:	--
predict	VB	predict
how	WRB	how
a	DT	a
cancer	NN	cancer
tumor	NN	tumor
might	MD	might
grow	VB	grow
or	CC	or
how	WRB	how
a	DT	a
cancer	NN	cancer
tumor	NN	tumor
might	MD	might
respond	VB	respond
to	TO	to
radiotherapy	NN	radiotherapy
treatment	NN	treatment
,	,	,
or	CC	or
predict	VB	predict
how	WRB	how
an	DT	an
Antarctic	JJ	Antarctic
ice	NN	ice
sheet	NN	sheet
might	MD	might
flow	VB	flow
under	IN	under
different	JJ	different
future	JJ	future
temperature	NN	temperature
scenarios	NNS	scenario
.	SENT	.
And	CC	and
bringing	VBG	bring
these	DT	these
predictive	JJ	predictive
physics-based	JJ	<unknown>
models	NNS	model
together	RB	together
with	IN	with
powerful	JJ	powerful
machine	NN	machine
learning	NN	learning
,	,	,
with	IN	with
scalable	JJ	scalable
methods	NNS	method
and	CC	and
data	NNS	datum
simulation	NN	simulation
and	CC	and
optimization	NN	optimization
and	CC	and
decision	NN	decision
making	NN	making
,	,	,
and	CC	and
with	IN	with
high	JJ	high
performance	NN	performance
computing	NN	computing
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
realm	NN	realm
of	IN	of
the	DT	the
interdisciplinary	JJ	interdisciplinary
field	NN	field
of	IN	of
computational	JJ	computational
science	NN	science
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
focus	NN	focus
of	IN	of
the	DT	the
Oden	NP	Oden
Institute	NP	Institute
here	RB	here
at	IN	at
UT	NP	UT
Austin	NP	Austin
,	,	,
where	WRB	where
we	PP	we
bring	VBP	bring
together	RB	together
faculty	NN	faculty
from	IN	from
24	CD	@card@
different	JJ	different
departments	NNS	department
across	IN	across
campus	NN	campus
to	TO	to
tackle	VB	tackle
these	DT	these
kinds	NNS	kind
of	IN	of
challenging	JJ	challenging
problems	NNS	problem
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
close	VB	close
by	IN	by
provoking	VBG	provoke
your	PP$	your
imagination	NN	imagination
and	CC	and
I	PP	I
hope	VBP	hope
you	PP	you
'	''	'
re	IN	re
excited	VBN	excite
,	,	,
like	IN	like
I	PP	I
am	VBP	be
,	,	,
about	IN	about
the	DT	the
idea	NN	idea
of	IN	of
a	DT	a
digital	JJ	digital
twin	NN	twin
.	SENT	.
And	CC	and
maybe	RB	maybe
as	IN	as
you	PP	you
go	VBP	go
home	NN	home
,	,	,
you	PP	you
can	MD	can
look	VB	look
around	RP	around
and	CC	and
think	VB	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
what	WP	what
if	IN	if
we	PP	we
had	VBD	have
a	DT	a
digital	JJ	digital
twin	NN	twin
of	IN	of
that	DT	that
?	SENT	?
"	''	"
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
some	DT	some
examples	NNS	example
of	IN	of
some	DT	some
of	IN	of
the	DT	the
really	RB	really
exciting	JJ	exciting
areas	NNS	area
where	WRB	where
digital	JJ	digital
twins	NNS	twin
could	MD	could
make	VB	make
a	DT	a
difference	NN	difference
in	IN	in
tackling	VBG	tackle
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
problems	NNS	problem
facing	VBG	face
society	NN	society
.	SENT	.
And	CC	and
as	IN	as
I	PP	I
go	VBP	go
through	IN	through
this	DT	this
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
also	RB	also
see	VBP	see
some	DT	some
of	IN	of
the	DT	the
really	RB	really
exciting	JJ	exciting
research	NN	research
that	IN	that
we	PP	we
have	VB	have
going	VBG	go
on	IN	on
here	RB	here
at	IN	at
UT	NP	UT
Austin	NP	Austin
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
area	NN	area
is	VBZ	be
space	NN	space
systems	NNS	system
.	SENT	.
You	PP	you
probably	RB	probably
all	RB	all
know	VB	know
,	,	,
we	PP	we
are	VBP	be
at	IN	at
the	DT	the
dawn	NN	dawn
of	IN	of
a	DT	a
new	JJ	new
space	NN	space
era	NN	era
.	SENT	.
It	PP	it
is	VBZ	be
so	RB	so
exciting	JJ	exciting
and	CC	and
it	PP	it
'	POS	'
s	NN	S
so	RB	so
exciting	JJ	exciting
for	IN	for
our	PP$	our
students	NNS	student
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
even	RB	even
more	RBR	more
exciting	JJ	exciting
is	VBZ	be
that	IN	that
central	JJ	central
Texas	NP	Texas
is	VBZ	be
right	RB	right
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
that	DT	that
new	JJ	new
era	NN	era
.	SENT	.
So	IN	so
digital	JJ	digital
twins	NNS	twin
clearly	RB	clearly
have	VBP	have
a	DT	a
role	NN	role
to	TO	to
play	VB	play
in	IN	in
managing	VBG	manage
the	DT	the
health	NN	health
and	CC	and
the	DT	the
operations	NNS	operation
of	IN	of
space	NN	space
systems	NNS	system
,	,	,
of	IN	of
launch	NN	launch
vehicles	NNS	vehicle
,	,	,
of	IN	of
satellites	NNS	satellite
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
here	RB	here
,	,	,
this	DT	this
is	VBZ	be
some	DT	some
of	IN	of
the	DT	the
work	NN	work
that	IN	that
I	NP	I
'	POS	'
m	NN	m
doing	VBG	do
together	RB	together
with	IN	with
my	PP$	my
colleagues	NNS	colleague
from	IN	from
the	DT	the
Cockrell	NP	Cockrell
School	NP	School
,	,	,
Renato	NP	Renato
Zanetti	NP	Zanetti
and	CC	and
Srinivas	NP	Srinivas
Bettadpur	NP	<unknown>
.	SENT	.
Digital	NP	Digital
twins	VBZ	twin
also	RB	also
have	VB	have
a	DT	a
big	JJ	big
role	NN	role
to	TO	to
play	VB	play
in	IN	in
tracking	VBG	track
and	CC	and
managing	VBG	manage
space	NN	space
objects	NNS	object
and	CC	and
space	NN	space
debris	NN	debris
.	SENT	.
And	CC	and
here	RB	here
at	IN	at
UT	NP	UT
Austin	NP	Austin
,	,	,
we	PP	we
have	VBP	have
one	CD	one
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NNS	<unknown>
leading	VBG	lead
experts	NNS	expert
in	IN	in
this	DT	this
area	NN	area
,	,	,
that	WDT	that
'	POS	'
s	NN	S
Moriba	NP	<unknown>
Jah	NP	Jah
.	SENT	.
Moriba	NP	<unknown>
is	VBZ	be
building	VBG	build
digital	JJ	digital
twins	NNS	twin
for	IN	for
space	NN	space
domain	NN	domain
awareness	NN	awareness
.	SENT	.
If	IN	if
we	PP	we
think	VBP	think
about	IN	about
the	DT	the
environment	NN	environment
and	CC	and
geosciences	NNS	geoscience
,	,	,
again	RB	again
,	,	,
digital	JJ	digital
twins	NNS	twin
could	MD	could
play	VB	play
such	PDT	such
a	DT	a
role	NN	role
here	RB	here
.	SENT	.
This	DT	this
picture	NN	picture
you	PP	you
see	VBP	see
,	,	,
Omar	NP	Omar
Ghattas	NP	Ghattas
'	POS	'
s	NN	S
,	,	,
high-resolution	NN	high-resolution
,	,	,
physics-based	JJ	<unknown>
model	NN	model
of	IN	of
the	DT	the
Antarctic	JJ	Antarctic
ice	NN	ice
sheet	NN	sheet
,	,	,
which	WDT	which
is	VBZ	be
put	VBN	put
together	RB	together
with	IN	with
observational	JJ	observational
data	NNS	datum
of	IN	of
all	DT	all
different	JJ	different
kinds	NNS	kind
to	TO	to
understand	VB	understand
what	WP	what
might	MD	might
be	VB	be
going	VBG	go
on	IN	on
,	,	,
to	TO	to
help	VB	help
guide	NN	guide
decisions	NNS	decision
about	IN	about
where	WRB	where
to	TO	to
drill	VB	drill
ice	NN	ice
cores	NNS	core
,	,	,
where	WRB	where
to	TO	to
take	VB	take
observations	NNS	observation
,	,	,
and	CC	and
ultimately	RB	ultimately
to	TO	to
inform	VB	inform
the	DT	the
decision-making	NN	decision-making
around	IN	around
our	PP$	our
future	JJ	future
climate	NN	climate
.	SENT	.
We	PP	we
see	VBP	see
also	RB	also
here	RB	here
the	DT	the
work	NN	work
of	IN	of
Clint	NP	Clint
Dawson	NP	Dawson
in	IN	in
building	VBG	build
a	DT	a
digital	JJ	digital
twin	NN	twin
of	IN	of
a	DT	a
coastal	JJ	coastal
area	NN	area
,	,	,
here	RB	here
,	,	,
the	DT	the
Gulf	NP	Gulf
Coast	NP	Coast
,	,	,
again	RB	again
combining	VBG	combine
powerful	JJ	powerful
physics	NN	physics
models	NNS	model
with	IN	with
all	PDT	all
the	DT	the
different	JJ	different
kinds	NNS	kind
of	IN	of
data	NNS	datum
and	CC	and
here	RB	here
,	,	,
focused	VBN	focus
on	IN	on
making	VBG	make
storm	NN	storm
surge	NN	surge
modeling	NN	modeling
for	IN	for
hurricanes	NNS	hurricane
even	RB	even
more	RBR	more
accurate	JJ	accurate
,	,	,
again	RB	again
,	,	,
in	IN	in
support	NN	support
of	IN	of
critical	JJ	critical
decision-making	NN	decision-making
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
medicine	NN	medicine
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
pretty	RB	pretty
clear	JJ	clear
that	IN	that
digital	JJ	digital
twins	NNS	twin
have	VBP	have
such	PDT	such
a	DT	a
role	NN	role
to	TO	to
play	VB	play
in	IN	in
realizing	VBG	realize
the	DT	the
promise	NN	promise
of	IN	of
personalized	JJ	personalized
medicine	NN	medicine
.	SENT	.
Here	RB	here
we	PP	we
see	VBP	see
some	DT	some
of	IN	of
the	DT	the
work	NN	work
of	IN	of
Michael	NP	Michael
Sacks	NP	Sacks
from	IN	from
our	PP$	our
Oden	NP	Oden
Institute	NP	Institute
Willerson	NP	<unknown>
Center	NP	Center
,	,	,
in	IN	in
moving	VBG	move
towards	IN	towards
patient-specific	JJ	patient-specific
,	,	,
personalized	JJ	personalized
heart	NN	heart
care	NN	care
,	,	,
and	CC	and
the	DT	the
work	NN	work
of	IN	of
Tom	NP	Tom
Yankeelov	NP	<unknown>
and	CC	and
David	NP	David
Hellmuth	NP	Hellmuth
,	,	,
also	RB	also
in	IN	in
the	DT	the
Oden	NP	Oden
Institute	NP	Institute
,	,	,
also	RB	also
working	VBG	work
with	IN	with
Dell	NP	Dell
Medical	NP	Medical
School	NP	School
and	CC	and
part	NN	part
of	IN	of
biomedical	JJ	biomedical
engineering	NN	engineering
,	,	,
in	IN	in
building	VBG	build
digital	JJ	digital
twins	NNS	twin
for	IN	for
cancer	NN	cancer
patients	NNS	patient
.	SENT	.
So	RB	so
I	PP	I
hope	VBP	hope
that	WDT	that
helps	VBZ	help
to	TO	to
,	,	,
as	IN	as
I	PP	I
said	VBD	say
,	,	,
provoke	VB	provoke
your	PP$	your
imaginations	NNS	imagination
to	TO	to
think	VB	think
about	RB	about
what	WP	what
might	MD	might
be	VB	be
possible	JJ	possible
.	SENT	.
I	PP	I
personally	RB	personally
could	MD	could
not	RB	not
be	VB	be
more	RBR	more
excited	VBN	excite
about	IN	about
a	DT	a
future	JJ	future
world	NN	world
where	WRB	where
digital	JJ	digital
twins	NNS	twin
are	VBP	be
enabling	VBG	enable
safer	JJR	safe
,	,	,
more	RBR	more
efficient	JJ	efficient
engineering	NN	engineering
systems	NNS	system
.	SENT	.
They	PP	they
'	''	'
re	IN	re
enabling	VBG	enable
a	DT	a
better	JJR	good
understanding	NN	understanding
of	IN	of
the	DT	the
natural	JJ	natural
world	NN	world
around	IN	around
us	PP	us
and	CC	and
they	PP	they
'	POS	'
re	NN	re
enabling	VBG	enable
better	JJR	good
medical	JJ	medical
outcomes	NNS	outcome
for	IN	for
all	DT	all
of	IN	of
us	PP	us
as	IN	as
an	DT	an
individual	NN	individual
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
