Susan	NP	Susan
are	VBP	be
not	RB	not
so	RB	so
joyful	JJ	joyful
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
things	NNS	thing
like	VBP	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
caption	VBP	caption
under	IN	under
a	DT	a
little	JJ	little
girl	NN	girl
saying	VBG	say
goodbye	NN	goodbye
to	TO	to
her	PP$	her
father	NN	father
for	IN	for
the	DT	the
last	JJ	last
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
things	NNS	thing
like	IN	like
that	DT	that
.	SENT	.
And	CC	and
you	PP	you
cannot	MD	can
watch	VB	watch
this	DT	this
video	NN	video
without	IN	without
tearing	VBG	tear
up	RP	up
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
impossible	JJ	impossible
.	SENT	.
Which	WDT	which
is	VBZ	be
why	WRB	why
it	PP	it
went	VBD	go
viral	JJ	viral
.	SENT	.
You	PP	you
also	RB	also
become	VBP	become
aware	JJ	aware
,	,	,
as	IN	as
you	PP	you
'	POS	'
re	NN	re
watching	VBG	watch
it	PP	it
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
only	RB	only
tearing	VBG	tear
up	RP	up
,	,	,
you	PP	you
literally	RB	literally
are	VBP	be
having	VBG	have
the	DT	the
sensation	NN	sensation
of	IN	of
expanding	VBG	expand
chest	NN	chest
muscles	NNS	muscle
.	SENT	.
Like	IN	like
,	,	,
you	PP	you
can	MD	can
feel	VB	feel
it	PP	it
physically	RB	physically
and	CC	and
literally	RB	literally
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
we	PP	we
actually	RB	actually
know	VBP	know
from	IN	from
the	DT	the
work	NN	work
of	IN	of
Dacher	NP	<unknown>
Keltner	NP	Keltner
,	,	,
who	WP	who
I	PP	I
was	VBD	be
just	RB	just
talking	VBG	talk
about	RB	about
,	,	,
that	IN	that
we	PP	we
have	VBP	have
our	PP$	our
vagus	NN	vagus
nerve	NN	nerve
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
biggest	JJS	big
bundle	NN	bundle
of	IN	of
nerves	NNS	nerve
in	IN	in
our	PP$	our
body	NN	body
,	,	,
and	CC	and
it	PP	it
governs	VBZ	govern
our	PP$	our
most	RBS	most
fundamental	JJ	fundamental
instincts	NNS	instinct
,	,	,
like	IN	like
breathing	NN	breathing
and	CC	and
digestion	NN	digestion
.	SENT	.
You	PP	you
know	VBP	know
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
basic	JJ	basic
.	SENT	.
But	CC	but
your	PP$	your
vagus	NN	vagus
nerve	NN	nerve
also	RB	also
responds	VBZ	respond
and	CC	and
fires	VBZ	fire
up	RP	up
when	WRB	when
it	PP	it
sees	VBZ	see
somebody	NN	somebody
else	RB	else
in	IN	in
distress	NN	distress
.	SENT	.
So	RB	so
you	PP	you
know	VBP	know
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
deep	JJ	deep
and	CC	and
fundamental	JJ	fundamental
impulse	NN	impulse
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
take	VBP	take
from	IN	from
the	DT	the
lesson	NN	lesson
of	IN	of
that	DT	that
Cleveland	NP	Cleveland
Clinic	NP	Clinic
video	NN	video
is	VBZ	be
just	RB	just
the	DT	the
simple	JJ	simple
exercise	NN	exercise
of	IN	of
imagining	VBG	imagine
what	WP	what
people	NNS	people
'	POS	'
s	NN	S
captions	NNS	caption
are	VBP	be
as	IN	as
you	PP	you
walk	VBP	walk
through	IN	through
the	DT	the
world	NN	world
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
necessarily	RB	necessarily
know	VB	know
them	PP	them
.	SENT	.
But	CC	but
now	RB	now
I	NP	I
'	POS	'
ll	NNS	<unknown>
go	VBP	go
into	IN	into
a	DT	a
grocery	NN	grocery
store	NN	store
and	CC	and
as	IN	as
the	DT	the
person	NN	person
'	POS	'
s	NNS	<unknown>
ringing	VBG	ring
up	RP	up
my	PP$	my
groceries	NNS	grocery
,	,	,
I	PP	I
'	POS	'
m	NN	m
thinking	NN	thinking
,	,	,
what	WP	what
'	''	'
s	VBG	<unknown>
her	PP$	her
caption	NN	caption
?	SENT	?
What	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
completely	RB	completely
different	JJ	different
way	NN	way
of	IN	of
interacting	VBG	interact
with	IN	with
people	NNS	people
once	IN	once
you	PP	you
do	VBP	do
that	RB	that
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
connected	VBN	connect
to	TO	to
this	DT	this
,	,	,
Gordon	NP	Gordon
asks	VBZ	ask
how	WRB	how
your	PP$	your
experience	NN	experience
with	IN	with
the	DT	the
pandemic	NN	pandemic
and	CC	and
lockdown	NN	<unknown>
informed	VBD	inform
the	DT	the
writing	NN	writing
of	IN	of
the	DT	the
book	NN	book
.	SENT	.
Did	VBD	do
it	PP	it
change	VB	change
the	DT	the
book	NN	book
from	IN	from
what	WP	what
you	PP	you
initially	RB	initially
envisioned	VBD	envision
it	PP	it
to	TO	to
be	VB	be
?	SENT	?
SC	NP	SC
:	:	:
My	PP$	my
father	NN	father
and	CC	and
my	PP$	my
brother	NN	brother
actually	RB	actually
passed	VBD	pass
away	RP	away
from	IN	from
COVID	NP	<unknown>
quite	RB	quite
early	RB	early
during	IN	during
the	DT	the
pandemic	NN	pandemic
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
something	NN	something
about	IN	about
grappling	VBG	grapple
with	IN	with
these	DT	these
subjects	NNS	subject
for	IN	for
years	NNS	year
,	,	,
as	IN	as
I	PP	I
had	VBD	have
been	VBN	be
doing	VBG	do
,	,	,
that	WDT	that
actually	RB	actually
helped	VBD	help
me	PP	me
pass	VB	pass
through	IN	through
those	DT	those
particular	JJ	particular
moments	NNS	moment
and	CC	and
weather	VB	weather
those	DT	those
particular	JJ	particular
moments	NNS	moment
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
'	''	'
ll	NNS	<unknown>
just	RB	just
give	VBP	give
you	PP	you
one	CD	one
specific	JJ	specific
example	NN	example
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
the	DT	the
wisdom	NN	wisdom
traditions	NNS	tradition
that	IN	that
I	PP	I
found	VBD	find
most	JJS	most
illuminating	VBG	illuminate
,	,	,
and	CC	and
I	PP	I
wrote	VBD	write
about	IN	about
this	DT	this
in	IN	in
the	DT	the
book	NN	book
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
one	CD	one
that	IN	that
Leonard	NP	Leonard
Cohen	NP	Cohen
'	POS	'
s	NN	S
song	NN	song
comes	VBZ	come
from	IN	from
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
idea	NN	idea
of	IN	of
light	NN	light
coming	VBG	come
from	IN	from
the	DT	the
crack	NN	crack
in	IN	in
everything	NN	everything
.	SENT	.
So	RB	so
he	PP	he
got	VBD	get
that	IN	that
from	IN	from
the	DT	the
Kabbalah	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
mystical	JJ	mystical
side	NN	side
of	IN	of
the	DT	the
Jewish	JJ	Jewish
tradition	NN	tradition
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
fundamental	JJ	fundamental
stories	NNS	story
in	IN	in
the	DT	the
Kabbalah	NP	<unknown>
is	VBZ	be
the	DT	the
idea	NN	idea
that	IN	that
all	DT	all
of	IN	of
creation	NN	creation
originally	RB	originally
was	VBD	be
one	CD	one
divine	NN	divine
vessel	NN	vessel
of	IN	of
light	NN	light
that	IN	that
ultimately	RB	ultimately
shattered	VBN	shatter
and	CC	and
that	IN	that
now	RB	now
we	PP	we
'	POS	'
re	NN	re
living	NN	living
in	IN	in
the	DT	the
world	NN	world
after	IN	after
the	DT	the
shattering	VBG	shatter
.	SENT	.
But	CC	but
these	DT	these
divine	JJ	divine
shards	NNS	shard
of	IN	of
light	NN	light
are	VBP	be
still	RB	still
scattered	VBN	scatter
all	RB	all
around	IN	around
us	PP	us
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
buried	VBN	bury
in	IN	in
the	DT	the
mud	NN	mud
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
so	IN	so
our	PP$	our
job	NN	job
is	VBZ	be
to	TO	to
walk	VB	walk
through	IN	through
the	DT	the
world	NN	world
and	CC	and
pick	VB	pick
up	RP	up
the	DT	the
shards	NNS	shard
where	WRB	where
we	PP	we
can	MD	can
and	CC	and
maybe	RB	maybe
shine	VB	shine
them	PP	them
up	RP	up
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
And	CC	and
the	DT	the
beauty	NN	beauty
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
see	VB	see
one	CD	one
set	NN	set
of	IN	of
shards	NNS	shard
,	,	,
but	CC	but
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
notice	VB	notice
completely	RB	completely
different	JJ	different
ones	NNS	one
.	SENT	.
So	RB	so
we	PP	we
all	RB	all
go	VB	go
around	RP	around
and	CC	and
pick	VB	pick
up	RP	up
our	PP$	our
own	JJ	own
.	SENT	.
When	WRB	when
my	PP$	my
father	NN	father
passed	VBD	pass
away	RB	away
from	IN	from
COVID	NP	<unknown>
,	,	,
I	PP	I
started	VBD	start
reflecting	VBG	reflect
on	IN	on
his	PP$	his
life	NN	life
and	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
My	PP$	my
father	NN	father
was	VBD	be
a	DT	a
person	NN	person
who	WP	who
.	SENT	.
.	SENT	.
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
doctor	NN	doctor
and	CC	and
a	DT	a
med	JJ	<unknown>
school	NN	school
professor	NN	professor
,	,	,
and	CC	and
he	PP	he
worked	VBD	work
really	RB	really
,	,	,
really	RB	really
hard	RB	hard
and	CC	and
did	VBD	do
great	JJ	great
work	NN	work
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
that	IN	that
he	PP	he
did	VBD	do
all	PDT	all
that	DT	that
,	,	,
he	PP	he
also	RB	also
would	MD	would
perform	VB	perform
these	DT	these
,	,	,
you	PP	you
could	MD	could
call	VB	call
them	PP	them
senseless	JJ	senseless
acts	NNS	act
of	IN	of
beauty	NN	beauty
,	,	,
maybe	RB	maybe
.	SENT	.
He	PP	he
loved	VBD	love
orchids	NNS	orchid
,	,	,
so	RB	so
he	PP	he
built	VBD	build
a	DT	a
greenhouse	NN	greenhouse
full	JJ	full
of	IN	of
orchids	NNS	orchid
in	IN	in
our	PP$	our
basement	NN	basement
.	SENT	.
For	IN	for
really	RB	really
no	DT	no
reason	NN	reason
other	JJ	other
than	IN	than
that	WDT	that
he	PP	he
loved	VBD	love
orchids	NNS	orchid
.	SENT	.
And	CC	and
so	RB	so
he	PP	he
grew	VBD	grow
them	PP	them
and	CC	and
gazed	VBD	gaze
at	IN	at
them	PP	them
.	SENT	.
And	CC	and
he	PP	he
loved	VBD	love
the	DT	the
French	JJ	French
language	NN	language
,	,	,
so	RB	so
he	PP	he
learned	VBD	learn
how	WRB	how
to	TO	to
speak	VB	speak
French	JJ	French
,	,	,
even	RB	even
though	IN	though
he	PP	he
had	VBD	have
no	DT	no
time	NN	time
to	TO	to
visit	VB	visit
France	NP	France
and	CC	and
rarely	RB	rarely
did	VBD	do
.	SENT	.
But	CC	but
he	PP	he
would	MD	would
sit	VB	sit
there	RB	there
and	CC	and
learn	VB	learn
it	PP	it
and	CC	and
loved	VBD	love
the	DT	the
act	NN	act
of	IN	of
learning	VBG	learn
it	PP	it
.	SENT	.
And	CC	and
there	EX	there
were	VBD	be
so	RB	so
many	JJ	many
different	JJ	different
things	NNS	thing
like	IN	like
this	DT	this
that	WDT	that
he	PP	he
did	VBD	do
.	SENT	.
And	CC	and
when	WRB	when
he	PP	he
died	VBD	die
,	,	,
I	PP	I
started	VBD	start
thinking	VBG	think
about	IN	about
all	PDT	all
those	DT	those
acts	NNS	act
of	IN	of
beauty	NN	beauty
that	IN	that
he	PP	he
had	VBD	have
performed	VBN	perform
in	IN	in
his	PP$	his
work	NN	work
and	CC	and
in	IN	in
these	DT	these
seemingly	RB	seemingly
senseless	JJ	senseless
acts	NNS	act
of	IN	of
beauty	NN	beauty
.	SENT	.
And	CC	and
I	PP	I
framed	VBD	frame
them	PP	them
all	RB	all
as	IN	as
shards	NNS	shard
that	IN	that
he	PP	he
had	VBD	have
been	VBN	be
picking	VBG	pick
up	IN	up
all	PDT	all
his	PP$	his
life	NN	life
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
That	WDT	that
was	VBD	be
,	,	,
yeah	RB	yeah
,	,	,
that	WDT	that
was	VBD	be
a	DT	a
really	RB	really
helpful	JJ	helpful
way	NN	way
of	IN	of
thinking	VBG	think
of	IN	of
him	PP	him
and	CC	and
remembering	VBG	remember
him	PP	him
and	CC	and
bringing	VBG	bring
me	PP	me
to	TO	to
some	DT	some
form	NN	form
of	IN	of
peace	NN	peace
with	IN	with
his	PP$	his
loss	NN	loss
.	SENT	.
WPR	NN	WPR
:	:	:
As	IN	as
we	PP	we
slowly	RB	slowly
come	VBP	come
out	RP	out
of	IN	of
the	DT	the
pandemic	NN	pandemic
,	,	,
how	WRB	how
can	MD	can
we	PP	we
better	VB	better
normalize	VB	normalize
talking	VBG	talk
about	IN	about
loss	NN	loss
and	CC	and
talking	VBG	talk
about	IN	about
these	DT	these
feelings	NNS	feeling
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
mentioned	VBD	mention
our	PP$	our
culture	NN	culture
sort	NN	sort
of	IN	of
shies	NNS	shy
away	RB	away
from	IN	from
?	SENT	?
SC	NP	SC
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
helpful	JJ	helpful
to	TO	to
start	VB	start
in	IN	in
our	PP$	our
organizations	NNS	organization
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
can	MD	can
obviously	RB	obviously
start	VB	start
privately	RB	privately
,	,	,
which	WDT	which
in	IN	in
some	DT	some
ways	NNS	way
is	VBZ	be
the	DT	the
easiest	JJS	easy
because	IN	because
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
corral	VB	corral
anybody	NN	anybody
else	RB	else
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
But	CC	but
in	IN	in
our	PP$	our
organizations	NNS	organization
,	,	,
there	EX	there
are	VBP	be
small	JJ	small
steps	NNS	step
that	IN	that
we	PP	we
can	MD	can
take	VB	take
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
thinking	NN	thinking
,	,	,
for	IN	for
example	NN	example
,	,	,
I	PP	I
do	VBP	do
a	DT	a
lot	NN	lot
of	IN	of
public	JJ	public
speaking	NN	speaking
,	,	,
lately	RB	lately
Zoom	VB	zoom
talks	NNS	talk
,	,	,
where	WRB	where
I	PP	I
come	VBP	come
in	IN	in
and	CC	and
talk	VB	talk
about	IN	about
introversion	NN	introversion
and	CC	and
I	PP	I
guess	VBP	guess
now	RB	now
bittersweetness	NN	bittersweetness
.	SENT	.
Anyway	RB	anyway
,	,	,
I	PP	I
did	VBD	do
one	PP	one
not	RB	not
that	IN	that
long	RB	long
ago	RB	ago
,	,	,
it	PP	it
was	VBD	be
a	DT	a
Zoom	NN	zoom
call	NN	call
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
power	NN	power
of	IN	of
introverts	NNS	introvert
.	SENT	.
And	CC	and
the	DT	the
call	NN	call
started	VBD	start
with	IN	with
a	DT	a
chat	NN	chat
,	,	,
just	RB	just
the	DT	the
way	NN	way
this	DT	this
one	CD	one
did	VBD	do
.	SENT	.
And	CC	and
the	DT	the
organizer	NN	organizer
asked	VBD	ask
them	PP	them
questions	VBZ	question
like	IN	like
,	,	,
"	''	"
How	NP	How
'	POS	'
s	JJ	<unknown>
everybody	NN	everybody
feeling	NN	feeling
today	NN	today
?	SENT	?
"	''	"
And	CC	and
everybody	NN	everybody
typed	VBN	type
in	IN	in
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
feeling	NN	feeling
great	JJ	great
.	SENT	.
"	''	"
"	``	"
I	NP	I
'	POS	'
m	NN	m
feeling	NN	feeling
excited	VBN	excite
,	,	,
"	''	"
"	''	"
I	NP	I
'	POS	'
m	NN	m
feeling	NN	feeling
joyful	JJ	joyful
,	,	,
"	''	"
feeling	VBG	feel
all	PDT	all
these	DT	these
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
love	VBP	love
it	PP	it
.	SENT	.
If	IN	if
they	PP	they
were	VBD	be
in	IN	in
fact	NN	fact
feeling	VBG	feel
that	DT	that
way	NN	way
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
awesome	JJ	awesome
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
ask	VB	ask
,	,	,
what	WP	what
is	VBZ	be
the	DT	the
chance	NN	chance
that	IN	that
everybody	NN	everybody
truly	RB	truly
was	VBD	be
feeling	VBG	feel
that	DT	that
way	NN	way
?	SENT	?
This	DT	this
long	JJ	long
list	NN	list
of	IN	of
people	NNS	people
coming	VBG	come
into	IN	into
the	DT	the
chat	NN	chat
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
chance	NN	chance
that	WDT	that
was	VBD	be
accurate	JJ	accurate
?	SENT	?
Maybe	RB	maybe
zero	CD	zero
percent	NN	percent
?	SENT	?
I	PP	I
would	MD	would
love	VB	love
to	TO	to
see	VB	see
us	PP	us
develop	VB	develop
ways	NNS	way
,	,	,
and	CC	and
maybe	RB	maybe
the	DT	the
way	NN	way
to	TO	to
start	VB	start
is	VBZ	be
with	IN	with
anonymous	JJ	anonymous
chats	NNS	chat
or	CC	or
an	DT	an
option	NN	option
to	TO	to
be	VB	be
anonymous	JJ	anonymous
in	IN	in
chats	NNS	chat
,	,	,
but	CC	but
for	IN	for
organizers	NNS	organizer
and	CC	and
for	IN	for
team	NN	team
leaders	NNS	leader
and	CC	and
so	RB	so
on	IN	on
to	TO	to
be	VB	be
asking	VBG	ask
,	,	,
"	``	"
What	WP	what
are	VBP	be
you	PP	you
all	RB	all
truly	RB	truly
feeling	VBG	feel
?	SENT	?
"	''	"
"	``	"
What	WP	what
are	VBP	be
you	PP	you
going	VBG	go
through	RP	through
right	RB	right
now	RB	now
?	SENT	?
"	''	"
And	CC	and
again	RB	again
,	,	,
maybe	RB	maybe
anonymous	JJ	anonymous
and	CC	and
maybe	RB	maybe
not	RB	not
.	SENT	.
When	WRB	when
we	PP	we
'	POS	'
re	NN	re
gathering	NN	gathering
in	IN	in
person	NN	person
,	,	,
we	PP	we
could	MD	could
have	VB	have
whiteboards	NNS	whiteboard
up	RB	up
.	SENT	.
In	IN	in
schools	NNS	school
they	PP	they
sometimes	RB	sometimes
do	VBP	do
this	DT	this
and	CC	and
they	PP	they
call	VBP	call
it	PP	it
a	DT	a
parking	NN	parking
lot	NN	lot
,	,	,
where	WRB	where
people	NNS	people
could	MD	could
just	RB	just
write	VB	write
down	RP	down
what	WP	what
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
through	IN	through
that	DT	that
day	NN	day
,	,	,
the	DT	the
joys	NNS	joy
and	CC	and
the	DT	the
sorrows	NNS	sorrow
,	,	,
so	IN	so
that	WDT	that
people	NNS	people
start	VBP	start
becoming	VBG	become
aware	JJ	aware
of	IN	of
kind	NN	kind
of	IN	of
like	JJ	like
,	,	,
the	DT	the
normality	NN	normality
of	IN	of
what	WP	what
actual	JJ	actual
experience	NN	experience
is	VBZ	be
.	SENT	.
We	PP	we
as	RB	as
a	DT	a
society	NN	society
need	VBP	need
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
we	PP	we
can	MD	can
start	VB	start
telling	VBG	tell
the	DT	the
truth	NN	truth
of	IN	of
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
to	TO	to
be	VB	be
alive	JJ	alive
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
would	MD	would
say	VB	say
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
that	IN	that
'	POS	'
s	NN	S
actually	RB	actually
the	DT	the
reason	NN	reason
I	PP	I
write	VBP	write
books	NNS	book
,	,	,
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
I	PP	I
always	RB	always
think	VBP	think
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
there	EX	there
'	''	'
s	NNS	<unknown>
really	RB	really
no	DT	no
point	NN	point
other	JJ	other
than	IN	than
telling	VBG	tell
a	DT	a
truth	NN	truth
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
otherwise	RB	otherwise
being	VBG	be
spoken	VBN	speak
out	RP	out
loud	RB	loud
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
an	DT	an
incredible	JJ	incredible
safety	NN	safety
in	IN	in
numbers	NNS	number
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
Once	RB	once
lots	NNS	lot
of	IN	of
people	NNS	people
start	VBP	start
talking	VBG	talk
about	IN	about
the	DT	the
same	JJ	same
thing	NN	thing
,	,	,
it	PP	it
suddenly	RB	suddenly
becomes	VBZ	become
OK	JJ	OK
to	TO	to
tell	VB	tell
that	DT	that
particular	JJ	particular
truth	NN	truth
of	IN	of
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
to	TO	to
be	VB	be
alive	JJ	alive
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
just	RB	just
find	VB	find
ways	NNS	way
of	IN	of
telling	VBG	tell
it	PP	it
and	CC	and
then	RB	then
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
will	MD	will
share	VB	share
it	PP	it
.	SENT	.
[	SYM	[
Get	VB	get
access	NN	access
to	TO	to
thought-provoking	JJ	thought-provoking
events	NNS	event
you	PP	you
won	VBD	win
'	''	'
t	NN	t
want	VBP	want
to	TO	to
miss	VB	miss
.	SENT	.
]	SYM	]
[	SYM	[
Become	VBN	become
a	DT	a
TED	VBP	ted
Member	NP	Member
at	IN	at
ted	VB	ted
.	SENT	.
com	NN	com
/	SYM	/
membership	NN	membership
.	SENT	.
]	SYM	]
