Thirteen	CD	thirteen
tips	NNS	tip
from	IN	from
the	DT	the
book	NN	book
and	CC	and
also	RB	also
the	DT	the
story	NN	story
that	IN	that
you	PP	you
shared	VBD	share
at	IN	at
the	DT	the
top	NN	top
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
tell	VBP	tell
this	DT	this
Walter	NP	Walter
story	NN	story
,	,	,
then	RB	then
you	PP	you
go	VBP	go
through	IN	through
this	DT	this
whole	JJ	whole
journey	NN	journey
that	IN	that
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
on	IN	on
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
back	RB	back
in	IN	in
that	DT	that
restaurant	NN	restaurant
again	RB	again
today	NN	today
,	,	,
what	WP	what
would	MD	would
you	PP	you
say	VB	say
to	TO	to
Walter	NP	Walter
now	RB	now
?	SENT	?
DP	NP	DP
:	:	:
I	PP	I
now	RB	now
would	MD	would
say	VB	say
that	IN	that
that	DT	that
'	''	'
s	NN	S
about	IN	about
him	PP	him
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
reflection	NN	reflection
of	IN	of
my	PP$	my
worth	NN	worth
or	CC	or
my	PP$	my
abilities	NNS	ability
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
his	PP$	his
very	RB	very
narrow	JJ	narrow
vision	NN	vision
on	IN	on
how	WRB	how
he	PP	he
sees	VBZ	see
the	DT	the
world	NN	world
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBZ	<unknown>
one	CD	one
thing	NN	thing
.	SENT	.
I	PP	I
probably	RB	probably
wouldn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
internalized	VBN	internalize
so	RB	so
much	RB	much
of	IN	of
that	DT	that
and	CC	and
set	VB	set
better	JJR	good
boundaries	NNS	boundary
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
,	,	,
I	PP	I
might	MD	might
have	VB	have
just	RB	just
gotten	VBN	get
up	RP	up
and	CC	and
said	VBD	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
if	IN	if
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
you	PP	you
think	VBP	think
,	,	,
I	PP	I
'	POS	'
m	NN	m
out	RB	out
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
sit	VB	sit
here	RB	here
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
dinner	NN	dinner
with	IN	with
you	PP	you
,	,	,
"	''	"
right	NN	right
?	SENT	?
I	PP	I
subsequently	RB	subsequently
did	VBD	do
have	VB	have
multiple	JJ	multiple
conversations	NNS	conversation
with	IN	with
him	PP	him
,	,	,
to	TO	to
try	VB	try
and	CC	and
get	VB	get
him	PP	him
to	TO	to
understand	VB	understand
what	WP	what
he	PP	he
said	VBD	say
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
as	RB	as
close	JJ	close
as	IN	as
we	PP	we
used	VBD	use
to	TO	to
be	VB	be
,	,	,
and	CC	and
that	WDT	that
has	VBZ	have
a	DT	a
lot	NN	lot
to	TO	to
do	VB	do
with	IN	with
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
just	RB	just
accept	VB	accept
that	IN	that
certain	JJ	certain
people	NNS	people
aren	NNS	<unknown>
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
get	VB	get
it	PP	it
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
other	JJ	other
thing	NN	thing
I	PP	I
might	MD	might
do	VB	do
is	VBZ	be
explain	VB	explain
how	WRB	how
it	PP	it
made	VBD	make
me	PP	me
feel	VBP	feel
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
"	''	"
that	WDT	that
really	RB	really
hurts	VBZ	hurt
me	PP	me
because	IN	because
"	''	"
and	CC	and
"	``	"
I	PP	I
need	VBP	need
you	PP	you
to	TO	to
understand	VB	understand
what	WP	what
that	DT	that
does	VBZ	do
and	CC	and
what	WP	what
you	PP	you
'	POS	'
re	NN	re
suggesting	VBG	suggest
in	IN	in
those	DT	those
words	NNS	word
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
might	MD	might
have	VB	have
better	JJR	good
responses	NNS	response
.	SENT	.
I	PP	I
really	RB	really
encourage	VBP	encourage
women	NNS	woman
and	CC	and
everybody	NN	everybody
to	TO	to
have	VB	have
responses	NNS	response
in	IN	in
the	DT	the
moment	NN	moment
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
all	RB	all
going	VBG	go
to	TO	to
face	VB	face
situations	NNS	situation
where	WRB	where
someone	NN	someone
says	VBZ	say
something	NN	something
inappropriate	JJ	inappropriate
at	IN	at
work	NN	work
or	CC	or
says	VBZ	say
something	NN	something
inappropriate	JJ	inappropriate
to	TO	to
someone	NN	someone
else	RB	else
in	IN	in
front	NN	front
of	IN	of
us	PP	us
,	,	,
and	CC	and
I	PP	I
want	VBP	want
us	PP	us
to	TO	to
all	DT	all
have	VBP	have
words	NNS	word
around	IN	around
it	PP	it
.	SENT	.
Another	DT	another
big	JJ	big
idea	NN	idea
in	IN	in
the	DT	the
book	NN	book
is	VBZ	be
this	DT	this
idea	NN	idea
of	IN	of
scarcity	NN	scarcity
,	,	,
that	IN	that
there	EX	there
'	''	'
s	JJ	<unknown>
certain	JJ	certain
seats	NNS	seat
,	,	,
and	CC	and
that	IN	that
my	PP$	my
seat	NN	seat
is	VBZ	be
taking	VBG	take
a	DT	a
seat	NN	seat
from	IN	from
him	PP	him
,	,	,
is	VBZ	be
a	DT	a
really	RB	really
old	JJ	old
way	NN	way
of	IN	of
thinking	VBG	think
about	IN	about
the	DT	the
world	NN	world
and	CC	and
thinking	VBG	think
about	IN	about
power	NN	power
.	SENT	.
I	PP	I
believe	VBP	believe
power	NN	power
can	MD	can
grow	VB	grow
.	SENT	.
I	PP	I
believe	VBP	believe
the	DT	the
pie	NN	pie
can	MD	can
grow	VB	grow
.	SENT	.
If	IN	if
we	PP	we
all	RB	all
continue	VBP	continue
to	TO	to
think	VB	think
narrowly	RB	narrowly
that	IN	that
there	EX	there
'	''	'
s	JJ	<unknown>
limited	JJ	limited
possibilities	NNS	possibility
,	,	,
I	PP	I
just	RB	just
think	VBP	think
we	PP	we
'	''	'
re	IN	re
stuck	VBN	stick
in	IN	in
a	DT	a
very	RB	very
unhealthy	JJ	unhealthy
way	NN	way
of	IN	of
working	VBG	work
and	CC	and
a	DT	a
really	RB	really
unhealthy	JJ	unhealthy
way	NN	way
of	IN	of
being	VBG	be
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
we	PP	we
'	POS	'
re	NN	re
really	RB	really
fortunate	JJ	fortunate
today	NN	today
to	TO	to
be	VB	be
joined	VBN	join
by	IN	by
a	DT	a
few	JJ	few
women	NNS	woman
who	WP	who
are	VBP	be
like	JJ	like
,	,	,
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
the	DT	the
women	NNS	woman
whose	WP$	whose
stories	NNS	story
you	PP	you
shared	VBD	share
in	IN	in
the	DT	the
book	NN	book
and	CC	and
can	MD	can
share	VB	share
their	PP$	their
own	JJ	own
stories	NNS	story
to	TO	to
help	VB	help
to	TO	to
really	RB	really
ground	VB	ground
some	DT	some
of	IN	of
these	DT	these
concepts	NNS	concept
and	CC	and
real	JJ	real
experiences	NNS	experience
.	SENT	.
So	RB	so
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
turn	VBP	turn
things	NNS	thing
over	RB	over
?	SENT	?
We	PP	we
have	VBP	have
our	PP$	our
first	JJ	first
guest	NN	guest
joining	VBG	join
us	PP	us
,	,	,
Gina	NP	Gina
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
leave	VBP	leave
you	PP	you
and	CC	and
Gina	NP	Gina
to	TO	to
have	VB	have
a	DT	a
chat	NN	chat
.	SENT	.
DP	NP	DP
:	:	:
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
to	TO	to
have	VB	have
you	PP	you
here	RB	here
,	,	,
Gina	NP	Gina
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
question	NN	question
I	PP	I
want	VBP	want
to	TO	to
ask	VB	ask
you	PP	you
,	,	,
and	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
unpack	VBP	unpack
this	DT	this
,	,	,
is	VBZ	be
just	RB	just
can	MD	can
you	PP	you
share	VB	share
a	DT	a
story	NN	story
of	IN	of
when	WRB	when
you	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
powerful	JJ	powerful
as	IN	as
a	DT	a
woman	NN	woman
of	IN	of
color	NN	color
at	IN	at
work	NN	work
?	SENT	?
And	CC	and
then	RB	then
we	PP	we
'	POS	'
ll	JJ	<unknown>
talk	NN	talk
about	IN	about
what	WP	what
else	RB	else
we	PP	we
could	MD	could
do	VB	do
around	IN	around
it	PP	it
and	CC	and
what	WP	what
else	RB	else
we	PP	we
hope	VBP	hope
to	TO	to
learn	VB	learn
from	IN	from
it	PP	it
.	SENT	.
Gina	NP	Gina
:	:	:
Throughout	IN	throughout
my	PP$	my
entire	JJ	entire
career	NN	career
,	,	,
I	PP	I
was	VBD	be
always	RB	always
fascinated	VBN	fascinate
by	IN	by
this	DT	this
whole	JJ	whole
notion	NN	notion
that	IN	that
I	PP	I
felt	VBD	feel
sort	NN	sort
of	IN	of
like	IN	like
I	PP	I
was	VBD	be
being	VBG	be
overprepared	VBN	overprepare
for	IN	for
these	DT	these
situations	NNS	situation
where	WRB	where
maybe	RB	maybe
there	EX	there
was	VBD	be
a	DT	a
promotion	NN	promotion
or	CC	or
some	DT	some
particular	JJ	particular
opportunity	NN	opportunity
for	IN	for
visibility	NN	visibility
,	,	,
I	PP	I
would	MD	would
be	VB	be
quite	RB	quite
prepared	JJ	prepared
,	,	,
qualified	JJ	qualified
,	,	,
temperament-wise	JJ	<unknown>
,	,	,
ready	JJ	ready
to	TO	to
go	VB	go
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
go	VB	go
through	IN	through
these	DT	these
very	RB	very
extensive	JJ	extensive
selection	NN	selection
procedures	NNS	procedure
and	CC	and
discover	VB	discover
at	IN	at
the	DT	the
end	NN	end
that	IN	that
,	,	,
in	IN	in
this	DT	this
case	NN	case
that	IN	that
I	NP	I
'	POS	'
m	NN	m
thinking	NN	thinking
about	RB	about
,	,	,
there	EX	there
was	VBD	be
this	DT	this
gentleman	NN	gentleman
who	WP	who
got	VBD	get
this	DT	this
job	NN	job
that	IN	that
I	PP	I
really	RB	really
wanted	VBD	want
.	SENT	.
This	DT	this
particular	JJ	particular
situation	NN	situation
,	,	,
I	PP	I
was	VBD	be
told	VBN	tell
that	IN	that
the	DT	the
reason	NN	reason
was	VBD	be
because	IN	because
it	PP	it
was	VBD	be
that	DT	that
person	NN	person
'	POS	'
s	NN	S
turn	NN	turn
,	,	,
which	WDT	which
basically	RB	basically
means	VBZ	mean
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
how	WRB	how
long	JJ	long
you	PP	you
'	''	'
re	NN	re
in	IN	in
the	DT	the
group	NN	group
or	CC	or
in	IN	in
the	DT	the
organization	NN	organization
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
really	RB	really
confusing	JJ	confusing
for	IN	for
me	PP	me
because	IN	because
I	PP	I
'	''	'
d	SYM	d
been	VBN	be
in	IN	in
the	DT	the
organization	NN	organization
for	IN	for
quite	PDT	quite
a	DT	a
reasonable	JJ	reasonable
amount	NN	amount
of	IN	of
time	NN	time
relative	JJ	relative
to	TO	to
this	DT	this
person	NN	person
.	SENT	.
I	PP	I
was	VBD	be
certainly	RB	certainly
more	RBR	more
prepared	VBN	prepare
in	IN	in
terms	NNS	term
of	IN	of
experience	NN	experience
,	,	,
education	NN	education
and	CC	and
all	DT	all
of	IN	of
those	DT	those
things	NNS	thing
.	SENT	.
And	CC	and
it	PP	it
really	RB	really
got	VBD	get
me	PP	me
to	TO	to
thinking	VBG	think
,	,	,
what	WP	what
exactly	RB	exactly
is	VBZ	be
the	DT	the
value	NN	value
that	IN	that
this	DT	this
organization	NN	organization
is	VBZ	be
seeing	VBG	see
in	IN	in
me	PP	me
,	,	,
if	IN	if
in	IN	in
fact	NN	fact
I	PP	I
bring	VBP	bring
everything	NN	everything
to	TO	to
the	DT	the
table	NN	table
and	CC	and
still	RB	still
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enough	RB	enough
?	SENT	?
I	PP	I
had	VBD	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
ask	VB	ask
some	DT	some
questions	NNS	question
,	,	,
you	PP	you
know	VBP	know
,	,	,
like	VBP	like
,	,	,
what	WP	what
would	MD	would
it	PP	it
take	VB	take
for	IN	for
me	PP	me
to	TO	to
be	VB	be
ready	JJ	ready
for	IN	for
the	DT	the
next	JJ	next
opportunity	NN	opportunity
?	SENT	?
Which	WDT	which
is	VBZ	be
actually	RB	actually
the	DT	the
question	NN	question
and	CC	and
I	PP	I
really	RB	really
encourage	VBP	encourage
others	NNS	other
to	TO	to
always	RB	always
ask	VB	ask
.	SENT	.
And	CC	and
the	DT	the
response	NN	response
to	TO	to
that	DT	that
question	NN	question
was	VBD	be
not	RB	not
satisfactory	JJ	satisfactory
.	SENT	.
It	PP	it
was	VBD	be
vague	JJ	vague
,	,	,
it	PP	it
was	VBD	be
about	RB	about
time	NN	time
--	:	--
And	CC	and
so	RB	so
you	PP	you
know	VBP	know
,	,	,
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
Deepa	NP	<unknown>
,	,	,
that	WDT	that
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
for	IN	for
a	DT	a
person	NN	person
like	IN	like
me	PP	me
to	TO	to
know	VB	know
my	PP$	my
"	``	"
why	WRB	why
.	SENT	.
"	``	"
Why	WRB	why
am	VBP	be
I	PP	I
here	RB	here
?	SENT	?
What	WP	what
is	VBZ	be
my	PP$	my
value	NN	value
?	SENT	?
And	CC	and
then	RB	then
I	PP	I
can	MD	can
evaluate	VB	evaluate
how	WRB	how
the	DT	the
organization	NN	organization
responds	VBZ	respond
to	TO	to
me	PP	me
.	SENT	.
DP	NP	DP
:	:	:
The	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
stands	VBZ	stand
out	RP	out
to	TO	to
me	PP	me
as	IN	as
you	PP	you
'	POS	'
re	NN	re
sharing	VBG	share
your	PP$	your
story	NN	story
,	,	,
is	VBZ	be
this	DT	this
idea	NN	idea
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
women	NNS	woman
of	IN	of
color	NN	color
I	PP	I
interviewed	VBD	interview
,	,	,
especially	RB	especially
Black	NP	Black
women	NNS	woman
,	,	,
were	VBD	be
told	VBN	tell
that	IN	that
they	PP	they
had	VBD	have
to	TO	to
be	VB	be
two	CD	two
and	CC	and
four	CD	four
times	NNS	time
as	IN	as
ready	JJ	ready
,	,	,
right	RB	right
?	SENT	?
You	PP	you
have	VBP	have
to	TO	to
work	VB	work
twice	RB	twice
or	CC	or
four	CD	four
times	NNS	time
as	IN	as
hard	JJ	hard
just	RB	just
to	TO	to
even	RB	even
be	VB	be
seen	VBN	see
as	IN	as
qualified	VBN	qualify
.	SENT	.
There	EX	there
was	VBD	be
such	PDT	such
a	DT	a
message	NN	message
of	IN	of
overworking	VBG	overwork
amongst	IN	amongst
the	DT	the
women	NNS	woman
of	IN	of
color	NN	color
I	PP	I
interviewed	VBD	interview
,	,	,
and	CC	and
this	DT	this
idea	NN	idea
of	IN	of
perfection	NN	perfection
and	CC	and
having	VBG	have
everything	NN	everything
prepared	VBN	prepare
and	CC	and
being	VBG	be
buttoned	VBN	button
up	RP	up
and	CC	and
almost	RB	almost
overprepared	JJ	overprepared
,	,	,
because	IN	because
at	IN	at
some	DT	some
point	NN	point
your	PP$	your
qualifications	NNS	qualification
will	MD	will
be	VB	be
called	VBN	call
into	IN	into
question	NN	question
.	SENT	.
What	WP	what
would	MD	would
you	PP	you
encourage	VB	encourage
other	JJ	other
women	NNS	woman
to	TO	to
ask	VB	ask
so	RB	so
that	IN	that
they	PP	they
can	MD	can
figure	VB	figure
that	IN	that
out	RB	out
?	SENT	?
G	NP	G
:	:	:
The	DT	the
kinds	NNS	kind
of	IN	of
questions	NNS	question
that	IN	that
I	PP	I
asked	VBD	ask
were	VBD	be
questions	NNS	question
about	RB	about
,	,	,
"	``	"
Tell	VB	tell
me	PP	me
,	,	,
what	WP	what
were	VBD	be
the	DT	the
criteria	NNS	criterion
that	IN	that
you	PP	you
used	VBD	use
to	TO	to
make	VB	make
the	DT	the
decision	NN	decision
?	SENT	?
"	''	"
And	CC	and
that	DT	that
was	VBD	be
when	WRB	when
I	PP	I
eventually	RB	eventually
found	VBD	find
it	PP	it
out	RP	out
that	IN	that
it	PP	it
really	RB	really
had	VBD	have
something	NN	something
to	TO	to
do	VB	do
less	JJR	less
with	IN	with
performance	NN	performance
and	CC	and
capability	NN	capability
and	CC	and
with	IN	with
these	DT	these
,	,	,
sort	VB	sort
of	IN	of
,	,	,
more	RBR	more
vague	JJ	vague
things	NNS	thing
that	DT	that
couldn	NN	<unknown>
'	POS	'
t	NN	t
be	VB	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
documented	VBD	document
.	SENT	.
So	RB	so
once	RB	once
you	PP	you
know	VBP	know
what	WP	what
they	PP	they
say	VBP	say
the	DT	the
criteria	NNS	criterion
are	VBP	be
,	,	,
you	PP	you
can	MD	can
certainly	RB	certainly
dig	VB	dig
into	IN	into
that	DT	that
and	CC	and
ask	VB	ask
some	DT	some
more	JJR	more
questions	NNS	question
.	SENT	.
But	CC	but
that	DT	that
other	JJ	other
question	NN	question
about	RB	about
,	,	,
well	RB	well
,	,	,
what	WP	what
can	MD	can
I	PP	I
do	VB	do
differently	RB	differently
to	TO	to
be	VB	be
ready	JJ	ready
for	IN	for
that	DT	that
next	JJ	next
opportunity	NN	opportunity
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
really	RB	really
critical	JJ	critical
question	NN	question
.	SENT	.
Depending	VBG	depend
on	IN	on
the	DT	the
answer	NN	answer
you	PP	you
get	VBP	get
to	TO	to
that	DT	that
,	,	,
you	PP	you
can	MD	can
say	VB	say
,	,	,
well	RB	well
,	,	,
is	VBZ	be
there	RB	there
someone	NN	someone
that	IN	that
you	PP	you
can	MD	can
assign	VB	assign
to	TO	to
me	PP	me
,	,	,
a	DT	a
coach	NN	coach
if	IN	if
I	PP	I
need	VBP	need
one	CD	one
,	,	,
or	CC	or
some	DT	some
other	JJ	other
person	NN	person
who	WP	who
can	MD	can
help	VB	help
me	PP	me
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
this	DT	this
journey	NN	journey
that	IN	that
I	NP	I
'	POS	'
m	NN	m
on	IN	on
,	,	,
because	IN	because
I	PP	I
really	RB	really
would	MD	would
like	VB	like
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
optimize	VB	optimize
my	PP$	my
contributions	NNS	contribution
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
that	IN	that
you	PP	you
can	MD	can
help	VB	help
me	PP	me
.	SENT	.
DP	NP	DP
:	:	:
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
to	TO	to
get	VB	get
more	JJR	more
comfortable	JJ	comfortable
advocating	VBG	advocate
for	IN	for
ourselves	PP	ourselves
and	CC	and
finding	VBG	find
ways	NNS	way
that	WDT	that
really	RB	really
allow	VBP	allow
us	PP	us
to	TO	to
gain	VB	gain
more	JJR	more
information	NN	information
.	SENT	.
Because	IN	because
you	PP	you
'	POS	'
re	NN	re
right	NN	right
.	SENT	.
The	DT	the
other	JJ	other
data	NNS	datum
that	IN	that
I	PP	I
found	VBD	find
throughout	IN	throughout
the	DT	the
book	NN	book
is	VBZ	be
that	IN	that
women	NNS	woman
of	IN	of
color	NN	color
don	NN	don
'	POS	'
t	NN	t
often	RB	often
get	VBP	get
feedback	NN	feedback
,	,	,
Black	NP	Black
women	NNS	woman
especially	RB	especially
don	VBP	don
'	POS	'
t	NN	t
get	VB	get
feedback	NN	feedback
in	IN	in
any	DT	any
sort	NN	sort
of	IN	of
level	NN	level
of	IN	of
detail	NN	detail
that	RB	that
'	POS	'
s	NNS	<unknown>
helpful	JJ	helpful
.	SENT	.
So	RB	so
thank	VB	thank
you	PP	you
for	IN	for
sharing	VBG	share
that	DT	that
.	SENT	.
G	NP	G
:	:	:
Oh	UH	oh
,	,	,
my	PP$	my
pleasure	NN	pleasure
.	SENT	.
DP	NP	DP
:	:	:
I	PP	I
think	VBP	think
Gina	NP	Gina
'	POS	'
s	NN	S
example	NN	example
is	VBZ	be
so	RB	so
beautiful	JJ	beautiful
because	IN	because
the	DT	the
question	NN	question
I	PP	I
get	VBP	get
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
I	PP	I
stand	VBP	stand
up	RP	up
for	IN	for
myself	PP	myself
?	SENT	?
How	WRB	how
can	MD	can
you	PP	you
advocate	VB	advocate
for	IN	for
yourself	PP	yourself
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
make	VB	make
people	NNS	people
call	VB	call
you	PP	you
aggressive	JJ	aggressive
,	,	,
right	RB	right
?	SENT	?
Or	CC	or
too	RB	too
over	IN	over
the	DT	the
top	NN	top
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
the	DT	the
book	NN	book
,	,	,
I	PP	I
called	VBD	call
it	PP	it
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
Goldilocks	NN	goldilocks
,	,	,
like	VB	like
,	,	,
you	PP	you
can	MD	can
ask	VB	ask
for	IN	for
things	NNS	thing
,	,	,
but	CC	but
then	RB	then
there	EX	there
'	''	'
s	NN	S
backlash	NN	backlash
if	IN	if
you	PP	you
ask	VBP	ask
for	IN	for
too	RB	too
many	JJ	many
things	NNS	thing
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
is	VBZ	be
hard	JJ	hard
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
understand	VB	understand
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
I	PP	I
would	MD	would
say	VB	say
is	VBZ	be
,	,	,
this	DT	this
is	VBZ	be
also	RB	also
about	IN	about
sponsors	NNS	sponsor
and	CC	and
mentors	NNS	mentor
,	,	,
and	CC	and
finding	VBG	find
people	NNS	people
that	WDT	that
can	MD	can
help	VB	help
you	PP	you
navigate	VB	navigate
and	CC	and
help	VB	help
you	PP	you
understand	VB	understand
cultures	NNS	culture
and	CC	and
pull	VB	pull
you	PP	you
along	RP	along
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
my	PP$	my
biggest	JJS	big
challenges	NNS	challenge
used	VBN	use
to	TO	to
be	VB	be
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
role	NN	role
models	NNS	model
that	WDT	that
look	VBP	look
like	IN	like
me	PP	me
,	,	,
I	PP	I
was	VBD	be
a	DT	a
first	JJ	first
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
realized	VBD	realize
over	IN	over
time	NN	time
is	VBZ	be
I	PP	I
had	VBD	have
to	TO	to
pick	VB	pick
and	CC	and
choose	VB	choose
from	IN	from
other	JJ	other
people	NNS	people
that	WDT	that
were	VBD	be
around	IN	around
me	PP	me
to	TO	to
find	VB	find
a	DT	a
leadership	NN	leadership
style	NN	style
that	WDT	that
worked	VBD	work
for	IN	for
me	PP	me
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
my	PP$	my
biggest	JJS	big
advocates	NNS	advocate
were	VBD	be
white	JJ	white
male	JJ	male
leaders	NNS	leader
who	WP	who
I	PP	I
initially	RB	initially
thought	VBD	think
I	PP	I
had	VBD	have
nothing	NN	nothing
in	IN	in
common	JJ	common
with	IN	with
and	CC	and
through	IN	through
conversations	NNS	conversation
,	,	,
through	IN	through
breaking	VBG	break
bread	NN	bread
,	,	,
through	IN	through
finding	VBG	find
other	JJ	other
ways	NNS	way
to	TO	to
interact	VB	interact
with	IN	with
each	DT	each
other	JJ	other
we	PP	we
found	VBD	find
commonality	NN	commonality
,	,	,
and	CC	and
they	PP	they
really	RB	really
have	VBP	have
advocated	VBN	advocate
for	IN	for
me	PP	me
in	IN	in
huge	JJ	huge
ways	NNS	way
.	SENT	.
WPR	NN	WPR
:	:	:
The	DT	the
book	NN	book
,	,	,
it	PP	it
seems	VBZ	seem
like	IN	like
in	IN	in
your	PP$	your
writing	NN	writing
of	IN	of
it	PP	it
,	,	,
women	NNS	woman
of	IN	of
color	NN	color
were	VBD	be
really	RB	really
at	IN	at
the	DT	the
center	NN	center
of	IN	of
it	PP	it
,	,	,
were	VBD	be
really	RB	really
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
how	WRB	how
you	PP	you
framed	VBD	frame
this	DT	this
book	NN	book
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
interested	JJ	interested
to	TO	to
hear	VB	hear
sort	NN	sort
of	IN	of
what	WP	what
the	DT	the
response	NN	response
has	VBZ	have
been	VBN	be
from	IN	from
allies	NNS	ally
and	CC	and
people	NNS	people
who	WP	who
are	VBP	be
now	RB	now
part	NN	part
of	IN	of
that	DT	that
community	NN	community
.	SENT	.
DP	NP	DP
:	:	:
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
concepts	NNS	concept
apply	VBP	apply
outside	JJ	outside
of	IN	of
women	NNS	woman
of	IN	of
color	NN	color
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
white	JJ	white
male	JJ	male
leaders	NNS	leader
reaching	VBG	reach
out	RP	out
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
with	IN	with
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
early	RB	early
,	,	,
the	DT	the
book	NN	book
is	VBZ	be
just	RB	just
getting	VBG	get
into	IN	into
people	NNS	people
'	POS	'
s	NN	S
hands	NNS	hand
,	,	,
but	CC	but
the	DT	the
ones	NNS	one
who	WP	who
have	VBP	have
read	VBN	read
it	PP	it
have	VBP	have
found	VBN	find
it	PP	it
shocking	JJ	shocking
and	CC	and
surprising	JJ	surprising
.	SENT	.
They	PP	they
always	RB	always
thought	VBD	think
they	PP	they
were	VBD	be
good	JJ	good
allies	NNS	ally
,	,	,
and	CC	and
so	RB	so
the	DT	the
information	NN	information
and	CC	and
the	DT	the
stories	NNS	story
is	VBZ	be
really	RB	really
helpful	JJ	helpful
to	TO	to
them	PP	them
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
saying	VBG	say
to	TO	to
me	PP	me
,	,	,
work	NN	work
is	VBZ	be
not	RB	not
working	VBG	work
for	IN	for
them	PP	them
either	RB	either
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
really	RB	really
important	JJ	important
concept	NN	concept
.	SENT	.
People	NNS	people
of	IN	of
my	PP$	my
generation	NN	generation
and	CC	and
