Femi	NP	Femi
'	POS	'
s	NNS	<unknown>
done	VBN	do
.	SENT	.
"	``	"
So	RB	so
we	PP	we
start	VBP	start
creating	VBG	create
the	DT	the
girl	NN	girl
club	NN	club
and	CC	and
built	VBD	build
a	DT	a
curriculum	NN	curriculum
based	VBN	base
on	IN	on
their	PP$	their
need	NN	need
.	SENT	.
And	CC	and
they	PP	they
ask	VBP	ask
to	TO	to
be	VB	be
taught	VBN	teach
how	WRB	how
to	TO	to
prevent	VB	prevent
rape	NN	rape
.	SENT	.
How	WRB	how
can	MD	can
they	PP	they
run	VB	run
away	RB	away
?	SENT	?
How	WRB	how
can	MD	can
they	PP	they
do	VB	do
things	NNS	thing
?	SENT	?
So	RB	so
we	PP	we
come	VBP	come
up	RP	up
with	IN	with
simple	JJ	simple
thing	NN	thing
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
go	VB	go
out	RP	out
when	WRB	when
it	PP	it
'	POS	'
s	JJ	<unknown>
getting	VBG	get
dark	NN	dark
.	SENT	.
When	WRB	when
you	PP	you
'	POS	'
re	NN	re
walking	NN	walking
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
shadow	NN	shadow
behind	IN	behind
you	PP	you
and	CC	and
you	PP	you
feel	VBP	feel
uncomfortable	JJ	uncomfortable
,	,	,
don	NN	don
'	POS	'
t	NN	t
start	NN	start
,	,	,
don	NN	don
'	POS	'
t	NN	t
try	VBP	try
to	TO	to
be	VB	be
courageous	JJ	courageous
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
try	VBP	try
to	TO	to
be	VB	be
daring	JJ	daring
.	SENT	.
Run	VB	run
away	RB	away
.	SENT	.
And	CC	and
we	PP	we
prepared	VBD	prepare
the	DT	the
village	NN	village
.	SENT	.
If	IN	if
a	DT	a
girl	NN	girl
comes	VBZ	come
to	TO	to
your	PP$	your
house	NN	house
,	,	,
keep	VB	keep
her	PP	her
there	RB	there
until	IN	until
the	DT	the
family	NN	family
member	NN	member
can	MD	can
come	VB	come
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
danger	NN	danger
in	IN	in
the	DT	the
street	NN	street
.	SENT	.
So	RB	so
we	PP	we
start	VBP	start
the	DT	the
whole	JJ	whole
thing	NN	thing
like	IN	like
that	DT	that
.	SENT	.
What	WP	what
is	VBZ	be
going	VBG	go
on	IN	on
today	NN	today
that	IN	that
I	NP	I
'	POS	'
m	NN	m
really	RB	really
proud	JJ	proud
of	IN	of
is	VBZ	be
that	IN	that
those	DT	those
young	JJ	young
girls	NNS	girl
are	VBP	be
becoming	VBG	become
entrepreneurs	NNS	entrepreneur
and	CC	and
creating	VBG	create
jobs	NNS	job
.	SENT	.
They	PP	they
are	VBP	be
in	IN	in
total	JJ	total
control	NN	control
of	IN	of
what	WP	what
they	PP	they
do	VBP	do
with	IN	with
their	PP$	their
money	NN	money
.	SENT	.
They	PP	they
decided	VBD	decide
they	PP	they
'	''	'
re	IN	re
going	VBG	go
to	TO	to
save	VB	save
money	NN	money
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
me	PP	me
.	SENT	.
For	IN	for
the	DT	the
children	NNS	child
not	RB	not
to	TO	to
go	VB	go
through	IN	through
this	DT	this
again	RB	again
.	SENT	.
What	WP	what
they	PP	they
want	VBP	want
is	VBZ	be
to	TO	to
break	VB	break
the	DT	the
cycle	NN	cycle
of	IN	of
poverty	NN	poverty
.	SENT	.
The	DT	the
next	JJ	next
step	NN	step
that	IN	that
I	NP	I
'	POS	'
m	NN	m
taking	NN	taking
is	VBZ	be
to	TO	to
go	VB	go
to	TO	to
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
my	PP$	my
country	NN	country
,	,	,
Benin	NP	Benin
.	SENT	.
The	DT	the
girls	NNS	girl
in	IN	in
Benin	NP	Benin
,	,	,
at	IN	at
eight	CD	eight
years	NNS	year
old	JJ	old
,	,	,
are	VBP	be
sent	VBN	send
to	TO	to
the	DT	the
man	NN	man
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
marry	VB	marry
them	PP	them
home	NN	home
,	,	,
they	PP	they
become	VBP	become
maids	NNS	maid
,	,	,
until	IN	until
they	PP	they
have	VBP	have
--	:	--
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
break	VB	break
that	DT	that
cycle	NN	cycle
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
hard	RB	hard
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
asking	VBG	ask
for	IN	for
help	NN	help
with	IN	with
this	DT	this
for	IN	for
so	RB	so
long	JJ	long
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
start	VB	start
there	RB	there
with	IN	with
local	JJ	local
organizations	NNS	organization
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
bring	VB	bring
anybody	NN	anybody
from	IN	from
outside	NN	outside
.	SENT	.
We	PP	we
work	VBP	work
with	IN	with
the	DT	the
people	NNS	people
that	WDT	that
know	VBP	know
the	DT	the
needs	NNS	need
.	SENT	.
We	PP	we
work	VBP	work
with	IN	with
the	DT	the
village	NN	village
,	,	,
the	DT	the
head	NN	head
of	IN	of
the	DT	the
villages	NNS	village
,	,	,
the	DT	the
mothers	NNS	mother
.	SENT	.
We	PP	we
want	VBP	want
people	NNS	people
to	TO	to
see	VB	see
for	IN	for
themselves	PP	themselves
the	DT	the
progress	NN	progress
we	PP	we
are	VBP	be
making	VBG	make
and	CC	and
for	IN	for
them	PP	them
,	,	,
to	TO	to
allow	VB	allow
them	PP	them
to	TO	to
listen	VB	listen
to	TO	to
the	DT	the
kids	NNS	kid
that	IN	that
they	PP	they
never	RB	never
do	VBP	do
.	SENT	.
FO	NP	fo
:	:	:
What	WP	what
is	VBZ	be
the	DT	the
difference	NN	difference
between	IN	between
the	DT	the
pleasure	NN	pleasure
you	PP	you
get	VBP	get
from	IN	from
changing	VBG	change
a	DT	a
generation	NN	generation
'	POS	'
s	JJ	<unknown>
life	NN	life
to	TO	to
the	DT	the
pleasure	NN	pleasure
of	IN	of
being	VBG	be
on	IN	on
stage	NN	stage
at	IN	at
a	DT	a
major	JJ	major
event	NN	event
,	,	,
performing	VBG	perform
,	,	,
and	CC	and
the	DT	the
crowd	NN	crowd
is	VBZ	be
going	VBG	go
wild	JJ	wild
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
difference	NN	difference
between	IN	between
that	DT	that
kind	NN	kind
of	IN	of
joy	NN	joy
?	SENT	?
AK	NP	AK
:	:	:
They	PP	they
are	VBP	be
two	CD	two
totally	RB	totally
different	JJ	different
joys	NNS	joy
.	SENT	.
The	DT	the
joy	NN	joy
of	IN	of
seeing	VBG	see
these	DT	these
girls	NNS	girl
being	VBG	be
articulate	JJ	articulate
today	NN	today
,	,	,
talking	VBG	talk
truth	NN	truth
to	TO	to
power	NN	power
to	TO	to
the	DT	the
head	NN	head
of	IN	of
villages	NNS	village
telling	VBG	tell
them	PP	them
,	,	,
"	''	"
No	DT	no
one	CD	one
is	VBZ	be
touching	VBG	touch
us	PP	us
anymore	RB	anymore
.	SENT	.
No	DT	no
one	CD	one
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
touch	VB	touch
my	PP$	my
boob	NN	boob
,	,	,
no	RB	no
.	SENT	.
"	``	"
And	CC	and
they	PP	they
'	POS	'
re	NN	re
adamant	NN	adamant
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
joy	NN	joy
at	IN	at
taking	VBG	take
that	WDT	that
is	VBZ	be
that	IN	that
finally	RB	finally
,	,	,
you	PP	you
can	MD	can
speak	VB	speak
up	RP	up
with	IN	with
no	DT	no
danger	NN	danger
.	SENT	.
With	IN	with
no	DT	no
fear	NN	fear
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
empowering	VBG	empower
people	NNS	people
to	TO	to
that	DT	that
point	NN	point
makes	VBZ	make
me	PP	me
more	RBR	more
humble	JJ	humble
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VBP	know
,	,	,
sometimes	RB	sometimes
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	``	"
Where	WRB	where
is	VBZ	be
the	DT	the
hole	NN	hole
that	IN	that
I	PP	I
can	MD	can
drive	VB	drive
in	IN	in
and	CC	and
then	RB	then
disappear	VB	disappear
,	,	,
and	CC	and
let	VB	let
them	PP	them
be	VB	be
.	SENT	.
"	``	"
But	CC	but
they	PP	they
won	VBD	win
'	''	'
t	NN	t
let	VB	let
me	PP	me
go	VB	go
.	SENT	.
They	PP	they
say	VBP	say
,	,	,
"	``	"
We	PP	we
want	VBP	want
you	PP	you
to	TO	to
come	VB	come
and	CC	and
see	VB	see
us	PP	us
,	,	,
and	CC	and
then	RB	then
we	PP	we
learn	VBP	learn
from	IN	from
you	PP	you
.	SENT	.
"	``	"
But	CC	but
I	PP	I
learn	VBP	learn
more	JJR	more
from	IN	from
those	DT	those
girls	NNS	girl
than	IN	than
I	PP	I
can	MD	can
ever	RB	ever
learn	VB	learn
from	IN	from
anybody	NN	anybody
.	SENT	.
The	DT	the
joy	NN	joy
of	IN	of
being	VBG	be
onstage	NN	onstage
is	VBZ	be
different	JJ	different
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
planting	NN	planting
seeds	NNS	seed
worldwide	RB	worldwide
for	IN	for
people	NNS	people
to	TO	to
see	VB	see
their	PP$	their
capacity	NN	capacity
,	,	,
what	WP	what
they	PP	they
are	VBP	be
capable	JJ	capable
of	IN	of
.	SENT	.
How	WRB	how
many	JJ	many
times	NNS	time
after	IN	after
concert	NN	concert
people	NNS	people
will	MD	will
come	VB	come
to	TO	to
me	PP	me
and	CC	and
say	VBP	say
,	,	,
"	''	"
Angelique	NP	Angelique
,	,	,
how	WRB	how
can	MD	can
we	PP	we
help	VB	help
?	SENT	?
"	``	"
And	CC	and
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
"	``	"
How	WRB	how
can	MD	can
you	PP	you
help	VB	help
?	SENT	?
Come	VBN	come
on	IN	on
.	SENT	.
Your	PP$	your
neighbors	NNS	neighbor
.	SENT	.
Start	VB	start
looking	VBG	look
at	IN	at
them	PP	them
.	SENT	.
You	PP	you
can	MD	can
volunteer	VB	volunteer
your	PP$	your
time	NN	time
for	IN	for
homework	NN	homework
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
so	RB	so
much	RB	much
you	PP	you
can	MD	can
do	VB	do
in	IN	in
your	PP$	your
own	JJ	own
country	NN	country
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
think	VBP	think
that	IN	that
Africa	NP	Africa
is	VBZ	be
just	RB	just
the	DT	the
country	NN	country
where	WRB	where
we	PP	we
need	MD	need
help	VB	help
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
need	MD	need
help	VB	help
.	SENT	.
We	PP	we
need	VBP	need
collaboration	NN	collaboration
.	SENT	.
"	''	"
FO	NP	fo
:	:	:
Did	VBD	do
you	PP	you
warm	VB	warm
up	RP	up
your	PP$	your
voice	NN	voice
today	NN	today
?	SENT	?
AK	NP	AK
:	:	:
Yes	UH	yes
,	,	,
I	PP	I
did	VBD	do
.	SENT	.
FO	NP	fo
:	:	:
What	WP	what
do	VBP	do
you	PP	you
sing	VB	sing
to	TO	to
yourself	PP	yourself
to	TO	to
cheer	VB	cheer
yourself	PP	yourself
up	RP	up
?	SENT	?
What	WP	what
do	VBP	do
you	PP	you
sing	VB	sing
and	CC	and
is	VBZ	be
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
was	VBD	be
better	JJR	good
than	IN	than
Prozac	NP	Prozac
.	SENT	.
"	``	"
AK	NP	AK
:	:	:
We	PP	we
can	MD	can
sit	VB	sit
here	RB	here
for	IN	for
days	NNS	day
.	SENT	.
FO	NP	fo
:	:	:
So	RB	so
glad	JJ	glad
you	PP	you
warmed	VBD	warm
up	RP	up
.	SENT	.
When	WRB	when
you	PP	you
see	VBP	see
your	PP$	your
Grammys	NP	Grammys
lined	VBN	line
up	RP	up
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	DT	all
shiny	JJ	shiny
and	CC	and
extraordinary	JJ	extraordinary
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
even	RB	even
going	VBG	go
to	TO	to
name	VB	name
how	WRB	how
many	JJ	many
,	,	,
because	IN	because
every	DT	every
time	NN	time
I	PP	I
do	VBP	do
,	,	,
you	PP	you
get	VBP	get
more	JJR	more
and	CC	and
then	RB	then
this	DT	this
chat	NN	chat
will	MD	will
date	VB	date
,	,	,
so	RB	so
the	DT	the
many	JJ	many
,	,	,
multiple	JJ	multiple
Grammys	NP	Grammys
that	IN	that
you	PP	you
have	VBP	have
won	VBN	win
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
them	PP	them
,	,	,
Do	VB	do
you	PP	you
,	,	,
"	''	"
Whoo	NP	<unknown>
!	SENT	!
"	``	"
Does	VBZ	do
it	PP	it
feel	VBP	feel
good	JJ	good
?	SENT	?
AK	NP	AK
:	:	:
It	PP	it
feels	VBZ	feel
good	JJ	good
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
as	IN	as
I	PP	I
said	VBD	say
before	RB	before
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
responsibility	NN	responsibility
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
my	PP$	my
work	NN	work
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
nominated	VBN	nominate
first	JJ	first
time	NN	time
at	IN	at
the	DT	the
Grammys	NP	Grammys
,	,	,
it	PP	it
was	VBD	be
in	IN	in
1993	CD	@card@
,	,	,
'	''	'
94	CD	@card@
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
Grammy	NP	Grammy
I	PP	I
won	VBD	win
was	VBD	be
2007	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
to	TO	to
people	NNS	people
,	,	,
don	NN	don
'	POS	'
t	NN	t
take	VB	take
Grammy	NP	Grammy
for	IN	for
granted	VBN	grant
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
about	RB	about
how	WRB	how
many	JJ	many
likes	NNS	like
you	PP	you
have	VBP	have
,	,	,
it	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
say	VB	say
.	SENT	.
What	WP	what
you	PP	you
are	VBP	be
bringing	VBG	bring
to	TO	to
the	DT	the
table	NN	table
.	SENT	.
How	WRB	how
you	PP	you
are	VBP	be
impacting	VBG	impact
the	DT	the
world	NN	world
and	CC	and
how	WRB	how
you	PP	you
are	VBP	be
changing	VBG	change
the	DT	the
music	NN	music
business	NN	business
as	IN	as
it	PP	it
is	VBZ	be
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
that	DT	that
responsibility	NN	responsibility
is	VBZ	be
always	RB	always
at	IN	at
the	DT	the
core	NN	core
of	IN	of
everything	NN	everything
I	PP	I
do	VBP	do
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
setting	VBG	set
myself	PP	myself
to	TO	to
write	VB	write
new	JJ	new
songs	NNS	song
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
Grammys	NP	Grammys
.	SENT	.
All	RB	all
I	PP	I
think	VBP	think
about	RB	about
,	,	,
how	WRB	how
this	DT	this
song	NN	song
would	MD	would
help	VB	help
people	NNS	people
.	SENT	.
What	WP	what
impact	NN	impact
is	VBZ	be
it	PP	it
going	VBG	go
to	TO	to
have	VB	have
?	SENT	?
FO	NP	fo
:	:	:
I	PP	I
know	VBP	know
you	PP	you
plan	VBP	plan
.	SENT	.
I	PP	I
know	VBP	know
you	PP	you
have	VBP	have
ideas	NNS	idea
about	IN	about
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
next	JJ	next
.	SENT	.
For	IN	for
many	JJ	many
artists	NNS	artist
,	,	,
it	PP	it
would	MD	would
be	VB	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
spend	VB	spend
your	PP$	your
sunset	NN	sunset
years	NNS	year
?	SENT	?
But	CC	but
you	PP	you
have	VBP	have
extraordinary	JJ	extraordinary
longevity	NN	longevity
in	IN	in
your	PP$	your
family	NN	family
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
another	DT	another
half	PDT	half
a	DT	a
lifetime	NN	lifetime
still	RB	still
to	TO	to
go	VB	go
.	SENT	.
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
going	VBG	go
to	TO	to
100-year-old	JJ	100-year-old
Angélique	NP	<unknown>
Kidjo	NP	<unknown>
concert	NN	concert
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
still	RB	still
going	VBG	go
to	TO	to
be	VB	be
,	,	,
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
.	SENT	.
"	''	"
AK	NP	AK
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
running	VBG	run
around	RP	around
.	SENT	.
FO	NP	fo
:	:	:
So	RB	so
it	PP	it
feels	VBZ	feel
kind	NN	kind
of	IN	of
weird	JJ	weird
to	TO	to
talk	VB	talk
about	IN	about
legacy	NN	legacy
.	SENT	.
But	CC	but
what	WP	what
do	VBP	do
you	PP	you
want	VBP	want
people	NNS	people
who	WP	who
follow	VBP	follow
your	PP$	your
work	NN	work
,	,	,
admire	VB	admire
your	PP$	your
work	NN	work
,	,	,
see	VB	see
joy	NN	joy
in	IN	in
your	PP$	your
work	NN	work
,	,	,
what	WP	what
do	VBP	do
you	PP	you
want	VBP	want
them	PP	them
to	TO	to
take	VB	take
away	RB	away
from	IN	from
it	PP	it
?	SENT	?
AK	NP	AK
:	:	:
Well	UH	well
,	,	,
what	WP	what
I	PP	I
want	VBP	want
people	NNS	people
to	TO	to
take	VB	take
away	RP	away
from	IN	from
my	PP$	my
work	NN	work
is	VBZ	be
their	PP$	their
own	JJ	own
worth	NN	worth
,	,	,
people	NNS	people
'	POS	'
s	NN	S
worth	NN	worth
.	SENT	.
We	PP	we
have	VBP	have
too	RB	too
many	JJ	many
people	NNS	people
that	WDT	that
think	VBP	think
that	IN	that
they	PP	they
are	VBP	be
worth	JJ	worth
nothing	NN	nothing
.	SENT	.
And	CC	and
that	DT	that
hurts	VBZ	hurt
me	PP	me
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
give	VBP	give
birth	NN	birth
to	TO	to
a	DT	a
child	NN	child
,	,	,
when	WRB	when
a	DT	a
human	JJ	human
being	NN	being
is	VBZ	be
coming	VBG	come
out	RP	out
of	IN	of
your	PP$	your
body	NN	body
,	,	,
everything	NN	everything
changes	NNS	change
.	SENT	.
Priorities	NNS	priority
,	,	,
what	WP	what
matters	VBZ	matter
,	,	,
you	PP	you
learn	VBP	learn
to	TO	to
go	VB	go
to	TO	to
the	DT	the
core	NN	core
of	IN	of
things	NNS	thing
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
people	NNS	people
to	TO	to
remember	VB	remember
is	VBZ	be
that	IN	that
you	PP	you
can	MD	can
fall	VB	fall
beneath	IN	beneath
the	DT	the
Earth	NN	earth
.	SENT	.
But	CC	but
you	PP	you
always	RB	always
can	MD	can
rise	VB	rise
.	SENT	.
Does	VBZ	do
not	RB	not
matter	VB	matter
how	WRB	how
hard	JJ	hard
it	PP	it
is	VBZ	be
.	SENT	.
Get	VB	get
up	RB	up
,	,	,
and	CC	and
live	VB	live
your	PP$	your
life	NN	life
.	SENT	.
You	PP	you
know	VBP	know
it	PP	it
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
roll	VBP	roll
.	SENT	.
FO	NP	fo
:	:	:
I	PP	I
love	VBP	love
you	PP	you
.	SENT	.
AK	NP	AK
:	:	:
Me	PP	me
too	RB	too
.	SENT	.
Since	IN	since
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
met	VBD	meet
,	,	,
it	PP	it
was	VBD	be
a	DT	a
love	NN	love
story	NN	story
.	SENT	.
