Hans	NP	Hans
when	WRB	when
they	PP	they
went	VBD	go
to	TO	to
school	NN	school
,	,	,
and	CC	and
now	RB	now
they	PP	they
describe	VBP	describe
this	DT	this
world	NN	world
to	TO	to
the	DT	the
students	NNS	student
without	IN	without
any	DT	any
bad	JJ	bad
intentions	NNS	intention
,	,	,
and	CC	and
those	DT	those
books	NNS	book
,	,	,
of	IN	of
course	NN	course
,	,	,
that	WDT	that
are	VBP	be
printed	VBN	print
are	VBP	be
outdated	VBN	outdate
in	IN	in
a	DT	a
world	NN	world
that	IN	that
changes	NNS	change
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
really	RB	really
no	DT	no
practice	NN	practice
to	TO	to
keep	VB	keep
the	DT	the
teaching	NN	teaching
material	NN	material
up	RB	up
to	TO	to
date	NN	date
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
are	VBP	be
focusing	VBG	focus
on	IN	on
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
these	DT	these
outdated	JJ	outdated
facts	NNS	fact
added	VBD	add
on	IN	on
top	NN	top
of	IN	of
our	PP$	our
personal	JJ	personal
bias	NN	bias
.	SENT	.
What	WP	what
happens	VBZ	happen
next	JJ	next
is	VBZ	be
news	NN	news
,	,	,
okay	JJ	okay
?	SENT	?
An	DT	an
excellent	JJ	excellent
journalist	NN	journalist
knows	VBZ	know
how	WRB	how
to	TO	to
pick	VB	pick
the	DT	the
story	NN	story
that	WDT	that
will	MD	will
make	VB	make
headlines	NNS	headline
,	,	,
and	CC	and
people	NNS	people
will	MD	will
read	VB	read
it	PP	it
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
sensational	JJ	sensational
.	SENT	.
Unusual	JJ	unusual
events	NNS	event
are	VBP	be
more	RBR	more
interesting	JJ	interesting
,	,	,
no	RB	no
?	SENT	?
And	CC	and
they	PP	they
are	VBP	be
exaggerated	VBN	exaggerate
,	,	,
and	CC	and
especially	RB	especially
things	NNS	thing
we	PP	we
'	POS	'
re	NN	re
afraid	JJ	afraid
of	IN	of
.	SENT	.
A	DT	a
shark	NN	shark
attack	NN	attack
on	IN	on
a	DT	a
Swedish	JJ	Swedish
person	NN	person
will	MD	will
get	VB	get
headlines	NNS	headline
for	IN	for
weeks	NNS	week
in	IN	in
Sweden	NP	Sweden
.	SENT	.
So	IN	so
these	DT	these
three	CD	three
skewed	JJ	skewed
sources	NNS	source
of	IN	of
information	NN	information
were	VBD	be
really	RB	really
hard	JJ	hard
to	TO	to
get	VB	get
away	RP	away
from	IN	from
.	SENT	.
They	PP	they
kind	RB	kind
of	IN	of
bombard	VB	bombard
us	PP	us
and	CC	and
equip	VB	equip
our	PP$	our
mind	NN	mind
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
strange	JJ	strange
ideas	NNS	idea
,	,	,
and	CC	and
on	IN	on
top	JJ	top
of	IN	of
it	PP	it
we	PP	we
put	VBD	put
the	DT	the
very	JJ	very
thing	NN	thing
that	WDT	that
makes	VBZ	make
us	PP	us
humans	NNS	human
,	,	,
our	PP$	our
human	JJ	human
intuition	NN	intuition
.	SENT	.
It	PP	it
was	VBD	be
good	JJ	good
in	IN	in
evolution	NN	evolution
.	SENT	.
It	PP	it
helped	VBD	help
us	PP	us
generalize	VB	generalize
and	CC	and
jump	VB	jump
to	TO	to
conclusions	NNS	conclusion
very	RB	very
,	,	,
very	RB	very
fast	RB	fast
.	SENT	.
It	PP	it
helped	VBD	help
us	PP	us
exaggerate	VB	exaggerate
what	WP	what
we	PP	we
were	VBD	be
afraid	JJ	afraid
of	IN	of
,	,	,
and	CC	and
we	PP	we
seek	VBP	seek
causality	NN	causality
where	WRB	where
there	EX	there
is	VBZ	be
none	NN	none
,	,	,
and	CC	and
we	PP	we
then	RB	then
get	VBP	get
an	DT	an
illusion	NN	illusion
of	IN	of
confidence	NN	confidence
where	WRB	where
we	PP	we
believe	VBP	believe
that	IN	that
we	PP	we
are	VBP	be
the	DT	the
best	JJS	good
car	NN	car
drivers	NNS	driver
,	,	,
above	IN	above
the	DT	the
average	NN	average
.	SENT	.
Everybody	NN	everybody
answered	VBD	answer
that	DT	that
question	NN	question
,	,	,
"	''	"
Yeah	RB	yeah
,	,	,
I	PP	I
drive	VBP	drive
cars	NNS	car
better	RBR	well
.	SENT	.
"	''	"
Okay	RB	okay
,	,	,
this	DT	this
was	VBD	be
good	JJ	good
evolutionarily	RB	<unknown>
,	,	,
but	CC	but
now	RB	now
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
worldview	NN	<unknown>
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
exact	JJ	exact
reason	NN	reason
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
upside	RB	upside
down	RB	down
.	SENT	.
The	DT	the
trends	NNS	trend
that	WDT	that
are	VBP	be
increasing	VBG	increase
are	VBP	be
instead	RB	instead
falling	VBG	fall
,	,	,
and	CC	and
the	DT	the
other	JJ	other
way	NN	way
around	RB	around
,	,	,
and	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
the	DT	the
chimps	NNS	chimp
use	VBP	use
our	PP$	our
intuition	NN	intuition
against	IN	against
us	PP	us
,	,	,
and	CC	and
it	PP	it
becomes	VBZ	become
our	PP$	our
weakness	NN	weakness
instead	RB	instead
of	IN	of
our	PP$	our
strength	NN	strength
.	SENT	.
It	PP	it
was	VBD	be
supposed	VBN	suppose
to	TO	to
be	VB	be
our	PP$	our
strength	NN	strength
,	,	,
wasn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
solve	VB	solve
such	JJ	such
problems	NNS	problem
?	SENT	?
First	RB	first
,	,	,
we	PP	we
need	VBP	need
to	TO	to
measure	VB	measure
it	PP	it
,	,	,
and	CC	and
then	RB	then
we	PP	we
need	VBP	need
to	TO	to
cure	VB	cure
it	PP	it
.	SENT	.
So	RB	so
by	IN	by
measuring	VBG	measure
it	PP	it
we	PP	we
can	MD	can
understand	VB	understand
what	WP	what
is	VBZ	be
the	DT	the
pattern	NN	pattern
of	IN	of
ignorance	NN	ignorance
.	SENT	.
We	PP	we
started	VBD	start
the	DT	the
pilot	JJ	pilot
last	JJ	last
year	NN	year
,	,	,
and	CC	and
now	RB	now
we	PP	we
'	POS	'
re	NN	re
pretty	RB	pretty
sure	JJ	sure
that	IN	that
we	PP	we
will	MD	will
encounter	VB	encounter
a	DT	a
lot	NN	lot
of	IN	of
ignorance	NN	ignorance
across	IN	across
the	DT	the
whole	JJ	whole
world	NN	world
,	,	,
and	CC	and
the	DT	the
idea	NN	idea
is	VBZ	be
really	RB	really
to	TO	to
scale	VB	scale
it	PP	it
up	RP	up
to	TO	to
all	DT	all
domains	NNS	domain
or	CC	or
dimensions	NNS	dimension
of	IN	of
global	JJ	global
development	NN	development
,	,	,
such	JJ	such
as	IN	as
climate	NN	climate
,	,	,
endangered	JJ	endangered
species	NNS	specie
,	,	,
human	JJ	human
rights	NNS	right
,	,	,
gender	NN	gender
equality	NN	equality
,	,	,
energy	NN	energy
,	,	,
finance	NN	finance
.	SENT	.
All	DT	all
different	JJ	different
sectors	NNS	sector
have	VBP	have
facts	NNS	fact
,	,	,
and	CC	and
there	EX	there
are	VBP	be
organizations	NNS	organization
trying	VBG	try
to	TO	to
spread	VB	spread
awareness	NN	awareness
about	IN	about
these	DT	these
facts	NNS	fact
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
started	VBD	start
actually	RB	actually
contacting	VBG	contact
some	DT	some
of	IN	of
them	PP	them
,	,	,
like	IN	like
WWF	NP	WWF
and	CC	and
Amnesty	VB	amnesty
International	NP	International
and	CC	and
UNICEF	NP	UNICEF
,	,	,
and	CC	and
asking	VBG	ask
them	PP	them
,	,	,
what	WP	what
are	VBP	be
your	PP$	your
favorite	JJ	favorite
facts	NNS	fact
which	WDT	which
you	PP	you
think	VBP	think
the	DT	the
public	JJ	public
doesn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
?	SENT	?
Okay	RB	okay
,	,	,
I	PP	I
gather	VBP	gather
those	DT	those
facts	NNS	fact
.	SENT	.
Imagine	VB	imagine
a	DT	a
long	JJ	long
list	NN	list
with	IN	with
,	,	,
say	VB	say
,	,	,
250	CD	@card@
facts	NNS	fact
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
poll	VB	poll
the	DT	the
public	NN	public
and	CC	and
see	VB	see
where	WRB	where
they	PP	they
score	VBP	score
worst	RB	worst
.	SENT	.
So	RB	so
we	PP	we
get	VBP	get
a	DT	a
shorter	JJR	short
list	NN	list
with	IN	with
the	DT	the
terrible	JJ	terrible
results	NNS	result
,	,	,
like	IN	like
some	DT	some
few	JJ	few
examples	NNS	example
from	IN	from
Hans	NP	Hans
,	,	,
and	CC	and
we	PP	we
have	VBP	have
no	DT	no
problem	NN	problem
finding	VBG	find
these	DT	these
kinds	NNS	kind
of	IN	of
terrible	JJ	terrible
results	NNS	result
.	SENT	.
Okay	RB	okay
,	,	,
this	DT	this
little	JJ	little
shortlist	NN	<unknown>
,	,	,
what	WP	what
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
do	VB	do
with	IN	with
it	PP	it
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
turn	VBP	turn
it	PP	it
into	IN	into
a	DT	a
knowledge	NN	knowledge
certificate	NN	certificate
,	,	,
a	DT	a
global	JJ	global
knowledge	NN	knowledge
certificate	NN	certificate
,	,	,
which	WDT	which
you	PP	you
can	MD	can
use	VB	use
,	,	,
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
large	JJ	large
organization	NN	organization
,	,	,
a	DT	a
school	NN	school
,	,	,
a	DT	a
university	NN	university
,	,	,
or	CC	or
maybe	RB	maybe
a	DT	a
news	NN	news
agency	NN	agency
,	,	,
to	TO	to
certify	VB	certify
yourself	PP	yourself
as	IN	as
globally	RB	globally
knowledgeable	JJ	knowledgeable
.	SENT	.
Basically	RB	basically
meaning	VBG	mean
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
hire	NN	hire
people	NNS	people
who	WP	who
score	VBP	score
like	IN	like
chimpanzees	NNS	chimpanzee
.	SENT	.
Of	IN	of
course	NN	course
you	PP	you
shouldn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
So	RB	so
maybe	RB	maybe
10	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
,	,	,
if	IN	if
this	DT	this
project	NN	project
succeeds	VBZ	succeed
,	,	,
you	PP	you
will	MD	will
be	VB	be
sitting	VBG	sit
in	IN	in
an	DT	an
interview	NN	interview
having	VBG	have
to	TO	to
fill	VB	fill
out	RP	out
this	DT	this
crazy	JJ	crazy
global	JJ	global
knowledge	NN	knowledge
.	SENT	.
So	RB	so
now	RB	now
we	PP	we
come	VBP	come
to	TO	to
the	DT	the
practical	JJ	practical
tricks	NNS	trick
.	SENT	.
How	WRB	how
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
succeed	VB	succeed
?	SENT	?
There	EX	there
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
one	CD	one
way	NN	way
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
sit	VB	sit
down	RP	down
late	JJ	late
nights	NNS	night
and	CC	and
learn	VB	learn
all	PDT	all
the	DT	the
facts	NNS	fact
by	IN	by
heart	NN	heart
by	IN	by
reading	VBG	read
all	PDT	all
these	DT	these
reports	NNS	report
.	SENT	.
That	DT	that
will	MD	will
never	RB	never
happen	VB	happen
,	,	,
actually	RB	actually
.	SENT	.
Not	RB	not
even	RB	even
Hans	NP	Hans
thinks	VBZ	think
that	IN	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
People	NNS	people
don	VB	don
'	''	'
t	NN	t
have	VBP	have
that	DT	that
time	NN	time
.	SENT	.
People	NNS	people
like	IN	like
shortcuts	NNS	shortcut
,	,	,
and	CC	and
here	RB	here
are	VBP	be
the	DT	the
shortcuts	NNS	shortcut
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
turn	VB	turn
our	PP$	our
intuition	NN	intuition
into	IN	into
strength	NN	strength
again	RB	again
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
generalize	VB	generalize
.	SENT	.
So	RB	so
now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
some	DT	some
tricks	NNS	trick
where	WRB	where
the	DT	the
misconceptions	NNS	misconception
are	VBP	be
turned	VBN	turn
around	RP	around
into	IN	into
rules	NNS	rule
of	IN	of
thumb	NN	thumb
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
the	DT	the
first	JJ	first
misconception	NN	misconception
.	SENT	.
This	DT	this
is	VBZ	be
very	RB	very
widespread	JJ	widespread
.	SENT	.
Everything	NN	everything
is	VBZ	be
getting	VBG	get
worse	JJR	bad
.	SENT	.
You	PP	you
heard	VBD	hear
it	PP	it
.	SENT	.
You	PP	you
thought	VBD	think
it	PP	it
yourself	PP	yourself
.	SENT	.
The	DT	the
other	JJ	other
way	NN	way
to	TO	to
think	VB	think
is	VBZ	be
,	,	,
most	JJS	most
things	NNS	thing
improve	VBP	improve
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
sitting	VBG	sit
with	IN	with
a	DT	a
question	NN	question
in	IN	in
front	NN	front
of	IN	of
you	PP	you
and	CC	and
you	PP	you
'	POS	'
re	NN	re
unsure	JJ	unsure
.	SENT	.
You	PP	you
should	MD	should
guess	VB	guess
"	``	"
improve	VB	improve
.	SENT	.
"	''	"
Okay	JJ	okay
?	SENT	?
Don	NP	Don
'	POS	'
t	NN	t
go	VB	go
for	IN	for
the	DT	the
worse	JJR	bad
.	SENT	.
That	DT	that
will	MD	will
help	VB	help
you	PP	you
score	VBP	score
better	JJR	good
on	IN	on
our	PP$	our
tests	NNS	test
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
first	JJ	first
one	CD	one
.	SENT	.
There	EX	there
are	VBP	be
rich	JJ	rich
and	CC	and
poor	JJ	poor
and	CC	and
the	DT	the
gap	NN	gap
is	VBZ	be
increasing	VBG	increase
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
terrible	JJ	terrible
inequality	NN	inequality
.	SENT	.
Yeah	RB	yeah
,	,	,
it	PP	it
'	POS	'
s	NN	S
an	DT	an
unequal	JJ	unequal
world	NN	world
,	,	,
but	CC	but
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
data	NNS	datum
,	,	,
it	PP	it
'	POS	'
s	NN	S
one	CD	one
hump	NN	hump
.	SENT	.
Okay	JJ	okay
?	SENT	?
If	IN	if
you	PP	you
feel	VBP	feel
unsure	JJ	unsure
,	,	,
go	VB	go
for	IN	for
"	``	"
the	DT	the
most	JJS	most
people	NNS	people
are	VBP	be
in	IN	in
the	DT	the
middle	NN	middle
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
help	VB	help
you	PP	you
get	VB	get
the	DT	the
answer	NN	answer
right	NN	right
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
next	JJ	next
preconceived	VBN	preconceive
idea	NN	idea
is	VBZ	be
first	JJ	first
countries	NNS	country
and	CC	and
people	NNS	people
need	VBP	need
to	TO	to
be	VB	be
very	RB	very
,	,	,
very	RB	very
rich	JJ	rich
to	TO	to
get	VB	get
the	DT	the
social	JJ	social
development	NN	development
like	IN	like
girls	NNS	girl
in	IN	in
school	NN	school
and	CC	and
be	VB	be
ready	JJ	ready
for	IN	for
natural	JJ	natural
disasters	NNS	disaster
.	SENT	.
No	UH	no
,	,	,
no	UH	no
,	,	,
no	UH	no
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
.	SENT	.
Look	NN	look
:	:	:
that	DT	that
huge	JJ	huge
hump	NN	hump
in	IN	in
the	DT	the
middle	NN	middle
already	RB	already
have	VBP	have
girls	NNS	girl
in	IN	in
school	NN	school
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
are	VBP	be
unsure	JJ	unsure
,	,	,
go	VB	go
for	IN	for
the	DT	the
"	``	"
the	DT	the
majority	NN	majority
already	RB	already
have	VBP	have
this	DT	this
,	,	,
"	''	"
like	IN	like
electricity	NN	electricity
and	CC	and
girls	NNS	girl
in	IN	in
school	NN	school
,	,	,
these	DT	these
kinds	NNS	kind
of	IN	of
things	NNS	thing
.	SENT	.
They	PP	they
'	''	'
re	IN	re
only	JJ	only
rules	NNS	rule
of	IN	of
thumb	NN	thumb
,	,	,
so	RB	so
of	IN	of
course	NN	course
they	PP	they
don	VBP	don
'	''	'
t	NN	t
apply	VB	apply
to	TO	to
everything	NN	everything
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
how	WRB	how
you	PP	you
can	MD	can
generalize	VB	generalize
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
last	JJ	last
one	CD	one
.	SENT	.
If	IN	if
something	NN	something
,	,	,
yes	UH	yes
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
good	JJ	good
one	CD	one
,	,	,
sharks	NNS	shark
are	VBP	be
dangerous	JJ	dangerous
.	SENT	.
No	UH	no
—	:	-
well	UH	well
,	,	,
yes	UH	yes
,	,	,
but	CC	but
they	PP	they
are	VBP	be
not	RB	not
so	RB	so
important	JJ	important
in	IN	in
the	DT	the
global	JJ	global
statistics	NNS	statistic
,	,	,
that	WDT	that
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
.	SENT	.
I	PP	I
actually	RB	actually
,	,	,
I	PP	I
'	POS	'
m	NN	m
very	RB	very
afraid	JJ	afraid
of	IN	of
sharks	NNS	shark
.	SENT	.
So	RB	so
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
see	VBP	see
a	DT	a
question	NN	question
about	IN	about
things	NNS	thing
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
of	IN	of
,	,	,
which	WDT	which
might	MD	might
be	VB	be
earthquakes	NNS	earthquake
,	,	,
other	JJ	other
religions	NNS	religion
,	,	,
maybe	RB	maybe
I	NP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
of	IN	of
terrorists	NNS	terrorist
or	CC	or
sharks	NNS	shark
,	,	,
anything	NN	anything
that	WDT	that
makes	VBZ	make
me	PP	me
feel	VBP	feel
,	,	,
assume	VBP	assume
you	PP	you
'	''	'
re	IN	re
going	VBG	go
to	TO	to
exaggerate	VB	exaggerate
the	DT	the
problem	NN	problem
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
rule	NN	rule
of	IN	of
thumb	NN	thumb
.	SENT	.
Of	IN	of
course	NN	course
there	EX	there
are	VBP	be
dangerous	JJ	dangerous
things	NNS	thing
that	WDT	that
are	VBP	be
also	RB	also
great	JJ	great
.	SENT	.
Sharks	NNS	shark
kill	VBP	kill
very	RB	very
,	,	,
very	RB	very
few	JJ	few
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
should	MD	should
think	VB	think
.	SENT	.
With	IN	with
these	DT	these
four	CD	four
rules	NNS	rule
of	IN	of
thumb	NN	thumb
,	,	,
you	PP	you
could	MD	could
probably	RB	probably
answer	VB	answer
better	RBR	well
than	IN	than
the	DT	the
chimps	NNS	chimp
,	,	,
because	IN	because
the	DT	the
chimps	NNS	chimp
cannot	MD	can
do	VB	do
this	DT	this
.	SENT	.
They	PP	they
cannot	MD	can
generalize	VB	generalize
these	DT	these
kinds	NNS	kind
of	IN	of
rules	NNS	rule
.	SENT	.
And	CC	and
hopefully	RB	hopefully
we	PP	we
can	MD	can
turn	VB	turn
your	PP$	your
world	NN	world
around	RP	around
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
beat	VB	beat
the	DT	the
chimps	NNS	chimp
.	SENT	.
Okay	JJ	okay
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
a	DT	a
systematic	JJ	systematic
approach	NN	approach
.	SENT	.
Now	RB	now
the	DT	the
question	NN	question
,	,	,
is	VBZ	be
this	DT	this
important	JJ	important
?	SENT	?
Yeah	RB	yeah
,	,	,
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
understand	VB	understand
poverty	NN	poverty
,	,	,
extreme	JJ	extreme
poverty	NN	poverty
and	CC	and
how	WRB	how
to	TO	to
fight	VB	fight
it	PP	it
,	,	,
and	CC	and
how	WRB	how
to	TO	to
bring	VB	bring
girls	NNS	girl
in	IN	in
school	NN	school
.	SENT	.
When	WRB	when
we	PP	we
realize	VBP	realize
that	IN	that
actually	RB	actually
it	PP	it
'	POS	'
s	NN	S
succeeding	VBG	succeed
,	,	,
we	PP	we
can	MD	can
understand	VB	understand
it	PP	it
.	SENT	.
But	CC	but
is	VBZ	be
it	PP	it
important	JJ	important
for	IN	for
everyone	NN	everyone
else	NN	else
who	WP	who
cares	VBZ	care
about	IN	about
the	DT	the
rich	JJ	rich
end	NN	end
of	IN	of
this	DT	this
scale	NN	scale
?	SENT	?
I	PP	I
would	MD	would
say	VB	say
yes	UH	yes
,	,	,
extremely	RB	extremely
important	JJ	important
,	,	,
for	IN	for
the	DT	the
same	JJ	same
reason	NN	reason
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
a	DT	a
fact-based	JJ	fact-based
worldview	NN	<unknown>
of	IN	of
today	NN	today
,	,	,
you	PP	you
might	MD	might
have	VB	have
a	DT	a
chance	NN	chance
to	TO	to
understand	VB	understand
what	WP	what
'	POS	'
s	NN	S
coming	VBG	come
next	JJ	next
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
back	RB	back
to	TO	to
these	DT	these
two	CD	two
humps	NNS	hump
in	IN	in
1975	CD	@card@
.	SENT	.
That	WDT	that
'	POS	'
s	NN	S
when	WRB	when
I	PP	I
was	VBD	be
born	VBN	bear
,	,	,
and	CC	and
I	PP	I
selected	VBD	select
the	DT	the
West	NN	west
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
current	JJ	current
EU	NP	EU
countries	NNS	country
and	CC	and
North	NP	North
America	NP	America
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
now	RB	now
see	VBP	see
how	WRB	how
the	DT	the
rest	NN	rest
and	CC	and
the	DT	the
West	NP	West
compares	VBZ	compare
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
rich	JJ	rich
you	PP	you
are	VBP	be
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
people	NNS	people
who	WP	who
can	MD	can
afford	VB	afford
to	TO	to
fly	VB	fly
abroad	RB	abroad
with	IN	with
an	DT	an
airplane	NN	airplane
for	IN	for
a	DT	a
vacation	NN	vacation
.	SENT	.
In	IN	in
1975	CD	@card@
,	,	,
only	RB	only
30	CD	@card@
percent	NN	percent
of	IN	of
them	PP	them
lived	VBD	live
outside	IN	outside
EU	NP	EU
and	CC	and
North	NP	North
America	NP	America
.	SENT	.
But	CC	but
this	DT	this
has	VBZ	have
changed	VBN	change
,	,	,
okay	RB	okay
?	SENT	?
So	RB	so
first	JJ	first
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
change	NN	change
up	RB	up
till	IN	till
today	NN	today
,	,	,
2014	CD	@card@
.	SENT	.
Today	NN	today
it	PP	it
'	POS	'
s	NN	S
50	CD	@card@
/	SYM	/
50	CD	@card@
.	SENT	.
The	DT	the
Western	JJ	Western
domination	NN	domination
is	VBZ	be
over	RP	over
,	,	,
as	RB	as
of	IN	of
today	NN	today
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
nice	JJ	nice
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
next	JJ	next
?	SENT	?
Do	VB	do
you	PP	you
see	VB	see
the	DT	the
big	JJ	big
hump	NN	hump
?	SENT	?
Did	VBD	do
you	PP	you
see	VBP	see
how	WRB	how
it	PP	it
moved	VBD	move
?	SENT	?
I	PP	I
did	VBD	do
a	DT	a
little	JJ	little
experiment	NN	experiment
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
IMF	NP	IMF
,	,	,
International	NP	International
Monetary	NP	Monetary
Fund	NP	Fund
,	,	,
website	NN	website
.	SENT	.
They	PP	they
have	VBP	have
a	DT	a
forecast	NN	forecast
for	IN	for
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
of	IN	of
GDP	NP	GDP
per	IN	per
capita	NN	capita
.	SENT	.
So	RB	so
I	PP	I
can	MD	can
use	VB	use
that	IN	that
to	TO	to
go	VB	go
five	CD	five
years	NNS	year
into	IN	into
the	DT	the
future	NN	future
,	,	,
assuming	VBG	assume
the	DT	the
income	NN	income
inequality	NN	inequality
of	IN	of
each	DT	each
country	NN	country
is	VBZ	be
the	DT	the
same	JJ	same
.	SENT	.
I	PP	I
did	VBD	do
that	IN	that
,	,	,
but	CC	but
I	PP	I
went	VBD	go
even	RB	even
further	RBR	further
.	SENT	.
I	PP	I
used	VBD	use
those	DT	those
five	CD	five
years	NNS	year
for	IN	for
the	DT	the
next	JJ	next
20	CD	@card@
years	NNS	year
with	IN	with
the	DT	the
same	JJ	same
speed	NN	speed
,	,	,
just	RB	just
as	IN	as
an	DT	an
experiment	NN	experiment
what	WP	what
might	MD	might
actually	RB	actually
happen	VB	happen
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
move	NN	move
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
In	IN	in
2020	CD	@card@
,	,	,
it	PP	it
'	POS	'
s	NN	S
57	CD	@card@
percent	NN	percent
in	IN	in
the	DT	the
rest	NN	rest
.	SENT	.
In	IN	in
2025	CD	@card@
,	,	,
63	CD	@card@
percent	NN	percent
.	SENT	.
2030	CD	@card@
,	,	,
68	CD	@card@
.	SENT	.
And	CC	and
in	IN	in
2035	CD	@card@
,	,	,
the	DT	the
West	NP	West
is	VBZ	be
outnumbered	VBN	outnumber
in	IN	in
the	DT	the
rich	JJ	rich
consumer	NN	consumer
market	NN	market
.	SENT	.
These	DT	these
are	VBP	be
just	RB	just
projections	NNS	projection
of	IN	of
GDP	NP	GDP
per	IN	per
capita	NN	capita
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
Seventy-three	NN	Seventy-three
percent	NN	percent
of	IN	of
the	DT	the
rich	JJ	rich
consumers	NNS	consumer
are	VBP	be
going	VBG	go
to	TO	to
live	VB	live
outside	IN	outside
North	NP	North
America	NP	America
and	CC	and
Europe	NP	Europe
.	SENT	.
So	CC	so
yes	UH	yes
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
good	JJ	good
idea	NN	idea
for	IN	for
a	DT	a
company	NN	company
to	TO	to
use	VB	use
this	DT	this
certificate	NN	certificate
to	TO	to
make	VB	make
sure	JJ	sure
to	TO	to
make	VB	make
fact-	JJ	<unknown>
based	VBN	base
decisions	NNS	decision
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Bruno	NP	Bruno
Giussani	NP	<unknown>
:	:	:
Hans	NP	Hans
and	CC	and
Ola	NP	Ola
Rosling	NP	<unknown>
!	SENT	!
