On	IN	on
supposed	VBN	suppose
to	TO	to
sit	VB	sit
?	SENT	?
How	WRB	how
am	VBP	be
I	PP	I
supposed	VBN	suppose
to	TO	to
work	VB	work
?	SENT	?
Where	WRB	where
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
be	VB	be
in	IN	in
5	CD	@card@
years	NNS	year
'	POS	'
time	NN	time
?	SENT	?
And	CC	and
we	PP	we
looked	VBD	look
at	IN	at
that	IN	that
and	CC	and
we	PP	we
said	VBD	say
,	,	,
we	PP	we
have	VBP	have
to	TO	to
start	VB	start
much	RB	much
earlier	RBR	earlier
.	SENT	.
Where	WRB	where
do	VBP	do
we	PP	we
start	VBP	start
?	SENT	?
We	PP	we
said	VBD	say
,	,	,
oh	UH	oh
,	,	,
kindergarten	NN	kindergarten
seems	VBZ	seem
like	IN	like
a	DT	a
good	JJ	good
place	NN	place
.	SENT	.
So	RB	so
we	PP	we
set	VBD	set
up	RP	up
a	DT	a
foundation	NN	foundation
,	,	,
which	WDT	which
now	RB	now
has	VBZ	have
,	,	,
for	IN	for
11	CD	@card@
years	NNS	year
,	,	,
three	CD	three
schools	NNS	school
,	,	,
where	WRB	where
we	PP	we
started	VBD	start
asking	VBG	ask
the	DT	the
same	JJ	same
questions	NNS	question
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
redesign	VB	redesign
school	NN	school
for	IN	for
wisdom	NN	wisdom
?	SENT	?
It	PP	it
is	VBZ	be
one	CD	one
thing	NN	thing
to	TO	to
say	VB	say
,	,	,
we	PP	we
need	VBP	need
to	TO	to
recycle	VB	recycle
the	DT	the
teachers	NNS	teacher
,	,	,
we	PP	we
need	VBP	need
the	DT	the
directors	NNS	director
to	TO	to
do	VB	do
more	RBR	more
.	SENT	.
But	CC	but
the	DT	the
fact	NN	fact
is	VBZ	be
that	IN	that
what	WP	what
we	PP	we
do	VBP	do
with	IN	with
education	NN	education
is	VBZ	be
entirely	RB	entirely
obsolete	JJ	obsolete
.	SENT	.
The	DT	the
teacher	NN	teacher
'	POS	'
s	NN	S
role	NN	role
is	VBZ	be
entirely	RB	entirely
obsolete	JJ	obsolete
.	SENT	.
Going	VBG	go
from	IN	from
a	DT	a
math	NN	math
class	NN	class
,	,	,
to	TO	to
biology	NN	biology
,	,	,
to	TO	to
14th-century	NP	14th-century
France	NP	France
is	VBZ	be
very	RB	very
silly	JJ	silly
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
thinking	VBG	think
,	,	,
what	WP	what
could	MD	could
it	PP	it
look	VB	look
like	IN	like
?	SENT	?
And	CC	and
we	PP	we
put	VBD	put
together	RB	together
people	NNS	people
,	,	,
including	VBG	include
people	NNS	people
who	WP	who
like	VBP	like
education	NN	education
,	,	,
people	NNS	people
like	IN	like
Paulo	NP	Paulo
Freire	NP	Freire
,	,	,
and	CC	and
two	CD	two
ministers	NNS	minister
of	IN	of
education	NN	education
in	IN	in
Brazil	NP	Brazil
and	CC	and
we	PP	we
said	VBD	say
,	,	,
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
design	VB	design
a	DT	a
school	NN	school
from	IN	from
scratch	NN	scratch
,	,	,
what	WP	what
would	MD	would
it	PP	it
look	VB	look
like	IN	like
?	SENT	?
And	CC	and
so	RB	so
we	PP	we
created	VBD	create
this	DT	this
school	NN	school
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
Lumiar	NP	<unknown>
,	,	,
and	CC	and
Lumiar	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
a	DT	a
public	JJ	public
school	NN	school
,	,	,
and	CC	and
Lumiar	NP	<unknown>
says	VBZ	say
the	DT	the
following	NN	following
:	:	:
Let	VB	let
'	''	'
s	NNS	<unknown>
divide	VBP	divide
this	DT	this
role	NN	role
of	IN	of
the	DT	the
teacher	NN	teacher
into	IN	into
two	CD	two
.	SENT	.
One	CD	one
guy	NN	guy
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
call	VBP	call
a	DT	a
tutor	NN	tutor
.	SENT	.
A	DT	a
tutor	NN	tutor
,	,	,
in	IN	in
the	DT	the
old	JJ	old
sense	NN	sense
of	IN	of
the	DT	the
Greek	JJ	Greek
"	``	"
paideia	NN	<unknown>
"	''	"
:	:	:
Look	VB	look
after	IN	after
the	DT	the
kid	NN	kid
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
at	IN	at
home	NN	home
,	,	,
what	WP	what
'	''	'
s	VBG	<unknown>
their	PP$	their
moment	NN	moment
in	IN	in
life	NN	life
,	,	,
etc	FW	etc
.	SENT	.
.	SENT	.
But	CC	but
please	VB	please
don	NN	don
'	POS	'
t	NN	t
teach	VB	teach
,	,	,
because	IN	because
the	DT	the
little	JJ	little
you	PP	you
know	VBP	know
compared	VBN	compare
to	TO	to
Google	NP	<unknown>
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
Keep	VB	keep
that	IN	that
to	TO	to
yourself	PP	yourself
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
bring	VBP	bring
in	IN	in
people	NNS	people
who	WP	who
have	VBP	have
two	CD	two
things	NNS	thing
:	:	:
passion	NN	passion
and	CC	and
expertise	NN	expertise
,	,	,
and	CC	and
it	PP	it
could	MD	could
be	VB	be
their	PP$	their
profession	NN	profession
or	CC	or
not	RB	not
.	SENT	.
And	CC	and
we	PP	we
use	VBP	use
the	DT	the
senior	JJ	senior
citizens	NNS	citizen
,	,	,
who	WP	who
are	VBP	be
25	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
with	IN	with
wisdom	NN	wisdom
that	IN	that
nobody	NN	nobody
wants	VBZ	want
anymore	RB	anymore
.	SENT	.
So	RB	so
we	PP	we
bring	VBP	bring
them	PP	them
to	TO	to
school	NN	school
and	CC	and
we	PP	we
say	VBP	say
,	,	,
teach	VBP	teach
these	DT	these
kids	NNS	kid
whatever	WDT	whatever
you	PP	you
really	RB	really
believe	VBP	believe
in	IN	in
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
violinists	NNS	violinist
teaching	VBG	teach
math	NN	math
.	SENT	.
We	PP	we
have	VBP	have
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
where	WRB	where
we	PP	we
say	VBP	say
,	,	,
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
about	IN	about
the	DT	the
course	NN	course
material	NN	material
anymore	RB	anymore
.	SENT	.
We	PP	we
have	VBP	have
approximately	RB	approximately
10	CD	@card@
great	JJ	great
threads	NNS	thread
that	WDT	that
go	VBP	go
from	IN	from
2	CD	@card@
to	TO	to
17	CD	@card@
.	SENT	.
Things	NNS	thing
like	VBP	like
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
measure	VB	measure
ourselves	PP	ourselves
as	IN	as
humans	NNS	human
?	SENT	?
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
place	NN	place
for	IN	for
math	NN	math
and	CC	and
physics	NN	physics
and	CC	and
all	PDT	all
that	DT	that
there	RB	there
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
express	VB	express
ourselves	PP	ourselves
?	SENT	?
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
place	NN	place
for	IN	for
music	NN	music
and	CC	and
literature	NN	literature
,	,	,
etc	FW	etc
.	SENT	.
,	,	,
but	CC	but
also	RB	also
for	IN	for
grammar	NN	grammar
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
have	VB	have
things	NNS	thing
that	IN	that
everyone	NN	everyone
has	VBZ	have
forgotten	VBN	forget
,	,	,
which	WDT	which
are	VBP	be
probably	RB	probably
the	DT	the
most	RBS	most
important	JJ	important
things	NNS	thing
in	IN	in
life	NN	life
.	SENT	.
The	DT	the
very	RB	very
important	JJ	important
things	NNS	thing
in	IN	in
life	NN	life
,	,	,
we	PP	we
know	VBP	know
nothing	NN	nothing
about	RB	about
.	SENT	.
We	PP	we
know	VBP	know
nothing	NN	nothing
about	IN	about
love	NN	love
,	,	,
we	PP	we
know	VBP	know
nothing	NN	nothing
about	IN	about
death	NN	death
,	,	,
we	PP	we
know	VBP	know
nothing	NN	nothing
about	IN	about
why	WRB	why
we	PP	we
'	POS	'
re	NN	re
here	RB	here
.	SENT	.
So	RB	so
we	PP	we
need	VBP	need
a	DT	a
thread	NN	thread
in	IN	in
school	NN	school
that	IN	that
talks	NNS	talk
about	IN	about
everything	NN	everything
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
So	RB	so
over	IN	over
the	DT	the
years	NNS	year
,	,	,
we	PP	we
started	VBD	start
going	VBG	go
into	IN	into
other	JJ	other
things	NNS	thing
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
why	WRB	why
do	VBP	do
we	PP	we
have	VBP	have
to	TO	to
scold	VB	scold
the	DT	the
kids	NNS	kid
and	CC	and
say	VBP	say
,	,	,
sit	VBP	sit
down	RP	down
and	CC	and
come	VB	come
here	RB	here
and	CC	and
do	VBP	do
that	IN	that
,	,	,
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
We	PP	we
said	VBD	say
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
get	VBP	get
the	DT	the
kids	NNS	kid
to	TO	to
do	VB	do
something	NN	something
we	PP	we
call	VBP	call
a	DT	a
circle	NN	circle
,	,	,
which	WDT	which
meets	VBZ	meet
once	IN	once
a	DT	a
week	NN	week
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
d	NN	d
say	VBP	say
,	,	,
you	PP	you
put	VBD	put
the	DT	the
rules	NNS	rule
together	RB	together
and	CC	and
then	RB	then
you	PP	you
decide	VBP	decide
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
with	IN	with
it	PP	it
.	SENT	.
So	RB	so
can	MD	can
you	PP	you
all	RB	all
hit	VBD	hit
yourself	PP	yourself
on	IN	on
the	DT	the
head	NN	head
?	SENT	?
Sure	RB	sure
,	,	,
for	IN	for
a	DT	a
week	NN	week
,	,	,
try	VBP	try
.	SENT	.
They	PP	they
came	VBD	come
up	RP	up
with	IN	with
the	DT	the
very	RB	very
same	JJ	same
rules	NNS	rule
that	IN	that
we	PP	we
had	VBD	have
,	,	,
except	IN	except
they	PP	they
'	''	'
re	IN	re
theirs	PP	theirs
.	SENT	.
And	CC	and
then	RB	then
,	,	,
they	PP	they
have	VBP	have
the	DT	the
power	NN	power
,	,	,
which	WDT	which
means	VBZ	mean
,	,	,
they	PP	they
can	MD	can
and	CC	and
do	VB	do
suspend	VB	suspend
and	CC	and
expel	VB	expel
kids	NNS	kid
so	RB	so
that	IN	that
we	PP	we
'	POS	'
re	NN	re
not	RB	not
playing	VBG	play
school	NN	school
,	,	,
they	PP	they
really	RB	really
decide	VBP	decide
.	SENT	.
And	CC	and
then	RB	then
,	,	,
in	IN	in
this	DT	this
same	JJ	same
vein	NN	vein
,	,	,
we	PP	we
keep	VBP	keep
a	DT	a
digital	JJ	digital
mosaic	NN	mosaic
,	,	,
because	IN	because
this	DT	this
is	VBZ	be
not	RB	not
constructivist	JJ	constructivist
or	CC	or
Montessori	NP	<unknown>
or	CC	or
something	NN	something
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
something	NN	something
where	WRB	where
we	PP	we
keep	VBP	keep
the	DT	the
Brazilian	JJ	Brazilian
curriculum	NN	curriculum
with	IN	with
600	CD	@card@
tiles	NNS	tile
of	IN	of
a	DT	a
mosaic	NN	mosaic
,	,	,
which	WDT	which
we	PP	we
want	VBP	want
to	TO	to
expose	VB	expose
these	DT	these
kids	NNS	kid
to	TO	to
by	IN	by
the	DT	the
time	NN	time
they	PP	they
'	''	'
re	IN	re
17	CD	@card@
.	SENT	.
And	CC	and
follow	VB	follow
this	DT	this
all	PDT	all
the	DT	the
time	NN	time
and	CC	and
we	PP	we
know	VBP	know
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
and	CC	and
we	PP	we
say	VBP	say
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
interested	JJ	interested
in	IN	in
this	DT	this
now	RB	now
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
wait	VBP	wait
a	DT	a
year	NN	year
.	SENT	.
And	CC	and
the	DT	the
kids	NNS	kid
are	VBP	be
in	IN	in
groups	NNS	group
that	DT	that
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
an	DT	an
age	NN	age
category	NN	category
,	,	,
so	RB	so
the	DT	the
six-year-old	JJ	six-year-old
kid	NN	kid
who	WP	who
is	VBZ	be
ready	JJ	ready
for	IN	for
that	DT	that
with	IN	with
an	DT	an
11-year-old	JJ	11-year-old
,	,	,
that	WDT	that
eliminates	VBZ	eliminate
all	DT	all
of	IN	of
the	DT	the
gangs	NNS	gang
and	CC	and
the	DT	the
groups	NNS	group
and	CC	and
this	DT	this
stuff	NN	stuff
that	IN	that
we	PP	we
have	VBP	have
in	IN	in
the	DT	the
schools	NNS	school
,	,	,
in	IN	in
general	NN	general
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
a	DT	a
zero	CD	zero
to	TO	to
100	CD	@card@
percent	NN	percent
grading	VBG	grade
,	,	,
which	WDT	which
they	PP	they
do	VBP	do
themselves	PP	themselves
with	IN	with
an	DT	an
app	NP	App
every	DT	every
couple	NN	couple
of	IN	of
hours	NNS	hour
.	SENT	.
Until	IN	until
we	PP	we
know	VBP	know
they	PP	they
'	''	'
re	IN	re
37	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
way	NN	way
we	PP	we
'	POS	'
d	NN	d
like	IN	like
them	PP	them
to	TO	to
be	VB	be
on	IN	on
this	DT	this
issue	NN	issue
,	,	,
so	RB	so
that	IN	that
we	PP	we
can	MD	can
send	VB	send
them	PP	them
out	RP	out
in	IN	in
the	DT	the
world	NN	world
with	IN	with
them	PP	them
knowing	VBG	know
enough	RB	enough
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
courses	NNS	course
are	VBP	be
World	NP	World
Cup	NP	Cup
Soccer	NN	soccer
,	,	,
or	CC	or
building	VBG	build
a	DT	a
bicycle	NN	bicycle
.	SENT	.
And	CC	and
people	NNS	people
will	MD	will
sign	VB	sign
up	RP	up
for	IN	for
a	DT	a
45-day	JJ	<unknown>
course	NN	course
on	IN	on
building	VBG	build
a	DT	a
bicycle	NN	bicycle
.	SENT	.
Now	RB	now
,	,	,
try	VBP	try
to	TO	to
build	VB	build
a	DT	a
bicycle	NN	bicycle
without	IN	without
knowing	VBG	know
that	DT	that
pi	NN	pi
is	VBZ	be
3	CD	@card@
.	SENT	.
1416	CD	@card@
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
.	SENT	.
And	CC	and
try	VB	try
,	,	,
any	DT	any
one	CD	one
of	IN	of
you	PP	you
,	,	,
using	VBG	use
3	CD	@card@
.	SENT	.
1416	CD	@card@
for	IN	for
something	NN	something
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
anymore	RB	anymore
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
lost	VBN	lose
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
try	VBP	try
to	TO	to
do	VB	do
there	RB	there
,	,	,
which	WDT	which
is	VBZ	be
looking	VBG	look
for	IN	for
wisdom	NN	wisdom
in	IN	in
that	DT	that
school	NN	school
.	SENT	.
And	CC	and
that	DT	that
brings	VBZ	bring
us	PP	us
back	RB	back
to	TO	to
this	DT	this
graph	NN	graph
and	CC	and
this	DT	this
distribution	NN	distribution
of	IN	of
our	PP$	our
life	NN	life
.	SENT	.
I	PP	I
accumulated	VBD	accumulate
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
when	WRB	when
I	PP	I
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
When	WRB	when
you	PP	you
think	VBP	think
and	CC	and
you	PP	you
say	VBP	say
,	,	,
now	RB	now
is	VBZ	be
the	DT	the
time	NN	time
to	TO	to
give	VB	give
back	RB	back
—	:	-
well	RB	well
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
giving	VBG	give
back	RB	back
,	,	,
you	PP	you
took	VBD	take
too	RB	too
much	RB	much
.	SENT	.
I	PP	I
keep	VBP	keep
thinking	VBG	think
of	IN	of
Warren	NP	Warren
Buffet	NN	buffet
waking	VBG	wake
up	RP	up
one	CD	one
day	NN	day
and	CC	and
finding	VBG	find
out	IN	out
he	PP	he
has	VBZ	have
30	CD	@card@
billion	NN	billion
dollars	NNS	dollar
more	RBR	more
than	IN	than
he	PP	he
thought	VBD	think
he	PP	he
had	VBD	have
.	SENT	.
And	CC	and
he	PP	he
looks	VBZ	look
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
what	WP	what
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
do	VB	do
with	IN	with
this	DT	this
?	SENT	?
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
it	PP	it
to	TO	to
someone	NN	someone
who	WP	who
really	RB	really
needs	VBZ	need
this	DT	this
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
it	PP	it
to	TO	to
Bill	NP	Bill
Gates	NP	Gates
.	SENT	.
And	CC	and
my	PP$	my
guy	NN	guy
,	,	,
who	WP	who
'	''	'
s	VBG	<unknown>
my	PP$	my
financial	JJ	financial
advisor	NN	advisor
in	IN	in
New	NP	New
York	NP	York
,	,	,
he	PP	he
says	VBZ	say
,	,	,
look	VB	look
,	,	,
you	PP	you
'	POS	'
re	NN	re
a	DT	a
silly	JJ	silly
guy	NN	guy
because	IN	because
you	PP	you
would	MD	would
have	VB	have
4	CD	@card@
.	SENT	.
1	CD	@card@
times	NNS	time
more	JJR	more
money	NN	money
today	NN	today
if	IN	if
you	PP	you
had	VBD	have
made	VBN	make
money	NN	money
with	IN	with
money	NN	money
instead	RB	instead
of	IN	of
sharing	VBG	share
as	IN	as
you	PP	you
go	VBP	go
.	SENT	.
But	CC	but
I	PP	I
like	VBP	like
sharing	VBG	share
as	IN	as
you	PP	you
go	VBP	go
better	RBR	well
.	SENT	.
I	PP	I
taught	VBD	teach
MBAs	NNS	MBA
at	IN	at
MIT	NP	MIT
for	IN	for
a	DT	a
time	NN	time
and	CC	and
I	PP	I
ended	VBD	end
up	RP	up
,	,	,
one	CD	one
day	NN	day
,	,	,
at	IN	at
the	DT	the
Mount	NP	Mount
Auburn	NP	Auburn
Cemetery	NP	Cemetery
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
cemetery	NN	cemetery
in	IN	in
Cambridge	NP	Cambridge
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
walking	VBG	walk
around	RP	around
.	SENT	.
It	PP	it
was	VBD	be
my	PP$	my
birthday	NN	birthday
and	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
time	NN	time
around	RB	around
,	,	,
I	PP	I
saw	VBD	see
these	DT	these
tombstones	NNS	tombstone
and	CC	and
these	DT	these
wonderful	JJ	wonderful
people	NNS	people
who	WP	who
'	POS	'
d	NN	d
done	VBN	do
great	JJ	great
things	NNS	thing
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
what	WP	what
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
remembered	VBN	remember
for	IN	for
?	SENT	?
And	CC	and
I	PP	I
did	VBD	do
another	DT	another
stroll	NN	stroll
around	RB	around
,	,	,
and	CC	and
the	DT	the
second	JJ	second
time	NN	time
,	,	,
another	DT	another
question	NN	question
came	VBD	come
to	TO	to
me	PP	me
,	,	,
which	WDT	which
did	VBD	do
me	PP	me
better	RBR	well
,	,	,
which	WDT	which
was	VBD	be
,	,	,
why	WRB	why
do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
remembered	VBN	remember
at	IN	at
all	DT	all
?	SENT	?
And	CC	and
that	WDT	that
,	,	,
I	PP	I
think	VBP	think
,	,	,
took	VBD	take
me	PP	me
different	JJ	different
places	NNS	place
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
50	CD	@card@
,	,	,
my	PP$	my
wife	NN	wife
Fernanda	NP	Fernanda
and	CC	and
I	PP	I
sat	VBD	sit
for	IN	for
a	DT	a
whole	JJ	whole
afternoon	NN	afternoon
,	,	,
we	PP	we
had	VBD	have
a	DT	a
big	JJ	big
pit	NN	pit
with	IN	with
fire	NN	fire
,	,	,
and	CC	and
I	PP	I
threw	VBD	throw
everything	NN	everything
I	PP	I
had	VBD	have
ever	RB	ever
done	VBN	do
into	IN	into
that	DT	that
fire	NN	fire
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
book	NN	book
in	IN	in
38	CD	@card@
languages	NNS	language
,	,	,
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
articles	NNS	article
and	CC	and
DVDs	NP	<unknown>
,	,	,
everything	NN	everything
there	RB	there
was	VBD	be
.	SENT	.
And	CC	and
that	WDT	that
did	VBD	do
two	CD	two
things	NNS	thing
.	SENT	.
One	CD	one
,	,	,
it	PP	it
freed	VBD	free
our	PP$	our
five	CD	five
kids	NNS	kid
from	IN	from
following	VBG	follow
in	IN	in
our	PP$	our
steps	NNS	step
,	,	,
our	PP$	our
shadow	NN	shadow
—	:	-
They	PP	they
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
I	PP	I
do	VBP	do
.	SENT	.
Which	WDT	which
is	VBZ	be
good	JJ	good
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
take	VB	take
them	PP	them
somewhere	RB	somewhere
and	CC	and
say	VBP	say
,	,	,
one	CD	one
day	NN	day
all	DT	all
of	IN	of
this	DT	this
will	MD	will
be	VB	be
yours	PP	yours
.	SENT	.
The	DT	the
five	CD	five
kids	NNS	kid
know	VBP	know
nothing	NN	nothing
,	,	,
which	WDT	which
is	VBZ	be
good	JJ	good
.	SENT	.
And	CC	and
the	DT	the
second	JJ	second
thing	NN	thing
is	VBZ	be
,	,	,
I	PP	I
freed	VBD	free
myself	PP	myself
from	IN	from
this	DT	this
anchor	NN	anchor
of	IN	of
past	JJ	past
achievement	NN	achievement
or	CC	or
whatever	JJ	whatever
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
free	JJ	free
to	TO	to
start	VB	start
something	NN	something
new	JJ	new
every	DT	every
time	NN	time
and	CC	and
to	TO	to
decide	VB	decide
things	NNS	thing
from	IN	from
scratch	NN	scratch
in	IN	in
part	NN	part
of	IN	of
those	DT	those
terminal	JJ	terminal
days	NNS	day
.	SENT	.
And	CC	and
some	DT	some
people	NNS	people
would	MD	would
say	VB	say
,	,	,
oh	UH	oh
,	,	,
so	RB	so
now	RB	now
you	PP	you
have	VBP	have
this	DT	this
time	NN	time
,	,	,
these	DT	these
terminal	JJ	terminal
days	NNS	day
,	,	,
and	CC	and
so	RB	so
you	PP	you
go	VBP	go
out	RP	out
and	CC	and
do	VB	do
everything	NN	everything
.	SENT	.
No	UH	no
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
to	TO	to
the	DT	the
beaches	NNS	beach
,	,	,
so	IN	so
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
to	TO	to
Samoa	NP	Samoa
and	CC	and
Maldives	NP	Maldives
and	CC	and
Mozambique	NP	Mozambique
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
done	VBN	do
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
climbed	VBD	climb
mountains	NNS	mountain
in	IN	in
the	DT	the
Himalayas	NN	Himalayas
.	SENT	.
I	NP	I
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
down	RB	down
60	CD	@card@
meters	NNS	meter
to	TO	to
see	VB	see
hammerhead	NN	hammerhead
sharks	NNS	shark
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
59	CD	@card@
days	NNS	day
on	IN	on
the	DT	the
back	NN	back
of	IN	of
a	DT	a
camel	NN	camel
from	IN	from
Chad	NP	Chad
to	TO	to
Timbuktu	NP	Timbuktu
.	SENT	.
I	NP	I
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
to	TO	to
the	DT	the
magnetic	JJ	magnetic
North	JJ	North
Pole	NN	Pole
on	IN	on
a	DT	a
dog	NN	dog
sled	NN	sled
.	SENT	.
So	RB	so
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
busy	JJ	busy
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
call	VB	call
my	PP$	my
empty	JJ	empty
bucket	NN	bucket
list	NN	list
.	SENT	.
And	CC	and
with	IN	with
this	DT	this
rationale	NN	rationale
,	,	,
I	PP	I
look	VBP	look
at	IN	at
these	DT	these
days	NNS	day
and	CC	and
I	PP	I
think	VBP	think
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
retired	VBN	retire
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
feel	NN	feel
retired	VBN	retire
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
writing	VBG	write
a	DT	a
new	JJ	new
book	NN	book
.	SENT	.
We	PP	we
started	VBD	start
three	CD	three
new	JJ	new
companies	NNS	company
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
now	RB	now
working	VBG	work
on	IN	on
getting	VBG	get
this	DT	this
school	NN	school
system	NN	system
for	IN	for
free	JJ	free
out	NN	out
into	IN	into
the	DT	the
world	NN	world
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
found	VBD	find
,	,	,
very	RB	very
interestingly	RB	interestingly
enough	RB	enough
,	,	,
that	DT	that
nobody	NN	nobody
wants	VBZ	want
it	PP	it
for	IN	for
free	JJ	free
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
for	IN	for
10	CD	@card@
years	NNS	year
to	TO	to
get	VB	get
the	DT	the
public	JJ	public
system	NN	system
to	TO	to
take	VB	take
over	IN	over
this	DT	this
school	NN	school
rationale	NN	rationale
,	,	,
much	RB	much
as	IN	as
the	DT	the
public	JJ	public
schools	NNS	school
we	PP	we
have	VBP	have
,	,	,
which	WDT	which
has	VBZ	have
instead	RB	instead
of	IN	of
43	CD	@card@
out	RB	out
of	IN	of
100	CD	@card@
,	,	,
as	IN	as
their	PP$	their
rating	NN	rating
,	,	,
as	IN	as
their	PP$	their
grades	NNS	grade
,	,	,
has	VBZ	have
91	CD	@card@
out	RB	out
of	IN	of
100	CD	@card@
.	SENT	.
But	CC	but
for	IN	for
free	JJ	free
,	,	,
nobody	NN	nobody
wants	VBZ	want
it	PP	it
.	SENT	.
So	RB	so
maybe	RB	maybe
we	PP	we
'	POS	'
ll	NNS	<unknown>
start	VBP	start
charging	VBG	charge
for	IN	for
it	PP	it
and	CC	and
then	RB	then
it	PP	it
will	MD	will
go	VB	go
