If	IN	if
powers	NNS	power
is	VBZ	be
that	IN	that
it	PP	it
did	VBD	do
then	RB	then
and	CC	and
it	PP	it
does	VBZ	do
now	RB	now
,	,	,
drive	NN	drive
governance	NN	governance
to	TO	to
the	DT	the
center	NN	center
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
elected	VBN	elect
to	TO	to
office	NN	office
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
with	IN	with
help	NN	help
from	IN	from
the	DT	the
periphery	NN	periphery
,	,	,
right	NN	right
or	CC	or
left	VBN	leave
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
you	PP	you
actually	RB	actually
can	MD	can
'	''	'
t	NN	t
govern	VB	govern
unless	IN	unless
you	PP	you
bring	VBP	bring
on	IN	on
board	NN	board
the	DT	the
center	NN	center
.	SENT	.
There	EX	there
are	VBP	be
midterm	NN	midterm
elections	NNS	election
that	WDT	that
come	VBP	come
incredibly	RB	incredibly
fast	RB	fast
after	IN	after
a	DT	a
presidency	NN	presidency
begins	VBZ	begin
.	SENT	.
Those	DT	those
drive	NN	drive
presidents	NNS	president
towards	IN	towards
the	DT	the
center	NN	center
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
structure	NN	structure
in	IN	in
which	WDT	which
the	DT	the
president	NN	president
,	,	,
in	IN	in
fact	NN	fact
,	,	,
does	VBZ	do
not	RB	not
rule	VB	rule
or	CC	or
even	RB	even
govern	VB	govern
,	,	,
but	CC	but
can	MD	can
only	RB	only
propose	VB	propose
laws	NNS	law
which	WDT	which
other	JJ	other
people	NNS	people
have	VBP	have
to	TO	to
agree	VB	agree
with	IN	with
â	NP	<unknown>
another	DT	another
feature	NN	feature
that	WDT	that
tends	VBZ	tend
to	TO	to
drive	VB	drive
presidents	NNS	president
who	WP	who
actually	RB	actually
want	VBP	want
to	TO	to
get	VB	get
things	NNS	thing
done	VBN	do
to	TO	to
the	DT	the
center	NN	center
.	SENT	.
And	CC	and
a	DT	a
glance	NN	glance
at	IN	at
the	DT	the
newspapers	NNS	newspaper
today	NN	today
will	MD	will
reveal	VB	reveal
to	TO	to
you	PP	you
that	IN	that
these	DT	these
principles	NNS	principle
are	VBP	be
still	RB	still
completely	RB	completely
in	IN	in
operation	NN	operation
.	SENT	.
No	DT	no
matter	NN	matter
how	WRB	how
a	DT	a
president	NN	president
gets	VBZ	get
elected	VBN	elect
,	,	,
the	DT	the
president	NN	president
cannot	MD	can
get	VB	get
anything	NN	anything
done	VBN	do
unless	IN	unless
the	DT	the
president	NN	president
first	JJ	first
of	IN	of
all	DT	all
follows	VBZ	follow
the	DT	the
rules	NNS	rule
of	IN	of
the	DT	the
Constitution	NP	Constitution
,	,	,
because	IN	because
if	IN	if
not	RB	not
,	,	,
the	DT	the
courts	NNS	court
will	MD	will
stand	VB	stand
up	RP	up
,	,	,
as	RB	as
indeed	RB	indeed
has	VBZ	have
sometimes	RB	sometimes
occurred	VBN	occur
,	,	,
not	RB	not
only	RB	only
recently	RB	recently
,	,	,
but	CC	but
in	IN	in
the	DT	the
past	NN	past
,	,	,
in	IN	in
US	NP	US
history	NN	history
.	SENT	.
And	CC	and
furthermore	RB	furthermore
,	,	,
the	DT	the
president	NN	president
needs	VBZ	need
people	NNS	people
,	,	,
elected	VBN	elect
officials	NNS	official
who	WP	who
know	VBP	know
they	PP	they
need	VBP	need
to	TO	to
win	VB	win
election	NN	election
from	IN	from
centrist	JJ	centrist
voters	NNS	voter
,	,	,
also	RB	also
to	TO	to
back	VB	back
his	PP$	his
or	CC	or
her	PP$	her
policies	NNS	policy
in	IN	in
order	NN	order
to	TO	to
pass	VB	pass
laws	NNS	law
.	SENT	.
Without	IN	without
it	PP	it
,	,	,
nothing	NN	nothing
much	RB	much
happens	VBZ	happen
.	SENT	.
The	DT	the
takeaway	NN	<unknown>
of	IN	of
this	DT	this
brief	JJ	brief
excursus	NN	excursus
into	IN	into
the	DT	the
history	NN	history
of	IN	of
partisanship	NN	partisanship
,	,	,
then	RB	then
,	,	,
is	VBZ	be
the	DT	the
following	NN	following
:	:	:
partisanship	NN	partisanship
is	VBZ	be
real	JJ	real
;	:	;
it	PP	it
'	POS	'
s	NNS	<unknown>
profound	JJ	profound
;	:	;
it	PP	it
'	POS	'
s	NN	S
extraordinarily	RB	extraordinarily
powerful	JJ	powerful
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
terribly	RB	terribly
upsetting	VBG	upset
.	SENT	.
But	CC	but
the	DT	the
design	NN	design
of	IN	of
the	DT	the
Constitution	NP	Constitution
is	VBZ	be
greater	JJR	great
than	IN	than
partisanship	NN	partisanship
.	SENT	.
It	PP	it
enables	VBZ	enable
us	PP	us
to	TO	to
manage	VB	manage
partisanship	NN	partisanship
when	WRB	when
that	DT	that
'	''	'
s	NNS	<unknown>
possible	JJ	possible
,	,	,
and	CC	and
it	PP	it
enables	VBZ	enable
us	PP	us
actually	RB	actually
to	TO	to
overcome	VB	overcome
partisan	JJ	partisan
division	NN	division
and	CC	and
produce	VB	produce
compromise	NN	compromise
,	,	,
when	WRB	when
and	CC	and
only	RB	only
when	WRB	when
that	DT	that
is	VBZ	be
possible	JJ	possible
.	SENT	.
A	DT	a
technology	NN	technology
like	IN	like
that	WDT	that
is	VBZ	be
a	DT	a
technology	NN	technology
that	WDT	that
worked	VBD	work
for	IN	for
the	DT	the
founders	NNS	founder
,	,	,
it	PP	it
worked	VBD	work
for	IN	for
their	PP$	their
grandchildren	NNS	grandchild
,	,	,
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
work	NN	work
at	IN	at
the	DT	the
moment	NN	moment
of	IN	of
the	DT	the
Civil	NP	Civil
War	NP	War
,	,	,
but	CC	but
then	RB	then
it	PP	it
started	VBD	start
working	VBG	work
again	RB	again
.	SENT	.
And	CC	and
it	PP	it
worked	VBD	work
for	IN	for
our	PP$	our
grandparents	NNS	grandparent
,	,	,
our	PP$	our
parents	NNS	parent
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
work	VB	work
for	IN	for
us	PP	us
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
should	MD	should
do	VB	do
is	VBZ	be
really	RB	really
simple	JJ	simple
.	SENT	.
Stand	VB	stand
up	RB	up
for	IN	for
what	WP	what
you	PP	you
believe	VBP	believe
in	IN	in
,	,	,
support	VB	support
the	DT	the
organizations	NNS	organization
that	WDT	that
you	PP	you
care	VBP	care
about	RB	about
,	,	,
speak	VB	speak
out	RP	out
on	IN	on
the	DT	the
issues	NNS	issue
that	WDT	that
matter	VBP	matter
to	TO	to
you	PP	you
,	,	,
get	VB	get
involved	VBN	involve
,	,	,
make	VB	make
change	VB	change
,	,	,
express	VB	express
you	PP	you
opinion	NN	opinion
,	,	,
and	CC	and
do	VB	do
it	PP	it
with	IN	with
respect	NN	respect
and	CC	and
knowledge	NN	knowledge
and	CC	and
confidence	NN	confidence
that	IN	that
it	PP	it
'	POS	'
s	NN	S
only	RB	only
by	IN	by
working	VBG	work
together	RB	together
that	IN	that
the	DT	the
constitutional	JJ	constitutional
technology	NN	technology
can	MD	can
do	VB	do
the	DT	the
job	NN	job
that	IN	that
it	PP	it
is	VBZ	be
designed	VBN	design
to	TO	to
do	VB	do
.	SENT	.
Stand	VB	stand
up	RB	up
for	IN	for
what	WP	what
you	PP	you
believe	VBP	believe
,	,	,
but	CC	but
take	VB	take
a	DT	a
deep	JJ	deep
breath	NN	breath
while	IN	while
you	PP	you
do	VBP	do
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
OK	JJ	OK
.	SENT	.
Thanks	NNS	thanks
.	SENT	.
