Leah	NP	Leah
all	PDT	all
the	DT	the
places	NNS	place
,	,	,
you	PP	you
would	MD	would
call	VB	call
his	PP$	his
job	NN	job
a	DT	a
numbers	NNS	number
runner	NN	runner
.	SENT	.
But	CC	but
in	IN	in
New	NP	New
Orleans	NP	Orleans
,	,	,
we	PP	we
are	VBP	be
very	RB	very
sophisticated	JJ	sophisticated
—	:	-
so	IN	so
it	PP	it
wasn	NN	<unknown>
'	POS	'
t	NN	t
a	DT	a
numbers	NNS	number
runner	NN	runner
,	,	,
it	PP	it
was	VBD	be
a	DT	a
lottery	NN	lottery
vendor	NN	vendor
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
,	,	,
we	PP	we
put	VBD	put
class	NN	class
to	TO	to
that	DT	that
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
he	PP	he
did	VBD	do
it	PP	it
.	SENT	.
And	CC	and
he	PP	he
couldn	NN	<unknown>
'	POS	'
t	NN	t
go	VB	go
from	IN	from
house	NN	house
to	TO	to
house	VB	house
to	TO	to
get	VB	get
his	PP$	his
clients	NNS	client
and	CC	and
all	RB	all
that	IN	that
,	,	,
because	IN	because
he	PP	he
was	VBD	be
sick	JJ	sick
,	,	,
so	RB	so
she	PP	she
opened	VBD	open
up	RP	up
this	DT	this
little	JJ	little
sandwich	NN	sandwich
shop	NN	shop
,	,	,
so	RB	so
she	PP	she
was	VBD	be
going	VBG	go
to	TO	to
take	VB	take
down	RP	down
the	DT	the
numbers	NNS	number
,	,	,
because	IN	because
he	PP	he
was	VBD	be
sick	JJ	sick
a	DT	a
lot	NN	lot
.	SENT	.
He	PP	he
had	VBD	have
ulcers	NNS	ulcer
.	SENT	.
He	PP	he
was	VBD	be
really	RB	really
bad	JJ	bad
for	IN	for
a	DT	a
long	JJ	long
a	DT	a
time	NN	time
.	SENT	.
So	RB	so
she	PP	she
did	VBD	do
that	DT	that
—	:	-
and	CC	and
not	RB	not
knowing	VBG	know
anything	NN	anything
,	,	,
but	CC	but
she	PP	she
knew	VBD	know
she	PP	she
could	MD	could
make	VB	make
a	DT	a
sandwich	NN	sandwich
.	SENT	.
She	PP	she
knew	VBD	know
she	PP	she
could	MD	could
cook	VB	cook
,	,	,
and	CC	and
she	PP	she
borrowed	VBD	borrow
600	CD	@card@
dollars	NNS	dollar
from	IN	from
a	DT	a
brewery	NN	brewery
.	SENT	.
Can	MD	can
you	PP	you
imagine	VB	imagine
starting	VBG	start
a	DT	a
business	NN	business
today	NN	today
with	IN	with
600	CD	@card@
dollars	NNS	dollar
and	CC	and
no	DT	no
knowledge	NN	knowledge
of	IN	of
what	WP	what
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
?	SENT	?
And	CC	and
it	PP	it
always	RB	always
just	RB	just
amazed	VBN	amaze
me	PP	me
what	WP	what
she	PP	she
could	MD	could
do	VB	do
.	SENT	.
She	PP	she
was	VBD	be
a	DT	a
good	JJ	good
money	NN	money
manager	NN	manager
.	SENT	.
That	RB	that
,	,	,
I	PP	I
am	VBP	be
not	RB	not
.	SENT	.
My	PP$	my
husband	NN	husband
used	VBN	use
to	TO	to
call	VB	call
me	PP	me
a	DT	a
bankrupt	JJ	bankrupt
sister	NN	sister
.	SENT	.
"	``	"
She	PP	she
'	POS	'
ll	NNS	<unknown>
spend	VBP	spend
everything	NN	everything
you	PP	you
got	VBD	get
.	SENT	.
"	``	"
And	CC	and
I	PP	I
would	MD	would
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
PM	NN	pm
:	:	:
But	CC	but
you	PP	you
kept	VBD	keep
the	DT	the
restaurant	NN	restaurant
open	JJ	open
,	,	,
though	RB	though
,	,	,
even	RB	even
in	IN	in
those	DT	those
times	NNS	time
of	IN	of
controversy	NN	controversy
,	,	,
when	WRB	when
people	NNS	people
were	VBD	be
protesting	VBG	protest
and	CC	and
almost	RB	almost
boycotting	VBG	boycott
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
was	VBD	be
a	DT	a
controversial	JJ	controversial
move	NN	move
that	IN	that
you	PP	you
and	CC	and
your	PP$	your
husband	NN	husband
made	VBD	make
.	SENT	.
LC	NN	LC
:	:	:
It	PP	it
was	VBD	be
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
how	WRB	how
we	PP	we
did	VBD	do
it	PP	it
,	,	,
but	CC	but
as	IN	as
I	PP	I
said	VBD	say
,	,	,
my	PP$	my
mother-in-law	NN	mother-in-law
was	VBD	be
a	DT	a
kind	NN	kind
,	,	,
kind	NN	kind
person	NN	person
,	,	,
and	CC	and
you	PP	you
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
any	DT	any
African-Americans	NP	African-Americans
on	IN	on
the	DT	the
police	NN	police
force	NN	force
at	IN	at
that	DT	that
time	NN	time
.	SENT	.
They	PP	they
were	VBD	be
all	RB	all
white	JJ	white
.	SENT	.
But	CC	but
they	PP	they
would	MD	would
come	VB	come
around	RP	around
,	,	,
and	CC	and
she	PP	she
would	MD	would
say	VB	say
,	,	,
"	''	"
Bebe	NP	Bebe
,	,	,
I	NP	I
'	POS	'
m	NN	m
gonna	VBG	gonna
fix	NN	fix
you	PP	you
a	DT	a
little	JJ	little
sandwich	NN	sandwich
.	SENT	.
"	``	"
So	RB	so
she	PP	she
would	MD	would
fix	VB	fix
them	PP	them
a	DT	a
sandwich	NN	sandwich
.	SENT	.
Today	NN	today
they	PP	they
would	MD	would
call	VB	call
that	DT	that
bribery	NN	bribery
.	SENT	.
But	CC	but
she	PP	she
was	VBD	be
just	RB	just
that	DT	that
kind	NN	kind
of	IN	of
person	NN	person
.	SENT	.
She	PP	she
liked	VBD	like
to	TO	to
do	VB	do
things	NNS	thing
for	IN	for
you	PP	you
.	SENT	.
She	PP	she
liked	VBD	like
to	TO	to
give	VB	give
.	SENT	.
So	RB	so
she	PP	she
would	MD	would
do	VB	do
that	IN	that
,	,	,
and	CC	and
maybe	RB	maybe
that	IN	that
helped	VBN	help
us	PP	us
out	RP	out
,	,	,
because	IN	because
nobody	NN	nobody
ever	RB	ever
bothered	VBD	bother
us	PP	us
.	SENT	.
We	PP	we
had	VBD	have
Jim	NP	Jim
Dombrowski	NP	Dombrowski
,	,	,
Albert	NP	Albert
Ben	NP	Ben
Smith	NP	Smith
,	,	,
who	WP	who
started	VBD	start
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
right	JJ	right
in	IN	in
that	DT	that
restaurant	NN	restaurant
,	,	,
and	CC	and
nobody	NN	nobody
ever	RB	ever
bothered	VBD	bother
us	PP	us
.	SENT	.
So	RB	so
we	PP	we
just	RB	just
did	VBD	do
it	PP	it
.	SENT	.
PM	NN	pm
:	:	:
Excuse	VB	excuse
me	PP	me
.	SENT	.
You	PP	you
talked	VBD	talk
to	TO	to
me	PP	me
that	IN	that
day	NN	day
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
people	NNS	people
considered	VBD	consider
the	DT	the
restaurant	NN	restaurant
a	DT	a
safe	JJ	safe
haven	NN	haven
where	WRB	where
they	PP	they
could	MD	could
come	VB	come
together	RB	together
,	,	,
particularly	RB	particularly
if	IN	if
they	PP	they
were	VBD	be
working	VBG	work
on	IN	on
civil	JJ	civil
rights	NNS	right
,	,	,
human	JJ	human
rights	NNS	right
,	,	,
working	VBG	work
to	TO	to
change	VB	change
the	DT	the
laws	NNS	law
.	SENT	.
LC	NN	LC
:	:	:
Well	RB	well
,	,	,
because	IN	because
once	RB	once
you	PP	you
got	VBD	get
inside	IN	inside
those	DT	those
doors	NNS	door
,	,	,
nobody	NN	nobody
ever	RB	ever
,	,	,
ever	RB	ever
bothered	VBD	bother
you	PP	you
.	SENT	.
The	DT	the
police	NN	police
would	MD	would
never	RB	never
come	VB	come
in	RP	in
and	CC	and
bother	VB	bother
our	PP$	our
customers	NNS	customer
,	,	,
never	RB	never
.	SENT	.
So	RB	so
they	PP	they
felt	VBD	feel
safe	JJ	safe
to	TO	to
come	VB	come
there	RB	there
.	SENT	.
They	PP	they
could	MD	could
eat	VB	eat
,	,	,
they	PP	they
could	MD	could
plan	VB	plan
.	SENT	.
All	PDT	all
the	DT	the
Freedom	NP	Freedom
Riders	NNS	rider
,	,	,
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
they	PP	they
planned	VBD	plan
all	PDT	all
their	PP$	their
meetings	NNS	meeting
.	SENT	.
They	PP	they
would	MD	would
come	VB	come
and	CC	and
we	PP	we
would	MD	would
serve	VB	serve
them	PP	them
a	DT	a
bowl	NN	bowl
of	IN	of
gumbo	NN	gumbo
and	CC	and
fried	JJ	fried
chicken	NN	chicken
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
,	,	,
we	PP	we
'	POS	'
d	NN	d
changed	VBD	change
the	DT	the
course	NN	course
of	IN	of
America	NP	America
over	IN	over
a	DT	a
bowl	NN	bowl
of	IN	of
gumbo	NN	gumbo
and	CC	and
some	DT	some
fried	JJ	fried
chicken	NN	chicken
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
to	TO	to
invite	VB	invite
the	DT	the
leaders	NNS	leader
,	,	,
now	RB	now
,	,	,
just	RB	just
come	VBP	come
have	VB	have
a	DT	a
bowl	NN	bowl
of	IN	of
gumbo	NN	gumbo
and	CC	and
some	DT	some
fried	JJ	fried
chicken	NN	chicken
,	,	,
talk	VB	talk
it	PP	it
over	RP	over
and	CC	and
we	PP	we
'	POS	'
d	NN	d
go	NN	go
and	CC	and
we	PP	we
'	POS	'
d	NN	d
do	VBP	do
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
we	PP	we
did	VBD	do
.	SENT	.
PM	NN	pm
:	:	:
Could	MD	could
we	PP	we
send	VB	send
you	PP	you
a	DT	a
list	NN	list
to	TO	to
invite	VB	invite
to	TO	to
lunch	VB	lunch
?	SENT	?
LC	NN	LC
:	:	:
Yeah	RB	yeah
,	,	,
invite	VB	invite
.	SENT	.
Because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
not	RB	not
doing	VBG	do
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
talking	VBG	talk
.	SENT	.
Come	VB	come
together	RB	together
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
if	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
Republican	JJ	Republican
or	CC	or
what	WP	what
you	PP	you
are	VBP	be
—	:	-
come	VB	come
together	RB	together
.	SENT	.
Talk	NN	talk
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
those	DT	those
old	JJ	old
guys	NNS	guy
.	SENT	.
I	PP	I
was	VBD	be
friends	NNS	friend
with	IN	with
those	DT	those
old	JJ	old
guys	NNS	guy
,	,	,
like	IN	like
Tip	NP	Tip
O	NP	O
'	POS	'
Neill	NP	Neill
and	CC	and
all	DT	all
of	IN	of
those	DT	those
people	NNS	people
.	SENT	.
They	PP	they
knew	VBD	know
how	WRB	how
to	TO	to
come	VB	come
together	RB	together
and	CC	and
talk	VB	talk
,	,	,
and	CC	and
you	PP	you
would	MD	would
disagree	VB	disagree
maybe	RB	maybe
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
.	SENT	.
But	CC	but
you	PP	you
would	MD	would
talk	VB	talk
,	,	,
and	CC	and
we	PP	we
would	MD	would
come	VB	come
to	TO	to
a	DT	a
good	JJ	good
thing	NN	thing
and	CC	and
meet	VB	meet
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
did	VBD	do
in	IN	in
that	DT	that
restaurant	NN	restaurant
.	SENT	.
They	PP	they
would	MD	would
plan	VB	plan
the	DT	the
meeting	NN	meeting
,	,	,
Oretha	NP	Oretha
'	POS	'
s	NN	S
mother	NN	mother
,	,	,
Oretha	NP	Oretha
Haley	NP	Haley
'	POS	'
s	NN	S
mother	NN	mother
.	SENT	.
She	PP	she
was	VBD	be
big	JJ	big
in	IN	in
CORE	NN	core
.	SENT	.
Her	PP$	her
mother	NN	mother
worked	VBD	work
for	IN	for
me	PP	me
for	IN	for
42	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
she	PP	she
was	VBD	be
like	IN	like
me	PP	me
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
the	DT	the
program	NN	program
.	SENT	.
Nobody	NN	nobody
our	PP$	our
age	NN	age
understood	VBD	understand
this	DT	this
program	NN	program
,	,	,
and	CC	and
we	PP	we
sure	RB	sure
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
our	PP$	our
children	NNS	child
to	TO	to
go	VB	go
to	TO	to
jail	NN	jail
.	SENT	.
Oh	UH	oh
,	,	,
that	WDT	that
was	VBD	be
.	SENT	.
.	SENT	.
.	SENT	.
oh	UH	oh
God	NP	God
.	SENT	.
But	CC	but
these	DT	these
young	JJ	young
people	NNS	people
were	VBD	be
willing	JJ	willing
to	TO	to
go	VB	go
to	TO	to
jail	VB	jail
for	IN	for
what	WP	what
they	PP	they
believed	VBD	believe
.	SENT	.
We	PP	we
were	VBD	be
working	VBG	work
with	IN	with
Thurgood	NP	Thurgood
and	CC	and
A	NP	A
.	SENT	.
P	NN	P
.	SENT	.
Tureaud	NP	<unknown>
and	CC	and
all	PDT	all
those	DT	those
people	NNS	people
with	IN	with
the	DT	the
NAACP	NP	NAACP
.	SENT	.
But	CC	but
that	DT	that
was	VBD	be
a	DT	a
slow	JJ	slow
move	NN	move
.	SENT	.
We	PP	we
would	MD	would
still	RB	still
be	VB	be
out	IN	out
here	RB	here
trying	VBG	try
to	TO	to
get	VB	get
in	IN	in
the	DT	the
door	NN	door
,	,	,
waiting	VBG	wait
for	IN	for
them	PP	them
.	SENT	.
PM	NN	pm
:	:	:
Is	VBZ	be
that	IN	that
Thurgood	NP	Thurgood
Marshall	NP	Marshall
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
?	SENT	?
LC	NP	LC
:	:	:
Thurgood	NP	Thurgood
Marshall	NP	Marshall
.	SENT	.
But	CC	but
I	PP	I
loved	VBD	love
Thurgood	NP	Thurgood
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
good	JJ	good
movement	NN	movement
.	SENT	.
They	PP	they
wanted	VBD	want
to	TO	to
do	VB	do
this	DT	this
without	IN	without
offending	VBG	offend
anybody	NN	anybody
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
never	RB	never
forget	VBP	forget
A	DT	a
.	SENT	.
P	NN	P
.	SENT	.
Tureaud	NP	<unknown>
:	:	:
"	``	"
But	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
offend	VB	offend
the	DT	the
white	JJ	white
people	NNS	people
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
offend	VB	offend
them	PP	them
.	SENT	.
"	''	"
But	CC	but
these	DT	these
young	JJ	young
people	NNS	people
didn	NN	<unknown>
'	POS	'
t	NN	t
care	NN	care
.	SENT	.
They	PP	they
said	VBD	say
,	,	,
"	``	"
We	PP	we
'	''	'
re	IN	re
going	VBG	go
.	SENT	.
Ready	JJ	ready
or	CC	or
not	RB	not
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
"	''	"
And	CC	and
so	RB	so
we	PP	we
had	VBD	have
to	TO	to
support	VB	support
them	PP	them
.	SENT	.
These	DT	these
were	VBD	be
the	DT	the
children	NNS	child
we	PP	we
knew	VBD	know
,	,	,
righteous	JJ	righteous
children	NNS	child
.	SENT	.
We	PP	we
had	VBD	have
to	TO	to
help	VB	help
them	PP	them
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
they	PP	they
brought	VBD	bring
the	DT	the
change	NN	change
.	SENT	.
LC	NN	LC
:	:	:
And	CC	and
they	PP	they
brought	VBD	bring
the	DT	the
change	NN	change
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
hard	JJ	hard
,	,	,
but	CC	but
sometimes	RB	sometimes
you	PP	you
do	VBP	do
hard	JJ	hard
things	NNS	thing
to	TO	to
make	VB	make
changes	NNS	change
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
you	PP	you
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
so	RB	so
many	JJ	many
of	IN	of
those	DT	those
changes	NNS	change
.	SENT	.
The	DT	the
restaurant	NN	restaurant
has	VBZ	have
been	VBN	be
a	DT	a
bridge	NN	bridge
.	SENT	.
You	PP	you
have	VBP	have
been	VBN	be
a	DT	a
bridge	NN	bridge
between	IN	between
the	DT	the
past	JJ	past
and	CC	and
now	RB	now
,	,	,
but	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
live	VBP	live
in	IN	in
the	DT	the
past	JJ	past
,	,	,
do	VB	do
you	PP	you
?	SENT	?
You	PP	you
live	VBP	live
very	RB	very
much	RB	much
in	IN	in
the	DT	the
present	NN	present
.	SENT	.
LC	NN	LC
:	:	:
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
tell	VB	tell
young	JJ	young
people	NNS	people
today	NN	today
.	SENT	.
OK	UH	OK
,	,	,
you	PP	you
can	MD	can
protest	VB	protest
,	,	,
but	CC	but
put	VBD	put
the	DT	the
past	NN	past
behind	IN	behind
you	PP	you
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
make	VB	make
you	PP	you
responsible	JJ	responsible
for	IN	for
what	WP	what
your	PP$	your
grandfather	NN	grandfather
did	VBD	do
.	SENT	.
That	IN	that
'	''	'
s	VBG	<unknown>
your	PP$	your
grandfather	NN	grandfather
.	SENT	.
I	PP	I
have	VBP	have
to	TO	to
build	VB	build
on	IN	on
that	DT	that
.	SENT	.
I	PP	I
have	VBP	have
to	TO	to
make	VB	make
changes	NNS	change
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
stay	VB	stay
there	RB	there
and	CC	and
say	VB	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
well	UH	well
,	,	,
look	VB	look
what	WP	what
they	PP	they
did	VBD	do
to	TO	to
us	PP	us
then	RB	then
.	SENT	.
Look	VB	look
what	WP	what
they	PP	they
do	VBP	do
to	TO	to
us	PP	us
now	RB	now
.	SENT	.
"	``	"
No	UH	no
,	,	,
you	PP	you
remember	VBP	remember
that	IN	that
,	,	,
but	CC	but
that	WDT	that
makes	VBZ	make
you	PP	you
keep	VB	keep
going	VBG	go
on	IN	on
,	,	,
but	CC	but
you	PP	you
don	NN	don
'	POS	'
t	NN	t
harp	NN	harp
on	IN	on
it	PP	it
every	DT	every
day	NN	day
.	SENT	.
You	PP	you
move	VBP	move
,	,	,
and	CC	and
you	PP	you
move	VBP	move
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
,	,	,
and	CC	and
everybody	NN	everybody
should	MD	should
be	VB	be
involved	VBN	involve
.	SENT	.
My	PP$	my
children	NNS	child
said	VBD	say
,	,	,
"	``	"
Mother	NP	Mother
,	,	,
don	NN	don
'	POS	'
t	NN	t
get	VB	get
political	JJ	political
,	,	,
"	''	"
you	PP	you
know	VBP	know
.	SENT	.
"	''	"
Don	NP	Don
'	POS	'
t	NN	t
get	VB	get
political	JJ	political
,	,	,
because	IN	because
you	PP	you
know	VBP	know
we	PP	we
don	VB	don
'	''	'
t	NN	t
like	IN	like
that	DT	that
.	SENT	.
"	``	"
But	CC	but
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
political	JJ	political
today	NN	today
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
be	VB	be
involved	VBN	involve
.	SENT	.
Be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
system	NN	system
.	SENT	.
Look	VB	look
how	WRB	how
it	PP	it
was	VBD	be
when	WRB	when
we	PP	we
couldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
system	NN	system
.	SENT	.
When	WRB	when
Dutch	NP	Dutch
Morial	NP	Morial
became	VBD	become
the	DT	the
mayor	NN	mayor
,	,	,
it	PP	it
was	VBD	be
a	DT	a
different	JJ	different
feeling	NN	feeling
in	IN	in
the	DT	the
African-American	NP	African-American
community	NN	community
.	SENT	.
We	PP	we
felt	VBD	feel
a	DT	a
part	NN	part
of	IN	of
things	NNS	thing
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
mayor	NN	mayor
.	SENT	.
We	PP	we
feel	VBP	feel
like	IN	like
we	PP	we
belong	VBP	belong
.	SENT	.
Moon	NP	Moon
tried	VBD	try
before	IN	before
Dutch	NP	Dutch
came	VBD	come
.	SENT	.
PM	NN	pm
:	:	:
Mayor	NP	Mayor
Landrieu	NP	<unknown>
'	POS	'
s	NN	S
father	NN	father
,	,	,
Moon	NP	Moon
Landrieu	NP	<unknown>
.	SENT	.
LC	NP	LC
:	:	:
Mayor	NP	Mayor
Landrieu	NP	<unknown>
'	POS	'
s	NN	S
father	NN	father
,	,	,
he	PP	he
took	VBD	take
great	JJ	great
,	,	,
great	JJ	great
risks	NNS	risk
by	IN	by
putting	VBG	put
African-	NN	<unknown>
Americans	NNS	American
in	IN	in
city	NN	city
hall	NN	hall
.	SENT	.
He	PP	he
took	VBD	take
a	DT	a
whipping	NN	whipping
for	IN	for
that	DT	that
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
but	CC	but
he	PP	he
was	VBD	be
a	DT	a
visionary	NN	visionary
,	,	,
and	CC	and
he	PP	he
did	VBD	do
those	DT	those
things	NNS	thing
that	IN	that
he	PP	he
knew	VBD	know
was	VBD	be
going	VBG	go
to	TO	to
help	VB	help
the	DT	the
city	NN	city
.	SENT	.
He	PP	he
knew	VBD	know
we	PP	we
had	VBD	have
to	TO	to
get	VB	get
involved	VBN	involve
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
harp	NN	harp
on	IN	on
that	DT	that
.	SENT	.
We	PP	we
just	RB	just
keep	VB	keep
moving	VBG	move
,	,	,
and	CC	and
Mitch	NP	Mitch
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
tell	VBP	tell
Moon	NN	moon
all	PDT	all
the	DT	the
time	NN	time
,	,	,
"	''	"
You	PP	you
did	VBD	do
a	DT	a
good	JJ	good
thing	NN	thing
,	,	,
"	''	"
but	CC	but
Mitch	NP	Mitch
did	VBD	do
one	CD	one
bigger	JJR	big
than	IN	than
you	PP	you
and	CC	and
better	JJR	good
than	IN	than
you	PP	you
.	SENT	.
When	WRB	when
he	PP	he
pulled	VBD	pull
those	DT	those
statues	NNS	statue
down	RB	down
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
Boy	NP	Boy
,	,	,
you	PP	you
'	POS	'
re	NN	re
crazy	JJ	crazy
!	SENT	!
"	``	"
You	PP	you
'	POS	'
re	NN	re
crazy	JJ	crazy
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
a	DT	a
good	JJ	good
political	JJ	political
move	NN	move
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
I	PP	I
saw	VBD	see
P	NN	P
.	SENT	.
T	NN	T
.	SENT	.
Beauregard	NP	Beauregard
come	VBN	come
down	RP	down
,	,	,
I	PP	I
was	VBD	be
sitting	VBG	sit
looking	VBG	look
at	IN	at
the	DT	the
news	NN	news
,	,	,
and	CC	and
it	PP	it
just	RB	just
hit	VB	hit
me	PP	me
what	WP	what
this	DT	this
was	VBD	be
all	RB	all
about	RB	about
.	SENT	.
To	TO	to
me	PP	me
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
about	IN	about
race	NN	race
;	:	;
it	PP	it
was	VBD	be
a	DT	a
political	JJ	political
move	NN	move
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
so	RB	so
furious	JJ	furious
,	,	,
I	PP	I
got	VBD	get
back	RB	back
on	IN	on
that	DT	that
kitchen	NN	kitchen
the	DT	the
next	JJ	next
morning	NN	morning
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
come	VBN	come
on	IN	on
,	,	,
pick	VB	pick
up	RP	up
your	PP$	your
pants	NNS	pant
,	,	,
and	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
to	TO	to
work	VB	work
,	,	,
because	IN	because
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
left	RB	left
behind	RB	behind
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
move	VB	move
on	IN	on
people	NNS	people
,	,	,
move	NN	move
on	IN	on
what	WP	what
they	PP	they
do	VBP	do
.	SENT	.
It	PP	it
was	VBD	be
going	VBG	go
to	TO	to
bring	VB	bring
visibility	NN	visibility
to	TO	to
the	DT	the
city	NN	city
.	SENT	.
So	RB	so
you	PP	you
got	VBD	get
that	DT	that
visibility	NN	visibility
—	:	-
move	VB	move
on	IN	on
it	PP	it
,	,	,
uplift	VB	uplift
yourself	PP	yourself
,	,	,
do	VB	do
what	WP	what
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
,	,	,
and	CC	and
do	VBP	do
it	PP	it
well	RB	well
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
we	PP	we
do	VBP	do
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
all	RB	all
I	PP	I
try	VBP	try
to	TO	to
do	VB	do
.	SENT	.
PM	NN	pm
:	:	:
But	CC	but
you	PP	you
just	RB	just
gave	VBD	give
the	DT	the
formula	NN	formula
for	IN	for
resilience	NN	resilience
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
you	PP	you
are	VBP	be
clearly	RB	clearly
the	DT	the
best	JJS	good
example	NN	example
we	PP	we
could	MD	could
find	VB	find
anywhere	RB	anywhere
of	IN	of
resilience	NN	resilience
,	,	,
so	IN	so
there	EX	there
must	MD	must
be	VB	be
something	NN	something
you	PP	you
think	VBP	think
—	:	-
LC	NP	LC
:	:	:
I	PP	I
like	VBP	like
emotional	JJ	emotional
strength	NN	strength
.	SENT	.
I	PP	I
like	VBP	like
people	NNS	people
with	IN	with
emotional	JJ	emotional
and	CC	and
physical	JJ	physical
strength	NN	strength
,	,	,
and	CC	and
maybe	RB	maybe
that	RB	that
'	''	'
s	NNS	<unknown>
bad	JJ	bad
for	IN	for
me	PP	me
.	SENT	.
My	PP$	my
favorite	JJ	favorite
all-time	JJ	all-time
general	NN	general
was	VBD	be
George	NP	George
Patton	NP	Patton
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
that	DT	that
wasn	NN	<unknown>
'	POS	'
t	NN	t
too	RB	too
cool	JJ	cool
.	SENT	.
PM	NN	pm
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
surprising	JJ	surprising
.	SENT	.
LC	NN	LC
:	:	:
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
George	NP	George
Patton	NP	Patton
hanging	VBG	hang
in	IN	in
my	PP$	my
dining	NN	dining
room	NN	room
because	IN	because
I	PP	I
want	VBP	want
to	TO	to
remember	VB	remember
.	SENT	.
He	PP	he
set	VBD	set
