If	IN	if
you	PP	you
hear	VBP	hear
your	PP$	your
voice	NN	voice
but	CC	but
your	PP$	your
brain	NN	brain
actually	RB	actually
never	RB	never
listens	VBZ	listen
to	TO	to
the	DT	the
sound	NN	sound
of	IN	of
your	PP$	your
voice	NN	voice
.	SENT	.
Well	RB	well
,	,	,
evolutionarily	NNS	<unknown>
that	WDT	that
might	MD	might
make	VB	make
sense	NN	sense
,	,	,
because	IN	because
we	PP	we
know	VBP	know
cognitively	RB	<unknown>
what	WP	what
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
sound	VB	sound
like	IN	like
so	RB	so
maybe	RB	maybe
we	PP	we
don	VB	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
spend	VB	spend
energy	NN	energy
analyzing	VBG	analyze
the	DT	the
signal	NN	signal
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
called	VBN	call
a	DT	a
corollary	JJ	corollary
discharge	NN	discharge
and	CC	and
it	PP	it
happens	VBZ	happen
for	IN	for
every	DT	every
motion	NN	motion
that	IN	that
your	PP$	your
body	NN	body
does	VBZ	do
.	SENT	.
The	DT	the
exact	JJ	exact
definition	NN	definition
of	IN	of
a	DT	a
corollary	JJ	corollary
discharge	NN	discharge
is	VBZ	be
a	DT	a
copy	NN	copy
of	IN	of
a	DT	a
motor	NN	motor
command	NN	command
that	WDT	that
is	VBZ	be
sent	VBN	send
by	IN	by
the	DT	the
brain	NN	brain
.	SENT	.
This	DT	this
copy	NN	copy
doesn	NN	<unknown>
'	POS	'
t	NN	t
create	VB	create
any	DT	any
motion	NN	motion
itself	PP	itself
but	CC	but
instead	RB	instead
is	VBZ	be
sent	VBN	send
to	TO	to
other	JJ	other
regions	NNS	region
of	IN	of
the	DT	the
brain	NN	brain
to	TO	to
inform	VB	inform
them	PP	them
of	IN	of
the	DT	the
impending	JJ	impending
motion	NN	motion
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
voice	NN	voice
,	,	,
this	DT	this
corollary	JJ	corollary
discharge	NN	discharge
also	RB	also
has	VBZ	have
a	DT	a
different	JJ	different
name	NN	name
.	SENT	.
It	PP	it
is	VBZ	be
your	PP$	your
inner	JJ	inner
voice	NN	voice
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
recapitulate	VBP	recapitulate
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
mask	NN	mask
,	,	,
the	DT	the
outward	JJ	outward
voice	NN	voice
,	,	,
the	DT	the
inside	NN	inside
of	IN	of
the	DT	the
mask	NN	mask
,	,	,
your	PP$	your
inward	JJ	inward
voice	NN	voice
,	,	,
and	CC	and
then	RB	then
you	PP	you
have	VBP	have
your	PP$	your
inner	JJ	inner
voice	NN	voice
.	SENT	.
And	CC	and
I	PP	I
like	VBP	like
to	TO	to
see	VB	see
this	DT	this
one	CD	one
as	IN	as
the	DT	the
puppeteer	NN	puppeteer
that	WDT	that
holds	VBZ	hold
the	DT	the
strings	NNS	string
of	IN	of
the	DT	the
whole	JJ	whole
system	NN	system
.	SENT	.
Your	PP$	your
inner	JJ	inner
voice	NN	voice
is	VBZ	be
the	DT	the
one	CD	one
you	PP	you
hear	VBP	hear
when	WRB	when
you	PP	you
read	VBP	read
a	DT	a
text	NN	text
silently	RB	silently
,	,	,
when	WRB	when
you	PP	you
rehearse	VBP	rehearse
for	IN	for
an	DT	an
important	JJ	important
conversation	NN	conversation
.	SENT	.
Sometimes	RB	sometimes
is	VBZ	be
hard	JJ	hard
to	TO	to
turn	VB	turn
it	PP	it
off	RP	off
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
hard	JJ	hard
to	TO	to
look	VB	look
at	IN	at
the	DT	the
text	NN	text
written	VBN	write
in	IN	in
your	PP$	your
native	JJ	native
language	NN	language
,	,	,
without	IN	without
having	VBG	have
this	DT	this
inner	JJ	inner
voice	NN	voice
read	VB	read
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
the	DT	the
voice	NN	voice
that	WDT	that
refuse	VBP	refuse
to	TO	to
stop	VB	stop
singing	VBG	sing
the	DT	the
stupid	JJ	stupid
song	NN	song
you	PP	you
have	VBP	have
in	IN	in
your	PP$	your
head	NN	head
.	SENT	.
And	CC	and
for	IN	for
some	DT	some
people	NNS	people
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
impossible	JJ	impossible
to	TO	to
control	VB	control
it	PP	it
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
case	NN	case
of	IN	of
schizophrenic	JJ	schizophrenic
patients	NNS	patient
,	,	,
who	WP	who
have	VBP	have
auditory	JJ	auditory
hallucinations	NNS	hallucination
.	SENT	.
Who	WP	who
can	MD	can
'	''	'
t	NN	t
distinguish	VB	distinguish
at	IN	at
all	DT	all
between	IN	between
voices	NNS	voice
coming	VBG	come
from	IN	from
inside	NN	inside
and	CC	and
outside	IN	outside
their	PP$	their
head	NN	head
.	SENT	.
So	RB	so
in	IN	in
our	PP$	our
lab	NN	lab
,	,	,
we	PP	we
are	VBP	be
also	RB	also
working	VBG	work
on	IN	on
small	JJ	small
devices	NNS	device
to	TO	to
help	VB	help
those	DT	those
people	NNS	people
make	VBP	make
those	DT	those
distinctions	NNS	distinction
and	CC	and
know	VB	know
if	IN	if
a	DT	a
voice	NN	voice
is	VBZ	be
internal	JJ	internal
or	CC	or
external	JJ	external
.	SENT	.
You	PP	you
can	MD	can
also	RB	also
think	VB	think
about	IN	about
the	DT	the
inner	JJ	inner
voice	NN	voice
as	IN	as
the	DT	the
voice	NN	voice
that	WDT	that
speaks	VBZ	speak
in	IN	in
your	PP$	your
dream	NN	dream
.	SENT	.
This	DT	this
inner	JJ	inner
voice	NN	voice
can	MD	can
take	VB	take
many	JJ	many
forms	NNS	form
.	SENT	.
And	CC	and
in	IN	in
your	PP$	your
dreams	NNS	dream
,	,	,
you	PP	you
actually	RB	actually
unleash	VBP	unleash
the	DT	the
potential	NN	potential
of	IN	of
this	DT	this
inner	JJ	inner
voice	NN	voice
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
another	DT	another
work	NN	work
we	PP	we
are	VBP	be
doing	VBG	do
in	IN	in
our	PP$	our
lab	NN	lab
:	:	:
trying	VBG	try
to	TO	to
access	VB	access
this	DT	this
inner	JJ	inner
voice	NN	voice
in	IN	in
dreams	NNS	dream
.	SENT	.
So	RB	so
even	RB	even
if	IN	if
you	PP	you
can	MD	can
'	''	'
t	NN	t
always	RB	always
control	VB	control
it	PP	it
,	,	,
the	DT	the
inner	JJ	inner
voice	NN	voice
—	:	-
you	PP	you
can	MD	can
always	RB	always
engage	VB	engage
with	IN	with
it	PP	it
through	IN	through
dialogue	NN	dialogue
,	,	,
through	IN	through
inner	JJ	inner
dialogues	NNS	dialogue
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
even	RB	even
see	VB	see
this	DT	this
inner	JJ	inner
voice	NN	voice
as	IN	as
the	DT	the
missing	JJ	missing
link	NN	link
between	IN	between
thought	NN	thought
and	CC	and
actions	NNS	action
.	SENT	.
So	RB	so
I	PP	I
hope	VBP	hope
I	PP	I
'	''	'
ve	NNS	<unknown>
left	VBD	leave
you	PP	you
with	IN	with
a	DT	a
better	JJR	good
appreciation	NN	appreciation
,	,	,
a	DT	a
new	JJ	new
appreciation	NN	appreciation
of	IN	of
all	DT	all
of	IN	of
your	PP$	your
voices	NNS	voice
and	CC	and
the	DT	the
role	NN	role
it	PP	it
plays	VBZ	play
inside	RB	inside
and	CC	and
outside	RB	outside
of	IN	of
you	PP	you
—	:	-
as	IN	as
your	PP$	your
voice	NN	voice
is	VBZ	be
a	DT	a
very	RB	very
critical	JJ	critical
determinant	NN	determinant
of	IN	of
what	WP	what
makes	VBZ	make
you	PP	you
humans	NNS	human
and	CC	and
of	IN	of
how	WRB	how
you	PP	you
interact	VBP	interact
with	IN	with
the	DT	the
world	NN	world
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
