Whether	IN	whether
the	DT	the
US	NP	US
economy	NN	economy
.	SENT	.
Naturally	RB	naturally
,	,	,
people	NNS	people
had	VBD	have
different	JJ	different
opinions	NNS	opinion
on	IN	on
the	DT	the
matter	NN	matter
and	CC	and
how	WRB	how
we	PP	we
were	VBD	be
approaching	VBG	approach
the	DT	the
discussion	NN	discussion
.	SENT	.
The	DT	the
"	``	"
Dot	NP	Dot
Collector	NN	collector
"	``	"
collects	VBZ	collect
these	DT	these
views	NNS	view
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
list	NN	list
of	IN	of
a	DT	a
few	JJ	few
dozen	NN	dozen
attributes	NNS	attribute
,	,	,
so	RB	so
whenever	WRB	whenever
somebody	NN	somebody
thinks	VBZ	think
something	NN	something
about	IN	about
another	DT	another
person	NN	person
'	POS	'
s	NN	S
thinking	NN	thinking
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
easy	JJ	easy
for	IN	for
them	PP	them
to	TO	to
convey	VB	convey
their	PP$	their
assessment	NN	assessment
;	:	;
they	PP	they
simply	RB	simply
note	VBP	note
the	DT	the
attribute	NN	attribute
and	CC	and
provide	VB	provide
a	DT	a
rating	NN	rating
from	IN	from
one	CD	one
to	TO	to
10	CD	@card@
.	SENT	.
For	IN	for
example	NN	example
,	,	,
as	IN	as
the	DT	the
meeting	NN	meeting
began	VBD	begin
,	,	,
a	DT	a
researcher	NN	researcher
named	VBN	name
Jen	NP	Jen
rated	VBD	rate
me	PP	me
a	DT	a
three	CD	three
—	:	-
in	IN	in
other	JJ	other
words	NNS	word
,	,	,
badly	RB	badly
—	:	-
for	IN	for
not	RB	not
showing	VBG	show
a	DT	a
good	JJ	good
balance	NN	balance
of	IN	of
open-mindedness	NN	open-mindedness
and	CC	and
assertiveness	NN	assertiveness
.	SENT	.
As	IN	as
the	DT	the
meeting	NN	meeting
transpired	VBD	transpire
,	,	,
Jen	NP	Jen
'	POS	'
s	JJ	<unknown>
assessments	NNS	assessment
of	IN	of
people	NNS	people
added	VBD	add
up	RP	up
like	IN	like
this	DT	this
.	SENT	.
Others	NNS	other
in	IN	in
the	DT	the
room	NN	room
have	VBP	have
different	JJ	different
opinions	NNS	opinion
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
normal	JJ	normal
.	SENT	.
Different	JJ	different
people	NNS	people
are	VBP	be
always	RB	always
going	VBG	go
to	TO	to
have	VB	have
different	JJ	different
opinions	NNS	opinion
.	SENT	.
And	CC	and
who	WP	who
knows	VBZ	know
who	WP	who
'	POS	'
s	NN	S
right	NN	right
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
just	RB	just
what	WP	what
people	NNS	people
thought	VBN	think
about	IN	about
how	WRB	how
I	PP	I
was	VBD	be
doing	VBG	do
.	SENT	.
Some	DT	some
people	NNS	people
thought	VBD	think
I	PP	I
did	VBD	do
well	RB	well
,	,	,
others	NNS	other
,	,	,
poorly	RB	poorly
.	SENT	.
With	IN	with
each	DT	each
of	IN	of
these	DT	these
views	NNS	view
,	,	,
we	PP	we
can	MD	can
explore	VB	explore
the	DT	the
thinking	NN	thinking
behind	IN	behind
the	DT	the
numbers	NNS	number
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
what	WP	what
Jen	NP	Jen
and	CC	and
Larry	NP	Larry
said	VBD	say
.	SENT	.
Note	NN	note
that	IN	that
everyone	NN	everyone
gets	VBZ	get
to	TO	to
express	VB	express
their	PP$	their
thinking	NN	thinking
,	,	,
including	VBG	include
their	PP$	their
critical	JJ	critical
thinking	NN	thinking
,	,	,
regardless	RB	regardless
of	IN	of
their	PP$	their
position	NN	position
in	IN	in
the	DT	the
company	NN	company
.	SENT	.
Jen	NP	Jen
,	,	,
who	WP	who
'	POS	'
s	NN	S
24	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
right	RB	right
out	RB	out
of	IN	of
college	NN	college
,	,	,
can	MD	can
tell	VB	tell
me	PP	me
,	,	,
the	DT	the
CEO	NN	CEO
,	,	,
that	IN	that
I	NP	I
'	POS	'
m	NN	m
approaching	VBG	approach
things	NNS	thing
terribly	RB	terribly
.	SENT	.
This	DT	this
tool	NN	tool
helps	VBZ	help
people	NNS	people
both	CC	both
express	VB	express
their	PP$	their
opinions	NNS	opinion
and	CC	and
then	RB	then
separate	VB	separate
themselves	PP	themselves
from	IN	from
their	PP$	their
opinions	NNS	opinion
to	TO	to
see	VB	see
things	NNS	thing
from	IN	from
a	DT	a
higher	JJR	high
level	NN	level
.	SENT	.
When	WRB	when
Jen	NP	Jen
and	CC	and
others	NNS	other
shift	VBP	shift
their	PP$	their
attentions	NNS	attention
from	IN	from
inputting	VBG	input
their	PP$	their
own	JJ	own
opinions	NNS	opinion
to	TO	to
looking	VBG	look
down	RP	down
on	IN	on
the	DT	the
whole	JJ	whole
screen	NN	screen
,	,	,
their	PP$	their
perspective	NN	perspective
changes	NNS	change
.	SENT	.
They	PP	they
see	VBP	see
their	PP$	their
own	JJ	own
opinions	NNS	opinion
as	IN	as
just	RB	just
one	CD	one
of	IN	of
many	JJ	many
and	CC	and
naturally	RB	naturally
start	VB	start
asking	VBG	ask
themselves	PP	themselves
,	,	,
"	``	"
How	WRB	how
do	VBP	do
I	PP	I
know	VBP	know
my	PP$	my
opinion	NN	opinion
is	VBZ	be
right	JJ	right
?	SENT	?
"	''	"
That	DT	that
shift	NN	shift
in	IN	in
perspective	NN	perspective
is	VBZ	be
like	IN	like
going	VBG	go
from	IN	from
seeing	VBG	see
in	IN	in
one	CD	one
dimension	NN	dimension
to	TO	to
seeing	VBG	see
in	IN	in
multiple	JJ	multiple
dimensions	NNS	dimension
.	SENT	.
And	CC	and
it	PP	it
shifts	VBZ	shift
the	DT	the
conversation	NN	conversation
from	IN	from
arguing	VBG	argue
over	RP	over
our	PP$	our
opinions	NNS	opinion
to	TO	to
figuring	VBG	figure
out	RP	out
objective	JJ	objective
criteria	NNS	criterion
for	IN	for
determining	VBG	determine
which	WDT	which
opinions	NNS	opinion
are	VBP	be
best	RBS	well
.	SENT	.
Behind	IN	behind
the	DT	the
"	``	"
Dot	NP	Dot
Collector	NN	collector
"	``	"
is	VBZ	be
a	DT	a
computer	NN	computer
that	WDT	that
is	VBZ	be
watching	VBG	watch
.	SENT	.
It	PP	it
watches	VBZ	watch
what	WP	what
all	PDT	all
these	DT	these
people	NNS	people
are	VBP	be
thinking	VBG	think
and	CC	and
it	PP	it
correlates	VBZ	correlate
that	IN	that
with	IN	with
how	WRB	how
they	PP	they
think	VBP	think
.	SENT	.
And	CC	and
it	PP	it
communicates	VBZ	communicate
advice	NN	advice
back	RB	back
to	TO	to
each	DT	each
of	IN	of
them	PP	them
based	VBN	base
on	IN	on
that	DT	that
.	SENT	.
Then	RB	then
it	PP	it
draws	VBZ	draw
the	DT	the
data	NNS	datum
from	IN	from
all	PDT	all
the	DT	the
meetings	NNS	meeting
to	TO	to
create	VB	create
a	DT	a
pointilist	NN	<unknown>
painting	NN	painting
of	IN	of
what	WP	what
people	NNS	people
are	VBP	be
like	IN	like
and	CC	and
how	WRB	how
they	PP	they
think	VBP	think
.	SENT	.
And	CC	and
it	PP	it
does	VBZ	do
that	IN	that
guided	VBN	guide
by	IN	by
algorithms	NNS	algorithm
.	SENT	.
Knowing	VBG	know
what	WP	what
people	NNS	people
are	VBP	be
like	IN	like
helps	VBZ	help
to	TO	to
match	VB	match
them	PP	them
better	JJR	good
with	IN	with
their	PP$	their
jobs	NNS	job
.	SENT	.
For	IN	for
example	NN	example
,	,	,
a	DT	a
creative	JJ	creative
thinker	NN	thinker
who	WP	who
is	VBZ	be
unreliable	JJ	unreliable
might	MD	might
be	VB	be
matched	VBN	match
up	RP	up
with	IN	with
someone	NN	someone
who	WP	who
'	POS	'
s	JJ	<unknown>
reliable	JJ	reliable
but	CC	but
not	RB	not
creative	JJ	creative
.	SENT	.
Knowing	VBG	know
what	WP	what
people	NNS	people
are	VBP	be
like	IN	like
also	RB	also
allows	VBZ	allow
us	PP	us
to	TO	to
decide	VB	decide
what	WP	what
responsibilities	NNS	responsibility
to	TO	to
give	VB	give
them	PP	them
and	CC	and
to	TO	to
weigh	VB	weigh
our	PP$	our
decisions	NNS	decision
based	VBN	base
on	IN	on
people	NNS	people
'	POS	'
s	NN	S
merits	NNS	merit
.	SENT	.
We	PP	we
call	VB	call
it	PP	it
their	PP$	their
believability	NN	believability
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
example	NN	example
of	IN	of
a	DT	a
vote	NN	vote
that	IN	that
we	PP	we
took	VBD	take
where	WRB	where
the	DT	the
majority	NN	majority
of	IN	of
people	NNS	people
felt	VBD	feel
one	CD	one
way	NN	way
.	SENT	.
.	SENT	.
.	SENT	.
but	CC	but
when	WRB	when
we	PP	we
weighed	VBD	weigh
the	DT	the
views	NNS	view
based	VBN	base
on	IN	on
people	NNS	people
'	POS	'
s	NN	S
merits	NNS	merit
,	,	,
the	DT	the
answer	NN	answer
was	VBD	be
completely	RB	completely
different	JJ	different
.	SENT	.
This	DT	this
process	NN	process
allows	VBZ	allow
us	PP	us
to	TO	to
make	VB	make
decisions	NNS	decision
not	RB	not
based	VBN	base
on	IN	on
democracy	NN	democracy
,	,	,
not	RB	not
based	VBN	base
on	IN	on
autocracy	NN	autocracy
,	,	,
but	CC	but
based	VBN	base
on	IN	on
algorithms	NNS	algorithm
that	WDT	that
take	VBP	take
people	NNS	people
'	POS	'
s	NN	S
believability	NN	believability
into	IN	into
consideration	NN	consideration
.	SENT	.
Yup	NP	Yup
,	,	,
we	PP	we
really	RB	really
do	VBP	do
this	DT	this
.	SENT	.
We	PP	we
do	VBP	do
it	PP	it
because	IN	because
it	PP	it
eliminates	VBZ	eliminate
what	WP	what
I	PP	I
believe	VBP	believe
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
tragedies	NNS	tragedy
of	IN	of
mankind	NN	mankind
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
people	NNS	people
arrogantly	RB	arrogantly
,	,	,
na��vely	RB	<unknown>
holding	VBG	hold
opinions	NNS	opinion
in	IN	in
their	PP$	their
minds	NNS	mind
that	WDT	that
are	VBP	be
wrong	JJ	wrong
,	,	,
and	CC	and
acting	VBG	act
on	IN	on
them	PP	them
,	,	,
and	CC	and
not	RB	not
putting	VBG	put
them	PP	them
out	RP	out
there	RB	there
to	TO	to
stress	VB	stress
test	VB	test
them	PP	them
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
tragedy	NN	tragedy
.	SENT	.
And	CC	and
we	PP	we
do	VBP	do
it	PP	it
because	IN	because
it	PP	it
elevates	VBZ	elevate
ourselves	PP	ourselves
above	IN	above
our	PP$	our
own	JJ	own
opinions	NNS	opinion
so	IN	so
that	WDT	that
we	PP	we
start	VBP	start
to	TO	to
see	VB	see
things	NNS	thing
through	IN	through
everybody	NN	everybody
'	POS	'
s	NN	S
eyes	NNS	eye
,	,	,
and	CC	and
we	PP	we
see	VBP	see
things	NNS	thing
collectively	RB	collectively
.	SENT	.
Collective	JJ	collective
decision-	NN	<unknown>
making	NN	making
is	VBZ	be
so	RB	so
much	RB	much
better	RBR	well
than	IN	than
individual	JJ	individual
decision-making	NN	decision-making
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
done	VBN	do
well	RB	well
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
the	DT	the
secret	JJ	secret
sauce	NN	sauce
behind	IN	behind
our	PP$	our
success	NN	success
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
more	JJR	more
money	NN	money
for	IN	for
our	PP$	our
clients	NNS	client
than	IN	than
any	DT	any
other	JJ	other
hedge	NN	hedge
fund	NN	fund
in	IN	in
existence	NN	existence
and	CC	and
made	VBD	make
money	NN	money
23	CD	@card@
out	IN	out
of	IN	of
the	DT	the
last	JJ	last
26	CD	@card@
years	NNS	year
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
problem	NN	problem
with	IN	with
being	VBG	be
radically	RB	radically
truthful	JJ	truthful
and	CC	and
radically	RB	radically
transparent	JJ	transparent
with	IN	with
each	DT	each
other	JJ	other
?	SENT	?
People	NNS	people
say	VBP	say
it	PP	it
'	''	'
s	NNS	<unknown>
emotionally	RB	emotionally
difficult	JJ	difficult
.	SENT	.
Critics	NNS	critic
say	VBP	say
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
formula	NN	formula
for	IN	for
a	DT	a
brutal	JJ	brutal
work	NN	work
environment	NN	environment
.	SENT	.
Neuroscientists	NNS	Neuroscientist
tell	VBP	tell
me	PP	me
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
how	WRB	how
are	VBP	be
brains	NNS	brain
are	VBP	be
prewired	JJ	<unknown>
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
part	NN	part
of	IN	of
our	PP$	our
brain	NN	brain
that	WDT	that
would	MD	would
like	VB	like
to	TO	to
know	VB	know
our	PP$	our
mistakes	NNS	mistake
and	CC	and
like	VBP	like
to	TO	to
look	VB	look
at	IN	at
our	PP$	our
weaknesses	NNS	weakness
so	IN	so
we	PP	we
could	MD	could
do	VB	do
better	RBR	well
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
told	VBD	tell
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
prefrontal	JJ	prefrontal
cortex	NN	cortex
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
part	NN	part
of	IN	of
our	PP$	our
brain	NN	brain
which	WDT	which
views	VBZ	view
all	DT	all
of	IN	of
this	DT	this
as	IN	as
attacks	NNS	attack
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
told	VBD	tell
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
amygdala	NN	amygdala
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
there	EX	there
are	VBP	be
two	CD	two
you	PP	you
'	POS	'
s	NN	S
inside	IN	inside
you	PP	you
:	:	:
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
emotional	JJ	emotional
you	PP	you
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
intellectual	NN	intellectual
you	PP	you
,	,	,
and	CC	and
often	RB	often
they	PP	they
'	POS	'
re	NN	re
at	IN	at
odds	NNS	odd
,	,	,
and	CC	and
often	RB	often
they	PP	they
work	VBP	work
against	IN	against
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
our	PP$	our
experience	NN	experience
that	IN	that
we	PP	we
can	MD	can
win	VB	win
this	DT	this
battle	NN	battle
.	SENT	.
We	PP	we
win	VBP	win
it	PP	it
as	IN	as
a	DT	a
group	NN	group
.	SENT	.
It	PP	it
takes	VBZ	take
about	RB	about
18	CD	@card@
months	NNS	month
typically	RB	typically
to	TO	to
find	VB	find
that	IN	that
most	JJS	most
people	NNS	people
prefer	VBP	prefer
operating	VBG	operate
this	DT	this
way	NN	way
,	,	,
with	IN	with
this	DT	this
radical	JJ	radical
transparency	NN	transparency
than	IN	than
to	TO	to
be	VB	be
operating	VBG	operate
in	IN	in
a	DT	a
more	RBR	more
opaque	JJ	opaque
environment	NN	environment
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
not	RB	not
politics	NNS	politics
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
the	DT	the
brutality	NN	brutality
of	IN	of
—	:	-
you	PP	you
know	VBP	know
,	,	,
all	RB	all
of	IN	of
that	DT	that
hidden	JJ	hidden
,	,	,
behind-the-scenes	JJ	behind-the-scenes
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
idea	NN	idea
meritocracy	NN	meritocracy
where	WRB	where
people	NNS	people
can	MD	can
speak	VB	speak
up	RP	up
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	RB	<unknown>
been	VBN	be
great	JJ	great
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
given	VBN	give
us	PP	us
more	RBR	more
effective	JJ	effective
work	NN	work
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
given	VBN	give
us	PP	us
more	RBR	more
effective	JJ	effective
relationships	NNS	relationship
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
for	IN	for
everybody	NN	everybody
.	SENT	.
We	PP	we
found	VBD	find
something	NN	something
like	IN	like
25	CD	@card@
or	CC	or
30	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
it	PP	it
'	POS	'
s	NN	S
just	RB	just
not	RB	not
for	IN	for
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
when	WRB	when
I	PP	I
say	VBP	say
radical	JJ	radical
transparency	NN	transparency
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
transparency	NN	transparency
about	IN	about
everything	NN	everything
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
tell	VB	tell
somebody	NN	somebody
that	IN	that
their	PP$	their
bald	JJ	bald
spot	NN	spot
is	VBZ	be
growing	VBG	grow
or	CC	or
their	PP$	their
baby	NN	baby
'	POS	'
s	NNS	<unknown>
ugly	JJ	ugly
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
talking	VBG	talk
about	RB	about
—	:	-
talking	VBG	talk
about	IN	about
the	DT	the
important	JJ	important
things	NNS	thing
.	SENT	.
So	RB	so
—	:	-
So	RB	so
when	WRB	when
you	PP	you
leave	VBP	leave
this	DT	this
room	NN	room
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
observe	VB	observe
yourself	PP	yourself
in	IN	in
conversations	NNS	conversation
with	IN	with
others	NNS	other
.	SENT	.
Imagine	VB	imagine
if	IN	if
you	PP	you
knew	VBD	know
what	WP	what
they	PP	they
were	VBD	be
really	RB	really
thinking	VBG	think
,	,	,
and	CC	and
imagine	VB	imagine
if	IN	if
you	PP	you
knew	VBD	know
what	WP	what
they	PP	they
were	VBD	be
really	RB	really
like	JJ	like
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
imagine	VB	imagine
if	IN	if
they	PP	they
knew	VBD	know
what	WP	what
you	PP	you
were	VBD	be
really	RB	really
thinking	VBG	think
and	CC	and
what	WP	what
were	VBD	be
really	RB	really
like	JJ	like
.	SENT	.
It	PP	it
would	MD	would
certainly	RB	certainly
clear	VB	clear
things	NNS	thing
up	IN	up
a	DT	a
lot	NN	lot
and	CC	and
make	VB	make
your	PP$	your
operations	NNS	operation
together	RB	together
more	RBR	more
effective	JJ	effective
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
will	MD	will
improve	VB	improve
your	PP$	your
relationships	NNS	relationship
.	SENT	.
Now	RB	now
imagine	VB	imagine
that	IN	that
you	PP	you
can	MD	can
have	VB	have
algorithms	NNS	algorithm
that	WDT	that
will	MD	will
help	VB	help
you	PP	you
gather	VB	gather
all	DT	all
of	IN	of
that	DT	that
information	NN	information
and	CC	and
even	RB	even
help	VB	help
you	PP	you
make	VB	make
decisions	NNS	decision
in	IN	in
an	DT	an
idea-	NN	<unknown>
meritocratic	JJ	<unknown>
way	NN	way
.	SENT	.
This	DT	this
sort	NN	sort
of	IN	of
radical	JJ	radical
transparency	NN	transparency
is	VBZ	be
coming	VBG	come
at	IN	at
you	PP	you
and	CC	and
it	PP	it
is	VBZ	be
going	VBG	go
to	TO	to
affect	VB	affect
your	PP$	your
life	NN	life
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
opinion	NN	opinion
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
wonderful	JJ	wonderful
.	SENT	.
So	RB	so
I	PP	I
hope	VBP	hope
it	PP	it
is	VBZ	be
as	RB	as
wonderful	JJ	wonderful
for	IN	for
you	PP	you
as	IN	as
it	PP	it
is	VBZ	be
for	IN	for
me	PP	me
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
