Hey	UH	hey
circles	NNS	circle
,	,	,
legalized	VBN	legalize
marijuana	NN	marijuana
is	VBZ	be
too	RB	too
much	JJ	much
of	IN	of
a	DT	a
sacred	JJ	sacred
cow	NN	cow
to	TO	to
question	NN	question
.	SENT	.
But	CC	but
we	PP	we
need	VBP	need
to	TO	to
start	VB	start
this	DT	this
conversation	NN	conversation
,	,	,
because	IN	because
what	WP	what
'	POS	'
s	NNS	<unknown>
being	VBG	be
sold	VBN	sell
today	NN	today
is	VBZ	be
not	RB	not
natural	JJ	natural
,	,	,
and	CC	and
lobbyists	NNS	lobbyist
and	CC	and
industry	NN	industry
are	VBP	be
using	VBG	use
social	JJ	social
justice	NN	justice
as	IN	as
a	DT	a
smoke	NN	smoke
screen	NN	screen
so	RB	so
that	IN	that
they	PP	they
can	MD	can
get	VB	get
richer	JJR	rich
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
my	PP$	my
own	JJ	own
journey	NN	journey
to	TO	to
sobriety	NN	sobriety
that	WDT	that
led	VBD	lead
me	PP	me
to	TO	to
begin	VB	begin
questioning	VBG	question
a	DT	a
lot	NN	lot
of	IN	of
what	WP	what
I	PP	I
was	VBD	be
seeing	VBG	see
;	:	;
that	WDT	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
taught	VBD	teach
to	TO	to
do	VB	do
.	SENT	.
When	WRB	when
I	PP	I
left	VBD	leave
Boulder	NP	Boulder
for	IN	for
the	DT	the
Washington	NP	Washington
,	,	,
DC	NP	DC
,	,	,
area	NN	area
at	IN	at
12	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
was	VBD	be
transported	VBN	transport
into	IN	into
a	DT	a
world	NN	world
where	WRB	where
the	DT	the
kind	NN	kind
of	IN	of
shoes	NNS	shoe
you	PP	you
wore	VBD	wear
mattered	VBN	matter
more	RBR	more
than	IN	than
just	RB	just
about	IN	about
anything	NN	anything
else	RB	else
.	SENT	.
And	CC	and
my	PP$	my
family	NN	family
was	VBD	be
just	RB	just
too	RB	too
poor	JJ	poor
to	TO	to
help	VB	help
me	PP	me
play	VB	play
that	DT	that
game	NN	game
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
faced	VBN	face
with	IN	with
a	DT	a
pretty	JJ	pretty
real	JJ	real
crisis	NN	crisis
of	IN	of
identity	NN	identity
.	SENT	.
In	IN	in
this	DT	this
new	JJ	new
scene	NN	scene
where	WRB	where
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
blacktop	NN	blacktop
than	IN	than
treetops	NNS	treetop
,	,	,
man	UH	man
,	,	,
I	PP	I
just	RB	just
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
who	WP	who
I	PP	I
was	VBD	be
.	SENT	.
So	RB	so
I	PP	I
smoked	VBD	smoke
weed	NN	weed
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
when	WRB	when
I	PP	I
was	VBD	be
13	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
loved	VBD	love
it	PP	it
.	SENT	.
I	PP	I
instantly	RB	instantly
found	VBD	find
this	DT	this
social	JJ	social
group	NN	group
,	,	,
and	CC	and
I	PP	I
also	RB	also
just	RB	just
really	RB	really
liked	VBN	like
being	VBG	be
high	JJ	high
.	SENT	.
I	PP	I
finally	RB	finally
found	VBD	find
a	DT	a
way	NN	way
to	TO	to
shut	VB	shut
this	DT	this
up	RB	up
.	SENT	.
I	PP	I
quickly	RB	quickly
turned	VBD	turn
to	TO	to
other	JJ	other
drugs	NNS	drug
and	CC	and
alcohol	NN	alcohol
,	,	,
and	CC	and
something	NN	something
just	RB	just
woke	VBD	wake
up	RP	up
inside	IN	inside
of	IN	of
my	PP$	my
brain	NN	brain
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
daily	JJ	daily
user	NN	user
within	IN	within
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
.	SENT	.
My	PP$	my
addictive	JJ	addictive
use	NN	use
mirrors	VBZ	mirror
many	JJ	many
of	IN	of
the	DT	the
stories	NNS	story
that	IN	that
I	NP	I
'	POS	'
m	NN	m
sure	RB	sure
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
before	RB	before
.	SENT	.
It	PP	it
started	VBD	start
out	RP	out
as	IN	as
fun	NN	fun
,	,	,
it	PP	it
got	VBD	get
scary	JJ	scary
,	,	,
and	CC	and
then	RB	then
it	PP	it
was	VBD	be
just	RB	just
necessary	JJ	necessary
.	SENT	.
Enough	RB	enough
said	VBD	say
.	SENT	.
I	PP	I
got	VBD	get
wasted	VBN	waste
for	IN	for
the	DT	the
last	JJ	last
time	NN	time
on	IN	on
June	NP	June
15	CD	@card@
of	IN	of
1996	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
—	:	-
Thank	VB	thank
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
the	DT	the
last	JJ	last
21	CD	@card@
years	NNS	year
trying	VBG	try
to	TO	to
both	CC	both
put	VB	put
my	PP$	my
life	NN	life
back	RB	back
in	IN	in
order	NN	order
as	RB	as
well	RB	well
as	IN	as
trying	VBG	try
to	TO	to
find	VB	find
some	DT	some
peace	NN	peace
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
ways	NNS	way
I	PP	I
'	POS	'
ve	RB	<unknown>
done	VBN	do
that	WDT	that
is	VBZ	be
by	IN	by
working	VBG	work
inside	RB	inside
of	IN	of
nonprofit	JJ	nonprofit
drug	NN	drug
and	CC	and
alcohol	NN	alcohol
treatment	NN	treatment
for	IN	for
the	DT	the
last	JJ	last
10	CD	@card@
years	NNS	year
,	,	,
with	IN	with
groups	NNS	group
like	IN	like
Phoenix	NP	Phoenix
Multisport	NN	multisport
,	,	,
the	DT	the
University	NP	University
of	IN	of
Colorado	NP	Colorado
Hospital	NP	Hospital
and	CC	and
NALGAP	NP	<unknown>
—	:	-
the	DT	the
National	NP	National
Association	NP	Association
for	IN	for
Lesbian	JJ	Lesbian
,	,	,
Gay	NP	Gay
,	,	,
Transgender	NP	Transgender
,	,	,
Bisexual	JJ	bisexual
Treatment	NP	Treatment
Providers	NNS	provider
and	CC	and
their	PP$	their
Allies	NNS	ally
.	SENT	.
Even	RB	even
after	IN	after
all	DT	all
of	IN	of
my	PP$	my
work	NN	work
on	IN	on
the	DT	the
front	JJ	front
lines	NNS	line
and	CC	and
as	IN	as
a	DT	a
former	JJ	former
consumer	NN	consumer
myself	PP	myself
,	,	,
I	PP	I
was	VBD	be
shocked	VBN	shock
and	CC	and
pissed	VBN	piss
when	WRB	when
I	PP	I
started	VBD	start
to	TO	to
see	VB	see
what	WP	what
commercialization	NN	commercialization
was	VBD	be
doing	VBG	do
to	TO	to
cannabis	NN	cannabis
,	,	,
because	RB	because
,	,	,
you	PP	you
see	VBP	see
,	,	,
our	PP$	our
hope	NN	hope
for	IN	for
something	NN	something
pure	JJ	pure
and	CC	and
natural	JJ	natural
is	VBZ	be
making	VBG	make
it	PP	it
hard	JJ	hard
for	IN	for
us	PP	us
to	TO	to
see	VB	see
what	WP	what
'	POS	'
s	NN	S
really	RB	really
going	VBG	go
on	IN	on
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
that	IN	that
the	DT	the
rich	JJ	rich
are	VBP	be
getting	VBG	get
richer	JJR	rich
on	IN	on
the	DT	the
backs	NNS	back
of	IN	of
the	DT	the
poor	JJ	poor
and	CC	and
lying	VBG	lie
to	TO	to
our	PP$	our
faces	NNS	face
the	DT	the
entire	JJ	entire
time	NN	time
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
My	PP$	my
friends	NNS	friend
,	,	,
once	RB	once
again	RB	again
I	PP	I
fear	VBP	fear
that	IN	that
we	PP	we
are	VBP	be
allowing	VBG	allow
industry	NN	industry
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
the	DT	the
most	RBS	most
challenged	VBN	challenge
among	IN	among
us	PP	us
in	IN	in
order	NN	order
to	TO	to
turn	VB	turn
a	DT	a
profit	NN	profit
,	,	,
much	RB	much
like	IN	like
we	PP	we
saw	VBD	see
with	IN	with
tobacco	NN	tobacco
and	CC	and
food	NN	food
in	IN	in
years	NNS	year
past	JJ	past
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
told	VBD	tell
the	DT	the
food	NN	food
industry	NN	industry
that	IN	that
we	PP	we
understood	VBD	understand
the	DT	the
impact	NN	impact
our	PP$	our
choices	NNS	choice
were	VBD	be
having	VBG	have
,	,	,
and	CC	and
that	IN	that
we	PP	we
demanded	VBD	demand
better	JJR	good
for	IN	for
ourselves	PP	ourselves
and	CC	and
our	PP$	our
families	NNS	family
,	,	,
that	DT	that
industry	NN	industry
got	VBD	get
into	IN	into
line	NN	line
.	SENT	.
So	RB	so
is	VBZ	be
there	RB	there
any	DT	any
reason	NN	reason
why	WRB	why
we	PP	we
couldn	NN	<unknown>
'	POS	'
t	NN	t
demand	NN	demand
the	DT	the
same	JJ	same
thing	NN	thing
from	IN	from
this	DT	this
and	CC	and
from	IN	from
future	JJ	future
industries	NNS	industry
who	WP	who
are	VBP	be
trying	VBG	try
to	TO	to
get	VB	get
a	DT	a
piece	NN	piece
of	IN	of
our	PP$	our
paychecks	NNS	paycheck
?	SENT	?
What	WP	what
if	IN	if
we	PP	we
made	VBD	make
these	DT	these
guys	NNS	guy
answer	VBP	answer
some	DT	some
hard	JJ	hard
questions	NNS	question
?	SENT	?
What	WP	what
if	IN	if
we	PP	we
held	VBD	hold
them	PP	them
to	TO	to
a	DT	a
higher	JJR	high
standard	NN	standard
than	IN	than
we	PP	we
are	VBP	be
right	RB	right
now	RB	now
?	SENT	?
Because	IN	because
as	IN	as
it	PP	it
stands	VBZ	stand
,	,	,
for	IN	for
many	JJ	many
in	IN	in
our	PP$	our
community	NN	community
,	,	,
the	DT	the
grass	NN	grass
isn	NN	isn
'	''	'
t	NN	t
greener	JJR	green
on	IN	on
this	DT	this
side	NN	side
of	IN	of
commercialization	NN	commercialization
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
just	RB	just
been	VBN	be
sold	VBN	sell
a	DT	a
bag	NN	bag
of	IN	of
goods	NNS	good
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Jeremy	NP	Jeremy
Duhon	NP	Duhon
:	:	:
I	PP	I
know	VBP	know
this	DT	this
is	VBZ	be
a	DT	a
sensitive	JJ	sensitive
topic	NN	topic
but	CC	but
a	DT	a
very	RB	very
important	JJ	important
one	CD	one
,	,	,
so	RB	so
thank	VB	thank
you	PP	you
for	IN	for
bringing	VBG	bring
this	DT	this
up	RP	up
and	CC	and
helping	VBG	help
us	PP	us
explore	VB	explore
it	PP	it
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
folks	NNS	folk
are	VBP	be
experiencing	VBG	experience
health	NN	health
benefits	NNS	benefit
from	IN	from
marijuana	NN	marijuana
and	CC	and
cannabis	NN	cannabis
.	SENT	.
What	WP	what
would	MD	would
you	PP	you
say	VB	say
to	TO	to
that	DT	that
part	NN	part
of	IN	of
the	DT	the
community	NN	community
?	SENT	?
Ben	NP	Ben
Cort	NP	Cort
:	:	:
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
glad	JJ	glad
you	PP	you
brought	VBD	bring
that	IN	that
up	RB	up
.	SENT	.
I	PP	I
think	VBP	think
one	PP	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
do	VB	do
right	RB	right
now	RB	now
is	VBZ	be
to	TO	to
separate	VB	separate
out	RP	out
medicinal	JJ	medicinal
,	,	,
and	CC	and
especially	RB	especially
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
and	CC	and
some	DT	some
of	IN	of
the	DT	the
advances	NNS	advance
that	WDT	that
are	VBP	be
being	VBG	be
made	VBN	make
using	VBG	use
parts	NNS	part
of	IN	of
this	DT	this
plant	NN	plant
and	CC	and
even	RB	even
some	DT	some
whole-plant	NN	whole-plant
medicines	NNS	medicine
,	,	,
from	IN	from
the	DT	the
commercial	JJ	commercial
market	NN	market
for	IN	for
THC	NP	THC
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
,	,	,
I	PP	I
think	VBP	think
,	,	,
crucial	JJ	crucial
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
stop	VB	stop
putting	VBG	put
them	PP	them
together	RB	together
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
say	VB	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
part	NN	part
about	IN	about
getting	VBG	get
high	JJ	high
,	,	,
and	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
part	NN	part
about	IN	about
the	DT	the
medicine	NN	medicine
.	SENT	.
"	''	"
JD	NNS	<unknown>
:	:	:
So	RB	so
it	PP	it
sounds	VBZ	sound
like	IN	like
your	PP$	your
talk	NN	talk
is	VBZ	be
less	JJR	less
about	IN	about
being	JJ	being
anti-cannabis	NNS	<unknown>
and	CC	and
more	JJR	more
about	IN	about
raising	VBG	raise
awareness	NN	awareness
about	IN	about
aspects	NNS	aspect
of	IN	of
commercialization	NN	commercialization
.	SENT	.
Is	VBZ	be
that	IN	that
a	DT	a
fair	JJ	fair
way	NN	way
to	TO	to
put	VB	put
it	PP	it
?	SENT	?
BC	NP	BC
:	:	:
Yes	UH	yes
.	SENT	.
So	RB	so
,	,	,
I	PP	I
am	VBP	be
not	RB	not
the	DT	the
anti-weed	NN	<unknown>
guy	NN	guy
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
pro-logic	JJ	<unknown>
guy	NN	guy
.	SENT	.
For	IN	for
me	PP	me
to	TO	to
cast	VB	cast
stones	NNS	stone
—	:	-
listen	VB	listen
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
drug	NN	drug
addict	NN	addict
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
get	VBP	get
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
bothering	VBG	bother
me	PP	me
and	CC	and
what	WP	what
'	POS	'
s	NN	S
so	RB	so
hard	RB	hard
for	IN	for
me	PP	me
is	VBZ	be
to	TO	to
see	VB	see
the	DT	the
way	NN	way
that	IN	that
we	PP	we
are	VBP	be
just	RB	just
embracing	VBG	embrace
without	IN	without
asking	VBG	ask
the	DT	the
hard	JJ	hard
questions	NNS	question
,	,	,
when	WRB	when
if	IN	if
this	DT	this
was	VBD	be
another	DT	another
industry	NN	industry
,	,	,
we	PP	we
'	POS	'
d	NN	d
be	VB	be
holding	VBG	hold
their	PP$	their
feet	NNS	foot
to	TO	to
the	DT	the
fire	NN	fire
on	IN	on
some	DT	some
stuff	NN	stuff
.	SENT	.
And	CC	and
no	UH	no
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
the	DT	the
anti-weed	NN	<unknown>
guy	NN	guy
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
pro-thought	JJ	<unknown>
guy	NN	guy
.	SENT	.
So	RB	so
:	:	:
think	VBP	think
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
even	RB	even
care	VBP	care
if	IN	if
you	PP	you
'	POS	'
re	NN	re
smoking	NN	smoking
when	WRB	when
you	PP	you
do	VBP	do
it	PP	it
,	,	,
just	RB	just
so	RB	so
long	JJ	long
as	IN	as
you	PP	you
'	''	'
re	IN	re
an	DT	an
adult	NN	adult
.	SENT	.
So	RB	so
long	RB	long
as	IN	as
you	PP	you
'	''	'
re	IN	re
an	DT	an
adult	NN	adult
,	,	,
just	RB	just
think	VBP	think
.	SENT	.
