Consider	VB	consider
of	IN	of
these	DT	these
studies	NNS	study
tell	VBP	tell
us	PP	us
?	SENT	?
They	PP	they
tell	VBP	tell
us	PP	us
that	IN	that
attention	NN	attention
is	VBZ	be
very	RB	very
powerful	JJ	powerful
in	IN	in
terms	NNS	term
of	IN	of
affecting	VBG	affect
our	PP$	our
perception	NN	perception
.	SENT	.
Even	RB	even
though	IN	though
it	PP	it
'	POS	'
s	NN	S
so	RB	so
powerful	JJ	powerful
,	,	,
it	PP	it
'	POS	'
s	NN	S
also	RB	also
fragile	JJ	fragile
and	CC	and
vulnerable	JJ	vulnerable
.	SENT	.
And	CC	and
things	NNS	thing
like	IN	like
stress	NN	stress
and	CC	and
mind-wandering	NN	mind-wandering
diminish	VBP	diminish
its	PP$	its
power	NN	power
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
in	IN	in
the	DT	the
context	NN	context
of	IN	of
these	DT	these
very	RB	very
controlled	VBN	control
laboratory	NN	laboratory
settings	NNS	setting
.	SENT	.
What	WP	what
about	RB	about
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
?	SENT	?
What	WP	what
about	RB	about
in	IN	in
our	PP$	our
actual	JJ	actual
day-to-day	JJ	day-to-day
life	NN	life
?	SENT	?
What	WP	what
about	RB	about
now	RB	now
?	SENT	?
Where	WRB	where
is	VBZ	be
your	PP$	your
attention	NN	attention
right	RB	right
now	RB	now
?	SENT	?
To	TO	to
kind	NN	kind
of	IN	of
bring	VB	bring
it	PP	it
back	RB	back
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
make	VB	make
a	DT	a
prediction	NN	prediction
about	IN	about
your	PP$	your
attention	NN	attention
for	IN	for
the	DT	the
remainder	NN	remainder
of	IN	of
my	PP$	my
talk	NN	talk
.	SENT	.
Are	VBP	be
you	PP	you
up	RP	up
for	IN	for
it	PP	it
?	SENT	?
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
prediction	NN	prediction
.	SENT	.
You	PP	you
will	MD	will
be	VB	be
unaware	JJ	unaware
of	IN	of
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
for	IN	for
four	CD	four
out	RB	out
of	IN	of
the	DT	the
next	JJ	next
eight	CD	eight
minutes	NNS	minute
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
challenge	NN	challenge
,	,	,
so	RB	so
pay	VB	pay
attention	NN	attention
,	,	,
please	UH	please
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
am	VBP	be
I	PP	I
saying	VBG	say
this	DT	this
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
surely	RB	surely
going	VBG	go
to	TO	to
assume	VB	assume
that	IN	that
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
remain	VB	remain
seated	VBN	seat
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
graciously	RB	graciously
keep	VB	keep
your	PP$	your
eyes	NNS	eye
on	IN	on
me	PP	me
as	IN	as
I	PP	I
speak	VBP	speak
.	SENT	.
But	CC	but
a	DT	a
growing	VBG	grow
body	NN	body
of	IN	of
literature	NN	literature
suggests	VBZ	suggest
that	IN	that
we	PP	we
mind-wander	VBP	mind-wander
,	,	,
we	PP	we
take	VBP	take
our	PP$	our
mind	NN	mind
away	RB	away
from	IN	from
the	DT	the
task	NN	task
at	IN	at
hand	NN	hand
,	,	,
about	RB	about
50	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
waking	VBG	wake
moments	NNS	moment
.	SENT	.
These	DT	these
might	MD	might
be	VB	be
small	JJ	small
,	,	,
little	JJ	little
trips	NNS	trip
that	IN	that
we	PP	we
take	VBP	take
away	RB	away
,	,	,
private	JJ	private
thoughts	NNS	thought
that	IN	that
we	PP	we
have	VBP	have
.	SENT	.
And	CC	and
when	WRB	when
this	DT	this
mind-wandering	NN	mind-wandering
happens	VBZ	happen
,	,	,
it	PP	it
can	MD	can
be	VB	be
problematic	JJ	problematic
.	SENT	.
Now	RB	now
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
there	EX	there
will	MD	will
be	VB	be
any	DT	any
dire	JJ	dire
consequences	NNS	consequence
with	IN	with
you	PP	you
all	RB	all
sitting	VBG	sit
here	RB	here
today	NN	today
,	,	,
but	CC	but
imagine	VB	imagine
a	DT	a
military	JJ	military
leader	NN	leader
missing	VBG	miss
four	CD	four
minutes	NNS	minute
of	IN	of
a	DT	a
military	JJ	military
briefing	NN	briefing
,	,	,
or	CC	or
a	DT	a
judge	NN	judge
missing	VBG	miss
four	CD	four
minutes	NNS	minute
of	IN	of
testimony	NN	testimony
.	SENT	.
Or	CC	or
a	DT	a
surgeon	NN	surgeon
or	CC	or
firefighter	NN	firefighter
missing	VBG	miss
any	DT	any
time	NN	time
.	SENT	.
The	DT	the
consequences	NNS	consequence
in	IN	in
those	DT	those
cases	NNS	case
could	MD	could
be	VB	be
dire	JJ	dire
.	SENT	.
So	RB	so
we	PP	we
might	MD	might
ask	VB	ask
why	WRB	why
do	VBP	do
we	PP	we
do	VBP	do
this	DT	this
?	SENT	?
Why	WRB	why
do	VBP	do
we	PP	we
mind-	NN	<unknown>
wander	VBP	wander
so	RB	so
much	RB	much
?	SENT	?
Well	RB	well
,	,	,
part	NN	part
of	IN	of
the	DT	the
answer	NN	answer
is	VBZ	be
that	IN	that
our	PP$	our
mind	NN	mind
is	VBZ	be
an	DT	an
exquisite	JJ	exquisite
time-traveling	VBG	time-travel
master	NN	master
.	SENT	.
It	PP	it
can	MD	can
actually	RB	actually
time	VB	time
travel	NN	travel
very	RB	very
easily	RB	easily
.	SENT	.
If	IN	if
we	PP	we
think	VBP	think
of	IN	of
the	DT	the
mind	NN	mind
as	IN	as
the	DT	the
metaphor	NN	metaphor
of	IN	of
the	DT	the
music	NN	music
player	NN	player
,	,	,
we	PP	we
see	VBP	see
this	DT	this
.	SENT	.
We	PP	we
can	MD	can
rewind	VB	rewind
the	DT	the
mind	NN	mind
to	TO	to
the	DT	the
past	NN	past
to	TO	to
reflect	VB	reflect
on	IN	on
events	NNS	event
that	WDT	that
have	VBP	have
already	RB	already
happened	VBN	happen
,	,	,
right	RB	right
?	SENT	?
Or	CC	or
we	PP	we
can	MD	can
go	VB	go
and	CC	and
fast-	NN	<unknown>
future	NN	future
,	,	,
to	TO	to
plan	VB	plan
for	IN	for
the	DT	the
next	JJ	next
thing	NN	thing
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
we	PP	we
land	NN	land
in	IN	in
this	DT	this
mental	JJ	mental
time-travel	NN	time-travel
mode	NN	mode
of	IN	of
the	DT	the
past	NN	past
or	CC	or
the	DT	the
future	NN	future
very	RB	very
frequently	RB	frequently
.	SENT	.
And	CC	and
we	PP	we
land	VBP	land
there	RB	there
often	RB	often
without	IN	without
our	PP$	our
awareness	NN	awareness
,	,	,
most	JJS	most
times	NNS	time
without	IN	without
our	PP$	our
awareness	NN	awareness
,	,	,
even	RB	even
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
paying	VBG	pay
attention	NN	attention
.	SENT	.
Think	VB	think
of	IN	of
just	RB	just
the	DT	the
last	JJ	last
time	NN	time
you	PP	you
were	VBD	be
trying	VBG	try
to	TO	to
read	VB	read
a	DT	a
book	NN	book
,	,	,
got	VBD	get
to	TO	to
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
page	NN	page
with	IN	with
no	DT	no
idea	NN	idea
what	WP	what
the	DT	the
words	NNS	word
were	VBD	be
saying	VBG	say
.	SENT	.
This	DT	this
happens	VBZ	happen
to	TO	to
us	PP	us
.	SENT	.
And	CC	and
when	WRB	when
this	DT	this
happens	VBZ	happen
,	,	,
when	WRB	when
we	PP	we
mind-wander	VBP	mind-wander
without	IN	without
an	DT	an
awareness	NN	awareness
that	IN	that
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
,	,	,
there	EX	there
are	VBP	be
consequences	NNS	consequence
.	SENT	.
We	PP	we
make	VBP	make
errors	NNS	error
.	SENT	.
We	PP	we
miss	VBP	miss
critical	JJ	critical
information	NN	information
,	,	,
sometimes	RB	sometimes
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
difficulty	NN	difficulty
making	VBG	make
decisions	NNS	decision
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
worse	RBR	worse
is	VBZ	be
when	WRB	when
we	PP	we
experience	VBP	experience
stress	NN	stress
.	SENT	.
When	WRB	when
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
moment	NN	moment
of	IN	of
overwhelm	VB	overwhelm
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
just	RB	just
reflect	VBP	reflect
on	IN	on
the	DT	the
past	NN	past
when	WRB	when
we	PP	we
rewind	VBP	rewind
,	,	,
we	PP	we
end	VBP	end
up	IN	up
being	VBG	be
in	IN	in
the	DT	the
past	JJ	past
ruminating	VBG	ruminate
,	,	,
reliving	VBG	relive
or	CC	or
regretting	VBG	regret
events	NNS	event
that	WDT	that
have	VBP	have
already	RB	already
happened	VBN	happen
.	SENT	.
Or	CC	or
under	IN	under
stress	NN	stress
,	,	,
we	PP	we
fast-forward	JJ	fast-forward
the	DT	the
mind	NN	mind
.	SENT	.
Not	RB	not
just	RB	just
to	TO	to
productively	RB	productively
plan	VB	plan
.	SENT	.
But	CC	but
we	PP	we
end	VBP	end
up	RP	up
catastrophizing	VBG	<unknown>
or	CC	or
worrying	VBG	worry
about	IN	about
events	NNS	event
that	DT	that
haven	NN	haven
'	POS	'
t	NN	t
happened	VBD	happen
yet	RB	yet
and	CC	and
frankly	RB	frankly
may	MD	may
never	RB	never
happen	VB	happen
.	SENT	.
So	RB	so
at	IN	at
this	DT	this
point	NN	point
,	,	,
you	PP	you
might	MD	might
be	VB	be
thinking	VBG	think
to	TO	to
yourself	PP	yourself
,	,	,
OK	UH	OK
,	,	,
mind-wandering	NN	mind-wandering
'	POS	'
s	NN	S
happening	VBG	happen
a	DT	a
lot	NN	lot
.	SENT	.
Often	RB	often
,	,	,
it	PP	it
happens	VBZ	happen
without	IN	without
our	PP$	our
awareness	NN	awareness
.	SENT	.
And	CC	and
under	IN	under
stress	NN	stress
,	,	,
it	PP	it
'	POS	'
s	NN	S
even	RB	even
worse	JJR	bad
—	:	-
we	PP	we
mind-wander	VBP	mind-wander
more	RBR	more
powerfully	RB	powerfully
and	CC	and
more	JJR	more
often	RB	often
.	SENT	.
Is	VBZ	be
there	RB	there
anything	NN	anything
we	PP	we
can	MD	can
possibly	RB	possibly
do	VB	do
about	IN	about
this	DT	this
?	SENT	?
And	CC	and
I	PP	I
'	POS	'
m	NN	m
happy	JJ	happy
to	TO	to
say	VB	say
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
.	SENT	.
From	IN	from
our	PP$	our
work	NN	work
,	,	,
we	PP	we
'	POS	'
re	NN	re
learning	VBG	learn
that	IN	that
the	DT	the
opposite	NN	opposite
of	IN	of
a	DT	a
stressed	VBN	stress
and	CC	and
wandering	VBG	wander
mind	NN	mind
is	VBZ	be
a	DT	a
mindful	JJ	mindful
one	CD	one
.	SENT	.
Mindfulness	NN	mindfulness
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
paying	VBG	pay
attention	NN	attention
to	TO	to
our	PP$	our
present-moment	NN	present-moment
experience	NN	experience
with	IN	with
awareness	NN	awareness
.	SENT	.
And	CC	and
without	IN	without
any	DT	any
kind	NN	kind
of	IN	of
emotional	JJ	emotional
reactivity	NN	reactivity
of	IN	of
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
keeping	VBG	keep
that	DT	that
button	NN	button
right	NN	right
on	IN	on
play	NN	play
to	TO	to
experience	VB	experience
the	DT	the
moment-to-moment	NN	moment-to-moment
unfolding	VBG	unfold
of	IN	of
our	PP$	our
lives	NNS	life
.	SENT	.
And	CC	and
mindfulness	NN	mindfulness
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
concept	NN	concept
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
like	IN	like
practice	NN	practice
,	,	,
you	PP	you
have	VBP	have
to	TO	to
embody	VB	embody
this	DT	this
mindful	JJ	mindful
mode	NN	mode
of	IN	of
being	VBG	be
to	TO	to
have	VB	have
any	DT	any
benefits	NNS	benefit
.	SENT	.
And	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
work	NN	work
that	IN	that
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
we	PP	we
'	POS	'
re	NN	re
offering	NN	offering
people	NNS	people
programs	NNS	program
that	WDT	that
give	VBP	give
our	PP$	our
participants	NNS	participant
a	DT	a
suite	NN	suite
of	IN	of
exercises	NNS	exercise
that	IN	that
they	PP	they
should	MD	should
do	VB	do
daily	RB	daily
in	IN	in
order	NN	order
to	TO	to
cultivate	VB	cultivate
more	JJR	more
moments	NNS	moment
of	IN	of
mindfulness	NN	mindfulness
in	IN	in
their	PP$	their
life	NN	life
.	SENT	.
And	CC	and
for	IN	for
many	JJ	many
of	IN	of
the	DT	the
groups	NNS	group
that	WDT	that
we	PP	we
work	VBP	work
with	IN	with
,	,	,
high-	NN	high-
stress	NN	stress
groups	NNS	group
,	,	,
like	IN	like
I	PP	I
said	VBD	say
—	:	-
soldiers	NNS	soldier
,	,	,
medical	JJ	medical
professionals	NNS	professional
—	:	-
for	IN	for
them	PP	them
,	,	,
as	IN	as
we	PP	we
know	VBP	know
,	,	,
mind-wandering	NN	mind-wandering
can	MD	can
be	VB	be
really	RB	really
dire	JJ	dire
.	SENT	.
So	RB	so
we	PP	we
want	VBP	want
to	TO	to
make	VB	make
sure	JJ	sure
we	PP	we
offer	VBP	offer
them	PP	them
very	RB	very
accessible	JJ	accessible
,	,	,
low	JJ	low
time	NN	time
constraints	NNS	constraint
to	TO	to
optimize	VB	optimize
the	DT	the
training	NN	training
,	,	,
so	RB	so
they	PP	they
can	MD	can
benefit	VB	benefit
from	IN	from
it	PP	it
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
do	VBP	do
this	DT	this
,	,	,
what	WP	what
we	PP	we
can	MD	can
do	VB	do
is	VBZ	be
track	VB	track
to	TO	to
see	VB	see
what	WP	what
happens	VBZ	happen
,	,	,
not	RB	not
just	RB	just
in	IN	in
their	PP$	their
regular	JJ	regular
lives	NNS	life
but	CC	but
in	IN	in
the	DT	the
most	RBS	most
demanding	JJ	demanding
circumstances	NNS	circumstance
that	IN	that
they	PP	they
may	MD	may
have	VB	have
.	SENT	.
Why	WRB	why
do	VBP	do
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
this	DT	this
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
want	VBP	want
to	TO	to
,	,	,
for	IN	for
example	NN	example
,	,	,
give	VB	give
it	PP	it
to	TO	to
students	NNS	student
right	JJ	right
around	IN	around
finals	NNS	final
season	NN	season
.	SENT	.
Or	CC	or
we	PP	we
want	VBP	want
to	TO	to
give	VB	give
the	DT	the
training	NN	training
to	TO	to
accountants	NNS	accountant
during	IN	during
tax	NN	tax
season	NN	season
.	SENT	.
Or	CC	or
soldiers	NNS	soldier
and	CC	and
marines	NNS	marine
while	IN	while
they	PP	they
'	''	'
re	IN	re
deploying	VBG	deploy
.	SENT	.
Why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
Because	IN	because
those	DT	those
are	VBP	be
the	DT	the
moments	NNS	moment
in	IN	in
which	WDT	which
their	PP$	their
attention	NN	attention
is	VBZ	be
most	RBS	most
likely	JJ	likely
to	TO	to
be	VB	be
vulnerable	JJ	vulnerable
,	,	,
because	IN	because
of	IN	of
stress	NN	stress
and	CC	and
mind-wandering	NN	mind-wandering
.	SENT	.
And	CC	and
those	DT	those
are	VBP	be
also	RB	also
the	DT	the
moments	NNS	moment
in	IN	in
which	WDT	which
we	PP	we
want	VBP	want
their	PP$	their
attention	NN	attention
to	TO	to
be	VB	be
in	IN	in
peak	NN	peak
shape	NN	shape
so	IN	so
they	PP	they
can	MD	can
perform	VB	perform
well	RB	well
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
our	PP$	our
research	NN	research
is	VBZ	be
we	PP	we
have	VBP	have
them	PP	them
take	VBP	take
a	DT	a
series	NN	series
of	IN	of
attention	NN	attention
tests	NNS	test
.	SENT	.
We	PP	we
track	VBP	track
their	PP$	their
attention	NN	attention
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
some	DT	some
kind	NN	kind
of	IN	of
high-stress	NN	high-stress
interval	NN	interval
,	,	,
and	CC	and
then	RB	then
two	CD	two
months	NNS	month
later	RBR	later
,	,	,
we	PP	we
track	VBP	track
them	PP	them
again	RB	again
,	,	,
and	CC	and
we	PP	we
want	VBP	want
to	TO	to
see	VB	see
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
difference	NN	difference
.	SENT	.
Is	VBZ	be
there	RB	there
any	DT	any
benefit	NN	benefit
of	IN	of
offering	VBG	offer
them	PP	them
mindfulness	NN	mindfulness
training	NN	training
?	SENT	?
Can	MD	can
we	PP	we
protect	VB	protect
against	IN	against
the	DT	the
lapses	NNS	lapse
in	IN	in
attention	NN	attention
that	WDT	that
might	MD	might
arise	VB	arise
over	IN	over
high	JJ	high
stress	NN	stress
?	SENT	?
So	RB	so
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
find	VBP	find
.	SENT	.
Over	IN	over
a	DT	a
high-stress	NN	high-stress
interval	NN	interval
,	,	,
unfortunately	RB	unfortunately
,	,	,
the	DT	the
reality	NN	reality
is	VBZ	be
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
anything	NN	anything
at	IN	at
all	DT	all
,	,	,
attention	NN	attention
declines	NNS	decline
,	,	,
people	NNS	people
are	VBP	be
worse	JJR	bad
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
high-	NN	high-
stress	NN	stress
interval	NN	interval
than	IN	than
before	RB	before
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
offer	VBP	offer
mindfulness	NN	mindfulness
training	NN	training
,	,	,
we	PP	we
can	MD	can
protect	VB	protect
against	IN	against
this	DT	this
.	SENT	.
They	PP	they
stay	VBP	stay
stable	JJ	stable
,	,	,
even	RB	even
though	RB	though
just	RB	just
like	IN	like
the	DT	the
other	JJ	other
groups	NNS	group
,	,	,
they	PP	they
were	VBD	be
experiencing	VBG	experience
high	JJ	high
stress	NN	stress
.	SENT	.
And	CC	and
perhaps	RB	perhaps
even	RB	even
more	RBR	more
impressive	JJ	impressive
is	VBZ	be
that	IN	that
if	IN	if
people	NNS	people
take	VBP	take
our	PP$	our
training	NN	training
programs	NNS	program
over	RB	over
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
,	,	,
eight	CD	eight
weeks	NNS	week
,	,	,
and	CC	and
they	PP	they
fully	RB	fully
commit	VBP	commit
to	TO	to
doing	VBG	do
the	DT	the
daily	JJ	daily
mindfulness	NN	mindfulness
exercises	NNS	exercise
that	WDT	that
allow	VBP	allow
them	PP	them
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
be	VB	be
in	IN	in
the	DT	the
present	JJ	present
moment	NN	moment
,	,	,
well	RB	well
,	,	,
they	PP	they
actually	RB	actually
get	VBP	get
better	JJR	good
over	IN	over
time	NN	time
,	,	,
even	RB	even
though	IN	though
they	PP	they
'	POS	'
re	NN	re
in	IN	in
high	JJ	high
stress	NN	stress
.	SENT	.
And	CC	and
this	DT	this
last	JJ	last
point	NN	point
is	VBZ	be
actually	RB	actually
important	JJ	important
to	TO	to
realize	VB	realize
,	,	,
because	IN	because
of	IN	of
what	WP	what
it	PP	it
suggests	VBZ	suggest
to	TO	to
us	PP	us
is	VBZ	be
that	IN	that
mindfulness	NN	mindfulness
exercises	NNS	exercise
are	VBP	be
very	RB	very
much	JJ	much
like	IN	like
physical	JJ	physical
exercise	NN	exercise
:	:	:
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
it	PP	it
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
benefit	NN	benefit
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
do	VBP	do
engage	VB	engage
in	IN	in
mindfulness	NN	mindfulness
practice	NN	practice
,	,	,
the	DT	the
more	RBR	more
you	PP	you
do	VBP	do
,	,	,
the	DT	the
more	RBR	more
you	PP	you
benefit	VBP	benefit
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
just	RB	just
bring	VB	bring
it	PP	it
back	RB	back
to	TO	to
Captain	NP	Captain
Jeff	NP	Jeff
Davis	NP	Davis
.	SENT	.
As	IN	as
I	PP	I
mentioned	VBD	mention
to	TO	to
you	PP	you
at	IN	at
the	DT	the
beginning	NN	beginning
,	,	,
his	PP$	his
marines	NNS	marine
were	VBD	be
involved	VBN	involve
in	IN	in
the	DT	the
very	RB	very
first	JJ	first
project	NN	project
that	IN	that
we	PP	we
ever	RB	ever
did	VBD	do
,	,	,
offering	VBG	offer
mindfulness	NN	mindfulness
training	NN	training
.	SENT	.
And	CC	and
they	PP	they
showed	VBD	show
this	DT	this
exact	JJ	exact
pattern	NN	pattern
,	,	,
which	WDT	which
was	VBD	be
very	RB	very
heartening	VBG	hearten
.	SENT	.
We	PP	we
had	VBD	have
offered	VBN	offer
them	PP	them
the	DT	the
mindfulness	NN	mindfulness
training	NN	training
right	RB	right
before	IN	before
they	PP	they
were	VBD	be
deployed	VBN	deploy
to	TO	to
Iraq	NP	Iraq
.	SENT	.
And	CC	and
upon	IN	upon
their	PP$	their
return	NN	return
,	,	,
Captain	NP	Captain
Davis	NP	Davis
shared	VBD	share
with	IN	with
us	PP	us
what	WP	what
he	PP	he
was	VBD	be
feeling	VBG	feel
was	VBD	be
the	DT	the
benefit	NN	benefit
of	IN	of
this	DT	this
program	NN	program
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
unlike	IN	unlike
last	JJ	last
time	NN	time
,	,	,
after	IN	after
this	DT	this
deployment	NN	deployment
,	,	,
they	PP	they
were	VBD	be
much	RB	much
more	RBR	more
present	JJ	present
.	SENT	.
They	PP	they
were	VBD	be
discerning	JJ	discerning
.	SENT	.
They	PP	they
were	VBD	be
not	RB	not
as	RB	as
reactive	JJ	reactive
.	SENT	.
And	CC	and
in	IN	in
some	DT	some
cases	NNS	case
,	,	,
they	PP	they
were	VBD	be
really	RB	really
more	RBR	more
compassionate	JJ	compassionate
with	IN	with
the	DT	the
people	NNS	people
they	PP	they
were	VBD	be
engaging	VBG	engage
with	IN	with
and	CC	and
each	DT	each
other	JJ	other
.	SENT	.
He	PP	he
said	VBD	say
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
he	PP	he
felt	VBD	feel
that	IN	that
the	DT	the
mindfulness	NN	mindfulness
training	NN	training
program	NN	program
we	PP	we
offered	VBD	offer
gave	VBD	give
them	PP	them
a	DT	a
really	RB	really
important	JJ	important
tool	NN	tool
to	TO	to
protect	VB	protect
against	IN	against
developing	VBG	develop
post-traumatic	JJ	post-traumatic
stress	NN	stress
disorder	NN	disorder
and	CC	and
even	RB	even
allowing	VBG	allow
it	PP	it
to	TO	to
turn	VB	turn
into	IN	into
post-traumatic	JJ	post-traumatic
growth	NN	growth
.	SENT	.
To	TO	to
us	PP	us
,	,	,
this	DT	this
was	VBD	be
very	RB	very
compelling	JJ	compelling
.	SENT	.
And	CC	and
it	PP	it
ended	VBD	end
up	RP	up
that	IN	that
Captain	NP	Captain
Davis	NP	Davis
and	CC	and
I	PP	I
—	:	-
you	PP	you
know	VBP	know
,	,	,
this	DT	this
was	VBD	be
about	RB	about
a	DT	a
decade	NN	decade
ago	RB	ago
,	,	,
in	IN	in
2008	CD	@card@
—	:	-
we	PP	we
'	POS	'
ve	NN	ve
kept	VBD	keep
in	IN	in
touch	RB	touch
all	PDT	all
these	DT	these
years	NNS	year
.	SENT	.
And	CC	and
he	PP	he
himself	PP	himself
has	VBZ	have
gone	VBN	go
on	RP	on
to	TO	to
continue	VB	continue
practicing	VBG	practice
mindfulness	NN	mindfulness
in	IN	in
a	DT	a
daily	JJ	daily
way	NN	way
.	SENT	.
He	PP	he
was	VBD	be
promoted	VBN	promote
to	TO	to
major	JJ	major
,	,	,
he	PP	he
actually	RB	actually
then	RB	then
ended	VBN	end
up	RP	up
retiring	VBG	retire
from	IN	from
the	DT	the
Marine	NP	Marine
Corps	NP	Corps
.	SENT	.
He	PP	he
went	VBD	go
on	RP	on
to	TO	to
get	VB	get
a	DT	a
divorce	NN	divorce
,	,	,
to	TO	to
get	VB	get
remarried	VBN	remarry
,	,	,
to	TO	to
have	VB	have
a	DT	a
child	NN	child
,	,	,
to	TO	to
get	VB	get
an	DT	an
MBA	NP	MBA
.	SENT	.
And	CC	and
through	IN	through
all	DT	all
of	IN	of
these	DT	these
challenges	NNS	challenge
and	CC	and
transitions	NNS	transition
and	CC	and
joys	NNS	joy
of	IN	of
his	PP$	his
life	NN	life
,	,	,
he	PP	he
kept	VBD	keep
up	RP	up
with	IN	with
his	PP$	his
mindfulness	NN	mindfulness
practice	NN	practice
.	SENT	.
And	CC	and
as	IN	as
fate	NN	fate
would	MD	would
have	VB	have
it	PP	it
,	,	,
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
,	,	,
Captain	NP	Captain
Davis	NP	Davis
suffered	VBD	suffer
a	DT	a
massive	JJ	massive
heart	NN	heart
attack	NN	attack
,	,	,
at	IN	at
the	DT	the
age	NN	age
of	IN	of
46	CD	@card@
.	SENT	.
And	CC	and
he	PP	he
ended	VBD	end
up	RP	up
calling	VBG	call
me	PP	me
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
something	NN	something
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
the	DT	the
doctors	NNS	doctor
who	WP	who
worked	VBD	work
on	IN	on
me	PP	me
,	,	,
they	PP	they
saved	VBD	save
my	PP$	my
heart	NN	heart
,	,	,
but	CC	but
mindfulness	NN	mindfulness
saved	VBD	save
my	PP$	my
life	NN	life
.	SENT	.
The	DT	the
presence	NN	presence
of	IN	of
mind	NN	mind
I	PP	I
had	VBD	have
to	TO	to
stop	VB	stop
the	DT	the
ambulance	NN	ambulance
that	WDT	that
ended	VBD	end
up	RP	up
taking	VBG	take
me	PP	me
to	TO	to
the	DT	the
hospital	NN	hospital
,	,	,
"	``	"
—	:	-
himself	PP	himself
,	,	,
the	DT	the
clarity	NN	clarity
of	IN	of
mind	NN	mind
he	PP	he
had	VBD	have
to	TO	to
notice	VB	notice
when	WRB	when
there	EX	there
was	VBD	be
fear	NN	fear
and	CC	and
anxiety	NN	anxiety
happening	NN	happening
but	CC	but
not	RB	not
be	VB	be
gripped	VBN	grip
by	IN	by
it	PP	it
—	:	-
he	PP	he
said	VBD	say
,	,	,
"	``	"
For	IN	for
me	PP	me
,	,	,
these	DT	these
were	VBD	be
the	DT	the
gifts	NNS	gift
of	IN	of
mindfulness	NN	mindfulness
.	SENT	.
"	``	"
And	CC	and
I	PP	I
was	VBD	be
so	RB	so
relieved	VBN	relieve
to	TO	to
hear	VB	hear
that	IN	that
he	PP	he
was	VBD	be
OK	JJ	OK
.	SENT	.
But	CC	but
really	RB	really
heartened	VBN	hearten
to	TO	to
