Gayle	NP	Gayle
like	IN	like
a	DT	a
nerdy	JJ	nerdy
geek	NN	geek
?	SENT	?
Look	VB	look
at	IN	at
the	DT	the
shirt	NN	shirt
.	SENT	.
No	UH	no
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
very	RB	very
nice	JJ	nice
guy	NN	guy
.	SENT	.
SW	NP	SW
:	:	:
You	PP	you
can	MD	can
tell	VB	tell
he	PP	he
'	POS	'
s	NN	S
into	IN	into
technology	NN	technology
.	SENT	.
GK	NN	GK
:	:	:
He	PP	he
'	POS	'
s	NN	S
a	DT	a
very	JJ	very
,	,	,
very	RB	very
nice	JJ	nice
guy	NN	guy
.	SENT	.
I	PP	I
like	VBP	like
him	PP	him
very	RB	very
much	RB	much
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
he	PP	he
succeed	VB	succeed
when	WRB	when
others	NNS	other
have	VBP	have
failed	VBN	fail
?	SENT	?
How	WRB	how
was	VBD	be
he	PP	he
the	DT	the
one	CD	one
that	IN	that
you	PP	you
knew	VBD	know
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
one	CD	one
for	IN	for
me	PP	me
?	SENT	?
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
say	VB	say
that	IN	that
,	,	,
but	RB	but
.	SENT	.
.	SENT	.
.	SENT	.
GK	NP	GK
:	:	:
Say	VBP	say
it	PP	it
,	,	,
Serena	NP	Serena
,	,	,
say	VBP	say
it	PP	it
!	SENT	!
SW	NP	SW
:	:	:
Well	UH	well
.	SENT	.
.	SENT	.
.	SENT	.
Yes	UH	yes
.	SENT	.
GK	NN	GK
:	:	:
But	CC	but
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
SW	NP	SW
:	:	:
He	PP	he
is	VBZ	be
very	RB	very
loving	JJ	loving
and	CC	and
he	PP	he
'	POS	'
s	JJ	<unknown>
very	JJ	very
kind	NN	kind
,	,	,
and	CC	and
my	PP$	my
mom	NN	mom
says	VBZ	say
he	PP	he
'	''	'
s	NNS	<unknown>
very	RB	very
considerate	JJ	considerate
,	,	,
and	CC	and
when	WRB	when
she	PP	she
said	VBD	say
that	IN	that
to	TO	to
me	PP	me
,	,	,
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
really	RB	really
is	VBZ	be
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
little	JJ	little
things	NNS	thing
that	WDT	that
really	RB	really
make	VBP	make
a	DT	a
huge	JJ	huge
difference	NN	difference
in	IN	in
life	NN	life
.	SENT	.
GK	NN	GK
:	:	:
Like	IN	like
?	SENT	?
SW	NP	SW
:	:	:
Something	NN	something
simple	NN	simple
.	SENT	.
My	PP$	my
fashion	NN	fashion
company	NN	company
,	,	,
we	PP	we
have	VBP	have
a	DT	a
show	NN	show
every	DT	every
year	NN	year
,	,	,
so	RB	so
in	IN	in
our	PP$	our
show	NN	show
last	JJ	last
year	NN	year
,	,	,
I	PP	I
was	VBD	be
running	VBG	run
around	RP	around
like	IN	like
crazy	JJ	crazy
,	,	,
because	IN	because
I	PP	I
do	VBP	do
everything	NN	everything
for	IN	for
the	DT	the
show	NN	show
,	,	,
and	CC	and
everything	NN	everything
for	IN	for
it	PP	it
,	,	,
so	RB	so
I	PP	I
was	VBD	be
running	VBG	run
around	RP	around
like	IN	like
crazy	JJ	crazy
,	,	,
and	CC	and
he	PP	he
,	,	,
it	PP	it
was	VBD	be
a	DT	a
simple	JJ	simple
gesture	NN	gesture
of	IN	of
this	DT	this
shirt	NN	shirt
that	IN	that
he	PP	he
had	VBD	have
,	,	,
and	CC	and
he	PP	he
just	RB	just
wanted	VBD	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
I	PP	I
had	VBD	have
the	DT	the
same	JJ	same
one	CD	one
,	,	,
and	CC	and
it	PP	it
was	VBD	be
—	:	-
it	PP	it
'	POS	'
s	NN	S
a	DT	a
weird	JJ	weird
story	NN	story
.	SENT	.
It	PP	it
was	VBD	be
better	RBR	well
in	IN	in
person	NN	person
,	,	,
I	PP	I
promise	VBP	promise
.	SENT	.
GK	NP	GK
:	:	:
Was	VBD	be
it	PP	it
a	DT	a
wonderful	JJ	wonderful
proposal	NN	proposal
?	SENT	?
Or	CC	or
was	VBD	be
it	PP	it
a	DT	a
Beyonc��	NP	<unknown>
song	NN	song
?	SENT	?
"	``	"
If	IN	if
you	PP	you
like	VBP	like
it	PP	it
then	RB	then
you	PP	you
ought	MD	ought
to	TO	to
put	VB	put
a	DT	a
ring	NN	ring
on	IN	on
it	PP	it
"	''	"
?	SENT	?
Were	VBD	be
you	PP	you
feeling	JJ	feeling
pressure	NN	pressure
to	TO	to
get	VB	get
married	JJ	married
?	SENT	?
Did	VBD	do
you	PP	you
know	VBP	know
it	PP	it
was	VBD	be
coming	VBG	come
?	SENT	?
SW	NP	SW
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
actually	RB	actually
never	RB	never
felt	VBN	feel
pressure	NN	pressure
to	TO	to
get	VB	get
married	JJ	married
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
say	VBP	say
I	PP	I
'	''	'
m	NN	m
the	DT	the
marrying	VBG	marry
type	NN	type
of	IN	of
person	NN	person
.	SENT	.
I	PP	I
really	RB	really
love	VBP	love
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
love	VBP	love
my	PP$	my
freedom	NN	freedom
.	SENT	.
I	PP	I
heard	VBD	hear
that	DT	that
kind	NN	kind
of	IN	of
changes	NNS	change
.	SENT	.
But	CC	but
I	PP	I
love	VBP	love
everything	NN	everything
that	IN	that
I	PP	I
do	VBP	do
,	,	,
and	CC	and
I	PP	I
love	VBP	love
my	PP$	my
career	NN	career
,	,	,
and	CC	and
I	PP	I
always	RB	always
felt	VBD	feel
like	IN	like
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
anything	NN	anything
to	TO	to
interfere	VB	interfere
with	IN	with
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
actually	RB	actually
been	VBN	be
so	RB	so
career-oriented	JJ	career-oriented
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
when	WRB	when
he	PP	he
proposed	VBD	propose
,	,	,
I	PP	I
was	VBD	be
almost	RB	almost
angry	JJ	angry
.	SENT	.
Not	RB	not
almost	RB	almost
.	SENT	.
I	PP	I
was	VBD	be
angry	JJ	angry
,	,	,
because	IN	because
it	PP	it
was	VBD	be
right	JJ	right
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
my	PP$	my
training	NN	training
season	NN	season
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
gotta	VB	gotta
win	VB	win
the	DT	the
Australian	JJ	Australian
Open	NP	Open
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
fly	NN	fly
to	TO	to
Rome	NP	Rome
.	SENT	.
"	``	"
Because	IN	because
he	PP	he
wanted	VBD	want
to	TO	to
take	VB	take
me	PP	me
to	TO	to
Rome	NP	Rome
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
.	SENT	.
I	PP	I
gotta	VB	gotta
win	VB	win
.	SENT	.
"	''	"
But	CC	but
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
focused	JJ	focused
I	PP	I
was	VBD	be
.	SENT	.
GK	NN	GK
:	:	:
This	DT	this
is	VBZ	be
a	DT	a
girl	NN	girl
that	WDT	that
says	VBZ	say
,	,	,
"	``	"
No	UH	no
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
go	VB	go
to	TO	to
Rome	NP	Rome
.	SENT	.
"	``	"
OK	UH	OK
.	SENT	.
SW	NP	SW
:	:	:
But	CC	but
I	PP	I
was	VBD	be
really	RB	really
focused	VBN	focus
on	IN	on
reaching	VBG	reach
my	PP$	my
goals	NNS	goal
and	CC	and
I	PP	I
knew	VBD	know
at	IN	at
that	DT	that
point	NN	point
there	EX	there
was	VBD	be
one	CD	one
player	NN	player
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
pass	VB	pass
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
pass	VB	pass
Steffi	NP	Steffi
Graf	NP	Graf
'	POS	'
s	NN	S
record	NN	record
,	,	,
and	CC	and
that	WDT	that
really	RB	really
meant	VBD	mean
a	DT	a
lot	NN	lot
to	TO	to
me	PP	me
,	,	,
and	CC	and
when	WRB	when
I	PP	I
put	VBD	put
my	PP$	my
mind	NN	mind
to	TO	to
something	NN	something
,	,	,
I	PP	I
really	RB	really
am	VBP	be
determined	VBN	determine
to	TO	to
reach	VB	reach
it	PP	it
no	RB	no
matter	VBP	matter
what	WP	what
.	SENT	.
GK	NN	GK
:	:	:
You	PP	you
know	VBP	know
,	,	,
you	PP	you
said	VBD	say
that	IN	that
for	IN	for
you	PP	you
—	:	-
I	PP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
you	PP	you
say	VBP	say
that	IN	that
winning	VBG	win
is	VBZ	be
addictive	JJ	addictive
to	TO	to
you	PP	you
.	SENT	.
SW	NP	SW
:	:	:
It	PP	it
is	VBZ	be
.	SENT	.
GK	NP	GK
:	:	:
What	WP	what
do	VBP	do
you	PP	you
mean	VBP	mean
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
feel	VBP	feel
like	IN	like
winning	VBG	win
for	IN	for
me	PP	me
is	VBZ	be
superaddictive	JJ	superaddictive
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
once	RB	once
you	PP	you
experience	VBP	experience
it	PP	it
,	,	,
you	PP	you
always	RB	always
want	VBP	want
to	TO	to
get	VB	get
that	DT	that
feeling	NN	feeling
again	RB	again
,	,	,
and	CC	and
when	WRB	when
I	PP	I
won	VBD	win
my	PP$	my
first	JJ	first
championship	NN	championship
,	,	,
I	PP	I
was	VBD	be
only	RB	only
17	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
but	CC	but
I	PP	I
never	RB	never
forgot	VBD	forget
that	DT	that
feeling	NN	feeling
,	,	,
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
every	DT	every
time	NN	time
I	PP	I
win	VBP	win
one	PP	one
,	,	,
I	PP	I
want	VBP	want
to	TO	to
reach	VB	reach
that	DT	that
feeling	NN	feeling
of	IN	of
your	PP$	your
first	JJ	first
championship	NN	championship
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
really	RB	really
no	DT	no
feeling	NN	feeling
in	IN	in
the	DT	the
world	NN	world
like	IN	like
that	DT	that
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
all	PDT	all
these	DT	these
years	NNS	year
of	IN	of
training	NN	training
and	CC	and
being	VBG	be
a	DT	a
little	JJ	little
kid	NN	kid
and	CC	and
playing	NN	playing
,	,	,
and	CC	and
then	RB	then
winning	VBG	win
is	VBZ	be
a	DT	a
wonderful	JJ	wonderful
experience	NN	experience
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
felt	VBD	feel
like	IN	like
I	PP	I
loved	VBD	love
that	DT	that
feeling	NN	feeling
,	,	,
and	CC	and
obviously	RB	obviously
I	PP	I
don	VB	don
'	''	'
t	NN	t
like	IN	like
the	DT	the
feeling	NN	feeling
of	IN	of
losing	VBG	lose
.	SENT	.
I	PP	I
feel	VBP	feel
like	IN	like
—	:	-
GK	NP	GK
:	:	:
No	UH	no
,	,	,
in	IN	in
fact	NN	fact
,	,	,
people	NNS	people
close	JJ	close
to	TO	to
you	PP	you
say	VBP	say
you	PP	you
'	''	'
re	IN	re
a	DT	a
very	RB	very
bad	JJ	bad
loser	NN	loser
.	SENT	.
SW	NP	SW
:	:	:
I	PP	I
'	POS	'
m	NN	m
not	RB	not
the	DT	the
best	JJS	good
loser	NN	loser
.	SENT	.
GK	NN	GK
:	:	:
That	IN	that
you	PP	you
'	POS	'
re	NN	re
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
bad	JJ	bad
.	SENT	.
Listen	VB	listen
,	,	,
no	DT	no
athlete	NN	athlete
,	,	,
no	DT	no
champion	NN	champion
likes	VBZ	like
to	TO	to
lose	VB	lose
.	SENT	.
I	PP	I
get	VBP	get
that	RB	that
.	SENT	.
But	CC	but
they	PP	they
say	VBP	say
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
losing	VBG	lose
,	,	,
you	PP	you
are	VBP	be
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
bad	JJ	bad
at	IN	at
it	PP	it
.	SENT	.
SW	NP	SW
:	:	:
I	PP	I
'	POS	'
m	NN	m
number	NN	number
one	CD	one
at	IN	at
losing	VBG	lose
too	RB	too
,	,	,
so	RB	so
you	PP	you
know	VBP	know
,	,	,
that	IN	that
'	POS	'
s	NN	S
all	RB	all
I	PP	I
can	MD	can
say	VB	say
.	SENT	.
GK	NN	GK
:	:	:
I	PP	I
'	POS	'
m	NN	m
always	RB	always
curious	JJ	curious
about	IN	about
the	DT	the
dynamic	NN	dynamic
between	IN	between
you	PP	you
and	CC	and
Venus	NP	Venus
,	,	,
because	IN	because
everybody	NN	everybody
that	WDT	that
knows	VBZ	know
you	PP	you
and	CC	and
has	VBZ	have
followed	VBN	follow
the	DT	the
story	NN	story
knows	VBZ	know
that	IN	that
you	PP	you
two	CD	two
are	VBP	be
very	RB	very
close	JJ	close
,	,	,
and	CC	and
you	PP	you
always	RB	always
bring	VBP	bring
your	PP$	your
A	NP	A
game	NN	game
in	IN	in
whatever	WDT	whatever
you	PP	you
do	VBP	do
,	,	,
but	CC	but
I	PP	I
often	RB	often
wonder	VBP	wonder
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
playing	VBG	play
her	PP	her
,	,	,
do	VB	do
you	PP	you
bring	VB	bring
your	PP$	your
A-	NP	<unknown>
game	NN	game
because	IN	because
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
for	IN	for
her	PP	her
or	CC	or
do	VB	do
you	PP	you
bring	VB	bring
your	PP$	your
A++	NP	<unknown>
game	NN	game
because	IN	because
you	PP	you
want	VBP	want
to	TO	to
crush	VB	crush
her	PP	her
.	SENT	.
Is	VBZ	be
it	PP	it
harder	JJR	hard
for	IN	for
you	PP	you
playing	VBG	play
her	PP$	her
or	CC	or
easier	JJR	easy
?	SENT	?
SW	NP	SW
:	:	:
Well	RB	well
,	,	,
playing	VBG	play
Venus	NP	Venus
is	VBZ	be
like	IN	like
playing	VBG	play
myself	PP	myself
,	,	,
because	IN	because
we	PP	we
grew	VBD	grow
up	RP	up
playing	VBG	play
each	DT	each
other	JJ	other
,	,	,
we	PP	we
grew	VBD	grow
up	RP	up
practicing	VBG	practice
together	RB	together
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
something	NN	something
that	WDT	that
has	VBZ	have
been	VBN	be
difficult	JJ	difficult
,	,	,
because	IN	because
she	PP	she
'	''	'
s	VBG	<unknown>
my	PP$	my
toughest	JJS	tough
opponent	NN	opponent
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
tall	JJ	tall
,	,	,
she	PP	she
'	POS	'
s	NN	S
fast	RB	fast
,	,	,
she	PP	she
hits	VBZ	hit
hard	RB	hard
like	VB	like
me	PP	me
,	,	,
she	PP	she
serves	VBZ	serve
like	IN	like
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
like	IN	like
playing	VBG	play
a	DT	a
wall	NN	wall
.	SENT	.
GK	NN	GK
:	:	:
She	PP	she
knows	VBZ	know
you	PP	you
.	SENT	.
SW	NP	SW
:	:	:
She	PP	she
knows	VBZ	know
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
hitting	VBG	hit
the	DT	the
ball	NN	ball
before	IN	before
I	PP	I
hit	VBP	hit
it	PP	it
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
is	VBZ	be
not	RB	not
very	RB	very
easy	JJ	easy
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
really	RB	really
about	RB	about
,	,	,
when	WRB	when
I	PP	I
go	VBP	go
out	RP	out
there	RB	there
,	,	,
I	PP	I
really	RB	really
have	VB	have
to	TO	to
shut	VB	shut
down	RP	down
my	PP$	my
mind	NN	mind
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
to	TO	to
myself	PP	myself
,	,	,
"	``	"
You	PP	you
know	VBP	know
what	WP	what
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
just	RB	just
playing	VBG	play
a	DT	a
great	JJ	great
player	NN	player
,	,	,
but	CC	but
today	NN	today
I	PP	I
have	VBP	have
to	TO	to
be	VB	be
better	JJR	good
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
who	WP	who
it	PP	it
is	VBZ	be
,	,	,
if	IN	if
it	PP	it
'	''	'
s	VBG	<unknown>
my	PP$	my
sister	NN	sister
or	CC	or
it	PP	it
'	POS	'
s	VBG	<unknown>
my	PP$	my
friend	NN	friend
,	,	,
today	NN	today
is	VBZ	be
the	DT	the
day	NN	day
I	PP	I
have	VBP	have
to	TO	to
show	VB	show
up	RP	up
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
be	VB	be
better	RBR	well
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
want	VB	want
it	PP	it
more	JJR	more
than	IN	than
anyone	NN	anyone
else	RB	else
at	IN	at
this	DT	this
moment	NN	moment
anywhere	RB	anywhere
on	IN	on
this	DT	this
world	NN	world
.	SENT	.
"	''	"
GK	NN	GK
:	:	:
So	RB	so
never	RB	never
on	IN	on
the	DT	the
court	NN	court
do	VBP	do
you	PP	you
fall	VBP	fall
back	RB	back
for	IN	for
Venus	NP	Venus
?	SENT	?
Because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
always	RB	always
Venus	NP	Venus
and	CC	and
Serena	NP	Serena
.	SENT	.
SW	NP	SW
:	:	:
Yes	UH	yes
.	SENT	.
GK	NN	GK
:	:	:
And	CC	and
now	RB	now
baby	NN	baby
sister	NN	sister
has	VBZ	have
surpassed	VBN	surpass
older	JJR	old
sister	NN	sister
.	SENT	.
Do	VB	do
you	PP	you
feel	VB	feel
guilt	NN	guilt
about	IN	about
that	DT	that
?	SENT	?
Do	VB	do
you	PP	you
feel	VB	feel
joy	NN	joy
in	IN	in
that	DT	that
?	SENT	?
Is	VBZ	be
that	IN	that
a	DT	a
difficult	JJ	difficult
position	NN	position
for	IN	for
you	PP	you
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
feel	VBP	feel
anything	NN	anything
in	IN	in
there	RB	there
.	SENT	.
In	IN	in
my	PP$	my
life	NN	life
,	,	,
it	PP	it
still	RB	still
and	CC	and
forever	RB	forever
is	VBZ	be
always	RB	always
going	VBG	go
to	TO	to
be	VB	be
Venus	NP	Venus
and	CC	and
Serena	NP	Serena
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
really	RB	really
love	VBP	love
of	IN	of
my	PP$	my
life	NN	life
,	,	,
she	PP	she
'	POS	'
s	VBG	<unknown>
my	PP$	my
best	JJS	good
friend	NN	friend
,	,	,
she	PP	she
'	POS	'
s	VBG	<unknown>
my	PP$	my
soul	NN	soul
mate	NN	mate
.	SENT	.
I	PP	I
mean	VBP	mean
—	:	-
There	EX	there
'	''	'
s	NN	S
pictures	NNS	picture
of	IN	of
her	PP$	her
pushing	VBG	push
me	PP	me
,	,	,
really	RB	really
low-quality	NN	low-quality
pictures	NNS	picture
or	CC	or
else	RB	else
I	PP	I
would	MD	would
have	VB	have
shared	VBN	share
them	PP	them
,	,	,
of	IN	of
her	PP	her
pushing	VBG	push
me	PP	me
in	IN	in
a	DT	a
stroller	NN	stroller
on	IN	on
a	DT	a
tennis	NN	tennis
court	NN	court
,	,	,
and	CC	and
she	PP	she
always	RB	always
took	VBD	take
care	NN	care
of	IN	of
me	PP	me
.	SENT	.
I	PP	I
used	VBD	use
to	TO	to
spend	VB	spend
all	DT	all
of	IN	of
my	PP$	my
allowance	NN	allowance
money	NN	money
on	IN	on
the	DT	the
ice	NN	ice
cream	NN	cream
truck	NN	truck
and	CC	and
stuff	NN	stuff
,	,	,
and	CC	and
she	PP	she
would	MD	would
take	VB	take
her	PP$	her
money	NN	money
and	CC	and
give	VB	give
it	PP	it
to	TO	to
me	PP	me
at	IN	at
school	NN	school
and	CC	and
make	VB	make
sure	JJ	sure
I	PP	I
had	VBD	have
something	NN	something
to	TO	to
eat	VB	eat
and	CC	and
she	PP	she
would	MD	would
go	VB	go
without	IN	without
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
person	NN	person
she	PP	she
actually	RB	actually
is	VBZ	be
since	IN	since
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
known	VBN	know
her	PP	her
.	SENT	.
So	RB	so
we	PP	we
always	RB	always
have	VBP	have
this	DT	this
incredible	JJ	incredible
respect	NN	respect
for	IN	for
each	DT	each
other	JJ	other
and	CC	and
this	DT	this
incredible	JJ	incredible
love	NN	love
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
people	NNS	people
to	TO	to
realize	VB	realize
you	PP	you
can	MD	can
be	VB	be
successful	JJ	successful
but	CC	but
you	PP	you
can	MD	can
still	RB	still
have	VB	have
a	DT	a
wonderful	JJ	wonderful
relationship	NN	relationship
.	SENT	.
On	IN	on
the	DT	the
court	NN	court
we	PP	we
are	VBP	be
mortal	JJ	mortal
enemies	NNS	enemy
,	,	,
but	CC	but
the	DT	the
second	NN	second
we	PP	we
shake	VBP	shake
hands	NNS	hand
,	,	,
we	PP	we
are	VBP	be
best	RBS	well
friends	NNS	friend
again	RB	again
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
lose	VBP	lose
,	,	,
it	PP	it
might	MD	might
be	VB	be
a	DT	a
day	NN	day
later	RBR	later
for	IN	for
me	PP	me
,	,	,
but	CC	but
for	IN	for
Venus	NP	Venus
—	:	-
GK	NP	GK
:	:	:
There	EX	there
'	''	'
s	NNS	<unknown>
never	RB	never
a	DT	a
time	NN	time
on	IN	on
the	DT	the
court	NN	court
where	WRB	where
you	PP	you
hit	VBD	hit
the	DT	the
ball	NN	ball
and	CC	and
say	VB	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	NN	S
for	IN	for
seventh	JJ	seventh
grade	NN	grade
when	WRB	when
you	PP	you
did	VBD	do
the	DT	the
blah	JJ	blah
blah	JJ	blah
blah	NN	blah
"	''	"
?	SENT	?
You	PP	you
never	RB	never
have	VBP	have
any	DT	any
moment	NN	moment
like	IN	like
that	DT	that
?	SENT	?
SW	NP	SW
:	:	:
I	PP	I
feel	VBP	feel
like	IN	like
she	PP	she
should	MD	should
have	VB	have
those	DT	those
moments	NNS	moment
,	,	,
because	IN	because
she	PP	she
'	POS	'
s	NN	S
never	RB	never
done	VBN	do
anything	NN	anything
bad	JJ	bad
to	TO	to
me	PP	me
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
the	DT	the
youngest	JJS	young
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
younger	JJR	young
sister	NN	sister
.	SENT	.
GK	NN	GK
:	:	:
Serena	NP	Serena
,	,	,
she	PP	she
'	POS	'
s	NN	S
never	RB	never
done	VBN	do
anything	NN	anything
bad	JJ	bad
to	TO	to
you	PP	you
?	SENT	?
Really	RB	really
?	SENT	?
I	PP	I
have	VBP	have
three	CD	three
sisters	NNS	sister
.	SENT	.
I	PP	I
can	MD	can
think	VB	think
of	IN	of
some	DT	some
stuff	NN	stuff
I	PP	I
'	POS	'
ve	NN	ve
done	VBN	do
bad	JJ	bad
.	SENT	.
SW	NP	SW
:	:	:
Unless	IN	unless
she	PP	she
brainwashed	VBD	brainwash
me	PP	me
to	TO	to
forget	VB	forget
them	PP	them
.	SENT	.
GK	NP	GK
:	:	:
No	UH	no
,	,	,
but	CC	but
the	DT	the
love	NN	love
you	PP	you
have	VBP	have
for	IN	for
her	PP	her
I	PP	I
know	VBP	know
is	VBZ	be
very	RB	very
pure	JJ	pure
.	SENT	.
I	PP	I
know	VBP	know
that	RB	that
.	SENT	.
SW	NP	SW
:	:	:
Yes	UH	yes
.	SENT	.
GK	NN	GK
:	:	:
I	PP	I
know	VBP	know
that	RB	that
.	SENT	.
SW	NP	SW
:	:	:
We	PP	we
were	VBD	be
always	RB	always
brought	VBN	bring
up	RP	up
to	TO	to
be	VB	be
superclose	JJ	superclose
,	,	,
and	CC	and
we	PP	we
are	VBP	be
incredibly	RB	incredibly
close	JJ	close
.	SENT	.
Not	RB	not
only	RB	only
her	PP	her
.	SENT	.
I	PP	I
have	VBP	have
three	CD	three
other	JJ	other
sisters	NNS	sister
as	IN	as
well	RB	well
,	,	,
and	CC	and
we	PP	we
were	VBD	be
always	RB	always
so	RB	so
close	JJ	close
.	SENT	.
GK	NN	GK
:	:	:
So	RB	so
before	IN	before
a	DT	a
big	JJ	big
match	NN	match
,	,	,
the	DT	the
two	CD	two
of	IN	of
you	PP	you
don	VBP	don
'	''	'
t	NN	t
get	VB	get
together	RB	together
and	CC	and
say	VBP	say
,	,	,
look	VBP	look
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
out	RP	out
there	RB	there
and	CC	and
—	:	-
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
?	SENT	?
SW	NP	SW
:	:	:
Well	UH	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
.	SENT	.
Before	IN	before
the	DT	the
Australian	NP	Australian
Open	NP	Open
,	,	,
we	PP	we
were	VBD	be
in	IN	in
the	DT	the
locker	NN	locker
room	NN	room
together	RB	together
,	,	,
and	CC	and
I	PP	I
always	RB	always
pick	VB	pick
on	IN	on
her	PP	her
,	,	,
so	RB	so
I	PP	I
pulled	VBD	pull
out	RP	out
my	PP$	my
camera	NN	camera
while	IN	while
she	PP	she
was	VBD	be
changing	VBG	change
.	SENT	.
I	PP	I
started	VBD	start
taking	VBG	take
pictures	NNS	picture
of	IN	of
her	PP	her
,	,	,
which	WDT	which
is	VBZ	be
totally	RB	totally
inappropriate	JJ	inappropriate
,	,	,
but	CC	but
she	PP	she
was	VBD	be
so	RB	so
mad	JJ	mad
at	IN	at
me	PP	me
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	''	"
Serena	NP	Serena
,	,	,
stop	NN	stop
!	SENT	!
"	``	"
And	CC	and
I	PP	I
was	VBD	be
just	RB	just
laughing	VBG	laugh
at	IN	at
her	PP	her
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
relationship	NN	relationship
that	IN	that
we	PP	we
have	VBP	have
,	,	,
and	CC	and
like	IN	like
I	PP	I
said	VBD	say
,	,	,
the	DT	the
second	NN	second
we	PP	we
step	VBP	step
on	IN	on
the	DT	the
court	NN	court
,	,	,
it	PP	it
was	VBD	be
like	JJ	like
,	,	,
we	PP	we
were	VBD	be
definitely	RB	definitely
mortal	JJ	mortal
enemies	NNS	enemy
,	,	,
but	CC	but
the	DT	the
second	NN	second
we	PP	we
