Today	NP	Today
,	,	,
productively	RB	productively
,	,	,
and	CC	and
everything	NN	everything
is	VBZ	be
good	JJ	good
,	,	,
and	CC	and
you	PP	you
do	VBP	do
what	WP	what
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
,	,	,
you	PP	you
get	VBP	get
out	RP	out
of	IN	of
my	PP$	my
way	NN	way
,	,	,
you	PP	you
let	VBP	let
people	NNS	people
like	IN	like
me	PP	me
do	VBP	do
our	PP$	our
job	NN	job
,	,	,
we	PP	we
create	VBP	create
all	PDT	all
these	DT	these
jobs	NNS	job
we	PP	we
need	VBP	need
,	,	,
and	CC	and
then	RB	then
Africa	NP	Africa
becomes	VBZ	become
this	DT	this
very	RB	very
prosperous	JJ	prosperous
country	NN	country
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
designed	VBN	design
to	TO	to
be	VB	be
,	,	,
it	PP	it
should	MD	should
have	VB	have
been	VBN	be
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
It	PP	it
happens	VBZ	happen
like	IN	like
that	DT	that
,	,	,
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
happy	JJ	happy
,	,	,
we	PP	we
move	VBP	move
on	IN	on
with	IN	with
our	PP$	our
lives	NNS	life
.	SENT	.
It	PP	it
can	MD	can
happen	VB	happen
in	IN	in
two	CD	two
ways	NNS	way
—	:	-
pick	VB	pick
violence	NN	violence
or	CC	or
you	PP	you
pick	VBP	pick
the	DT	the
calm	JJ	calm
,	,	,
productive	JJ	productive
way	NN	way
.	SENT	.
I	PP	I
want	VBP	want
the	DT	the
calm	JJ	calm
,	,	,
productive	JJ	productive
way	NN	way
.	SENT	.
None	NN	none
of	IN	of
us	PP	us
should	MD	should
ever	RB	ever
,	,	,
ever	RB	ever
even	RB	even
try	VB	try
to	TO	to
think	VB	think
about	RB	about
what	WP	what
else	RB	else
could	MD	could
happen	VB	happen
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
go	VB	go
there	RB	there
.	SENT	.
So	RB	so
,	,	,
please	UH	please
.	SENT	.
And	CC	and
the	DT	the
time	NN	time
has	VBZ	have
come	VBN	come
.	SENT	.
This	DT	this
type	NN	type
of	IN	of
picture	NN	picture
—	:	-
prosperity	NN	prosperity
,	,	,
happiness	NN	happiness
,	,	,
human	JJ	human
flourishing	JJ	flourishing
—	:	-
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
see	VBP	see
if	IN	if
we	PP	we
do	VBP	do
our	PP$	our
job	NN	job
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
