Alison	NP	Alison
expect	VB	expect
that	IN	that
to	TO	to
be	VB	be
the	DT	the
Harvard	NP	Harvard
community	NN	community
.	SENT	.
And	CC	and
those	DT	those
people	NNS	people
take	VBP	take
their	PP$	their
place	NN	place
ultimately	RB	ultimately
in	IN	in
society	NN	society
,	,	,
in	IN	in
media	NNS	medium
,	,	,
in	IN	in
government	NN	government
,	,	,
on	IN	on
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
education	NN	education
of	IN	of
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
leaders	NNS	leader
is	VBZ	be
something	NN	something
all	RB	all
of	IN	of
us	PP	us
,	,	,
you	PP	you
know	VBP	know
,	,	,
have	VBP	have
to	TO	to
be	VB	be
concerned	VBN	concern
about	RB	about
,	,	,
because	IN	because
that	WDT	that
will	MD	will
determine	VB	determine
the	DT	the
future	NN	future
.	SENT	.
AT	NN	at
:	:	:
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
pipeline	NN	pipeline
for	IN	for
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
leaders	NNS	leader
,	,	,
and	CC	and
you	PP	you
want	VBP	want
to	TO	to
have	VB	have
a	DT	a
role	NN	role
in	IN	in
shaping	VBG	shape
that	DT	that
pipeline	NN	pipeline
.	SENT	.
BA	NP	BA
:	:	:
I	PP	I
think	VBP	think
society	NN	society
wants	VBZ	want
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
that	DT	that
group	NN	group
of	IN	of
leaders	NNS	leader
is	VBZ	be
a	DT	a
good	JJ	good
group	NN	group
of	IN	of
leaders	NNS	leader
.	SENT	.
Even	RB	even
if	IN	if
they	PP	they
disagree	VBP	disagree
,	,	,
they	PP	they
'	POS	'
re	NN	re
prepared	VBD	prepare
to	TO	to
listen	VB	listen
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
perhaps	RB	perhaps
learn	VBP	learn
something	NN	something
.	SENT	.
AT	NN	at
:	:	:
Alright	RB	alright
.	SENT	.
So	RB	so
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
made	VBD	make
lots	NNS	lot
of	IN	of
arguments	NNS	argument
during	IN	during
this	DT	this
wider	JJR	wide
conversation	NN	conversation
about	IN	about
the	DT	the
future	NN	future
of	IN	of
Harvard	NP	Harvard
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
spend	VB	spend
a	DT	a
little	JJ	little
time	NN	time
on	IN	on
one	CD	one
in	IN	in
particular	JJ	particular
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
framed	VBN	frame
by	IN	by
the	DT	the
press	NN	press
as	IN	as
an	DT	an
anti-DEI	NP	<unknown>
activist	NN	activist
at	IN	at
this	DT	this
point	NN	point
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
first	RB	first
appeared	VBD	appear
on	IN	on
my	PP$	my
social	JJ	social
media	NNS	medium
feed	VBP	feed
,	,	,
I	PP	I
saw	VBD	see
this	DT	this
this	NN	this
post	NN	post
that	WDT	that
said	VBD	say
something	NN	something
about	IN	about
your	PP$	your
belief	NN	belief
and	CC	and
support	NN	support
of	IN	of
diversity	NN	diversity
.	SENT	.
And	CC	and
you	PP	you
seem	VBP	seem
to	TO	to
be	VB	be
contrasting	VBG	contrast
that	IN	that
with	IN	with
this	DT	this
orthodoxy	NN	orthodoxy
,	,	,
as	IN	as
you	PP	you
argue	VBP	argue
it	PP	it
,	,	,
that	WDT	that
is	VBZ	be
DEI	NP	dei
.	SENT	.
I	PP	I
had	VBD	have
a	DT	a
reaction	NN	reaction
to	TO	to
that	DT	that
.	SENT	.
The	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
did	VBD	do
was	VBD	be
to	TO	to
go	VB	go
on	IN	on
Pershing	NP	Pershing
Square	NP	Square
'	POS	'
s	NN	S
website	NN	website
and	CC	and
to	TO	to
look	VB	look
at	IN	at
your	PP$	your
own	JJ	own
track	NN	track
record	NN	record
,	,	,
and	CC	and
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
,	,	,
it	PP	it
was	VBD	be
not	RB	not
what	WP	what
I	PP	I
expected	VBD	expect
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
what	WP	what
I	PP	I
would	MD	would
love	VB	love
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
is	VBZ	be
,	,	,
can	MD	can
you	PP	you
articulate	VB	articulate
a	DT	a
positive	JJ	positive
vision	NN	vision
,	,	,
in	IN	in
your	PP$	your
opinion	NN	opinion
,	,	,
for	IN	for
what	WP	what
good	JJ	good
diversity	NN	diversity
looks	VBZ	look
like	IN	like
with	IN	with
reference	NN	reference
to	TO	to
your	PP$	your
own	JJ	own
firm	NN	firm
and	CC	and
your	PP$	your
own	JJ	own
investments	NNS	investment
?	SENT	?
BA	NP	BA
:	:	:
So	RB	so
when	WRB	when
I	PP	I
first	RB	first
heard	VBD	hear
of	IN	of
DEI	NP	dei
,	,	,
I	PP	I
thought	VBD	think
diversity	NN	diversity
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
thing	NN	thing
,	,	,
inherently	RB	inherently
,	,	,
I	PP	I
believe	VBP	believe
.	SENT	.
Equity	NN	equity
,	,	,
how	WRB	how
can	MD	can
you	PP	you
argue	VB	argue
with	IN	with
fairness	NN	fairness
?	SENT	?
That	DT	that
was	VBD	be
my	PP$	my
understanding	NN	understanding
of	IN	of
what	WP	what
equity	NN	equity
is	VBZ	be
.	SENT	.
And	CC	and
then	RB	then
inclusion	NN	inclusion
,	,	,
of	IN	of
course	NN	course
,	,	,
in	IN	in
any	DT	any
organization	NN	organization
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
university	NN	university
or	CC	or
a	DT	a
business	NN	business
,	,	,
you	PP	you
want	VBP	want
people	NNS	people
to	TO	to
feel	VB	feel
comfortable	JJ	comfortable
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
culture	NN	culture
.	SENT	.
When	WRB	when
I	PP	I
think	VBP	think
about	IN	about
my	PP$	my
job	NN	job
as	IN	as
a	DT	a
CEO	NN	CEO
of	IN	of
a	DT	a
company	NN	company
,	,	,
or	CC	or
when	WRB	when
I	PP	I
think	VBP	think
of	IN	of
my	PP$	my
role	NN	role
on	IN	on
a	DT	a
board	NN	board
,	,	,
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
concerns	NNS	concern
I	PP	I
have	VBP	have
about	RB	about
a	DT	a
business	NN	business
is	VBZ	be
the	DT	the
culture	NN	culture
.	SENT	.
Is	VBZ	be
this	DT	this
an	DT	an
environment	NN	environment
where	WRB	where
the	DT	the
best	JJS	good
people	NNS	people
are	VBP	be
attracted	VBN	attract
to	TO	to
come	VB	come
work	NN	work
there	RB	there
,	,	,
where	WRB	where
they	PP	they
can	MD	can
succeed	VB	succeed
,	,	,
where	WRB	where
they	PP	they
can	MD	can
challenge	VB	challenge
authority	NN	authority
when	WRB	when
they	PP	they
think	VBP	think
that	IN	that
authority	NN	authority
is	VBZ	be
doing	VBG	do
the	DT	the
wrong	JJ	wrong
thing	NN	thing
?	SENT	?
So	RB	so
these	DT	these
are	VBP	be
all	RB	all
,	,	,
I	PP	I
think	VBP	think
,	,	,
inherently	RB	inherently
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
But	CC	but
someone	NN	someone
once	RB	once
said	VBD	say
to	TO	to
me	PP	me
that	IN	that
you	PP	you
know	VBP	know
,	,	,
first	RB	first
it	PP	it
starts	VBZ	start
out	RP	out
as	IN	as
a	DT	a
movement	NN	movement
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
good	JJ	good
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
becomes	VBZ	become
a	DT	a
business	NN	business
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
becomes	VBZ	become
a	DT	a
racket	NN	racket
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
an	DT	an
accurate	JJ	accurate
description	NN	description
of	IN	of
what	WP	what
happens	VBZ	happen
to	TO	to
things	NNS	thing
--	:	--
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
have	VB	have
an	DT	an
aversion	NN	aversion
to	TO	to
when	WRB	when
a	DT	a
movement	NN	movement
becomes	VBZ	become
a	DT	a
three-letter	NN	three-letter
acronym	NN	acronym
.	SENT	.
It	PP	it
seems	VBZ	seem
like	IN	like
that	DT	that
'	''	'
s	NN	S
when	WRB	when
they	PP	they
can	MD	can
go	VB	go
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
But	CC	but
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
diversity	NN	diversity
means	VBZ	mean
to	TO	to
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
simply	RB	simply
race	NN	race
and	CC	and
gender	NN	gender
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
viewpoint	NN	viewpoint
diversity	NN	diversity
is	VBZ	be
critically	RB	critically
important	JJ	important
,	,	,
not	RB	not
just	RB	just
in	IN	in
a	DT	a
university	NN	university
,	,	,
but	CC	but
in	IN	in
a	DT	a
business	NN	business
.	SENT	.
Someone	NN	someone
'	POS	'
s	JJ	<unknown>
socioeconomic	JJ	socioeconomic
background	NN	background
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
a	DT	a
relevant	JJ	relevant
--	:	--
if	IN	if
you	PP	you
'	POS	'
re	NN	re
running	VBG	run
an	DT	an
investment	NN	investment
business	NN	business
,	,	,
you	PP	you
want	VBP	want
to	TO	to
have	VB	have
perspective	NN	perspective
on	IN	on
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
investing	NN	investing
in	IN	in
companies	NNS	company
that	WDT	that
sell	VBP	sell
products	NNS	product
or	CC	or
services	NNS	service
to	TO	to
the	DT	the
country	NN	country
.	SENT	.
And	CC	and
the	DT	the
country	NN	country
is	VBZ	be
very	RB	very
diverse	JJ	diverse
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
helpful	JJ	helpful
to	TO	to
have	VB	have
people	NNS	people
on	IN	on
your	PP$	your
investment	NN	investment
team	NN	team
,	,	,
for	IN	for
example	NN	example
,	,	,
who	WP	who
might	MD	might
have	VB	have
come	VBN	come
from	IN	from
a	DT	a
low-income	JJ	low-income
background	NN	background
.	SENT	.
And	CC	and
then	RB	then
just	RB	just
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
fairness	NN	fairness
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
want	VBP	want
a	DT	a
society	NN	society
where	WRB	where
people	NNS	people
who	WP	who
grew	VBD	grow
up	RP	up
on	IN	on
the	DT	the
Upper	NP	Upper
East	NP	East
Side	NP	Side
and	CC	and
you	PP	you
went	VBD	go
to	TO	to
a	DT	a
private	JJ	private
school	NN	school
and	CC	and
you	PP	you
had	VBD	have
SAT	VBN	sit
tutoring	VBG	tutor
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
advantages	NNS	advantage
versus	IN	versus
the	DT	the
student	NN	student
,	,	,
for	IN	for
example	NN	example
,	,	,
going	VBG	go
back	RB	back
to	TO	to
your	PP$	your
admissions	NNS	admission
example	NN	example
,	,	,
who	WP	who
maybe	RB	maybe
grew	VBD	grow
up	RP	up
in	IN	in
Mississippi	NP	Mississippi
and	CC	and
didn	NP	<unknown>
'	POS	'
t	NN	t
go	VB	go
to	TO	to
a	DT	a
very	RB	very
good	JJ	good
school	NN	school
,	,	,
maybe	RB	maybe
had	VBD	have
a	DT	a
single	JJ	single
parent	NN	parent
.	SENT	.
And	CC	and
you	PP	you
would	MD	would
make	VB	make
sort	NN	sort
of	IN	of
adjustments	NNS	adjustment
there	RB	there
.	SENT	.
But	CC	but
also	RB	also
the	DT	the
grit	NN	grit
that	IN	that
someone	NN	someone
develops	VBZ	develop
,	,	,
coming	VBG	come
from	IN	from
a	DT	a
more	JJR	more
challenged	VBN	challenge
background	NN	background
,	,	,
is	VBZ	be
something	NN	something
you	PP	you
consider	VBP	consider
in	IN	in
a	DT	a
business	NN	business
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
Pershing	NP	Pershing
Square	NP	Square
today	NN	today
,	,	,
a	DT	a
very	RB	very
high	JJ	high
percentage	NN	percentage
of	IN	of
our	PP$	our
employees	NNS	employee
came	VBD	come
from	IN	from
,	,	,
I	PP	I
would	MD	would
say	VB	say
,	,	,
quite	RB	quite
a	DT	a
modest	JJ	modest
economic	JJ	economic
background	NN	background
.	SENT	.
We	PP	we
have	VBP	have
enormous	JJ	enormous
diversity	NN	diversity
in	IN	in
terms	NNS	term
of	IN	of
political	JJ	political
views	NNS	view
,	,	,
like	VB	like
,	,	,
who	WP	who
should	MD	should
be	VB	be
president	NN	president
,	,	,
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
we	PP	we
occasionally	RB	occasionally
discuss	VB	discuss
these	DT	these
things	NNS	thing
.	SENT	.
But	CC	but
people	NNS	people
respect	VBP	respect
each	DT	each
other	JJ	other
,	,	,
and	CC	and
they	PP	they
share	VBP	share
different	JJ	different
points	NNS	point
of	IN	of
view	NN	view
.	SENT	.
And	CC	and
they	PP	they
come	VBP	come
from	IN	from
,	,	,
some	DT	some
are	VBP	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
our	PP$	our
investment	NN	investment
team	NN	team
is	VBZ	be
comprised	VBN	comprise
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
Muslim	NP	Muslim
from	IN	from
Pakistan	NP	Pakistan
,	,	,
a	DT	a
Hindu	NP	Hindu
from	IN	from
India	NP	India
,	,	,
a	DT	a
refugee	NN	refugee
from	IN	from
Iran	NP	Iran
,	,	,
a	DT	a
Mexican	NN	Mexican
whose	WP$	whose
grandmother	NN	grandmother
picked	VBD	pick
cotton	NN	cotton
in	IN	in
California	NP	California
,	,	,
a	DT	a
Canadian	NP	Canadian
,	,	,
whose	WP$	whose
family	NN	family
had	VBD	have
a	DT	a
private	JJ	private
business	NN	business
.	SENT	.
But	CC	but
we	PP	we
selected	VBD	select
them	PP	them
not	RB	not
because	IN	because
of	IN	of
their	PP$	their
particular	JJ	particular
backgrounds	NNS	background
,	,	,
but	CC	but
we	PP	we
selected	VBD	select
them	PP	them
for	IN	for
their	PP$	their
excellence	NN	excellence
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
they	PP	they
came	VBD	come
from	IN	from
different	JJ	different
backgrounds	NNS	background
has	VBZ	have
made	VBN	make
us	PP	us
a	DT	a
more	RBR	more
successful	JJ	successful
kind	NN	kind
of	IN	of
organization	NN	organization
.	SENT	.
That	IN	that
,	,	,
in	IN	in
my	PP$	my
mind	NN	mind
,	,	,
is	VBZ	be
a	DT	a
very	RB	very
appealing	JJ	appealing
way	NN	way
to	TO	to
think	VB	think
about	IN	about
diversity	NN	diversity
.	SENT	.
As	RB	as
opposed	VBN	oppose
to	TO	to
saying	VBG	say
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
percentage	NN	percentage
of	IN	of
various	JJ	various
groups	NNS	group
of	IN	of
different	JJ	different
ethnic	JJ	ethnic
groups	NNS	group
in	IN	in
the	DT	the
country	NN	country
,	,	,
and	CC	and
then	RB	then
let	VB	let
'	''	'
s	JJ	<unknown>
force	NN	force
design	NN	design
and	CC	and
organization	NN	organization
so	IN	so
we	PP	we
match	VBP	match
that	DT	that
collection	NN	collection
.	SENT	.
AT	NN	at
:	:	:
For	IN	for
sure	RB	sure
you	PP	you
hear	VBP	hear
that	DT	that
sort	NN	sort
of	IN	of
Noah	NP	Noah
'	POS	'
s	JJ	<unknown>
Ark	NP	Ark
frame	NN	frame
that	IN	that
if	IN	if
we	PP	we
have	VBP	have
a	DT	a
certain	JJ	certain
set	NN	set
of	IN	of
a	DT	a
certain	JJ	certain
type	NN	type
,	,	,
then	RB	then
our	PP$	our
problems	NNS	problem
will	MD	will
be	VB	be
solved	VBN	solve
,	,	,
which	WDT	which
does	VBZ	do
not	RB	not
necessarily	RB	necessarily
seem	VBP	seem
to	TO	to
be	VB	be
the	DT	the
case	NN	case
.	SENT	.
But	CC	but
you	PP	you
see	VBP	see
this	DT	this
really	RB	really
,	,	,
the	DT	the
benefits	NNS	benefit
being	VBG	be
dynamism	NN	dynamism
,	,	,
better	JJR	good
decision-making	NN	decision-making
,	,	,
a	DT	a
better	JJR	good
reflection	NN	reflection
of	IN	of
what	WP	what
society	NN	society
looks	VBZ	look
like	IN	like
within	IN	within
businesses	NNS	business
.	SENT	.
BA	NP	BA
:	:	:
And	CC	and
also	RB	also
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
fairness	NN	fairness
component	NN	component
.	SENT	.
AT	NN	at
:	:	:
A	DT	a
fairness	NN	fairness
component	NN	component
.	SENT	.
BA	NP	BA
:	:	:
My	PP$	my
point	NN	point
is	VBZ	be
,	,	,
I	PP	I
like	VBP	like
,	,	,
I	PP	I
like	VBP	like
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
someone	NN	someone
who	WP	who
started	VBD	start
out	RP	out
with	IN	with
disadvantages	NNS	disadvantage
gets	VBZ	get
a	DT	a
closer	JJR	close
look	NN	look
than	IN	than
someone	NN	someone
who	WP	who
had	VBD	have
everything	NN	everything
sort	NN	sort
of	IN	of
handed	VBN	hand
to	TO	to
them	PP	them
.	SENT	.
That	DT	that
seems	VBZ	seem
right	RB	right
to	TO	to
me	PP	me
.	SENT	.
AT	NN	at
:	:	:
So	RB	so
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
so	RB	so
fascinating	JJ	fascinating
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
articulated	VBD	articulate
very	RB	very
well	RB	well
what	WP	what
the	DT	the
benefits	NNS	benefit
are	VBP	be
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
you	PP	you
feel	VBP	feel
about	IN	about
being	VBG	be
framed	VBN	frame
and	CC	and
these	DT	these
headlines	NNS	headline
saying	VBG	say
that	IN	that
you	PP	you
'	''	'
re	IN	re
an	DT	an
anti-DEI	NP	<unknown>
activist	NN	activist
?	SENT	?
BA	NP	BA
:	:	:
You	PP	you
know	VBP	know
,	,	,
the	DT	the
short-form	NN	short-form
description	NN	description
of	IN	of
me	PP	me
is	VBZ	be
never	RB	never
really	RB	really
an	DT	an
accurate	JJ	accurate
one	CD	one
,	,	,
I	PP	I
would	MD	would
say	VB	say
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
more	RBR	more
nuanced	JJ	nuanced
.	SENT	.
Look	VB	look
,	,	,
I	PP	I
think	VBP	think
I	PP	I
certainly	RB	certainly
want	VBP	want
to	TO	to
be	VB	be
perceived	VBN	perceive
the	DT	the
way	NN	way
that	IN	that
I	PP	I
actually	RB	actually
am	VBP	be
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
some	DT	some
caricature	NN	caricature
of	IN	of
myself	PP	myself
.	SENT	.
And	CC	and
also	RB	also
,	,	,
I	PP	I
think	VBP	think
the	DT	the
ideas	NNS	idea
are	VBP	be
important	JJ	important
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
challenge	VB	challenge
them	PP	them
,	,	,
I	PP	I
'	POS	'
m	NN	m
always	RB	always
up	RB	up
for	IN	for
the	DT	the
debate	NN	debate
.	SENT	.
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
world	NN	world
today	NN	today
where	WRB	where
,	,	,
if	IN	if
you	PP	you
challenge	VBP	challenge
conventional	JJ	conventional
wisdom	NN	wisdom
or	CC	or
you	PP	you
take	VBP	take
on	IN	on
sensitive	JJ	sensitive
topics	NNS	topic
,	,	,
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
at	IN	at
risk	NN	risk
of	IN	of
being	VBG	be
"	``	"
canceled	VBD	cancel
,	,	,
"	``	"
you	PP	you
know	VBP	know
,	,	,
you	PP	you
can	MD	can
be	VB	be
accused	VBN	accuse
of	IN	of
being	VBG	be
a	DT	a
racist	NN	racist
.	SENT	.
You	PP	you
can	MD	can
be	VB	be
accused	VBN	accuse
of	IN	of
lots	NNS	lot
of	IN	of
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
led	VBD	lead
to	TO	to
a	DT	a
shutdown	NN	shutdown
of	IN	of
kind	NN	kind
of	IN	of
,	,	,
free	JJ	free
speech	NN	speech
generally	RB	generally
,	,	,
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
a	DT	a
big	JJ	big
negative	NN	negative
,	,	,
you	PP	you
know	VBP	know
,	,	,
for	IN	for
society	NN	society
.	SENT	.
AT	NN	at
:	:	:
So	RB	so
,	,	,
yeah	RB	yeah
,	,	,
it	PP	it
does	VBZ	do
seem	VB	seem
a	DT	a
factor	NN	factor
of	IN	of
our	PP$	our
current	JJ	current
era	NN	era
that	IN	that
arguments	NNS	argument
get	VBP	get
sort	NN	sort
of	IN	of
flattened	VBN	flatten
and	CC	and
oversimplified	VBN	oversimplify
and	CC	and
made	VBN	make
more	JJR	more
vicious	JJ	vicious
and	CC	and
polarized	VBN	polarize
.	SENT	.
And	CC	and
so	RB	so
how	WRB	how
do	VBP	do
you	PP	you
feel	VBP	feel
about	IN	about
your	PP$	your
arguments	NNS	argument
being	VBG	be
treated	VBN	treat
like	IN	like
that	DT	that
?	SENT	?
Do	VB	do
you	PP	you
feel	VB	feel
that	RB	that
'	''	'
s	NNS	<unknown>
OK	JJ	OK
,	,	,
as	RB	as
long	RB	long
as	IN	as
I	PP	I
get	VBP	get
the	DT	the
job	NN	job
done	VBN	do
,	,	,
as	RB	as
long	RB	long
as	IN	as
I	PP	I
get	VBP	get
my	PP$	my
goals	NNS	goal
met	VBD	meet
,	,	,
at	IN	at
Harvard	NP	Harvard
or	CC	or
any	DT	any
future	JJ	future
campaign	NN	campaign
,	,	,
or	CC	or
does	VBZ	do
this	DT	this
bother	VB	bother
you	PP	you
?	SENT	?
Does	VBZ	do
it	PP	it
bother	VB	bother
you	PP	you
to	TO	to
be	VB	be
oversimplified	VBN	oversimplify
in	IN	in
the	DT	the
press	NN	press
like	IN	like
this	DT	this
?	SENT	?
BA	NP	BA
:	:	:
Of	IN	of
course	NN	course
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
a	DT	a
big	JJ	big
boy	NN	boy
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
.	SENT	.
And	CC	and
also	RB	also
,	,	,
I	PP	I
think	VBP	think
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
very	RB	very
fortunate	JJ	fortunate
person	NN	person
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
but	CC	but
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
about	IN	about
my	PP$	my
employment	NN	employment
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
today	NN	today
,	,	,
if	IN	if
you	PP	you
work	VBP	work
for	IN	for
a	DT	a
company	NN	company
and	CC	and
you	PP	you
are	VBP	be
unhappy	JJ	unhappy
with	IN	with
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
want	VBP	want
to	TO	to
comment	VB	comment
about	IN	about
something	NN	something
in	IN	in
politics	NNS	politics
,	,	,
for	IN	for
example	NN	example
,	,	,
and	CC	and
you	PP	you
do	VBP	do
it	PP	it
on	IN	on
Twitter	NN	twitter
,	,	,
you	PP	you
can	MD	can
end	VB	end
up	RP	up
losing	VBG	lose
your	PP$	your
job	NN	job
for	IN	for
expressing	VBG	express
your	PP$	your
views	NNS	view
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
world	NN	world
is	VBZ	be
a	DT	a
better	JJR	good
place	NN	place
where	WRB	where
all	DT	all
views	NNS	view
can	MD	can
be	VB	be
heard	VBN	hear
,	,	,
can	MD	can
be	VB	be
assessed	VBN	assess
,	,	,
can	MD	can
be	VB	be
debated	VBN	debate
.	SENT	.
But	CC	but
where	WRB	where
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
shouted	VBD	shout
down	RB	down
or	CC	or
canceled	VBN	cancel
or	CC	or
worse	JJR	bad
.	SENT	.
You	PP	you
become	VBP	become
unemployed	JJ	unemployed
because	IN	because
you	PP	you
have	VBP	have
a	DT	a
controversial	JJ	controversial
opinion	NN	opinion
about	IN	about
gender	NN	gender
or	CC	or
whatever	WDT	whatever
the	DT	the
topic	NN	topic
.	SENT	.
AT	NN	at
:	:	:
It	PP	it
'	POS	'
s	NN	S
true	JJ	true
that	IN	that
more	JJR	more
of	IN	of
us	PP	us
have	VBP	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
have	VB	have
a	DT	a
voice	NN	voice
and	CC	and
make	VB	make
our	PP$	our
views	NNS	view
heard	VBD	hear
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
not	RB	not
proportionate	JJ	proportionate
,	,	,
right	RB	right
?	SENT	?
Some	DT	some
people	NNS	people
'	POS	'
s	NN	S
voices	NNS	voice
are	VBP	be
boosted	VBN	boost
more	RBR	more
than	IN	than
others	NNS	other
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
about	IN	about
your	PP$	your
voice	NN	voice
and	CC	and
your	PP$	your
power	NN	power
and	CC	and
maybe	RB	maybe
your	PP$	your
responsibility	NN	responsibility
in	IN	in
this	DT	this
realm	NN	realm
,	,	,
and	CC	and
how	WRB	how
you	PP	you
use	VBP	use
your	PP$	your
voice	NN	voice
?	SENT	?
Especially	RB	especially
given	VBN	give
what	WP	what
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	RB	about
,	,	,
about	RB	about
how	WRB	how
it	PP	it
may	MD	may
become	VB	become
distorted	VBN	distort
and	CC	and
your	PP$	your
arguments	NNS	argument
may	MD	may
become	VB	become
more	RBR	more
flattened	VBN	flatten
and	CC	and
reduced	VBN	reduce
to	TO	to
something	NN	something
that	IN	that
they	PP	they
were	VBD	be
not	RB	not
.	SENT	.
BA	NP	BA
:	:	:
So	RB	so
one	CD	one
of	IN	of
the	DT	the
criticisms	NNS	criticism
of	IN	of
me	PP	me
during	IN	during
the	DT	the
Harvard	NP	Harvard
campaign	NN	campaign
as	IN	as
some	DT	some
professor	NN	professor
from	IN	from
Yale	NP	Yale
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
you	PP	you
shouldn	NNS	<unknown>
'	POS	'
t	NN	t
listen	VB	listen
to	TO	to
him	PP	him
simply	RB	simply
because	IN	because
he	PP	he
'	POS	'
s	NN	S
a	DT	a
rich	JJ	rich
guy	NN	guy
.	SENT	.
"	``	"
And	CC	and
I	PP	I
totally	RB	totally
agree	VBP	agree
with	IN	with
that	DT	that
.	SENT	.
I	NP	I
shouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
more	JJR	more
voice	NN	voice
by	IN	by
virtue	NN	virtue
of	IN	of
