OK	UH	OK
even	RB	even
consider	VB	consider
the	DT	the
candidate	NN	candidate
because	IN	because
they	PP	they
didn	NN	<unknown>
'	POS	'
t	NN	t
give	VB	give
us	PP	us
a	DT	a
business	NN	business
example	NN	example
,	,	,
or	CC	or
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
hear	VB	hear
it	PP	it
as	IN	as
a	DT	a
culture	NN	culture
fit	NN	fit
.	SENT	.
When	WRB	when
if	IN	if
we	PP	we
'	POS	'
re	NN	re
really	RB	really
honest	JJ	honest
with	IN	with
ourselves	PP	ourselves
,	,	,
the	DT	the
candidate	NN	candidate
with	IN	with
the	DT	the
Honda	NP	Honda
Accord	NP	Accord
not	RB	not
only	RB	only
navigated	VBN	navigate
the	DT	the
ambiguity	NN	ambiguity
of	IN	of
not	RB	not
having	VBG	have
any	DT	any
gas	NN	gas
in	IN	in
the	DT	the
car	NN	car
,	,	,
they	PP	they
also	RB	also
did	VBD	do
something	NN	something
in	IN	in
their	PP$	their
day-to-day	JJ	day-to-day
life	NN	life
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
for	IN	for
work	NN	work
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
had	VBD	have
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
do	VB	do
to	TO	to
survive	VB	survive
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
innate	JJ	innate
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
in	IN	in
my	PP$	my
body	NN	body
.	SENT	.
Think	VB	think
about	RB	about
if	IN	if
we	PP	we
considered	VBD	consider
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
Think	VB	think
about	RB	about
if	IN	if
we	PP	we
considered	VBD	consider
getting	VBG	get
to	TO	to
know	VB	know
folks	NNS	folk
'	POS	'
stories	NNS	story
and	CC	and
having	VBG	have
empathy	NN	empathy
for	IN	for
them	PP	them
as	IN	as
a	DT	a
part	NN	part
of	IN	of
the	DT	the
way	NN	way
that	IN	that
we	PP	we
evaluate	VB	evaluate
where	WRB	where
they	PP	they
have	VBP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
thrive	VB	thrive
and	CC	and
grow	VB	grow
,	,	,
instead	RB	instead
of	IN	of
just	RB	just
listening	VBG	listen
for	IN	for
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
always	RB	always
listen	VBP	listen
for	IN	for
.	SENT	.
That	DT	that
leads	VBZ	lead
me	PP	me
to	TO	to
the	DT	the
third	JJ	third
step	NN	step
.	SENT	.
OK	UH	OK
?	SENT	?
The	DT	the
third	JJ	third
step	NN	step
is	VBZ	be
extending	VBG	extend
your	PP$	your
privilege	NN	privilege
to	TO	to
others	NNS	other
.	SENT	.
So	RB	so
I	PP	I
have	VBP	have
another	DT	another
story	NN	story
.	SENT	.
I	PP	I
was	VBD	be
on	IN	on
a	DT	a
call	NN	call
the	DT	the
other	JJ	other
day	NN	day
with	IN	with
a	DT	a
client	NN	client
.	SENT	.
She	PP	she
is	VBZ	be
the	DT	the
head	NN	head
of	IN	of
HR	NP	HR
for	IN	for
a	DT	a
pretty	JJ	pretty
big	JJ	big
company	NN	company
.	SENT	.
It	PP	it
was	VBD	be
she	PP	she
and	CC	and
I	PP	I
and	CC	and
one	CD	one
of	IN	of
her	PP$	her
colleagues	NNS	colleague
on	IN	on
the	DT	the
call	NN	call
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
were	VBD	be
having	VBG	have
the	DT	the
discussion	NN	discussion
,	,	,
about	RB	about
10	CD	@card@
minutes	NNS	minute
in	IN	in
,	,	,
she	PP	she
chimes	VBZ	chime
in	IN	in
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Wait	VB	wait
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
hop	VB	hop
off	RP	off
for	IN	for
a	DT	a
moment	NN	moment
.	SENT	.
I	PP	I
need	VBP	need
to	TO	to
go	VB	go
change	VB	change
my	PP$	my
top	NN	top
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
back	RB	back
.	SENT	.
"	``	"
A	DT	a
few	JJ	few
minutes	NNS	minute
pass	VBP	pass
by	IN	by
.	SENT	.
She	PP	she
returns	VBZ	return
to	TO	to
the	DT	the
call	NN	call
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
in	IN	in
a	DT	a
plain	JJ	plain
black	JJ	black
shirt	NN	shirt
.	SENT	.
She	NN	she
'	POS	'
s	RB	<unknown>
taken	VBN	take
her	PP$	her
earrings	NNS	earring
off	RP	off
,	,	,
makeup	NN	makeup
'	POS	'
s	NNS	<unknown>
gone	VBN	go
.	SENT	.
So	RB	so
I	PP	I
ask	VBP	ask
,	,	,
like	VBP	like
,	,	,
"	''	"
Why	NP	Why
'	POS	'
d	NN	d
you	PP	you
change	VBP	change
clothes	NNS	clothes
?	SENT	?
"	''	"
She	PP	she
says	VBZ	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
getting	VBG	get
my	PP$	my
home	NN	home
appraised	VBD	appraise
today	NN	today
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
going	VBG	go
to	TO	to
pretend	VB	pretend
to	TO	to
be	VB	be
the	DT	the
cleaning	NN	cleaning
lady	NN	lady
,	,	,
and	CC	and
my	PP$	my
neighbor	NN	neighbor
across	IN	across
the	DT	the
street	NN	street
is	VBZ	be
going	VBG	go
to	TO	to
come	VB	come
over	RP	over
and	CC	and
pretend	VB	pretend
to	TO	to
be	VB	be
me	PP	me
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
white	NN	white
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
nodding	VBG	nod
my	PP$	my
head	NN	head
because	IN	because
I	PP	I
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
The	DT	the
colleague	NN	colleague
on	IN	on
the	DT	the
call	NN	call
says	VBZ	say
,	,	,
"	``	"
Wait	NP	Wait
,	,	,
what	WP	what
do	VBP	do
you	PP	you
mean	VBP	mean
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
.	SENT	.
"	''	"
So	IN	so
my	PP$	my
client	NN	client
proceeds	NNS	proceed
to	TO	to
explain	VB	explain
about	IN	about
the	DT	the
stories	NNS	story
about	IN	about
Black	NP	Black
folks	NNS	folk
'	POS	'
homes	NNS	home
being	VBG	be
appraised	VBN	appraise
for	IN	for
less	RBR	less
when	WRB	when
there	EX	there
'	''	'
s	NN	S
evidence	NN	evidence
that	IN	that
the	DT	the
homeowners	NNS	homeowner
are	VBP	be
Black	JJ	Black
.	SENT	.
The	DT	the
colleague	NN	colleague
on	IN	on
the	DT	the
call	NN	call
is	VBZ	be
,	,	,
like	VB	like
,	,	,
almost	RB	almost
outraged	VBN	outrage
.	SENT	.
Like	IN	like
,	,	,
"	``	"
What	WP	what
?	SENT	?
Is	VBZ	be
that	IN	that
a	DT	a
real	JJ	real
thing	NN	thing
?	SENT	?
I	PP	I
can	MD	can
'	''	'
t	NN	t
believe	VBP	believe
this	DT	this
is	VBZ	be
happening	VBG	happen
.	SENT	.
"	''	"
Meanwhile	RB	meanwhile
,	,	,
I	PP	I
am	VBP	be
feeling	VBG	feel
grateful	JJ	grateful
to	TO	to
the	DT	the
neighbor	NN	neighbor
for	IN	for
being	VBG	be
able	JJ	able
to	TO	to
identify	VB	identify
her	PP$	her
privilege	NN	privilege
,	,	,
for	IN	for
being	VBG	be
able	JJ	able
to	TO	to
empathize	VB	empathize
with	IN	with
my	PP$	my
client	NN	client
,	,	,
and	CC	and
for	IN	for
being	VBG	be
willing	JJ	willing
to	TO	to
extend	VB	extend
the	DT	the
privilege	NN	privilege
of	IN	of
her	PP$	her
race	NN	race
in	IN	in
that	DT	that
situation	NN	situation
.	SENT	.
The	DT	the
three	CD	three
steps	NNS	step
that	IN	that
I	PP	I
just	RB	just
covered	VBD	cover
with	IN	with
you	PP	you
are	VBP	be
what	WP	what
most	JJS	most
of	IN	of
us	PP	us
want	VBP	want
when	WRB	when
we	PP	we
think	VBP	think
about	RB	about
support	VB	support
.	SENT	.
I	PP	I
want	VBP	want
someone	NN	someone
to	TO	to
identify	VB	identify
their	PP$	their
privilege	NN	privilege
.	SENT	.
I	PP	I
want	VBP	want
somebody	NN	somebody
to	TO	to
actually	RB	actually
hear	VB	hear
my	PP$	my
circumstances	NNS	circumstance
and	CC	and
experience	NN	experience
,	,	,
and	CC	and
empathize	VB	empathize
with	IN	with
me	PP	me
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
extend	VB	extend
your	PP$	your
privilege	NN	privilege
respectfully	RB	respectfully
and	CC	and
impactfully	RB	impactfully
in	IN	in
the	DT	the
ways	NNS	way
that	IN	that
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
in	IN	in
that	DT	that
relationship	NN	relationship
.	SENT	.
Now	RB	now
I	PP	I
have	VBP	have
a	DT	a
little	JJ	little
secret	NN	secret
.	SENT	.
A	DT	a
confession	NN	confession
,	,	,
if	IN	if
you	PP	you
will	MD	will
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
word	NN	word
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
avoiding	VBG	avoid
in	IN	in
this	DT	this
conversation	NN	conversation
.	SENT	.
So	RB	so
I	PP	I
mentioned	VBD	mention
at	IN	at
the	DT	the
top	NN	top
of	IN	of
this	DT	this
,	,	,
you	PP	you
know	VBP	know
,	,	,
dialogue	VBP	dialogue
that	IN	that
I	PP	I
work	VBP	work
with	IN	with
lots	NNS	lot
of	IN	of
well-recognized	JJ	well-recognized
brands	NNS	brand
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
tell	VBP	tell
you	PP	you
is	VBZ	be
that	IN	that
the	DT	the
work	NN	work
I	PP	I
do	VBP	do
is	VBZ	be
DEI	NP	dei
,	,	,
or	CC	or
diversity	NN	diversity
,	,	,
equity	NN	equity
and	CC	and
inclusion	NN	inclusion
.	SENT	.
And	CC	and
the	DT	the
word	NN	word
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
avoiding	VBG	avoid
is	VBZ	be
"	``	"
allyship	NN	<unknown>
.	SENT	.
"	''	"
The	DT	the
three	CD	three
steps	NNS	step
that	IN	that
we	PP	we
just	RB	just
talked	VBD	talk
through	RP	through
is	VBZ	be
what	WP	what
allyship	NN	<unknown>
looks	VBZ	look
like	IN	like
in	IN	in
action	NN	action
.	SENT	.
Now	RB	now
I	PP	I
'	''	'
ll	NN	ll
be	VB	be
honest	JJ	honest
,	,	,
I	PP	I
avoided	VBD	avoid
it	PP	it
because	IN	because
I	PP	I
just	RB	just
wanted	VBD	want
you	PP	you
to	TO	to
hear	VB	hear
my	PP$	my
talk	NN	talk
.	SENT	.
I	PP	I
know	VBP	know
right	RB	right
now	RB	now
the	DT	the
media	NNS	medium
is	VBZ	be
all	PDT	all
the	DT	the
rage	NN	rage
.	SENT	.
DEI	NP	dei
is	VBZ	be
dying	VBG	die
,	,	,
right	RB	right
?	SENT	?
And	CC	and
allyship	NN	<unknown>
is	VBZ	be
on	IN	on
its	PP$	its
way	NN	way
with	IN	with
it	PP	it
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
us	PP	us
to	TO	to
just	RB	just
for	IN	for
a	DT	a
moment	NN	moment
consider	VBP	consider
that	IN	that
maybe	RB	maybe
allyship	NN	<unknown>
isn	NN	isn
'	POS	'
t	NN	t
grand	JJ	grand
historical	JJ	historical
gestures	NNS	gesture
or	CC	or
another	DT	another
big	JJ	big
program	NN	program
,	,	,
or	CC	or
huge	JJ	huge
financial	JJ	financial
commitments	NNS	commitment
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
need	VBP	need
those	DT	those
too	RB	too
,	,	,
but	CC	but
--	:	--
It	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
just	RB	just
be	VB	be
that	DT	that
.	SENT	.
It	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
just	RB	just
be	VB	be
those	DT	those
really	RB	really
big	JJ	big
,	,	,
visible	JJ	visible
things	NNS	thing
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
the	DT	the
small	JJ	small
things	NNS	thing
,	,	,
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
see	VB	see
and	CC	and
encounter	VB	encounter
every	DT	every
day	NN	day
.	SENT	.
Allyship	NP	<unknown>
is	VBZ	be
understanding	VBG	understand
that	IN	that
the	DT	the
system	NN	system
is	VBZ	be
such	JJ	such
that	IN	that
the	DT	the
way	NN	way
your	PP$	your
neighbor	NN	neighbor
is	VBZ	be
experiencing	VBG	experience
a	DT	a
home	NN	home
appraisal	NN	appraisal
and	CC	and
the	DT	the
way	NN	way
you	PP	you
might	MD	might
be	VB	be
could	MD	could
be	VB	be
different	JJ	different
,	,	,
and	CC	and
being	VBG	be
willing	JJ	willing
to	TO	to
step	VB	step
in	RP	in
and	CC	and
interrupt	VB	interrupt
that	DT	that
impact	NN	impact
.	SENT	.
It	PP	it
could	MD	could
also	RB	also
be	VB	be
recognizing	VBG	recognize
that	DT	that
access	NN	access
to	TO	to
job	NN	job
opportunities	NNS	opportunity
isn	NN	isn
'	POS	'
t	NN	t
necessarily	RB	necessarily
fair	JJ	fair
just	RB	just
because	IN	because
you	PP	you
got	VBD	get
in	IN	in
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
left-handed	JJ	left-handed
scissors	NN	scissors
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
considering	VBG	consider
food	NN	food
allergies	NNS	allergy
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
willing	JJ	willing
to	TO	to
accept	VB	accept
correction	NN	correction
when	WRB	when
you	PP	you
mispronounce	VBP	mispronounce
someone	NN	someone
'	POS	'
s	NN	S
name	NN	name
or	CC	or
misgender	NN	misgender
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
of	IN	of
those	DT	those
things	NNS	thing
that	IN	that
you	PP	you
encounter	VB	encounter
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
when	WRB	when
we	PP	we
think	VBP	think
of	IN	of
it	PP	it
as	IN	as
just	RB	just
the	DT	the
big	JJ	big
things	NNS	thing
,	,	,
we	PP	we
miss	VBP	miss
an	DT	an
opportunity	NN	opportunity
to	TO	to
step	VB	step
into	IN	into
what	WP	what
we	PP	we
independently	RB	independently
,	,	,
individually	RB	individually
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
do	VB	do
to	TO	to
be	VB	be
allies	NNS	ally
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
that	IN	that
word	NN	word
may	MD	may
still	RB	still
not	RB	not
sit	VB	sit
well	RB	well
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
you	PP	you
.	SENT	.
But	CC	but
whether	IN	whether
you	PP	you
call	VBP	call
it	PP	it
support	VBP	support
,	,	,
love	VBP	love
,	,	,
friendship	NN	friendship
,	,	,
solidarity	NN	solidarity
,	,	,
whatever	WDT	whatever
you	PP	you
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
call	VB	call
it	PP	it
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
start	VBP	start
taking	VBG	take
the	DT	the
kinds	NNS	kind
of	IN	of
everyday	JJ	everyday
actions	NNS	action
that	WDT	that
really	RB	really
bring	VBP	bring
it	PP	it
to	TO	to
life	NN	life
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
