Hey	UH	hey
but	CC	but
I	PP	I
do	VBP	do
think	VB	think
it	PP	it
'	POS	'
s	NN	S
so	IN	so
much	JJ	much
fun	NN	fun
to	TO	to
look	VB	look
back	RB	back
for	IN	for
clues	NNS	clue
as	IN	as
to	TO	to
how	WRB	how
we	PP	we
became	VBD	become
who	WP	who
we	PP	we
are	VBP	be
and	CC	and
who	WP	who
we	PP	we
might	MD	might
yet	RB	yet
be	VB	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
like	IN	like
Harry	NP	Harry
Potter	NP	Potter
,	,	,
right	RB	right
?	SENT	?
But	CC	but
we	PP	we
'	POS	'
re	NN	re
the	DT	the
wizards	NNS	wizard
.	SENT	.
We	PP	we
'	''	'
re	IN	re
the	DT	the
wizards	NNS	wizard
,	,	,
and	CC	and
our	PP$	our
powerful	JJ	powerful
spells	NNS	spell
are	VBP	be
the	DT	the
stories	NNS	story
that	WDT	that
we	PP	we
tell	VBP	tell
and	CC	and
the	DT	the
actions	NNS	action
that	WDT	that
we	PP	we
take	VBP	take
.	SENT	.
We	PP	we
become	VBP	become
what	WP	what
we	PP	we
play	VBP	play
.	SENT	.
Best	JJS	good
of	IN	of
all	DT	all
,	,	,
you	PP	you
never	RB	never
have	VB	have
to	TO	to
stop	VB	stop
.	SENT	.
Because	IN	because
when	WRB	when
we	PP	we
play	VBP	play
,	,	,
we	PP	we
get	VBP	get
to	TO	to
experience	VB	experience
the	DT	the
joy	NN	joy
of	IN	of
new	JJ	new
discoveries	NNS	discovery
,	,	,
have	VBP	have
fun	NN	fun
and	CC	and
embrace	VB	embrace
the	DT	the
adventure	NN	adventure
.	SENT	.
And	CC	and
best	JJS	good
of	IN	of
all	DT	all
,	,	,
enjoy	VB	enjoy
the	DT	the
ride	NN	ride
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
