[	SYM	[
say	VBP	say
it	PP	it
'	''	'
s	NN	S
fine	NN	fine
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
fine	NN	fine
,	,	,
my	PP$	my
body	NN	body
is	VBZ	be
fine	JJ	fine
.	SENT	.
You	PP	you
actually	RB	actually
wouldn—t	NN	<unknown>
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
the	DT	the
difference	NN	difference
between	IN	between
me	PP	me
and	CC	and
another	DT	another
person	NN	person
unless	IN	unless
I	PP	I
told	VBD	tell
you	PP	you
;	:	;
you	PP	you
wouldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
tell	VB	tell
that	IN	that
I	PP	I
was	VBD	be
intersex	NN	intersex
unless	IN	unless
I	PP	I
told	VBD	tell
you	PP	you
.	SENT	.
But	CC	but
again	RB	again
,	,	,
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
understanding	NN	understanding
about	IN	about
bodies	NNS	body
,	,	,
my	PP$	my
doctor	NN	doctor
didn	NN	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
the	DT	the
difference	NN	difference
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
my	PP$	my
sex	NN	sex
life	NN	life
is	VBZ	be
fine	JJ	fine
.	SENT	.
The	DT	the
only	JJ	only
issue	NN	issue
that	WDT	that
really	RB	really
comes	VBZ	come
up	RB	up
is	VBZ	be
that	IN	that
sometimes	RB	sometimes
,	,	,
sexual	JJ	sexual
situations	NNS	situation
bring	VBP	bring
up	RP	up
memories	NNS	memory
of	IN	of
doctors	NNS	doctor
touching	VBG	touch
me	PP	me
,	,	,
over	IN	over
and	CC	and
over	IN	over
again	RB	again
since	IN	since
I	PP	I
was	VBD	be
10	CD	@card@
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
really	RB	really
lucky	JJ	lucky
to	TO	to
escape	VB	escape
—	:	-
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
think	VBP	think
I	PP	I
would	MD	would
get	VB	get
emotional	JJ	emotional
—	:	-
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
really	RB	really
lucky	JJ	lucky
to	TO	to
escape	VB	escape
the	DT	the
physical	JJ	physical
harm	NN	harm
that	WDT	that
comes	VBZ	come
from	IN	from
these	DT	these
unnecessary	JJ	unnecessary
surgeries	NNS	surgery
.	SENT	.
But	CC	but
no	DT	no
intersex	NN	intersex
person	NN	person
is	VBZ	be
free	JJ	free
from	IN	from
the	DT	the
emotional	JJ	emotional
harm	NN	harm
that	WDT	that
comes	VBZ	come
from	IN	from
living	VBG	live
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
tries	VBZ	try
to	TO	to
cover	VB	cover
up	RP	up
your	PP$	your
existence	NN	existence
.	SENT	.
Most	JJS	most
of	IN	of
my	PP$	my
intersex	NN	intersex
friends	NNS	friend
have	VBP	have
had	VBN	have
operations	NNS	operation
like	IN	like
these	DT	these
.	SENT	.
Oftentimes	NNS	Oftentime
,	,	,
they	PP	they
will	MD	will
remove	VB	remove
testes	NNS	testis
like	IN	like
mine	NN	mine
,	,	,
even	RB	even
though	IN	though
my	PP$	my
risk	NN	risk
of	IN	of
testicular	JJ	testicular
cancer	NN	cancer
is	VBZ	be
lower	JJR	low
than	IN	than
the	DT	the
risk	NN	risk
of	IN	of
breast	NN	breast
cancer	NN	cancer
in	IN	in
a	DT	a
typical	JJ	typical
woman	NN	woman
with	IN	with
no	DT	no
predisposition	NN	predisposition
,	,	,
no	DT	no
family	NN	family
history	NN	history
.	SENT	.
But	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
tell	VB	tell
her	PP	her
to	TO	to
remove	VB	remove
her	PP$	her
breasts	NNS	breast
,	,	,
do	VBP	do
we	PP	we
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
rare	JJ	rare
to	TO	to
meet	VB	meet
an	DT	an
intersex	NN	intersex
person	NN	person
that	IN	that
hasn	NP	<unknown>
'	POS	'
t	NN	t
been	VBN	be
operated	VBN	operate
on	RP	on
.	SENT	.
Oftentimes	NNS	Oftentime
,	,	,
these	DT	these
surgeries	NNS	surgery
are	VBP	be
done	VBN	do
to	TO	to
improve	VB	improve
intersex	NN	intersex
kids	NNS	kid
'	POS	'
lives	NNS	life
,	,	,
but	CC	but
they	PP	they
usually	RB	usually
end	VBP	end
up	RP	up
doing	VBG	do
the	DT	the
opposite	NN	opposite
,	,	,
causing	VBG	cause
more	JJR	more
harm	NN	harm
and	CC	and
complications	NNS	complication
,	,	,
both	CC	both
physical	JJ	physical
and	CC	and
emotional	JJ	emotional
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
that	IN	that
doctors	NNS	doctor
are	VBP	be
bad	JJ	bad
or	CC	or
evil	JJ	evil
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
causes	VBZ	cause
some	DT	some
doctors	NNS	doctor
to	TO	to
"	``	"
fix	VB	fix
"	''	"
those	DT	those
of	IN	of
us	PP	us
who	WP	who
don	NN	don
'	POS	'
t	NN	t
fit	VBD	fit
their	PP$	their
definition	NN	definition
of	IN	of
normal	JJ	normal
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
problems	NNS	problem
that	WDT	that
need	VBP	need
to	TO	to
be	VB	be
fixed	VBN	fix
.	SENT	.
We	PP	we
just	RB	just
live	VBP	live
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
enlightened	VBN	enlighten
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
ways	NNS	way
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
that	DT	that
is	VBZ	be
by	IN	by
creating	VBG	create
a	DT	a
genderless	JJ	genderless
puberty	NN	puberty
guidebook	NN	guidebook
that	WDT	that
can	MD	can
teach	VB	teach
kids	NNS	kid
about	IN	about
their	PP$	their
bodies	NNS	body
as	IN	as
they	PP	they
grow	VBP	grow
up	RP	up
.	SENT	.
Not	RB	not
their	PP$	their
girl	NN	girl
bodies	NNS	body
or	CC	or
their	PP$	their
boy	NN	boy
bodies	NNS	body
—	:	-
just	RB	just
their	PP$	their
bodies	NNS	body
.	SENT	.
We	PP	we
often	RB	often
place	VBP	place
unrealistic	JJ	unrealistic
expectations	NNS	expectation
on	IN	on
the	DT	the
things	NNS	thing
that	IN	that
our	PP$	our
bodies	NNS	body
do	VB	do
that	WDT	that
are	VBP	be
outside	JJ	outside
of	IN	of
our	PP$	our
control	NN	control
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
one	CD	one
man	NN	man
can	MD	can
grow	VB	grow
a	DT	a
full	JJ	full
,	,	,
luxurious	JJ	luxurious
,	,	,
hipster	NN	hipster
beard	NN	beard
,	,	,
and	CC	and
the	DT	the
other	JJ	other
can	MD	can
only	RB	only
grow	VB	grow
a	DT	a
few	JJ	few
mustache	NN	mustache
hairs	NNS	hair
,	,	,
what	WP	what
does	VBZ	do
that	IN	that
mean	JJ	mean
about	IN	about
who	WP	who
they	PP	they
are	VBP	be
as	IN	as
men	NNS	man
?	SENT	?
Nothing	NN	nothing
.	SENT	.
It	PP	it
literally	RB	literally
,	,	,
most	RBS	most
likely	RB	likely
,	,	,
just	RB	just
means	VBZ	mean
that	IN	that
their	PP$	their
hair	NN	hair
follicles	NNS	follicle
respond	VB	respond
to	TO	to
testosterone	NN	testosterone
in	IN	in
different	JJ	different
ways	NNS	way
.	SENT	.
Yet	RB	yet
,	,	,
how	WRB	how
many	JJ	many
times	NNS	time
have	VBP	have
you	PP	you
heard	VBD	hear
a	DT	a
man	NN	man
ashamed	JJ	ashamed
about	IN	about
something	NN	something
like	IN	like
this	DT	this
?	SENT	?
Imagine	VB	imagine
a	DT	a
world	NN	world
where	WRB	where
we	PP	we
could	MD	could
live	VB	live
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
teaches	VBZ	teach
us	PP	us
not	RB	not
to	TO	to
have	VB	have
shame	NN	shame
about	IN	about
the	DT	the
things	NNS	thing
that	IN	that
our	PP$	our
bodies	NNS	body
do	VBP	do
or	CC	or
do	VBP	do
not	RB	not
do	VB	do
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
change	VB	change
the	DT	the
way	NN	way
that	IN	that
we	PP	we
think	VBP	think
about	RB	about
biological	JJ	biological
sex	NN	sex
in	IN	in
this	DT	this
society	NN	society
—	:	-
which	WDT	which
is	VBZ	be
a	DT	a
lot	NN	lot
to	TO	to
ask	VB	ask
for	IN	for
.	SENT	.
You	PP	you
could	MD	could
say	VB	say
it	PP	it
'	POS	'
s	NN	S
ballsy	NN	<unknown>
,	,	,
I	PP	I
guess	VBP	guess
.	SENT	.
But	CC	but
eventually	RB	eventually
we	PP	we
accepted	VBD	accept
the	DT	the
world	NN	world
as	IN	as
round	NN	round
,	,	,
right	RB	right
?	SENT	?
We	PP	we
no	RB	no
longer	RBR	longer
diagnose	VB	diagnose
gay	JJ	gay
people	NNS	people
with	IN	with
mental	JJ	mental
disorders	NNS	disorder
or	CC	or
women	NNS	woman
with	IN	with
hysteria	NN	hysteria
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
epilepsy	NN	epilepsy
is	VBZ	be
caused	VBN	cause
by	IN	by
the	DT	the
devil	NN	devil
anymore	RB	anymore
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
cool	VBP	cool
.	SENT	.
We	PP	we
constantly	RB	constantly
change	VB	change
and	CC	and
evolve	VB	evolve
,	,	,
the	DT	the
more	RBR	more
we	PP	we
understand	VBP	understand
as	IN	as
a	DT	a
society	NN	society
.	SENT	.
And	CC	and
biological	JJ	biological
sex	NN	sex
is	VBZ	be
on	IN	on
a	DT	a
spectrum	NN	spectrum
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
black	JJ	black
or	CC	or
white	JJ	white
.	SENT	.
Not	RB	not
only	RB	only
could	MD	could
that	DT	that
knowledge	NN	knowledge
save	IN	save
intersex	NN	intersex
kids	NNS	kid
from	IN	from
physical	JJ	physical
and	CC	and
emotional	JJ	emotional
harm	NN	harm
,	,	,
I	PP	I
think	VBP	think
it	PP	it
would	MD	would
help	VB	help
everyone	NN	everyone
else	RB	else
,	,	,
too	RB	too
.	SENT	.
Who	WP	who
here	RB	here
has	VBZ	have
ever	RB	ever
felt	VBN	feel
inadequate	JJ	inadequate
or	CC	or
ashamed	JJ	ashamed
because	IN	because
you	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
girly	RB	<unknown>
enough	RB	enough
,	,	,
you	PP	you
were	VBD	be
too	RB	too
girly	JJ	<unknown>
,	,	,
you	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
manly	RB	manly
enough	RB	enough
,	,	,
or	CC	or
too	RB	too
manly	RB	manly
?	SENT	?
We	PP	we
constantly	RB	constantly
shame	VBP	shame
people	NNS	people
for	IN	for
not	RB	not
fitting	JJ	fitting
into	IN	into
a	DT	a
box	NN	box
,	,	,
but	CC	but
the	DT	the
reality	NN	reality
is	VBZ	be
,	,	,
I	PP	I
think	VBP	think
we	PP	we
shame	NN	shame
others	NNS	other
because	IN	because
it	PP	it
prevents	VBZ	prevent
them	PP	them
from	IN	from
seeing	VBG	see
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
fit	NN	fit
inside	IN	inside
our	PP$	our
boxes	NNS	box
,	,	,
either	RB	either
.	SENT	.
And	CC	and
the	DT	the
truth	NN	truth
is	VBZ	be
that	DT	that
nobody	NN	nobody
actually	RB	actually
fits	VBZ	fit
in	IN	in
a	DT	a
box	NN	box
,	,	,
because	IN	because
they	PP	they
don	NN	don
'	POS	'
t	NN	t
exist	VBP	exist
.	SENT	.
This	DT	this
binary	NN	binary
,	,	,
this	DT	this
false	JJ	false
male-female	JJ	male-female
facade	NN	facade
is	VBZ	be
something	NN	something
we	PP	we
constructed	VBD	construct
,	,	,
we	PP	we
built	VBD	build
ourselves	PP	ourselves
.	SENT	.
But	CC	but
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
exist	VB	exist
.	SENT	.
We	PP	we
can	MD	can
break	VB	break
it	PP	it
down	RP	down
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
Will	MD	will
you	PP	you
join	VB	join
me	PP	me
?	SENT	?
Thanks	NNS	thanks
.	SENT	.
