Last	JJ	last
s	NN	S
hardware	NN	hardware
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
an	DT	an
engineer	NN	engineer
gazing	VBG	gaze
at	IN	at
tube	NN	tube
number	NN	number
36	CD	@card@
,	,	,
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
why	WRB	why
the	DT	the
memory	NN	memory
'	POS	'
s	NN	S
not	RB	not
in	IN	in
focus	NN	focus
.	SENT	.
He	PP	he
had	VBD	have
to	TO	to
focus	VB	focus
the	DT	the
memory	NN	memory
—	:	-
seems	VBZ	seem
OK	UH	OK
.	SENT	.
So	RB	so
,	,	,
he	PP	he
had	VBD	have
to	TO	to
focus	VB	focus
each	DT	each
tube	NN	tube
just	RB	just
to	TO	to
get	VB	get
the	DT	the
memory	NN	memory
up	RP	up
and	CC	and
running	VBG	run
,	,	,
let	VB	let
alone	RB	alone
having	VBG	have
,	,	,
you	PP	you
know	VBP	know
,	,	,
software	NN	software
problems	NNS	problem
.	SENT	.
"	''	"
No	DT	no
use	NN	use
,	,	,
went	VBD	go
home	NN	home
.	SENT	.
"	''	"
"	``	"
Impossible	JJ	impossible
to	TO	to
follow	VB	follow
the	DT	the
damn	JJ	damn
thing	NN	thing
,	,	,
where	WRB	where
'	POS	'
s	NNS	<unknown>
a	DT	a
directory	NN	directory
?	SENT	?
"	''	"
So	RB	so
,	,	,
already	RB	already
,	,	,
they	PP	they
'	POS	'
re	NN	re
complaining	VBG	complain
about	IN	about
the	DT	the
manuals	NNS	manual
:	:	:
"	``	"
before	IN	before
closing	VBG	close
down	RP	down
in	IN	in
disgust	NN	disgust
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
"	``	"
The	DT	the
General	NP	General
Arithmetic	NN	arithmetic
:	:	:
Operating	VBG	operate
Logs	NNS	log
.	SENT	.
"	''	"
Burning	VBG	burn
lots	NNS	lot
of	IN	of
midnight	NN	midnight
oil	NN	oil
.	SENT	.
"	''	"
MANIAC	NN	maniac
,	,	,
"	''	"
which	WDT	which
became	VBD	become
the	DT	the
acronym	NN	acronym
for	IN	for
the	DT	the
machine	NN	machine
,	,	,
Mathematical	JJ	mathematical
and	CC	and
Numerical	JJ	numerical
Integrator	NN	integrator
and	CC	and
Calculator	NN	calculator
,	,	,
"	''	"
lost	VBD	lose
its	PP$	its
memory	NN	memory
.	SENT	.
"	''	"
"	``	"
MANIAC	NN	maniac
regained	VBD	regain
its	PP$	its
memory	NN	memory
,	,	,
when	WRB	when
the	DT	the
power	NN	power
went	VBD	go
off	RP	off
.	SENT	.
"	''	"
"	``	"
Machine	NN	machine
or	CC	or
human	JJ	human
?	SENT	?
"	''	"
"	``	"
Aha	NP	Aha
!	SENT	!
"	''	"
So	RB	so
,	,	,
they	PP	they
figured	VBD	figure
out	IN	out
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
code	NN	code
problem	NN	problem
.	SENT	.
"	''	"
Found	VBN	find
trouble	NN	trouble
in	IN	in
code	NN	code
,	,	,
I	PP	I
hope	VBP	hope
.	SENT	.
"	''	"
"	``	"
Code	NN	code
error	NN	error
,	,	,
machine	NN	machine
not	RB	not
guilty	JJ	guilty
.	SENT	.
"	''	"
"	``	"
Damn	UH	damn
it	PP	it
,	,	,
I	PP	I
can	MD	can
be	VB	be
just	RB	just
as	RB	as
stubborn	JJ	stubborn
as	IN	as
this	DT	this
thing	NN	thing
.	SENT	.
"	''	"
"	``	"
And	CC	and
the	DT	the
dawn	NN	dawn
came	VBD	come
.	SENT	.
"	``	"
So	RB	so
they	PP	they
ran	VBD	run
all	DT	all
night	NN	night
.	SENT	.
Twenty-four	NP	Twenty-four
hours	NNS	hour
a	DT	a
day	NN	day
,	,	,
this	DT	this
thing	NN	thing
was	VBD	be
running	VBG	run
,	,	,
mainly	RB	mainly
running	VBG	run
bomb	NN	bomb
calculations	NNS	calculation
.	SENT	.
"	``	"
Everything	NN	everything
up	RP	up
to	TO	to
this	DT	this
point	NN	point
is	VBZ	be
wasted	VBN	waste
time	NN	time
.	SENT	.
"	''	"
"	``	"
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
use	NN	use
?	SENT	?
Good	JJ	good
night	NN	night
.	SENT	.
"	''	"
"	``	"
Master	NN	master
control	NN	control
off	RB	off
.	SENT	.
The	DT	the
hell	NN	hell
with	IN	with
it	PP	it
.	SENT	.
Way	NN	way
off	RB	off
.	SENT	.
"	''	"
"	``	"
Something	NN	something
'	''	'
s	NNS	<unknown>
wrong	JJ	wrong
with	IN	with
the	DT	the
air	NN	air
conditioner	NN	conditioner
—	:	-
smell	NN	smell
of	IN	of
burning	VBG	burn
V-belts	NNS	V-belt
in	IN	in
the	DT	the
air	NN	air
.	SENT	.
"	''	"
"	``	"
A	DT	a
short	JJ	short
—	:	-
do	VBP	do
not	RB	not
turn	VB	turn
the	DT	the
machine	NN	machine
on	RB	on
.	SENT	.
"	''	"
"	``	"
IBM	NP	IBM
machine	NN	machine
putting	VBG	put
a	DT	a
tar-like	JJ	tar-like
substance	NN	substance
on	IN	on
the	DT	the
cards	NNS	card
.	SENT	.
The	DT	the
tar	NN	tar
is	VBZ	be
from	IN	from
the	DT	the
roof	NN	roof
.	SENT	.
"	``	"
So	IN	so
they	PP	they
really	RB	really
were	VBD	be
working	VBG	work
under	IN	under
tough	JJ	tough
conditions	NNS	condition
.	SENT	.
Here	RB	here
,	,	,
"	''	"
A	DT	a
mouse	NN	mouse
has	VBZ	have
climbed	VBN	climb
into	IN	into
the	DT	the
blower	NN	blower
behind	IN	behind
the	DT	the
regulator	NN	regulator
rack	NN	rack
,	,	,
set	VBN	set
blower	NN	blower
to	TO	to
vibrating	VBG	vibrate
.	SENT	.
Result	NN	result
:	:	:
no	DT	no
more	JJR	more
mouse	NN	mouse
.	SENT	.
"	''	"
"	``	"
Here	RB	here
lies	VBZ	lie
mouse	NN	mouse
.	SENT	.
Born	VBN	bear
:	:	:
?	SENT	?
.	SENT	.
Died	VBN	die
:	:	:
4:50	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
,	,	,
May	NP	May
1953	CD	@card@
.	SENT	.
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
inside	JJ	inside
joke	NN	joke
someone	NN	someone
has	VBZ	have
penciled	VBN	pencil
in	RP	in
:	:	:
"	``	"
Here	RB	here
lies	VBZ	lie
Marston	NP	Marston
Mouse	NP	Mouse
.	SENT	.
"	``	"
If	IN	if
you	PP	you
'	''	'
re	IN	re
a	DT	a
mathematician	NN	mathematician
,	,	,
you	PP	you
get	VBP	get
that	IN	that
,	,	,
because	IN	because
Marston	NP	Marston
was	VBD	be
a	DT	a
mathematician	NN	mathematician
who	WP	who
objected	VBD	object
to	TO	to
the	DT	the
computer	NN	computer
being	VBG	be
there	RB	there
.	SENT	.
"	''	"
Picked	VBD	pick
a	DT	a
lightning	NN	lightning
bug	NN	bug
off	IN	off
the	DT	the
drum	NN	drum
.	SENT	.
"	''	"
"	``	"
Running	VBG	run
at	IN	at
two	CD	two
kilocycles	NNS	kilocycle
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
two	CD	two
thousand	CD	thousand
cycles	NNS	cycle
per	IN	per
second	JJ	second
—	:	-
"	``	"
yes	UH	yes
,	,	,
I	PP	I
'	POS	'
m	NN	m
chicken	NN	chicken
"	''	"
—	:	-
so	RB	so
two	CD	two
kilocycles	NNS	kilocycle
was	VBD	be
slow	JJ	slow
speed	NN	speed
.	SENT	.
The	DT	the
high	JJ	high
speed	NN	speed
was	VBD	be
16	CD	@card@
kilocycles	NNS	kilocycle
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
remember	VBP	remember
a	DT	a
Mac	NP	Mac
that	WDT	that
was	VBD	be
16	CD	@card@
Megahertz	NN	megahertz
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
slow	JJ	slow
speed	NN	speed
.	SENT	.
"	``	"
I	PP	I
have	VBP	have
now	RB	now
duplicated	VBN	duplicate
both	DT	both
results	NNS	result
.	SENT	.
How	WRB	how
will	MD	will
I	PP	I
know	VB	know
which	WDT	which
is	VBZ	be
right	JJ	right
,	,	,
assuming	VBG	assume
one	CD	one
result	NN	result
is	VBZ	be
correct	JJ	correct
?	SENT	?
This	DT	this
now	RB	now
is	VBZ	be
the	DT	the
third	JJ	third
different	JJ	different
output	NN	output
.	SENT	.
I	PP	I
know	VBP	know
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
licked	VBD	lick
.	SENT	.
"	''	"
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
duplicated	VBD	duplicate
errors	NNS	error
before	RB	before
.	SENT	.
"	''	"
"	``	"
Machine	NN	machine
run	NN	run
,	,	,
fine	NN	fine
.	SENT	.
Code	NP	Code
isn	NP	isn
'	POS	'
t	NN	t
.	SENT	.
"	''	"
"	``	"
Only	RB	only
happens	VBZ	happen
when	WRB	when
the	DT	the
machine	NN	machine
is	VBZ	be
running	VBG	run
.	SENT	.
"	''	"
And	CC	and
sometimes	RB	sometimes
things	NNS	thing
are	VBP	be
okay	JJ	okay
.	SENT	.
"	''	"
Machine	NN	machine
a	DT	a
thing	NN	thing
of	IN	of
beauty	NN	beauty
,	,	,
and	CC	and
a	DT	a
joy	NN	joy
forever	RB	forever
.	SENT	.
"	''	"
"	``	"
Perfect	JJ	perfect
running	NN	running
.	SENT	.
"	''	"
"	``	"
Parting	NN	parting
thought	NN	thought
:	:	:
when	WRB	when
there	EX	there
'	''	'
s	VBG	<unknown>
bigger	JJR	big
and	CC	and
better	JJR	good
errors	NNS	error
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
them	PP	them
.	SENT	.
"	''	"
So	RB	so
,	,	,
nobody	NN	nobody
was	VBD	be
supposed	VBN	suppose
to	TO	to
know	VB	know
they	PP	they
were	VBD	be
actually	RB	actually
designing	VBG	design
bombs	NNS	bomb
.	SENT	.
They	PP	they
'	''	'
re	IN	re
designing	VBG	design
hydrogen	NN	hydrogen
bombs	NNS	bomb
.	SENT	.
But	CC	but
someone	NN	someone
in	IN	in
the	DT	the
logbook	NN	logbook
,	,	,
late	RB	late
one	CD	one
night	NN	night
,	,	,
finally	RB	finally
drew	VBD	draw
a	DT	a
bomb	NN	bomb
.	SENT	.
So	RB	so
,	,	,
that	WDT	that
was	VBD	be
the	DT	the
result	NN	result
.	SENT	.
It	PP	it
was	VBD	be
Mike	NP	Mike
,	,	,
the	DT	the
first	JJ	first
thermonuclear	JJ	thermonuclear
bomb	NN	bomb
,	,	,
in	IN	in
1952	CD	@card@
.	SENT	.
That	DT	that
was	VBD	be
designed	VBN	design
on	IN	on
that	DT	that
machine	NN	machine
,	,	,
in	IN	in
the	DT	the
woods	NNS	wood
behind	IN	behind
the	DT	the
Institute	NP	Institute
.	SENT	.
So	IN	so
Von	NP	Von
Neumann	NP	Neumann
invited	VBD	invite
a	DT	a
whole	JJ	whole
gang	NN	gang
of	IN	of
weirdos	NNS	weirdo
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
to	TO	to
work	VB	work
on	IN	on
all	PDT	all
these	DT	these
problems	NNS	problem
.	SENT	.
Barricelli	NP	Barricelli
,	,	,
he	PP	he
came	VBD	come
to	TO	to
do	VB	do
what	WP	what
we	PP	we
now	RB	now
call	VBP	call
,	,	,
really	RB	really
,	,	,
artificial	JJ	artificial
life	NN	life
,	,	,
trying	VBG	try
to	TO	to
see	VB	see
if	IN	if
,	,	,
in	IN	in
this	DT	this
artificial	JJ	artificial
universe	NN	universe
—	:	-
he	PP	he
was	VBD	be
a	DT	a
viral-geneticist	NN	viral-geneticist
,	,	,
way	NN	way
,	,	,
way	NN	way
,	,	,
way	RB	way
ahead	RB	ahead
of	IN	of
his	PP$	his
time	NN	time
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
still	RB	still
ahead	RB	ahead
of	IN	of
some	DT	some
of	IN	of
the	DT	the
stuff	NN	stuff
that	RB	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
done	VBN	do
now	RB	now
.	SENT	.
Trying	VBG	try
to	TO	to
start	VB	start
an	DT	an
artificial	JJ	artificial
genetic	JJ	genetic
system	NN	system
running	VBG	run
in	IN	in
the	DT	the
computer	NN	computer
.	SENT	.
Began	VBD	begin
—	:	-
his	PP$	his
universe	NN	universe
started	VBN	start
March	NP	March
3	CD	@card@
,	,	,
'	''	'
53	CD	@card@
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
exactly	RB	exactly
—	:	-
it	PP	it
'	POS	'
s	NN	S
50	CD	@card@
years	NNS	year
ago	RB	ago
next	JJ	next
Tuesday	NP	Tuesday
,	,	,
I	PP	I
guess	VBP	guess
.	SENT	.
And	CC	and
he	PP	he
saw	VBD	see
everything	NN	everything
in	IN	in
terms	NNS	term
of	IN	of
—	:	-
he	PP	he
could	MD	could
read	VB	read
the	DT	the
binary	JJ	binary
code	NN	code
straight	RB	straight
off	IN	off
the	DT	the
machine	NN	machine
.	SENT	.
He	PP	he
had	VBD	have
a	DT	a
wonderful	JJ	wonderful
rapport	NN	rapport
.	SENT	.
Other	JJ	other
people	NNS	people
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
the	DT	the
machine	NN	machine
running	NN	running
.	SENT	.
It	PP	it
always	RB	always
worked	VBD	work
for	IN	for
him	PP	him
.	SENT	.
Even	RB	even
errors	NNS	error
were	VBD	be
duplicated	VBN	duplicate
.	SENT	.
"	``	"
Dr	NP	Dr
.	SENT	.
Barricelli	NP	Barricelli
claims	VBZ	claim
machine	NN	machine
is	VBZ	be
wrong	JJ	wrong
,	,	,
code	NN	code
is	VBZ	be
right	JJ	right
.	SENT	.
"	``	"
So	RB	so
he	PP	he
designed	VBD	design
this	DT	this
universe	NN	universe
,	,	,
and	CC	and
ran	VBD	run
it	PP	it
.	SENT	.
When	WRB	when
the	DT	the
bomb	NN	bomb
people	NNS	people
went	VBD	go
home	NN	home
,	,	,
he	PP	he
was	VBD	be
allowed	VBN	allow
in	IN	in
there	RB	there
.	SENT	.
He	PP	he
would	MD	would
run	VB	run
that	DT	that
thing	NN	thing
all	DT	all
night	NN	night
long	RB	long
,	,	,
running	VBG	run
these	DT	these
things	NNS	thing
,	,	,
if	IN	if
anybody	NN	anybody
remembers	VBZ	remember
Stephen	NP	Stephen
Wolfram	NP	Wolfram
,	,	,
who	WP	who
reinvented	VBD	reinvent
this	DT	this
stuff	NN	stuff
.	SENT	.
And	CC	and
he	PP	he
published	VBD	publish
it	PP	it
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
locked	VBN	lock
up	RP	up
and	CC	and
disappeared	VBD	disappear
.	SENT	.
It	PP	it
was	VBD	be
published	VBN	publish
in	IN	in
the	DT	the
literature	NN	literature
.	SENT	.
"	``	"
If	IN	if
it	PP	it
'	POS	'
s	NN	S
that	IN	that
easy	JJ	easy
to	TO	to
create	VB	create
living	VBG	live
organisms	NNS	organism
,	,	,
why	WRB	why
not	RB	not
create	VB	create
a	DT	a
few	JJ	few
yourself	PP	yourself
?	SENT	?
"	''	"
So	RB	so
,	,	,
he	PP	he
decided	VBD	decide
to	TO	to
give	VB	give
it	PP	it
a	DT	a
try	VBP	try
,	,	,
to	TO	to
start	VB	start
this	DT	this
artificial	JJ	artificial
biology	NN	biology
going	VBG	go
in	IN	in
the	DT	the
machines	NNS	machine
.	SENT	.
And	CC	and
he	PP	he
found	VBD	find
all	PDT	all
these	DT	these
,	,	,
sort	NN	sort
of	IN	of
—	:	-
it	PP	it
was	VBD	be
like	IN	like
a	DT	a
naturalist	NN	naturalist
coming	VBG	come
in	IN	in
and	CC	and
looking	VBG	look
at	IN	at
this	DT	this
tiny	JJ	tiny
,	,	,
5	CD	@card@
,	,	,
000-byte	NN	<unknown>
universe	NN	universe
,	,	,
and	CC	and
seeing	VBG	see
all	PDT	all
these	DT	these
things	NNS	thing
happening	VBG	happen
that	IN	that
we	PP	we
see	VBP	see
in	IN	in
the	DT	the
outside	JJ	outside
world	NN	world
,	,	,
in	IN	in
biology	NN	biology
.	SENT	.
This	DT	this
is	VBZ	be
some	DT	some
of	IN	of
the	DT	the
generations	NNS	generation
of	IN	of
his	PP$	his
universe	NN	universe
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
just	RB	just
going	VBG	go
to	TO	to
stay	VB	stay
numbers	NNS	number
;	:	;
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
become	VB	become
organisms	NNS	organism
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
have	VB	have
something	NN	something
.	SENT	.
You	PP	you
have	VBP	have
a	DT	a
genotype	NN	genotype
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
phenotype	NN	phenotype
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
go	VB	go
out	RP	out
and	CC	and
do	VB	do
something	NN	something
.	SENT	.
And	CC	and
he	PP	he
started	VBD	start
doing	VBG	do
that	IN	that
,	,	,
started	VBD	start
giving	VBG	give
these	DT	these
little	JJ	little
numerical	JJ	numerical
organisms	NNS	organism
things	NNS	thing
they	PP	they
could	MD	could
play	VB	play
with	IN	with
—	:	-
playing	VBG	play
chess	NN	chess
with	IN	with
other	JJ	other
machines	NNS	machine
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
they	PP	they
did	VBD	do
start	VB	start
to	TO	to
evolve	VB	evolve
.	SENT	.
And	CC	and
he	PP	he
went	VBD	go
around	RP	around
the	DT	the
country	NN	country
after	IN	after
that	DT	that
.	SENT	.
Every	DT	every
time	NN	time
there	EX	there
was	VBD	be
a	DT	a
new	JJ	new
,	,	,
fast	JJ	fast
machine	NN	machine
,	,	,
he	PP	he
started	VBD	start
using	VBG	use
it	PP	it
,	,	,
and	CC	and
saw	VBD	see
exactly	RB	exactly
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
.	SENT	.
That	IN	that
the	DT	the
programs	NNS	program
,	,	,
instead	RB	instead
of	IN	of
being	VBG	be
turned	VBN	turn
off	RP	off
—	:	-
when	WRB	when
you	PP	you
quit	VBD	quit
the	DT	the
program	NN	program
,	,	,
you	PP	you
'	POS	'
d	NN	d
keep	VB	keep
running	VBG	run
and	CC	and
,	,	,
basically	RB	basically
,	,	,
all	PDT	all
the	DT	the
sorts	NNS	sort
of	IN	of
things	NNS	thing
like	IN	like
Windows	NNS	window
is	VBZ	be
doing	VBG	do
,	,	,
running	VBG	run
as	IN	as
a	DT	a
multi-cellular	JJ	multi-cellular
organism	NN	organism
on	IN	on
many	JJ	many
machines	NNS	machine
,	,	,
he	PP	he
envisioned	VBD	envision
all	PDT	all
that	DT	that
happening	NN	happening
.	SENT	.
And	CC	and
he	PP	he
saw	VBD	see
that	DT	that
evolution	NN	evolution
itself	PP	itself
was	VBD	be
an	DT	an
intelligent	JJ	intelligent
process	NN	process
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
any	DT	any
sort	NN	sort
of	IN	of
creator	NN	creator
intelligence	NN	intelligence
,	,	,
but	CC	but
the	DT	the
thing	NN	thing
itself	PP	itself
was	VBD	be
a	DT	a
giant	JJ	giant
parallel	JJ	parallel
computation	NN	computation
that	WDT	that
would	MD	would
have	VB	have
some	DT	some
intelligence	NN	intelligence
.	SENT	.
And	CC	and
he	PP	he
went	VBD	go
out	RP	out
of	IN	of
his	PP$	his
way	NN	way
to	TO	to
say	VB	say
that	IN	that
he	PP	he
was	VBD	be
not	RB	not
saying	VBG	say
this	DT	this
was	VBD	be
lifelike	JJ	lifelike
,	,	,
or	CC	or
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
life	NN	life
.	SENT	.
It	PP	it
just	RB	just
was	VBD	be
another	DT	another
version	NN	version
of	IN	of
the	DT	the
same	JJ	same
thing	NN	thing
happening	NN	happening
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
really	RB	really
no	DT	no
difference	NN	difference
between	IN	between
what	WP	what
he	PP	he
was	VBD	be
doing	VBG	do
in	IN	in
the	DT	the
computer	NN	computer
and	CC	and
what	WP	what
nature	NN	nature
did	VBD	do
billions	NNS	billion
of	IN	of
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
could	MD	could
you	PP	you
do	VB	do
it	PP	it
again	RB	again
now	RB	now
?	SENT	?
So	RB	so
,	,	,
when	WRB	when
I	PP	I
went	VBD	go
into	IN	into
these	DT	these
archives	NN	archives
looking	VBG	look
at	IN	at
this	DT	this
stuff	NN	stuff
,	,	,
lo	NN	lo
and	CC	and
behold	VB	behold
,	,	,
the	DT	the
archivist	NN	archivist
came	VBD	come
up	RP	up
one	CD	one
day	NN	day
,	,	,
saying	VBG	say
,	,	,
"	``	"
I	PP	I
think	VBP	think
we	PP	we
found	VBD	find
another	DT	another
box	NN	box
that	WDT	that
had	VBD	have
been	VBN	be
thrown	VBN	throw
out	RP	out
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
his	PP$	his
universe	NN	universe
on	IN	on
punch	NN	punch
cards	NNS	card
.	SENT	.
So	RB	so
there	RB	there
it	PP	it
is	VBZ	be
,	,	,
50	CD	@card@
years	NNS	year
later	RBR	later
,	,	,
sitting	VBG	sit
there	RB	there
—	:	-
sort	NN	sort
of	IN	of
suspended	VBN	suspend
animation	NN	animation
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
instructions	NNS	instruction
for	IN	for
running	VBG	run
—	:	-
this	DT	this
is	VBZ	be
actually	RB	actually
the	DT	the
source	NN	source
code	NN	code
for	IN	for
one	CD	one
of	IN	of
those	DT	those
universes	NNS	universe
,	,	,
with	IN	with
a	DT	a
note	NN	note
from	IN	from
the	DT	the
engineers	NNS	engineer
saying	VBG	say
they	PP	they
'	POS	'
re	IN	re
having	VBG	have
some	DT	some
problems	NNS	problem
.	SENT	.
"	``	"
There	EX	there
must	MD	must
be	VB	be
something	NN	something
about	IN	about
this	DT	this
code	NN	code
that	IN	that
you	PP	you
haven	NN	haven
'	POS	'
t	NN	t
explained	VBD	explain
yet	RB	yet
.	SENT	.
"	``	"
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
really	RB	really
the	DT	the
truth	NN	truth
.	SENT	.
We	PP	we
still	RB	still
don	VBP	don
'	POS	'
t	NN	t
understand	VB	understand
how	WRB	how
these	DT	these
very	RB	very
simple	JJ	simple
instructions	NNS	instruction
can	MD	can
lead	VB	lead
to	TO	to
increasing	VBG	increase
complexity	NN	complexity
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
the	DT	the
dividing	VBG	divide
line	NN	line
between	IN	between
when	WRB	when
that	DT	that
is	VBZ	be
lifelike	JJ	lifelike
and	CC	and
when	WRB	when
it	PP	it
really	RB	really
is	VBZ	be
alive	JJ	alive
?	SENT	?
These	DT	these
cards	NNS	card
,	,	,
now	RB	now
,	,	,
thanks	VBZ	thank
to	TO	to
me	PP	me
showing	VBG	show
up	RP	up
,	,	,
are	VBP	be
being	VBG	be
saved	VBN	save
.	SENT	.
And	CC	and
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
should	MD	should
we	PP	we
run	VB	run
them	PP	them
or	CC	or
not	RB	not
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
could	MD	could
we	PP	we
get	VB	get
them	PP	them
running	VBG	run
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
let	VB	let
it	PP	it
loose	JJ	loose
on	IN	on
the	DT	the
Internet	NN	Internet
?	SENT	?
These	DT	these
machines	NNS	machine
would	MD	would
think	VB	think
they	PP	they
—	:	-
these	DT	these
organisms	NNS	organism
,	,	,
if	IN	if
they	PP	they
came	VBD	come
back	RB	back
to	TO	to
life	NN	life
now	RB	now
—	:	-
whether	IN	whether
they	PP	they
'	POS	'
ve	NNS	<unknown>
died	VBN	die
and	CC	and
gone	VBN	go
to	TO	to
heaven	NN	heaven
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
universe	NN	universe
.	SENT	.
My	PP$	my
laptop	NN	laptop
is	VBZ	be
10	CD	@card@
thousand	CD	thousand
million	CD	million
times	NNS	time
the	DT	the
size	NN	size
of	IN	of
the	DT	the
universe	NN	universe
that	IN	that
they	PP	they
lived	VBD	live
in	IN	in
when	WRB	when
Barricelli	NP	Barricelli
quit	VBD	quit
the	DT	the
project	NN	project
.	SENT	.
He	PP	he
was	VBD	be
thinking	VBG	think
far	RB	far
ahead	RB	ahead
,	,	,
to	TO	to
how	WRB	how
this	DT	this
would	MD	would
really	RB	really
grow	VB	grow
into	IN	into
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
!	SENT	!
When	WRB	when
Juan	NP	Juan
Enriquez	NP	Enriquez
told	VBD	tell
us	PP	us
about	IN	about
these	DT	these
12	CD	@card@
trillion	CD	trillion
bits	NNS	bit
being	VBG	be
transferred	VBN	transfer
back	RB	back
and	CC	and
forth	RB	forth
,	,	,
of	IN	of
all	PDT	all
this	DT	this
genomics	NN	<unknown>
data	NNS	datum
going	VBG	go
to	TO	to
the	DT	the
proteomics	NN	<unknown>
lab	NN	lab
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
Barricelli	NP	Barricelli
imagined	VBD	imagine
:	:	:
that	IN	that
this	DT	this
digital	JJ	digital
code	NN	code
in	IN	in
these	DT	these
machines	NNS	machine
is	VBZ	be
actually	RB	actually
starting	VBG	start
to	TO	to
code	VB	code
—	:	-
it	PP	it
already	RB	already
is	VBZ	be
coding	VBG	code
from	IN	from
nucleic	JJ	nucleic
acids	NNS	acid
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
that	IN	that
since	IN	since
,	,	,
you	PP	you
know	VBP	know
,	,	,
since	IN	since
we	PP	we
started	VBD	start
PCR	NP	PCR
and	CC	and
synthesizing	VBG	synthesize
small	JJ	small
strings	NNS	string
of	IN	of
DNA	NP	DNA
.	SENT	.
And	CC	and
real	RB	real
soon	RB	soon
,	,	,
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
going	VBG	go
to	TO	to
be	VB	be
synthesizing	VBG	synthesize
the	DT	the
proteins	NNS	protein
,	,	,
and	CC	and
,	,	,
like	IN	like
Steve	NP	Steve
showed	VBD	show
us	PP	us
,	,	,
that	WDT	that
just	RB	just
opens	VBZ	open
an	DT	an
entirely	RB	entirely
new	JJ	new
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
world	NN	world
that	IN	that
Von	NP	Von
Neumann	NP	Neumann
himself	PP	himself
envisioned	VBD	envision
.	SENT	.
This	DT	this
was	VBD	be
published	VBN	publish
after	IN	after
he	PP	he
died	VBD	die
:	:	:
his	PP$	his
sort	NN	sort
of	IN	of
unfinished	JJ	unfinished
notes	NNS	note
on	IN	on
self-reproducing	NN	self-reproducing
machines	NNS	machine
,	,	,
what	WP	what
it	PP	it
takes	VBZ	take
to	TO	to
get	VB	get
the	DT	the
machines	NNS	machine
sort	NN	sort
of	IN	of
jump-started	VBN	jump-start
to	TO	to
where	WRB	where
they	PP	they
begin	VBP	begin
to	TO	to
reproduce	VB	reproduce
.	SENT	.
It	PP	it
took	VBD	take
really	RB	really
three	CD	three
people	NNS	people
:	:	:
Barricelli	NP	Barricelli
