Eric	NP	Eric
central	JJ	central
to	TO	to
their	PP$	their
topic	NN	topic
,	,	,
and	CC	and
ones	NNS	one
that	WDT	that
are	VBP	be
really	RB	really
creatively	RB	creatively
bridging	VBG	bridge
disparate	JJ	disparate
fields	NNS	field
.	SENT	.
Okay	JJ	okay
?	SENT	?
We	PP	we
never	RB	never
would	MD	would
have	VB	have
found	VBN	find
those	DT	those
with	IN	with
our	PP$	our
obsession	NN	obsession
with	IN	with
what	WP	what
'	POS	'
s	NNS	<unknown>
trending	VBG	trend
now	RB	now
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
comes	VBZ	come
from	IN	from
the	DT	the
architecture	NN	architecture
of	IN	of
complexity	NN	complexity
,	,	,
or	CC	or
the	DT	the
patterns	NNS	pattern
of	IN	of
how	WRB	how
things	NNS	thing
are	VBP	be
connected	VBN	connect
.	SENT	.
SG	NP	SG
:	:	:
So	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
exactly	RB	exactly
right	RB	right
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
ourselves	PP	ourselves
in	IN	in
a	DT	a
world	NN	world
that	RB	that
'	POS	'
s	NN	S
massively	RB	massively
complex	JJ	complex
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
using	VBG	use
algorithms	NNS	algorithm
to	TO	to
kind	NN	kind
of	IN	of
filter	NN	filter
it	PP	it
down	RB	down
so	RB	so
we	PP	we
can	MD	can
navigate	VB	navigate
through	IN	through
it	PP	it
.	SENT	.
And	CC	and
those	DT	those
algorithms	NNS	algorithm
,	,	,
whilst	IN	whilst
being	VBG	be
kind	NN	kind
of	IN	of
useful	JJ	useful
,	,	,
are	VBP	be
also	RB	also
very	RB	very
,	,	,
very	RB	very
narrow	JJ	narrow
,	,	,
and	CC	and
we	PP	we
can	MD	can
do	VB	do
better	JJR	good
than	IN	than
that	IN	that
,	,	,
because	IN	because
we	PP	we
can	MD	can
realize	VB	realize
that	IN	that
their	PP$	their
complexity	NN	complexity
is	VBZ	be
not	RB	not
random	JJ	random
.	SENT	.
It	PP	it
has	VBZ	have
mathematical	JJ	mathematical
structure	NN	structure
,	,	,
and	CC	and
we	PP	we
can	MD	can
use	VB	use
that	DT	that
mathematical	JJ	mathematical
structure	NN	structure
to	TO	to
go	VB	go
and	CC	and
explore	VB	explore
things	NNS	thing
like	IN	like
the	DT	the
world	NN	world
of	IN	of
ideas	NNS	idea
to	TO	to
see	VB	see
what	WP	what
'	POS	'
s	NNS	<unknown>
being	VBG	be
said	VBN	say
,	,	,
to	TO	to
see	VB	see
what	WP	what
'	POS	'
s	NN	S
not	RB	not
being	VBG	be
said	VBN	say
,	,	,
and	CC	and
to	TO	to
be	VB	be
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
human	JJ	human
and	CC	and
,	,	,
hopefully	RB	hopefully
,	,	,
a	DT	a
little	RB	little
smarter	RBR	smarter
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
