On	IN	on
aren	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
change	NN	change
what	WP	what
a	DT	a
system	NN	system
believed	VBN	believe
about	IN	about
me	PP	me
,	,	,
while	IN	while
I	PP	I
believed	VBD	believe
what	WP	what
the	DT	the
system	NN	system
believed	VBN	believe
about	IN	about
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
.	SENT	.
I	PP	I
,	,	,
like	IN	like
everyone	NN	everyone
around	IN	around
me	PP	me
,	,	,
believed	VBD	believe
that	IN	that
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
possible	JJ	possible
for	IN	for
me	PP	me
to	TO	to
exist	VB	exist
in	IN	in
my	PP$	my
dream	NN	dream
as	IN	as
I	PP	I
was	VBD	be
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
about	RB	about
trying	VBG	try
to	TO	to
make	VB	make
myself	PP	myself
invisible	JJ	invisible
.	SENT	.
What	WP	what
this	DT	this
revealed	VBN	reveal
to	TO	to
me	PP	me
was	VBD	be
that	IN	that
it	PP	it
is	VBZ	be
possible	JJ	possible
to	TO	to
be	VB	be
the	DT	the
person	NN	person
who	WP	who
genuinely	RB	genuinely
wants	VBZ	want
to	TO	to
see	VB	see
change	NN	change
while	IN	while
also	RB	also
being	VBG	be
the	DT	the
person	NN	person
whose	WP$	whose
actions	NNS	action
keep	VBP	keep
things	NNS	thing
the	DT	the
way	NN	way
they	PP	they
are	VBP	be
.	SENT	.
And	CC	and
what	WP	what
it	PP	it
'	POS	'
s	NN	S
led	VBD	lead
me	PP	me
to	TO	to
believe	VB	believe
is	VBZ	be
that	IN	that
change	NN	change
isn	NN	isn
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
come	VB	come
by	IN	by
identifying	VBG	identify
the	DT	the
good	JJ	good
guys	NNS	guy
and	CC	and
the	DT	the
bad	JJ	bad
guys	NNS	guy
.	SENT	.
That	DT	that
conversation	NN	conversation
lets	VBZ	let
us	PP	us
all	DT	all
off	RP	off
the	DT	the
hook	NN	hook
.	SENT	.
Because	IN	because
most	JJS	most
of	IN	of
us	PP	us
are	VBP	be
neither	RB	neither
one	CD	one
of	IN	of
those	DT	those
.	SENT	.
Change	NN	change
will	MD	will
come	VB	come
when	WRB	when
each	DT	each
of	IN	of
us	PP	us
has	VBZ	have
the	DT	the
courage	NN	courage
to	TO	to
question	VB	question
our	PP$	our
own	JJ	own
fundamental	JJ	fundamental
values	NNS	value
and	CC	and
beliefs	NNS	belief
.	SENT	.
And	CC	and
then	RB	then
see	VB	see
to	TO	to
it	PP	it
that	IN	that
our	PP$	our
actions	NNS	action
lead	VB	lead
to	TO	to
our	PP$	our
best	JJS	good
intentions	NNS	intention
.	SENT	.
I	PP	I
am	VBP	be
just	RB	just
one	CD	one
of	IN	of
millions	NNS	million
of	IN	of
people	NNS	people
who	WP	who
have	VBP	have
been	VBN	be
told	VBN	tell
that	IN	that
in	IN	in
order	NN	order
to	TO	to
fulfill	VB	fulfill
my	PP$	my
dreams	NNS	dream
,	,	,
in	IN	in
order	NN	order
to	TO	to
contribute	VB	contribute
my	PP$	my
talents	NNS	talent
to	TO	to
the	DT	the
world	NN	world
I	PP	I
have	VBP	have
to	TO	to
resist	VB	resist
the	DT	the
truth	NN	truth
of	IN	of
who	WP	who
I	PP	I
am	VBP	be
.	SENT	.
I	PP	I
for	IN	for
one	CD	one
,	,	,
am	VBP	be
ready	JJ	ready
to	TO	to
stop	VB	stop
resisting	VBG	resist
and	CC	and
to	TO	to
start	VB	start
existing	VBG	exist
as	IN	as
my	PP$	my
full	JJ	full
and	CC	and
authentic	JJ	authentic
self	NN	self
.	SENT	.
If	IN	if
I	PP	I
could	MD	could
go	VB	go
back	RB	back
and	CC	and
say	VBP	say
anything	NN	anything
to	TO	to
that	DT	that
nine-year-old	JJ	nine-year-old
,	,	,
dancing	VBG	dance
in	IN	in
the	DT	the
den	NN	den
,	,	,
dreaming	VBG	dream
her	PP$	her
dreams	NNS	dream
,	,	,
I	PP	I
would	MD	would
say	VB	say
,	,	,
my	PP$	my
identity	NN	identity
is	VBZ	be
not	RB	not
my	PP$	my
obstacle	NN	obstacle
.	SENT	.
My	PP$	my
identity	NN	identity
is	VBZ	be
my	PP$	my
superpower	NN	superpower
.	SENT	.
Because	IN	because
the	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
I	PP	I
am	VBP	be
what	WP	what
the	DT	the
world	NN	world
looks	VBZ	look
like	IN	like
.	SENT	.
You	PP	you
are	VBP	be
what	WP	what
the	DT	the
world	NN	world
looks	VBZ	look
like	IN	like
.	SENT	.
Collectively	RB	collectively
,	,	,
we	PP	we
are	VBP	be
what	WP	what
the	DT	the
world	NN	world
actually	RB	actually
looks	VBZ	look
like	IN	like
.	SENT	.
And	CC	and
in	IN	in
order	NN	order
for	IN	for
our	PP$	our
systems	NNS	system
to	TO	to
reflect	VB	reflect
that	IN	that
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
create	VB	create
a	DT	a
new	JJ	new
reality	NN	reality
.	SENT	.
They	PP	they
just	RB	just
have	VB	have
to	TO	to
stop	VB	stop
resisting	VBG	resist
the	DT	the
one	CD	one
we	PP	we
already	RB	already
live	VBP	live
in	IN	in
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
