Over	IN	over
water	NN	water
on	RB	on
.	SENT	.
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
do	VBP	do
you	PP	you
notice	VBP	notice
anything	NN	anything
?	SENT	?
And	CC	and
the	DT	the
water	NN	water
is	VBZ	be
whooshing	VBG	whoosh
down	RP	down
this	DT	this
pipe	NN	pipe
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
exciting	JJ	exciting
stuff	NN	stuff
.	SENT	.
Are	VBP	be
you	PP	you
with	IN	with
me	PP	me
?	SENT	?
So	IN	so
the	DT	the
water	NN	water
goes	VBZ	go
up	RP	up
.	SENT	.
He	PP	he
turns	VBZ	turn
it	PP	it
back	RB	back
down	RB	down
.	SENT	.
Great	JJ	great
.	SENT	.
And	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Anything	NN	anything
you	PP	you
notice	VBP	notice
?	SENT	?
"	``	"
No	UH	no
.	SENT	.
Then	RB	then
he	PP	he
sticks	VBZ	stick
a	DT	a
needle	NN	needle
into	IN	into
the	DT	the
pipe	NN	pipe
,	,	,
and	CC	and
he	PP	he
connects	VBZ	connect
this	DT	this
to	TO	to
a	DT	a
container	NN	container
,	,	,
and	CC	and
he	PP	he
fills	VBZ	fill
the	DT	the
container	NN	container
up	RB	up
with	IN	with
green	JJ	green
ink	NN	ink
.	SENT	.
You	PP	you
with	IN	with
me	PP	me
?	SENT	?
So	RB	so
guess	VB	guess
what	WP	what
happens	VBZ	happen
?	SENT	?
A	DT	a
thin	JJ	thin
green	JJ	green
line	NN	line
comes	VBZ	come
out	RP	out
as	IN	as
it	PP	it
flows	VBZ	flow
down	RP	down
the	DT	the
pipe	NN	pipe
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	RB	that
interesting	JJ	interesting
.	SENT	.
And	CC	and
then	RB	then
he	PP	he
turns	VBZ	turn
the	DT	the
water	NN	water
up	IN	up
a	DT	a
bit	NN	bit
,	,	,
so	RB	so
it	PP	it
starts	VBZ	start
coming	VBG	come
back	RB	back
in	IN	in
.	SENT	.
And	CC	and
nothing	NN	nothing
changes	NNS	change
.	SENT	.
So	IN	so
he	PP	he
'	POS	'
s	NN	S
changing	VBG	change
the	DT	the
flow	NN	flow
of	IN	of
the	DT	the
water	NN	water
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
boring	JJ	boring
green	JJ	green
line	NN	line
.	SENT	.
He	PP	he
adds	VBZ	add
some	DT	some
more	RBR	more
.	SENT	.
He	PP	he
adds	VBZ	add
some	DT	some
more	RBR	more
.	SENT	.
And	CC	and
then	RB	then
something	NN	something
weird	NN	weird
happens	VBZ	happen
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
little	JJ	little
flicker	NN	flicker
,	,	,
and	CC	and
then	RB	then
as	IN	as
he	PP	he
turns	VBZ	turn
it	PP	it
ever	RB	ever
so	RB	so
slightly	RB	slightly
more	RBR	more
,	,	,
the	DT	the
whole	NN	whole
of	IN	of
that	DT	that
green	JJ	green
line	NN	line
disappears	VBZ	disappear
,	,	,
and	CC	and
instead	RB	instead
there	EX	there
are	VBP	be
these	DT	these
little	JJ	little
sort	NN	sort
of	IN	of
inky	JJ	inky
dust	NN	dust
devils	NNS	devil
close	JJ	close
to	TO	to
the	DT	the
needle	NN	needle
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
called	VBD	call
eddies	NNS	eddy
.	SENT	.
Not	RB	not
me	PP	me
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
violently	RB	violently
dispersing	VBG	disperse
the	DT	the
ink	NN	ink
so	RB	so
that	IN	that
it	PP	it
actually	RB	actually
gets	VBZ	get
diluted	VBN	dilute
out	RP	out
,	,	,
and	CC	and
the	DT	the
color	NN	color
'	POS	'
s	NNS	<unknown>
gone	VBN	go
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
in	IN	in
this	DT	this
world	NN	world
of	IN	of
pipe	NN	pipe
is	VBZ	be
somebody	NN	somebody
has	VBZ	have
flipped	VBN	flip
it	PP	it
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
changed	VBD	change
the	DT	the
rules	NNS	rule
from	IN	from
laminar	JJ	laminar
to	TO	to
turbulent	JJ	turbulent
.	SENT	.
All	PDT	all
the	DT	the
rules	NNS	rule
are	VBP	be
gone	VBN	go
.	SENT	.
In	IN	in
that	DT	that
environment	NN	environment
,	,	,
instantly	RB	instantly
,	,	,
all	PDT	all
the	DT	the
possibilities	NNS	possibility
which	WDT	which
turbulence	NN	turbulence
brings	VBZ	bring
are	VBP	be
available	JJ	available
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
same	JJ	same
as	IN	as
laminar	JJ	laminar
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
that	DT	that
green	JJ	green
ink	NN	ink
,	,	,
you	PP	you
'	POS	'
d	NN	d
never	RB	never
notice	NN	notice
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
our	PP$	our
challenge	NN	challenge
,	,	,
because	IN	because
somebody	NN	somebody
has	VBZ	have
actually	RB	actually
increased	VBN	increase
—	:	-
and	CC	and
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
you	PP	you
guys	VBZ	guy
with	IN	with
all	PDT	all
your	PP$	your
tech	NN	tech
and	CC	and
stuff	NN	stuff
—	:	-
the	DT	the
speed	NN	speed
,	,	,
the	DT	the
scale	NN	scale
and	CC	and
the	DT	the
density	NN	density
of	IN	of
interaction	NN	interaction
.	SENT	.
Now	RB	now
how	WRB	how
do	VBP	do
we	PP	we
cope	VB	cope
and	CC	and
deal	VB	deal
with	IN	with
that	DT	that
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
could	MD	could
just	RB	just
call	VB	call
it	PP	it
turbulence	NN	turbulence
,	,	,
or	CC	or
we	PP	we
could	MD	could
try	VB	try
and	CC	and
learn	VB	learn
.	SENT	.
Yes	UH	yes
,	,	,
learn	VB	learn
,	,	,
but	CC	but
I	PP	I
know	VBP	know
you	PP	you
guys	NNS	guy
grew	VBD	grow
up	RP	up
in	IN	in
the	DT	the
days	NNS	day
when	WRB	when
there	EX	there
were	VBD	be
actually	RB	actually
these	DT	these
things	NNS	thing
called	VBD	call
correct	JJ	correct
answers	NNS	answer
,	,	,
because	IN	because
of	IN	of
the	DT	the
answer	NN	answer
you	PP	you
gave	VBD	give
me	PP	me
to	TO	to
the	DT	the
horizontal	JJ	horizontal
line	NN	line
puzzle	NN	puzzle
,	,	,
and	CC	and
you	PP	you
believe	VBP	believe
it	PP	it
will	MD	will
last	VB	last
forever	RB	forever
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NN	ll
put	VBD	put
a	DT	a
little	JJ	little
line	NN	line
up	IN	up
here	RB	here
which	WDT	which
represents	VBZ	represent
learning	VBG	learn
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
used	VBD	use
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
We	PP	we
could	MD	could
see	VB	see
things	NNS	thing
,	,	,
understand	VB	understand
them	PP	them
,	,	,
take	VB	take
the	DT	the
time	NN	time
to	TO	to
put	VB	put
them	PP	them
into	IN	into
practice	NN	practice
.	SENT	.
Out	RB	out
here	RB	here
is	VBZ	be
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
to	TO	to
our	PP$	our
pace	NN	pace
of	IN	of
learning	VBG	learn
as	IN	as
the	DT	the
world	NN	world
has	VBZ	have
accelerated	VBN	accelerate
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
you	PP	you
work	VBP	work
for	IN	for
a	DT	a
corporation	NN	corporation
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
discover	VBP	discover
it	PP	it
'	''	'
s	NNS	<unknown>
quite	RB	quite
difficult	JJ	difficult
to	TO	to
work	VB	work
on	IN	on
stuff	NN	stuff
which	WDT	which
your	PP$	your
boss	NN	boss
doesn	NN	<unknown>
'	POS	'
t	NN	t
approve	VB	approve
of	IN	of
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
in	IN	in
the	DT	the
strategy	NN	strategy
,	,	,
and	CC	and
anyway	RB	anyway
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
go	VB	go
through	IN	through
your	PP$	your
monthly	JJ	monthly
meetings	NNS	meeting
.	SENT	.
If	IN	if
you	PP	you
work	VBP	work
in	IN	in
an	DT	an
institution	NN	institution
,	,	,
one	CD	one
day	NN	day
you	PP	you
will	MD	will
get	VB	get
them	PP	them
to	TO	to
make	VB	make
that	DT	that
decision	NN	decision
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
work	VBP	work
in	IN	in
a	DT	a
market	NN	market
where	WRB	where
people	NNS	people
believe	VBP	believe
in	IN	in
cycles	NNS	cycle
,	,	,
it	PP	it
'	POS	'
s	NN	S
even	RB	even
funnier	JJR	funny
,	,	,
because	IN	because
you	PP	you
have	VBP	have
to	TO	to
wait	VB	wait
all	PDT	all
the	DT	the
way	NN	way
for	IN	for
the	DT	the
cycle	NN	cycle
to	TO	to
fail	VB	fail
before	IN	before
you	PP	you
go	VBP	go
,	,	,
"	``	"
There	EX	there
'	''	'
s	NN	S
something	NN	something
wrong	JJ	wrong
.	SENT	.
"	``	"
You	PP	you
with	IN	with
me	PP	me
?	SENT	?
So	IN	so
it	PP	it
'	POS	'
s	NN	S
likely	JJ	likely
that	IN	that
the	DT	the
line	NN	line
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
learning	NN	learning
,	,	,
is	VBZ	be
pretty	RB	pretty
flat	JJ	flat
.	SENT	.
You	PP	you
with	IN	with
me	PP	me
?	SENT	?
This	DT	this
point	NN	point
over	IN	over
here	RB	here
,	,	,
the	DT	the
point	NN	point
at	IN	at
which	WDT	which
the	DT	the
lines	NNS	line
cross	VBP	cross
over	RP	over
,	,	,
the	DT	the
pace	NN	pace
of	IN	of
change	NN	change
overtakes	VBZ	overtake
the	DT	the
pace	NN	pace
of	IN	of
learning	VBG	learn
,	,	,
and	CC	and
for	IN	for
me	PP	me
,	,	,
that	WDT	that
is	VBZ	be
what	WP	what
I	PP	I
was	VBD	be
describing	VBG	describe
when	WRB	when
I	PP	I
was	VBD	be
telling	VBG	tell
you	PP	you
about	IN	about
midnight	NN	midnight
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
it	PP	it
do	VBP	do
to	TO	to
us	PP	us
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
completely	RB	completely
transforms	VBZ	transform
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
,	,	,
many	JJ	many
mistakes	NNS	mistake
we	PP	we
make	VBP	make
.	SENT	.
We	PP	we
solve	VB	solve
last	JJ	last
year	NN	year
'	POS	'
s	NN	S
problems	NNS	problem
without	IN	without
thinking	VBG	think
about	IN	about
the	DT	the
future	NN	future
.	SENT	.
If	IN	if
you	PP	you
try	VBP	try
and	CC	and
think	VBP	think
about	IN	about
it	PP	it
,	,	,
the	DT	the
things	NNS	thing
you	PP	you
'	POS	'
re	NN	re
solving	VBG	solve
now	RB	now
,	,	,
what	WP	what
problems	NNS	problem
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
bring	VB	bring
in	IN	in
the	DT	the
future	NN	future
?	SENT	?
If	IN	if
you	PP	you
haven	NN	haven
'	POS	'
t	NN	t
understood	VBD	understand
the	DT	the
world	NN	world
you	PP	you
'	POS	'
re	NN	re
living	VBG	live
in	IN	in
,	,	,
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
impossible	JJ	impossible
to	TO	to
be	VB	be
absolutely	RB	absolutely
certain	JJ	certain
that	IN	that
what	WP	what
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
deliver	VB	deliver
fits	NNS	fit
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
an	DT	an
example	NN	example
,	,	,
a	DT	a
quick	JJ	quick
one	CD	one
.	SENT	.
Creativity	NN	creativity
and	CC	and
ideas	NNS	idea
,	,	,
I	PP	I
mentioned	VBD	mention
that	IN	that
earlier	RBR	earlier
.	SENT	.
All	PDT	all
the	DT	the
CEOs	NNS	CEO
around	IN	around
me	PP	me
,	,	,
my	PP$	my
clients	NNS	client
,	,	,
they	PP	they
want	VBP	want
innovation	NN	innovation
,	,	,
so	RB	so
they	PP	they
seek	VBP	seek
innovation	NN	innovation
.	SENT	.
They	PP	they
say	VBP	say
to	TO	to
people	NNS	people
,	,	,
"	``	"
Take	VB	take
risks	NNS	risk
and	CC	and
be	VB	be
creative	JJ	creative
!	SENT	!
"	''	"
But	CC	but
unfortunately	RB	unfortunately
the	DT	the
words	NNS	word
get	VBP	get
transformed	VBN	transform
as	IN	as
they	PP	they
travel	VBP	travel
through	IN	through
the	DT	the
air	NN	air
.	SENT	.
Entering	VBG	enter
their	PP$	their
ears	NNS	ear
,	,	,
what	WP	what
they	PP	they
hear	VBP	hear
is	VBZ	be
,	,	,
"	''	"
Do	VBP	do
crazy	JJ	crazy
things	NNS	thing
and	CC	and
then	RB	then
I	NP	I
'	POS	'
ll	JJ	<unknown>
fire	NN	fire
you	PP	you
.	SENT	.
"	''	"
Why	WRB	why
?	SENT	?
Because	RB	because
—	:	-
Why	WRB	why
?	SENT	?
Because	IN	because
in	IN	in
the	DT	the
old	JJ	old
world	NN	world
,	,	,
okay	RB	okay
,	,	,
in	IN	in
the	DT	the
old	JJ	old
world	NN	world
,	,	,
over	IN	over
here	RB	here
,	,	,
getting	VBG	get
stuff	NN	stuff
wrong	RB	wrong
was	VBD	be
unacceptable	JJ	unacceptable
.	SENT	.
If	IN	if
you	PP	you
got	VBD	get
something	NN	something
wrong	JJ	wrong
,	,	,
you	PP	you
'	POS	'
d	NN	d
failed	VBD	fail
.	SENT	.
How	WRB	how
should	MD	should
you	PP	you
be	VB	be
treated	VBN	treat
?	SENT	?
Well	RB	well
,	,	,
harshly	RB	harshly
,	,	,
because	IN	because
you	PP	you
could	MD	could
have	VB	have
asked	VBN	ask
somebody	NN	somebody
who	WP	who
had	VBD	have
experience	NN	experience
.	SENT	.
So	RB	so
we	PP	we
learned	VBD	learn
the	DT	the
answer	NN	answer
and	CC	and
we	PP	we
carried	VBD	carry
this	DT	this
in	IN	in
our	PP$	our
heads	NNS	head
for	IN	for
20	CD	@card@
,	,	,
30	CD	@card@
years	NNS	year
,	,	,
are	VBP	be
you	PP	you
with	IN	with
me	PP	me
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
,	,	,
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
things	NNS	thing
which	WDT	which
are	VBP	be
different	JJ	different
.	SENT	.
And	CC	and
then	RB	then
suddenly	RB	suddenly
we	PP	we
tell	VBP	tell
them	PP	them
to	TO	to
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
in	IN	in
reality	NN	reality
,	,	,
there	EX	there
are	VBP	be
two	CD	two
ways	NNS	way
you	PP	you
can	MD	can
fail	VB	fail
in	IN	in
our	PP$	our
new	JJ	new
world	NN	world
.	SENT	.
One	CD	one
,	,	,
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
something	NN	something
that	IN	that
you	PP	you
should	MD	should
follow	VB	follow
a	DT	a
procedure	NN	procedure
to	TO	to
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
difficult	JJ	difficult
thing	NN	thing
,	,	,
you	PP	you
'	POS	'
re	NN	re
sloppy	JJ	sloppy
,	,	,
you	PP	you
get	VBP	get
it	PP	it
wrong	JJ	wrong
.	SENT	.
How	WRB	how
should	MD	should
you	PP	you
be	VB	be
treated	VBN	treat
?	SENT	?
You	PP	you
should	MD	should
probably	RB	probably
be	VB	be
fired	VBN	fire
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
something	NN	something
new	JJ	new
,	,	,
no	DT	no
one	CD	one
'	POS	'
s	NN	S
ever	RB	ever
done	VBN	do
before	RB	before
,	,	,
you	PP	you
get	VBP	get
it	PP	it
completely	RB	completely
wrong	JJ	wrong
.	SENT	.
How	WRB	how
should	MD	should
you	PP	you
be	VB	be
treated	VBN	treat
?	SENT	?
Well	RB	well
,	,	,
free	JJ	free
pizzas	NNS	pizza
!	SENT	!
You	PP	you
should	MD	should
be	VB	be
treated	VBN	treat
better	RBR	well
than	IN	than
the	DT	the
people	NNS	people
who	WP	who
succeed	VBP	succeed
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
smart	JJ	smart
failure	NN	failure
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
put	VBD	put
it	PP	it
on	IN	on
your	PP$	your
C	NP	C
.	SENT	.
V	CD	@card@
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
,	,	,
then	RB	then
,	,	,
is	VBZ	be
with	IN	with
the	DT	the
explanation	NN	explanation
of	IN	of
why	WRB	why
I	PP	I
actually	RB	actually
traveled	VBD	travel
60	CD	@card@
,	,	,
000	CD	@card@
miles	NNS	mile
from	IN	from
my	PP$	my
desk	NN	desk
.	SENT	.
When	WRB	when
I	PP	I
realized	VBD	realize
the	DT	the
power	NN	power
of	IN	of
this	DT	this
new	JJ	new
world	NN	world
,	,	,
I	PP	I
quit	VBD	quit
my	PP$	my
safe	JJ	safe
teaching	NN	teaching
job	NN	job
,	,	,
and	CC	and
set	VBD	set
up	RP	up
a	DT	a
virtual	JJ	virtual
business	NN	business
school	NN	school
,	,	,
the	DT	the
first	JJ	first
in	IN	in
the	DT	the
world	NN	world
,	,	,
in	IN	in
order	NN	order
to	TO	to
teach	VB	teach
people	NNS	people
how	WRB	how
to	TO	to
make	VB	make
this	DT	this
happen	VB	happen
,	,	,
and	CC	and
I	PP	I
used	VBD	use
some	DT	some
of	IN	of
my	PP$	my
learnings	NNS	learning
about	IN	about
some	DT	some
of	IN	of
the	DT	the
rules	NNS	rule
which	WDT	which
I	PP	I
'	POS	'
d	NN	d
learned	VBD	learn
on	IN	on
myself	PP	myself
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
interested	JJ	interested
,	,	,
worldaftermidnight	JJ	<unknown>
.	SENT	.
com	NN	com
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
out	RP	out
more	RBR	more
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
applied	VBD	apply
them	PP	them
to	TO	to
myself	PP	myself
for	IN	for
over	IN	over
a	DT	a
decade	NN	decade
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
still	RB	still
here	RB	here
,	,	,
and	CC	and
I	PP	I
still	RB	still
have	VBP	have
my	PP$	my
house	NN	house
,	,	,
and	CC	and
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
is	VBZ	be
,	,	,
I	PP	I
hope	VBP	hope
I	PP	I
'	''	'
ve	NNS	<unknown>
done	VBN	do
enough	RB	enough
to	TO	to
inject	VB	inject
a	DT	a
little	JJ	little
green	JJ	green
ink	NN	ink
into	IN	into
your	PP$	your
lives	NNS	life
,	,	,
so	RB	so
that	IN	that
when	WRB	when
you	PP	you
go	VBP	go
away	RB	away
and	CC	and
you	PP	you
'	POS	'
re	NN	re
making	VBG	make
your	PP$	your
next	JJ	next
absolutely	RB	absolutely
sensible	JJ	sensible
and	CC	and
rational	JJ	rational
decision	NN	decision
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
take	VBP	take
some	DT	some
time	NN	time
to	TO	to
think	VB	think
,	,	,
"	``	"
Hmm	UH	hmm
,	,	,
I	PP	I
wonder	VBP	wonder
whether	IN	whether
this	DT	this
also	RB	also
makes	VBZ	make
sense	NN	sense
in	IN	in
our	PP$	our
new	JJ	new
world	NN	world
after	IN	after
midnight	NN	midnight
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
