Meg	NP	Meg
I	PP	I
would	MD	would
figure	VB	figure
out	RB	out
--	:	--
it	PP	it
depends	VBZ	depend
on	IN	on
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
but	CC	but
a	DT	a
schedule	NN	schedule
that	WDT	that
works	VBZ	work
for	IN	for
you	PP	you
,	,	,
where	WRB	where
you	PP	you
check	VBP	check
in	IN	in
about	IN	about
your	PP$	your
progress	NN	progress
on	IN	on
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
am	VBP	be
I	PP	I
being	VBG	be
true	JJ	true
to	TO	to
myself	PP	myself
and	CC	and
to	TO	to
my	PP$	my
future	JJ	future
self	NN	self
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
I	PP	I
said	VBD	say
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
start	VB	start
prioritizing	NN	<unknown>
more	RBR	more
.	SENT	.
"	''	"
So	RB	so
maybe	RB	maybe
that	DT	that
check-in	NNS	check-in
is	VBZ	be
once	RB	once
a	DT	a
month	NN	month
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NNS	<unknown>
every	DT	every
year	NN	year
on	IN	on
New	NP	New
Year	NP	Year
'	POS	'
s	NN	S
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	''	'
s	VBG	<unknown>
your	PP$	your
birthday	NN	birthday
.	SENT	.
It	PP	it
really	RB	really
kind	RB	kind
of	IN	of
depends	VBZ	depend
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
think	VB	think
--	:	--
I	PP	I
mean	VBP	mean
,	,	,
having	VBG	have
this	DT	this
conversation	NN	conversation
one	CD	one
time	NN	time
because	IN	because
you	PP	you
heard	VBD	hear
my	PP$	my
chat	NN	chat
today	NN	today
and	CC	and
then	RB	then
dropping	VBG	drop
it	PP	it
is	VBZ	be
probably	RB	probably
not	RB	not
going	VBG	go
to	TO	to
do	VB	do
a	DT	a
lot	NN	lot
for	IN	for
you	PP	you
.	SENT	.
But	CC	but
if	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
the	DT	the
beginning	NN	beginning
of	IN	of
an	DT	an
ongoing	JJ	ongoing
conversation	NN	conversation
with	IN	with
yourself	PP	yourself
and	CC	and
like	VB	like
with	IN	with
any	DT	any
goal	NN	goal
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
something	NN	something
we	PP	we
need	VBP	need
to	TO	to
keep	VB	keep
circling	VBG	circle
back	RB	back
around	RB	around
on	IN	on
.	SENT	.
"	``	"
OK	UH	OK
?	SENT	?
Is	VBZ	be
this	DT	this
still	RB	still
what	WP	what
I	PP	I
want	VBP	want
and	CC	and
how	WRB	how
am	VBP	be
I	PP	I
doing	VBG	do
on	IN	on
this	DT	this
?	SENT	?
"	``	"
It	PP	it
kind	RB	kind
of	IN	of
create	VB	create
some	DT	some
accountability	NN	accountability
.	SENT	.
And	CC	and
so	RB	so
for	IN	for
that	IN	that
,	,	,
that	WDT	that
is	VBZ	be
where	WRB	where
I	PP	I
think	VBP	think
some	DT	some
people	NNS	people
find	VBP	find
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
a	DT	a
friend	NN	friend
or	CC	or
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
my	PP$	my
pastor	NN	pastor
or	CC	or
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
write	VB	write
it	PP	it
in	IN	in
my	PP$	my
journal	NN	journal
or	CC	or
whatever	WDT	whatever
it	PP	it
is	VBZ	be
for	IN	for
you	PP	you
to	TO	to
kind	NN	kind
of	IN	of
say	NN	say
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
goal	NN	goal
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
own	VB	own
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
keep	VB	keep
coming	VBG	come
back	RB	back
to	TO	to
it	PP	it
.	SENT	.
WPR	NP	WPR
:	:	:
Have	VBP	have
some	DT	some
sort	NN	sort
of	IN	of
partner	NN	partner
,	,	,
even	RB	even
if	IN	if
that	DT	that
partner	NN	partner
is	VBZ	be
yourself	PP	yourself
,	,	,
your	PP$	your
future	JJ	future
self	NN	self
.	SENT	.
MJ	NP	MJ
:	:	:
Right	NN	right
.	SENT	.
WPR	NN	WPR
:	:	:
Well	RB	well
,	,	,
Meg	NP	Meg
,	,	,
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
today	NN	today
,	,	,
for	IN	for
your	PP$	your
for	IN	for
your	PP$	your
talk	NN	talk
and	CC	and
for	IN	for
sharing	VBG	share
so	RB	so
much	RB	much
of	IN	of
your	PP$	your
wisdom	NN	wisdom
around	IN	around
these	DT	these
questions	NNS	question
and	CC	and
your	PP$	your
20s	NNS	20s
,	,	,
and	CC	and
so	RB	so
much	RB	much
more	RBR	more
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
MJ	NP	MJ
:	:	:
Yeah	RB	yeah
,	,	,
my	PP$	my
pleasure	NN	pleasure
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
fun	NN	fun
.	SENT	.
