June	NP	June
here	RB	here
.	SENT	.
We	PP	we
create	VBP	create
our	PP$	our
"	``	"
others	NNS	other
.	SENT	.
"	''	"
As	IN	as
parents	NNS	parent
,	,	,
as	IN	as
neighbors	NNS	neighbor
,	,	,
as	IN	as
citizens	NNS	citizen
,	,	,
we	PP	we
witness	VBP	witness
and	CC	and
sometimes	RB	sometimes
ignore	VB	ignore
each	DT	each
other	JJ	other
into	IN	into
being	VBG	be
.	SENT	.
You	PP	you
were	VBD	be
not	RB	not
born	VBN	bear
vengeful	JJ	vengeful
.	SENT	.
I	PP	I
have	VBP	have
some	DT	some
role	NN	role
in	IN	in
whatever	WDT	whatever
thirst	NN	thirst
you	PP	you
now	RB	now
feel	VBP	feel
for	IN	for
revenge	NN	revenge
,	,	,
and	CC	and
that	DT	that
thirst	NN	thirst
now	RB	now
tempts	VBZ	tempt
me	PP	me
to	TO	to
plot	VB	plot
ever	RB	ever
more	RBR	more
elaborate	VB	elaborate
escapes	NNS	escape
from	IN	from
our	PP$	our
common	JJ	common
life	NN	life
,	,	,
from	IN	from
the	DT	the
schools	NNS	school
and	CC	and
neighborhoods	NNS	neighborhood
and	CC	and
airports	NNS	airport
and	CC	and
amusement	NN	amusement
parks	NNS	park
that	IN	that
we	PP	we
used	VBD	use
to	TO	to
share	NN	share
.	SENT	.
We	PP	we
face	VBP	face
,	,	,
then	RB	then
,	,	,
a	DT	a
problem	NN	problem
not	RB	not
of	IN	of
these	DT	these
large	JJ	large
,	,	,
impersonal	JJ	impersonal
forces	NNS	force
.	SENT	.
We	PP	we
face	VBP	face
a	DT	a
problem	NN	problem
of	IN	of
your	PP$	your
and	CC	and
my	PP$	my
relations	NNS	relation
.	SENT	.
We	PP	we
chose	VBD	choose
ways	NNS	way
of	IN	of
relating	VBG	relate
to	TO	to
each	DT	each
other	JJ	other
that	WDT	that
got	VBD	get
us	PP	us
here	RB	here
.	SENT	.
We	PP	we
can	MD	can
choose	VB	choose
ways	NNS	way
of	IN	of
relating	VBG	relate
that	DT	that
get	VB	get
us	PP	us
out	RP	out
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
things	NNS	thing
we	PP	we
might	MD	might
have	VB	have
to	TO	to
let	VB	let
go	VB	go
of	IN	of
,	,	,
fellow	JJ	fellow
citizen	NN	citizen
,	,	,
starting	VBG	start
with	IN	with
our	PP$	our
own	JJ	own
cherished	JJ	cherished
versions	NNS	version
of	IN	of
reality	NN	reality
.	SENT	.
Imagine	VB	imagine
if	IN	if
you	PP	you
let	VBP	let
go	VB	go
of	IN	of
fantasies	NNS	fantasy
of	IN	of
a	DT	a
society	NN	society
purged	VBN	purge
of	IN	of
these	DT	these
or	CC	or
those	DT	those
people	NNS	people
.	SENT	.
Imagine	VB	imagine
if	IN	if
I	PP	I
let	VBP	let
go	VB	go
of	IN	of
my	PP$	my
habit	NN	habit
of	IN	of
saving	VBG	save
the	DT	the
world	NN	world
behind	IN	behind
your	PP$	your
back	NN	back
,	,	,
of	IN	of
deliberating	VBG	deliberate
on	IN	on
the	DT	the
future	NN	future
of	IN	of
your	PP$	your
work	NN	work
,	,	,
your	PP$	your
food	NN	food
,	,	,
your	PP$	your
schools	NNS	school
,	,	,
in	IN	in
places	NNS	place
where	WRB	where
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
past	JJ	past
security	NN	security
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
this	DT	this
only	JJ	only
if	IN	if
we	PP	we
first	RB	first
accept	VBP	accept
that	IN	that
we	PP	we
have	VBP	have
neglected	VBN	neglect
each	DT	each
other	JJ	other
.	SENT	.
If	IN	if
there	EX	there
is	VBZ	be
hope	NN	hope
to	TO	to
summon	VB	summon
in	IN	in
this	DT	this
ominous	JJ	ominous
hour	NN	hour
,	,	,
it	PP	it
is	VBZ	be
this	DT	this
.	SENT	.
We	PP	we
have	VBP	have
,	,	,
for	IN	for
too	RB	too
long	JJ	long
,	,	,
chased	VBD	chase
various	JJ	various
shimmering	VBG	shimmer
dreams	NNS	dream
at	IN	at
the	DT	the
cost	NN	cost
of	IN	of
attention	NN	attention
to	TO	to
the	DT	the
foundational	JJ	foundational
dream	NN	dream
of	IN	of
each	DT	each
other	JJ	other
,	,	,
the	DT	the
dream	NN	dream
of	IN	of
tending	VBG	tend
to	TO	to
each	DT	each
other	JJ	other
,	,	,
of	IN	of
unleashing	VBG	unleash
each	DT	each
other	JJ	other
'	POS	'
s	NN	S
wonders	NNS	wonder
,	,	,
of	IN	of
moving	VBG	move
through	IN	through
history	NN	history
together	RB	together
.	SENT	.
We	PP	we
could	MD	could
dare	VB	dare
to	TO	to
commit	VB	commit
to	TO	to
the	DT	the
dream	NN	dream
of	IN	of
each	DT	each
other	JJ	other
as	IN	as
the	DT	the
thing	NN	thing
that	WDT	that
matters	VBZ	matter
before	IN	before
every	DT	every
neon	NN	neon
thing	NN	thing
.	SENT	.
Let	VB	let
us	PP	us
dare	VB	dare
.	SENT	.
Sincerely	RB	sincerely
yours	PP	yours
,	,	,
a	DT	a
fellow	JJ	fellow
citizen	NN	citizen
.	SENT	.
