Now	RB	now
police	NN	police
,	,	,
because	IN	because
police	NN	police
,	,	,
equally	RB	equally
,	,	,
were	VBD	be
prisoners	NNS	prisoner
of	IN	of
their	PP$	their
minds	NNS	mind
,	,	,
and	CC	and
they	PP	they
felt	VBD	feel
as	RB	as
if	IN	if
it	PP	it
was	VBD	be
"	``	"
we	PP	we
"	''	"
and	CC	and
"	``	"
they	PP	they
,	,	,
"	''	"
and	CC	and
that	IN	that
the	DT	the
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
cooperate	VB	cooperate
.	SENT	.
This	DT	this
worked	VBD	work
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
feedback	NN	feedback
box	NN	box
called	VBD	call
a	DT	a
petition	NN	petition
box	NN	box
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
concept	NN	concept
which	WDT	which
I	PP	I
introduced	VBD	introduce
to	TO	to
listen	VB	listen
to	TO	to
complaints	NNS	complaint
,	,	,
listen	VBP	listen
to	TO	to
grievances	NNS	grievance
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
magic	JJ	magic
box	NN	box
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
sensitive	JJ	sensitive
box	NN	box
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
a	DT	a
prisoner	NN	prisoner
drew	VBD	draw
how	WRB	how
they	PP	they
felt	VBD	feel
about	IN	about
the	DT	the
prison	NN	prison
.	SENT	.
If	IN	if
you	PP	you
see	VBP	see
somebody	NN	somebody
in	IN	in
the	DT	the
blue	JJ	blue
â	NP	<unknown>
yeah	RB	yeah
,	,	,
this	DT	this
guy	NN	guy
â	NP	<unknown>
he	PP	he
was	VBD	be
a	DT	a
prisoner	NN	prisoner
,	,	,
and	CC	and
he	PP	he
was	VBD	be
a	DT	a
teacher	NN	teacher
.	SENT	.
And	CC	and
you	PP	you
see	VBP	see
,	,	,
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
busy	JJ	busy
.	SENT	.
There	EX	there
was	VBD	be
no	DT	no
time	NN	time
to	TO	to
waste	VB	waste
.	SENT	.
Let	VB	let
me	PP	me
wrap	VB	wrap
it	PP	it
up	RP	up
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
currently	RB	currently
into	IN	into
movements	NNS	movement
,	,	,
movements	NNS	movement
of	IN	of
education	NN	education
of	IN	of
the	DT	the
under-served	JJ	under-served
children	NNS	child
,	,	,
which	WDT	which
is	VBZ	be
thousands	NNS	thousand
â	NP	<unknown>
India	NP	India
is	VBZ	be
all	RB	all
about	IN	about
thousands	NNS	thousand
.	SENT	.
Secondly	RB	secondly
is	VBZ	be
about	RB	about
the	DT	the
anti-corruption	NN	anti-corruption
movement	NN	movement
in	IN	in
India	NP	India
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
way	NN	way
we	PP	we
,	,	,
as	IN	as
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
activists	NNS	activist
,	,	,
have	VBP	have
drafted	VBN	draft
an	DT	an
ombudsman	NN	ombudsman
bill	NN	bill
for	IN	for
the	DT	the
government	NN	government
of	IN	of
India	NP	India
.	SENT	.
Friends	NNS	friend
,	,	,
you	PP	you
will	MD	will
hear	VB	hear
a	DT	a
lot	NN	lot
about	IN	about
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
movement	NN	movement
at	IN	at
the	DT	the
moment	NN	moment
I	PP	I
'	POS	'
m	NN	m
driving	NN	driving
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
movement	NN	movement
and	CC	and
ambition	NN	ambition
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
