Tonight	RB	tonight
desperate	JJ	desperate
to	TO	to
try	VB	try
to	TO	to
,	,	,
kind	NN	kind
of	IN	of
,	,	,
float	VB	float
the	DT	the
boats	NNS	boat
into	IN	into
the	DT	the
remaining	VBG	remain
pools	NNS	pool
of	IN	of
water	NN	water
,	,	,
but	CC	but
they	PP	they
finally	RB	finally
had	VBD	have
to	TO	to
give	VB	give
up	RP	up
because	IN	because
the	DT	the
piers	NNS	pier
and	CC	and
the	DT	the
moorings	NNS	mooring
simply	RB	simply
couldn	NN	<unknown>
'	POS	'
t	NN	t
keep	VB	keep
up	RP	up
with	IN	with
the	DT	the
retreating	VBG	retreat
shoreline	NN	shoreline
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	IN	about
you	PP	you
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
terrified	VBD	terrify
that	IN	that
future	JJ	future
archaeologists	NNS	archaeologist
will	MD	will
dig	VB	dig
this	DT	this
up	RP	up
and	CC	and
write	VB	write
stories	NNS	story
about	IN	about
our	PP$	our
time	NN	time
in	IN	in
history	NN	history
,	,	,
and	CC	and
wonder	VBP	wonder
,	,	,
"	''	"
What	WP	what
were	VBD	be
you	PP	you
thinking	JJ	thinking
?	SENT	?
"	''	"
Well	RB	well
,	,	,
that	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
future	NN	future
we	PP	we
have	VBP	have
to	TO	to
look	VB	look
forward	RB	forward
to	TO	to
.	SENT	.
We	PP	we
already	RB	already
use	VBP	use
about	RB	about
50	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Earth	NN	earth
'	POS	'
s	JJ	<unknown>
fresh	JJ	fresh
water	NN	water
that	RB	that
'	POS	'
s	NNS	<unknown>
sustainable	JJ	sustainable
,	,	,
and	CC	and
agriculture	NN	agriculture
alone	RB	alone
is	VBZ	be
70	CD	@card@
percent	NN	percent
of	IN	of
that	DT	that
.	SENT	.
So	RB	so
we	PP	we
use	VBP	use
a	DT	a
lot	NN	lot
of	IN	of
water	NN	water
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
land	NN	land
for	IN	for
agriculture	NN	agriculture
.	SENT	.
We	PP	we
also	RB	also
use	VBP	use
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
atmosphere	NN	atmosphere
for	IN	for
agriculture	NN	agriculture
.	SENT	.
Usually	RB	usually
when	WRB	when
we	PP	we
think	VBP	think
about	IN	about
the	DT	the
atmosphere	NN	atmosphere
,	,	,
we	PP	we
think	VBP	think
about	IN	about
climate	NN	climate
change	NN	change
and	CC	and
greenhouse	NN	greenhouse
gases	NNS	gas
,	,	,
and	CC	and
mostly	RB	mostly
around	IN	around
energy	NN	energy
,	,	,
but	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
agriculture	NN	agriculture
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
emitters	NNS	emitter
of	IN	of
greenhouse	NN	greenhouse
gases	NNS	gas
too	RB	too
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
carbon	NN	carbon
dioxide	NN	dioxide
from	IN	from
burning	VBG	burn
tropical	JJ	tropical
rainforest	NN	rainforest
,	,	,
or	CC	or
methane	NN	methane
coming	VBG	come
from	IN	from
cows	NNS	cow
and	CC	and
rice	NN	rice
,	,	,
or	CC	or
nitrous	JJ	nitrous
oxide	NN	oxide
from	IN	from
too	RB	too
many	JJ	many
fertilizers	NNS	fertilizer
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
agriculture	NN	agriculture
is	VBZ	be
30	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
greenhouse	NN	greenhouse
gases	NNS	gas
going	VBG	go
into	IN	into
the	DT	the
atmosphere	NN	atmosphere
from	IN	from
human	JJ	human
activity	NN	activity
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
all	PDT	all
our	PP$	our
transportation	NN	transportation
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
all	PDT	all
our	PP$	our
electricity	NN	electricity
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
all	DT	all
other	JJ	other
manufacturing	NN	manufacturing
,	,	,
in	IN	in
fact	NN	fact
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
single	JJ	single
largest	JJS	large
emitter	NN	emitter
of	IN	of
greenhouse	NN	greenhouse
gases	NNS	gas
of	IN	of
any	DT	any
human	JJ	human
activity	NN	activity
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
talk	NN	talk
about	IN	about
it	PP	it
very	RB	very
much	RB	much
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
this	DT	this
incredible	JJ	incredible
presence	NN	presence
today	NN	today
of	IN	of
agriculture	NN	agriculture
dominating	VBG	dominate
our	PP$	our
planet	NN	planet
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
40	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
land	NN	land
surface	NN	surface
,	,	,
70	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
water	NN	water
we	PP	we
use	VBP	use
,	,	,
30	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
doubled	VBD	double
the	DT	the
flows	NNS	flow
of	IN	of
nitrogen	NN	nitrogen
and	CC	and
phosphorus	NN	phosphorus
around	IN	around
the	DT	the
world	NN	world
simply	RB	simply
by	IN	by
using	VBG	use
fertilizers	NNS	fertilizer
,	,	,
causing	VBG	cause
huge	JJ	huge
problems	NNS	problem
of	IN	of
water	NN	water
quality	NN	quality
from	IN	from
rivers	NNS	river
,	,	,
lakes	NNS	lake
,	,	,
and	CC	and
even	RB	even
oceans	NNS	ocean
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
the	DT	the
single	JJ	single
biggest	JJS	big
driver	NN	driver
of	IN	of
biodiversity	NN	biodiversity
loss	NN	loss
.	SENT	.
So	RB	so
without	IN	without
a	DT	a
doubt	NN	doubt
,	,	,
agriculture	NN	agriculture
is	VBZ	be
the	DT	the
single	JJ	single
most	RBS	most
powerful	JJ	powerful
force	NN	force
unleashed	VBN	unleash
on	IN	on
this	DT	this
planet	NN	planet
since	IN	since
the	DT	the
end	NN	end
of	IN	of
the	DT	the
ice	NN	ice
age	NN	age
.	SENT	.
No	DT	no
question	NN	question
.	SENT	.
And	CC	and
it	PP	it
rivals	VBZ	rival
climate	NN	climate
change	NN	change
in	IN	in
importance	NN	importance
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
both	CC	both
happening	VBG	happen
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
here	RB	here
to	TO	to
remember	VB	remember
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
all	RB	all
bad	JJ	bad
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	DT	that
agriculture	NN	agriculture
'	POS	'
s	NN	S
a	DT	a
bad	JJ	bad
thing	NN	thing
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
completely	RB	completely
depend	VBP	depend
on	IN	on
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
optional	JJ	optional
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
luxury	NN	luxury
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
absolute	JJ	absolute
necessity	NN	necessity
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
provide	VB	provide
food	NN	food
and	CC	and
feed	NN	feed
and	CC	and
,	,	,
yeah	RB	yeah
,	,	,
fiber	NN	fiber
and	CC	and
even	RB	even
biofuels	NNS	biofuel
to	TO	to
something	NN	something
like	IN	like
seven	CD	seven
billion	NN	billion
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
today	NN	today
,	,	,
and	CC	and
if	IN	if
anything	NN	anything
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
the	DT	the
demands	NNS	demand
on	IN	on
agriculture	NN	agriculture
increase	NN	increase
into	IN	into
the	DT	the
future	NN	future
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
away	RB	away
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
get	VB	get
a	DT	a
lot	NN	lot
bigger	JJR	big
,	,	,
mainly	RB	mainly
because	IN	because
of	IN	of
growing	VBG	grow
population	NN	population
.	SENT	.
We	PP	we
'	''	'
re	IN	re
seven	CD	seven
billion	NN	billion
people	NNS	people
today	NN	today
heading	VBG	head
towards	IN	towards
at	IN	at
least	JJS	least
nine	CD	nine
,	,	,
probably	RB	probably
nine	CD	nine
and	CC	and
a	DT	a
half	NN	half
before	IN	before
we	PP	we
'	POS	'
re	NN	re
done	VBN	do
.	SENT	.
More	RBR	more
importantly	RB	importantly
,	,	,
changing	VBG	change
diets	NNS	diet
.	SENT	.
As	IN	as
the	DT	the
world	NN	world
becomes	VBZ	become
wealthier	JJR	wealthy
as	IN	as
well	RB	well
as	RB	as
more	RBR	more
populous	JJ	populous
,	,	,
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
increases	NNS	increase
in	IN	in
dietary	JJ	dietary
consumption	NN	consumption
of	IN	of
meat	NN	meat
,	,	,
which	WDT	which
take	VBP	take
a	DT	a
lot	NN	lot
more	JJR	more
resources	NNS	resource
than	IN	than
a	DT	a
vegetarian	JJ	vegetarian
diet	NN	diet
does	VBZ	do
.	SENT	.
So	IN	so
more	JJR	more
people	NNS	people
,	,	,
eating	VBG	eat
more	JJR	more
stuff	NN	stuff
,	,	,
and	CC	and
richer	JJR	rich
stuff	NN	stuff
,	,	,
and	CC	and
of	IN	of
course	NN	course
having	VBG	have
an	DT	an
energy	NN	energy
crisis	NN	crisis
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
to	TO	to
replace	VB	replace
oil	NN	oil
with	IN	with
other	JJ	other
energy	NN	energy
sources	NNS	source
that	WDT	that
will	MD	will
ultimately	RB	ultimately
have	VB	have
to	TO	to
include	VB	include
some	DT	some
kinds	NNS	kind
of	IN	of
biofuels	NNS	biofuel
and	CC	and
bio-energy	NN	bio-energy
sources	NNS	source
.	SENT	.
So	RB	so
you	PP	you
put	VBD	put
these	DT	these
together	RB	together
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
hard	JJ	hard
to	TO	to
see	VB	see
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
century	NN	century
without	IN	without
at	IN	at
least	JJS	least
doubling	VBG	double
global	JJ	global
agricultural	JJ	agricultural
production	NN	production
.	SENT	.
Well	RB	well
,	,	,
how	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
do	VB	do
this	DT	this
?	SENT	?
How	WRB	how
are	VBP	be
going	VBG	go
to	TO	to
double	VB	double
global	JJ	global
ag	NN	ag
production	NN	production
around	IN	around
the	DT	the
world	NN	world
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
could	MD	could
try	VB	try
to	TO	to
farm	VB	farm
more	JJR	more
land	NN	land
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
analysis	NN	analysis
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
,	,	,
where	WRB	where
on	IN	on
the	DT	the
left	NN	left
is	VBZ	be
where	WRB	where
the	DT	the
crops	NNS	crop
are	VBP	be
today	NN	today
,	,	,
on	IN	on
the	DT	the
right	NN	right
is	VBZ	be
where	WRB	where
they	PP	they
could	MD	could
be	VB	be
based	VBN	base
on	IN	on
soils	NNS	soil
and	CC	and
climate	NN	climate
,	,	,
assuming	VBG	assume
climate	NN	climate
change	NN	change
doesn	NN	<unknown>
'	POS	'
t	NN	t
disrupt	VB	disrupt
too	RB	too
much	RB	much
of	IN	of
this	DT	this
,	,	,
which	WDT	which
is	VBZ	be
not	RB	not
a	DT	a
good	JJ	good
assumption	NN	assumption
.	SENT	.
We	PP	we
could	MD	could
farm	VB	farm
more	JJR	more
land	NN	land
,	,	,
but	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
the	DT	the
remaining	VBG	remain
lands	NNS	land
are	VBP	be
in	IN	in
sensitive	JJ	sensitive
areas	NNS	area
.	SENT	.
They	PP	they
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
biodiversity	NN	biodiversity
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
carbon	NN	carbon
,	,	,
things	NNS	thing
we	PP	we
want	VBP	want
to	TO	to
protect	VB	protect
.	SENT	.
So	RB	so
we	PP	we
could	MD	could
grow	VB	grow
more	JJR	more
food	NN	food
by	IN	by
expanding	VBG	expand
farmland	NN	farmland
,	,	,
but	CC	but
we	PP	we
'	POS	'
d	NN	d
better	RBR	well
not	RB	not
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
ecologically	RB	ecologically
a	DT	a
very	JJ	very
,	,	,
very	RB	very
dangerous	JJ	dangerous
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
maybe	RB	maybe
want	VBP	want
to	TO	to
freeze	VB	freeze
the	DT	the
footprint	NN	footprint
of	IN	of
agriculture	NN	agriculture
and	CC	and
farm	VB	farm
the	DT	the
lands	NNS	land
we	PP	we
have	VBP	have
better	RBR	well
.	SENT	.
This	DT	this
is	VBZ	be
work	NN	work
that	IN	that
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
to	TO	to
try	VB	try
to	TO	to
highlight	VB	highlight
places	NNS	place
in	IN	in
the	DT	the
world	NN	world
where	WRB	where
we	PP	we
could	MD	could
improve	VB	improve
yields	NNS	yield
without	IN	without
harming	VBG	harm
the	DT	the
environment	NN	environment
.	SENT	.
The	DT	the
green	JJ	green
areas	NNS	area
here	RB	here
show	VBP	show
where	WRB	where
corn	NN	corn
yields	NNS	yield
,	,	,
just	RB	just
showing	VBG	show
corn	NN	corn
as	IN	as
an	DT	an
example	NN	example
,	,	,
are	VBP	be
already	RB	already
really	RB	really
high	JJ	high
,	,	,
probably	RB	probably
the	DT	the
maximum	NN	maximum
you	PP	you
could	MD	could
find	VB	find
on	IN	on
Earth	NN	earth
today	NN	today
for	IN	for
that	DT	that
climate	NN	climate
and	CC	and
soil	NN	soil
,	,	,
but	CC	but
the	DT	the
brown	JJ	brown
areas	NNS	area
and	CC	and
yellow	JJ	yellow
areas	NNS	area
are	VBP	be
places	NNS	place
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
only	RB	only
getting	VBG	get
maybe	RB	maybe
20	CD	@card@
or	CC	or
30	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
yield	NN	yield
you	PP	you
should	MD	should
be	VB	be
able	JJ	able
to	TO	to
get	VB	get
.	SENT	.
You	PP	you
see	VBP	see
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
in	IN	in
Africa	NP	Africa
,	,	,
even	RB	even
Latin	NP	Latin
America	NP	America
,	,	,
but	CC	but
interestingly	RB	interestingly
,	,	,
Eastern	NP	Eastern
Europe	NP	Europe
,	,	,
where	WRB	where
Soviet	NP	Soviet
Union	NP	Union
and	CC	and
Eastern	NP	Eastern
Bloc	NP	Bloc
countries	NNS	country
used	VBN	use
to	TO	to
be	VB	be
,	,	,
is	VBZ	be
still	RB	still
a	DT	a
mess	NN	mess
agriculturally	RB	agriculturally
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
would	MD	would
require	VB	require
nutrients	NNS	nutrient
and	CC	and
water	NN	water
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
either	RB	either
be	VB	be
organic	JJ	organic
or	CC	or
conventional	JJ	conventional
or	CC	or
some	DT	some
mix	NN	mix
of	IN	of
the	DT	the
two	CD	two
to	TO	to
deliver	VB	deliver
that	DT	that
.	SENT	.
Plants	NNS	plant
need	VBP	need
water	NN	water
and	CC	and
nutrients	NNS	nutrient
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
do	VB	do
this	DT	this
,	,	,
and	CC	and
there	EX	there
are	VBP	be
opportunities	NNS	opportunity
to	TO	to
make	VB	make
this	DT	this
work	NN	work
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
sensitive	JJ	sensitive
to	TO	to
meeting	VBG	meet
the	DT	the
food	NN	food
security	NN	security
needs	VBZ	need
of	IN	of
the	DT	the
future	NN	future
and	CC	and
the	DT	the
environmental	JJ	environmental
security	NN	security
needs	VBZ	need
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
make	VB	make
this	DT	this
tradeoff	NN	tradeoff
between	IN	between
growing	VBG	grow
food	NN	food
and	CC	and
having	VBG	have
a	DT	a
healthy	JJ	healthy
environment	NN	environment
work	NN	work
better	RBR	well
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
an	DT	an
all-or-nothing	NN	all-or-nothing
proposition	NN	proposition
.	SENT	.
We	PP	we
can	MD	can
grow	VB	grow
food	NN	food
in	IN	in
the	DT	the
background	NN	background
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
soybean	NN	soybean
field	NN	field
—	:	-
and	CC	and
in	IN	in
this	DT	this
flower	NN	flower
diagram	NN	diagram
,	,	,
it	PP	it
shows	VBZ	show
we	PP	we
grow	VB	grow
a	DT	a
lot	NN	lot
of	IN	of
food	NN	food
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
lot	NN	lot
clean	JJ	clean
water	NN	water
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
storing	VBG	store
a	DT	a
lot	NN	lot
of	IN	of
carbon	NN	carbon
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
biodiversity	NN	biodiversity
.	SENT	.
In	IN	in
the	DT	the
foreground	NN	foreground
,	,	,
we	PP	we
have	VBP	have
this	DT	this
prairie	NN	prairie
that	RB	that
'	POS	'
s	NNS	<unknown>
wonderful	JJ	wonderful
from	IN	from
the	DT	the
environmental	JJ	environmental
side	NN	side
,	,	,
but	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
eat	VB	eat
anything	NN	anything
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
there	RB	there
to	TO	to
eat	VB	eat
?	SENT	?
We	PP	we
need	VBP	need
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
bring	VB	bring
both	DT	both
of	IN	of
those	DT	those
together	RB	together
into	IN	into
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
agriculture	NN	agriculture
that	WDT	that
brings	VBZ	bring
them	PP	them
all	RB	all
together	RB	together
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
I	PP	I
talk	VBP	talk
about	IN	about
this	DT	this
,	,	,
people	NNS	people
often	RB	often
tell	VBP	tell
me	PP	me
,	,	,
"	``	"
Well	UH	well
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
blank	NN	blank
the	DT	the
answer	NN	answer
?	SENT	?
"	''	"
—	:	-
organic	JJ	organic
food	NN	food
,	,	,
local	JJ	local
food	NN	food
,	,	,
GMOs	NP	<unknown>
,	,	,
new	JJ	new
trade	NN	trade
subsidies	NNS	subsidy
,	,	,
new	JJ	new
farm	NN	farm
bills	NNS	bill
—	:	-
and	CC	and
yeah	RB	yeah
,	,	,
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
good	JJ	good
ideas	NNS	idea
here	RB	here
,	,	,
but	CC	but
not	RB	not
any	DT	any
one	CD	one
of	IN	of
these	DT	these
is	VBZ	be
a	DT	a
silver	JJ	silver
bullet	NN	bullet
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
what	WP	what
I	PP	I
think	VBP	think
they	PP	they
are	VBP	be
is	VBZ	be
more	JJR	more
like	IN	like
silver	JJ	silver
buckshot	NN	buckshot
.	SENT	.
And	CC	and
I	PP	I
love	VBP	love
silver	JJ	silver
buckshot	NN	buckshot
.	SENT	.
You	PP	you
put	VBD	put
it	PP	it
together	RB	together
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
something	NN	something
really	RB	really
powerful	JJ	powerful
,	,	,
but	CC	but
we	PP	we
need	VBP	need
to	TO	to
put	VB	put
them	PP	them
together	RB	together
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
,	,	,
I	PP	I
think	VBP	think
,	,	,
is	VBZ	be
invent	VB	invent
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
agriculture	NN	agriculture
that	WDT	that
blends	VBZ	blend
the	DT	the
best	JJS	good
ideas	NNS	idea
of	IN	of
commercial	JJ	commercial
agriculture	NN	agriculture
and	CC	and
the	DT	the
green	JJ	green
revolution	NN	revolution
with	IN	with
the	DT	the
best	JJS	good
ideas	NNS	idea
of	IN	of
organic	JJ	organic
farming	NN	farming
and	CC	and
local	JJ	local
food	NN	food
and	CC	and
the	DT	the
best	JJS	good
ideas	NNS	idea
of	IN	of
environmental	JJ	environmental
conservation	NN	conservation
,	,	,
not	RB	not
to	TO	to
have	VB	have
them	PP	them
fighting	VBG	fight
each	DT	each
other	JJ	other
but	CC	but
to	TO	to
have	VB	have
them	PP	them
collaborating	VBG	collaborate
together	RB	together
to	TO	to
form	VB	form
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
agriculture	NN	agriculture
,	,	,
something	NN	something
I	PP	I
call	VBP	call
"	``	"
terraculture	NN	terraculture
,	,	,
"	''	"
or	CC	or
farming	VBG	farm
for	IN	for
a	DT	a
whole	JJ	whole
planet	NN	planet
.	SENT	.
Now	RB	now
,	,	,
having	VBG	have
this	DT	this
conversation	NN	conversation
has	VBZ	have
been	VBN	be
really	RB	really
hard	JJ	hard
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
very	RB	very
hard	JJ	hard
to	TO	to
bring	VB	bring
these	DT	these
key	JJ	key
points	NNS	point
to	TO	to
people	NNS	people
to	TO	to
reduce	VB	reduce
the	DT	the
controversy	NN	controversy
,	,	,
to	TO	to
increase	VB	increase
the	DT	the
collaboration	NN	collaboration
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
a	DT	a
short	JJ	short
video	NN	video
that	WDT	that
does	VBZ	do
kind	NN	kind
of	IN	of
show	NN	show
our	PP$	our
efforts	NNS	effort
right	RB	right
now	RB	now
to	TO	to
bring	VB	bring
these	DT	these
sides	NNS	side
together	RB	together
into	IN	into
a	DT	a
single	JJ	single
conversation	NN	conversation
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
show	VB	show
you	PP	you
that	DT	that
.	SENT	.
(	(	(
"	``	"
The	DT	the
world	NN	world
population	NN	population
is	VBZ	be
growing	VBG	grow
by	IN	by
75	CD	@card@
million	CD	million
people	NNS	people
each	DT	each
year	NN	year
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
almost	RB	almost
the	DT	the
size	NN	size
of	IN	of
Germany	NP	Germany
.	SENT	.
Today	NN	today
,	,	,
we	PP	we
'	POS	'
re	NN	re
nearing	VBG	near
7	CD	@card@
billion	NN	billion
people	NNS	people
.	SENT	.
At	IN	at
this	DT	this
rate	NN	rate
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
reach	VBP	reach
9	CD	@card@
billion	NN	billion
people	NNS	people
by	IN	by
2040	CD	@card@
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
need	VBP	need
food	NN	food
.	SENT	.
But	CC	but
how	WRB	how
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
feed	VBP	feed
a	DT	a
growing	VBG	grow
world	NN	world
without	IN	without
destroying	VBG	destroy
the	DT	the
planet	NN	planet
?	SENT	?
We	PP	we
already	RB	already
know	VBP	know
climate	NN	climate
change	NN	change
is	VBZ	be
a	DT	a
big	JJ	big
problem	NN	problem
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
only	JJ	only
problem	NN	problem
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
face	VB	face
'	''	'
the	DT	the
other	JJ	other
inconvenient	JJ	inconvenient
truth	NN	truth
.	SENT	.
'	''	'
A	DT	a
global	JJ	global
crisis	NN	crisis
in	IN	in
agriculture	NN	agriculture
.	SENT	.
Population	NN	population
growth	NN	growth
+	SYM	+
meat	NN	meat
consumption	NN	consumption
+	SYM	+
dairy	NN	dairy
consumption	NN	consumption
+	SYM	+
energy	NN	energy
costs	NNS	cost
+	SYM	+
bioenergy	JJ	<unknown>
production	NN	production
=	SYM	=
stress	NN	stress
on	IN	on
natural	JJ	natural
resources	NNS	resource
.	SENT	.
More	JJR	more
than	IN	than
40	CD	@card@
%	NN	%
of	IN	of
Earth	NP	Earth
'	POS	'
s	NN	S
land	NN	land
has	VBZ	have
been	VBN	be
cleared	VBN	clear
for	IN	for
agriculture	NN	agriculture
.	SENT	.
Global	JJ	global
croplands	NNS	cropland
cover	VBP	cover
16	CD	@card@
million	CD	million
km��	NN	<unknown>
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
almost	RB	almost
the	DT	the
size	NN	size
of	IN	of
South	NP	South
America	NP	America
.	SENT	.
Global	JJ	global
pastures	NNS	pasture
cover	VBP	cover
30	CD	@card@
million	CD	million
km��	NN	<unknown>
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
size	NN	size
of	IN	of
Africa	NP	Africa
.	SENT	.
Agriculture	NP	Agriculture
uses	VBZ	use
60	CD	@card@
times	NNS	time
more	JJR	more
land	NN	land
than	IN	than
urban	JJ	urban
and	CC	and
suburban	JJ	suburban
areas	NNS	area
combined	VBN	combine
.	SENT	.
Irrigation	NN	irrigation
is	VBZ	be
the	DT	the
biggest	JJS	big
use	NN	use
of	IN	of
water	NN	water
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
We	PP	we
use	VBP	use
2	CD	@card@
,	,	,
800	CD	@card@
cubic	JJ	cubic
kilometers	NNS	kilometer
of	IN	of
water	NN	water
on	IN	on
crops	NNS	crop
every	DT	every
year	NN	year
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
enough	RB	enough
to	TO	to
fill	VB	fill
7	CD	@card@
,	,	,
305	CD	@card@
Empire	NP	Empire
State	NP	State
Buildings	NNS	building
every	DT	every
day	NN	day
.	SENT	.
Today	NN	today
,	,	,
many	JJ	many
large	JJ	large
rivers	NNS	river
have	VBP	have
reduced	VBN	reduce
flows	NNS	flow
.	SENT	.
Some	DT	some
dry	NN	dry
up	RB	up
altogether	RB	altogether
.	SENT	.
Look	VB	look
at	IN	at
