Most	JJS	most
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
experiment	NN	experiment
we	PP	we
did	VBD	do
where	WRB	where
we	PP	we
filmed	VBD	film
a	DT	a
bag	NN	bag
of	IN	of
candy	NN	candy
while	IN	while
a	DT	a
nearby	JJ	nearby
loudspeaker	NN	loudspeaker
played	VBD	play
the	DT	the
same	JJ	same
"	``	"
Mary	NP	Mary
Had	VBD	have
a	DT	a
Little	NP	Little
Lamb	NP	Lamb
"	''	"
music	NN	music
from	IN	from
before	RB	before
,	,	,
but	CC	but
this	DT	this
time	NN	time
,	,	,
we	PP	we
used	VBD	use
just	RB	just
a	DT	a
regular	JJ	regular
store-bought	JJ	store-bought
camera	NN	camera
,	,	,
and	CC	and
so	RB	so
in	IN	in
a	DT	a
second	JJ	second
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
play	VBP	play
for	IN	for
you	PP	you
the	DT	the
sound	VBP	sound
that	IN	that
we	PP	we
recovered	VBD	recover
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
sound	VB	sound
distorted	JJ	distorted
this	DT	this
time	NN	time
,	,	,
but	CC	but
listen	VB	listen
and	CC	and
see	VB	see
if	IN	if
you	PP	you
can	MD	can
still	RB	still
recognize	VB	recognize
the	DT	the
music	NN	music
.	SENT	.
And	CC	and
so	RB	so
,	,	,
again	RB	again
,	,	,
that	WDT	that
sounds	VBZ	sound
distorted	JJ	distorted
,	,	,
but	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
amazing	JJ	amazing
here	RB	here
is	VBZ	be
that	IN	that
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
with	IN	with
something	NN	something
that	IN	that
you	PP	you
could	MD	could
literally	RB	literally
run	VB	run
out	RP	out
and	CC	and
pick	VB	pick
up	RP	up
at	IN	at
a	DT	a
Best	JJS	good
Buy	NN	buy
.	SENT	.
So	RB	so
at	IN	at
this	DT	this
point	NN	point
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
see	VBP	see
this	DT	this
work	NN	work
,	,	,
and	CC	and
they	PP	they
immediately	RB	immediately
think	VBP	think
about	IN	about
surveillance	NN	surveillance
.	SENT	.
And	CC	and
to	TO	to
be	VB	be
fair	JJ	fair
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
hard	JJ	hard
to	TO	to
imagine	VB	imagine
how	WRB	how
you	PP	you
might	MD	might
use	VB	use
this	DT	this
technology	NN	technology
to	TO	to
spy	VB	spy
on	IN	on
someone	NN	someone
.	SENT	.
But	CC	but
keep	VB	keep
in	IN	in
mind	NN	mind
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
already	RB	already
a	DT	a
lot	NN	lot
of	IN	of
very	RB	very
mature	JJ	mature
technology	NN	technology
out	RB	out
there	RB	there
for	IN	for
surveillance	NN	surveillance
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
people	NNS	people
have	VBP	have
been	VBN	be
using	VBG	use
lasers	NNS	laser
to	TO	to
eavesdrop	VB	eavesdrop
on	IN	on
objects	NNS	object
from	IN	from
a	DT	a
distance	NN	distance
for	IN	for
decades	NNS	decade
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
new	JJ	new
here	RB	here
,	,	,
what	WP	what
'	POS	'
s	NN	S
really	RB	really
different	JJ	different
,	,	,
is	VBZ	be
that	IN	that
now	RB	now
we	PP	we
have	VBP	have
a	DT	a
way	NN	way
to	TO	to
picture	VB	picture
the	DT	the
vibrations	NN	vibrations
of	IN	of
an	DT	an
object	NN	object
,	,	,
which	WDT	which
gives	VBZ	give
us	PP	us
a	DT	a
new	JJ	new
lens	NN	lens
through	IN	through
which	WDT	which
to	TO	to
look	VB	look
at	IN	at
the	DT	the
world	NN	world
,	,	,
and	CC	and
we	PP	we
can	MD	can
use	VB	use
that	DT	that
lens	NN	lens
to	TO	to
learn	VB	learn
not	RB	not
just	RB	just
about	IN	about
forces	NNS	force
like	IN	like
sound	NN	sound
that	WDT	that
cause	VBP	cause
an	DT	an
object	NN	object
to	TO	to
vibrate	VB	vibrate
,	,	,
but	CC	but
also	RB	also
about	IN	about
the	DT	the
object	NN	object
itself	PP	itself
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
a	DT	a
step	NN	step
back	RB	back
and	CC	and
think	VB	think
about	RB	about
how	WRB	how
that	DT	that
might	MD	might
change	VB	change
the	DT	the
ways	NNS	way
that	WDT	that
we	PP	we
use	VBP	use
video	NN	video
,	,	,
because	IN	because
we	PP	we
usually	RB	usually
use	VBP	use
video	NN	video
to	TO	to
look	VB	look
at	IN	at
things	NNS	thing
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
shown	VBN	show
you	PP	you
how	WRB	how
we	PP	we
can	MD	can
use	VB	use
it	PP	it
to	TO	to
listen	VB	listen
to	TO	to
things	NNS	thing
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
important	JJ	important
way	NN	way
that	IN	that
we	PP	we
learn	VBP	learn
about	IN	about
the	DT	the
world	NN	world
:	:	:
that	WDT	that
'	POS	'
s	NN	S
by	IN	by
interacting	VBG	interact
with	IN	with
it	PP	it
.	SENT	.
We	PP	we
push	VB	push
and	CC	and
pull	VB	pull
and	CC	and
poke	VB	poke
and	CC	and
prod	VB	prod
things	NNS	thing
.	SENT	.
We	PP	we
shake	VBP	shake
things	NNS	thing
and	CC	and
see	VB	see
what	WP	what
happens	VBZ	happen
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
video	JJ	video
still	JJ	still
won	NN	won
'	POS	'
t	NN	t
let	VBD	let
us	PP	us
do	VBP	do
,	,	,
at	IN	at
least	JJS	least
not	RB	not
traditionally	RB	traditionally
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
some	DT	some
new	JJ	new
work	NN	work
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
based	VBN	base
on	IN	on
an	DT	an
idea	NN	idea
I	PP	I
had	VBD	have
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
actually	RB	actually
the	DT	the
first	JJ	first
time	NN	time
I	NP	I
'	POS	'
ve	RB	<unknown>
shown	VBN	show
it	PP	it
to	TO	to
a	DT	a
public	JJ	public
audience	NN	audience
.	SENT	.
And	CC	and
the	DT	the
basic	JJ	basic
idea	NN	idea
is	VBZ	be
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
use	VB	use
the	DT	the
vibrations	NN	vibrations
in	IN	in
a	DT	a
video	NN	video
to	TO	to
capture	VB	capture
objects	NNS	object
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
will	MD	will
let	VB	let
us	PP	us
interact	VB	interact
with	IN	with
them	PP	them
and	CC	and
see	VB	see
how	WRB	how
they	PP	they
react	VBP	react
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
object	NN	object
,	,	,
and	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
wire	NN	wire
figure	NN	figure
in	IN	in
the	DT	the
shape	NN	shape
of	IN	of
a	DT	a
human	JJ	human
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
film	VB	film
that	DT	that
object	NN	object
with	IN	with
just	RB	just
a	DT	a
regular	JJ	regular
camera	NN	camera
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
special	JJ	special
about	IN	about
this	DT	this
camera	NN	camera
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
actually	RB	actually
done	VBN	do
this	DT	this
with	IN	with
my	PP$	my
cell	NN	cell
phone	NN	phone
before	RB	before
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
want	VB	want
to	TO	to
see	VB	see
the	DT	the
object	NN	object
vibrate	VB	vibrate
,	,	,
so	RB	so
to	TO	to
make	VB	make
that	DT	that
happen	VB	happen
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
going	VBG	go
to	TO	to
bang	VB	bang
a	DT	a
little	JJ	little
bit	NN	bit
on	IN	on
the	DT	the
surface	NN	surface
where	WRB	where
it	PP	it
'	POS	'
s	NNS	<unknown>
resting	VBG	rest
while	IN	while
we	PP	we
record	VB	record
this	DT	this
video	NN	video
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
it	PP	it
:	:	:
just	RB	just
five	CD	five
seconds	NNS	second
of	IN	of
regular	JJ	regular
video	NN	video
,	,	,
while	IN	while
we	PP	we
bang	VBP	bang
on	IN	on
this	DT	this
surface	NN	surface
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
use	VB	use
the	DT	the
vibrations	NN	vibrations
in	IN	in
that	DT	that
video	NN	video
to	TO	to
learn	VB	learn
about	IN	about
the	DT	the
structural	JJ	structural
and	CC	and
material	JJ	material
properties	NNS	property
of	IN	of
our	PP$	our
object	NN	object
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
use	VB	use
that	DT	that
information	NN	information
to	TO	to
create	VB	create
something	NN	something
new	JJ	new
and	CC	and
interactive	JJ	interactive
.	SENT	.
And	CC	and
so	RB	so
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
created	VBD	create
.	SENT	.
And	CC	and
it	PP	it
looks	VBZ	look
like	IN	like
a	DT	a
regular	JJ	regular
image	NN	image
,	,	,
but	CC	but
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
an	DT	an
image	NN	image
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
video	NN	video
,	,	,
because	IN	because
now	RB	now
I	PP	I
can	MD	can
take	VB	take
my	PP$	my
mouse	NN	mouse
and	CC	and
I	PP	I
can	MD	can
start	VB	start
interacting	VBG	interact
with	IN	with
the	DT	the
object	NN	object
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
a	DT	a
simulation	NN	simulation
of	IN	of
how	WRB	how
this	DT	this
object	NN	object
would	MD	would
respond	VB	respond
to	TO	to
new	JJ	new
forces	NNS	force
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
never	RB	never
seen	VBN	see
before	IN	before
,	,	,
and	CC	and
we	PP	we
created	VBD	create
it	PP	it
from	IN	from
just	RB	just
five	CD	five
seconds	NNS	second
of	IN	of
regular	JJ	regular
video	NN	video
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
powerful	JJ	powerful
way	NN	way
to	TO	to
look	VB	look
at	IN	at
the	DT	the
world	NN	world
,	,	,
because	IN	because
it	PP	it
lets	VBZ	let
us	PP	us
predict	VBP	predict
how	WRB	how
objects	NNS	object
will	MD	will
respond	VB	respond
to	TO	to
new	JJ	new
situations	NNS	situation
,	,	,
and	CC	and
you	PP	you
could	MD	could
imagine	VB	imagine
,	,	,
for	IN	for
instance	NN	instance
,	,	,
looking	VBG	look
at	IN	at
an	DT	an
old	JJ	old
bridge	NN	bridge
and	CC	and
wondering	VBG	wonder
what	WP	what
would	MD	would
happen	VB	happen
,	,	,
how	WRB	how
would	MD	would
that	DT	that
bridge	NN	bridge
hold	VB	hold
up	RP	up
if	IN	if
I	PP	I
were	VBD	be
to	TO	to
drive	VB	drive
my	PP$	my
car	NN	car
across	IN	across
it	PP	it
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
question	NN	question
that	IN	that
you	PP	you
probably	RB	probably
want	VBP	want
to	TO	to
answer	VB	answer
before	IN	before
you	PP	you
start	VBP	start
driving	VBG	drive
across	IN	across
that	DT	that
bridge	NN	bridge
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
limitations	NNS	limitation
to	TO	to
this	DT	this
technique	NN	technique
,	,	,
just	RB	just
like	IN	like
there	EX	there
were	VBD	be
with	IN	with
the	DT	the
visual	JJ	visual
microphone	NN	microphone
,	,	,
but	CC	but
we	PP	we
found	VBD	find
that	IN	that
it	PP	it
works	VBZ	work
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
situations	NNS	situation
that	IN	that
you	PP	you
might	MD	might
not	RB	not
expect	VB	expect
,	,	,
especially	RB	especially
if	IN	if
you	PP	you
give	VBP	give
it	PP	it
longer	JJR	long
videos	NNS	video
.	SENT	.
So	RB	so
for	IN	for
example	NN	example
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
video	NN	video
that	IN	that
I	PP	I
captured	VBD	capture
of	IN	of
a	DT	a
bush	JJ	bush
outside	NN	outside
of	IN	of
my	PP$	my
apartment	NN	apartment
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
anything	NN	anything
to	TO	to
this	DT	this
bush	NN	bush
,	,	,
but	CC	but
by	IN	by
capturing	VBG	capture
a	DT	a
minute-	NN	<unknown>
long	JJ	long
video	NN	video
,	,	,
a	DT	a
gentle	JJ	gentle
breeze	NN	breeze
caused	VBD	cause
enough	JJ	enough
vibrations	NNS	vibration
that	IN	that
we	PP	we
could	MD	could
learn	VB	learn
enough	RB	enough
about	IN	about
this	DT	this
bush	NN	bush
to	TO	to
create	VB	create
this	DT	this
simulation	NN	simulation
.	SENT	.
And	CC	and
so	RB	so
you	PP	you
could	MD	could
imagine	VB	imagine
giving	VBG	give
this	DT	this
to	TO	to
a	DT	a
film	NN	film
director	NN	director
,	,	,
and	CC	and
letting	VBG	let
him	PP	him
control	VBP	control
,	,	,
say	VBP	say
,	,	,
the	DT	the
strength	NN	strength
and	CC	and
direction	NN	direction
of	IN	of
wind	NN	wind
in	IN	in
a	DT	a
shot	NN	shot
after	IN	after
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
recorded	VBN	record
.	SENT	.
Or	CC	or
,	,	,
in	IN	in
this	DT	this
case	NN	case
,	,	,
we	PP	we
pointed	VBD	point
our	PP$	our
camera	NN	camera
at	IN	at
a	DT	a
hanging	VBG	hang
curtain	NN	curtain
,	,	,
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
even	RB	even
see	VBP	see
any	DT	any
motion	NN	motion
in	IN	in
this	DT	this
video	NN	video
,	,	,
but	CC	but
by	IN	by
recording	VBG	record
a	DT	a
two-minute-long	JJ	<unknown>
video	NN	video
,	,	,
natural	JJ	natural
air	NN	air
currents	NNS	current
in	IN	in
this	DT	this
room	NN	room
created	VBD	create
enough	RB	enough
subtle	JJ	subtle
,	,	,
imperceptible	JJ	imperceptible
motions	NNS	motion
and	CC	and
vibrations	NNS	vibration
that	IN	that
we	PP	we
could	MD	could
learn	VB	learn
enough	RB	enough
to	TO	to
create	VB	create
this	DT	this
simulation	NN	simulation
.	SENT	.
And	CC	and
ironically	RB	ironically
,	,	,
we	PP	we
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
used	VBN	use
to	TO	to
having	VBG	have
this	DT	this
kind	NN	kind
of	IN	of
interactivity	NN	interactivity
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
virtual	JJ	virtual
objects	NNS	object
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
video	JJ	video
games	NNS	game
and	CC	and
3D	JJ	3D
models	NNS	model
,	,	,
but	CC	but
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
capture	VB	capture
this	DT	this
information	NN	information
from	IN	from
real	JJ	real
objects	NNS	object
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
using	VBG	use
just	RB	just
simple	JJ	simple
,	,	,
regular	JJ	regular
video	NN	video
,	,	,
is	VBZ	be
something	NN	something
new	JJ	new
that	WDT	that
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
potential	NN	potential
.	SENT	.
So	RB	so
here	RB	here
are	VBP	be
the	DT	the
amazing	JJ	amazing
people	NNS	people
who	WP	who
worked	VBD	work
with	IN	with
me	PP	me
on	IN	on
these	DT	these
projects	NNS	project
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
shown	VBN	show
you	PP	you
today	NN	today
is	VBZ	be
only	RB	only
the	DT	the
beginning	NN	beginning
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
just	RB	just
started	VBD	start
to	TO	to
scratch	VB	scratch
the	DT	the
surface	NN	surface
of	IN	of
what	WP	what
you	PP	you
can	MD	can
do	VB	do
with	IN	with
this	DT	this
kind	NN	kind
of	IN	of
imaging	NN	imaging
,	,	,
because	IN	because
it	PP	it
gives	VBZ	give
us	PP	us
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
capture	VB	capture
our	PP$	our
surroundings	NNS	surroundings
with	IN	with
common	JJ	common
,	,	,
accessible	JJ	accessible
technology	NN	technology
.	SENT	.
And	CC	and
so	RB	so
looking	VBG	look
to	TO	to
the	DT	the
future	NN	future
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
really	RB	really
exciting	JJ	exciting
to	TO	to
explore	VB	explore
what	WP	what
this	DT	this
can	MD	can
tell	VB	tell
us	PP	us
about	IN	about
the	DT	the
world	NN	world
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
