Walk	VB	walk
familiar	JJ	familiar
with	IN	with
that	DT	that
kind	NN	kind
of	IN	of
industry	NN	industry
and	CC	and
that	IN	that
also	RB	also
informed	VBN	inform
my	PP$	my
work	NN	work
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
to	TO	to
see	VB	see
China	NP	China
and	CC	and
the	DT	the
scale	NN	scale
at	IN	at
which	WDT	which
it	PP	it
'	POS	'
s	NN	S
evolving	VBG	evolve
,	,	,
is	VBZ	be
quite	RB	quite
something	NN	something
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
the	DT	the
Three	CD	three
Gorges	NNS	gorge
Dam	NP	Dam
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
largest	JJS	large
dam	NN	dam
by	IN	by
50	CD	@card@
percent	NN	percent
ever	RB	ever
attempted	VBD	attempt
by	IN	by
man	NN	man
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
engineers	NNS	engineer
around	IN	around
the	DT	the
world	NN	world
left	VBD	leave
the	DT	the
project	NN	project
because	IN	because
they	PP	they
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
just	RB	just
too	RB	too
big	JJ	big
.	SENT	.
"	''	"
In	IN	in
fact	NN	fact
,	,	,
when	WRB	when
it	PP	it
did	VBD	do
actually	RB	actually
fill	VB	fill
with	IN	with
water	NN	water
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
ago	RB	ago
,	,	,
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
measure	VB	measure
a	DT	a
wobble	NN	wobble
within	IN	within
the	DT	the
earth	NN	earth
as	IN	as
it	PP	it
was	VBD	be
spinning	VBG	spin
.	SENT	.
It	PP	it
took	VBD	take
fifteen	CD	fifteen
days	NNS	day
to	TO	to
fill	VB	fill
it	PP	it
.	SENT	.
So	RB	so
this	DT	this
created	VBD	create
a	DT	a
reservoir	NN	reservoir
600	CD	@card@
kilometers	NNS	kilometer
long	JJ	long
,	,	,
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
reservoirs	NNS	reservoir
ever	RB	ever
created	VBN	create
.	SENT	.
And	CC	and
what	WP	what
was	VBD	be
also	RB	also
one	CD	one
of	IN	of
the	DT	the
bigger	JJR	big
projects	NNS	project
around	IN	around
that	WDT	that
was	VBD	be
moving	VBG	move
13	CD	@card@
full-size	JJ	full-size
cities	NNS	city
up	RB	up
out	RB	out
of	IN	of
the	DT	the
reservoir	NN	reservoir
,	,	,
and	CC	and
flattening	VBG	flatten
all	PDT	all
the	DT	the
buildings	NNS	building
so	IN	so
they	PP	they
could	MD	could
make	VB	make
way	NN	way
for	IN	for
the	DT	the
ships	NNS	ship
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
"	``	"
before	RB	before
and	CC	and
after	IN	after
.	SENT	.
"	``	"
So	IN	so
that	WDT	that
was	VBD	be
before	RB	before
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
like	IN	like
10	CD	@card@
weeks	NNS	week
later	RBR	later
,	,	,
demolished	VBN	demolish
by	IN	by
hand	NN	hand
.	SENT	.
I	PP	I
think	VBP	think
11	CD	@card@
of	IN	of
the	DT	the
buildings	NNS	building
they	PP	they
used	VBD	use
dynamite	NN	dynamite
,	,	,
everything	NN	everything
else	RB	else
was	VBD	be
by	IN	by
hand	NN	hand
.	SENT	.
That	DT	that
was	VBD	be
10	CD	@card@
weeks	NNS	week
later	RBR	later
.	SENT	.
And	CC	and
this	DT	this
gives	VBZ	give
you	PP	you
an	DT	an
idea	NN	idea
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
all	RB	all
the	DT	the
people	NNS	people
who	WP	who
lived	VBD	live
in	IN	in
those	DT	those
homes	NNS	home
,	,	,
were	VBD	be
the	DT	the
ones	NNS	one
that	WDT	that
were	VBD	be
actually	RB	actually
taking	VBG	take
it	PP	it
apart	RP	apart
and	CC	and
working	VBG	work
,	,	,
and	CC	and
getting	VBG	get
paid	VBN	pay
per	IN	per
brick	NN	brick
to	TO	to
take	VB	take
their	PP$	their
cities	NNS	city
apart	RB	apart
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
images	NNS	image
from	IN	from
that	DT	that
.	SENT	.
So	RB	so
I	PP	I
spent	VBD	spend
about	RB	about
three	CD	three
trips	NNS	trip
to	TO	to
the	DT	the
Three	CD	three
Gorges	NNS	gorge
Dam	NP	Dam
,	,	,
looking	VBG	look
at	IN	at
that	DT	that
massive	JJ	massive
transformation	NN	transformation
of	IN	of
a	DT	a
landscape	NN	landscape
.	SENT	.
And	CC	and
it	PP	it
looks	VBZ	look
like	IN	like
a	DT	a
bombed-out	JJ	bombed-out
landscape	NN	landscape
,	,	,
but	CC	but
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
.	SENT	.
What	WP	what
it	PP	it
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
landscape	NN	landscape
that	WDT	that
is	VBZ	be
an	DT	an
intentional	JJ	intentional
one	CD	one
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
need	NN	need
for	IN	for
power	NN	power
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
willing	JJ	willing
to	TO	to
go	VB	go
through	IN	through
this	DT	this
massive	JJ	massive
transformation	NN	transformation
,	,	,
on	IN	on
this	DT	this
scale	NN	scale
,	,	,
to	TO	to
get	VB	get
that	DT	that
power	NN	power
.	SENT	.
And	CC	and
again	RB	again
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
relief	NN	relief
for	IN	for
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
China	NP	China
because	IN	because
I	PP	I
think	VBP	think
on	IN	on
the	DT	the
table	NN	table
right	RB	right
now	RB	now
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
27	CD	@card@
nuclear	JJ	nuclear
power	NN	power
stations	NNS	station
to	TO	to
be	VB	be
built	VBN	build
.	SENT	.
There	RB	there
hasn	NP	<unknown>
'	POS	'
t	NN	t
been	VBN	be
one	CD	one
built	VBN	build
in	IN	in
North	NP	North
America	NP	America
for	IN	for
20	CD	@card@
years	NNS	year
because	IN	because
of	IN	of
the	DT	the
"	``	"
NIMBY	NP	NIMBY
"	''	"
problem	NN	problem
â	NP	<unknown>
"	''	"
Not	RB	not
In	IN	in
My	PP$	my
BackYard	NN	backyard
.	SENT	.
"	''	"
But	CC	but
in	IN	in
China	NP	China
they	PP	they
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
"	``	"
No	UH	no
,	,	,
we	PP	we
'	POS	'
re	NN	re
putting	VBG	put
in	IN	in
27	CD	@card@
in	IN	in
the	DT	the
next	JJ	next
10	CD	@card@
years	NNS	year
.	SENT	.
"	''	"
And	CC	and
coal-burning	NN	coal-burning
furnaces	NNS	furnace
are	VBP	be
going	VBG	go
in	IN	in
there	RB	there
for	IN	for
hydroelectric	JJ	hydroelectric
power	NN	power
literally	RB	literally
weekly	JJ	weekly
.	SENT	.
So	IN	so
coal	NN	coal
itself	PP	itself
is	VBZ	be
probably	RB	probably
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
problems	NNS	problem
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
other	JJ	other
things	NNS	thing
that	WDT	that
happened	VBD	happen
in	IN	in
the	DT	the
Three	CD	three
Gorges	VBZ	gorge
â	NP	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
agricultural	JJ	agricultural
land	NN	land
that	IN	that
you	PP	you
see	VBP	see
there	RB	there
on	IN	on
the	DT	the
left	NN	left
was	VBD	be
also	RB	also
lost	VBN	lose
;	:	;
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
fertile	JJ	fertile
agricultural	JJ	agricultural
land	NN	land
was	VBD	be
lost	VBN	lose
in	IN	in
that	DT	that
.	SENT	.
And	CC	and
1	CD	@card@
.	SENT	.
2	CD	@card@
to	TO	to
2	CD	@card@
million	CD	million
people	NNS	people
were	VBD	be
relocated	VBN	relocate
,	,	,
depending	VBG	depend
on	IN	on
whose	WP$	whose
statistics	NNS	statistic
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
were	VBD	be
building	VBG	build
.	SENT	.
This	DT	this
is	VBZ	be
Wushan	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
cities	NNS	city
that	WDT	that
was	VBD	be
relocated	VBN	relocate
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
town	NN	town
hall	NN	hall
for	IN	for
the	DT	the
city	NN	city
.	SENT	.
And	CC	and
again	RB	again
,	,	,
the	DT	the
rebuilding	NN	rebuilding
of	IN	of
the	DT	the
city	NN	city
â	NP	<unknown>
to	TO	to
me	PP	me
,	,	,
it	PP	it
was	VBD	be
sad	JJ	sad
to	TO	to
see	VB	see
that	IN	that
they	PP	they
didn	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
grab	VB	grab
a	DT	a
lot	NN	lot
of	IN	of
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
what	WP	what
we	PP	we
know	VBP	know
here	RB	here
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
urban	JJ	urban
planning	NN	planning
.	SENT	.
There	EX	there
were	VBD	be
no	DT	no
parks	NNS	park
;	:	;
there	EX	there
were	VBD	be
no	DT	no
green	JJ	green
spaces	NNS	space
.	SENT	.
Very	RB	very
high-density	NN	high-density
living	VBG	live
on	IN	on
the	DT	the
side	NN	side
of	IN	of
a	DT	a
hill	NN	hill
.	SENT	.
And	CC	and
here	RB	here
they	PP	they
had	VBD	have
a	DT	a
chance	NN	chance
to	TO	to
rebuild	VB	rebuild
cities	NNS	city
from	IN	from
the	DT	the
bottom	NN	bottom
up	RB	up
,	,	,
but	CC	but
somehow	RB	somehow
were	VBD	be
not	RB	not
connecting	VBG	connect
with	IN	with
them	PP	them
.	SENT	.
Here	RB	here
is	VBZ	be
a	DT	a
sign	NN	sign
that	IN	that
,	,	,
translated	VBN	translate
,	,	,
says	VBZ	say
,	,	,
"	``	"
Obey	NP	Obey
the	DT	the
birth	NN	birth
control	NN	control
law	NN	law
.	SENT	.
Build	VB	build
our	PP$	our
science	NN	science
,	,	,
civilized	JJ	civilized
and	CC	and
advanced	JJ	advanced
idea	NN	idea
of	IN	of
marriage	NN	marriage
and	CC	and
giving	VBG	give
birth	NN	birth
.	SENT	.
"	''	"
So	RB	so
here	RB	here
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
this	DT	this
poster	NN	poster
,	,	,
it	PP	it
has	VBZ	have
all	PDT	all
the	DT	the
trappings	NNS	trappings
of	IN	of
Western	JJ	Western
culture	NN	culture
.	SENT	.
You	PP	you
'	''	'
re	IN	re
seeing	VBG	see
the	DT	the
tuxedos	NNS	tuxedo
,	,	,
the	DT	the
bouquets	NNS	bouquet
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
,	,	,
to	TO	to
me	PP	me
,	,	,
frightening	JJ	frightening
about	IN	about
the	DT	the
picture	NN	picture
and	CC	and
about	RB	about
this	DT	this
billboard	NN	billboard
is	VBZ	be
the	DT	the
refinery	NN	refinery
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
like	IN	like
marrying	VBG	marry
up	RP	up
all	PDT	all
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
have	VBP	have
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
adaptation	NN	adaptation
of	IN	of
our	PP$	our
way	NN	way
of	IN	of
life	NN	life
,	,	,
full	JJ	full
stop	NN	stop
.	SENT	.
And	CC	and
again	RB	again
,	,	,
when	WRB	when
you	PP	you
start	VBP	start
seeing	VBG	see
that	DT	that
kind	NN	kind
of	IN	of
embrace	NN	embrace
,	,	,
and	CC	and
you	PP	you
start	VBP	start
looking	VBG	look
at	IN	at
them	PP	them
leading	VBG	lead
their	PP$	their
rural	JJ	rural
lifestyle	NN	lifestyle
with	IN	with
a	DT	a
very	JJ	very
,	,	,
very	RB	very
small	JJ	small
footprint	NN	footprint
and	CC	and
moving	VBG	move
into	IN	into
an	DT	an
urban	JJ	urban
lifestyle	NN	lifestyle
with	IN	with
a	DT	a
much	RB	much
higher	JJR	high
footprint	NN	footprint
,	,	,
it	PP	it
starts	VBZ	start
to	TO	to
become	VB	become
very	RB	very
sobering	JJ	sobering
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
shot	NN	shot
in	IN	in
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
squares	NNS	square
in	IN	in
Guangdong	NP	Guangdong
â	NP	<unknown>
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
a	DT	a
lot	NN	lot
of	IN	of
migrant	JJ	migrant
workers	NNS	worker
are	VBP	be
coming	VBG	come
in	IN	in
from	IN	from
the	DT	the
country	NN	country
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
about	IN	about
130	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
migration	NN	migration
trying	VBG	try
to	TO	to
get	VB	get
into	IN	into
urban	JJ	urban
centers	NNS	center
at	IN	at
all	DT	all
times	NNS	time
,	,	,
and	CC	and
in	IN	in
the	DT	the
next	JJ	next
10	CD	@card@
to	TO	to
15	CD	@card@
years	NNS	year
,	,	,
are	VBP	be
expecting	VBG	expect
another	DT	another
400	CD	@card@
to	TO	to
500	CD	@card@
million	CD	million
people	NNS	people
to	TO	to
migrate	VB	migrate
into	IN	into
the	DT	the
urban	JJ	urban
centers	NNS	center
like	IN	like
Shanghai	NP	Shanghai
and	CC	and
the	DT	the
manufacturing	NN	manufacturing
centers	NNS	center
.	SENT	.
The	DT	the
manufacturers	NNS	manufacturer
are	VBP	be
â	NP	<unknown>
the	DT	the
domestics	NNS	domestic
are	VBP	be
usually	RB	usually
â	NP	<unknown>
you	PP	you
can	MD	can
tell	VB	tell
a	DT	a
domestic	JJ	domestic
factory	NN	factory
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
they	PP	they
all	RB	all
use	VBP	use
the	DT	the
same	JJ	same
color	NN	color
uniforms	NNS	uniform
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
pink	JJ	pink
uniform	NN	uniform
at	IN	at
this	DT	this
factory	NN	factory
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
shoe	NN	shoe
factory	NN	factory
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
dorms	NNS	dorm
for	IN	for
the	DT	the
workers	NNS	worker
.	SENT	.
So	RB	so
they	PP	they
bring	VBP	bring
them	PP	them
in	IN	in
from	IN	from
the	DT	the
country	NN	country
and	CC	and
put	VB	put
them	PP	them
up	RP	up
in	IN	in
the	DT	the
dorms	NNS	dorm
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
shoe	NN	shoe
factories	NNS	factory
,	,	,
the	DT	the
Yuyuan	NP	<unknown>
shoe	NN	shoe
factory	NN	factory
near	IN	near
Shenzhen	NP	Shenzhen
.	SENT	.
It	PP	it
has	VBZ	have
90	CD	@card@
,	,	,
000	CD	@card@
employees	NNS	employee
making	VBG	make
shoes	NNS	shoe
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
shift	NN	shift
change	NN	change
,	,	,
one	CD	one
of	IN	of
three	CD	three
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
two	CD	two
factories	NNS	factory
of	IN	of
this	DT	this
scale	NN	scale
in	IN	in
the	DT	the
same	JJ	same
town	NN	town
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
with	IN	with
45	CD	@card@
,	,	,
000	CD	@card@
,	,	,
so	RB	so
every	DT	every
lunch	NN	lunch
,	,	,
there	EX	there
'	''	'
s	NN	S
about	IN	about
12	CD	@card@
,	,	,
000	CD	@card@
coming	VBG	come
through	IN	through
for	IN	for
lunch	NN	lunch
.	SENT	.
They	PP	they
sit	VBP	sit
down	RB	down
;	:	;
they	PP	they
have	VBP	have
about	RB	about
20	CD	@card@
minutes	NNS	minute
.	SENT	.
The	DT	the
next	JJ	next
round	NN	round
comes	VBZ	come
in	IN	in
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
incredible	JJ	incredible
workforce	NN	workforce
that	RB	that
'	POS	'
s	NN	S
building	NN	building
there	RB	there
.	SENT	.
Shanghai	NP	Shanghai
â	NP	<unknown>
I	NP	I
'	POS	'
m	NN	m
looking	VBG	look
at	IN	at
the	DT	the
urban	JJ	urban
renewal	NN	renewal
in	IN	in
Shanghai	NP	Shanghai
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
whole	JJ	whole
area	NN	area
that	WDT	that
will	MD	will
be	VB	be
flattened	VBN	flatten
and	CC	and
turned	VBN	turn
into	IN	into
skyscrapers	NNS	skyscraper
in	IN	in
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
also	RB	also
happening	VBG	happen
in	IN	in
Shanghai	NP	Shanghai
is	VBZ	be
â	NP	<unknown>
China	NP	China
is	VBZ	be
changing	VBG	change
because	IN	because
this	DT	this
wouldn	NN	<unknown>
'	POS	'
t	NN	t
have	VBP	have
happened	VBN	happen
five	CD	five
years	NNS	year
ago	RB	ago
,	,	,
for	IN	for
instance	NN	instance
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
holdout	NN	holdout
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
called	VBD	call
dengzahoos	NP	<unknown>
â	NP	<unknown>
they	PP	they
'	POS	'
re	NN	re
like	IN	like
pin	NN	pin
tacks	NNS	tack
to	TO	to
the	DT	the
ground	NN	ground
.	SENT	.
They	PP	they
won	VBD	win
'	''	'
t	NN	t
move	NN	move
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
negotiating	VBG	negotiate
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
getting	VBG	get
enough	RB	enough
,	,	,
so	IN	so
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
move	VB	move
.	SENT	.
And	CC	and
so	IN	so
they	PP	they
'	''	'
re	IN	re
holding	VBG	hold
off	RP	off
until	IN	until
they	PP	they
get	VBP	get
a	DT	a
deal	NN	deal
with	IN	with
them	PP	them
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
actually	RB	actually
quite	RB	quite
successful	JJ	successful
in	IN	in
getting	VBG	get
better	JJR	good
deals	NNS	deal
because	IN	because
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
getting	VBG	get
a	DT	a
raw	JJ	raw
deal	NN	deal
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
being	VBG	be
put	VBN	put
out	RP	out
about	IN	about
two	CD	two
hours	NNS	hour
â	NP	<unknown>
the	DT	the
communities	NNS	community
that	WDT	that
have	VBP	have
been	VBN	be
around	RB	around
for	IN	for
literally	RB	literally
hundreds	NNS	hundred
of	IN	of
years	NNS	year
,	,	,
or	CC	or
maybe	RB	maybe
even	RB	even
thousands	NNS	thousand
of	IN	of
years	NNS	year
,	,	,
are	VBP	be
being	VBG	be
broken	VBN	break
up	RP	up
and	CC	and
spread	VB	spread
across	RP	across
in	IN	in
the	DT	the
suburban	JJ	suburban
areas	NNS	area
outside	JJ	outside
of	IN	of
Shanghai	NP	Shanghai
.	SENT	.
But	CC	but
these	DT	these
are	VBP	be
a	DT	a
whole	JJ	whole
series	NN	series
of	IN	of
guys	NNS	guy
holding	VBG	hold
out	RP	out
in	IN	in
this	DT	this
reconstruction	NN	reconstruction
of	IN	of
Shanghai	NP	Shanghai
.	SENT	.
Probably	RB	probably
the	DT	the
largest	JJS	large
urban-renewal	JJ	urban-renewal
project	NN	project
,	,	,
I	PP	I
think	VBP	think
,	,	,
ever	RB	ever
attempted	VBN	attempt
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
embrace	NN	embrace
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
they	PP	they
'	''	'
re	IN	re
replacing	VBG	replace
it	PP	it
with	IN	with
â	NP	<unknown>
again	RB	again
,	,	,
one	CD	one
of	IN	of
my	PP$	my
wishes	NNS	wish
,	,	,
and	CC	and
I	PP	I
never	RB	never
ended	VBD	end
up	RP	up
going	VBG	go
there	RB	there
,	,	,
was	VBD	be
to	TO	to
somehow	RB	somehow
tell	VB	tell
them	PP	them
that	IN	that
there	EX	there
were	VBD	be
better	JJR	good
ways	NNS	way
to	TO	to
build	VB	build
a	DT	a
house	NN	house
.	SENT	.
The	DT	the
kinds	NNS	kind
of	IN	of
collisions	NNS	collision
of	IN	of
styles	NNS	style
and	CC	and
things	NNS	thing
were	VBD	be
quite	RB	quite
something	NN	something
,	,	,
and	CC	and
these	DT	these
are	VBP	be
called	VBN	call
the	DT	the
villas	NNS	villa
.	SENT	.
And	CC	and
also	RB	also
,	,	,
like	IN	like
right	RB	right
now	RB	now
,	,	,
they	PP	they
'	POS	'
re	NN	re
just	RB	just
moving	VBG	move
.	SENT	.
The	DT	the
scaffolding	NN	scaffolding
is	VBZ	be
still	RB	still
on	RB	on
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
an	DT	an
e-waste	NP	e-waste
area	NN	area
,	,	,
and	CC	and
if	IN	if
you	PP	you
looked	VBD	look
in	IN	in
the	DT	the
foreground	NN	foreground
on	IN	on
the	DT	the
big	JJ	big
print	NN	print
,	,	,
you	PP	you
'	POS	'
d	NN	d
see	VBP	see
that	IN	that
the	DT	the
industry	NN	industry
â	NP	<unknown>
their	PP$	their
industry	NN	industry
â	NP	<unknown>
they	PP	they
'	''	'
re	IN	re
all	DT	all
recycling	NN	recycling
.	SENT	.
So	IN	so
the	DT	the
industry	NN	industry
'	POS	'
s	NN	S
already	RB	already
growing	VBG	grow
around	IN	around
these	DT	these
new	JJ	new
developments	NNS	development
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
five-level	JJ	five-level
bridge	NN	bridge
in	IN	in
Shanghai	NP	Shanghai
.	SENT	.
Shanghai	NP	Shanghai
was	VBD	be
a	DT	a
very	RB	very
intriguing	JJ	intriguing
city	NN	city
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
exploding	VBG	explode
on	IN	on
a	DT	a
level	NN	level
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
any	DT	any
city	NN	city
has	VBZ	have
experienced	VBN	experience
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
even	RB	even
Shenzhen	NP	Shenzhen
,	,	,
the	DT	the
economic	JJ	economic
zone	NN	zone
â	NP	<unknown>
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
ones	NNS	one
â	NP	<unknown>
15	CD	@card@
years	NNS	year
ago	RB	ago
was	VBD	be
about	RB	about
100	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
,	,	,
and	CC	and
today	NN	today
it	PP	it
boasts	VBZ	boast
about	RB	about
10	CD	@card@
to	TO	to
11	CD	@card@
million	CD	million
.	SENT	.
So	IN	so
that	DT	that
gives	VBZ	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
the	DT	the
kinds	NNS	kind
of	IN	of
migrations	NNS	migration
and	CC	and
the	DT	the
speed	NN	speed
with	IN	with
which	WDT	which
â	NP	<unknown>
this	DT	this
is	VBZ	be
just	RB	just
the	DT	the
taxis	NNS	taxi
being	VBG	be
built	VBN	build
by	IN	by
Volkswagen	NP	Volkswagen
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
9	CD	@card@
,	,	,
000	CD	@card@
of	IN	of
them	PP	them
here	RB	here
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
being	VBG	be
built	VBN	build
for	IN	for
most	JJS	most
of	IN	of
the	DT	the
big	JJ	big
cities	NNS	city
,	,	,
Beijing	NP	Beijing
and	CC	and
Shanghai	NP	Shanghai
,	,	,
Shenzhen	NP	Shenzhen
.	SENT	.
And	CC	and
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
even	RB	even
the	DT	the
domestic	JJ	domestic
car	NN	car
market	NN	market
;	:	;
this	DT	this
is	VBZ	be
the	DT	the
taxi	NN	taxi
market	NN	market
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
would	MD	would
see	VB	see
here	RB	here
as	IN	as
a	DT	a
suburban	JJ	suburban
development	NN	development
â	NP	<unknown>
a	DT	a
similar	JJ	similar
thing	NN	thing
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
all	DT	all
high-rises	NNS	high-rise
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
ll	NN	ll
put	VBD	put
20	CD	@card@
or	CC	or
40	CD	@card@
up	RB	up
at	IN	at
a	DT	a
time	NN	time
,	,	,
and	CC	and
they	PP	they
just	RB	just
go	VBP	go
up	RP	up
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
as	IN	as
a	DT	a
single-family	JJ	single-family
dwelling	NN	dwelling
would	MD	would
go	VB	go
up	RP	up
here	RB	here
in	IN	in
an	DT	an
area	NN	area
.	SENT	.
And	CC	and
the	DT	the
density	NN	density
is	VBZ	be
quite	RB	quite
incredible	JJ	incredible
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
in	IN	in
this	DT	this
picture	NN	picture
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
point	VB	point
out	RP	out
is	VBZ	be
that	IN	that
when	WRB	when
I	PP	I
saw	VBD	see
these	DT	these
kinds	NNS	kind
of	IN	of
buildings	NNS	building
,	,	,
I	PP	I
was	VBD	be
shocked	VBN	shock
to	TO	to
see	VB	see
that	IN	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
using	VBG	use
a	DT	a
central	JJ	central
air-conditioning	NN	air-conditioning
system	NN	system
;	:	;
every	DT	every
window	NN	window
has	VBZ	have
an	DT	an
air	NN	air
conditioner	NN	conditioner
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
there	EX	there
are	VBP	be
people	NNS	people
here	RB	here
who	WP	who
probably	RB	probably
know	VBP	know
better	JJR	good
than	IN	than
I	PP	I
do	VBP	do
about	IN	about
efficiencies	NNS	efficiency
,	,	,
but	CC	but
I	PP	I
can	MD	can
'	''	'
t	NN	t
imagine	VB	imagine
that	IN	that
every	DT	every
apartment	NN	apartment
having	VBG	have
its	PP$	its
own	JJ	own
air	NN	air
conditioner	NN	conditioner
is	VBZ	be
a	DT	a
very	RB	very
efficient	JJ	efficient
way	NN	way
to	TO	to
cool	VB	cool
a	DT	a
building	NN	building
on	IN	on
this	DT	this
scale	NN	scale
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
start	VBP	start
looking	VBG	look
at	IN	at
that	DT	that
,	,	,
and	CC	and
then	RB	then
you	PP	you
start	VBP	start
factoring	VBG	factor
up	RP	up
into	IN	into
a	DT	a
city	NN	city
the	DT	the
size	NN	size
of	IN	of
Shanghai	NP	Shanghai
,	,	,
it	PP	it
'	POS	'
s	NN	S
literally	RB	literally
a	DT	a
forest	NN	forest
of	IN	of
skyscrapers	NNS	skyscraper
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
breathtaking	JJ	breathtaking
,	,	,
