Marisa	NP	Marisa
is	VBZ	be
just	RB	just
so	RB	so
interesting	JJ	interesting
.	SENT	.
Friendship	NN	friendship
is	VBZ	be
,	,	,
it	PP	it
seems	VBZ	seem
such	PDT	such
a	DT	a
unique	JJ	unique
area	NN	area
to	TO	to
research	NN	research
.	SENT	.
And	CC	and
I	PP	I
actually	RB	actually
want	VBP	want
to	TO	to
read	VB	read
something	NN	something
back	RB	back
to	TO	to
you	PP	you
from	IN	from
your	PP$	your
book	NN	book
to	TO	to
help	VB	help
us	PP	us
understand	VB	understand
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
just	RB	just
the	DT	the
importance	NN	importance
of	IN	of
this	DT	this
type	NN	type
of	IN	of
relationship	NN	relationship
.	SENT	.
You	PP	you
say	VBP	say
,	,	,
"	``	"
Friendship	NN	friendship
,	,	,
in	IN	in
releasing	VBG	release
the	DT	the
relationship	NN	relationship
pressure	NN	pressure
valve	NN	valve
,	,	,
infuses	VBZ	infuse
us	PP	us
with	IN	with
joy	NN	joy
like	IN	like
no	DT	no
other	JJ	other
relationship	NN	relationship
.	SENT	.
Without	IN	without
needing	VBG	need
to	TO	to
plan	VB	plan
for	IN	for
retirement	NN	retirement
,	,	,
fulfill	VB	fulfill
each	DT	each
other	JJ	other
'	POS	'
s	JJ	<unknown>
sexual	JJ	sexual
needs	NNS	need
and	CC	and
work	VB	work
out	RP	out
who	WP	who
should	MD	should
be	VB	be
scrubbing	VBG	scrub
the	DT	the
shower	NN	shower
grime	NN	grime
,	,	,
we	PP	we
are	VBP	be
free	JJ	free
to	TO	to
make	VB	make
friendship	NN	friendship
territories	NNS	territory
of	IN	of
pleasure	NN	pleasure
.	SENT	.
"	''	"
So	RB	so
can	MD	can
you	PP	you
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
this	DT	this
and	CC	and
just	RB	just
why	WRB	why
friendship	NN	friendship
holds	VBZ	hold
such	PDT	such
an	DT	an
important	JJ	important
role	NN	role
in	IN	in
all	DT	all
of	IN	of
our	PP$	our
lives	NNS	life
?	SENT	?
MF	NN	MF
:	:	:
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
.	SENT	.
Well	RB	well
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
a	DT	a
step	NN	step
back	RB	back
and	CC	and
say	VBP	say
,	,	,
like	VBP	like
,	,	,
clearly	RB	clearly
,	,	,
connection	NN	connection
is	VBZ	be
so	RB	so
central	JJ	central
to	TO	to
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
research	NN	research
finds	VBZ	find
that	IN	that
,	,	,
for	IN	for
example	NN	example
,	,	,
loneliness	NN	loneliness
is	VBZ	be
more	RBR	more
toxic	JJ	toxic
for	IN	for
your	PP$	your
body	NN	body
than	IN	than
having	VBG	have
a	DT	a
poor	JJ	poor
diet	NN	diet
or	CC	or
not	RB	not
exercising	VBG	exercise
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
things	NNS	thing
that	IN	that
we	PP	we
talk	VBP	talk
about	RB	about
in	IN	in
the	DT	the
public	JJ	public
health	NN	health
conscious	NN	conscious
,	,	,
but	CC	but
we	PP	we
don	NN	don
'	POS	'
t	NN	t
talk	NN	talk
about	IN	about
social	JJ	social
connection	NN	connection
enough	RB	enough
.	SENT	.
Maybe	RB	maybe
for	IN	for
our	PP$	our
UK	NP	UK
folks	NNS	folk
,	,	,
you	PP	you
all	RB	all
have	VBP	have
a	DT	a
prime	JJ	prime
minister	NN	minister
of	IN	of
loneliness	NN	loneliness
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
different	JJ	different
,	,	,
right	RB	right
?	SENT	?
But	CC	but
when	WRB	when
we	PP	we
talk	VBP	talk
about	IN	about
the	DT	the
impact	NN	impact
of	IN	of
loneliness	NN	loneliness
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
actually	RB	actually
three	CD	three
different	JJ	different
dimensions	NNS	dimension
of	IN	of
loneliness	NN	loneliness
.	SENT	.
There	EX	there
is	VBZ	be
intimate	JJ	intimate
loneliness	NN	loneliness
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
desire	NN	desire
for	IN	for
someone	NN	someone
to	TO	to
be	VB	be
very	RB	very
intimate	JJ	intimate
with	IN	with
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
relational	JJ	relational
loneliness	NN	loneliness
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
desire	NN	desire
for	IN	for
someone	NN	someone
that	WDT	that
feels	VBZ	feel
as	RB	as
close	VB	close
to	TO	to
us	PP	us
as	IN	as
a	DT	a
friend	NN	friend
might	MD	might
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NNS	<unknown>
collective	JJ	collective
loneliness	NN	loneliness
,	,	,
which	WDT	which
means	VBZ	mean
I	PP	I
desire	VBP	desire
to	TO	to
be	VB	be
part	NN	part
of	IN	of
a	DT	a
group	NN	group
working	VBG	work
towards	IN	towards
a	DT	a
common	JJ	common
goal	NN	goal
.	SENT	.
And	CC	and
this	DT	this
research	NN	research
on	IN	on
loneliness	NN	loneliness
really	RB	really
suggests	VBZ	suggest
that	IN	that
,	,	,
just	RB	just
like	IN	like
I	PP	I
said	VBD	say
,	,	,
we	PP	we
really	RB	really
do	VBP	do
need	VB	need
an	DT	an
entire	JJ	entire
community	NN	community
to	TO	to
feel	VB	feel
whole	JJ	whole
.	SENT	.
Because	IN	because
if	IN	if
we	PP	we
just	RB	just
focus	VBP	focus
on	IN	on
being	VBG	be
very	RB	very
nuclear	JJ	nuclear
,	,	,
you	PP	you
know	VBP	know
,	,	,
just	RB	just
having	VBG	have
a	DT	a
spouse	NN	spouse
and	CC	and
that	RB	that
being	VBG	be
the	DT	the
center	NN	center
of	IN	of
all	DT	all
of	IN	of
our	PP$	our
connections	NNS	connection
,	,	,
right	RB	right
,	,	,
that	IN	that
'	POS	'
s	NN	S
maybe	RB	maybe
touching	VBG	touch
on	IN	on
our	PP$	our
intimate	JJ	intimate
loneliness	NN	loneliness
,	,	,
but	CC	but
not	RB	not
our	PP$	our
relational	JJ	relational
,	,	,
not	RB	not
our	PP$	our
collective	JJ	collective
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
found	VBD	find
this	DT	this
in	IN	in
the	DT	the
pandemic	NN	pandemic
that	WDT	that
,	,	,
we	PP	we
may	MD	may
have	VB	have
been	VBN	be
home	NN	home
with	IN	with
the	DT	the
spouse	NN	spouse
or	CC	or
partner	NN	partner
that	IN	that
we	PP	we
really	RB	really
loved	VBD	love
a	DT	a
lot	NN	lot
,	,	,
but	CC	but
we	PP	we
still	RB	still
ended	VBD	end
up	RP	up
feeling	VBG	feel
lonely	JJ	lonely
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
as	IN	as
social	JJ	social
species	NNS	specie
,	,	,
as	IN	as
social	JJ	social
creatures	NNS	creature
,	,	,
like	VB	like
,	,	,
we	PP	we
just	RB	just
need	VBP	need
an	DT	an
entire	JJ	entire
community	NN	community
to	TO	to
fulfill	VB	fulfill
us	PP	us
.	SENT	.
WPR	NN	WPR
:	:	:
You	PP	you
touched	VBD	touch
on	IN	on
this	DT	this
a	DT	a
little	JJ	little
bit	NN	bit
in	IN	in
the	DT	the
talk	NN	talk
,	,	,
and	CC	and
in	IN	in
the	DT	the
book	NN	book
,	,	,
you	PP	you
separate	VBP	separate
,	,	,
sort	NN	sort
of	IN	of
,	,	,
the	DT	the
way	NN	way
you	PP	you
think	VBP	think
about	IN	about
friendship	NN	friendship
to	TO	to
two	CD	two
categories	NNS	category
.	SENT	.
You	PP	you
talk	VBP	talk
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
sort	NN	sort
of	IN	of
a	DT	a
backward	JJ	backward
look	NN	look
at	IN	at
how	WRB	how
we	PP	we
'	POS	'
ve	NN	ve
traditionally	RB	traditionally
experienced	VBN	experience
friendship	NN	friendship
,	,	,
and	CC	and
then	RB	then
you	PP	you
look	VBP	look
forward	RB	forward
at	IN	at
how	WRB	how
we	PP	we
could	MD	could
build	VB	build
better	JJR	good
relationships	NNS	relationship
,	,	,
better	JJR	good
platonic	JJ	Platonic
relationships	NNS	relationship
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
could	MD	could
just	RB	just
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
sort	NN	sort
of	IN	of
that	DT	that
first	JJ	first
section	NN	section
,	,	,
just	RB	just
diving	VBG	dive
into	IN	into
how	WRB	how
we	PP	we
as	IN	as
a	DT	a
culture	NN	culture
tend	VBP	tend
to	TO	to
think	VB	think
about	IN	about
friendship	NN	friendship
and	CC	and
how	WRB	how
does	VBZ	do
this	DT	this
really	RB	really
impact	VB	impact
the	DT	the
way	NN	way
that	IN	that
we	PP	we
actually	RB	actually
approach	VBP	approach
it	PP	it
?	SENT	?
MF	NN	MF
:	:	:
Yeah	RB	yeah
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
reading	VBG	read
all	PDT	all
the	DT	the
research	NN	research
on	IN	on
friendship	NN	friendship
,	,	,
and	CC	and
what	WP	what
sort	NN	sort
of	IN	of
materializes	VBZ	materialize
before	IN	before
my	PP$	my
eyes	NNS	eye
is	VBZ	be
that	IN	that
our	PP$	our
personalities	NNS	personality
are	VBP	be
fundamentally	RB	fundamentally
a	DT	a
reflection	NN	reflection
of	IN	of
our	PP$	our
experiences	NNS	experience
of	IN	of
connection	NN	connection
or	CC	or
disconnection	NN	disconnection
,	,	,
right	RB	right
?	SENT	?
Like	IN	like
,	,	,
in	IN	in
some	DT	some
ways	NNS	way
our	PP$	our
personalities	NNS	personality
are	VBP	be
coping	VBG	cope
mechanisms	NNS	mechanism
from	IN	from
the	DT	the
experiences	NNS	experience
of	IN	of
connection	NN	connection
or	CC	or
disconnection	NN	disconnection
we	PP	we
'	POS	'
ve	NN	ve
received	VBD	receive
.	SENT	.
So	RB	so
whether	IN	whether
you	PP	you
are	VBP	be
friendly	JJ	friendly
,	,	,
open	JJ	open
,	,	,
warm	JJ	warm
,	,	,
vulnerable	JJ	vulnerable
,	,	,
trusting	JJ	trusting
,	,	,
cynical	JJ	cynical
,	,	,
aggressive	JJ	aggressive
,	,	,
even	RB	even
violent	JJ	violent
,	,	,
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
predicted	VBN	predict
by	IN	by
what	WP	what
your	PP$	your
history	NN	history
of	IN	of
connection	NN	connection
or	CC	or
lack	NN	lack
thereof	RB	thereof
looks	VBZ	look
like	IN	like
.	SENT	.
So	RB	so
how	WRB	how
we	PP	we
'	POS	'
ve	NNS	<unknown>
connected	VBN	connect
really	RB	really
affects	VBZ	affect
who	WP	who
we	PP	we
are	VBP	be
.	SENT	.
But	CC	but
not	RB	not
only	RB	only
that	IN	that
,	,	,
who	WP	who
we	PP	we
are	VBP	be
really	RB	really
affects	VBZ	affect
how	WRB	how
we	PP	we
connect	VBP	connect
,	,	,
right	RB	right
?	SENT	?
Those	DT	those
people	NNS	people
that	WDT	that
have	VBP	have
that	DT	that
history	NN	history
of	IN	of
healthy	JJ	healthy
relationships	NNS	relationship
,	,	,
they	PP	they
have	VBP	have
an	DT	an
internal	JJ	internal
set	NN	set
of	IN	of
beliefs	NNS	belief
within	IN	within
them	PP	them
that	WDT	that
allows	VBZ	allow
them	PP	them
to	TO	to
continue	VB	continue
to	TO	to
facilitate	VB	facilitate
healthy	JJ	healthy
relationships	NNS	relationship
.	SENT	.
This	DT	this
is	VBZ	be
,	,	,
if	IN	if
people	NNS	people
are	VBP	be
familiar	JJ	familiar
with	IN	with
"	``	"
attachment	NN	attachment
theory	NN	theory
,	,	,
"	``	"
securely	RB	securely
attached	VBN	attach
people	NNS	people
,	,	,
who	WP	who
think	VBP	think
others	NNS	other
can	MD	can
be	VB	be
trusted	VBN	trust
,	,	,
who	WP	who
think	VBP	think
they	PP	they
can	MD	can
be	VB	be
vulnerable	JJ	vulnerable
,	,	,
who	WP	who
think	VBP	think
they	PP	they
can	MD	can
turn	VB	turn
to	TO	to
people	NNS	people
for	IN	for
support	NN	support
,	,	,
right	RB	right
?	SENT	?
And	CC	and
they	PP	they
go	VBP	go
into	IN	into
new	JJ	new
relationships	NNS	relationship
with	IN	with
this	DT	this
set	NN	set
of	IN	of
beliefs	NNS	belief
that	WDT	that
allows	VBZ	allow
them	PP	them
to	TO	to
continue	VB	continue
to	TO	to
create	VB	create
these	DT	these
new	JJ	new
relationships	NNS	relationship
.	SENT	.
Whereas	IN	whereas
people	NNS	people
who	WP	who
have	VBP	have
had	VBN	have
difficult	JJ	difficult
previous	JJ	previous
relationships	NNS	relationship
,	,	,
those	DT	those
can	MD	can
be	VB	be
internalized	VBN	internalize
as	IN	as
a	DT	a
belief	NN	belief
system	NN	system
that	WDT	that
then	RB	then
can	MD	can
impede	VB	impede
their	PP$	their
ability	NN	ability
to	TO	to
foster	VB	foster
further	JJR	further
connections	NNS	connection
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
they	PP	they
may	MD	may
think	VB	think
"	``	"
people	NNS	people
are	VBP	be
going	VBG	go
to	TO	to
reject	VB	reject
me	PP	me
,	,	,
"	''	"
that	IN	that
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
vulnerable	JJ	vulnerable
,	,	,
"	''	"
that	IN	that
"	``	"
I	PP	I
can	MD	can
never	RB	never
feel	VB	feel
safe	JJ	safe
around	IN	around
anybody	NN	anybody
,	,	,
"	''	"
even	RB	even
when	WRB	when
someone	NN	someone
is	VBZ	be
safe	JJ	safe
,	,	,
they	PP	they
'	POS	'
re	NN	re
still	RB	still
holding	VBG	hold
that	DT	that
assumption	NN	assumption
and	CC	and
that	DT	that
judgment	NN	judgment
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	IN	so
what	WP	what
I	PP	I
want	VBP	want
"	``	"
Platonic	JJ	Platonic
"	''	"
to	TO	to
do	VB	do
,	,	,
because	IN	because
I	PP	I
know	VBP	know
some	DT	some
people	NNS	people
hear	VBP	hear
this	DT	this
and	CC	and
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	''	"
Good	JJ	good
for	IN	for
those	DT	those
people	NNS	people
with	IN	with
healthy	JJ	healthy
childhoods	NNS	childhood
,	,	,
you	PP	you
know	VBP	know
,	,	,
whatever	JJ	whatever
.	SENT	.
For	IN	for
me	PP	me
,	,	,
I	PP	I
guess	VBP	guess
I	PP	I
'	''	'
m	NN	m
doomed	VBD	doom
.	SENT	.
"	''	"
Absolutely	RB	absolutely
not	RB	not
.	SENT	.
WPR	NN	WPR
:	:	:
Your	PP$	your
work	NN	work
is	VBZ	be
focused	VBN	focus
specifically	RB	specifically
on	IN	on
adult	NN	adult
friendships	NNS	friendship
,	,	,
which	WDT	which
,	,	,
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
reasons	NNS	reason
you	PP	you
'	POS	'
ve	NN	ve
already	RB	already
outlined	VBN	outline
,	,	,
seem	VBP	seem
like	IN	like
are	VBP	be
just	RB	just
really	RB	really
challenging	JJ	challenging
for	IN	for
us	PP	us
to	TO	to
develop	VB	develop
.	SENT	.
But	CC	but
I	PP	I
guess	VBP	guess
,	,	,
can	MD	can
you	PP	you
talk	VBP	talk
about	RB	about
sort	VB	sort
of	IN	of
,	,	,
why	WRB	why
this	DT	this
breakdown	NN	breakdown
happens	VBZ	happen
and	CC	and
really	RB	really
when	WRB	when
we	PP	we
start	VBP	start
to	TO	to
see	VB	see
that	IN	that
it	PP	it
becomes	VBZ	become
more	RBR	more
difficult	JJ	difficult
for	IN	for
people	NNS	people
to	TO	to
make	VB	make
friends	NNS	friend
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
as	IN	as
you	PP	you
did	VBD	do
when	WRB	when
you	PP	you
were	VBD	be
kids	NNS	kid
?	SENT	?
MF	NN	MF
:	:	:
Yeah	RB	yeah
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
say	VBP	say
friendship	NN	friendship
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
organically	RB	organically
in	IN	in
adulthood	NN	adulthood
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
that	IN	that
friendship	NN	friendship
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
organically	RB	organically
in	IN	in
childhood	NN	childhood
,	,	,
because	IN	because
for	IN	for
children	NNS	child
it	PP	it
often	RB	often
does	VBZ	do
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
certain	JJ	certain
ingredients	NNS	ingredient
in	IN	in
their	PP$	their
environment	NN	environment
that	IN	that
really	RB	really
foster	JJ	foster
friendship	NN	friendship
.	SENT	.
So	IN	so
Rebecca	NP	Rebecca
G	NP	G
.	SENT	.
Adams	NP	Adams
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
a	DT	a
sociologist	NN	sociologist
,	,	,
and	CC	and
she	PP	she
says	VBZ	say
,	,	,
you	PP	you
know	VBP	know
,	,	,
for	IN	for
friendship	NN	friendship
to	TO	to
be	VB	be
fostered	VBN	foster
organically	RB	organically
,	,	,
you	PP	you
need	VBP	need
to	TO	to
have	VB	have
this	DT	this
repeated	JJ	repeated
unplanned	JJ	unplanned
interaction	NN	interaction
and	CC	and
the	DT	the
shared	JJ	shared
vulnerability	NN	vulnerability
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
in	IN	in
school	NN	school
we	PP	we
have	VBP	have
that	DT	that
.	SENT	.
We	PP	we
have	VBP	have
that	DT	that
through	IN	through
our	PP$	our
lunch	NN	lunch
period	NN	period
.	SENT	.
We	PP	we
have	VBP	have
that	DT	that
through	IN	through
our	PP$	our
gym	NN	gym
,	,	,
we	PP	we
have	VBP	have
that	DT	that
through	IN	through
our	PP$	our
recess	NN	recess
,	,	,
right	RB	right
,	,	,
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
people	NNS	people
every	DT	every
day	NN	day
,	,	,
we	PP	we
'	POS	'
re	NN	re
letting	VBG	let
our	PP$	our
guard	NN	guard
down	RB	down
,	,	,
we	PP	we
end	VBP	end
up	RB	up
sort	VB	sort
of	IN	of
just	RB	just
developing	VBG	develop
these	DT	these
friendships	NNS	friendship
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
think	VBP	think
about	IN	about
adults	NNS	adult
going	VBG	go
into	IN	into
the	DT	the
working	VBG	work
worlds	NNS	world
,	,	,
you	PP	you
may	MD	may
have	VB	have
repeated	VBN	repeat
unplanned	JJ	unplanned
interaction	NN	interaction
with	IN	with
your	PP$	your
colleagues	NNS	colleague
,	,	,
less	CC	less
so	RB	so
now	RB	now
that	IN	that
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
more	RBR	more
hybrid	JJ	hybrid
and	CC	and
remote	JJ	remote
workplace	NN	workplace
,	,	,
right	RB	right
?	SENT	?
But	CC	but
we	PP	we
'	POS	'
re	NN	re
often	RB	often
not	RB	not
as	RB	as
vulnerable	JJ	vulnerable
in	IN	in
the	DT	the
workplace	NN	workplace
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
why	WRB	why
one	CD	one
study	NN	study
,	,	,
and	CC	and
again	RB	again
,	,	,
this	DT	this
is	VBZ	be
caveat	NN	caveat
,	,	,
US	NP	US
context	NN	context
,	,	,
one	CD	one
study	NN	study
found	VBD	find
that	IN	that
the	DT	the
more	JJR	more
time	NN	time
people	NNS	people
spend	VBP	spend
together	RB	together
at	IN	at
work	NN	work
,	,	,
the	DT	the
less	RBR	less
close	JJ	close
that	IN	that
they	PP	they
feel	VBP	feel
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
need	VBP	need
to	TO	to
recognize	VB	recognize
that	IN	that
as	IN	as
adults	NNS	adult
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
same	JJ	same
infrastructure	NN	infrastructure
we	PP	we
had	VBD	have
as	RB	as
kids	NNS	kid
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
'	''	'
t	NN	t
rely	VBP	rely
on	IN	on
the	DT	the
same	JJ	same
set	NN	set
of	IN	of
assumptions	NNS	assumption
that	IN	that
,	,	,
oh	UH	oh
,	,	,
this	DT	this
is	VBZ	be
just	RB	just
going	VBG	go
to	TO	to
happen	VB	happen
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
try	VB	try
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
initiate	VB	initiate
.	SENT	.
Because	IN	because
as	IN	as
I	PP	I
shared	VBD	share
from	IN	from
that	DT	that
previous	JJ	previous
research	NN	research
study	NN	study
,	,	,
if	IN	if
we	PP	we
think	VBP	think
that	DT	that
way	NN	way
,	,	,
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
us	PP	us
,	,	,
it	PP	it
won	VBD	win
'	''	'
t	NN	t
happen	VB	happen
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
I	PP	I
think	VBP	think
also	RB	also
just	RB	just
in	IN	in
thinking	VBG	think
about	IN	about
what	WP	what
friendship	NN	friendship
brings	VBZ	bring
to	TO	to
the	DT	the
table	NN	table
for	IN	for
you	PP	you
,	,	,
how	WRB	how
it	PP	it
benefits	VBZ	benefit
you	PP	you
,	,	,
you	PP	you
have	VBP	have
this	DT	this
phrase	NN	phrase
in	IN	in
your	PP$	your
book	NN	book
where	WRB	where
you	PP	you
say	VBP	say
,	,	,
"	''	"
Connecting	VBG	connect
to	TO	to
others	NNS	other
makes	VBZ	make
us	PP	us
ourselves	PP	ourselves
.	SENT	.
"	``	"
And	CC	and
it	PP	it
'	POS	'
s	NN	S
about	IN	about
much	RB	much
more	JJR	more
than	IN	than
just	RB	just
the	DT	the
pleasure	NN	pleasure
of	IN	of
connection	NN	connection
there	RB	there
.	SENT	.
Can	MD	can
you	PP	you
explain	VB	explain
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
that	DT	that
?	SENT	?
MF	NN	MF
:	:	:
Yeah	RB	yeah
.	SENT	.
So	IN	so
Harry	NP	Harry
Stack	NP	Stack
Sullivan	NP	Sullivan
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
a	DT	a
psychiatrist	NN	psychiatrist
,	,	,
and	CC	and
he	PP	he
has	VBZ	have
this	DT	this
theory	NN	theory
called	VBD	call
the	DT	the
"	``	"
theory	NN	theory
of	IN	of
chums	NNS	chum
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
basically	RB	basically
that	IN	that
our	PP$	our
chums	NNS	chum
or	CC	or
our	PP$	our
friends	NNS	friend
earlier	RBR	earlier
in	IN	in
life	NN	life
,	,	,
they	PP	they
provide	VBP	provide
us	PP	us
with	IN	with
the	DT	the
sort	NN	sort
of	IN	of
relationship	NN	relationship
template	NN	template
that	IN	that
we	PP	we
take	VBP	take
on	IN	on
into	IN	into
our	PP$	our
future	NN	future
.	SENT	.
So	RB	so
it	PP	it
allows	VBZ	allow
us	PP	us
to	TO	to
continue	VB	continue
to	TO	to
connect	VB	connect
throughout	IN	throughout
life	NN	life
,	,	,
right	RB	right
?	SENT	?
And	CC	and
there	EX	there
is	VBZ	be
some	DT	some
research	NN	research
that	WDT	that
finds	VBZ	find
that	IN	that
if	IN	if
we	PP	we
connect	VBP	connect
in	IN	in
childhood	NN	childhood
,	,	,
we	PP	we
have	VBP	have
good	JJ	good
friends	NNS	friend
in	IN	in
childhood	NN	childhood
,	,	,
we	PP	we
have	VBP	have
higher	JJR	high
self-esteem	NN	self-esteem
in	IN	in
adulthood	NN	adulthood
,	,	,
we	PP	we
'	POS	'
re	NN	re
more	RBR	more
empathic	JJ	empathic
in	IN	in
adulthood	NN	adulthood
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	IN	so
he	PP	he
kind	NN	kind
of	IN	of
argues	VBZ	argue
that	IN	that
the	DT	the
therapy	NN	therapy
experience	NN	experience
is	VBZ	be
similar	JJ	similar
to	TO	to
the	DT	the
chumship	NN	<unknown>
experience	NN	experience
,	,	,
in	IN	in
that	DT	that
with	IN	with
your	PP$	your
friends	NNS	friend
,	,	,
you	PP	you
share	VBP	share
things	NNS	thing
that	IN	that
you	PP	you
feel	VBP	feel
like	IN	like
you	PP	you
should	MD	should
be	VB	be
ashamed	JJ	ashamed
of	IN	of
,	,	,
right	RB	right
?	SENT	?
And	CC	and
when	WRB	when
you	PP	you
are	VBP	be
ashamed	JJ	ashamed
of	IN	of
something	NN	something
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
integrating	VBG	integrate
it	PP	it
into	IN	into
your	PP$	your
entire	JJ	entire
personality	NN	personality
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
push	VB	push
it	PP	it
away	RP	away
and	CC	and
suppress	VB	suppress
it	PP	it
and	CC	and
not	RB	not
make	VB	make
it	PP	it
who	WP	who
you	PP	you
are	VBP	be
.	SENT	.
And	CC	and
the	DT	the
shame	NN	shame
can	MD	can
really	RB	really
take	VB	take
over	RP	over
your	PP$	your
whole	JJ	whole
personality	NN	personality
because	IN	because
you	PP	you
'	''	'
re	IN	re
pushing	VBG	push
away	RP	away
this	DT	this
part	NN	part
of	IN	of
who	WP	who
you	PP	you
are	VBP	be
that	IN	that
you	PP	you
think	VBP	think
is	VBZ	be
shameful	JJ	shameful
.	SENT	.
But	CC	but
then	RB	then
so	RB	so
much	JJ	much
of	IN	of
your	PP$	your
personality	NN	personality
is	VBZ	be
spent	VBN	spend
focusing	VBG	focus
on	IN	on
making	VBG	make
sure	JJ	sure
nobody	NN	nobody
finds	VBZ	find
out	RP	out
this	DT	this
thing	NN	thing
,	,	,
right	RB	right
?	SENT	?
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NN	S
why	WRB	why
shame	NN	shame
can	MD	can
be	VB	be
so	RB	so
encompassing	VBG	encompass
and	CC	and
enveloping	VBG	envelop
.	SENT	.
But	CC	but
what	WP	what
Stack	NP	Stack
Sullivan	NP	Sullivan
argues	VBZ	argue
,	,	,
is	VBZ	be
that	IN	that
when	WRB	when
kids	NNS	kid
share	VBP	share
this	DT	this
shame	NN	shame
with	IN	with
their	PP$	their
friends	NNS	friend
and	CC	and
their	PP$	their
friends	NNS	friend
are	VBP	be
like	JJ	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
still	RB	still
love	VBP	love
you	PP	you
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
big	JJ	big
deal	NN	deal
for	IN	for
us	PP	us
,	,	,
right	RB	right
?	SENT	?
And	CC	and
we	PP	we
still	RB	still
think	VBP	think
you	PP	you
'	''	'
re	IN	re
amazing	JJ	amazing
and	CC	and
we	PP	we
accept	VBP	accept
that	IN	that
about	IN	about
you	PP	you
,	,	,
right	RB	right
?	SENT	?
We	PP	we
begin	VBP	begin
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
accept	VB	accept
it	PP	it
in	IN	in
ourselves	PP	ourselves
and	CC	and
to	TO	to
bring	VB	bring
whatever	WDT	whatever
we	PP	we
felt	VBD	feel
shame	NN	shame
about	RB	about
,	,	,
to	TO	to
see	VB	see
it	PP	it
