So	IN	so
and	CC	and
Charles	NP	Charles
Babbage	NP	<unknown>
,	,	,
you	PP	you
know	VBP	know
,	,	,
gets	VBZ	get
out	RP	out
his	PP$	his
machine	NN	machine
.	SENT	.
The	DT	the
Duke	NP	Duke
of	IN	of
Wellington	NP	Wellington
is	VBZ	be
there	RB	there
,	,	,
you	PP	you
know	VBP	know
,	,	,
get	VBP	get
out	RP	out
the	DT	the
machine	NN	machine
,	,	,
obviously	RB	obviously
demonstrates	VBZ	demonstrate
it	PP	it
,	,	,
and	CC	and
she	PP	she
gets	VBZ	get
it	PP	it
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
person	NN	person
in	IN	in
his	PP$	his
lifetime	NN	lifetime
,	,	,
really	RB	really
,	,	,
who	WP	who
said	VBD	say
,	,	,
"	``	"
I	PP	I
understand	VBP	understand
what	WP	what
this	DT	this
does	VBZ	do
,	,	,
and	CC	and
I	PP	I
understand	VBP	understand
the	DT	the
future	NN	future
of	IN	of
this	DT	this
machine	NN	machine
.	SENT	.
"	``	"
And	CC	and
we	PP	we
owe	VBP	owe
to	TO	to
her	PP	her
an	DT	an
enormous	JJ	enormous
amount	NN	amount
because	IN	because
we	PP	we
know	VBP	know
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
machine	NN	machine
that	IN	that
Babbage	NP	<unknown>
was	VBD	be
intending	VBG	intend
to	TO	to
build	VB	build
because	IN	because
of	IN	of
her	PP	her
.	SENT	.
Now	RB	now
,	,	,
some	DT	some
people	NNS	people
call	VBP	call
her	PP	her
the	DT	the
first	JJ	first
programmer	NN	programmer
.	SENT	.
This	DT	this
is	VBZ	be
actually	RB	actually
from	IN	from
one	PP	one
of	IN	of
—	:	-
the	DT	the
paper	NN	paper
that	IN	that
she	PP	she
translated	VBD	translate
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
program	NN	program
written	VBN	write
in	IN	in
a	DT	a
particular	JJ	particular
style	NN	style
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
,	,	,
historically	RB	historically
,	,	,
totally	RB	totally
accurate	JJ	accurate
that	IN	that
she	PP	she
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
programmer	NN	programmer
,	,	,
and	CC	and
actually	RB	actually
,	,	,
she	PP	she
did	VBD	do
something	NN	something
more	RBR	more
amazing	JJ	amazing
.	SENT	.
Rather	RB	rather
than	IN	than
just	RB	just
being	VBG	be
a	DT	a
programmer	NN	programmer
,	,	,
she	PP	she
saw	VBD	see
something	NN	something
that	IN	that
Babbage	NP	<unknown>
didn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Babbage	NN	<unknown>
was	VBD	be
totally	RB	totally
obsessed	VBN	obsess
with	IN	with
mathematics	NNS	mathematics
.	SENT	.
He	PP	he
was	VBD	be
building	VBG	build
a	DT	a
machine	NN	machine
to	TO	to
do	VB	do
mathematics	NNS	mathematics
,	,	,
and	CC	and
Lovelace	NP	Lovelace
said	VBD	say
,	,	,
"	``	"
You	PP	you
could	MD	could
do	VB	do
more	JJR	more
than	IN	than
mathematics	NNS	mathematics
on	IN	on
this	DT	this
machine	NN	machine
.	SENT	.
"	''	"
And	CC	and
just	RB	just
as	IN	as
you	PP	you
do	VBP	do
,	,	,
everyone	NN	everyone
in	IN	in
this	DT	this
room	NN	room
already	RB	already
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
computer	NN	computer
on	IN	on
them	PP	them
right	RB	right
now	RB	now
,	,	,
because	IN	because
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
phone	NN	phone
.	SENT	.
If	IN	if
you	PP	you
go	VBP	go
into	IN	into
that	DT	that
phone	NN	phone
,	,	,
every	DT	every
single	JJ	single
thing	NN	thing
in	IN	in
that	DT	that
phone	NN	phone
or	CC	or
computer	NN	computer
or	CC	or
any	DT	any
other	JJ	other
computing	NN	computing
device	NN	device
is	VBZ	be
mathematics	NN	mathematics
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	DT	all
numbers	NNS	number
at	IN	at
the	DT	the
bottom	NN	bottom
.	SENT	.
Whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
video	NN	video
or	CC	or
text	NN	text
or	CC	or
music	NN	music
or	CC	or
voice	NN	voice
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	DT	all
numbers	NNS	number
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
,	,	,
underlying	VBG	underlie
it	PP	it
,	,	,
mathematical	JJ	mathematical
functions	NNS	function
happening	VBG	happen
,	,	,
and	CC	and
Lovelace	NP	Lovelace
said	VBD	say
,	,	,
"	``	"
Just	RB	just
because	IN	because
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
mathematical	JJ	mathematical
functions	NNS	function
and	CC	and
symbols	NNS	symbol
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VB	mean
these	DT	these
things	NNS	thing
can	MD	can
'	''	'
t	NN	t
represent	VBP	represent
other	JJ	other
things	NNS	thing
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
,	,	,
such	JJ	such
as	IN	as
music	NN	music
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
a	DT	a
huge	JJ	huge
leap	NN	leap
,	,	,
because	IN	because
Babbage	NP	<unknown>
is	VBZ	be
there	RB	there
saying	VBG	say
,	,	,
"	``	"
We	PP	we
could	MD	could
compute	VB	compute
these	DT	these
amazing	JJ	amazing
functions	NNS	function
and	CC	and
print	VB	print
out	RP	out
tables	NNS	table
of	IN	of
numbers	NNS	number
and	CC	and
draw	NN	draw
graphs	NNS	graph
,	,	,
"	``	"
—	:	-
—	:	-
and	CC	and
Lovelace	NP	Lovelace
is	VBZ	be
there	RB	there
and	CC	and
she	PP	she
says	VBZ	say
,	,	,
"	``	"
Look	VB	look
,	,	,
this	DT	this
thing	NN	thing
could	MD	could
even	RB	even
compose	VB	compose
music	NN	music
if	IN	if
you	PP	you
told	VBD	tell
it	PP	it
a	DT	a
representation	NN	representation
of	IN	of
music	NN	music
numerically	RB	numerically
.	SENT	.
"	''	"
So	RB	so
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
call	VBP	call
Lovelace	NP	Lovelace
'	POS	'
s	JJ	<unknown>
Leap	NP	Leap
.	SENT	.
When	WRB	when
you	PP	you
say	VBP	say
she	PP	she
'	''	'
s	VBG	<unknown>
a	DT	a
programmer	NN	programmer
,	,	,
she	PP	she
did	VBD	do
do	VB	do
some	DT	some
,	,	,
but	CC	but
the	DT	the
real	JJ	real
thing	NN	thing
is	VBZ	be
to	TO	to
have	VB	have
said	VBN	say
the	DT	the
future	NN	future
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
much	JJ	much
,	,	,
much	RB	much
more	JJR	more
than	IN	than
this	DT	this
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
hundred	CD	hundred
years	NNS	year
later	RBR	later
,	,	,
this	DT	this
guy	NN	guy
comes	VBZ	come
along	RP	along
,	,	,
Alan	NP	Alan
Turing	NP	Turing
,	,	,
and	CC	and
in	IN	in
1936	CD	@card@
,	,	,
and	CC	and
invents	VBZ	invent
the	DT	the
computer	NN	computer
all	RB	all
over	IN	over
again	RB	again
.	SENT	.
Now	RB	now
,	,	,
of	IN	of
course	NN	course
,	,	,
Babbage	NP	<unknown>
'	POS	'
s	NN	S
machine	NN	machine
was	VBD	be
entirely	RB	entirely
mechanical	JJ	mechanical
.	SENT	.
Turing	NP	Turing
'	POS	'
s	NN	S
machine	NN	machine
was	VBD	be
entirely	RB	entirely
theoretical	JJ	theoretical
.	SENT	.
Both	CC	both
of	IN	of
these	DT	these
guys	NNS	guy
were	VBD	be
coming	VBG	come
from	IN	from
a	DT	a
mathematical	JJ	mathematical
perspective	NN	perspective
,	,	,
but	CC	but
Turing	NP	Turing
told	VBD	tell
us	PP	us
something	NN	something
very	RB	very
important	JJ	important
.	SENT	.
He	PP	he
laid	VBD	lay
down	RP	down
the	DT	the
mathematical	JJ	mathematical
foundations	NNS	foundation
for	IN	for
computer	NN	computer
science	NN	science
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
how	WRB	how
you	PP	you
make	VBP	make
a	DT	a
computer	NN	computer
.	SENT	.
"	``	"
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
if	IN	if
your	PP$	your
computer	NN	computer
'	POS	'
s	NNS	<unknown>
mechanical	JJ	mechanical
,	,	,
like	IN	like
Babbage	NP	<unknown>
'	POS	'
s	NN	S
was	VBD	be
,	,	,
or	CC	or
electronic	JJ	electronic
,	,	,
like	JJ	like
computers	NNS	computer
are	VBP	be
today	NN	today
,	,	,
or	CC	or
perhaps	RB	perhaps
in	IN	in
the	DT	the
future	NN	future
,	,	,
cells	NNS	cell
,	,	,
or	CC	or
,	,	,
again	RB	again
,	,	,
mechanical	JJ	mechanical
again	RB	again
,	,	,
once	RB	once
we	PP	we
get	VBP	get
into	IN	into
nanotechnology	NN	nanotechnology
.	SENT	.
We	PP	we
could	MD	could
go	VB	go
back	RB	back
to	TO	to
Babbage	NP	<unknown>
'	POS	'
s	NN	S
machine	NN	machine
and	CC	and
just	RB	just
make	VB	make
it	PP	it
tiny	JJ	tiny
.	SENT	.
All	PDT	all
those	DT	those
things	NNS	thing
are	VBP	be
computers	NNS	computer
.	SENT	.
There	EX	there
is	VBZ	be
in	IN	in
a	DT	a
sense	NN	sense
a	DT	a
computing	NN	computing
essence	NN	essence
.	SENT	.
This	DT	this
is	VBZ	be
called	VBN	call
the	DT	the
Church—Turing	NP	Church—Turing
thesis	NN	thesis
.	SENT	.
And	CC	and
so	RB	so
suddenly	RB	suddenly
,	,	,
you	PP	you
get	VBP	get
this	DT	this
link	NN	link
where	WRB	where
you	PP	you
say	VBP	say
this	DT	this
thing	NN	thing
Babbage	NN	<unknown>
had	VBD	have
built	VBN	build
really	RB	really
was	VBD	be
a	DT	a
computer	NN	computer
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
was	VBD	be
capable	JJ	capable
of	IN	of
doing	VBG	do
everything	NN	everything
we	PP	we
do	VBP	do
today	NN	today
with	IN	with
computers	NNS	computer
,	,	,
only	RB	only
really	RB	really
slowly	RB	slowly
.	SENT	.
To	TO	to
give	VB	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
how	WRB	how
slowly	RB	slowly
,	,	,
it	PP	it
had	VBD	have
about	RB	about
1k	JJ	<unknown>
of	IN	of
memory	NN	memory
.	SENT	.
It	PP	it
used	VBD	use
punch	NN	punch
cards	NNS	card
,	,	,
which	WDT	which
were	VBD	be
being	VBG	be
fed	VBN	feed
in	IN	in
,	,	,
and	CC	and
it	PP	it
ran	VBD	run
about	IN	about
10	CD	@card@
,	,	,
000	CD	@card@
times	CC	times
slower	JJR	slow
the	DT	the
first	JJ	first
ZX81	NP	<unknown>
.	SENT	.
It	PP	it
did	VBD	do
have	VB	have
a	DT	a
RAM	NN	ram
pack	NN	pack
.	SENT	.
You	PP	you
could	MD	could
add	VB	add
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
extra	JJ	extra
memory	NN	memory
if	IN	if
you	PP	you
wanted	VBD	want
to	TO	to
.	SENT	.
So	RB	so
,	,	,
where	WRB	where
does	VBZ	do
that	RB	that
bring	VB	bring
us	PP	us
today	NN	today
?	SENT	?
So	RB	so
there	EX	there
are	VBP	be
plans	NNS	plan
.	SENT	.
Over	IN	over
in	IN	in
Swindon	NP	Swindon
,	,	,
the	DT	the
Science	NP	Science
Museum	NP	Museum
archives	NN	archives
,	,	,
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
plans	NNS	plan
and	CC	and
thousands	NNS	thousand
of	IN	of
pages	NNS	page
of	IN	of
notes	NNS	note
written	VBN	write
by	IN	by
Charles	NP	Charles
Babbage	NP	<unknown>
about	IN	about
this	DT	this
analytical	JJ	analytical
engine	NN	engine
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
is	VBZ	be
a	DT	a
set	NN	set
of	IN	of
plans	NNS	plan
that	IN	that
we	PP	we
call	VBP	call
Plan	NP	Plan
28	CD	@card@
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
also	RB	also
the	DT	the
name	NN	name
of	IN	of
a	DT	a
charity	NN	charity
that	IN	that
I	PP	I
started	VBD	start
with	IN	with
Doron	NP	Doron
Swade	NP	Swade
,	,	,
who	WP	who
was	VBD	be
the	DT	the
curator	NN	curator
of	IN	of
computing	NN	computing
at	IN	at
the	DT	the
Science	NP	Science
Museum	NP	Museum
,	,	,
and	CC	and
also	RB	also
the	DT	the
person	NN	person
who	WP	who
drove	VBD	drive
the	DT	the
project	NN	project
to	TO	to
build	VB	build
a	DT	a
difference	NN	difference
engine	NN	engine
,	,	,
and	CC	and
our	PP$	our
plan	NN	plan
is	VBZ	be
to	TO	to
build	VB	build
it	PP	it
.	SENT	.
Here	RB	here
in	IN	in
South	NP	South
Kensington	NP	Kensington
,	,	,
we	PP	we
will	MD	will
build	VB	build
the	DT	the
analytical	JJ	analytical
engine	NN	engine
.	SENT	.
The	DT	the
project	NN	project
has	VBZ	have
a	DT	a
number	NN	number
of	IN	of
parts	NNS	part
to	TO	to
it	PP	it
.	SENT	.
One	PP	one
was	VBD	be
the	DT	the
scanning	VBG	scan
of	IN	of
Babbage	NP	<unknown>
'	POS	'
s	NN	S
archive	NN	archive
.	SENT	.
That	IN	that
'	POS	'
s	RB	<unknown>
been	VBN	be
done	VBN	do
.	SENT	.
The	DT	the
second	NN	second
is	VBZ	be
now	RB	now
the	DT	the
study	NN	study
of	IN	of
all	DT	all
of	IN	of
those	DT	those
plans	NNS	plan
to	TO	to
determine	VB	determine
what	WP	what
to	TO	to
build	VB	build
.	SENT	.
The	DT	the
third	JJ	third
part	NN	part
is	VBZ	be
a	DT	a
computer	NN	computer
simulation	NN	simulation
of	IN	of
that	DT	that
machine	NN	machine
,	,	,
and	CC	and
the	DT	the
last	JJ	last
part	NN	part
is	VBZ	be
to	TO	to
physically	RB	physically
build	VB	build
it	PP	it
at	IN	at
the	DT	the
Science	NP	Science
Museum	NP	Museum
.	SENT	.
When	WRB	when
it	PP	it
'	POS	'
s	NN	S
built	VBD	build
,	,	,
you	PP	you
'	POS	'
ll	NN	ll
finally	RB	finally
be	VB	be
able	JJ	able
to	TO	to
understand	VB	understand
how	WRB	how
a	DT	a
computer	NN	computer
works	VBZ	work
,	,	,
because	IN	because
rather	RB	rather
than	IN	than
having	VBG	have
a	DT	a
tiny	JJ	tiny
chip	NN	chip
in	IN	in
front	NN	front
of	IN	of
you	PP	you
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
look	VB	look
at	IN	at
this	DT	this
humongous	JJ	humongous
thing	NN	thing
and	CC	and
say	VB	say
,	,	,
"	``	"
Ah	UH	ah
,	,	,
I	PP	I
see	VBP	see
the	DT	the
memory	NN	memory
operating	VBG	operate
,	,	,
I	PP	I
see	VBP	see
the	DT	the
CPU	NP	CPU
operating	VBG	operate
,	,	,
I	PP	I
hear	VBP	hear
it	PP	it
operating	VBG	operate
.	SENT	.
I	PP	I
probably	RB	probably
smell	VBP	smell
it	PP	it
operating	VBG	operate
.	SENT	.
"	''	"
But	CC	but
in	RB	in
between	IN	between
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
a	DT	a
simulation	NN	simulation
.	SENT	.
Babbage	NP	<unknown>
himself	PP	himself
wrote	VBD	write
,	,	,
he	PP	he
said	VBD	say
,	,	,
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
analytical	JJ	analytical
engine	NN	engine
exists	VBZ	exist
,	,	,
it	PP	it
will	MD	will
surely	RB	surely
guide	VB	guide
the	DT	the
future	JJ	future
course	NN	course
of	IN	of
science	NN	science
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
he	PP	he
never	RB	never
built	VBD	build
it	PP	it
,	,	,
because	IN	because
he	PP	he
was	VBD	be
always	RB	always
fiddling	JJ	fiddling
with	IN	with
new	JJ	new
plans	NNS	plan
,	,	,
but	CC	but
when	WRB	when
it	PP	it
did	VBD	do
get	VB	get
built	VBN	build
,	,	,
of	IN	of
course	NN	course
,	,	,
in	IN	in
the	DT	the
1940s	NNS	1940s
,	,	,
everything	NN	everything
changed	VBD	change
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
give	VBP	give
you	PP	you
a	DT	a
little	JJ	little
taste	NN	taste
of	IN	of
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
in	IN	in
motion	NN	motion
with	IN	with
a	DT	a
video	NN	video
which	WDT	which
shows	VBZ	show
just	RB	just
one	CD	one
part	NN	part
of	IN	of
the	DT	the
CPU	NP	CPU
mechanism	NN	mechanism
working	NN	working
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
just	RB	just
three	CD	three
sets	NNS	set
of	IN	of
cogs	NNS	cog
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
add	VB	add
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
adding	VBG	add
mechanism	NN	mechanism
in	IN	in
action	NN	action
,	,	,
so	RB	so
you	PP	you
imagine	VBP	imagine
this	DT	this
gigantic	JJ	gigantic
machine	NN	machine
.	SENT	.
So	RB	so
,	,	,
give	VB	give
me	PP	me
five	CD	five
years	NNS	year
.	SENT	.
Before	IN	before
the	DT	the
2030s	NNS	<unknown>
happen	VBP	happen
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
it	PP	it
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
