Good	JJ	good
there	RB	there
in	IN	in
the	DT	the
early	JJ	early
afternoon	NN	afternoon
,	,	,
even	RB	even
in	IN	in
these	DT	these
sunny	JJ	sunny
and	CC	and
hot	JJ	hot
summer	NN	summer
months	NNS	month
,	,	,
and	CC	and
they	PP	they
can	MD	can
enjoy	VB	enjoy
and	CC	and
meet	VB	meet
there	RB	there
with	IN	with
their	PP$	their
families	NNS	family
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
concept	NN	concept
:	:	:
shade	NN	shade
against	IN	against
the	DT	the
sun	NN	sun
,	,	,
shade	NN	shade
against	IN	against
the	DT	the
wind	NN	wind
,	,	,
and	CC	and
use	VB	use
,	,	,
use	VB	use
and	CC	and
take	VB	take
advantage	NN	advantage
of	IN	of
the	DT	the
sun	NN	sun
you	PP	you
can	MD	can
harvest	VB	harvest
on	IN	on
your	PP$	your
footprint	NN	footprint
.	SENT	.
And	CC	and
these	DT	these
beautiful	JJ	beautiful
umbrellas	NNS	umbrella
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
encourage	VB	encourage
you	PP	you
to	TO	to
pay	VB	pay
attention	NN	attention
to	TO	to
your	PP$	your
thermal	JJ	thermal
comfort	NN	comfort
,	,	,
to	TO	to
your	PP$	your
thermal	JJ	thermal
environment	NN	environment
,	,	,
tonight	NN	tonight
and	CC	and
tomorrow	NN	tomorrow
,	,	,
and	CC	and
if	IN	if
you	PP	you
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
learn	VB	learn
more	JJR	more
about	IN	about
that	DT	that
,	,	,
I	PP	I
invite	VBP	invite
you	PP	you
to	TO	to
go	VB	go
to	TO	to
our	PP$	our
website	NN	website
.	SENT	.
We	PP	we
uploaded	VBD	upload
a	DT	a
very	RB	very
simple	JJ	simple
perceived	VBN	perceive
temperature	NN	temperature
calculator	NN	calculator
where	WRB	where
you	PP	you
can	MD	can
check	VB	check
out	RP	out
about	IN	about
your	PP$	your
outdoor	JJ	outdoor
comfort	NN	comfort
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
hope	VBP	hope
that	IN	that
you	PP	you
share	VBP	share
the	DT	the
idea	NN	idea
that	IN	that
if	IN	if
engineers	NNS	engineer
and	CC	and
designers	NNS	designer
can	MD	can
use	VB	use
all	PDT	all
these	DT	these
different	JJ	different
climatic	JJ	climatic
parameters	NNS	parameter
,	,	,
it	PP	it
will	MD	will
be	VB	be
possible	JJ	possible
to	TO	to
create	VB	create
really	RB	really
good	JJ	good
and	CC	and
comfortable	JJ	comfortable
outdoor	JJ	outdoor
conditions	NNS	condition
,	,	,
to	TO	to
change	VB	change
our	PP$	our
thermal	JJ	thermal
perception	NN	perception
that	IN	that
we	PP	we
feel	VBP	feel
comfortable	JJ	comfortable
in	IN	in
an	DT	an
outdoor	JJ	outdoor
environment	NN	environment
,	,	,
and	CC	and
we	PP	we
can	MD	can
do	VB	do
that	IN	that
with	IN	with
the	DT	the
best	RBS	well
passive	JJ	passive
design	NN	design
,	,	,
but	CC	but
also	RB	also
using	VBG	use
the	DT	the
energy	NN	energy
source	NN	source
of	IN	of
the	DT	the
site	NN	site
in	IN	in
Qatar	NP	Qatar
which	WDT	which
is	VBZ	be
the	DT	the
sun	NN	sun
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Shukran	NP	<unknown>
.	SENT	.
