OK	UH	OK
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
political	JJ	political
elections	NNS	election
that	WDT	that
are	VBP	be
heating	VBG	heat
up	RP	up
.	SENT	.
This	DT	this
used	VBN	use
to	TO	to
be	VB	be
the	DT	the
classic	JJ	classic
third-rail	NN	<unknown>
issue	NN	issue
for	IN	for
Democrats	NPS	Democrats
.	SENT	.
Couldn	NP	<unknown>
'	POS	'
t	NN	t
run	NN	run
from	IN	from
it	PP	it
fast	RB	fast
enough	RB	enough
.	SENT	.
Now	RB	now
candidates	NNS	candidate
are	VBP	be
running	VBG	run
on	IN	on
it	PP	it
.	SENT	.
Some	DT	some
are	VBP	be
being	VBG	be
forced	VBN	force
to	TO	to
reverse	VB	reverse
very	RB	very
bad	JJ	bad
positions	NNS	position
they	PP	they
defended	VBD	defend
very	RB	very
comfortably	RB	comfortably
,	,	,
until	IN	until
very	RB	very
recently	RB	recently
.	SENT	.
For	IN	for
somebody	NN	somebody
like	IN	like
me	PP	me
,	,	,
watching	VBG	watch
people	NNS	people
wave	NN	wave
around	IN	around
their	PP$	their
negative	JJ	negative
NRA	NN	NRA
ratings	NNS	rating
—	:	-
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
surreal	JJ	surreal
to	TO	to
watch	VB	watch
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
still	RB	still
outfunded	VBD	outfund
,	,	,
yes	UH	yes
,	,	,
by	IN	by
the	DT	the
corporate	JJ	corporate
gun	NN	gun
lobby	NN	lobby
,	,	,
and	CC	and
ultimately	RB	ultimately
that	WDT	that
needs	VBZ	need
to	TO	to
change	VB	change
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
smarter	RBR	smarter
and	CC	and
we	PP	we
'	POS	'
re	NN	re
scrappier	JJR	scrappy
,	,	,
and	CC	and
we	PP	we
have	VBP	have
the	DT	the
truth	NN	truth
on	IN	on
our	PP$	our
side	NN	side
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
on	IN	on
offense	NN	offense
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
they	PP	they
say	VBP	say
that	IN	that
the	DT	the
Internet	NN	Internet
democratizes	VBZ	democratize
information	NN	information
.	SENT	.
Social	JJ	social
media	NNS	medium
and	CC	and
some	DT	some
of	IN	of
the	DT	the
organizing	VBG	organize
tools	NNS	tool
that	WDT	that
plug	VBP	plug
into	IN	into
it	PP	it
have	VBP	have
democratized	VBN	democratize
activism	NN	activism
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
allowed	VBD	allow
us	PP	us
to	TO	to
show	VB	show
what	WP	what
90	CD	@card@
percent	NN	percent
support	NN	support
really	RB	really
looks	VBZ	look
like	IN	like
.	SENT	.
Sometimes	RB	sometimes
I	PP	I
think	VBP	think
of	IN	of
it	PP	it
—	:	-
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
re	NN	re
converging	VBG	converge
and	CC	and
attacking	VBG	attack
instantly	RB	instantly
by	IN	by
the	DT	the
millions	NNS	million
,	,	,
kind	NN	kind
of	IN	of
like	JJ	like
white	JJ	white
blood	NN	blood
cells	NNS	cell
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
enabled	VBD	enable
us	PP	us
to	TO	to
start	VB	start
to	TO	to
really	RB	really
close	VB	close
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
bottom	JJ	bottom
line	NN	line
—	:	-
close	VB	close
that	DT	that
disgraceful	JJ	disgraceful
disconnect	VB	disconnect
between	IN	between
what	WP	what
the	DT	the
American	JJ	American
public	NN	public
wants	VBZ	want
and	CC	and
what	WP	what
our	PP$	our
elected	JJ	elected
leaders	NNS	leader
are	VBP	be
doing	VBG	do
about	IN	about
it	PP	it
.	SENT	.
Until	IN	until
recently	RB	recently
,	,	,
the	DT	the
narrative	NN	narrative
in	IN	in
Congress	NP	Congress
was	VBD	be
that	IN	that
calls	NNS	call
from	IN	from
the	DT	the
other	JJ	other
side	NN	side
,	,	,
from	IN	from
that	WDT	that
six	CD	six
percent	NN	percent
,	,	,
outnumbered	VBD	outnumber
calls	NNS	call
from	IN	from
our	PP$	our
side	NN	side
10	CD	@card@
to	TO	to
one	CD	one
.	SENT	.
We	PP	we
'	''	'
re	IN	re
flipping	VBG	flip
that	DT	that
narrative	NN	narrative
on	IN	on
its	PP$	its
head	NN	head
.	SENT	.
After	IN	after
that	DT	that
recent	JJ	recent
terrible	JJ	terrible
tragedy	NN	tragedy
in	IN	in
San	NP	San
Bernardino	NP	Bernardino
,	,	,
we	PP	we
jammed	VBD	jam
Congressional	JJ	congressional
switchboards	NNS	switchboard
.	SENT	.
We	PP	we
put	VBD	put
15	CD	@card@
,	,	,
000	CD	@card@
calls	NNS	call
into	IN	into
Congress	NP	Congress
in	IN	in
24	CD	@card@
hours	NNS	hour
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
We	PP	we
got	VBD	get
a	DT	a
vote	NN	vote
on	IN	on
a	DT	a
bill	NN	bill
that	IN	that
nobody	NN	nobody
thought	NN	thought
was	VBD	be
going	VBG	go
to	TO	to
see	VB	see
the	DT	the
light	NN	light
of	IN	of
day	NN	day
anytime	RB	anytime
soon	RB	soon
.	SENT	.
We	PP	we
'	''	'
re	IN	re
seeing	VBG	see
real	JJ	real
movement	NN	movement
to	TO	to
repeal	VB	repeal
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
evil	JJ	evil
,	,	,
ugly	JJ	ugly
gun	NN	gun
lobby	NN	lobby
legislation	NN	legislation
passed	VBN	pass
over	IN	over
the	DT	the
last	JJ	last
dark	JJ	dark
decade	NN	decade
.	SENT	.
The	DT	the
stranglehold	NN	stranglehold
of	IN	of
the	DT	the
gun	NN	gun
lobby	NN	lobby
is	VBZ	be
clearly	RB	clearly
being	VBG	be
broken	VBN	break
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
President	NP	President
Obama	NP	<unknown>
'	POS	'
s	JJ	<unknown>
historic	JJ	historic
executive	JJ	executive
actions	NNS	action
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
go	VB	go
all	PDT	all
the	DT	the
way	NN	way
,	,	,
but	CC	but
they	PP	they
are	VBP	be
going	VBG	go
to	TO	to
save	VB	save
lives	NNS	life
,	,	,
because	IN	because
they	PP	they
expand	VBP	expand
Brady	NP	Brady
background	NN	background
checks	NNS	check
to	TO	to
thousands	NNS	thousand
of	IN	of
gun	NN	gun
sales	NNS	sale
that	IN	that
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VB	have
them	PP	them
previously	RB	previously
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
marching	VBG	march
across	IN	across
the	DT	the
country	NN	country
—	:	-
we	PP	we
'	POS	'
re	NN	re
not	RB	not
just	RB	just
waiting	VBG	wait
for	IN	for
Congress	NP	Congress
to	TO	to
act	VB	act
;	:	;
that	WDT	that
would	MD	would
almost	RB	almost
be	VB	be
the	DT	the
definition	NN	definition
of	IN	of
insanity	NN	insanity
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
marching	VBG	march
across	IN	across
the	DT	the
country	NN	country
,	,	,
state	NN	state
by	IN	by
state	NN	state
,	,	,
marriage-equality	NN	marriage-equality
style	NN	style
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
winning	NN	winning
.	SENT	.
Congress	NP	Congress
is	VBZ	be
almost	RB	almost
always	RB	always
the	DT	the
last	JJ	last
to	TO	to
wake	VB	wake
up	RP	up
and	CC	and
realize	VBP	realize
that	IN	that
it	PP	it
'	POS	'
s	NN	S
on	IN	on
the	DT	the
wrong	JJ	wrong
side	NN	side
of	IN	of
history	NN	history
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
do	VBP	do
,	,	,
it	PP	it
'	POS	'
s	NN	S
always	RB	always
because	IN	because
the	DT	the
American	JJ	American
public	NN	public
shakes	VBZ	shake
them	PP	them
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
exactly	RB	exactly
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
right	RB	right
now	RB	now
,	,	,
as	IN	as
we	PP	we
'	POS	'
re	NN	re
in	IN	in
this	DT	this
tipping	VBG	tip
point	NN	point
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
recently	RB	recently
I	PP	I
was	VBD	be
flying	VBG	fly
cross-country	RB	cross-country
to	TO	to
give	VB	give
a	DT	a
speech	NN	speech
to	TO	to
a	DT	a
large	JJ	large
group	NN	group
like	IN	like
this	DT	this
,	,	,
although	IN	although
far	RB	far
less	RBR	less
intimidating	JJ	intimidating
,	,	,
and	CC	and
the	DT	the
woman	NN	woman
sitting	VBG	sit
next	JJ	next
to	TO	to
me	PP	me
happened	VBD	happen
to	TO	to
be	VB	be
binge-watching	VBG	binge-watch
one	CD	one
of	IN	of
my	PP$	my
all-time	JJ	all-time
favorite	JJ	favorite
TV	NN	TV
shows	NNS	show
,	,	,
"	''	"
Mad	NP	Mad
Men	NP	Men
,	,	,
"	''	"
a	DT	a
period	NN	period
TV	NN	TV
show	NN	show
about	IN	about
advertising	NN	advertising
in	IN	in
the	DT	the
1960s	NNS	1960s
.	SENT	.
And	CC	and
as	IN	as
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
to	TO	to
end	VB	end
my	PP$	my
remarks	NNS	remark
,	,	,
I	PP	I
'	POS	'
d	NN	d
glance	NN	glance
up	RB	up
at	IN	at
her	PP$	her
screen	NN	screen
every	DT	every
now	RB	now
and	CC	and
then	RB	then
,	,	,
and	CC	and
it	PP	it
seemed	VBD	seem
that	IN	that
every	DT	every
time	NN	time
I	PP	I
did	VBD	do
,	,	,
I	PP	I
'	POS	'
d	NN	d
see	VBP	see
somebody	NN	somebody
smoking	NN	smoking
in	IN	in
an	DT	an
office	NN	office
or	CC	or
around	IN	around
children	NNS	child
or	CC	or
while	IN	while
pregnant	JJ	pregnant
or	CC	or
drinking	VBG	drink
and	CC	and
driving	VBG	drive
or	CC	or
driving	VBG	drive
without	IN	without
seat	NN	seat
belts	NNS	belt
or	CC	or
sexually	RB	sexually
harassing	VBG	harass
a	DT	a
coworker	NN	coworker
.	SENT	.
And	CC	and
ultimately	RB	ultimately
it	PP	it
dawned	VBD	dawn
on	IN	on
me	PP	me
:	:	:
what	WP	what
tremendous	JJ	tremendous
inspiration	NN	inspiration
to	TO	to
those	DT	those
of	IN	of
us	PP	us
who	WP	who
have	VBP	have
this	DT	this
dream	NN	dream
to	TO	to
end	VB	end
gun	NN	gun
violence	NN	violence
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
think	VBP	think
about	RB	about
how	WRB	how
much	JJ	much
the	DT	the
world	NN	world
has	VBZ	have
changed	VBN	change
in	IN	in
a	DT	a
relatively	RB	relatively
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
,	,	,
how	WRB	how
all	PDT	all
those	DT	those
behaviors	NNS	behavior
that	WDT	that
were	VBD	be
once	RB	once
considered	VBN	consider
commonplace	JJ	commonplace
or	CC	or
normal	JJ	normal
—	:	-
some	DT	some
even	RB	even
glamorous	JJ	glamorous
or	CC	or
sexy	JJ	sexy
—	:	-
have	VBP	have
become	VBN	become
stigmatized	VBN	stigmatize
in	IN	in
just	RB	just
a	DT	a
generation	NN	generation
or	CC	or
two	CD	two
,	,	,
once	RB	once
they	PP	they
became	VBD	become
conversations	NNS	conversation
about	IN	about
our	PP$	our
common	JJ	common
ground	NN	ground
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
magnitude	NN	magnitude
of	IN	of
the	DT	the
change	NN	change
we	PP	we
have	VBP	have
the	DT	the
potential	NN	potential
to	TO	to
create	VB	create
around	RP	around
gun	NN	gun
violence	NN	violence
.	SENT	.
And	CC	and
that	DT	that
'	''	'
s	VBG	<unknown>
my	PP$	my
dream	NN	dream
,	,	,
that	WDT	that
maybe	RB	maybe
someday	RB	someday
,	,	,
some	DT	some
period	NN	period
TV	NN	TV
show	NN	show
will	MD	will
depict	VB	depict
the	DT	the
terrible	JJ	terrible
nightmare	NN	nightmare
of	IN	of
gun	NN	gun
violence	NN	violence
,	,	,
and	CC	and
a	DT	a
future	JJ	future
generation	NN	generation
of	IN	of
children	NNS	child
might	MD	might
only	RB	only
be	VB	be
able	JJ	able
to	TO	to
imagine	VB	imagine
how	WRB	how
terrible	JJ	terrible
it	PP	it
must	MD	must
have	VB	have
been	VBN	be
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
