Baratunde	NP	Baratunde
.	SENT	.
To	TO	to
be	VB	be
and	CC	and
embody	VB	embody
these	DT	these
values	NNS	value
.	SENT	.
AMB	NP	AMB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
BT	NP	BT
:	:	:
And	CC	and
I	PP	I
think	VBP	think
on	IN	on
the	DT	the
citizen	NN	citizen
front	NN	front
,	,	,
I	PP	I
'	POS	'
m	NN	m
thinking	VBG	think
a	DT	a
lot	NN	lot
about	IN	about
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
satisfied	VBN	satisfy
in	IN	in
the	DT	the
experience	NN	experience
of	IN	of
citizening	NN	<unknown>
.	SENT	.
Like	IN	like
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
want	VBP	want
to	TO	to
feel	VB	feel
?	SENT	?
I	PP	I
know	VBP	know
how	WRB	how
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
feel	VB	feel
.	SENT	.
AMB	NP	AMB
:	:	:
I	PP	I
'	POS	'
m	NN	m
very	RB	very
familiar	JJ	familiar
with	IN	with
that	DT	that
.	SENT	.
BT	NP	BT
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
feel	VB	feel
frustrated	JJ	frustrated
,	,	,
and	CC	and
angry	JJ	angry
and	CC	and
unheard	JJ	unheard
and	CC	and
tense	JJ	tense
.	SENT	.
I	PP	I
want	VBP	want
my	PP$	my
shoulders	NNS	shoulder
to	TO	to
drop	VB	drop
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
feel	VB	feel
heard	VBN	hear
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
feel	VB	feel
belonging	VBG	belong
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
feel	VB	feel
like	IN	like
other	JJ	other
people	NNS	people
see	VBP	see
me	PP	me
and	CC	and
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
afraid	JJ	afraid
to	TO	to
see	VB	see
them	PP	them
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
feel	VB	feel
afraid	JJ	afraid
at	IN	at
all	DT	all
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
feel	VB	feel
trust	NN	trust
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
can	MD	can
articulate	VB	articulate
that	IN	that
and	CC	and
give	VB	give
voice	NN	voice
to	TO	to
that	WDT	that
,	,	,
not	RB	not
just	RB	just
who	WP	who
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
elected	VBN	elect
or	CC	or
what	WP	what
policy	NN	policy
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
shift	VB	shift
,	,	,
but	CC	but
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
experience	NN	experience
of	IN	of
being	VBG	be
together	RB	together
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
?	SENT	?
And	CC	and
then	RB	then
design	VB	design
from	IN	from
that	DT	that
.	SENT	.
AMB	NP	AMB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
idea	NN	idea
.	SENT	.
I	PP	I
like	VBP	like
that	IN	that
,	,	,
I	PP	I
love	VBP	love
that	RB	that
.	SENT	.
This	DT	this
satisfaction	NN	satisfaction
piece	NN	piece
to	TO	to
me	PP	me
too	RB	too
,	,	,
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
gone	VBN	go
through	IN	through
so	RB	so
many	JJ	many
cycles	NNS	cycle
of	IN	of
being	VBG	be
dissatisfied	VBN	dissatisfy
,	,	,
and	CC	and
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
create	VB	create
the	DT	the
changes	NNS	change
we	PP	we
wanted	VBD	want
so	RB	so
that	IN	that
it	PP	it
becomes	VBZ	become
normal	JJ	normal
,	,	,
right	RB	right
?	SENT	?
It	PP	it
becomes	VBZ	become
like	IN	like
,	,	,
oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
just	RB	just
what	WP	what
it	PP	it
is	VBZ	be
to	TO	to
be	VB	be
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
just	RB	just
what	WP	what
it	PP	it
is	VBZ	be
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
has	VBZ	have
been	VBN	be
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
we	PP	we
'	POS	'
re	NN	re
living	NN	living
inside	IN	inside
the	DT	the
imagination	NN	imagination
of	IN	of
people	NNS	people
who	WP	who
did	VBD	do
not	RB	not
benefit	VB	benefit
in	IN	in
any	DT	any
way	NN	way
from	IN	from
us	PP	us
changing	VBG	change
things	NNS	thing
,	,	,
right	RB	right
?	SENT	?
So	RB	so
to	TO	to
me	PP	me
,	,	,
part	NN	part
of	IN	of
the	DT	the
satisfaction	NN	satisfaction
is	VBZ	be
also	RB	also
saying	VBG	say
I	PP	I
get	VBP	get
to	TO	to
imagine	VB	imagine
and	CC	and
you	PP	you
get	VBP	get
to	TO	to
imagine	VB	imagine
and	CC	and
you	PP	you
get	VBP	get
to	TO	to
imagine	VB	imagine
,	,	,
and	CC	and
disabled	JJ	disabled
people	NNS	people
get	VBP	get
to	TO	to
imagine	VB	imagine
,	,	,
Indigenous	JJ	indigenous
people	NNS	people
get	VBP	get
to	TO	to
imagine	VB	imagine
,	,	,
you	PP	you
,	,	,
especially	RB	especially
.	SENT	.
Nice	JJ	nice
hats	NNS	hat
,	,	,
everybody	NN	everybody
.	SENT	.
And	CC	and
whoever	WP	whoever
'	POS	'
s	NN	S
watching	VBG	watch
this	DT	this
,	,	,
also	RB	also
,	,	,
you	PP	you
get	VBP	get
to	TO	to
imagine	VB	imagine
,	,	,
like	VB	like
,	,	,
imagine	VB	imagine
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
so	RB	so
satisfying	JJ	satisfying
to	TO	to
me	PP	me
to	TO	to
say	VB	say
,	,	,
I	PP	I
imagine	VBP	imagine
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
the	DT	the
children	NNS	child
that	WDT	that
I	PP	I
love	VBP	love
are	VBP	be
safe	JJ	safe
,	,	,
and	CC	and
I	PP	I
can	MD	can
make	VB	make
that	DT	that
happen	VB	happen
.	SENT	.
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NN	S
so	RB	so
simple	JJ	simple
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
so	IN	so
what	WP	what
I	PP	I
want	VBP	want
.	SENT	.
BT	NP	BT
:	:	:
There	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
expansion	NN	expansion
possible	RB	possible
here	RB	here
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
practice	NN	practice
of	IN	of
citizening	NN	<unknown>
and	CC	and
belonging	VBG	belong
and	CC	and
mutual	JJ	mutual
care	NN	care
for	IN	for
each	DT	each
other	JJ	other
,	,	,
I	PP	I
think	VBP	think
our	PP$	our
muscles	NNS	muscle
have	VBP	have
atrophied	VBN	atrophy
a	DT	a
bit	NN	bit
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
never	RB	never
too	RB	too
late	JJ	late
.	SENT	.
AMB	NP	AMB
:	:	:
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
wait	VB	wait
,	,	,
practices	NNS	practice
?	SENT	?
I	PP	I
wrote	VBD	write
that	IN	that
down	RB	down
.	SENT	.
BT	NP	BT
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
continue	VBP	continue
to	TO	to
practice	VB	practice
?	SENT	?
AMB	NP	AMB
:	:	:
OK	UH	OK
,	,	,
I	PP	I
have	VBP	have
one	CD	one
main	NN	main
thought	VBD	think
I	PP	I
'	''	'
ll	NNS	<unknown>
come	VBP	come
to	TO	to
,	,	,
OK	UH	OK
?	SENT	?
BT	NP	BT
:	:	:
I	PP	I
like	VBP	like
the	DT	the
countdown	NN	countdown
.	SENT	.
AMB	NP	AMB
:	:	:
So	RB	so
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
all	RB	all
wrapped	VBD	wrap
up	RP	up
in	IN	in
this	DT	this
ball	NN	ball
of	IN	of
care	NN	care
and	CC	and
repair	NN	repair
.	SENT	.
I	PP	I
think	VBP	think
really	RB	really
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
is	VBZ	be
care	NN	care
and	CC	and
repair	NN	repair
.	SENT	.
If	IN	if
we	PP	we
are	VBP	be
in	IN	in
a	DT	a
practice	NN	practice
where	WRB	where
,	,	,
when	WRB	when
things	NNS	thing
go	VBP	go
awry	RB	awry
,	,	,
we	PP	we
know	VBP	know
we	PP	we
can	MD	can
repair	VB	repair
them	PP	them
,	,	,
and	CC	and
we	PP	we
think	VBP	think
about	RB	about
repair	VB	repair
and	CC	and
we	PP	we
have	VBP	have
mediation	NN	mediation
and	CC	and
we	PP	we
have	VBP	have
facilitators	NNS	facilitator
who	WP	who
are	VBP	be
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
my	PP$	my
job	NN	job
is	VBZ	be
to	TO	to
bring	VB	bring
some	DT	some
repair	NN	repair
into	IN	into
the	DT	the
circumstance	NN	circumstance
.	SENT	.
"	``	"
I	PP	I
think	VBP	think
that	IN	that
then	RB	then
means	VBZ	mean
we	PP	we
can	MD	can
believe	VB	believe
it	PP	it
when	WRB	when
people	NNS	people
say	VBP	say
they	PP	they
care	VBP	care
and	CC	and
offer	VBP	offer
care	NN	care
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
living	VBG	live
on	IN	on
an	DT	an
open	JJ	open
wound	NN	wound
right	RB	right
now	RB	now
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
critical	JJ	critical
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
because	IN	because
we	PP	we
were	VBD	be
founded	VBN	found
through	IN	through
a	DT	a
genocidal	JJ	genocidal
colonial	JJ	colonial
act	NN	act
,	,	,
and	CC	and
we	PP	we
never	RB	never
actually	RB	actually
repaired	VBN	repair
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
kept	VBD	keep
building	NN	building
on	IN	on
top	JJ	top
of	IN	of
it	PP	it
with	IN	with
more	JJR	more
harm	NN	harm
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
because	IN	because
of	IN	of
harmful	JJ	harmful
acts	NNS	act
,	,	,
and	CC	and
we	PP	we
kept	VBD	keep
building	VBG	build
and	CC	and
building	VBG	build
on	IN	on
top	JJ	top
of	IN	of
it	PP	it
,	,	,
and	CC	and
we	PP	we
never	RB	never
repaired	VBD	repair
.	SENT	.
And	CC	and
so	RB	so
without	IN	without
that	DT	that
repair	NN	repair
now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
normal	JJ	normal
to	TO	to
live	VB	live
in	IN	in
an	DT	an
extremely	RB	extremely
violent	JJ	violent
,	,	,
extremely	RB	extremely
unjust	JJ	unjust
world	NN	world
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
created	VBD	create
,	,	,
that	WDT	that
'	POS	'
s	NN	S
what	WP	what
was	VBD	be
founded	VBN	found
,	,	,
right	RB	right
?	SENT	?
So	RB	so
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
deep	RB	deep
repair	VB	repair
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
can	MD	can
believe	VB	believe
,	,	,
Oh	UH	oh
,	,	,
this	DT	this
place	NN	place
actually	RB	actually
cares	VBZ	care
about	IN	about
my	PP$	my
existence	NN	existence
.	SENT	.
And	CC	and
then	RB	then
care	NN	care
is	VBZ	be
built	VBN	build
into	IN	into
our	PP$	our
society	NN	society
.	SENT	.
Healthcare	NP	Healthcare
,	,	,
educational	JJ	educational
care	NN	care
,	,	,
like	VBP	like
,	,	,
care	VBP	care
for	IN	for
how	WRB	how
people	NNS	people
live	VBP	live
and	CC	and
die	VBP	die
,	,	,
care	VBP	care
for	IN	for
how	WRB	how
people	NNS	people
feel	VBP	feel
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
feel	VB	feel
like	IN	like
you	PP	you
'	POS	'
re	NN	re
just	RB	just
manipulating	VBG	manipulate
me	PP	me
with	IN	with
acts	NNS	act
of	IN	of
care	NN	care
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
feel	VB	feel
like	IN	like
you	PP	you
really	RB	really
see	VBP	see
me	PP	me
from	IN	from
birth	NN	birth
to	TO	to
death	NN	death
as	IN	as
something	NN	something
that	WDT	that
belongs	VBZ	belong
to	TO	to
you	PP	you
,	,	,
and	CC	and
you	PP	you
belong	VBP	belong
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
if	IN	if
things	NNS	thing
go	VBP	go
awry	RB	awry
,	,	,
I	PP	I
will	MD	will
repair	VB	repair
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
care	VB	care
for	IN	for
you	PP	you
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
believe	VB	believe
me	PP	me
,	,	,
because	IN	because
I	PP	I
show	VBP	show
you	PP	you
in	IN	in
my	PP$	my
actions	NNS	action
,	,	,
not	RB	not
just	RB	just
in	IN	in
my	PP$	my
speeches	NNS	speech
every	DT	every
four	CD	four
years	NNS	year
,	,	,
but	CC	but
in	IN	in
everyday	JJ	everyday
actions	NNS	action
,	,	,
you	PP	you
see	VBP	see
my	PP$	my
care	NN	care
.	SENT	.
BT	NP	BT
:	:	:
So	IN	so
you	PP	you
'	POS	'
re	NN	re
practicing	VBG	practice
care	NN	care
.	SENT	.
AMB	NP	AMB
:	:	:
You	PP	you
'	POS	'
re	NN	re
practicing	VBG	practice
care	NN	care
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
a	DT	a
facilitator	NN	facilitator
.	SENT	.
So	RB	so
to	TO	to
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
facilitation	NN	facilitation
is	VBZ	be
the	DT	the
way	NN	way
you	PP	you
care	VBP	care
for	IN	for
a	DT	a
group	NN	group
.	SENT	.
I	PP	I
would	MD	would
rather	RB	rather
elect	VB	elect
facilitators-in-chief	NN	facilitators-in-chief
.	SENT	.
I	PP	I
would	MD	would
rather	RB	rather
have	VB	have
facilitators	NNS	facilitator
running	VBG	run
every	DT	every
town	NN	town
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
tired	JJ	tired
of	IN	of
pontification	NN	pontification
.	SENT	.
I	PP	I
want	VBP	want
people	NNS	people
who	WP	who
care	VBP	care
and	CC	and
who	WP	who
know	VBP	know
how	WRB	how
to	TO	to
hold	VB	hold
people	NNS	people
with	IN	with
care	NN	care
.	SENT	.
BT	NP	BT
:	:	:
I	PP	I
really	RB	really
feel	VBP	feel
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
mathematical	JJ	mathematical
obviousness	NN	obviousness
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
our	PP$	our
problems	NNS	problem
are	VBP	be
too	RB	too
big	JJ	big
for	IN	for
one	CD	one
leader	NN	leader
to	TO	to
solve	VB	solve
.	SENT	.
AMB	NP	AMB
:	:	:
Say	VBP	say
it	PP	it
.	SENT	.
BT	NP	BT
:	:	:
We	PP	we
need	VBP	need
all	DT	all
of	IN	of
our	PP$	our
talents	NNS	talent
,	,	,
all	DT	all
of	IN	of
our	PP$	our
experiences	NNS	experience
,	,	,
all	DT	all
of	IN	of
our	PP$	our
failures	NNS	failure
to	TO	to
be	VB	be
brought	VBN	bring
to	TO	to
bear	VB	bear
on	IN	on
our	PP$	our
problems	NNS	problem
and	CC	and
our	PP$	our
opportunities	NNS	opportunity
.	SENT	.
We	PP	we
need	VBP	need
a	DT	a
facilitation	NN	facilitation
,	,	,
a	DT	a
facilitator	NN	facilitator
,	,	,
a	DT	a
way	NN	way
to	TO	to
bring	VB	bring
all	PDT	all
this	DT	this
together	RB	together
and	CC	and
coordinate	VB	coordinate
it	PP	it
so	RB	so
that	IN	that
we	PP	we
can	MD	can
unlock	VB	unlock
this	DT	this
greater	JJR	great
strength	NN	strength
that	IN	that
we	PP	we
have	VBP	have
only	RB	only
together	RB	together
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
path	NN	path
is	VBZ	be
predictably	RB	predictably
unsatisfactory	JJ	unsatisfactory
.	SENT	.
AMB	NP	AMB
:	:	:
We	PP	we
'	POS	'
re	NN	re
never	RB	never
going	VBG	go
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
BT	NP	BT
:	:	:
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
alluring	JJ	alluring
.	SENT	.
AMB	NP	AMB
:	:	:
I	PP	I
think	VBP	think
orgasmic	JJ	orgasmic
yes	NN	yes
,	,	,
right	RB	right
?	SENT	?
BT	NP	BT
:	:	:
Orgasmic	JJ	orgasmic
yes	NN	yes
!	SENT	!
AMB	NP	AMB
:	:	:
Orgasmic	JJ	orgasmic
yes	UH	yes
,	,	,
I	PP	I
'	POS	'
m	NN	m
like	IN	like
,	,	,
a	DT	a
democratic	JJ	democratic
place	NN	place
should	MD	should
be	VB	be
an	DT	an
orgasmic	JJ	orgasmic
yes	UH	yes
.	SENT	.
Where	WRB	where
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
I	PP	I
can	MD	can
go	VB	go
out	RP	out
and	CC	and
say	VB	say
what	WP	what
I	PP	I
want	VBP	want
and	CC	and
we	PP	we
can	MD	can
co-create	VB	co-create
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
the	DT	the
intention	NN	intention
was	VBD	be
once	RB	once
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
now	RB	now
.	SENT	.
I	PP	I
love	VBP	love
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
get	VBP	get
to	TO	to
create	VB	create
it	PP	it
through	IN	through
our	PP$	our
practices	NNS	practice
now	RB	now
.	SENT	.
BT	NP	BT
:	:	:
I	PP	I
want	VBP	want
to	TO	to
close	VB	close
this	DT	this
on	IN	on
the	DT	the
practice	NN	practice
of	IN	of
imagination	NN	imagination
and	CC	and
some	DT	some
of	IN	of
the	DT	the
acknowledgment	NN	acknowledgment
you	PP	you
have	VBP	have
brought	VBN	bring
up	RP	up
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
ways	NNS	way
I	PP	I
categorize	VBP	categorize
where	WRB	where
we	PP	we
are	VBP	be
is	VBZ	be
holding	VBG	hold
two	CD	two
truths	NNS	truth
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
Democracy	NP	Democracy
is	VBZ	be
dying	VBG	die
.	SENT	.
It	PP	it
is	VBZ	be
in	IN	in
crisis	NN	crisis
.	SENT	.
The	DT	the
version	NN	version
we	PP	we
'	POS	'
ve	NN	ve
inherited	VBD	inherit
,	,	,
some	DT	some
of	IN	of
it	PP	it
needs	VBZ	need
to	TO	to
die	VB	die
.	SENT	.
It	PP	it
was	VBD	be
not	RB	not
designed	VBN	design
for	IN	for
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
fit	JJ	fit
for	IN	for
the	DT	the
current	JJ	current
circumstance	NN	circumstance
as	IN	as
implemented	VBN	implement
.	SENT	.
We	PP	we
can	MD	can
acknowledge	VB	acknowledge
that	DT	that
end	NN	end
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
ceremony	NN	ceremony
around	IN	around
that	DT	that
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
acknowledge	VB	acknowledge
the	DT	the
new	JJ	new
democracies	NNS	democracy
that	WDT	that
are	VBP	be
being	VBG	be
born	VBN	bear
,	,	,
the	DT	the
new	JJ	new
practices	NNS	practice
,	,	,
the	DT	the
citizens	NNS	citizen
assemblies	NNS	assembly
,	,	,
the	DT	the
new	JJ	new
polling	NN	polling
methodologies	NNS	methodology
,	,	,
the	DT	the
direct	JJ	direct
democracies	NNS	democracy
,	,	,
the	DT	the
deliberative	JJ	deliberative
democracies	NNS	democracy
,	,	,
the	DT	the
community-operated	JJ	<unknown>
gardens	NNS	garden
that	WDT	that
are	VBP	be
giving	VBG	give
us	PP	us
ways	NNS	way
to	TO	to
see	VB	see
each	DT	each
other	JJ	other
,	,	,
care	NN	care
for	IN	for
each	DT	each
other	JJ	other
and	CC	and
practice	NN	practice
citizening	NN	<unknown>
together	RB	together
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
have	VBP	have
to	TO	to
have	VB	have
a	DT	a
funeral	NN	funeral
and	CC	and
a	DT	a
baby	NN	baby
shower	NN	shower
.	SENT	.
AMB	NP	AMB
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
BT	NP	BT
:	:	:
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
AMB	NP	AMB
:	:	:
I	PP	I
really	RB	really
love	VBP	love
this	DT	this
.	SENT	.
And	CC	and
the	DT	the
only	JJ	only
thing	NN	thing
I	PP	I
would	MD	would
add	VB	add
to	TO	to
it	PP	it
,	,	,
right	RB	right
,	,	,
because	IN	because
I	PP	I
keep	VBP	keep
thinking	VBG	think
about	RB	about
how	WRB	how
there	EX	there
'	''	'
s	VBG	<unknown>
not	RB	not
one	CD	one
way	NN	way
and	CC	and
I	PP	I
think	VBP	think
as	IN	as
humans	NNS	human
,	,	,
we	PP	we
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
let	VB	let
go	VB	go
of	IN	of
the	DT	the
idea	NN	idea
that	IN	that
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
way	NN	way
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
have	VB	have
many	JJ	many
funerals	NNS	funeral
and	CC	and
many	JJ	many
babies	NNS	baby
born	VBN	bear
,	,	,
right	RB	right
?	SENT	?
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
to	TO	to
grieve	VB	grieve
,	,	,
and	CC	and
only	RB	only
you	PP	you
know	VBP	know
which	WDT	which
part	NN	part
of	IN	of
the	DT	the
grief	NN	grief
you	PP	you
'	POS	'
re	NN	re
carrying	NN	carrying
,	,	,
but	CC	but
everyone	NN	everyone
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
part	NN	part
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
all	RB	all
get	VBP	get
to	TO	to
lay	VB	lay
it	PP	it
in	IN	in
the	DT	the
ground	NN	ground
and	CC	and
then	RB	then
we	PP	we
all	RB	all
show	VBP	show
up	RP	up
for	IN	for
each	DT	each
other	JJ	other
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
up	RP	up
for	IN	for
yours	PP	yours
,	,	,
you	PP	you
show	VBP	show
up	RP	up
for	IN	for
mine	NN	mine
,	,	,
and	CC	and
then	RB	then
we	PP	we
all	RB	all
get	VB	get
to	TO	to
doula	NN	<unknown>
the	DT	the
next	JJ	next
world	NN	world
into	IN	into
being	VBG	be
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
great	JJ	great
job	NN	job
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
been	VBN	be
at	IN	at
a	DT	a
birth	NN	birth
,	,	,
but	CC	but
can	MD	can
you	PP	you
imagine	VB	imagine
birthing	VBG	birth
a	DT	a
world	NN	world
we	PP	we
wanted	VBD	want
to	TO	to
live	VB	live
in	IN	in
and	CC	and
that	DT	that
wanted	VBD	want
us	PP	us
there	RB	there
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
do	VBP	do
that	DT	that
.	SENT	.
BT	NP	BT
:	:	:
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
and	CC	and
then	RB	then
tell	VB	tell
that	DT	that
story	NN	story
so	IN	so
we	PP	we
can	MD	can
live	VB	live
that	DT	that
story	NN	story
.	SENT	.
AMB	NP	AMB
:	:	:
Let	NP	Let
'	POS	'
s	NNS	<unknown>
do	VBP	do
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
in	IN	in
.	SENT	.
BT	NP	BT
:	:	:
I	PP	I
'	POS	'
m	NN	m
in	IN	in
with	IN	with
you	PP	you
.	SENT	.
BT	NP	BT
:	:	:
Adrienne	NP	Adrienne
.	SENT	.
AMB	NP	AMB
:	:	:
Baratunde	NN	<unknown>
.	SENT	.
BT	NP	BT
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
