Who	WP	who
again	RB	again
until	IN	until
we	PP	we
find	VBP	find
the	DT	the
one	CD	one
,	,	,
the	DT	the
one	CD	one
molecule	NN	molecule
that	WDT	that
has	VBZ	have
resulted	VBN	result
from	IN	from
millions	NNS	million
of	IN	of
years	NNS	year
of	IN	of
evolution	NN	evolution
in	IN	in
our	PP$	our
oceans	NNS	ocean
'	POS	'
dark	JJ	dark
depths	NNS	depth
that	IN	that
we	PP	we
can	MD	can
now	RB	now
use	VB	use
in	IN	in
our	PP$	our
own	JJ	own
wars	NNS	war
against	IN	against
cancers	NNS	cancer
,	,	,
bacteria	NNS	bacterium
and	CC	and
viruses	NNS	virus
.	SENT	.
But	CC	but
once	RB	once
we	PP	we
find	VBP	find
these	DT	these
medicines	NNS	medicine
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
just	RB	just
rip	VB	rip
these	DT	these
animals	NNS	animal
from	IN	from
the	DT	the
reef	NN	reef
as	IN	as
our	PP$	our
source	NN	source
.	SENT	.
That	DT	that
would	MD	would
destroy	VB	destroy
the	DT	the
very	RB	very
vital	JJ	vital
biodiversity	NN	biodiversity
and	CC	and
resulting	VBG	result
competition	NN	competition
that	WDT	that
created	VBD	create
these	DT	these
molecules	NNS	molecule
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
come	VB	come
up	RP	up
with	IN	with
a	DT	a
complex	JJ	complex
mechanism	NN	mechanism
for	IN	for
manufacturing	VBG	manufacture
them	PP	them
in	IN	in
a	DT	a
lab	NN	lab
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
molecules	NNS	molecule
are	VBP	be
so	RB	so
complex	JJ	complex
we	PP	we
couldn	NN	<unknown>
'	POS	'
t	NN	t
even	RB	even
if	IN	if
we	PP	we
tried	VBD	try
.	SENT	.
But	CC	but
Mother	NP	Mother
Nature	NP	Nature
has	VBZ	have
done	VBN	do
the	DT	the
hard	JJ	hard
work	NN	work
for	IN	for
us	PP	us
.	SENT	.
Hidden	VBN	hide
in	IN	in
the	DT	the
DNA	NN	DNA
of	IN	of
these	DT	these
animals	NNS	animal
and	CC	and
their	PP$	their
associated	JJ	associated
microbes	NNS	microbe
are	VBP	be
the	DT	the
genes	NNS	gene
which	WDT	which
carry	VBP	carry
the	DT	the
biological	JJ	biological
recipes	NNS	recipe
for	IN	for
producing	VBG	produce
these	DT	these
molecules	NNS	molecule
.	SENT	.
Using	VBG	use
cutting-edge	NN	cutting-edge
techniques	NNS	technique
,	,	,
we	PP	we
can	MD	can
take	VB	take
these	DT	these
genes	NNS	gene
and	CC	and
insert	VB	insert
them	PP	them
into	IN	into
microbes	NNS	microbe
like	IN	like
yeast	NN	yeast
,	,	,
allowing	VBG	allow
us	PP	us
to	TO	to
grow	VB	grow
them	PP	them
in	IN	in
a	DT	a
bioreactor	NN	bioreactor
,	,	,
getting	VBG	get
the	DT	the
microbes	NNS	microbe
to	TO	to
do	VB	do
the	DT	the
hard	JJ	hard
work	NN	work
for	IN	for
us	PP	us
,	,	,
producing	VBG	produce
our	PP$	our
medicines	NNS	medicine
in	IN	in
a	DT	a
sustainable	JJ	sustainable
,	,	,
cost-effective	JJ	cost-effective
way	NN	way
without	IN	without
the	DT	the
need	NN	need
for	IN	for
harsh	JJ	harsh
chemicals	NNS	chemical
,	,	,
such	JJ	such
as	IN	as
heavy	JJ	heavy
metals	NNS	metal
,	,	,
that	WDT	that
can	MD	can
be	VB	be
required	VBN	require
in	IN	in
more	JJR	more
traditional	JJ	traditional
manufacturing	NN	manufacturing
processes	NNS	process
.	SENT	.
Our	PP$	our
research	NN	research
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
to	TO	to
help	VB	help
protect	VB	protect
the	DT	the
health	NN	health
of	IN	of
humanity	NN	humanity
,	,	,
but	CC	but
also	RB	also
to	TO	to
protect	VB	protect
the	DT	the
health	NN	health
of	IN	of
these	DT	these
hidden	JJ	hidden
reefs	NNS	reef
.	SENT	.
Deep-sea	NN	deep-sea
reefs	NNS	reef
wrap	VBP	wrap
around	RP	around
our	PP$	our
entire	JJ	entire
planet	NN	planet
,	,	,
and	CC	and
already	RB	already
over	IN	over
half	PDT	half
the	DT	the
reefs	NNS	reef
that	WDT	that
exist	VBP	exist
have	VBP	have
been	VBN	be
destroyed	VBN	destroy
,	,	,
turned	VBN	turn
to	TO	to
lifeless	JJ	lifeless
rubble	NN	rubble
by	IN	by
trawling	VBG	trawl
and	CC	and
longline	NN	<unknown>
fishing	NN	fishing
.	SENT	.
With	IN	with
new	JJ	new
threats	NNS	threat
on	IN	on
the	DT	the
horizon	NN	horizon
,	,	,
like	IN	like
deep-sea	NN	deep-sea
mining	NN	mining
,	,	,
they	PP	they
'	POS	'
re	NN	re
in	IN	in
more	JJR	more
danger	NN	danger
now	RB	now
than	IN	than
ever	RB	ever
before	RB	before
.	SENT	.
By	IN	by
proving	VBG	prove
that	IN	that
their	PP$	their
unique	JJ	unique
biodiversity	NN	biodiversity
can	MD	can
be	VB	be
a	DT	a
natural	JJ	natural
resource	NN	resource
for	IN	for
providing	VBG	provide
us	PP	us
with	IN	with
new	JJ	new
medicines	NNS	medicine
,	,	,
not	RB	not
only	RB	only
does	VBZ	do
this	DT	this
give	VB	give
a	DT	a
public	JJ	public
health	NN	health
incentive	NN	incentive
to	TO	to
protect	VB	protect
these	DT	these
reefs	NNS	reef
,	,	,
but	CC	but
a	DT	a
financial	JJ	financial
one	CD	one
also	RB	also
.	SENT	.
Like	IN	like
how	WRB	how
safari	NN	safari
tours	NNS	tour
provide	VBP	provide
the	DT	the
economic	JJ	economic
incentive	NN	incentive
to	TO	to
conserve	VB	conserve
savanna	NN	savanna
ecosystems	NNS	ecosystem
,	,	,
potential	JJ	potential
profits	NNS	profit
from	IN	from
pharmaceutical	JJ	pharmaceutical
sales	NNS	sale
could	MD	could
provide	VB	provide
the	DT	the
financial	JJ	financial
sustainability	NN	sustainability
to	TO	to
explore	VB	explore
and	CC	and
protect	VB	protect
these	DT	these
reefs	NNS	reef
.	SENT	.
We	PP	we
need	VBP	need
new	JJ	new
medicines	NNS	medicine
today	NN	today
more	JJR	more
than	IN	than
ever	RB	ever
before	RB	before
,	,	,
and	CC	and
the	DT	the
incredible	JJ	incredible
biodiversity	NN	biodiversity
that	IN	that
deep-sea	NN	deep-sea
reefs	NNS	reef
offer	VBP	offer
have	VBP	have
created	VBN	create
a	DT	a
fantastic	JJ	fantastic
library	NN	library
of	IN	of
natural	JJ	natural
molecules	NNS	molecule
,	,	,
which	WDT	which
we	PP	we
can	MD	can
develop	VB	develop
into	IN	into
our	PP$	our
future	JJ	future
medicines	NNS	medicine
.	SENT	.
Already	RB	already
,	,	,
our	PP$	our
research	NN	research
group	NN	group
has	VBZ	have
found	VBN	find
potential	JJ	potential
medicines	NNS	medicine
against	IN	against
asthma	NN	asthma
,	,	,
malaria	NN	malaria
and	CC	and
even	RB	even
COVID-19	NP	<unknown>
,	,	,
showing	VBG	show
the	DT	the
unbelievable	JJ	unbelievable
potential	NN	potential
of	IN	of
these	DT	these
reefs	NNS	reef
.	SENT	.
To	TO	to
protect	VB	protect
our	PP$	our
own	JJ	own
health	NN	health
we	PP	we
need	VBP	need
to	TO	to
protect	VB	protect
the	DT	the
health	NN	health
of	IN	of
deep-sea	NN	deep-sea
coral	NN	coral
reefs	NNS	reef
.	SENT	.
Our	PP$	our
future	JJ	future
pharmacies	NNS	pharmacy
are	VBP	be
hidden	VBN	hide
in	IN	in
our	PP$	our
seas	NNS	sea
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
