Many	JJ	many
troubles	VBZ	trouble
you	PP	you
?	SENT	?
LG	NN	LG
:	:	:
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
asked	VBN	ask
to	TO	to
lead	VB	lead
the	DT	the
Liberian	JJ	Liberian
Reconciliation	NN	reconciliation
Initiative	NP	Initiative
.	SENT	.
As	IN	as
part	NN	part
of	IN	of
my	PP$	my
work	NN	work
,	,	,
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
these	DT	these
tours	NNS	tour
in	IN	in
different	JJ	different
villages	NNS	village
and	CC	and
towns	NNS	town
—	:	-
13	CD	@card@
,	,	,
15	CD	@card@
hours	NNS	hour
on	IN	on
dirt	NN	dirt
roads	NNS	road
—	:	-
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
community	NN	community
that	IN	that
I	NP	I
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
into	IN	into
that	DT	that
I	NP	I
haven	NN	haven
'	POS	'
t	NN	t
seen	VBN	see
intelligent	JJ	intelligent
girls	NNS	girl
.	SENT	.
But	CC	but
sadly	RB	sadly
,	,	,
the	DT	the
vision	NN	vision
of	IN	of
a	DT	a
great	JJ	great
future	NN	future
,	,	,
or	CC	or
the	DT	the
dream	NN	dream
of	IN	of
a	DT	a
great	JJ	great
future	NN	future
,	,	,
is	VBZ	be
just	RB	just
a	DT	a
dream	NN	dream
,	,	,
because	IN	because
you	PP	you
have	VBP	have
all	DT	all
of	IN	of
these	DT	these
vices	NNS	vice
.	SENT	.
Teen	JJ	teen
pregnancy	NN	pregnancy
,	,	,
like	IN	like
I	PP	I
said	VBD	say
,	,	,
is	VBZ	be
epidemic	JJ	epidemic
.	SENT	.
So	RB	so
what	WP	what
troubles	VBZ	trouble
me	PP	me
is	VBZ	be
that	IN	that
I	PP	I
was	VBD	be
at	IN	at
that	DT	that
place	NN	place
and	CC	and
somehow	RB	somehow
I	NP	I
'	POS	'
m	NN	m
at	IN	at
this	DT	this
place	NN	place
,	,	,
and	CC	and
I	PP	I
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
only	JJ	only
one	CD	one
at	IN	at
this	DT	this
place	NN	place
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
looking	VBG	look
for	IN	for
ways	NNS	way
for	IN	for
other	JJ	other
girls	NNS	girl
to	TO	to
be	VB	be
with	IN	with
me	PP	me
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
look	VB	look
back	RB	back
20	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
and	CC	and
see	VBP	see
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
Liberian	JJ	Liberian
girl	NN	girl
,	,	,
Ghanaian	JJ	Ghanaian
girl	NN	girl
,	,	,
Nigerian	JJ	Nigerian
girl	NN	girl
,	,	,
Ethiopian	JJ	Ethiopian
girl	NN	girl
standing	NN	standing
on	IN	on
this	DT	this
TED	VBP	ted
stage	NN	stage
.	SENT	.
And	CC	and
maybe	RB	maybe
,	,	,
just	RB	just
maybe	RB	maybe
,	,	,
saying	VBG	say
,	,	,
"	''	"
Because	IN	because
of	IN	of
that	DT	that
Nobel	NP	Nobel
laureate	NN	laureate
I	NP	I
'	POS	'
m	NN	m
here	RB	here
today	NN	today
.	SENT	.
"	``	"
So	IN	so
I	PP	I
'	POS	'
m	NN	m
troubled	VBD	trouble
when	WRB	when
I	PP	I
see	VBP	see
them	PP	them
like	VBP	like
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
hope	NN	hope
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
also	RB	also
not	RB	not
pessimistic	JJ	pessimistic
,	,	,
because	IN	because
I	PP	I
know	VBP	know
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
take	VB	take
a	DT	a
lot	NN	lot
to	TO	to
get	VB	get
them	PP	them
charged	VBN	charge
up	RP	up
.	SENT	.
CA	MD	ca
:	:	:
And	CC	and
in	IN	in
the	DT	the
last	JJ	last
year	NN	year
,	,	,
tell	VB	tell
us	PP	us
one	CD	one
hopeful	JJ	hopeful
thing	NN	thing
that	IN	that
you	PP	you
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
happening	NN	happening
.	SENT	.
LG	NN	LG
:	:	:
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
many	JJ	many
hopeful	JJ	hopeful
things	NNS	thing
that	IN	that
I	NP	I
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
happening	NN	happening
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
last	JJ	last
year	NN	year
,	,	,
where	WRB	where
President	NP	President
Sirleaf	NP	<unknown>
comes	VBZ	come
from	IN	from
,	,	,
her	PP$	her
village	NN	village
,	,	,
we	PP	we
went	VBD	go
there	RB	there
to	TO	to
work	VB	work
with	IN	with
these	DT	these
girls	NNS	girl
.	SENT	.
And	CC	and
we	PP	we
could	MD	could
not	RB	not
find	VB	find
25	CD	@card@
girls	NNS	girl
in	IN	in
high	JJ	high
school	NN	school
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
girls	NNS	girl
went	VBD	go
to	TO	to
the	DT	the
gold	JJ	gold
mine	NN	mine
,	,	,
and	CC	and
they	PP	they
were	VBD	be
predominantly	RB	predominantly
prostitutes	NNS	prostitute
doing	VBG	do
other	JJ	other
things	NNS	thing
.	SENT	.
We	PP	we
took	VBD	take
50	CD	@card@
of	IN	of
those	DT	those
girls	NNS	girl
and	CC	and
we	PP	we
worked	VBD	work
with	IN	with
them	PP	them
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
elections	NNS	election
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
place	NN	place
where	WRB	where
women	NNS	woman
were	VBD	be
never	RB	never
—	:	-
even	RB	even
the	DT	the
older	JJR	old
ones	NNS	one
barely	RB	barely
sat	VBD	sit
in	IN	in
the	DT	the
circle	NN	circle
with	IN	with
the	DT	the
men	NNS	man
.	SENT	.
These	DT	these
girls	NNS	girl
banded	VBN	band
together	RB	together
and	CC	and
formed	VBD	form
a	DT	a
group	NN	group
and	CC	and
launched	VBD	launch
a	DT	a
campaign	NN	campaign
for	IN	for
voter	NN	voter
registration	NN	registration
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
rural	JJ	rural
village	NN	village
.	SENT	.
And	CC	and
the	DT	the
theme	NN	theme
they	PP	they
used	VBD	use
was	VBD	be
:	:	:
"	``	"
Even	RB	even
pretty	JJ	pretty
girls	NNS	girl
vote	NN	vote
.	SENT	.
"	``	"
They	PP	they
were	VBD	be
able	JJ	able
to	TO	to
mobilize	VB	mobilize
young	JJ	young
women	NNS	woman
.	SENT	.
But	CC	but
not	RB	not
only	RB	only
did	VBD	do
they	PP	they
do	VBP	do
that	IN	that
,	,	,
they	PP	they
went	VBD	go
to	TO	to
those	DT	those
who	WP	who
were	VBD	be
running	VBG	run
for	IN	for
seats	NNS	seat
to	TO	to
ask	VB	ask
them	PP	them
,	,	,
"	``	"
What	WP	what
is	VBZ	be
it	PP	it
that	IN	that
you	PP	you
will	MD	will
give	VB	give
the	DT	the
girls	NNS	girl
of	IN	of
this	DT	this
community	NN	community
when	WRB	when
you	PP	you
win	VBP	win
?	SENT	?
"	''	"
And	CC	and
one	CD	one
of	IN	of
the	DT	the
guys	NNS	guy
who	WP	who
already	RB	already
had	VBD	have
a	DT	a
seat	NN	seat
was	VBD	be
very	JJ	very
—	:	-
because	IN	because
Liberia	NP	Liberia
has	VBZ	have
one	CD	one
of	IN	of
the	DT	the
strongest	JJS	strong
rape	NN	rape
laws	NNS	law
,	,	,
and	CC	and
he	PP	he
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
really	RB	really
fighting	VBG	fight
in	IN	in
parliament	NN	parliament
to	TO	to
overturn	VB	overturn
that	DT	that
law	NN	law
because	IN	because
he	PP	he
called	VBD	call
it	PP	it
barbaric	JJ	barbaric
.	SENT	.
Rape	NN	rape
is	VBZ	be
not	RB	not
barbaric	JJ	barbaric
,	,	,
but	CC	but
the	DT	the
law	NN	law
,	,	,
he	PP	he
said	VBD	say
,	,	,
was	VBD	be
barbaric	JJ	barbaric
.	SENT	.
And	CC	and
when	WRB	when
the	DT	the
girls	NNS	girl
started	VBD	start
engaging	VBG	engage
him	PP	him
,	,	,
he	PP	he
was	VBD	be
very	RB	very
hostile	JJ	hostile
towards	IN	towards
them	PP	them
.	SENT	.
These	DT	these
little	JJ	little
girls	NNS	girl
turned	VBN	turn
to	TO	to
him	PP	him
and	CC	and
said	VBD	say
,	,	,
"	``	"
We	PP	we
will	MD	will
vote	VB	vote
you	PP	you
out	RP	out
of	IN	of
office	NN	office
.	SENT	.
"	``	"
He	PP	he
'	POS	'
s	NNS	<unknown>
out	RP	out
of	IN	of
office	NN	office
today	NN	today
.	SENT	.
CA	MD	ca
:	:	:
Leymah	NP	<unknown>
,	,	,
thank	VBP	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
coming	VBG	come
to	TO	to
TED	VB	ted
.	SENT	.
LG	NN	LG
:	:	:
You	PP	you
'	POS	'
re	NN	re
welcome	NN	welcome
.	SENT	.
