Do	VB	do
at	IN	at
your	PP$	your
smart	JJ	smart
phone	NN	phone
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
flashlight	NN	flashlight
,	,	,
an	DT	an
LED	VBN	lead
flashlight	NN	flashlight
.	SENT	.
These	DT	these
are	VBP	be
potential	JJ	potential
sources	NNS	source
for	IN	for
high-speed	JJ	high-speed
data	NNS	datum
transmission	NN	transmission
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NN	S
security	NN	security
.	SENT	.
You	PP	you
would	MD	would
agree	VB	agree
with	IN	with
me	PP	me
that	IN	that
light	JJ	light
doesn	NN	<unknown>
'	POS	'
t	NN	t
penetrate	VB	penetrate
through	IN	through
walls	NNS	wall
.	SENT	.
So	IN	so
no	DT	no
one	CD	one
,	,	,
if	IN	if
I	PP	I
have	VBP	have
a	DT	a
light	NN	light
here	RB	here
,	,	,
if	IN	if
I	PP	I
have	VBP	have
secure	JJ	secure
data	NNS	datum
,	,	,
no	RB	no
one	CD	one
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
this	DT	this
room	NN	room
through	IN	through
that	DT	that
wall	NN	wall
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
read	VB	read
that	DT	that
data	NNS	datum
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	JJ	<unknown>
only	JJ	only
data	NNS	datum
where	WRB	where
there	EX	there
is	VBZ	be
light	JJ	light
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
that	DT	that
receiver	NN	receiver
to	TO	to
receive	VB	receive
the	DT	the
data	NNS	datum
,	,	,
then	RB	then
what	WP	what
I	PP	I
could	MD	could
do	VB	do
,	,	,
turn	VB	turn
it	PP	it
away	RP	away
.	SENT	.
So	IN	so
the	DT	the
data	NN	data
goes	VBZ	go
in	IN	in
that	DT	that
direction	NN	direction
,	,	,
not	RB	not
there	RB	there
anymore	RB	anymore
.	SENT	.
Now	RB	now
we	PP	we
can	MD	can
in	IN	in
fact	NN	fact
see	VB	see
where	WRB	where
the	DT	the
data	NN	data
is	VBZ	be
going	VBG	go
to	TO	to
.	SENT	.
So	RB	so
for	IN	for
me	PP	me
,	,	,
the	DT	the
applications	NNS	application
of	IN	of
it	PP	it
,	,	,
to	TO	to
me	PP	me
,	,	,
are	VBP	be
beyond	IN	beyond
imagination	NN	imagination
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
We	PP	we
have	VBP	have
had	VBD	have
a	DT	a
century	NN	century
of	IN	of
very	RB	very
nice	JJ	nice
,	,	,
smart	JJ	smart
application	NN	application
developers	NNS	developer
.	SENT	.
And	CC	and
you	PP	you
only	RB	only
have	VB	have
to	TO	to
notice	VB	notice
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
light	NN	light
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
potential	JJ	potential
way	NN	way
to	TO	to
transmit	VB	transmit
data	NNS	datum
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
give	VB	give
you	PP	you
a	DT	a
few	JJ	few
examples	NNS	example
.	SENT	.
Well	RB	well
you	PP	you
may	MD	may
see	VB	see
the	DT	the
impact	NN	impact
already	RB	already
now	RB	now
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
remote	JJ	remote
operated	VBN	operate
vehicle	NN	vehicle
beneath	IN	beneath
the	DT	the
ocean	NN	ocean
.	SENT	.
And	CC	and
they	PP	they
use	VBP	use
light	JJ	light
to	TO	to
illuminate	VB	illuminate
space	NN	space
down	RB	down
there	RB	there
.	SENT	.
And	CC	and
this	DT	this
light	NN	light
can	MD	can
be	VB	be
used	VBN	use
to	TO	to
transmit	VB	transmit
wireless	NN	wireless
data	NNS	datum
that	IN	that
these	DT	these
things	NNS	thing
[	SYM	[
use	NN	use
]	SYM	]
to	TO	to
communicate	VB	communicate
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
Intrinsically	RB	intrinsically
safe	JJ	safe
environments	NNS	environment
like	IN	like
this	DT	this
petrochemical	NN	petrochemical
plant	NN	plant
—	:	-
you	PP	you
can	MD	can
'	''	'
t	NN	t
use	NN	use
RF	NP	RF
,	,	,
it	PP	it
may	MD	may
generate	VB	generate
antenna	NN	antenna
sparks	NNS	spark
,	,	,
but	CC	but
you	PP	you
can	MD	can
use	VB	use
light	NN	light
—	:	-
you	PP	you
see	VBP	see
plenty	NN	plenty
of	IN	of
light	NN	light
there	RB	there
.	SENT	.
In	IN	in
hospitals	NNS	hospital
,	,	,
for	IN	for
new	JJ	new
medical	JJ	medical
instruments	NNS	instrument
;	:	;
in	IN	in
streets	NNS	street
for	IN	for
traffic	NN	traffic
control	NN	control
.	SENT	.
Cars	NNS	car
have	VBP	have
LED-based	JJ	<unknown>
headlights	NNS	headlight
,	,	,
LED-based	JJ	<unknown>
back	JJ	back
lights	NNS	light
,	,	,
and	CC	and
cars	NNS	car
can	MD	can
communicate	VB	communicate
with	IN	with
each	DT	each
other	JJ	other
and	CC	and
prevent	VB	prevent
accidents	NNS	accident
in	IN	in
the	DT	the
way	NN	way
that	IN	that
they	PP	they
exchange	VBP	exchange
information	NN	information
.	SENT	.
Traffic	NN	traffic
lights	NNS	light
can	MD	can
communicate	VB	communicate
to	TO	to
the	DT	the
car	NN	car
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
have	VBP	have
these	DT	these
millions	NNS	million
of	IN	of
street	NN	street
lamps	NNS	lamp
deployed	VBN	deploy
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
every	DT	every
street	NN	street
lamp	NN	lamp
could	MD	could
be	VB	be
a	DT	a
free	JJ	free
access	NN	access
point	NN	point
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
,	,	,
in	IN	in
fact	NN	fact
,	,	,
a	DT	a
Li-Fi	NP	<unknown>
,	,	,
light-	NN	<unknown>
fidelity	NN	fidelity
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
have	VBP	have
these	DT	these
aircraft	NN	aircraft
cabins	NNS	cabin
.	SENT	.
There	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
lights	NNS	light
in	IN	in
an	DT	an
aircraft	NN	aircraft
cabin	NN	cabin
,	,	,
and	CC	and
each	DT	each
of	IN	of
these	DT	these
lights	NNS	light
could	MD	could
be	VB	be
a	DT	a
potential	JJ	potential
transmitter	NN	transmitter
of	IN	of
wireless	NN	wireless
data	NNS	datum
.	SENT	.
So	RB	so
you	PP	you
could	MD	could
enjoy	VB	enjoy
your	PP$	your
most	RBS	most
favorite	JJ	favorite
TED	VBP	ted
video	NN	video
on	IN	on
your	PP$	your
long	JJ	long
flight	NN	flight
back	NN	back
home	NN	home
.	SENT	.
Online	JJ	online
life	NN	life
.	SENT	.
So	RB	so
that	DT	that
is	VBZ	be
a	DT	a
vision	NN	vision
,	,	,
I	PP	I
think	VBP	think
,	,	,
that	WDT	that
is	VBZ	be
possible	JJ	possible
.	SENT	.
So	RB	so
,	,	,
all	RB	all
we	PP	we
would	MD	would
need	VB	need
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
fit	VB	fit
a	DT	a
small	JJ	small
microchip	NN	microchip
to	TO	to
every	DT	every
potential	JJ	potential
illumination	NN	illumination
device	NN	device
.	SENT	.
And	CC	and
this	DT	this
would	MD	would
then	RB	then
combine	VB	combine
two	CD	two
basic	JJ	basic
functionalities	NNS	functionality
:	:	:
illumination	NN	illumination
and	CC	and
wireless	NN	wireless
data	NNS	datum
transmission	NN	transmission
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
symbiosis	NN	symbiosis
that	IN	that
I	PP	I
personally	RB	personally
believe	VBP	believe
could	MD	could
solve	VB	solve
the	DT	the
four	CD	four
essential	JJ	essential
problems	NNS	problem
that	WDT	that
face	VBP	face
us	PP	us
in	IN	in
wireless	NN	wireless
communication	NN	communication
these	DT	these
days	NNS	day
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
future	NN	future
,	,	,
you	PP	you
would	MD	would
not	RB	not
only	RB	only
have	VBP	have
14	CD	@card@
billion	NN	billion
light	NN	light
bulbs	NNS	bulb
,	,	,
you	PP	you
may	MD	may
have	VB	have
14	CD	@card@
billion	NNS	billion
Li-Fis	NP	<unknown>
deployed	VBD	deploy
worldwide	RB	worldwide
—	:	-
for	IN	for
a	DT	a
cleaner	NN	cleaner
,	,	,
a	DT	a
greener	JJR	green
,	,	,
and	CC	and
even	RB	even
a	DT	a
brighter	JJR	bright
future	NN	future
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
