Corey	NP	Corey
same	JJ	same
type	NN	type
of	IN	of
programs	NNS	program
that	IN	that
we	PP	we
'	''	'
re	IN	re
having	VBG	have
now	RB	now
.	SENT	.
Yes	UH	yes
,	,	,
OK	UH	OK
,	,	,
same	JJ	same
thing	NN	thing
.	SENT	.
Interest	NN	interest
rates	NNS	rate
hit	VBD	hit
zero	CD	zero
.	SENT	.
Same	JJ	same
thing	NN	thing
,	,	,
OK	UH	OK
,	,	,
same	JJ	same
dynamics	NNS	dynamics
.	SENT	.
And	CC	and
then	RB	then
,	,	,
there	EX	there
is	VBZ	be
--	:	--
That	DT	that
money	NN	money
causes	VBZ	cause
an	DT	an
expansion	NN	expansion
from	IN	from
that	DT	that
point	NN	point
.	SENT	.
How	WRB	how
long	RB	long
does	VBZ	do
it	PP	it
take	VB	take
for	IN	for
the	DT	the
stock	NN	stock
market	NN	market
to	TO	to
exceed	VB	exceed
its	PP$	its
highs	NNS	high
?	SENT	?
Or	CC	or
how	WRB	how
long	RB	long
does	VBZ	do
it	PP	it
take	VB	take
for	IN	for
the	DT	the
economy	NN	economy
to	TO	to
exceed	VB	exceed
its	PP$	its
former	JJ	former
highs	NNS	high
?	SENT	?
A	DT	a
long	JJ	long
time	NN	time
.	SENT	.
OK	UH	OK
.	SENT	.
Do	VB	do
I	PP	I
think	VB	think
that	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
in	IN	in
?	SENT	?
Yes	UH	yes
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
in	IN	in
.	SENT	.
We	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
that	IN	that
happen	RB	happen
repeatedly	RB	repeatedly
in	IN	in
history	NN	history
.	SENT	.
Saw	VBD	see
it	PP	it
many	JJ	many
,	,	,
many	JJ	many
times	NNS	time
;	:	;
it	PP	it
'	POS	'
s	NN	S
just	RB	just
the	DT	the
most	RBS	most
recent	JJ	recent
one	CD	one
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
structure	NN	structure
to	TO	to
that	DT	that
.	SENT	.
So	CC	so
yes	UH	yes
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
recession	NN	recession
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
breakdown	NN	breakdown
,	,	,
an	DT	an
operation	NN	operation
that	IN	that
I	NP	I
'	POS	'
m	NN	m
just	RB	just
describing	VBG	describe
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
it	PP	it
'	POS	'
s	NN	S
dealt	VBD	deal
with	IN	with
,	,	,
the	DT	the
production	NN	production
of	IN	of
money	NN	money
and	CC	and
credit	NN	credit
and	CC	and
all	DT	all
of	IN	of
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
in	IN	in
.	SENT	.
CH	NP	CH
:	:	:
And	CC	and
so	IN	so
you	PP	you
'	POS	'
ve	NN	ve
talked	VBD	talk
about	RB	about
,	,	,
there	EX	there
are	VBP	be
sort	NN	sort
of	IN	of
four	CD	four
levers	NNS	lever
to	TO	to
recovery	NN	recovery
after	IN	after
a	DT	a
depression	NN	depression
:	:	:
cutting	VBG	cut
spending	NN	spending
,	,	,
also	RB	also
known	VBN	know
as	IN	as
austerity	NN	austerity
;	:	;
debt	NN	debt
restructuring	NN	restructuring
,	,	,
or	CC	or
forgiveness	NN	forgiveness
;	:	;
redistribution	NN	redistribution
of	IN	of
wealth	NN	wealth
through	IN	through
taxes	NNS	tax
,	,	,
potentially	RB	potentially
;	:	;
and	CC	and
printing	NN	printing
of	IN	of
money	NN	money
,	,	,
some	DT	some
of	IN	of
these	DT	these
things	NNS	thing
you	PP	you
'	POS	'
ve	NN	ve
mentioned	VBD	mention
.	SENT	.
Will	MD	will
those	DT	those
things	NNS	thing
get	VBP	get
us	PP	us
out	RP	out
of	IN	of
this	DT	this
situation	NN	situation
,	,	,
since	RB	since
,	,	,
as	IN	as
you	PP	you
feel	VBP	feel
,	,	,
it	PP	it
'	POS	'
s	NN	S
happened	VBD	happen
before	RB	before
?	SENT	?
But	CC	but
how	WRB	how
would	MD	would
you	PP	you
think	VB	think
about	IN	about
balancing	VBG	balance
these	DT	these
tools	NNS	tool
right	RB	right
now	RB	now
?	SENT	?
RD	NP	RD
:	:	:
Yeah	RB	yeah
,	,	,
those	DT	those
are	VBP	be
the	DT	the
tools	NNS	tool
since	IN	since
eternity	NN	eternity
,	,	,
basically	RB	basically
,	,	,
since	IN	since
recorded	VBN	record
history	NN	history
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
operated	VBD	operate
,	,	,
and	CC	and
I	PP	I
think	VBP	think
what	WP	what
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
is	VBZ	be
a	DT	a
combination	NN	combination
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
,	,	,
of	IN	of
printing	NN	printing
money	NN	money
and	CC	and
redistribution	NN	redistribution
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
will	MD	will
last	VB	last
.	SENT	.
.	SENT	.
.	SENT	.
These	DT	these
things	NNS	thing
happen	VBP	happen
pretty	RB	pretty
quickly	RB	quickly
,	,	,
they	PP	they
last	VBP	last
maybe	RB	maybe
a	DT	a
couple	NN	couple
or	CC	or
three	CD	three
years	NNS	year
in	IN	in
terms	NNS	term
of	IN	of
that	DT	that
process	NN	process
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
have	VBP	have
a	DT	a
rebuilding	NN	rebuilding
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
dealt	VBD	deal
with	IN	with
with	IN	with
creativity	NN	creativity
.	SENT	.
The	DT	the
greatest	JJS	great
force	NN	force
,	,	,
through	IN	through
time	NN	time
,	,	,
is	VBZ	be
inventiveness	NN	inventiveness
,	,	,
human	JJ	human
inventiveness	NN	inventiveness
,	,	,
adaptability	NN	adaptability
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
these	DT	these
restructurings	NNS	restructuring
happen	VBP	happen
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
the	DT	the
kind	NN	kind
of	IN	of
inventiveness	NN	inventiveness
that	IN	that
you	PP	you
just	RB	just
saw	VBD	see
from	IN	from
Marko	NP	Marko
,	,	,
OK	UH	OK
?	SENT	?
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
power	NN	power
of	IN	of
that	DT	that
adaptation	NN	adaptation
that	WDT	that
is	VBZ	be
the	DT	the
greatest	JJS	great
power	NN	power
.	SENT	.
I	PP	I
did	VBD	do
a	DT	a
study	NN	study
,	,	,
which	WDT	which
is	VBZ	be
on	IN	on
LinkedIn	NP	<unknown>
if	IN	if
anyone	NN	anyone
wants	VBZ	want
to	TO	to
see	VB	see
it	PP	it
,	,	,
and	CC	and
it	PP	it
goes	VBZ	go
back	RB	back
500	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
it	PP	it
shows	VBZ	show
real	JJ	real
GDP	NP	GDP
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
the	DT	the
economic	JJ	economic
activity	NN	activity
going	VBG	go
back	RB	back
there	RB	there
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
line	NN	line
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
see	VB	see
these	DT	these
depressions	NNS	depression
,	,	,
as	IN	as
we	PP	we
'	POS	'
re	NN	re
calling	VBG	call
them	PP	them
,	,	,
even	RB	even
on	IN	on
that	DT	that
line	NN	line
that	WDT	that
barely	RB	barely
wiggles	VBZ	wiggle
.	SENT	.
When	WRB	when
you	PP	you
go	VBP	go
into	IN	into
it	PP	it
and	CC	and
you	PP	you
look	VBP	look
at	IN	at
that	DT	that
piece	NN	piece
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
looks	VBZ	look
like	IN	like
.	SENT	.
GDP	NP	GDP
falls	VBZ	fall
10	CD	@card@
percent	NN	percent
,	,	,
unemployment	NN	unemployment
goes	VBZ	go
up	RP	up
,	,	,
and	CC	and
it	PP	it
passes	VBZ	pass
.	SENT	.
And	CC	and
because	IN	because
the	DT	the
greatest	JJS	great
force	NN	force
is	VBZ	be
the	DT	the
force	NN	force
of	IN	of
adaptation	NN	adaptation
and	CC	and
inventiveness	NN	inventiveness
,	,	,
if	IN	if
we	PP	we
can	MD	can
operate	VB	operate
well	RB	well
together	RB	together
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
look	VB	look
like	IN	like
over	IN	over
this	DT	this
period	NN	period
of	IN	of
time	NN	time
.	SENT	.
It	PP	it
will	MD	will
pass	VB	pass
,	,	,
the	DT	the
world	NN	world
will	MD	will
be	VB	be
very	RB	very
different	JJ	different
,	,	,
there	EX	there
will	MD	will
be	VB	be
a	DT	a
new	JJ	new
world	NN	world
order	NN	order
,	,	,
but	CC	but
it	PP	it
will	MD	will
pass	VB	pass
,	,	,
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
be	VB	be
inventive	JJ	inventive
,	,	,
because	IN	because
what	WP	what
we	PP	we
'	POS	'
re	NN	re
dealing	VBG	deal
with	IN	with
now	RB	now
is	VBZ	be
just	RB	just
money	NN	money
and	CC	and
credit	NN	credit
.	SENT	.
Money	NN	money
and	CC	and
credit	NN	credit
is	VBZ	be
just	RB	just
digital	JJ	digital
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
no	RB	no
--	:	--
There	EX	there
is	VBZ	be
real	JJ	real
good	JJ	good
services	NNS	service
,	,	,
you	PP	you
know	VBP	know
,	,	,
those	DT	those
are	VBP	be
real	JJ	real
.	SENT	.
But	CC	but
everything	NN	everything
else	RB	else
is	VBZ	be
just	RB	just
accounting	VBG	account
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
you	PP	you
change	VBP	change
the	DT	the
digits	NNS	digit
,	,	,
and	CC	and
you	PP	you
work	VBP	work
those	DT	those
things	NNS	thing
out	RP	out
,	,	,
and	CC	and
you	PP	you
work	VBP	work
yourself	PP	yourself
through	RP	through
,	,	,
that	WDT	that
takes	VBZ	take
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
at	IN	at
most	JJS	most
,	,	,
kind	RB	kind
of	IN	of
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
come	VBP	come
back	RB	back
into	IN	into
a	DT	a
restructured	VBN	restructure
environment	NN	environment
.	SENT	.
And	CC	and
it	PP	it
could	MD	could
be	VB	be
said	VBN	say
that	IN	that
it	PP	it
is	VBZ	be
really	RB	really
healthy	JJ	healthy
in	IN	in
many	JJ	many
ways	NNS	way
.	SENT	.
Because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
stress	NN	stress
test	NN	test
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
history	NN	history
,	,	,
people	NNS	people
have	VBP	have
gotten	VBN	get
--	:	--
sometimes	RB	sometimes
they	PP	they
get	VBP	get
weaker	JJR	weak
,	,	,
or	CC	or
they	PP	they
'	POS	'
re	NN	re
not	RB	not
prepared	VBN	prepare
in	IN	in
many	JJ	many
ways	NNS	way
.	SENT	.
Weaker	JJR	weak
in	IN	in
terms	NNS	term
of	IN	of
,	,	,
maybe	RB	maybe
they	PP	they
don	VB	don
'	''	'
t	NN	t
build	VB	build
enough	JJ	enough
savings	NNS	saving
and	CC	and
they	PP	they
operate	VBP	operate
that	IN	that
,	,	,
or	CC	or
maybe	RB	maybe
they	PP	they
emphasize	VBP	emphasize
luxuries	NNS	luxury
over	IN	over
necessities	NNS	necessity
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
reorienting	VBG	reorient
type	NN	type
of	IN	of
experience	NN	experience
that	IN	that
,	,	,
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
makes	VBZ	make
us	PP	us
healthy	JJ	healthy
.	SENT	.
Even	RB	even
appreciating	VBG	appreciate
the	DT	the
basics	NNS	basic
of	IN	of
life	NN	life
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
Ray	NP	Ray
,	,	,
just	RB	just
popping	VBG	pop
in	IN	in
here	RB	here
with	IN	with
a	DT	a
couple	NN	couple
of	IN	of
questions	NNS	question
from	IN	from
our	PP$	our
online	JJ	online
audience	NN	audience
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
main	JJ	main
question	NN	question
early	RB	early
on	RB	on
was	VBD	be
just	RB	just
,	,	,
how	WRB	how
difficult	JJ	difficult
do	VBP	do
you	PP	you
think	VBP	think
the	DT	the
days	NNS	day
ahead	RB	ahead
are	VBP	be
for	IN	for
the	DT	the
economy	NN	economy
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ve	NN	ve
answered	VBD	answer
that	IN	that
very	RB	very
vigorously	RB	vigorously
.	SENT	.
Like	IN	like
,	,	,
using	VBG	use
that	DT	that
word	NN	word
,	,	,
"	''	"
depression	NN	depression
,	,	,
"	''	"
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
strong	JJ	strong
word	NN	word
.	SENT	.
Tell	VB	tell
me	PP	me
if	IN	if
I	PP	I
have	VBP	have
this	DT	this
right	NN	right
--	:	--
it	PP	it
feels	VBZ	feel
to	TO	to
me	PP	me
like	IN	like
what	WP	what
you	PP	you
just	RB	just
said	VBD	say
there	EX	there
is	VBZ	be
stronger	JJR	strong
than	IN	than
most	JJS	most
people	NNS	people
in	IN	in
the	DT	the
market	NN	market
seem	VBP	seem
to	TO	to
believe	VB	believe
.	SENT	.
The	DT	the
market	NN	market
is	VBZ	be
behaving	VBG	behave
as	IN	as
if	IN	if
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
the	DT	the
bad	JJ	bad
news	NN	news
,	,	,
and	CC	and
it	PP	it
sort	VBP	sort
of	IN	of
,	,	,
kind	NN	kind
of	IN	of
wants	VBZ	want
to	TO	to
come	VB	come
back	RB	back
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
seem	VBP	seem
to	TO	to
think	VB	think
that	IN	that
within	IN	within
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
a	DT	a
year	NN	year
,	,	,
we	PP	we
'	POS	'
ll	NN	ll
kind	RB	kind
of	IN	of
be	VB	be
back	RB	back
where	WRB	where
we	PP	we
are	VBP	be
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
no	UH	no
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
longer	RBR	longer
.	SENT	.
Does	VBZ	do
that	DT	that
imply	VBP	imply
that	IN	that
there	EX	there
is	VBZ	be
basically	RB	basically
sort	NN	sort
of	IN	of
some	DT	some
systemic	JJ	systemic
shots	NNS	shot
that	IN	that
the	DT	the
market	NN	market
hasn	NN	<unknown>
'	POS	'
t	NN	t
yet	RB	yet
fully	RB	fully
seen	VBN	see
,	,	,
perhaps	RB	perhaps
to	TO	to
do	VB	do
with	IN	with
the	DT	the
inability	NN	inability
of	IN	of
some	DT	some
players	NNS	player
to	TO	to
handle	VB	handle
the	DT	the
extreme	JJ	extreme
levels	NNS	level
of	IN	of
debt	NN	debt
that	WDT	that
are	VBP	be
piling	VBG	pile
up	RP	up
right	RB	right
now	RB	now
,	,	,
as	IN	as
people	NNS	people
can	MD	can
'	''	'
t	NN	t
work	NN	work
?	SENT	?
RD	NP	RD
:	:	:
Yeah	RB	yeah
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
speak	VBP	speak
for	IN	for
what	WP	what
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
thinking	VBG	think
out	RP	out
there	RB	there
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
markets	NNS	market
are	VBP	be
off	JJ	off
,	,	,
depending	VBG	depend
on	IN	on
what	WP	what
market	NN	market
and	CC	and
depending	VBG	depend
on	IN	on
what	WP	what
country	NN	country
you	PP	you
'	POS	'
re	NN	re
in	IN	in
,	,	,
you	PP	you
know	VBP	know
,	,	,
something	NN	something
in	IN	in
the	DT	the
vicinity	NN	vicinity
of	IN	of
25	CD	@card@
to	TO	to
45	CD	@card@
or	CC	or
50	CD	@card@
percent	NN	percent
,	,	,
depending	VBG	depend
what	WP	what
currency	NN	currency
you	PP	you
'	POS	'
re	NN	re
managing	NN	managing
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
emerging	VBG	emerge
markets	NNS	market
,	,	,
they	PP	they
'	POS	'
re	NN	re
worse	RBR	worse
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
as	RB	as
much	JJ	much
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
I	PP	I
can	MD	can
describe	VB	describe
what	WP	what
I	PP	I
see	VBP	see
,	,	,
OK	UH	OK
?	SENT	?
We	PP	we
see	VBP	see
something	NN	something
like	IN	like
20	CD	@card@
trillion	CD	trillion
dollars	NNS	dollar
of	IN	of
losses	NNS	loss
.	SENT	.
OK	UH	OK
,	,	,
we	PP	we
see	VBP	see
--	:	--
If	IN	if
you	PP	you
work	VBP	work
that	IN	that
through	IN	through
,	,	,
and	CC	and
you	PP	you
say	VBP	say
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
money	NN	money
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
credit	NN	credit
,	,	,
your	PP$	your
business	NN	business
can	MD	can
fail	VB	fail
.	SENT	.
You	PP	you
know	VBP	know
this	DT	this
,	,	,
we	PP	we
see	VBP	see
this	DT	this
all	RB	all
around	IN	around
us	PP	us
.	SENT	.
So	RB	so
there	EX	there
can	MD	can
be	VB	be
failures	NNS	failure
when	WRB	when
there	EX	there
can	MD	can
'	''	'
t	NN	t
be	VB	be
payments	NNS	payment
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
who	WP	who
gets	VBZ	get
what	WP	what
check	VBP	check
to	TO	to
make	VB	make
those	DT	those
payments	NNS	payment
and	CC	and
get	VB	get
past	IN	past
it	PP	it
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
giant	JJ	giant
restructuring	NN	restructuring
of	IN	of
the	DT	the
IOUs	NNS	IOU
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
work	VB	work
out	RP	out
.	SENT	.
When	WRB	when
hospitals	NNS	hospital
can	MD	can
go	VB	go
broke	RB	broke
--	:	--
because	IN	because
this	DT	this
is	VBZ	be
terribly	RB	terribly
costly	JJ	costly
for	IN	for
hospitals	NNS	hospital
,	,	,
and	CC	and
they	PP	they
will	MD	will
not	RB	not
fully	RB	fully
recover	VB	recover
their	PP$	their
losses	NNS	loss
,	,	,
hospitals	NNS	hospital
will	MD	will
go	VB	go
broke	RB	broke
,	,	,
even	RB	even
though	IN	though
we	PP	we
know	VBP	know
that	IN	that
they	PP	they
need	VBP	need
them	PP	them
.	SENT	.
So	RB	so
you	PP	you
have	VBP	have
to	TO	to
go	VB	go
entity	NN	entity
by	IN	by
entity	NN	entity
through	IN	through
this	DT	this
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
'	POS	'
ll	NNS	<unknown>
go	VBP	go
through	IN	through
the	DT	the
process	NN	process
of	IN	of
who	WP	who
will	MD	will
pay	VB	pay
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
not	RB	not
--	:	--
You	PP	you
know	VBP	know
,	,	,
some	DT	some
people	NNS	people
mistake	VBP	mistake
this	DT	this
as	RB	as
--	:	--
There	EX	there
is	VBZ	be
a	DT	a
virus	NN	virus
,	,	,
and	CC	and
the	DT	the
virus	NN	virus
may	MD	may
come	VB	come
and	CC	and
go	VB	go
,	,	,
OK	UH	OK
?	SENT	?
Maybe	RB	maybe
we	PP	we
never	RB	never
see	VBP	see
it	PP	it
again	RB	again
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
likely	JJ	likely
,	,	,
but	CC	but
people	NNS	people
tell	VBP	tell
me	PP	me
,	,	,
but	CC	but
who	WP	who
knows	VBZ	know
.	SENT	.
But	CC	but
if	IN	if
it	PP	it
never	RB	never
came	VBD	come
back	RB	back
again	RB	again
,	,	,
there	EX	there
will	MD	will
be	VB	be
those	DT	those
who	WP	who
are	VBP	be
broke	JJ	broke
and	CC	and
who	WP	who
will	MD	will
have	VB	have
loss	NN	loss
of	IN	of
income	NN	income
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
change	VB	change
how	WRB	how
we	PP	we
operate	VBP	operate
,	,	,
in	IN	in
a	DT	a
way	NN	way
.	SENT	.
The	DT	the
supply	NN	supply
lines	NNS	line
are	VBP	be
going	VBG	go
to	TO	to
change	VB	change
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
self-sufficiency	NN	self-sufficiency
.	SENT	.
What	WP	what
is	VBZ	be
self-sufficiency	NN	self-sufficiency
now	RB	now
going	VBG	go
to	TO	to
mean	VB	mean
?	SENT	?
Do	VB	do
we	PP	we
have	VBP	have
enough	RB	enough
of	IN	of
this	DT	this
and	CC	and
that	DT	that
?	SENT	?
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
restructure	VB	restructure
our	PP$	our
economy	NN	economy
.	SENT	.
And	CC	and
restructure	VB	restructure
the	DT	the
financial	JJ	financial
system	NN	system
in	IN	in
ways	NNS	way
that	WDT	that
mean	VBP	mean
we	PP	we
are	VBP	be
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
back	RB	back
to	TO	to
the	DT	the
way	NN	way
it	PP	it
was	VBD	be
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
do	VBP	do
you	PP	you
see	VBP	see
systemic	JJ	systemic
threats	NNS	threat
to	TO	to
the	DT	the
financial	JJ	financial
industry	NN	industry
as	IN	as
great	JJ	great
or	CC	or
greater	JJR	great
than	IN	than
happened	VBN	happen
in	IN	in
2008	CD	@card@
?	SENT	?
RD	NP	RD
:	:	:
Yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
bigger	JJR	big
than	IN	than
what	WP	what
happened	VBD	happen
in	IN	in
2008	CD	@card@
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
distinguish	VB	distinguish
it	PP	it
.	SENT	.
In	IN	in
2008	CD	@card@
,	,	,
we	PP	we
had	VBD	have
banks	NNS	bank
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
thing	NN	thing
,	,	,
meaning	VBG	mean
,	,	,
you	PP	you
have	VBP	have
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
leverage	NN	leverage
,	,	,
things	NNS	thing
go	VBP	go
down	RP	down
,	,	,
too	RB	too
much	JJ	much
leverage	NN	leverage
means	VBZ	mean
you	PP	you
'	POS	'
re	NN	re
broke	VBD	break
,	,	,
in	IN	in
accounting	NN	accounting
terms	NNS	term
.	SENT	.
So	RB	so
then	RB	then
you	PP	you
look	VBP	look
around	RP	around
and	CC	and
you	PP	you
say	VBP	say
,	,	,
who	WP	who
are	VBP	be
the	DT	the
systemically	RB	systemically
important	JJ	important
entities	NNS	entity
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
go	VB	go
broke	RB	broke
?	SENT	?
Because	RB	because
,	,	,
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
lose	VB	lose
those	DT	those
banks	NNS	bank
at	IN	at
this	DT	this
time	NN	time
?	SENT	?
And	CC	and
then	RB	then
you	PP	you
can	MD	can
make	VB	make
up	RP	up
money	NN	money
and	CC	and
make	VB	make
up	RP	up
credit	NN	credit
and	CC	and
you	PP	you
can	MD	can
keep	VB	keep
them	PP	them
alive	JJ	alive
in	IN	in
some	DT	some
way	NN	way
,	,	,
and	CC	and
you	PP	you
did	VBD	do
it	PP	it
with	IN	with
banks	NNS	bank
,	,	,
and	CC	and
through	IN	through
the	DT	the
banks	NNS	bank
,	,	,
there	EX	there
were	VBD	be
the	DT	the
mortgages	NNS	mortgage
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
looked	VBD	look
like	IN	like
.	SENT	.
This	DT	this
is	VBZ	be
more	RBR	more
complex	JJ	complex
than	IN	than
that	IN	that
,	,	,
because	IN	because
there	EX	there
are	VBP	be
the	DT	the
banks	NNS	bank
,	,	,
and	CC	and
then	RB	then
there	EX	there
are	VBP	be
those	DT	those
,	,	,
all	RB	all
of	IN	of
those	DT	those
that	WDT	that
are	VBP	be
beyond	IN	beyond
banks	NNS	bank
.	SENT	.
All	PDT	all
the	DT	the
little	JJ	little
businesses	NNS	business
,	,	,
all	RB	all
of	IN	of
those	DT	those
in	IN	in
all	PDT	all
the	DT	the
different	JJ	different
places	NNS	place
that	WDT	that
are	VBP	be
beyond	IN	beyond
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
bigger	JJR	big
crisis	NN	crisis
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
less	RBR	less
effective	JJ	effective
monetary	JJ	monetary
policy	NN	policy
,	,	,
because	IN	because
interest	NN	interest
rates	NNS	rate
declines	NNS	decline
have	VBP	have
reached	VBN	reach
their	PP$	their
limit	NN	limit
.	SENT	.
And	CC	and
just	RB	just
buying	VBG	buy
financial	JJ	financial
assets	NNS	asset
by	IN	by
the	DT	the
central	JJ	central
bank	NN	bank
and	CC	and
buying	VBG	buy
the	DT	the
normal	JJ	normal
financial	JJ	financial
assets	NNS	asset
won	NN	won
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
buy	VB	buy
the	DT	the
debt	NN	debt
of	IN	of
the	DT	the
government	NN	government
and	CC	and
the	DT	the
government	NN	government
,	,	,
or	CC	or
the	DT	the
many	JJ	many
governments	NNS	government
,	,	,
have	VBP	have
to	TO	to
be	VB	be
effective	JJ	effective
in	IN	in
getting	VBG	get
buying	NN	buying
power	NN	power
and	CC	and
production	NN	production
to	TO	to
those	DT	those
who	WP	who
need	VBP	need
it	PP	it
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
CA	MD	ca
:	:	:
I	PP	I
have	VBP	have
one	CD	one
last	JJ	last
question	NN	question
,	,	,
and	CC	and
then	RB	then
I	PP	I
'	''	'
ll	NN	ll
be	VB	be
back	RB	back
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
hour	NN	hour
,	,	,
Corey	NP	Corey
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
back	RB	back
to	TO	to
you	PP	you
.	SENT	.
So	RB	so
,	,	,
given	VBN	give
