Ten	CD	ten
our	PP$	our
correspondents	NNS	correspondent
there	RB	there
and	CC	and
to	TO	to
phone	VB	phone
our	PP$	our
newsroom	NN	newsroom
and	CC	and
to	TO	to
tell	VB	tell
them	PP	them
,	,	,
"	``	"
Make	VB	make
your	PP$	your
best	RBS	well
not	RB	not
to	TO	to
switch	VB	switch
off	RP	off
the	DT	the
cameras	NNS	camera
at	IN	at
night	NN	night
,	,	,
because	IN	because
the	DT	the
guys	NNS	guy
there	RB	there
really	RB	really
feel	VB	feel
confident	JJ	confident
when	WRB	when
someone	NN	someone
is	VBZ	be
reporting	VBG	report
their	PP$	their
story	NN	story
â	NP	<unknown>
and	CC	and
they	PP	they
feel	VBP	feel
protected	VBN	protect
as	RB	as
well	RB	well
.	SENT	.
"	``	"
So	RB	so
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
create	VB	create
a	DT	a
new	JJ	new
future	NN	future
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
go	VB	go
and	CC	and
to	TO	to
think	VB	think
of	IN	of
the	DT	the
future	NN	future
as	IN	as
something	NN	something
which	WDT	which
is	VBZ	be
open	JJ	open
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
Let	VB	let
us	PP	us
not	RB	not
repeat	VB	repeat
the	DT	the
mistake	NN	mistake
of	IN	of
Iran	NP	Iran
,	,	,
of	IN	of
[	SYM	[
the	NP	the
]	SYM	]
Mosaddeq	NP	<unknown>
revolution	NN	revolution
.	SENT	.
Let	VB	let
us	PP	us
free	VB	free
ourselves	PP	ourselves
â	NP	<unknown>
especially	RB	especially
in	IN	in
the	DT	the
West	NP	West
â	NP	<unknown>
from	IN	from
thinking	VBG	think
about	IN	about
that	DT	that
part	NN	part
of	IN	of
the	DT	the
world	NN	world
based	VBN	base
on	IN	on
oil	NN	oil
interest	NN	interest
,	,	,
or	CC	or
based	VBN	base
on	IN	on
interests	NNS	interest
of	IN	of
the	DT	the
illusion	NN	illusion
of	IN	of
stability	NN	stability
and	CC	and
security	NN	security
.	SENT	.
The	DT	the
stability	NN	stability
and	CC	and
security	NN	security
of	IN	of
authoritarian	JJ	authoritarian
regimes	NNS	regime
cannot	MD	can
create	VB	create
but	CC	but
terrorism	NN	terrorism
and	CC	and
violence	NN	violence
and	CC	and
destruction	NN	destruction
.	SENT	.
Let	VB	let
us	PP	us
accept	VB	accept
the	DT	the
choice	NN	choice
of	IN	of
the	DT	the
people	NNS	people
.	SENT	.
Let	VB	let
us	PP	us
not	RB	not
pick	VB	pick
and	CC	and
choose	VB	choose
who	WP	who
we	PP	we
would	MD	would
like	VB	like
to	TO	to
rule	VB	rule
their	PP$	their
future	NN	future
.	SENT	.
The	DT	the
future	NN	future
should	MD	should
be	VB	be
ruled	VBN	rule
by	IN	by
people	NNS	people
themselves	PP	themselves
,	,	,
even	RB	even
sometimes	RB	sometimes
if	IN	if
they	PP	they
are	VBP	be
voices	NNS	voice
that	WDT	that
might	MD	might
now	RB	now
scare	VB	scare
us	PP	us
.	SENT	.
But	CC	but
the	DT	the
values	NNS	value
of	IN	of
democracy	NN	democracy
and	CC	and
the	DT	the
freedom	NN	freedom
of	IN	of
choice	NN	choice
that	WDT	that
is	VBZ	be
sweeping	VBG	sweep
the	DT	the
Middle	NP	Middle
East	NP	East
at	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
is	VBZ	be
the	DT	the
best	JJS	good
opportunity	NN	opportunity
for	IN	for
the	DT	the
world	NN	world
,	,	,
for	IN	for
the	DT	the
West	NP	West
and	CC	and
the	DT	the
East	NP	East
,	,	,
to	TO	to
see	VB	see
stability	NN	stability
and	CC	and
to	TO	to
see	VB	see
security	NN	security
and	CC	and
to	TO	to
see	VB	see
friendship	NN	friendship
and	CC	and
to	TO	to
see	VB	see
tolerance	NN	tolerance
emerging	VBG	emerge
from	IN	from
the	DT	the
Arab	JJ	Arab
world	NN	world
,	,	,
rather	RB	rather
than	IN	than
the	DT	the
images	NNS	image
of	IN	of
violence	NN	violence
and	CC	and
terrorism	NN	terrorism
.	SENT	.
Let	VB	let
us	PP	us
support	VB	support
these	DT	these
people	NNS	people
.	SENT	.
Let	VB	let
us	PP	us
stand	VB	stand
for	IN	for
them	PP	them
.	SENT	.
And	CC	and
let	VB	let
us	PP	us
give	VB	give
up	RP	up
our	PP$	our
narrow	JJ	narrow
selfishness	NN	selfishness
in	IN	in
order	NN	order
to	TO	to
embrace	VB	embrace
change	NN	change
,	,	,
and	CC	and
in	IN	in
order	NN	order
to	TO	to
celebrate	VB	celebrate
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
that	DT	that
region	NN	region
a	DT	a
great	JJ	great
future	NN	future
and	CC	and
hope	NN	hope
and	CC	and
tolerance	NN	tolerance
.	SENT	.
The	DT	the
future	NN	future
has	VBZ	have
arrived	VBN	arrive
,	,	,
and	CC	and
the	DT	the
future	NN	future
is	VBZ	be
now	RB	now
.	SENT	.
I	PP	I
thank	VBP	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Chris	NP	Chris
Anderson	NP	Anderson
:	:	:
I	PP	I
just	RB	just
have	VBP	have
a	DT	a
couple	NN	couple
of	IN	of
questions	NNS	question
for	IN	for
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
coming	VBG	come
here	RB	here
.	SENT	.
How	WRB	how
would	MD	would
you	PP	you
characterize	VB	characterize
the	DT	the
historical	JJ	historical
significance	NN	significance
of	IN	of
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
?	SENT	?
Is	VBZ	be
this	DT	this
a	DT	a
story-of-the-year	NN	<unknown>
,	,	,
a	DT	a
story-of-the-decade	NN	story-of-the-decade
or	CC	or
something	NN	something
more	RBR	more
?	SENT	?
Wadah	NP	<unknown>
Khanfar	NP	<unknown>
:	:	:
Actually	RB	actually
,	,	,
this	DT	this
may	MD	may
be	VB	be
the	DT	the
biggest	JJS	big
story	NN	story
that	IN	that
we	PP	we
have	VBP	have
ever	RB	ever
covered	VBN	cover
.	SENT	.
We	PP	we
have	VBP	have
covered	VBN	cover
many	JJ	many
wars	NNS	war
.	SENT	.
We	PP	we
have	VBP	have
covered	VBN	cover
a	DT	a
lot	NN	lot
of	IN	of
tragedies	NNS	tragedy
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
problems	NNS	problem
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
conflict	NN	conflict
zones	NNS	zone
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
hot	JJ	hot
spots	NNS	spot
in	IN	in
the	DT	the
region	NN	region
,	,	,
because	IN	because
we	PP	we
were	VBD	be
centered	VBN	center
at	IN	at
the	DT	the
middle	NN	middle
of	IN	of
it	PP	it
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
a	DT	a
story	NN	story
â	NP	<unknown>
it	PP	it
is	VBZ	be
a	DT	a
great	JJ	great
story	NN	story
;	:	;
it	PP	it
is	VBZ	be
beautiful	JJ	beautiful
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
something	NN	something
that	IN	that
you	PP	you
only	RB	only
cover	VBP	cover
because	IN	because
you	PP	you
have	VBP	have
to	TO	to
cover	VB	cover
a	DT	a
great	JJ	great
incident	NN	incident
.	SENT	.
You	PP	you
are	VBP	be
witnessing	VBG	witness
change	NN	change
in	IN	in
history	NN	history
.	SENT	.
You	PP	you
are	VBP	be
witnessing	VBG	witness
the	DT	the
birth	NN	birth
of	IN	of
a	DT	a
new	JJ	new
era	NN	era
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
story	NN	story
'	POS	'
s	NN	S
all	RB	all
about	RB	about
.	SENT	.
CA	MD	ca
:	:	:
There	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
West	NP	West
who	WP	who
are	VBP	be
still	RB	still
skeptical	JJ	skeptical
,	,	,
or	CC	or
think	VBP	think
this	DT	this
may	MD	may
just	RB	just
be	VB	be
an	DT	an
intermediate	JJ	intermediate
stage	NN	stage
before	IN	before
much	RB	much
more	JJR	more
alarming	JJ	alarming
chaos	NN	chaos
.	SENT	.
You	PP	you
really	RB	really
believe	VBP	believe
that	IN	that
if	IN	if
there	EX	there
are	VBP	be
democratic	JJ	democratic
elections	NNS	election
in	IN	in
Egypt	NP	Egypt
now	RB	now
,	,	,
that	IN	that
a	DT	a
government	NN	government
could	MD	could
emerge	VB	emerge
that	WDT	that
espouses	VBZ	espouse
some	DT	some
of	IN	of
the	DT	the
values	VBZ	value
you	PP	you
'	''	'
ve	NNS	<unknown>
spoken	VBN	speak
about	RB	about
so	RB	so
inspiringly	RB	inspiringly
?	SENT	?
WK	NN	WK
:	:	:
And	CC	and
people	NNS	people
actually	RB	actually
,	,	,
after	IN	after
the	DT	the
collapse	NN	collapse
of	IN	of
the	DT	the
Hosni	NP	Hosni
Mubarak	NP	Mubarak
regime	NN	regime
,	,	,
the	DT	the
youth	NN	youth
who	WP	who
have	VBP	have
organized	VBN	organize
themselves	PP	themselves
in	IN	in
certain	JJ	certain
groups	NNS	group
and	CC	and
councils	NNS	council
,	,	,
they	PP	they
are	VBP	be
guarding	VBG	guard
the	DT	the
transformation	NN	transformation
and	CC	and
they	PP	they
are	VBP	be
trying	VBG	try
to	TO	to
put	VB	put
it	PP	it
on	IN	on
a	DT	a
track	NN	track
in	IN	in
order	NN	order
to	TO	to
satisfy	VB	satisfy
the	DT	the
values	NNS	value
of	IN	of
democracy	NN	democracy
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
also	RB	also
to	TO	to
make	VB	make
it	PP	it
reasonable	JJ	reasonable
and	CC	and
to	TO	to
make	VB	make
it	PP	it
rational	JJ	rational
,	,	,
not	RB	not
to	TO	to
go	VB	go
out	RP	out
of	IN	of
order	NN	order
.	SENT	.
In	IN	in
my	PP$	my
opinion	NN	opinion
,	,	,
these	DT	these
people	NNS	people
are	VBP	be
much	RB	much
more	RBR	more
wiser	JJR	wise
than	IN	than
,	,	,
not	RB	not
only	RB	only
the	DT	the
political	JJ	political
elite	NN	elite
,	,	,
even	RB	even
the	DT	the
intellectual	JJ	intellectual
elite	NN	elite
,	,	,
even	RB	even
opposition	NN	opposition
leaders	NNS	leader
including	VBG	include
political	JJ	political
parties	NNS	party
.	SENT	.
At	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
,	,	,
the	DT	the
youth	NN	youth
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
are	VBP	be
much	RB	much
more	RBR	more
wiser	JJR	wise
and	CC	and
capable	JJ	capable
of	IN	of
creating	VBG	create
the	DT	the
change	NN	change
than	IN	than
the	DT	the
old	JJ	old
â	NP	<unknown>
including	VBG	include
the	DT	the
political	JJ	political
and	CC	and
cultural	JJ	cultural
and	CC	and
ideological	JJ	ideological
old	JJ	old
regimes	NNS	regime
.	SENT	.
CA	MD	ca
:	:	:
We	PP	we
are	VBP	be
not	RB	not
to	TO	to
get	VB	get
involved	VBN	involve
politically	RB	politically
and	CC	and
interfere	VB	interfere
in	IN	in
that	DT	that
way	NN	way
.	SENT	.
What	WP	what
should	MD	should
people	NNS	people
here	RB	here
at	IN	at
TED	VB	ted
,	,	,
here	RB	here
in	IN	in
the	DT	the
West	NP	West
,	,	,
do	VBP	do
if	IN	if
they	PP	they
want	VBP	want
to	TO	to
connect	VB	connect
or	CC	or
make	VB	make
a	DT	a
difference	NN	difference
and	CC	and
they	PP	they
believe	VBP	believe
in	IN	in
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
here	RB	here
?	SENT	?
WK	NN	WK
:	:	:
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
discovered	VBN	discover
a	DT	a
very	RB	very
important	JJ	important
issue	NN	issue
in	IN	in
the	DT	the
Arab	JJ	Arab
world	NN	world
â	NP	<unknown>
that	IN	that
people	NNS	people
care	VBP	care
,	,	,
people	NNS	people
care	VBP	care
about	IN	about
this	DT	this
great	JJ	great
transformation	NN	transformation
.	SENT	.
Mohamed	NP	Mohamed
Nanabhay	NP	Nanabhay
who	WP	who
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
with	IN	with
us	PP	us
,	,	,
the	DT	the
head	NN	head
of	IN	of
Aljazeera	NP	<unknown>
.	SENT	.
net	JJ	net
,	,	,
he	PP	he
told	VBD	tell
me	PP	me
that	IN	that
a	DT	a
2	CD	@card@
,	,	,
500	CD	@card@
percent	NN	percent
increase	NN	increase
of	IN	of
accessing	VBG	access
our	PP$	our
website	NN	website
from	IN	from
various	JJ	various
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
Fifty	CD	fifty
percent	NN	percent
of	IN	of
it	PP	it
is	VBZ	be
coming	VBG	come
from	IN	from
America	NP	America
.	SENT	.
Because	IN	because
we	PP	we
discovered	VBD	discover
that	IN	that
people	NNS	people
care	VBP	care
,	,	,
and	CC	and
people	NNS	people
would	MD	would
like	VB	like
to	TO	to
know	VB	know
â	NP	<unknown>
they	PP	they
are	VBP	be
receiving	VBG	receive
the	DT	the
stream	NN	stream
through	IN	through
our	PP$	our
Internet	NN	Internet
.	SENT	.
Unfortunately	RB	unfortunately
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
we	PP	we
are	VBP	be
not	RB	not
covering	VBG	cover
but	CC	but
Washington	NP	Washington
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
at	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
for	IN	for
Al	NP	Al
Jazeera	NP	<unknown>
English	NP	English
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
moment	NN	moment
to	TO	to
celebrate	VB	celebrate
through	IN	through
connecting	VBG	connect
ourselves	PP	ourselves
with	IN	with
those	DT	those
people	NNS	people
in	IN	in
the	DT	the
street	NN	street
and	CC	and
expressing	VBG	express
our	PP$	our
support	NN	support
to	TO	to
them	PP	them
and	CC	and
expressing	VBG	express
this	DT	this
kind	NN	kind
of	IN	of
feeling	NN	feeling
,	,	,
universal	JJ	universal
feeling	NN	feeling
,	,	,
of	IN	of
supporting	VBG	support
the	DT	the
weak	JJ	weak
and	CC	and
the	DT	the
oppressed	VBD	oppress
to	TO	to
create	VB	create
a	DT	a
much	RB	much
better	RBR	well
future	JJ	future
for	IN	for
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
CA	MD	ca
:	:	:
Well	RB	well
Wadah	NP	<unknown>
,	,	,
a	DT	a
group	NN	group
of	IN	of
members	NNS	member
of	IN	of
the	DT	the
TED	VBP	ted
community	NN	community
,	,	,
TEDxCairo	NP	TEDxCairo
,	,	,
are	VBP	be
meeting	VBG	meet
as	IN	as
we	PP	we
speak	VBP	speak
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
had	VBD	have
some	DT	some
speakers	NNS	speaker
there	RB	there
.	SENT	.
I	PP	I
believe	VBP	believe
they	PP	they
'	''	'
ve	NNS	<unknown>
heard	VBD	hear
your	PP$	your
talk	NN	talk
.	SENT	.
Thank	VB	thank
you	PP	you
for	IN	for
inspiring	VBG	inspire
them	PP	them
and	CC	and
for	IN	for
inspiring	VBG	inspire
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
