Ten	CD	ten
come	VB	come
together	RB	together
as	IN	as
colleagues	NNS	colleague
,	,	,
as	IN	as
peers	NNS	peer
,	,	,
as	IN	as
doctors	NNS	doctor
.	SENT	.
After	IN	after
all	DT	all
,	,	,
we	PP	we
humans	NNS	human
are	VBP	be
animals	NNS	animal
,	,	,
too	RB	too
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
for	IN	for
us	PP	us
physicians	NNS	physician
to	TO	to
embrace	VB	embrace
our	PP$	our
patients	NNS	patient
'	''	'
and	CC	and
our	PP$	our
own	JJ	own
animal	NN	animal
natures	NNS	nature
and	CC	and
join	VB	join
veterinarians	NNS	veterinarian
in	IN	in
a	DT	a
species-	NN	<unknown>
spanning	VBG	span
approach	NN	approach
to	TO	to
health	NN	health
.	SENT	.
Because	IN	because
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
and	CC	and
most	RBS	most
humanistic	JJ	humanistic
medicine	NN	medicine
is	VBZ	be
being	VBG	be
practiced	VBN	practice
by	IN	by
doctors	NNS	doctor
whose	WP$	whose
patients	NNS	patient
aren	NN	<unknown>
'	POS	'
t	NN	t
human	NN	human
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
ways	NNS	way
we	PP	we
can	MD	can
take	VB	take
care	NN	care
of	IN	of
the	DT	the
human	JJ	human
patient	NN	patient
is	VBZ	be
by	IN	by
paying	VBG	pay
close	JJ	close
attention	NN	attention
to	TO	to
how	WRB	how
all	PDT	all
the	DT	the
other	JJ	other
patients	NNS	patient
on	IN	on
the	DT	the
planet	NN	planet
live	VB	live
,	,	,
grow	VB	grow
,	,	,
get	VB	get
sick	JJ	sick
and	CC	and
heal	VB	heal
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
.	SENT	.
