Twenty	CD	twenty
and	CC	and
start	VB	start
your	PP$	your
lives	NNS	life
again	RB	again
,	,	,
but	CC	but
in	IN	in
return	NN	return
you	PP	you
must	MD	must
promise	VB	promise
not	RB	not
to	TO	to
speak	VB	speak
of	IN	of
your	PP$	your
experience	NN	experience
with	IN	with
our	PP$	our
company	NN	company
,	,	,
not	RB	not
to	TO	to
speak	VB	speak
of	IN	of
your	PP$	your
experience	NN	experience
with	IN	with
fracking	NN	<unknown>
,	,	,
not	RB	not
to	TO	to
speak	VB	speak
about	IN	about
the	DT	the
health	NN	health
consequences	NNS	consequence
that	WDT	that
might	MD	might
have	VB	have
been	VBN	be
revealed	VBN	reveal
by	IN	by
a	DT	a
medical	JJ	medical
examination	NN	examination
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
do	VBP	do
not	RB	not
blame	VB	blame
the	DT	the
Hallowiches	NNS	<unknown>
for	IN	for
accepting	VBG	accept
a	DT	a
take-it-or-leave-it	NN	take-it-or-leave-it
settlement	NN	settlement
and	CC	and
starting	VBG	start
their	PP$	their
lives	NNS	life
elsewhere	RB	elsewhere
.	SENT	.
And	CC	and
one	PP	one
can	MD	can
understand	VB	understand
why	WRB	why
the	DT	the
company	NN	company
would	MD	would
wish	VB	wish
to	TO	to
silence	VB	silence
a	DT	a
squeaky	JJ	squeaky
wheel	NN	wheel
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
to	TO	to
point	VB	point
the	DT	the
finger	NN	finger
at	IN	at
is	VBZ	be
the	DT	the
legal	JJ	legal
and	CC	and
regulatory	JJ	regulatory
system	NN	system
,	,	,
a	DT	a
system	NN	system
in	IN	in
which	WDT	which
there	EX	there
are	VBP	be
networks	NNS	network
of	IN	of
agreements	NNS	agreement
just	RB	just
like	IN	like
this	DT	this
one	CD	one
which	WDT	which
serve	VBP	serve
to	TO	to
silence	VB	silence
people	NNS	people
and	CC	and
seal	VB	seal
off	RP	off
data	NNS	datum
points	NNS	point
from	IN	from
public	JJ	public
health	NN	health
experts	NNS	expert
and	CC	and
epidemiologists	NNS	epidemiologist
,	,	,
a	DT	a
system	NN	system
in	IN	in
which	WDT	which
regulators	NNS	regulator
will	MD	will
even	RB	even
refrain	VB	refrain
from	IN	from
issuing	VBG	issue
a	DT	a
violation	NN	violation
notice	NN	notice
in	IN	in
the	DT	the
event	NN	event
of	IN	of
pollution	NN	pollution
if	IN	if
the	DT	the
landowner	NN	landowner
and	CC	and
the	DT	the
gas	NN	gas
company	NN	company
agree	VBP	agree
to	TO	to
settle	VB	settle
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
system	NN	system
which	WDT	which
isn	NNS	<unknown>
'	POS	'
t	NN	t
just	RB	just
bad	JJ	bad
from	IN	from
a	DT	a
public	JJ	public
health	NN	health
point	NN	point
of	IN	of
view	NN	view
;	:	;
it	PP	it
exposes	VBZ	expose
hazards	NNS	hazard
to	TO	to
local	JJ	local
families	NNS	family
who	WP	who
remain	VBP	remain
in	IN	in
the	DT	the
dark	NN	dark
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
have	VBP	have
given	VBN	give
you	PP	you
two	CD	two
examples	NNS	example
not	RB	not
because	IN	because
they	PP	they
are	VBP	be
isolated	JJ	isolated
examples	NNS	example
.	SENT	.
They	PP	they
are	VBP	be
examples	NNS	example
of	IN	of
a	DT	a
systemic	JJ	systemic
problem	NN	problem
.	SENT	.
I	PP	I
could	MD	could
share	VB	share
some	DT	some
counterexamples	NNS	counterexample
,	,	,
the	DT	the
case	NN	case
for	IN	for
example	NN	example
of	IN	of
the	DT	the
public	JJ	public
official	NN	official
who	WP	who
sues	VBZ	sue
the	DT	the
pharmaceutical	JJ	pharmaceutical
company	NN	company
for	IN	for
concealing	VBG	conceal
the	DT	the
fact	NN	fact
that	IN	that
its	PP$	its
antidepressant	NN	antidepressant
increases	VBZ	increase
suicidal	JJ	suicidal
thoughts	NNS	thought
in	IN	in
adolescents	NNS	adolescent
.	SENT	.
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
about	IN	about
the	DT	the
regulator	NN	regulator
who	WP	who
went	VBD	go
after	IN	after
the	DT	the
food	NN	food
company	NN	company
for	IN	for
exaggerating	VBG	exaggerate
the	DT	the
purported	JJ	purported
health	NN	health
benefits	NNS	benefit
of	IN	of
its	PP$	its
yogurt	NN	yogurt
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
about	IN	about
the	DT	the
legislator	NN	legislator
who	WP	who
despite	IN	despite
heavy	JJ	heavy
lobbying	NN	lobbying
directed	VBN	direct
at	IN	at
both	DT	both
sides	NNS	side
of	IN	of
the	DT	the
aisle	NN	aisle
pushes	VBZ	push
for	IN	for
environmental	JJ	environmental
protections	NNS	protection
.	SENT	.
These	DT	these
are	VBP	be
isolated	JJ	isolated
examples	NNS	example
,	,	,
but	CC	but
they	PP	they
are	VBP	be
beacons	NNS	beacon
of	IN	of
light	NN	light
in	IN	in
the	DT	the
darkness	NN	darkness
,	,	,
and	CC	and
they	PP	they
can	MD	can
show	VB	show
us	PP	us
the	DT	the
way	NN	way
.	SENT	.
I	PP	I
began	VBD	begin
by	IN	by
suggesting	VBG	suggest
that	IN	that
sometimes	RB	sometimes
we	PP	we
need	VBP	need
to	TO	to
engage	VB	engage
in	IN	in
conflict	NN	conflict
.	SENT	.
Governments	NNS	government
should	MD	should
tussle	VB	tussle
with	IN	with
,	,	,
struggle	VB	struggle
with	IN	with
,	,	,
at	IN	at
times	NNS	time
engage	VBP	engage
in	IN	in
direct	JJ	direct
conflict	NN	conflict
with	IN	with
corporations	NNS	corporation
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
because	IN	because
governments	NNS	government
are	VBP	be
inherently	RB	inherently
good	JJ	good
and	CC	and
corporations	NNS	corporation
are	VBP	be
inherently	RB	inherently
evil	JJ	evil
.	SENT	.
Each	DT	each
is	VBZ	be
capable	JJ	capable
of	IN	of
good	JJ	good
or	CC	or
ill	JJ	ill
.	SENT	.
But	CC	but
corporations	NNS	corporation
understandably	RB	understandably
act	VBP	act
to	TO	to
promote	VB	promote
their	PP$	their
commercial	JJ	commercial
interests	NNS	interest
,	,	,
and	CC	and
they	PP	they
do	VBP	do
so	RB	so
either	CC	either
sometimes	RB	sometimes
undermining	VBG	undermine
or	CC	or
promoting	VBG	promote
the	DT	the
common	JJ	common
good	NN	good
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
the	DT	the
responsibility	NN	responsibility
of	IN	of
governments	NNS	government
to	TO	to
protect	VB	protect
and	CC	and
promote	VB	promote
the	DT	the
common	JJ	common
good	NN	good
.	SENT	.
And	CC	and
we	PP	we
should	MD	should
insist	VB	insist
that	IN	that
they	PP	they
fight	VBP	fight
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
This	DT	this
is	VBZ	be
because	IN	because
governments	NNS	government
are	VBP	be
the	DT	the
guardians	NNS	guardian
of	IN	of
public	JJ	public
health	NN	health
;	:	;
governments	NNS	government
are	VBP	be
the	DT	the
guardians	NNS	guardian
of	IN	of
the	DT	the
environment	NN	environment
;	:	;
and	CC	and
it	PP	it
is	VBZ	be
governments	NNS	government
that	WDT	that
are	VBP	be
guardians	NNS	guardian
of	IN	of
these	DT	these
essential	JJ	essential
parts	NNS	part
of	IN	of
our	PP$	our
common	JJ	common
good	NN	good
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
