Probably	RB	probably
opinion	NN	opinion
,	,	,
so	RB	so
they	PP	they
say	VBP	say
,	,	,
"	''	"
Hamlet	NP	Hamlet
is	VBZ	be
a	DT	a
procrastinator	NN	procrastinator
.	SENT	.
"	``	"
Or	CC	or
they	PP	they
say	VBP	say
,	,	,
"	''	"
Hamlet	NP	Hamlet
has	VBZ	have
an	DT	an
Oedipus	NP	Oedipus
complex	NN	complex
.	SENT	.
"	``	"
No	UH	no
,	,	,
otherwise	RB	otherwise
the	DT	the
play	NN	play
would	MD	would
be	VB	be
over	RP	over
,	,	,
stupid	JJ	stupid
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
Shakespeare	NP	Shakespeare
puts	VBZ	put
all	PDT	all
that	DT	that
stuff	NN	stuff
in	IN	in
Hamlet	NP	Hamlet
—	:	-
Ophelia	NP	Ophelia
going	VBG	go
mad	JJ	mad
,	,	,
the	DT	the
play	NN	play
within	IN	within
the	DT	the
play	NN	play
,	,	,
and	CC	and
Yorick	NP	Yorick
'	POS	'
s	NN	S
skull	NN	skull
,	,	,
and	CC	and
the	DT	the
gravediggers	NNS	gravedigger
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
in	IN	in
order	NN	order
to	TO	to
delay	VB	delay
—	:	-
until	IN	until
Act	NP	Act
Five	CD	five
,	,	,
he	PP	he
can	MD	can
kill	VB	kill
him	PP	him
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
with	IN	with
the	DT	the
Chopin	NP	Chopin
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
just	RB	just
about	RB	about
to	TO	to
reach	VB	reach
the	DT	the
E	NN	E
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
Oops	NP	oops
,	,	,
better	RBR	well
go	VB	go
back	RB	back
up	RB	up
and	CC	and
do	VB	do
it	PP	it
again	RB	again
.	SENT	.
"	``	"
So	IN	so
he	PP	he
does	VBZ	do
it	PP	it
again	RB	again
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
gets	VBZ	get
excited	JJ	excited
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
excitement	NN	excitement
,	,	,
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
about	IN	about
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
gets	VBZ	get
to	TO	to
F-sharp	JJ	F-sharp
,	,	,
and	CC	and
finally	RB	finally
he	PP	he
goes	VBZ	go
down	RP	down
to	TO	to
E	NN	E
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
the	DT	the
wrong	JJ	wrong
chord	NN	chord
—	:	-
because	IN	because
the	DT	the
chord	NN	chord
he	PP	he
'	POS	'
s	NNS	<unknown>
looking	VBG	look
for	IN	for
is	VBZ	be
this	DT	this
one	CD	one
,	,	,
and	CC	and
instead	RB	instead
he	PP	he
does	VBZ	do
.	SENT	.
.	SENT	.
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
call	VBP	call
that	IN	that
a	DT	a
deceptive	JJ	deceptive
cadence	NN	cadence
,	,	,
because	IN	because
it	PP	it
deceives	VBZ	deceive
us	PP	us
.	SENT	.
I	PP	I
tell	VBP	tell
my	PP$	my
students	NNS	student
,	,	,
"	``	"
If	IN	if
you	PP	you
have	VBP	have
a	DT	a
deceptive	JJ	deceptive
cadence	NN	cadence
,	,	,
raise	VB	raise
your	PP$	your
eyebrows	NNS	eyebrow
,	,	,
and	CC	and
everybody	NN	everybody
will	MD	will
know	VB	know
.	SENT	.
"	''	"
Right	RB	right
.	SENT	.
He	PP	he
gets	VBZ	get
to	TO	to
E	NN	E
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
the	DT	the
wrong	JJ	wrong
chord	NN	chord
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
tries	VBZ	try
E	NN	E
again	RB	again
.	SENT	.
That	DT	that
chord	NN	chord
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
tries	VBZ	try
the	DT	the
E	NN	E
again	RB	again
.	SENT	.
That	DT	that
chord	NN	chord
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
Now	RB	now
,	,	,
he	PP	he
tries	VBZ	try
E	NN	E
again	RB	again
,	,	,
and	CC	and
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
.	SENT	.
.	SENT	.
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
gentleman	NN	gentleman
in	IN	in
the	DT	the
front	JJ	front
row	NN	row
who	WP	who
went	VBD	go
,	,	,
"	``	"
Mmm	NP	Mmm
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
gesture	NN	gesture
he	PP	he
makes	VBZ	make
when	WRB	when
he	PP	he
comes	VBZ	come
home	NN	home
after	IN	after
a	DT	a
long	JJ	long
day	NN	day
,	,	,
turns	VBZ	turn
off	RP	off
the	DT	the
key	NN	key
in	IN	in
his	PP$	his
car	NN	car
and	CC	and
says	VBZ	say
,	,	,
"	``	"
Aah	NP	Aah
,	,	,
I	NP	I
'	POS	'
m	NN	m
home	NN	home
.	SENT	.
"	``	"
Because	IN	because
we	PP	we
all	RB	all
know	VBP	know
where	WRB	where
home	NN	home
is	VBZ	be
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
piece	NN	piece
which	WDT	which
goes	VBZ	go
from	IN	from
away	RB	away
to	TO	to
home	NN	home
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
play	VB	play
it	PP	it
all	PDT	all
the	DT	the
way	NN	way
through	IN	through
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
follow	VB	follow
.	SENT	.
B	NP	B
,	,	,
C	NP	C
,	,	,
B	NP	B
,	,	,
C	NP	C
,	,	,
B	NP	B
,	,	,
C	NP	C
,	,	,
B	NP	B
—	:	-
down	RB	down
to	TO	to
A	DT	a
,	,	,
down	RB	down
to	TO	to
G	NP	G
,	,	,
down	RB	down
to	TO	to
F	NN	F
.	SENT	.
Almost	RB	almost
goes	VBZ	go
to	TO	to
E	NN	E
,	,	,
but	CC	but
otherwise	RB	otherwise
the	DT	the
play	NN	play
would	MD	would
be	VB	be
over	RP	over
.	SENT	.
He	PP	he
goes	VBZ	go
back	RB	back
up	RB	up
to	TO	to
B	NP	B
,	,	,
he	PP	he
gets	VBZ	get
very	RB	very
excited	JJ	excited
.	SENT	.
Goes	VBZ	go
to	TO	to
F-sharp	JJ	F-sharp
.	SENT	.
Goes	VBZ	go
to	TO	to
E	NN	E
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
wrong	JJ	wrong
chord	NN	chord
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
wrong	JJ	wrong
chord	NN	chord
.	SENT	.
And	CC	and
finally	RB	finally
goes	VBZ	go
to	TO	to
E	NN	E
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
home	NN	home
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
is	VBZ	be
one-buttock	JJ	<unknown>
playing	NN	playing
.	SENT	.
Because	IN	because
for	IN	for
me	PP	me
,	,	,
to	TO	to
join	VB	join
the	DT	the
B	NN	B
to	TO	to
the	DT	the
E	NN	E
,	,	,
I	PP	I
have	VBP	have
to	TO	to
stop	VB	stop
thinking	VBG	think
about	IN	about
every	DT	every
single	JJ	single
note	NN	note
along	IN	along
the	DT	the
way	NN	way
,	,	,
and	CC	and
start	VB	start
thinking	VBG	think
about	IN	about
the	DT	the
long	JJ	long
,	,	,
long	JJ	long
line	NN	line
from	IN	from
B	NP	B
to	TO	to
E	NP	E
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
were	VBD	be
just	RB	just
in	IN	in
South	NP	South
Africa	NP	Africa
,	,	,
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
go	VB	go
to	TO	to
South	NP	South
Africa	NP	Africa
without	IN	without
thinking	VBG	think
of	IN	of
Mandela	NP	Mandela
in	IN	in
jail	NN	jail
for	IN	for
27	CD	@card@
years	NNS	year
.	SENT	.
What	WP	what
was	VBD	be
he	PP	he
thinking	VBG	think
about	RB	about
?	SENT	?
Lunch	NN	lunch
?	SENT	?
No	UH	no
,	,	,
he	PP	he
was	VBD	be
thinking	VBG	think
about	IN	about
the	DT	the
vision	NN	vision
for	IN	for
South	NP	South
Africa	NP	Africa
and	CC	and
for	IN	for
human	JJ	human
beings	NNS	being
.	SENT	.
This	DT	this
is	VBZ	be
about	RB	about
vision	NN	vision
.	SENT	.
This	DT	this
is	VBZ	be
about	RB	about
the	DT	the
long	JJ	long
line	NN	line
.	SENT	.
Like	IN	like
the	DT	the
bird	NN	bird
who	WP	who
flies	VBZ	fly
over	IN	over
the	DT	the
field	NN	field
and	CC	and
doesn	NN	<unknown>
'	POS	'
t	NN	t
care	NN	care
about	IN	about
the	DT	the
fences	NNS	fence
underneath	RB	underneath
,	,	,
all	DT	all
right	NN	right
?	SENT	?
So	RB	so
now	RB	now
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
follow	VB	follow
the	DT	the
line	NN	line
all	RB	all
the	DT	the
way	NN	way
from	IN	from
B	NP	B
to	TO	to
E	NP	E
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	JJ	<unknown>
one	CD	one
last	JJ	last
request	NN	request
before	IN	before
I	PP	I
play	VBP	play
this	DT	this
piece	NN	piece
all	RB	all
the	DT	the
way	NN	way
through	RB	through
.	SENT	.
Would	MD	would
you	PP	you
think	VB	think
of	IN	of
somebody	NN	somebody
who	WP	who
you	PP	you
adore	VBP	adore
,	,	,
who	WP	who
'	POS	'
s	NN	S
no	RB	no
longer	RBR	longer
there	RB	there
?	SENT	?
A	DT	a
beloved	JJ	beloved
grandmother	NN	grandmother
,	,	,
a	DT	a
lover	NN	lover
—	:	-
somebody	NN	somebody
in	IN	in
your	PP$	your
life	NN	life
who	WP	who
you	PP	you
love	VBP	love
with	IN	with
all	PDT	all
your	PP$	your
heart	NN	heart
,	,	,
but	CC	but
that	IN	that
person	NN	person
is	VBZ	be
no	RB	no
longer	RBR	longer
with	IN	with
you	PP	you
.	SENT	.
Bring	VB	bring
that	DT	that
person	NN	person
into	IN	into
your	PP$	your
mind	NN	mind
,	,	,
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
follow	VB	follow
the	DT	the
line	NN	line
all	RB	all
the	DT	the
way	NN	way
from	IN	from
B	NP	B
to	TO	to
E	NP	E
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
hear	VBP	hear
everything	NN	everything
that	IN	that
Chopin	NP	Chopin
had	VBD	have
to	TO	to
say	VB	say
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
—	:	-
You	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
why	WRB	why
I	PP	I
'	POS	'
m	NN	m
clapping	VBG	clap
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
did	VBD	do
this	DT	this
at	IN	at
a	DT	a
school	NN	school
in	IN	in
Boston	NP	Boston
with	IN	with
about	RB	about
70	CD	@card@
seventh	JJ	seventh
graders	NNS	grader
,	,	,
12-year-olds	NNS	<unknown>
.	SENT	.
I	PP	I
did	VBD	do
exactly	RB	exactly
what	WP	what
I	PP	I
did	VBD	do
with	IN	with
you	PP	you
,	,	,
and	CC	and
I	PP	I
explained	VBD	explain
the	DT	the
whole	JJ	whole
thing	NN	thing
.	SENT	.
At	IN	at
the	DT	the
end	NN	end
,	,	,
they	PP	they
went	VBD	go
crazy	JJ	crazy
,	,	,
clapping	VBG	clap
.	SENT	.
I	PP	I
was	VBD	be
clapping	VBG	clap
.	SENT	.
They	PP	they
were	VBD	be
clapping	VBG	clap
.	SENT	.
Finally	RB	finally
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
Why	WRB	why
am	VBP	be
I	PP	I
clapping	VBG	clap
?	SENT	?
"	''	"
And	CC	and
one	CD	one
of	IN	of
them	PP	them
said	VBD	say
,	,	,
"	``	"
Because	IN	because
we	PP	we
were	VBD	be
listening	VBG	listen
.	SENT	.
"	``	"
Think	VBP	think
of	IN	of
it	PP	it
.	SENT	.
1	CD	@card@
,	,	,
600	CD	@card@
people	NNS	people
,	,	,
busy	JJ	busy
people	NNS	people
,	,	,
involved	VBN	involve
in	IN	in
all	DT	all
sorts	NNS	sort
of	IN	of
different	JJ	different
things	NNS	thing
,	,	,
listening	VBG	listen
,	,	,
understanding	NN	understanding
and	CC	and
being	VBG	be
moved	VBN	move
by	IN	by
a	DT	a
piece	NN	piece
by	IN	by
Chopin	NP	Chopin
.	SENT	.
Now	RB	now
,	,	,
that	WDT	that
is	VBZ	be
something	NN	something
.	SENT	.
Am	VBP	be
I	PP	I
sure	JJ	sure
that	IN	that
every	DT	every
single	JJ	single
person	NN	person
followed	VBD	follow
that	IN	that
,	,	,
understood	VBD	understand
it	PP	it
,	,	,
was	VBD	be
moved	VBN	move
by	IN	by
it	PP	it
?	SENT	?
Of	IN	of
course	NN	course
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
sure	JJ	sure
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VB	tell
you	PP	you
what	WP	what
happened	VBD	happen
to	TO	to
me	PP	me
in	IN	in
Ireland	NP	Ireland
during	IN	during
the	DT	the
Troubles	NNS	trouble
,	,	,
10	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
was	VBD	be
working	VBG	work
with	IN	with
some	DT	some
Catholic	JJ	Catholic
and	CC	and
Protestant	JJ	Protestant
kids	NNS	kid
on	IN	on
conflict	NN	conflict
resolution	NN	resolution
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
this	DT	this
with	IN	with
them	PP	them
—	:	-
a	DT	a
risky	JJ	risky
thing	NN	thing
to	TO	to
do	VB	do
,	,	,
because	IN	because
they	PP	they
were	VBD	be
street	NN	street
kids	NNS	kid
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
them	PP	them
came	VBD	come
to	TO	to
me	PP	me
the	DT	the
next	JJ	next
morning	NN	morning
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
never	RB	never
listened	VBD	listen
to	TO	to
classical	JJ	classical
music	NN	music
in	IN	in
my	PP$	my
life	NN	life
,	,	,
but	CC	but
when	WRB	when
you	PP	you
played	VBD	play
that	IN	that
shopping	NN	shopping
piece	NN	piece
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
My	PP$	my
brother	NN	brother
was	VBD	be
shot	VBN	shoot
last	JJ	last
year	NN	year
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
cry	NN	cry
for	IN	for
him	PP	him
.	SENT	.
But	CC	but
last	JJ	last
night	NN	night
,	,	,
when	WRB	when
you	PP	you
played	VBD	play
that	DT	that
piece	NN	piece
,	,	,
he	PP	he
was	VBD	be
the	DT	the
one	CD	one
I	PP	I
was	VBD	be
thinking	VBG	think
about	RB	about
.	SENT	.
And	CC	and
I	PP	I
felt	VBD	feel
the	DT	the
tears	NNS	tear
streaming	VBG	stream
down	RP	down
my	PP$	my
face	NN	face
.	SENT	.
And	CC	and
it	PP	it
felt	VBD	feel
really	RB	really
good	JJ	good
to	TO	to
cry	VB	cry
for	IN	for
my	PP$	my
brother	NN	brother
.	SENT	.
"	``	"
So	RB	so
I	PP	I
made	VBD	make
up	RP	up
my	PP$	my
mind	NN	mind
at	IN	at
that	DT	that
moment	NN	moment
that	IN	that
classical	JJ	classical
music	NN	music
is	VBZ	be
for	IN	for
everybody	NN	everybody
.	SENT	.
Everybody	NN	everybody
.	SENT	.
Now	RB	now
,	,	,
how	WRB	how
would	MD	would
you	PP	you
walk	VB	walk
—	:	-
my	PP$	my
profession	NN	profession
,	,	,
the	DT	the
music	NN	music
profession	NN	profession
doesn	NN	<unknown>
'	POS	'
t	NN	t
see	VBP	see
it	PP	it
that	DT	that
way	NN	way
.	SENT	.
They	PP	they
say	VBP	say
three	CD	three
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
likes	VBZ	like
classical	JJ	classical
music	NN	music
.	SENT	.
If	IN	if
only	RB	only
we	PP	we
could	MD	could
move	VB	move
it	PP	it
to	TO	to
four	CD	four
percent	NN	percent
,	,	,
our	PP$	our
problems	NNS	problem
would	MD	would
be	VB	be
over	RP	over
.	SENT	.
How	WRB	how
would	MD	would
you	PP	you
walk	VB	walk
?	SENT	?
How	WRB	how
would	MD	would
you	PP	you
talk	VB	talk
?	SENT	?
How	WRB	how
would	MD	would
you	PP	you
be	VB	be
?	SENT	?
If	IN	if
you	PP	you
thought	VBD	think
,	,	,
"	``	"
Three	CD	three
percent	NN	percent
of	IN	of
the	DT	the
population	NN	population
likes	VBZ	like
classical	JJ	classical
music	NN	music
,	,	,
if	IN	if
only	RB	only
we	PP	we
could	MD	could
move	VB	move
it	PP	it
to	TO	to
four	CD	four
percent	NN	percent
.	SENT	.
"	``	"
How	WRB	how
would	MD	would
you	PP	you
walk	VB	walk
or	CC	or
talk	VB	talk
?	SENT	?
How	WRB	how
would	MD	would
you	PP	you
be	VB	be
?	SENT	?
If	IN	if
you	PP	you
thought	VBD	think
,	,	,
"	``	"
Everybody	NN	everybody
loves	VBZ	love
classical	JJ	classical
music	NN	music
—	:	-
they	PP	they
just	RB	just
haven	NN	haven
'	POS	'
t	NN	t
found	VBD	find
out	RP	out
about	IN	about
it	PP	it
yet	RB	yet
.	SENT	.
"	``	"
See	VB	see
,	,	,
these	DT	these
are	VBP	be
totally	RB	totally
different	JJ	different
worlds	NNS	world
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
had	VBD	have
an	DT	an
amazing	JJ	amazing
experience	NN	experience
.	SENT	.
I	PP	I
was	VBD	be
45	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
conducting	VBG	conduct
for	IN	for
20	CD	@card@
years	NNS	year
,	,	,
and	CC	and
I	PP	I
suddenly	RB	suddenly
had	VBD	have
a	DT	a
realization	NN	realization
.	SENT	.
The	DT	the
conductor	NN	conductor
of	IN	of
an	DT	an
orchestra	NN	orchestra
doesn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
a	DT	a
sound	NN	sound
.	SENT	.
My	PP$	my
picture	NN	picture
appears	VBZ	appear
on	IN	on
the	DT	the
front	NN	front
of	IN	of
the	DT	the
CD	NN	CD
—	:	-
But	CC	but
the	DT	the
conductor	NN	conductor
doesn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
a	DT	a
sound	NN	sound
.	SENT	.
He	PP	he
depends	VBZ	depend
,	,	,
for	IN	for
his	PP$	his
power	NN	power
,	,	,
on	IN	on
his	PP$	his
ability	NN	ability
to	TO	to
make	VB	make
other	JJ	other
people	NNS	people
powerful	JJ	powerful
.	SENT	.
And	CC	and
that	DT	that
changed	VBN	change
everything	NN	everything
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
was	VBD	be
totally	RB	totally
life-changing	VBG	life-change
.	SENT	.
People	NNS	people
in	IN	in
my	PP$	my
orchestra	NN	orchestra
said	VBD	say
,	,	,
"	``	"
Ben	NP	Ben
,	,	,
what	WP	what
happened	VBD	happen
?	SENT	?
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
happened	VBD	happen
.	SENT	.
I	PP	I
realized	VBD	realize
my	PP$	my
job	NN	job
was	VBD	be
to	TO	to
awaken	VB	awaken
possibility	NN	possibility
in	IN	in
other	JJ	other
people	NNS	people
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
know	VB	know
whether	IN	whether
I	PP	I
was	VBD	be
doing	VBG	do
that	DT	that
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
find	VB	find
out	RP	out
?	SENT	?
You	PP	you
look	VBP	look
at	IN	at
their	PP$	their
eyes	NNS	eye
.	SENT	.
If	IN	if
their	PP$	their
eyes	NNS	eye
are	VBP	be
shining	VBG	shine
,	,	,
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
.	SENT	.
You	PP	you
could	MD	could
light	VB	light
up	RP	up
a	DT	a
village	NN	village
with	IN	with
this	DT	this
guy	NN	guy
'	POS	'
s	NN	S
eyes	NNS	eye
.	SENT	.
Right	RB	right
.	SENT	.
So	RB	so
if	IN	if
the	DT	the
eyes	NNS	eye
are	VBP	be
shining	VBG	shine
,	,	,
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
.	SENT	.
If	IN	if
the	DT	the
eyes	NNS	eye
are	VBP	be
not	RB	not
shining	VBG	shine
,	,	,
you	PP	you
get	VBP	get
to	TO	to
ask	VB	ask
a	DT	a
question	NN	question
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
question	NN	question
:	:	:
who	WP	who
am	VBP	be
I	PP	I
being	JJ	being
that	IN	that
my	PP$	my
players	NNS	player
'	POS	'
eyes	NNS	eye
are	VBP	be
not	RB	not
shining	VBG	shine
?	SENT	?
We	PP	we
can	MD	can
do	VB	do
that	IN	that
with	IN	with
our	PP$	our
children	NNS	child
,	,	,
too	RB	too
.	SENT	.
Who	WP	who
am	VBP	be
I	PP	I
being	JJ	being
,	,	,
that	IN	that
my	PP$	my
children	NNS	child
'	POS	'
s	NN	S
eyes	NNS	eye
are	VBP	be
not	RB	not
shining	VBG	shine
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
a	DT	a
totally	RB	totally
different	JJ	different
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
'	POS	'
re	NN	re
all	RB	all
about	RB	about
to	TO	to
end	VB	end
this	DT	this
magical	JJ	magical
,	,	,
on-the-mountain	JJ	<unknown>
week	NN	week
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
back	RB	back
into	IN	into
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
I	PP	I
say	VBP	say
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
appropriate	JJ	appropriate
for	IN	for
us	PP	us
to	TO	to
ask	VB	ask
the	DT	the
question	NN	question
,	,	,
who	WP	who
are	VBP	be
we	PP	we
being	JJ	being
as	IN	as
we	PP	we
go	VBP	go
back	RB	back
out	RB	out
into	IN	into
the	DT	the
world	NN	world
?	SENT	?
And	CC	and
you	PP	you
know	VBP	know
,	,	,
I	PP	I
have	VBP	have
a	DT	a
definition	NN	definition
of	IN	of
success	NN	success
.	SENT	.
For	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
wealth	NN	wealth
and	CC	and
fame	NN	fame
and	CC	and
power	NN	power
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
how	WRB	how
many	JJ	many
shining	VBG	shine
eyes	NNS	eye
I	PP	I
have	VBP	have
around	IN	around
me	PP	me
.	SENT	.
So	RB	so
now	RB	now
,	,	,
I	PP	I
have	VBP	have
one	CD	one
last	JJ	last
thought	NN	thought
,	,	,
which	WDT	which
is	VBZ	be
that	IN	that
it	PP	it
really	RB	really
makes	VBZ	make
a	DT	a
difference	NN	difference
what	WP	what
we	PP	we
say	VBP	say
—	:	-
the	DT	the
words	NNS	word
that	WDT	that
come	VBP	come
out	RP	out
of	IN	of
our	PP$	our
mouth	NN	mouth
.	SENT	.
I	PP	I
learned	VBD	learn
this	DT	this
from	IN	from
a	DT	a
woman	NN	woman
who	WP	who
survived	VBD	survive
Auschwitz	NP	Auschwitz
,	,	,
one	CD	one
of	IN	of
the	DT	the
rare	JJ	rare
survivors	NNS	survivor
.	SENT	.
She	PP	she
went	VBD	go
to	TO	to
Auschwitz	NP	Auschwitz
when	WRB	when
she	PP	she
was	VBD	be
15	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
And	CC	and
.	SENT	.
.	SENT	.
.	SENT	.
And	CC	and
her	PP$	her
brother	NN	brother
was	VBD	be
eight	CD	eight
,	,	,
and	CC	and
the	DT	the
parents	NNS	parent
were	VBD	be
lost	VBN	lose
.	SENT	.
And	CC	and
she	PP	she
told	VBD	tell
me	PP	me
this	DT	this
,	,	,
she	PP	she
said	VBD	say
,	,	,
"	``	"
We	PP	we
were	VBD	be
in	IN	in
the	DT	the
train	NN	train
going	VBG	go
to	TO	to
Auschwitz	NP	Auschwitz
,	,	,
and	CC	and
I	PP	I
looked	VBD	look
down	RB	down
and	CC	and
saw	VBD	see
my	PP$	my
brother	NN	brother
'	POS	'
s	NN	S
shoes	NNS	shoe
were	VBD	be
missing	VBG	miss
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
'	''	'
Why	WRB	why
are	VBP	be
you	PP	you
so	RB	so
stupid	JJ	stupid
,	,	,
can	MD	can
'	''	'
t	NN	t
you	PP	you
keep	VBP	keep
your	PP$	your
things	NNS	thing
together	RB	together
for	IN	for
goodness	NN	goodness
'	POS	'
sake	NN	sake
?	SENT	?
'	''	'
"	``	"
The	DT	the
way	NN	way
an	DT	an
elder	JJR	elder
sister	NN	sister
might	MD	might
speak	VB	speak
to	TO	to
a	DT	a
younger	JJR	young
brother	NN	brother
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
it	PP	it
was	VBD	be
the	DT	the
last	JJ	last
thing	NN	thing
she	PP	she
ever	RB	ever
said	VBD	say
to	TO	to
him	PP	him
,	,	,
because	IN	because
she	PP	she
never	RB	never
saw	VBD	see
him	PP	him
again	RB	again
.	SENT	.
He	PP	he
did	VBD	do
not	RB	not
survive	VB	survive
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
she	PP	she
came	VBD	come
out	RP	out
of	IN	of
Auschwitz	NP	Auschwitz
,	,	,
she	PP	she
made	VBD	make
a	DT	a
vow	NN	vow
.	SENT	.
She	PP	she
told	VBD	tell
me	PP	me
this	DT	this
.	SENT	.
She	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
walked	VBD	walk
out	RP	out
of	IN	of
Auschwitz	NP	Auschwitz
into	IN	into
life	NN	life
and	CC	and
I	PP	I
made	VBD	make
a	DT	a
vow	NN	vow
.	SENT	.
And	CC	and
the	DT	the
vow	NN	vow
was	VBD	be
,	,	,
"	``	"
I	PP	I
will	MD	will
never	RB	never
say	VB	say
anything	NN	anything
that	IN	that
couldn	NNS	<unknown>
'	POS	'
t	NN	t
stand	NN	stand
as	IN	as
the	DT	the
last	JJ	last
thing	NN	thing
I	PP	I
ever	RB	ever
say	VBP	say
.	SENT	.
"	''	"
Now	RB	now
,	,	,
can	MD	can
we	PP	we
do	VB	do
that	DT	that
?	SENT	?
No	UH	no
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
make	VBP	make
ourselves	PP	ourselves
wrong	JJ	wrong
and	CC	and
others	NNS	other
wrong	JJ	wrong
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
a	DT	a
possibility	NN	possibility
to	TO	to
live	VB	live
into	IN	into
.	SENT	.
