David	NP	David
things	NNS	thing
that	IN	that
we	PP	we
had	VBD	have
no	DT	no
idea	NN	idea
even	RB	even
existed	VBD	exist
.	SENT	.
DB	NP	DB
:	:	:
And	CC	and
so	RB	so
more	JJR	more
people	NNS	people
have	VBP	have
been	VBN	be
to	TO	to
space	NN	space
than	IN	than
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
ocean	NN	ocean
.	SENT	.
You	PP	you
'	''	'
re	IN	re
one	CD	one
of	IN	of
three	CD	three
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
up	RB	up
that	DT	that
number	NN	number
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
give	VB	give
it	PP	it
away	RP	away
.	SENT	.
VV	NP	<unknown>
:	:	:
Yeah	RB	yeah
,	,	,
three	CD	three
people	NNS	people
have	VBP	have
dived	VBN	dive
to	TO	to
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
Pacific	NP	Pacific
Ocean	NP	Ocean
.	SENT	.
The	DT	the
USS	NP	USS
Trieste	NP	Trieste
in	IN	in
1960	CD	@card@
with	IN	with
two	CD	two
individuals	NNS	individual
.	SENT	.
James	NP	James
Cameron	NP	Cameron
in	IN	in
2012	CD	@card@
with	IN	with
his	PP$	his
Deep	NP	Deep
Sea	NP	Sea
Challenger	NP	Challenger
—	:	-
thank	VBP	thank
you	PP	you
,	,	,
Jim	NP	Jim
,	,	,
great	JJ	great
sub	NN	sub
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
third-generation	NN	third-generation
technology	NN	technology
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
only	RB	only
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
go	VB	go
down	RP	down
,	,	,
actually	RB	actually
in	IN	in
two	CD	two
weeks	NNS	week
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
do	VB	do
it	PP	it
multiple	JJ	multiple
times	NNS	time
,	,	,
which	WDT	which
has	VBZ	have
never	RB	never
been	VBN	be
done	VBN	do
before	RB	before
.	SENT	.
If	IN	if
we	PP	we
can	MD	can
do	VB	do
that	IN	that
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
proven	VBN	prove
the	DT	the
technology	NN	technology
and	CC	and
that	DT	that
door	NN	door
will	MD	will
not	RB	not
just	RB	just
go	VB	go
open	JJ	open
,	,	,
it	PP	it
will	MD	will
stay	VB	stay
open	JJ	open
.	SENT	.
DB	NP	DB
:	:	:
Fantastic	JJ	fantastic
.	SENT	.
Good	JJ	good
luck	NN	luck
.	SENT	.
VV	NP	<unknown>
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
DB	NP	DB
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
VV	NP	<unknown>
:	:	:
Thank	VBP	thank
you	PP	you
all	DT	all
.	SENT	.
