Once	RB	once
Freedom	NN	freedom
of	IN	of
Information	NP	Information
request	NN	request
,	,	,
to	TO	to
ask	VB	ask
your	PP$	your
public	JJ	public
body	NN	body
a	DT	a
question	NN	question
,	,	,
so	RB	so
it	PP	it
takes	VBZ	take
all	PDT	all
the	DT	the
hassle	NN	hassle
out	RP	out
of	IN	of
it	PP	it
,	,	,
and	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
hassle	NN	hassle
making	VBG	make
these	DT	these
requests	NNS	request
,	,	,
so	RB	so
it	PP	it
takes	VBZ	take
all	DT	all
of	IN	of
that	DT	that
hassle	NN	hassle
out	RP	out
,	,	,
and	CC	and
you	PP	you
just	RB	just
type	NN	type
in	IN	in
your	PP$	your
question	NN	question
,	,	,
for	IN	for
example	NN	example
,	,	,
how	WRB	how
many	JJ	many
police	NN	police
officers	NNS	officer
have	VBP	have
a	DT	a
criminal	JJ	criminal
record	NN	record
?	SENT	?
It	PP	it
zooms	VBZ	zoom
it	PP	it
off	RP	off
to	TO	to
the	DT	the
appropriate	JJ	appropriate
person	NN	person
,	,	,
it	PP	it
tells	VBZ	tell
you	PP	you
when	WRB	when
the	DT	the
time	NN	time
limit	NN	limit
is	VBZ	be
coming	VBG	come
to	TO	to
an	DT	an
end	NN	end
,	,	,
it	PP	it
keeps	VBZ	keep
track	NN	track
of	IN	of
all	PDT	all
the	DT	the
correspondence	NN	correspondence
,	,	,
it	PP	it
posts	VBZ	post
it	PP	it
up	RP	up
there	RB	there
,	,	,
and	CC	and
it	PP	it
becomes	VBZ	become
an	DT	an
archive	NN	archive
of	IN	of
public	JJ	public
knowledge	NN	knowledge
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
open-source	NN	open-source
and	CC	and
it	PP	it
can	MD	can
be	VB	be
used	VBN	use
in	IN	in
any	DT	any
country	NN	country
where	WRB	where
there	EX	there
is	VBZ	be
some	DT	some
kind	NN	kind
of	IN	of
Freedom	NP	Freedom
of	IN	of
Information	NP	Information
law	NN	law
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
list	NN	list
there	RB	there
of	IN	of
the	DT	the
different	JJ	different
countries	NNS	country
that	WDT	that
have	VBP	have
it	PP	it
,	,	,
and	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
few	JJ	few
more	JJR	more
coming	VBG	come
on	IN	on
board	NN	board
.	SENT	.
So	RB	so
if	IN	if
any	DT	any
of	IN	of
you	PP	you
out	RB	out
there	RB	there
like	IN	like
the	DT	the
sound	NN	sound
of	IN	of
that	WDT	that
and	CC	and
have	VBP	have
a	DT	a
law	NN	law
like	IN	like
that	DT	that
in	IN	in
your	PP$	your
country	NN	country
,	,	,
I	PP	I
know	VBP	know
that	IN	that
Seb	NP	Seb
would	MD	would
love	VB	love
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
about	IN	about
collaborating	VBG	collaborate
and	CC	and
getting	VBG	get
that	IN	that
into	IN	into
your	PP$	your
country	NN	country
.	SENT	.
This	DT	this
is	VBZ	be
Birgitta	NP	Birgitta
J��nsd��ttir	NP	<unknown>
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
an	DT	an
Icelandic	JJ	Icelandic
MP	NN	MP
.	SENT	.
And	CC	and
quite	PDT	quite
an	DT	an
unusual	JJ	unusual
MP	NN	MP
.	SENT	.
In	IN	in
Iceland	NP	Iceland
,	,	,
she	PP	she
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
protesters	NNS	protester
who	WP	who
was	VBD	be
outside	JJ	outside
of	IN	of
Parliament	NP	Parliament
when	WRB	when
the	DT	the
country	NN	country
'	POS	'
s	NN	S
economy	NN	economy
collapsed	VBD	collapse
,	,	,
and	CC	and
then	RB	then
she	PP	she
was	VBD	be
elected	VBN	elect
on	IN	on
a	DT	a
reform	NN	reform
mandate	NN	mandate
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
now	RB	now
spearheading	VBG	spearhead
this	DT	this
project	NN	project
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
Icelandic	JJ	Icelandic
Modern	NP	Modern
Media	NP	Media
Initiative	NP	Initiative
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
just	RB	just
got	VBD	get
funding	VBG	fund
to	TO	to
make	VB	make
it	PP	it
an	DT	an
international	JJ	international
modern	JJ	modern
media	NNS	medium
project	NN	project
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
taking	VBG	take
all	DT	all
of	IN	of
the	DT	the
best	JJS	good
laws	NNS	law
around	IN	around
the	DT	the
world	NN	world
about	IN	about
freedom	NN	freedom
of	IN	of
expression	NN	expression
,	,	,
protection	NN	protection
of	IN	of
whistleblowers	NNS	whistleblower
,	,	,
protection	NN	protection
from	IN	from
libel	NN	libel
,	,	,
source	NN	source
protection	NN	protection
,	,	,
and	CC	and
trying	VBG	try
to	TO	to
make	VB	make
Iceland	NP	Iceland
a	DT	a
publishing	NN	publishing
haven	NN	haven
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
place	NN	place
where	WRB	where
your	PP$	your
data	NNS	datum
can	MD	can
be	VB	be
free	JJ	free
,	,	,
so	RB	so
when	WRB	when
we	PP	we
think	VBP	think
about	RB	about
,	,	,
increasingly	RB	increasingly
,	,	,
how	WRB	how
governments	NNS	government
want	VBP	want
to	TO	to
access	VB	access
user	NN	user
data	NNS	datum
,	,	,
what	WP	what
they	PP	they
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
do	VB	do
in	IN	in
Iceland	NP	Iceland
is	VBZ	be
make	VB	make
this	DT	this
safe	JJ	safe
haven	NN	haven
where	WRB	where
it	PP	it
can	MD	can
happen	VB	happen
.	SENT	.
In	IN	in
my	PP$	my
own	JJ	own
field	NN	field
of	IN	of
investigative	JJ	investigative
journalism	NN	journalism
,	,	,
we	PP	we
'	POS	'
re	IN	re
also	RB	also
having	VBG	have
to	TO	to
start	VB	start
thinking	VBG	think
globally	RB	globally
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
site	NN	site
called	VBD	call
Investigative	JJ	investigative
Dashboard	NN	dashboard
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
track	VB	track
a	DT	a
dictator	NN	dictator
'	POS	'
s	NN	S
assets	NNS	asset
,	,	,
for	IN	for
example	NN	example
,	,	,
Hosni	NP	Hosni
Mubarak	NP	Mubarak
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NN	S
just	RB	just
funneling	VBG	funnel
out	RP	out
cash	NN	cash
from	IN	from
his	PP$	his
country	NN	country
when	WRB	when
he	PP	he
knows	VBZ	know
he	PP	he
'	''	'
s	NN	S
in	IN	in
trouble	NN	trouble
,	,	,
and	CC	and
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
to	TO	to
investigate	VB	investigate
that	DT	that
is	VBZ	be
,	,	,
you	PP	you
need	VBP	need
to	TO	to
have	VB	have
access	NN	access
to	TO	to
all	DT	all
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
,	,	,
as	RB	as
many	JJ	many
as	IN	as
you	PP	you
can	MD	can
,	,	,
companies	NNS	company
'	POS	'
house	NN	house
registrations	NNS	registration
databases	NNS	database
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
website	NN	website
that	WDT	that
tries	VBZ	try
to	TO	to
agglomerate	VB	agglomerate
all	DT	all
of	IN	of
those	DT	those
databases	NNS	database
into	IN	into
one	CD	one
place	NN	place
so	IN	so
you	PP	you
can	MD	can
start	VB	start
searching	VBG	search
for	IN	for
,	,	,
you	PP	you
know	VBP	know
,	,	,
his	PP$	his
relatives	NNS	relative
,	,	,
his	PP$	his
friends	NNS	friend
,	,	,
the	DT	the
head	NN	head
of	IN	of
his	PP$	his
security	NN	security
services	NNS	service
.	SENT	.
You	PP	you
can	MD	can
try	VB	try
and	CC	and
find	VB	find
out	RP	out
how	WRB	how
he	PP	he
'	POS	'
s	NNS	<unknown>
moving	VBG	move
out	RP	out
assets	NNS	asset
from	IN	from
that	DT	that
country	NN	country
.	SENT	.
But	CC	but
again	RB	again
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
decisions	NNS	decision
which	WDT	which
are	VBP	be
impacting	VBG	impact
us	PP	us
the	DT	the
most	JJS	most
,	,	,
perhaps	RB	perhaps
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
decisions	NNS	decision
that	WDT	that
are	VBP	be
being	VBG	be
made	VBN	make
about	IN	about
war	NN	war
and	CC	and
so	RB	so
forth	RB	forth
,	,	,
again	RB	again
we	PP	we
can	MD	can
'	''	'
t	NN	t
just	RB	just
make	VB	make
a	DT	a
Freedom	NN	freedom
of	IN	of
Information	NP	Information
request	NN	request
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
difficult	JJ	difficult
.	SENT	.
So	IN	so
we	PP	we
'	''	'
re	IN	re
still	RB	still
having	VBG	have
to	TO	to
rely	VB	rely
on	IN	on
illegitimate	JJ	illegitimate
ways	NNS	way
of	IN	of
getting	VBG	get
information	NN	information
,	,	,
through	IN	through
leaks	NNS	leak
.	SENT	.
So	RB	so
when	WRB	when
the	DT	the
Guardian	NP	Guardian
did	VBD	do
this	DT	this
investigation	NN	investigation
about	IN	about
the	DT	the
Afghan	JJ	Afghan
War	NN	war
,	,	,
you	PP	you
know	VBP	know
,	,	,
they	PP	they
can	MD	can
'	''	'
t	NN	t
walk	NN	walk
into	IN	into
the	DT	the
Department	NP	Department
of	IN	of
Defense	NP	Defense
and	CC	and
ask	VB	ask
for	IN	for
all	PDT	all
the	DT	the
information	NN	information
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
they	PP	they
'	POS	'
re	NN	re
just	RB	just
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
it	PP	it
.	SENT	.
So	RB	so
this	DT	this
came	VBD	come
from	IN	from
leaks	NNS	leak
of	IN	of
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
dispatches	NNS	dispatch
that	WDT	that
were	VBD	be
written	VBN	write
by	IN	by
American	JJ	American
soldiers	NNS	soldier
about	IN	about
the	DT	the
Afghan	NP	Afghan
War	NP	War
,	,	,
and	CC	and
leaked	VBD	leak
,	,	,
and	CC	and
then	RB	then
they	PP	they
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
investigation	NN	investigation
.	SENT	.
Another	DT	another
rather	RB	rather
large	JJ	large
investigation	NN	investigation
is	VBZ	be
around	IN	around
world	NN	world
diplomacy	NN	diplomacy
.	SENT	.
Again	RB	again
,	,	,
this	DT	this
is	VBZ	be
all	RB	all
based	VBN	base
around	IN	around
leaks	NNS	leak
,	,	,
251	CD	@card@
,	,	,
000	CD	@card@
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
diplomatic	JJ	diplomatic
cables	NNS	cable
,	,	,
and	CC	and
I	PP	I
was	VBD	be
involved	VBN	involve
in	IN	in
this	DT	this
investigation	NN	investigation
because	IN	because
I	PP	I
got	VBD	get
this	DT	this
leak	NN	leak
through	IN	through
a	DT	a
leak	NN	leak
from	IN	from
a	DT	a
disgruntled	JJ	disgruntled
WikiLeaker	NP	WikiLeaker
and	CC	and
ended	VBD	end
up	RP	up
going	VBG	go
to	TO	to
work	VB	work
at	IN	at
the	DT	the
Guardian	NP	Guardian
.	SENT	.
So	RB	so
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
firsthand	RB	firsthand
what	WP	what
it	PP	it
was	VBD	be
like	JJ	like
to	TO	to
have	VB	have
access	NN	access
to	TO	to
this	DT	this
leak	NN	leak
.	SENT	.
It	PP	it
was	VBD	be
amazing	JJ	amazing
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
was	VBD	be
amazing	JJ	amazing
.	SENT	.
It	PP	it
reminded	VBD	remind
me	PP	me
of	IN	of
that	DT	that
scene	NN	scene
in	IN	in
"	``	"
The	DT	the
Wizard	NN	wizard
of	IN	of
Oz	NP	Oz
.	SENT	.
"	``	"
Do	VBP	do
you	PP	you
know	VBP	know
the	DT	the
one	CD	one
I	PP	I
mean	VBP	mean
?	SENT	?
Where	WRB	where
the	DT	the
little	JJ	little
dog	NN	dog
Toto	NP	Toto
runs	VBZ	run
across	IN	across
to	TO	to
where	WRB	where
the	DT	the
wizard	NN	wizard
[	SYM	[
is	VBZ	be
]	SYM	]
,	,	,
and	CC	and
he	PP	he
pulls	VBZ	pull
back	RB	back
,	,	,
the	DT	the
dog	NN	dog
'	POS	'
s	NNS	<unknown>
pulling	VBG	pull
back	RB	back
the	DT	the
curtain	NN	curtain
,	,	,
and	CC	and
—	:	-
"	``	"
Don	NP	Don
'	POS	'
t	NN	t
look	NN	look
behind	IN	behind
the	DT	the
screen	NN	screen
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
look	NN	look
at	IN	at
the	DT	the
man	NN	man
behind	IN	behind
the	DT	the
screen	NN	screen
.	SENT	.
"	``	"
It	PP	it
was	VBD	be
just	RB	just
like	JJ	like
that	IN	that
,	,	,
because	IN	because
what	WP	what
you	PP	you
started	VBD	start
to	TO	to
see	VB	see
is	VBZ	be
that	IN	that
all	DT	all
of	IN	of
these	DT	these
grand	JJ	grand
statesmen	NNS	statesman
,	,	,
these	DT	these
very	RB	very
pompous	JJ	pompous
politicians	NNS	politician
,	,	,
they	PP	they
were	VBD	be
just	RB	just
like	IN	like
us	PP	us
.	SENT	.
They	PP	they
all	RB	all
bitched	VBD	bitch
about	IN	about
each	DT	each
other	JJ	other
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
quite	RB	quite
gossipy	JJ	gossipy
,	,	,
those	DT	those
cables	NNS	cable
.	SENT	.
Okay	RB	okay
,	,	,
but	CC	but
I	PP	I
thought	VBD	think
it	PP	it
was	VBD	be
a	DT	a
very	RB	very
important	JJ	important
point	NN	point
for	IN	for
all	DT	all
of	IN	of
us	PP	us
to	TO	to
grasp	VB	grasp
,	,	,
these	DT	these
are	VBP	be
human	JJ	human
beings	NNS	being
just	RB	just
like	IN	like
us	PP	us
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
special	JJ	special
powers	NNS	power
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
magic	JJ	magic
.	SENT	.
They	PP	they
are	VBP	be
not	RB	not
our	PP$	our
parents	NNS	parent
.	SENT	.
Beyond	IN	beyond
that	DT	that
,	,	,
what	WP	what
I	PP	I
found	VBD	find
most	JJS	most
fascinating	JJ	fascinating
was	VBD	be
the	DT	the
level	NN	level
of	IN	of
endemic	JJ	endemic
corruption	NN	corruption
that	IN	that
I	PP	I
saw	VBD	see
across	IN	across
all	DT	all
different	JJ	different
countries	NNS	country
,	,	,
and	CC	and
particularly	RB	particularly
centered	VBN	center
around	IN	around
the	DT	the
heart	NN	heart
of	IN	of
power	NN	power
,	,	,
around	IN	around
public	JJ	public
officials	NNS	official
who	WP	who
were	VBD	be
embezzling	VBG	embezzle
the	DT	the
public	NN	public
'	POS	'
s	JJ	<unknown>
money	NN	money
for	IN	for
their	PP$	their
own	JJ	own
personal	JJ	personal
enrichment	NN	enrichment
,	,	,
and	CC	and
allowed	VBD	allow
to	TO	to
do	VB	do
that	IN	that
because	IN	because
of	IN	of
official	JJ	official
secrecy	NN	secrecy
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
mentioned	VBN	mention
WikiLeaks	NP	WikiLeaks
,	,	,
because	IN	because
surely	RB	surely
what	WP	what
could	MD	could
be	VB	be
more	RBR	more
open	JJ	open
than	IN	than
publishing	VBG	publish
all	PDT	all
the	DT	the
material	NN	material
?	SENT	?
Because	IN	because
that	DT	that
is	VBZ	be
what	WP	what
Julian	NP	Julian
Assange	NP	<unknown>
did	VBD	do
.	SENT	.
He	PP	he
wasn	NP	<unknown>
'	POS	'
t	NN	t
content	NN	content
with	IN	with
the	DT	the
way	NN	way
the	DT	the
newspapers	NNS	newspaper
published	VBD	publish
it	PP	it
to	TO	to
be	VB	be
safe	JJ	safe
and	CC	and
legal	JJ	legal
.	SENT	.
He	PP	he
threw	VBD	throw
it	PP	it
all	DT	all
out	RP	out
there	RB	there
.	SENT	.
That	DT	that
did	VBD	do
end	NN	end
up	RP	up
with	IN	with
vulnerable	JJ	vulnerable
people	NNS	people
in	IN	in
Afghanistan	NP	Afghanistan
being	VBG	be
exposed	VBN	expose
.	SENT	.
It	PP	it
also	RB	also
meant	VBD	mean
that	IN	that
the	DT	the
Belarussian	NP	Belarussian
dictator	NN	dictator
was	VBD	be
given	VBN	give
a	DT	a
handy	JJ	handy
list	NN	list
of	IN	of
all	PDT	all
the	DT	the
pro-democracy	JJ	pro-democracy
campaigners	NNS	campaigner
in	IN	in
that	DT	that
country	NN	country
who	WP	who
had	VBD	have
spoken	VBN	speak
to	TO	to
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
government	NN	government
.	SENT	.
Is	VBZ	be
that	IN	that
radical	JJ	radical
openness	NN	openness
?	SENT	?
I	PP	I
say	VBP	say
it	PP	it
'	''	'
s	NNS	<unknown>
not	RB	not
,	,	,
because	IN	because
for	IN	for
me	PP	me
,	,	,
what	WP	what
it	PP	it
means	VBZ	mean
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
mean	NN	mean
abdicating	VBG	abdicate
power	NN	power
,	,	,
responsibility	NN	responsibility
,	,	,
accountability	NN	accountability
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
being	VBG	be
a	DT	a
partner	NN	partner
with	IN	with
power	NN	power
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
sharing	VBG	share
responsibility	NN	responsibility
,	,	,
sharing	VBG	share
accountability	NN	accountability
.	SENT	.
Also	RB	also
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
threatened	VBD	threaten
to	TO	to
sue	VB	sue
me	PP	me
because	IN	because
I	PP	I
got	VBD	get
a	DT	a
leak	NN	leak
of	IN	of
his	PP$	his
leaks	NNS	leak
,	,	,
I	PP	I
thought	VBD	think
that	WDT	that
showed	VBD	show
a	DT	a
remarkable	JJ	remarkable
sort	NN	sort
of	IN	of
inconsistency	NN	inconsistency
in	IN	in
ideology	NN	ideology
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
as	RB	as
well	RB	well
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
that	IN	that
power	NN	power
is	VBZ	be
incredibly	RB	incredibly
seductive	JJ	seductive
,	,	,
and	CC	and
you	PP	you
must	MD	must
have	VB	have
two	CD	two
real	JJ	real
qualities	NNS	quality
,	,	,
I	PP	I
think	VBP	think
,	,	,
when	WRB	when
you	PP	you
come	VBP	come
to	TO	to
the	DT	the
table	NN	table
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
dealing	VBG	deal
with	IN	with
power	NN	power
,	,	,
talking	VBG	talk
about	IN	about
power	NN	power
,	,	,
because	IN	because
of	IN	of
its	PP$	its
seductive	JJ	seductive
capacity	NN	capacity
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
have	VB	have
skepticism	NN	skepticism
and	CC	and
humility	NN	humility
.	SENT	.
Skepticism	NN	skepticism
,	,	,
because	IN	because
you	PP	you
must	MD	must
always	RB	always
be	VB	be
challenging	JJ	challenging
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
why	WRB	why
do	VBP	do
you	PP	you
—	:	-
you	PP	you
just	RB	just
say	VBP	say
so	RB	so
?	SENT	?
That	IN	that
'	POS	'
s	NN	S
not	RB	not
good	JJ	good
enough	RB	enough
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
the	DT	the
evidence	NN	evidence
behind	IN	behind
why	WRB	why
that	DT	that
'	''	'
s	NNS	<unknown>
so	RB	so
.	SENT	.
And	CC	and
humility	NN	humility
because	IN	because
we	PP	we
are	VBP	be
all	RB	all
human	JJ	human
.	SENT	.
We	PP	we
all	RB	all
make	VBP	make
mistakes	NNS	mistake
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
skepticism	NN	skepticism
and	CC	and
humility	NN	humility
,	,	,
then	RB	then
it	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
short	JJ	short
journey	NN	journey
to	TO	to
go	VB	go
from	IN	from
reformer	NN	reformer
to	TO	to
autocrat	NN	autocrat
,	,	,
and	CC	and
I	PP	I
think	VBP	think
you	PP	you
only	RB	only
have	VB	have
to	TO	to
read	VB	read
"	``	"
Animal	JJ	animal
Farm	NN	farm
"	''	"
to	TO	to
get	VB	get
that	DT	that
message	NN	message
about	IN	about
how	WRB	how
power	NN	power
corrupts	VBZ	corrupt
people	NNS	people
.	SENT	.
So	RB	so
what	WP	what
is	VBZ	be
the	DT	the
solution	NN	solution
?	SENT	?
It	PP	it
is	VBZ	be
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
to	TO	to
embody	VB	embody
within	IN	within
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
rights	NNS	right
to	TO	to
information	NN	information
.	SENT	.
At	IN	at
the	DT	the
moment	NN	moment
our	PP$	our
rights	NNS	right
are	VBP	be
incredibly	RB	incredibly
weak	JJ	weak
.	SENT	.
In	IN	in
a	DT	a
lot	NN	lot
of	IN	of
countries	NNS	country
,	,	,
we	PP	we
have	VBP	have
Official	JJ	Official
Secrets	NNS	secret
Acts	NNS	act
,	,	,
including	VBG	include
in	IN	in
Britain	NP	Britain
here	RB	here
.	SENT	.
We	PP	we
have	VBP	have
an	DT	an
Official	NP	Official
Secrets	NPS	Secrets
Act	NP	Act
with	IN	with
no	DT	no
public	JJ	public
interest	NN	interest
test	NN	test
.	SENT	.
So	RB	so
that	DT	that
means	VBZ	mean
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
crime	NN	crime
,	,	,
people	NNS	people
are	VBP	be
punished	VBN	punish
,	,	,
quite	RB	quite
severely	RB	severely
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
cases	NNS	case
,	,	,
for	IN	for
publishing	VBG	publish
or	CC	or
giving	VBG	give
away	RP	away
official	JJ	official
information	NN	information
.	SENT	.
Now	RB	now
wouldn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
be	VB	be
amazing	JJ	amazing
,	,	,
and	CC	and
really	RB	really
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
want	VBP	want
all	DT	all
of	IN	of
you	PP	you
to	TO	to
think	VB	think
about	RB	about
,	,	,
if	IN	if
we	PP	we
had	VBD	have
an	DT	an
Official	JJ	Official
Disclosure	NN	disclosure
Act	NP	Act
where	WRB	where
officials	NNS	official
were	VBD	be
punished	VBN	punish
if	IN	if
they	PP	they
were	VBD	be
found	VBN	find
to	TO	to
have	VB	have
suppressed	VBN	suppress
or	CC	or
hidden	VBN	hide
information	NN	information
that	WDT	that
was	VBD	be
in	IN	in
the	DT	the
public	JJ	public
interest	NN	interest
?	SENT	?
So	RB	so
that	DT	that
—	:	-
yes	UH	yes
.	SENT	.
Yes	UH	yes
!	SENT	!
My	PP$	my
power	NN	power
pose	NN	pose
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
us	PP	us
to	TO	to
work	VB	work
towards	IN	towards
that	DT	that
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
all	DT	all
bad	JJ	bad
news	NN	news
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
there	EX	there
definitely	RB	definitely
is	VBZ	be
progress	NN	progress
on	IN	on
the	DT	the
line	NN	line
,	,	,
but	CC	but
I	PP	I
think	VBP	think
what	WP	what
we	PP	we
find	VBP	find
is	VBZ	be
that	IN	that
the	DT	the
closer	RBR	closer
that	IN	that
we	PP	we
get	VBP	get
right	RB	right
into	IN	into
the	DT	the
heart	NN	heart
of	IN	of
power	NN	power
,	,	,
the	DT	the
more	JJR	more
opaque	NN	opaque
,	,	,
closed	VBD	close
it	PP	it
becomes	VBZ	become
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
only	RB	only
just	RB	just
the	DT	the
other	JJ	other
week	NN	week
that	IN	that
I	PP	I
heard	VBD	hear
London	NP	London
'	POS	'
s	NN	S
Metropolitan	NP	Metropolitan
Police	NP	Police
Commissioner	NP	Commissioner
talking	VBG	talk
about	RB	about
why	WRB	why
the	DT	the
police	NNS	police
need	VBP	need
access	NN	access
to	TO	to
all	DT	all
of	IN	of
our	PP$	our
communications	NNS	communication
,	,	,
spying	VBG	spy
on	IN	on
us	PP	us
without	IN	without
any	DT	any
judicial	JJ	judicial
oversight	NN	oversight
,	,	,
and	CC	and
he	PP	he
said	VBD	say
it	PP	it
was	VBD	be
a	DT	a
matter	NN	matter
of	IN	of
life	NN	life
and	CC	and
death	NN	death
.	SENT	.
He	PP	he
actually	RB	actually
said	VBD	say
that	IN	that
,	,	,
it	PP	it
was	VBD	be
a	DT	a
matter	NN	matter
of	IN	of
life	NN	life
and	CC	and
death	NN	death
.	SENT	.
There	EX	there
was	VBD	be
no	DT	no
evidence	NN	evidence
.	SENT	.
He	PP	he
presented	VBD	present
no	DT	no
evidence	NN	evidence
of	IN	of
that	DT	that
.	SENT	.
It	PP	it
was	VBD	be
just	RB	just
,	,	,
"	``	"
Because	IN	because
I	PP	I
say	VBP	say
so	RB	so
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
trust	VB	trust
me	PP	me
.	SENT	.
Take	VB	take
it	PP	it
on	IN	on
faith	NN	faith
.	SENT	.
"	''	"
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
sorry	RB	sorry
,	,	,
people	NNS	people
,	,	,
but	CC	but
we	PP	we
are	VBP	be
back	RB	back
to	TO	to
the	DT	the
pre-Enlightenment	NN	<unknown>
Church	NN	church
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
fight	VB	fight
against	IN	against
that	DT	that
.	SENT	.
So	RB	so
he	PP	he
was	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
law	NN	law
in	IN	in
Britain	NP	Britain
which	WDT	which
is	VBZ	be
the	DT	the
Communications	NP	Communications
Data	NP	Data
Bill	NP	Bill
,	,	,
an	DT	an
absolutely	RB	absolutely
outrageous	JJ	outrageous
piece	NN	piece
of	IN	of
legislation	NN	legislation
.	SENT	.
In	IN	in
America	NP	America
,	,	,
you	PP	you
have	VBP	have
the	DT	the
Cyber	NP	Cyber
Intelligence	NP	Intelligence
Sharing	NN	sharing
and	CC	and
Protection	NP	Protection
Act	NP	Act
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
drones	NNS	drone
now	RB	now
being	VBG	be
considered	VBN	consider
for	IN	for
domestic	JJ	domestic
surveillance	NN	surveillance
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
National	NP	National
Security	NP	Security
Agency	NP	Agency
building	VBG	build
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
giantest	JJS	giant
spy	NN	spy
center	NN	center
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
this	DT	this
colossal	JJ	colossal
—	:	-
it	PP	it
'	POS	'
s	NN	S
five	CD	five
times	NNS	time
bigger	JJR	big
than	IN	than
the	DT	the
U	NP	U
.	SENT	.
