Many	JJ	many
then	RB	then
go	VB	go
on	IN	on
to	TO	to
be	VB	be
multilingual	JJ	multilingual
adults	NNS	adult
,	,	,
workers	NNS	worker
,	,	,
travelers	NNS	traveler
,	,	,
community	NN	community
members	NNS	member
,	,	,
and	CC	and
global	JJ	global
citizens	NNS	citizen
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
