Cloe	NP	Cloe
s	NN	S
not	RB	not
someone	NN	someone
who	WP	who
automatically	RB	automatically
,	,	,
you	PP	you
would	MD	would
think	VB	think
,	,	,
qualifies	VBZ	qualify
for	IN	for
a	DT	a
service	NN	service
dog	NN	dog
,	,	,
but	CC	but
he	PP	he
'	POS	'
s	NN	S
someone	NN	someone
who	WP	who
,	,	,
like	IN	like
,	,	,
has	VBZ	have
serious	JJ	serious
trouble	NN	trouble
with	IN	with
anxiety	NN	anxiety
and	CC	and
depression	NN	depression
he	PP	he
'	POS	'
s	NN	S
had	VBD	have
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
on	IN	on
all	DT	all
types	NNS	type
of	IN	of
drugs	NNS	drug
,	,	,
which	WDT	which
have	VBP	have
all	DT	all
types	NNS	type
of	IN	of
side	NN	side
effects	NNS	effect
.	SENT	.
And	CC	and
he	PP	he
,	,	,
you	PP	you
know	VBP	know
,	,	,
came	VBD	come
to	TO	to
me	PP	me
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	``	"
What	WP	what
would	MD	would
you	PP	you
think	VB	think
if	IN	if
I	PP	I
had	VBD	have
a	DT	a
dog	NN	dog
?	SENT	?
"	``	"
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	IN	that
'	''	'
d	SYM	d
be	VB	be
a	DT	a
great	JJ	great
idea	NN	idea
.	SENT	.
And	CC	and
we	PP	we
sort	VBP	sort
of	IN	of
left	VBD	leave
it	PP	it
at	IN	at
that	DT	that
.	SENT	.
And	CC	and
then	RB	then
,	,	,
I	PP	I
get	VBP	get
a	DT	a
call	NN	call
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
at	IN	at
the	DT	the
airport	NN	airport
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
flying	VBG	fly
to	TO	to
Wyoming	NP	Wyoming
to	TO	to
meet	VB	meet
a	DT	a
potential	JJ	potential
service	NN	service
dog	NN	dog
for	IN	for
myself	PP	myself
.	SENT	.
"	``	"
You	PP	you
know	VBP	know
,	,	,
he	PP	he
found	VBD	find
some	DT	some
breeder	NN	breeder
that	WDT	that
specializes	VBZ	specialize
in	IN	in
it	PP	it
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
a	DT	a
month	NN	month
later	RBR	later
,	,	,
this	DT	this
dog	NN	dog
arrives	VBZ	arrive
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
,	,	,
like	VB	like
,	,	,
the	DT	the
first	JJ	first
moment	NN	moment
that	IN	that
they	PP	they
'	POS	'
d	NN	d
met	VBD	meet
.	SENT	.
And	CC	and
,	,	,
like	IN	like
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
person	NN	person
you	PP	you
just	RB	just
meet	VBP	meet
and	CC	and
stare	VBP	stare
at	IN	at
them	PP	them
so	RB	so
deeply	RB	deeply
in	IN	in
their	PP$	their
eyes	NNS	eye
--	:	--
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
have	VB	have
this	DT	this
,	,	,
like	VB	like
,	,	,
instantly	RB	instantly
powerful	JJ	powerful
effect	NN	effect
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
he	PP	he
loves	VBZ	love
this	DT	this
dog	NN	dog
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
never	RB	never
alone	RB	alone
anymore	RB	anymore
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
single	JJ	single
,	,	,
and	CC	and
he	PP	he
goes	VBZ	go
on	IN	on
dates	NNS	date
,	,	,
and	CC	and
sometimes	RB	sometimes
,	,	,
the	DT	the
dates	NNS	date
don	NN	don
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
And	CC	and
he	PP	he
would	MD	would
have	VB	have
this	DT	this
,	,	,
like	VB	like
,	,	,
fear	NN	fear
and	CC	and
this	DT	this
spiral	NN	spiral
of	IN	of
going	VBG	go
home	NN	home
to	TO	to
nothing	NN	nothing
and	CC	and
not	RB	not
being	VBG	be
OK	JJ	OK
and	CC	and
feeling	NN	feeling
rejected	VBD	reject
.	SENT	.
And	CC	and
he	PP	he
was	VBD	be
telling	VBG	tell
me	PP	me
,	,	,
like	VB	like
,	,	,
now	RB	now
,	,	,
with	IN	with
Opal	NP	Opal
,	,	,
he	PP	he
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
that	DT	that
fear	NN	fear
anymore	RB	anymore
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	``	"
If	IN	if
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
out	RB	out
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
good	JJ	good
.	SENT	.
Opal	NP	Opal
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
there	RB	there
waiting	VBG	wait
for	IN	for
me	PP	me
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
probably	RB	probably
hungry	JJ	hungry
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
her	PP	her
for	IN	for
a	DT	a
walk	NN	walk
.	SENT	.
"	''	"
Like	IN	like
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
opposite	NN	opposite
of	IN	of
this	DT	this
spiral	NN	spiral
.	SENT	.
CSB	NP	CSB
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
beautiful	JJ	beautiful
.	SENT	.
EWF	NN	EWF
:	:	:
Yeah	RB	yeah
.	SENT	.
EWF	NN	EWF
:	:	:
And	CC	and
this	DT	this
is	VBZ	be
back	RB	back
at	IN	at
the	DT	the
VetDogs	NP	<unknown>
headquarters	NN	headquarters
.	SENT	.
This	DT	this
is	VBZ	be
Maggie	NP	Maggie
,	,	,
who	WP	who
'	POS	'
s	NNS	<unknown>
a	DT	a
facility	NN	facility
service	NN	service
dog	NN	dog
.	SENT	.
So	RB	so
instead	RB	instead
of	IN	of
having	VBG	have
one	CD	one
handler	NN	handler
,	,	,
she	PP	she
helps	VBZ	help
with	IN	with
lots	NNS	lot
of	IN	of
people	NNS	people
,	,	,
like	IN	like
in	IN	in
a	DT	a
hospital	NN	hospital
or	CC	or
something	NN	something
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
just	RB	just
having	VBG	have
,	,	,
like	VB	like
,	,	,
a	DT	a
regular	JJ	regular
Tuesday	NP	Tuesday
,	,	,
in	IN	in
whatever	WDT	whatever
mood	NN	mood
I	PP	I
was	VBD	be
,	,	,
and	CC	and
taking	VBG	take
pictures	NNS	picture
of	IN	of
Maggie	NP	Maggie
,	,	,
learning	VBG	learn
about	IN	about
her	PP	her
.	SENT	.
I	PP	I
did	VBD	do
,	,	,
like	IN	like
,	,	,
a	DT	a
nightmare	NN	nightmare
interruption	NN	interruption
.	SENT	.
And	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
want	VBP	want
Maggie	NP	Maggie
to	TO	to
give	VB	give
you	PP	you
a	DT	a
hug	NN	hug
?	SENT	?
She	NN	she
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
hugger	NN	hugger
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
yeah	RB	yeah
,	,	,
sure	RB	sure
.	SENT	.
"	``	"
And	CC	and
I	PP	I
get	VBP	get
down	RB	down
on	IN	on
my	PP$	my
knee	NN	knee
,	,	,
and	CC	and
she	PP	she
comes	VBZ	come
up	RB	up
and	CC	and
just	RB	just
embraces	VBZ	embrace
me	PP	me
in	IN	in
this	DT	this
really	RB	really
,	,	,
like	JJ	like
,	,	,
trained	JJ	trained
way	NN	way
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
like	IN	like
a	DT	a
dog	NN	dog
jumping	VBG	jump
up	RP	up
on	IN	on
you	PP	you
.	SENT	.
But	CC	but
instantly	RB	instantly
,	,	,
I	PP	I
felt	VBD	feel
like	IN	like
my	PP$	my
emotions	NNS	emotion
,	,	,
like	VB	like
,	,	,
my	PP$	my
day	NN	day
was	VBD	be
completely	RB	completely
different	JJ	different
.	SENT	.
It	PP	it
was	VBD	be
,	,	,
like	VB	like
,	,	,
this	DT	this
powerful	JJ	powerful
force	NN	force
of	IN	of
happiness	NN	happiness
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
realize	VBP	realize
that	IN	that
I	PP	I
needed	VBD	need
it	PP	it
,	,	,
before	RB	before
.	SENT	.
But	CC	but
Maggie	NP	Maggie
made	VBD	make
me	PP	me
realize	VBP	realize
that	IN	that
I	PP	I
did	VBD	do
need	VB	need
it	PP	it
.	SENT	.
CSB	NP	CSB
:	:	:
That	IN	that
you	PP	you
were	VBD	be
not	RB	not
in	IN	in
the	DT	the
best	JJS	good
mood	NN	mood
,	,	,
perhaps	RB	perhaps
.	SENT	.
EWF	NN	EWF
:	:	:
You	PP	you
know	VBP	know
,	,	,
like	VBP	like
,	,	,
whatever	WDT	whatever
mood	NN	mood
you	PP	you
'	POS	'
re	NN	re
in	IN	in
,	,	,
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
enhance	VB	enhance
it	PP	it
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
CSB	NP	CSB
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
awesome	JJ	awesome
.	SENT	.
So	RB	so
you	PP	you
grew	VBD	grow
up	RP	up
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
dogs	NNS	dog
,	,	,
and	CC	and
you	PP	you
started	VBD	start
The	DT	the
Dogist	NN	<unknown>
--	:	--
Yeah	RB	yeah
,	,	,
there	EX	there
'	''	'
s	NN	S
baby	NN	baby
Elias	NP	Elias
.	SENT	.
So	RB	so
cute	JJ	cute
.	SENT	.
And	CC	and
you	PP	you
started	VBD	start
The	DT	the
Dogist	NN	<unknown>
in	IN	in
2013	CD	@card@
,	,	,
and	CC	and
you	PP	you
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
a	DT	a
dog	NN	dog
then	RB	then
,	,	,
because	IN	because
you	PP	you
were	VBD	be
like	IN	like
,	,	,
"	``	"
I	PP	I
need	VBP	need
to	TO	to
travel	VB	travel
and	CC	and
take	VB	take
these	DT	these
photos	NNS	photo
.	SENT	.
"	''	"
And	CC	and
so	RB	so
when	WRB	when
you	PP	you
finally	RB	finally
did	VBD	do
get	VB	get
a	DT	a
dog	NN	dog
,	,	,
recently	RB	recently
,	,	,
last	JJ	last
few	JJ	few
years	NNS	year
,	,	,
right	RB	right
?	SENT	?
How	WRB	how
has	VBZ	have
that	RB	that
changed	VBN	change
your	PP$	your
perspective	NN	perspective
on	IN	on
your	PP$	your
work	NN	work
?	SENT	?
EWF	NN	EWF
:	:	:
Yeah	RB	yeah
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
was	VBD	be
sort	NN	sort
of	IN	of
like	IN	like
my	PP$	my
little	JJ	little
secret	NN	secret
.	SENT	.
Like	IN	like
,	,	,
"	''	"
The	DT	the
Dogist	NN	<unknown>
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
a	DT	a
dog	NN	dog
.	SENT	.
"	``	"
And	CC	and
I	PP	I
sort	VBP	sort
of	IN	of
decided	VBD	decide
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
travel	VB	travel
and	CC	and
meet	VB	meet
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
dogs	NNS	dog
.	SENT	.
I	PP	I
had	VBD	have
dogstalgia	NN	<unknown>
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
single	JJ	single
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
ready	JJ	ready
for	IN	for
a	DT	a
dog	NN	dog
.	SENT	.
But	CC	but
then	RB	then
during	IN	during
the	DT	the
pandemic	NN	pandemic
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
foster	VB	foster
,	,	,
and	CC	and
I	PP	I
met	VBD	meet
Elsa	NP	Elsa
.	SENT	.
She	PP	she
came	VBD	come
up	RP	up
from	IN	from
Texas	NP	Texas
,	,	,
and	CC	and
she	PP	she
was	VBD	be
amazing	JJ	amazing
.	SENT	.
Like	IN	like
,	,	,
she	PP	she
campaigned	VBD	campaign
for	IN	for
my	PP$	my
heart	NN	heart
,	,	,
and	CC	and
she	PP	she
won	VBD	win
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
for	IN	for
me	PP	me
to	TO	to
grow	VB	grow
up	RP	up
a	DT	a
bit	NN	bit
.	SENT	.
"	''	"
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
fell	VBD	fall
in	IN	in
love	NN	love
with	IN	with
her	PP	her
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
say	VBP	say
,	,	,
like	VBP	like
,	,	,
they	PP	they
open	VBP	open
another	DT	another
chamber	NN	chamber
of	IN	of
your	PP$	your
heart	NN	heart
.	SENT	.
And	CC	and
she	PP	she
did	VBD	do
,	,	,
and	CC	and
she	PP	she
,	,	,
you	PP	you
know	VBP	know
,	,	,
deepened	VBD	deepen
my	PP$	my
appreciation	NN	appreciation
for	IN	for
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
relationships	NNS	relationship
with	IN	with
their	PP$	their
dogs	NNS	dog
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
know	VB	know
,	,	,
unless	IN	unless
you	PP	you
have	VBP	have
your	PP$	your
own	JJ	own
dog	NN	dog
,	,	,
like	VB	like
,	,	,
what	WP	what
that	RB	that
feels	VBZ	feel
like	IN	like
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
I	PP	I
got	VBD	get
Elsa	NP	Elsa
,	,	,
my	PP$	my
fiancé	NN	fiancé
and	CC	and
I	PP	I
got	VBD	get
engaged	VBN	engage
.	SENT	.
CSB	NP	CSB
:	:	:
Congratulations	NNS	congratulation
.	SENT	.
EWF	NN	EWF
:	:	:
You	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
just	RB	just
sort	NN	sort
of	IN	of
,	,	,
like	VB	like
,	,	,
a	DT	a
catalyst	NN	catalyst
for	IN	for
love	NN	love
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
CSB	NP	CSB
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
awesome	JJ	awesome
.	SENT	.
Well	RB	well
,	,	,
may	MD	may
we	PP	we
all	RB	all
feel	VBP	feel
the	DT	the
kind	NN	kind
of	IN	of
love	NN	love
that	IN	that
Elias	NP	Elias
feels	VBZ	feel
with	IN	with
Elsa	NP	Elsa
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VBG	join
us	PP	us
,	,	,
Elias	NP	Elias
.	SENT	.
EWF	NN	EWF
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
