Okay	JJ	okay
s	VBG	<unknown>
an	DT	an
example	NN	example
.	SENT	.
The	DT	the
Pormpuraawan	NP	<unknown>
are	VBP	be
an	DT	an
Indigenous	JJ	indigenous
Aboriginal	JJ	Aboriginal
community	NN	community
in	IN	in
Australia	NP	Australia
,	,	,
and	CC	and
if	IN	if
you	PP	you
ask	VBP	ask
a	DT	a
Pormpuraawan	NP	<unknown>
individual	NN	individual
to	TO	to
order	VB	order
photos	NNS	photo
of	IN	of
a	DT	a
person	NN	person
aging	VBG	age
in	IN	in
order	NN	order
from	IN	from
the	DT	the
youngest	JJS	young
to	TO	to
the	DT	the
oldest	JJS	old
,	,	,
they	PP	they
will	MD	will
invariably	RB	invariably
put	VB	put
the	DT	the
oldest	JJS	old
photos	NNS	photo
of	IN	of
the	DT	the
person	NN	person
on	IN	on
the	DT	the
west	NN	west
and	CC	and
the	DT	the
youngest	JJS	young
photos	NNS	photo
to	TO	to
the	DT	the
east	JJ	east
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
regardless	RB	regardless
of	IN	of
where	WRB	where
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
room	NN	room
or	CC	or
their	PP$	their
orientation	NN	orientation
;	:	;
they	PP	they
know	VBP	know
where	WRB	where
west	JJ	west
and	CC	and
east	RB	east
is	VBZ	be
,	,	,
and	CC	and
they	PP	they
will	MD	will
order	VB	order
the	DT	the
photos	NNS	photo
in	IN	in
those	DT	those
directions	NNS	direction
.	SENT	.
So	RB	so
for	IN	for
the	DT	the
Pormpuraawan	NP	<unknown>
,	,	,
time	NN	time
itself	PP	itself
runs	VBZ	run
from	IN	from
east	JJ	east
to	TO	to
west	NN	west
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
Aymara	NP	Aymara
of	IN	of
the	DT	the
Andes	NP	Andes
,	,	,
time	NN	time
runs	NNS	run
along	IN	along
a	DT	a
similar	JJ	similar
axis	NN	axis
as	IN	as
it	PP	it
does	VBZ	do
for	IN	for
us	PP	us
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
reversed	VBD	reverse
.	SENT	.
So	IN	so
the	DT	the
Aymara	NP	Aymara
logic	NN	logic
is	VBZ	be
,	,	,
well	UH	well
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
experienced	VBD	experience
the	DT	the
past	JJ	past
-	NN	<unknown>
we	PP	we
know	VBP	know
it	PP	it
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
it	PP	it
-	NN	<unknown>
so	IN	so
it	PP	it
should	MD	should
lie	VB	lie
in	IN	in
front	NN	front
,	,	,
where	WRB	where
we	PP	we
can	MD	can
look	VB	look
at	IN	at
it	PP	it
,	,	,
whilst	IN	whilst
the	DT	the
future	NN	future
,	,	,
which	WDT	which
remains	VBZ	remain
unknown	JJ	unknown
,	,	,
lies	VBZ	lie
behind	IN	behind
us	PP	us
.	SENT	.
So	RB	so
for	IN	for
the	DT	the
Aymara	NP	Aymara
,	,	,
future	JJ	future
events	NNS	event
sit	VBP	sit
here	RB	here
,	,	,
and	CC	and
past	JJ	past
events	NNS	event
sit	VBP	sit
here	RB	here
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
reflected	VBN	reflect
,	,	,
as	IN	as
it	PP	it
is	VBZ	be
for	IN	for
us	PP	us
in	IN	in
English	NP	English
,	,	,
in	IN	in
their	PP$	their
language	NN	language
.	SENT	.
So	IN	so
the	DT	the
Aymara	NP	Aymara
word	NN	word
for	IN	for
"	``	"
last	JJ	last
year	NN	year
"	''	"
literally	RB	literally
means	VBZ	mean
front	JJ	front
year	NN	year
,	,	,
or	CC	or
side	NN	side
year	NN	year
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
the	DT	the
most	RBS	most
fascinating	JJ	fascinating
example	NN	example
of	IN	of
this	DT	this
variation	NN	variation
in	IN	in
timelines	NNS	timeline
comes	VBZ	come
from	IN	from
the	DT	the
Yupno	NP	<unknown>
people	NNS	people
of	IN	of
Papua	NP	Papua
New	NP	New
Guinea	NP	Guinea
.	SENT	.
And	CC	and
the	DT	the
Yupno	NP	<unknown>
are	VBP	be
geographically	RB	geographically
isolated	VBN	isolate
by	IN	by
a	DT	a
very	RB	very
steep	JJ	steep
mountain	NN	mountain
range	NN	range
,	,	,
so	RB	so
their	PP$	their
access	NN	access
to	TO	to
lots	NNS	lot
of	IN	of
Western	JJ	Western
technologies	NNS	technology
,	,	,
like	IN	like
clocks	NNS	clock
and	CC	and
calendars	NNS	calendar
,	,	,
as	RB	as
well	RB	well
as	IN	as
electricity	NN	electricity
and	CC	and
domestic	JJ	domestic
animals	NNS	animal
,	,	,
is	VBZ	be
highly	RB	highly
limited	VBN	limit
.	SENT	.
And	CC	and
the	DT	the
Yupno	NP	<unknown>
express	VB	express
their	PP$	their
time	NN	time
according	VBG	accord
to	TO	to
their	PP$	their
landscape	NN	landscape
.	SENT	.
A	DT	a
team	NN	team
of	IN	of
anthropologists	NNS	anthropologist
living	VBG	live
with	IN	with
the	DT	the
Yupno	NP	<unknown>
noticed	VBD	notice
that	IN	that
if	IN	if
you	PP	you
ask	VBP	ask
a	DT	a
Yupno	NP	<unknown>
person	NN	person
about	IN	about
the	DT	the
past	NN	past
,	,	,
they	PP	they
will	MD	will
gesture	VB	gesture
downhill	RB	downhill
towards	IN	towards
the	DT	the
mouth	NN	mouth
of	IN	of
the	DT	the
river	NN	river
,	,	,
which	WDT	which
is	VBZ	be
so	RB	so
integral	JJ	integral
to	TO	to
their	PP$	their
way	NN	way
of	IN	of
life	NN	life
;	:	;
and	CC	and
if	IN	if
you	PP	you
ask	VBP	ask
them	PP	them
about	IN	about
the	DT	the
future	NN	future
,	,	,
they	PP	they
will	MD	will
gesture	VB	gesture
uphill	RB	uphill
towards	IN	towards
the	DT	the
peak	NN	peak
of	IN	of
the	DT	the
mountain	NN	mountain
,	,	,
and	CC	and
the	DT	the
source	NN	source
of	IN	of
their	PP$	their
local	JJ	local
river	NN	river
.	SENT	.
And	CC	and
again	RB	again
,	,	,
this	DT	this
remains	VBZ	remain
the	DT	the
same	JJ	same
wherever	WRB	wherever
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
landscape	NN	landscape
and	CC	and
even	RB	even
how	WRB	how
far	RB	far
away	RB	away
they	PP	they
are	VBP	be
from	IN	from
their	PP$	their
local	JJ	local
river	NN	river
.	SENT	.
So	RB	so
for	IN	for
the	DT	the
Yupno	NP	<unknown>
,	,	,
time	NN	time
itself	PP	itself
and	CC	and
the	DT	the
flow	NN	flow
of	IN	of
time	NN	time
is	VBZ	be
represented	VBN	represent
by	IN	by
the	DT	the
flow	NN	flow
of	IN	of
their	PP$	their
river	NN	river
.	SENT	.
So	RB	so
what	WP	what
implications	NNS	implication
does	VBZ	do
this	DT	this
have	VBP	have
for	IN	for
synesthesia	NN	synesthesia
?	SENT	?
Western	JJ	Western
time-space	JJ	time-space
synesthete	NN	synesthete
'	POS	'
s	NN	S
forms	NNS	form
,	,	,
as	IN	as
you	PP	you
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
before	IN	before
,	,	,
look	VB	look
a	DT	a
lot	NN	lot
like	IN	like
clocks	NNS	clock
or	CC	or
calendars	NNS	calendar
;	:	;
they	PP	they
usually	RB	usually
run	VBP	run
in	IN	in
clockwise	JJ	clockwise
or	CC	or
calendrical	JJ	calendrical
format	NN	format
around	IN	around
a	DT	a
circle	NN	circle
.	SENT	.
But	CC	but
what	WP	what
might	MD	might
these	DT	these
forms	NNS	form
look	VBP	look
like	IN	like
for	IN	for
time-space	JJ	time-space
synesthetes	NNS	synesthete
growing	VBG	grow
up	RP	up
among	IN	among
the	DT	the
Yupno	NP	<unknown>
or	CC	or
among	IN	among
the	DT	the
Aymara	NP	Aymara
in	IN	in
a	DT	a
world	NN	world
without	IN	without
access	NN	access
to	TO	to
Western	JJ	Western
technology	NN	technology
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
simple	JJ	simple
answer	NN	answer
is	VBZ	be
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
since	IN	since
synesthesia	NN	synesthesia
studies	NNS	study
have	VBP	have
overwhelmingly	RB	overwhelmingly
focused	VBN	focus
on	IN	on
the	DT	the
experiences	NNS	experience
of	IN	of
Western	JJ	Western
university	NN	university
students	NNS	student
like	IN	like
me	PP	me
,	,	,
but	CC	but
we	PP	we
can	MD	can
look	VB	look
at	IN	at
other	JJ	other
types	NNS	type
of	IN	of
synesthesia	NN	synesthesia
for	IN	for
clues	NNS	clue
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
variation	NN	variation
of	IN	of
time-space	JJ	time-space
synesthesia	NN	synesthesia
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
sequence-based	JJ	<unknown>
synesthesia	NN	synesthesia
,	,	,
and	CC	and
it	PP	it
looks	VBZ	look
a	DT	a
bit	NN	bit
like	IN	like
this	DT	this
.	SENT	.
So	RB	so
people	NNS	people
with	IN	with
the	DT	the
sequence-based	JJ	<unknown>
synesthesia	NN	synesthesia
,	,	,
instead	RB	instead
of	IN	of
seeing	VBG	see
time	NN	time
,	,	,
they	PP	they
see	VBP	see
strings	NNS	string
of	IN	of
numbers	NNS	number
as	IN	as
having	VBG	have
forms	NNS	form
and	CC	and
shapes	NNS	shape
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
typical	JJ	typical
number	NN	number
form	NN	form
of	IN	of
someone	NN	someone
with	IN	with
this	DT	this
type	NN	type
of	IN	of
synesthesia	NN	synesthesia
.	SENT	.
And	CC	and
in	IN	in
our	PP$	our
modern	JJ	modern
age	NN	age
in	IN	in
the	DT	the
West	NP	West
,	,	,
the	DT	the
twists	NNS	twist
and	CC	and
the	DT	the
breaks	VBZ	break
that	IN	that
we	PP	we
see	VBP	see
in	IN	in
these	DT	these
synthetic	JJ	synthetic
forms	NNS	form
,	,	,
they	PP	they
always	RB	always
happen	VB	happen
in	IN	in
intervals	NNS	interval
of	IN	of
10	CD	@card@
-	NN	<unknown>
so	IN	so
10	CD	@card@
,	,	,
20	CD	@card@
,	,	,
30	CD	@card@
,	,	,
40	CD	@card@
-	NN	<unknown>
and	CC	and
this	DT	this
represents	VBZ	represent
the	DT	the
fact	NN	fact
that	IN	that
in	IN	in
the	DT	the
West	JJ	West
,	,	,
we	PP	we
all	RB	all
live	VBP	live
under	IN	under
a	DT	a
very	RB	very
pervasive	JJ	pervasive
decimal	JJ	decimal
culture	NN	culture
.	SENT	.
Everything	NN	everything
is	VBZ	be
in	IN	in
decimals	NNS	decimal
.	SENT	.
But	CC	but
this	DT	this
hasn	NN	<unknown>
'	POS	'
t	NN	t
always	RB	always
been	VBN	be
the	DT	the
case	NN	case
,	,	,
not	RB	not
even	RB	even
in	IN	in
the	DT	the
UK	NP	UK
.	SENT	.
So	RB	so
150	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
Victorian	JJ	Victorian
statistician	NN	statistician
Francis	NP	Francis
Galton	NP	Galton
was	VBD	be
doing	VBG	do
his	PP$	his
research	NN	research
,	,	,
and	CC	and
luckily	RB	luckily
for	IN	for
us	PP	us
,	,	,
he	PP	he
was	VBD	be
also	RB	also
recording	VBG	record
examples	NNS	example
of	IN	of
sequence-space	NN	sequence-space
synesthesia	NN	synesthesia
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
form	NN	form
that	IN	that
he	PP	he
recorded	VBD	record
in	IN	in
1881	CD	@card@
from	IN	from
a	DT	a
British	JJ	British
person	NN	person
.	SENT	.
And	CC	and
at	IN	at
first	JJ	first
glance	NN	glance
,	,	,
this	DT	this
form	NN	form
might	MD	might
look	VB	look
pretty	RB	pretty
similar	JJ	similar
to	TO	to
the	DT	the
one	CD	one
I	PP	I
just	RB	just
showed	VBD	show
you	PP	you
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
it	PP	it
has	VBZ	have
a	DT	a
long	JJ	long
stretch	NN	stretch
here	RB	here
across	IN	across
the	DT	the
middle	NN	middle
,	,	,
which	WDT	which
has	VBZ	have
numbers	NNS	number
ordered	VBN	order
in	IN	in
decimal	JJ	decimal
order	NN	order
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
here	RB	here
is	VBZ	be
where	WRB	where
the	DT	the
breaks	NNS	break
lie	VBP	lie
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
see	VB	see
that	IN	that
the	DT	the
breaks	NNS	break
lie	VBP	lie
on	IN	on
one	CD	one
side	NN	side
at	IN	at
12	CD	@card@
,	,	,
and	CC	and
then	RB	then
at	IN	at
the	DT	the
other	JJ	other
side	NN	side
,	,	,
at	IN	at
112	CD	@card@
and	CC	and
120	CD	@card@
,	,	,
and	CC	and
this	DT	this
reflects	VBZ	reflect
the	DT	the
fact	NN	fact
that	IN	that
in	IN	in
Victorian	JJ	Victorian
Britain	NP	Britain
,	,	,
the	DT	the
dominant	JJ	dominant
numerical	JJ	numerical
system	NN	system
was	VBD	be
the	DT	the
duodecimal	JJ	duodecimal
system	NN	system
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
also	RB	also
love	VBP	love
about	IN	about
this	DT	this
form	NN	form
is	VBZ	be
that	IN	that
you	PP	you
can	MD	can
see	VB	see
a	DT	a
perfectly	RB	perfectly
reproduced	VBN	reproduce
clock	NN	clock
face	NN	face
just	RB	just
here	RB	here
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
But	CC	but
the	DT	the
point	NN	point
is	VBZ	be
that	IN	that
as	IN	as
culture	NN	culture
changes	NNS	change
,	,	,
so	RB	so
does	VBZ	do
synesthesia	NN	synesthesia
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
conceivable	JJ	conceivable
,	,	,
even	RB	even
probable	JJ	probable
,	,	,
that	IN	that
people	NNS	people
growing	VBG	grow
up	RP	up
in	IN	in
a	DT	a
culture	NN	culture
without	IN	without
Western	JJ	Western
influence	NN	influence
would	MD	would
display	VB	display
a	DT	a
completely	RB	completely
different	JJ	different
time-space	JJ	time-space
synesthetic	JJ	synesthetic
form	NN	form
to	TO	to
those	DT	those
that	IN	that
we	PP	we
see	VBP	see
today	NN	today
in	IN	in
our	PP$	our
research	NN	research
,	,	,
perhaps	RB	perhaps
even	RB	even
one	CD	one
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
focus	NN	focus
on	IN	on
the	DT	the
body	NN	body
but	CC	but
one	CD	one
that	WDT	that
focuses	VBZ	focus
on	IN	on
the	DT	the
landscape	NN	landscape
,	,	,
which	WDT	which
as	RB	as
far	RB	far
as	IN	as
we	PP	we
know	VBP	know
,	,	,
has	VBZ	have
never	RB	never
been	VBN	be
seen	VBN	see
.	SENT	.
And	CC	and
the	DT	the
likelihood	NN	likelihood
is	VBZ	be
that	IN	that
in	IN	in
focusing	VBG	focus
all	DT	all
of	IN	of
our	PP$	our
attention	NN	attention
on	IN	on
Western	JJ	Western
accounts	NNS	account
of	IN	of
synesthesia	NN	synesthesia
,	,	,
we	PP	we
'	POS	'
re	NN	re
missing	VBG	miss
out	RP	out
on	IN	on
an	DT	an
extraordinary	JJ	extraordinary
range	NN	range
of	IN	of
cultural	JJ	cultural
and	CC	and
synesthetic	JJ	synesthetic
variation	NN	variation
that	WDT	that
is	VBZ	be
only	RB	only
paralleled	VBN	parallel
by	IN	by
the	DT	the
extraordinary	JJ	extraordinary
range	NN	range
of	IN	of
humans	NNS	human
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
So	RB	so
,	,	,
beyond	IN	beyond
being	VBG	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
quite	RB	quite
interesting	JJ	interesting
,	,	,
why	WRB	why
is	VBZ	be
any	DT	any
of	IN	of
this	DT	this
important	JJ	important
?	SENT	?
Well	RB	well
,	,	,
getting	VBG	get
to	TO	to
grips	NNS	grip
with	IN	with
this	DT	this
idea	NN	idea
of	IN	of
a	DT	a
synesthetic	JJ	synesthetic
continuum	NN	continuum
and	CC	and
its	PP$	its
amazing	JJ	amazing
variety	NN	variety
could	MD	could
help	VB	help
us	PP	us
to	TO	to
better	RBR	well
grasp	VB	grasp
how	WRB	how
different	JJ	different
areas	NNS	area
of	IN	of
the	DT	the
brain	NN	brain
develop	VB	develop
and	CC	and
work	VB	work
together	RB	together
.	SENT	.
Research	NN	research
into	IN	into
brain	NN	brain
connectivity	NN	connectivity
has	VBZ	have
helped	VBN	help
us	PP	us
understand	VBP	understand
so	RB	so
much	RB	much
,	,	,
from	IN	from
sleep	NN	sleep
to	TO	to
addiction	NN	addiction
to	TO	to
memory	NN	memory
,	,	,
but	CC	but
we	PP	we
still	RB	still
have	VBP	have
a	DT	a
lot	NN	lot
further	RBR	further
to	TO	to
go	VB	go
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
launching	VBG	launch
a	DT	a
dedicated	JJ	dedicated
expedition	NN	expedition
to	TO	to
the	DT	the
furthest	JJ	furthest
lengths	NNS	length
of	IN	of
this	DT	this
synthetic	JJ	synthetic
continuum	NN	continuum
could	MD	could
help	VB	help
us	PP	us
reveal	VB	reveal
vital	JJ	vital
information	NN	information
about	IN	about
the	DT	the
remaining	VBG	remain
mysteries	NNS	mystery
of	IN	of
cognitive	JJ	cognitive
function	NN	function
.	SENT	.
For	IN	for
example	NN	example
,	,	,
synesthesia	NN	synesthesia
reveals	VBZ	reveal
unexpected	JJ	unexpected
connections	NNS	connection
between	IN	between
different	JJ	different
areas	NNS	area
of	IN	of
the	DT	the
brain	NN	brain
,	,	,
so	RB	so
it	PP	it
could	MD	could
easily	RB	easily
be	VB	be
used	VBN	use
to	TO	to
help	VB	help
understand	VB	understand
how	WRB	how
cognitive	JJ	cognitive
decline	NN	decline
works	NNS	work
and	CC	and
maybe	RB	maybe
to	TO	to
even	RB	even
prevent	VB	prevent
it	PP	it
,	,	,
or	CC	or
to	TO	to
help	VB	help
patients	NNS	patient
recover	VB	recover
from	IN	from
traumatic	JJ	traumatic
brain	NN	brain
injury	NN	injury
.	SENT	.
And	CC	and
moving	VBG	move
beyond	IN	beyond
science	NN	science
to	TO	to
society	NN	society
,	,	,
I	PP	I
believe	VBP	believe
that	IN	that
truly	RB	truly
understanding	VBG	understand
how	WRB	how
cultural	JJ	cultural
differences	NNS	difference
can	MD	can
shape	VB	shape
this	DT	this
tangible	JJ	tangible
reality	NN	reality
that	IN	that
we	PP	we
see	VBP	see
around	IN	around
us	PP	us
,	,	,
even	RB	even
shaping	VBG	shape
time	NN	time
itself	PP	itself
,	,	,
can	MD	can
really	RB	really
help	VB	help
us	PP	us
get	VB	get
to	TO	to
grips	NNS	grip
with	IN	with
the	DT	the
concept	NN	concept
of	IN	of
seeing	VBG	see
the	DT	the
world	NN	world
from	IN	from
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
points	NNS	point
of	IN	of
view	NN	view
.	SENT	.
If	IN	if
we	PP	we
can	MD	can
begin	VB	begin
by	IN	by
dispensing	VBG	dispense
with	IN	with
this	DT	this
outdated	JJ	outdated
idea	NN	idea
that	IN	that
we	PP	we
have	VBP	have
rigid	JJ	rigid
sensory	JJ	sensory
borders	NNS	border
and	CC	and
instead	RB	instead
,	,	,
come	VBP	come
to	TO	to
accept	VB	accept
that	IN	that
we	PP	we
all	RB	all
sit	VBP	sit
somewhere	RB	somewhere
together	RB	together
yet	RB	yet
at	IN	at
separate	JJ	separate
points	NNS	point
on	IN	on
a	DT	a
continuum	NN	continuum
of	IN	of
experience	NN	experience
,	,	,
then	RB	then
perhaps	RB	perhaps
we	PP	we
can	MD	can
take	VB	take
one	CD	one
step	NN	step
closer	JJR	close
towards	IN	towards
dispensing	VBG	dispense
with	IN	with
unnecessary	JJ	unnecessary
social	JJ	social
divisions	NNS	division
altogether	RB	altogether
.	SENT	.
And	CC	and
maybe	RB	maybe
that	WDT	that
might	MD	might
even	RB	even
mean	VB	mean
one	CD	one
step	NN	step
further	JJR	further
towards	IN	towards
inhabiting	VBG	inhabit
a	DT	a
world	NN	world
that	WDT	that
is	VBZ	be
extraordinarily	RB	extraordinarily
and	CC	and
joyfully	RB	joyfully
unbound	VBN	unbind
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
