David	NP	David
The	DT	the
pressure	NN	pressure
here	RB	here
is	VBZ	be
4	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
per	IN	per
square	JJ	square
inch	NN	inch
.	SENT	.
A	DT	a
mile	NN	mile
and	CC	and
a	DT	a
half	NN	half
from	IN	from
the	DT	the
surface	NN	surface
to	TO	to
two	CD	two
miles	NNS	mile
to	TO	to
three	CD	three
miles	NNS	mile
—	:	-
no	DT	no
sun	NN	sun
has	VBZ	have
ever	RB	ever
gotten	VBN	get
down	RP	down
here	RB	here
.	SENT	.
All	PDT	all
the	DT	the
energy	NN	energy
to	TO	to
support	VB	support
these	DT	these
life	NN	life
forms	NNS	form
is	VBZ	be
coming	VBG	come
from	IN	from
inside	IN	inside
the	DT	the
Earth	NN	earth
—	:	-
so	RB	so
,	,	,
chemosynthesis	NN	chemosynthesis
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
how	WRB	how
dense	JJ	dense
the	DT	the
population	NN	population
is	VBZ	be
.	SENT	.
These	DT	these
are	VBP	be
called	VBN	call
tube	NN	tube
worms	NNS	worm
.	SENT	.
BL	NP	BL
:	:	:
These	DT	these
worms	NNS	worm
have	VBP	have
no	DT	no
digestive	JJ	digestive
system	NN	system
.	SENT	.
They	PP	they
have	VBP	have
no	DT	no
mouth	NN	mouth
.	SENT	.
But	CC	but
they	PP	they
have	VBP	have
two	CD	two
types	NNS	type
of	IN	of
gill	NN	gill
structures	NNS	structure
.	SENT	.
One	CD	one
for	IN	for
extracting	VBG	extract
oxygen	NN	oxygen
out	RP	out
of	IN	of
the	DT	the
deep-sea	NN	deep-sea
water	NN	water
,	,	,
another	DT	another
one	CD	one
which	WDT	which
houses	VBZ	house
this	DT	this
chemosynthetic	JJ	chemosynthetic
bacteria	NNS	bacterium
,	,	,
which	WDT	which
takes	VBZ	take
the	DT	the
hydrothermal	JJ	hydrothermal
fluid	NN	fluid
—	:	-
that	DT	that
hot	JJ	hot
water	NN	water
that	IN	that
you	PP	you
saw	VBD	see
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
bottom	NN	bottom
—	:	-
and	CC	and
converts	VBZ	convert
that	IN	that
into	IN	into
simple	JJ	simple
sugars	NNS	sugar
that	IN	that
the	DT	the
tube	NN	tube
worm	NN	worm
can	MD	can
digest	VB	digest
.	SENT	.
DG	NP	DG
:	:	:
You	PP	you
can	MD	can
see	VB	see
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
crab	NN	crab
that	WDT	that
lives	VBZ	live
down	RB	down
there	RB	there
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
managed	VBD	manage
to	TO	to
grab	VB	grab
a	DT	a
tip	NN	tip
of	IN	of
these	DT	these
worms	NNS	worm
.	SENT	.
Now	RB	now
,	,	,
they	PP	they
normally	RB	normally
retract	VBP	retract
as	RB	as
soon	RB	soon
as	IN	as
a	DT	a
crab	NN	crab
touches	VBZ	touch
them	PP	them
.	SENT	.
Oh	UH	oh
!	SENT	!
Good	JJ	good
going	VBG	go
.	SENT	.
So	RB	so
,	,	,
as	RB	as
soon	RB	soon
as	IN	as
a	DT	a
crab	NN	crab
touches	VBZ	touch
them	PP	them
,	,	,
they	PP	they
retract	VBP	retract
down	RB	down
into	IN	into
their	PP$	their
shells	NNS	shell
,	,	,
just	RB	just
like	IN	like
your	PP$	your
fingernails	NNS	fingernail
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
whole	JJ	whole
story	NN	story
being	VBG	be
played	VBN	play
out	RP	out
here	RB	here
that	IN	that
we	PP	we
'	POS	'
re	NN	re
just	RB	just
now	RB	now
beginning	VBG	begin
to	TO	to
have	VB	have
some	DT	some
idea	NN	idea
of	IN	of
because	IN	because
of	IN	of
this	DT	this
new	JJ	new
camera	NN	camera
technology	NN	technology
.	SENT	.
BL	NP	BL
:	:	:
These	DT	these
worms	NNS	worm
live	VBP	live
in	IN	in
a	DT	a
real	JJ	real
temperature	NN	temperature
extreme	NN	extreme
.	SENT	.
Their	PP$	their
foot	NN	foot
is	VBZ	be
at	IN	at
about	RB	about
200	CD	@card@
degrees	NNS	degree
C	NP	C
and	CC	and
their	PP$	their
head	NN	head
is	VBZ	be
out	RP	out
at	IN	at
three	CD	three
degrees	NNS	degree
C	NP	C
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
like	IN	like
having	VBG	have
your	PP$	your
hand	NN	hand
in	IN	in
boiling	VBG	boil
water	NN	water
and	CC	and
your	PP$	your
foot	NN	foot
in	IN	in
freezing	NN	freezing
water	NN	water
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
they	PP	they
like	VBP	like
to	TO	to
live	VB	live
.	SENT	.
DG	NP	DG
:	:	:
This	DT	this
is	VBZ	be
a	DT	a
female	NN	female
of	IN	of
this	DT	this
kind	NN	kind
of	IN	of
worm	NN	worm
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
male	NN	male
.	SENT	.
You	PP	you
watch	VBP	watch
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
take	VB	take
long	RB	long
before	IN	before
two	CD	two
guys	NNS	guy
here	RB	here
—	:	-
this	DT	this
one	CD	one
and	CC	and
one	CD	one
that	WDT	that
will	MD	will
show	VB	show
up	RP	up
over	IN	over
here	RB	here
—	:	-
start	VB	start
to	TO	to
fight	VB	fight
.	SENT	.
Everything	NN	everything
you	PP	you
see	VBP	see
is	VBZ	be
played	VBN	play
out	RP	out
in	IN	in
the	DT	the
pitch	NN	pitch
black	NN	black
of	IN	of
the	DT	the
deep	JJ	deep
sea	NN	sea
.	SENT	.
There	EX	there
are	VBP	be
never	RB	never
any	DT	any
lights	NNS	light
there	RB	there
,	,	,
except	IN	except
the	DT	the
lights	NNS	light
that	WDT	that
we	PP	we
bring	VBP	bring
.	SENT	.
Here	RB	here
they	PP	they
go	VBP	go
.	SENT	.
On	IN	on
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
dive	NN	dive
series	NN	series
,	,	,
we	PP	we
counted	VBD	count
200	CD	@card@
species	NN	species
in	IN	in
these	DT	these
areas	NNS	area
—	:	-
198	CD	@card@
were	VBD	be
new	JJ	new
,	,	,
new	JJ	new
species	NNS	specie
.	SENT	.
BL	NP	BL
:	:	:
One	CD	one
of	IN	of
the	DT	the
big	JJ	big
problems	NNS	problem
is	VBZ	be
that	IN	that
for	IN	for
the	DT	the
biologists	NNS	biologist
working	VBG	work
at	IN	at
these	DT	these
sites	NNS	site
,	,	,
it	PP	it
'	POS	'
s	NN	S
rather	RB	rather
difficult	JJ	difficult
to	TO	to
collect	VB	collect
these	DT	these
animals	NNS	animal
.	SENT	.
And	CC	and
they	PP	they
disintegrate	VBP	disintegrate
on	IN	on
the	DT	the
way	NN	way
up	RB	up
,	,	,
so	RB	so
the	DT	the
imagery	NN	imagery
is	VBZ	be
critical	JJ	critical
for	IN	for
the	DT	the
science	NN	science
.	SENT	.
DG	NP	DG
:	:	:
Two	CD	two
octopods	NNS	octopod
at	IN	at
about	RB	about
two	CD	two
miles	NNS	mile
depth	NN	depth
.	SENT	.
This	DT	this
pressure	NN	pressure
thing	NN	thing
really	RB	really
amazes	VBZ	amaze
me	PP	me
—	:	-
that	IN	that
these	DT	these
animals	NNS	animal
can	MD	can
exist	VB	exist
there	RB	there
at	IN	at
a	DT	a
depth	NN	depth
with	IN	with
pressure	NN	pressure
enough	RB	enough
to	TO	to
crush	VB	crush
the	DT	the
Titanic	JJ	titanic
like	IN	like
an	DT	an
empty	JJ	empty
Pepsi	NNS	Pepsi
can	MD	can
.	SENT	.
What	WP	what
we	PP	we
saw	VBD	see
up	RP	up
till	IN	till
now	RB	now
was	VBD	be
from	IN	from
the	DT	the
Pacific	NP	Pacific
.	SENT	.
This	DT	this
is	VBZ	be
from	IN	from
the	DT	the
Atlantic	NP	Atlantic
.	SENT	.
Even	RB	even
greater	JJR	great
depth	NN	depth
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
this	DT	this
shrimp	NN	shrimp
is	VBZ	be
harassing	VBG	harass
this	DT	this
poor	JJ	poor
little	JJ	little
guy	NN	guy
here	RB	here
,	,	,
and	CC	and
he	PP	he
'	POS	'
ll	NNS	<unknown>
bat	VBP	bat
it	PP	it
away	RP	away
with	IN	with
his	PP$	his
claw	NN	claw
.	SENT	.
Whack	NN	whack
!	SENT	!
And	CC	and
the	DT	the
same	JJ	same
thing	NN	thing
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
over	IN	over
here	RB	here
.	SENT	.
What	WP	what
they	PP	they
'	POS	'
re	NN	re
getting	VBG	get
at	IN	at
is	VBZ	be
that	DT	that
—	:	-
on	IN	on
the	DT	the
back	NN	back
of	IN	of
this	DT	this
crab	NN	crab
—	:	-
the	DT	the
foodstuff	NN	foodstuff
here	RB	here
is	VBZ	be
this	DT	this
very	RB	very
strange	JJ	strange
bacteria	NNS	bacterium
that	WDT	that
lives	VBZ	live
on	IN	on
the	DT	the
backs	NNS	back
of	IN	of
all	PDT	all
these	DT	these
animals	NNS	animal
.	SENT	.
And	CC	and
what	WP	what
these	DT	these
shrimp	NN	shrimp
are	VBP	be
trying	VBG	try
to	TO	to
do	VB	do
is	VBZ	be
actually	RB	actually
harvest	NN	harvest
the	DT	the
bacteria	NNS	bacterium
from	IN	from
the	DT	the
backs	NNS	back
of	IN	of
these	DT	these
animals	NNS	animal
.	SENT	.
And	CC	and
the	DT	the
crabs	NNS	crab
don	NN	don
'	POS	'
t	NN	t
like	IN	like
it	PP	it
at	IN	at
all	DT	all
.	SENT	.
These	DT	these
long	JJ	long
filaments	NNS	filament
that	IN	that
you	PP	you
see	VBP	see
on	IN	on
the	DT	the
back	NN	back
of	IN	of
the	DT	the
crab	NN	crab
are	VBP	be
actually	RB	actually
created	VBN	create
by	IN	by
the	DT	the
product	NN	product
of	IN	of
that	DT	that
bacteria	NNS	bacterium
.	SENT	.
So	RB	so
,	,	,
the	DT	the
bacteria	NNS	bacterium
grows	VBZ	grow
hair	NN	hair
on	IN	on
the	DT	the
crab	NN	crab
.	SENT	.
On	IN	on
the	DT	the
back	NN	back
,	,	,
you	PP	you
see	VBP	see
this	DT	this
again	RB	again
.	SENT	.
The	DT	the
red	JJ	red
dot	NN	dot
is	VBZ	be
the	DT	the
laser	NN	laser
light	NN	light
of	IN	of
the	DT	the
submarine	JJ	submarine
Alvin	NP	Alvin
to	TO	to
give	VB	give
us	PP	us
an	DT	an
idea	NN	idea
about	IN	about
how	WRB	how
far	RB	far
away	RB	away
we	PP	we
are	VBP	be
from	IN	from
the	DT	the
vents	NNS	vent
.	SENT	.
Those	DT	those
are	VBP	be
all	DT	all
shrimp	NN	shrimp
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
hot	JJ	hot
water	NN	water
over	IN	over
here	RB	here
,	,	,
here	RB	here
and	CC	and
here	RB	here
,	,	,
coming	VBG	come
out	RP	out
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
clinging	VBG	cling
to	TO	to
a	DT	a
rock	NN	rock
face	NN	face
and	CC	and
actually	RB	actually
scraping	VBG	scrape
bacteria	NNS	bacterium
off	IN	off
that	DT	that
rock	NN	rock
face	NN	face
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
tiny	JJ	tiny
,	,	,
little	JJ	little
vent	NN	vent
that	RB	that
'	POS	'
s	NNS	<unknown>
come	VBP	come
out	RP	out
of	IN	of
the	DT	the
side	NN	side
of	IN	of
that	DT	that
pillar	NN	pillar
.	SENT	.
Those	DT	those
pillars	NNS	pillar
get	VBP	get
up	RP	up
to	TO	to
several	JJ	several
stories	NNS	story
.	SENT	.
So	RB	so
here	RB	here
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
valley	NN	valley
with	IN	with
this	DT	this
incredible	JJ	incredible
alien	JJ	alien
landscape	NN	landscape
of	IN	of
pillars	NNS	pillar
and	CC	and
hot	JJ	hot
springs	NNS	spring
and	CC	and
volcanic	JJ	volcanic
eruptions	NNS	eruption
and	CC	and
earthquakes	NNS	earthquake
,	,	,
inhabited	VBN	inhabit
by	IN	by
these	DT	these
very	RB	very
strange	JJ	strange
animals	NNS	animal
that	WDT	that
live	VBP	live
only	RB	only
on	IN	on
chemical	JJ	chemical
energy	NN	energy
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
ground	NN	ground
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
the	DT	the
sun	NN	sun
at	IN	at
all	DT	all
.	SENT	.
BL	NP	BL
:	:	:
You	PP	you
see	VBP	see
this	DT	this
white	JJ	white
V-shaped	JJ	V-shaped
mark	NN	mark
on	IN	on
the	DT	the
back	NN	back
of	IN	of
the	DT	the
shrimp	NN	shrimp
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
light-sensing	NN	<unknown>
organ	NN	organ
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
how	WRB	how
they	PP	they
find	VBP	find
the	DT	the
hydrothermal	JJ	hydrothermal
vents	NNS	vent
.	SENT	.
The	DT	the
vents	NNS	vent
are	VBP	be
emitting	VBG	emit
a	DT	a
black	JJ	black
body	NN	body
radiation	NN	radiation
—	:	-
an	DT	an
IR	NP	IR
signature	NN	signature
—	:	-
and	CC	and
so	IN	so
they	PP	they
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
find	VB	find
these	DT	these
vents	NNS	vent
at	IN	at
considerable	JJ	considerable
distances	NNS	distance
.	SENT	.
DG	NP	DG
:	:	:
All	PDT	all
this	DT	this
stuff	NN	stuff
is	VBZ	be
happening	VBG	happen
along	IN	along
that	DT	that
40	CD	@card@
,	,	,
000-mile	JJ	<unknown>
long	JJ	long
mountain	NN	mountain
range	NN	range
that	IN	that
we	PP	we
'	''	'
re	IN	re
calling	VBG	call
the	DT	the
ribbon	NN	ribbon
of	IN	of
life	NN	life
,	,	,
because	IN	because
just	RB	just
even	JJ	even
today	NN	today
,	,	,
as	IN	as
we	PP	we
speak	VBP	speak
,	,	,
there	EX	there
'	''	'
s	NN	S
life	NN	life
being	VBG	be
generated	VBN	generate
there	RB	there
from	IN	from
volcanic	JJ	volcanic
activity	NN	activity
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
'	POS	'
ve	NN	ve
ever	RB	ever
tried	VBN	try
this	DT	this
any	DT	any
place	NN	place
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
show	VB	show
you	PP	you
high	JJ	high
definition	NN	definition
from	IN	from
the	DT	the
Pacific	NP	Pacific
.	SENT	.
We	PP	we
'	''	'
re	IN	re
moving	VBG	move
up	RP	up
one	CD	one
of	IN	of
these	DT	these
pillars	NNS	pillar
.	SENT	.
This	DT	this
one	CD	one
'	POS	'
s	JJ	<unknown>
several	JJ	several
stories	NNS	story
tall	JJ	tall
.	SENT	.
In	IN	in
it	PP	it
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
habitat	NN	habitat
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
animals	NNS	animal
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
funny	JJ	funny
kind	NN	kind
of	IN	of
hot	JJ	hot
plate	NN	plate
here	RB	here
,	,	,
with	IN	with
vent	NN	vent
water	NN	water
coming	VBG	come
out	RP	out
of	IN	of
it	PP	it
.	SENT	.
So	RB	so
all	RB	all
of	IN	of
these	DT	these
are	VBP	be
individual	JJ	individual
homes	NNS	home
for	IN	for
worms	NNS	worm
.	SENT	.
Now	RB	now
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
closer	JJR	close
view	NN	view
of	IN	of
that	DT	that
community	NN	community
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
crabs	NNS	crab
here	RB	here
,	,	,
worms	NNS	worm
here	RB	here
.	SENT	.
There	EX	there
are	VBP	be
smaller	JJR	small
animals	NNS	animal
crawling	VBG	crawl
around	RP	around
.	SENT	.
Here	RB	here
'	POS	'
s	JJ	<unknown>
pagoda	NN	pagoda
structures	NNS	structure
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
the	DT	the
neatest-looking	JJ	<unknown>
thing	NN	thing
.	SENT	.
I	PP	I
just	RB	just
can	MD	can
'	''	'
t	NN	t
get	VB	get
over	IN	over
this	DT	this
—	:	-
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
these	DT	these
little	JJ	little
chimneys	NNS	chimney
sitting	VBG	sit
here	RB	here
smoking	NN	smoking
away	RB	away
.	SENT	.
This	DT	this
stuff	NN	stuff
is	VBZ	be
toxic	JJ	toxic
as	IN	as
hell	NN	hell
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
You	PP	you
could	MD	could
never	RB	never
get	VB	get
a	DT	a
permit	NN	permit
to	TO	to
dump	VB	dump
this	DT	this
in	IN	in
the	DT	the
ocean	NN	ocean
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
coming	VBG	come
out	RP	out
all	DT	all
from	IN	from
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
unbelievable	JJ	unbelievable
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
basically	RB	basically
sulfuric	JJ	sulfuric
acid	NN	acid
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
just	RB	just
dumped	VBN	dump
out	RP	out
,	,	,
at	IN	at
incredible	JJ	incredible
rates	NNS	rate
.	SENT	.
And	CC	and
animals	NNS	animal
are	VBP	be
thriving	VBG	thrive
—	:	-
and	CC	and
we	PP	we
probably	RB	probably
came	VBD	come
from	IN	from
here	RB	here
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
probably	RB	probably
where	WRB	where
we	PP	we
evolved	VBD	evolve
from	IN	from
.	SENT	.
BL	NP	BL
:	:	:
This	DT	this
bacteria	NNS	bacterium
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	RB	about
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
most	RBS	most
simplest	JJS	simple
form	NN	form
of	IN	of
life	NN	life
found	VBD	find
.	SENT	.
There	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
groups	NNS	group
that	WDT	that
are	VBP	be
proposing	VBG	propose
that	DT	that
life	NN	life
evolved	VBN	evolve
at	IN	at
these	DT	these
vent	NN	vent
sites	NNS	site
.	SENT	.
Although	IN	although
the	DT	the
vent	NN	vent
sites	NNS	site
are	VBP	be
short-lived	JJ	short-lived
—	:	-
an	DT	an
individual	JJ	individual
site	NN	site
may	MD	may
last	VB	last
only	RB	only
10	CD	@card@
years	NNS	year
or	CC	or
so	RB	so
—	:	-
as	IN	as
an	DT	an
ecosystem	NN	ecosystem
they	PP	they
'	POS	'
ve	RB	<unknown>
been	VBN	be
stable	JJ	stable
for	IN	for
millions	NNS	million
—	:	-
well	RB	well
,	,	,
billions	NNS	billion
—	:	-
of	IN	of
years	NNS	year
.	SENT	.
DG	NP	DG
:	:	:
It	PP	it
works	VBZ	work
too	RB	too
well	RB	well
.	SENT	.
You	PP	you
see	VBP	see
there	EX	there
'	''	'
re	IN	re
some	DT	some
fish	NN	fish
inside	RB	inside
here	RB	here
as	IN	as
well	RB	well
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
fish	NN	fish
sitting	VBG	sit
here	RB	here
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
crab	NN	crab
with	IN	with
his	PP$	his
claw	NN	claw
right	NN	right
at	IN	at
the	DT	the
end	NN	end
of	IN	of
that	DT	that
tube	NN	tube
worm	NN	worm
,	,	,
waiting	VBG	wait
for	IN	for
that	DT	that
worm	NN	worm
to	TO	to
stick	VB	stick
his	PP$	his
head	NN	head
out	RP	out
.	SENT	.
BL	NP	BL
:	:	:
The	DT	the
biologists	NNS	biologist
right	RB	right
now	RB	now
cannot	MD	can
explain	VB	explain
why	WRB	why
these	DT	these
animals	NNS	animal
are	VBP	be
so	RB	so
active	JJ	active
.	SENT	.
The	DT	the
worms	NNS	worm
are	VBP	be
growing	VBG	grow
inches	NNS	inch
per	IN	per
week	NN	week
!	SENT	!
DG	NP	DG
:	:	:
I	PP	I
already	RB	already
said	VBD	say
that	IN	that
this	DT	this
site	NN	site
,	,	,
from	IN	from
a	DT	a
human	JJ	human
perspective	NN	perspective
,	,	,
is	VBZ	be
toxic	JJ	toxic
as	IN	as
hell	NN	hell
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
but	CC	but
on	IN	on
top	NN	top
—	:	-
the	DT	the
lifeblood	NN	lifeblood
—	:	-
that	DT	that
plumbing	NN	plumbing
system	NN	system
turns	VBZ	turn
off	RP	off
every	DT	every
year	NN	year
or	CC	or
so	RB	so
.	SENT	.
Their	PP$	their
plumbing	NN	plumbing
system	NN	system
turns	VBZ	turn
off	RP	off
,	,	,
so	RB	so
the	DT	the
sites	NNS	site
have	VBP	have
to	TO	to
move	VB	move
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NN	S
earthquakes	NNS	earthquake
,	,	,
and	CC	and
then	RB	then
volcanic	JJ	volcanic
eruptions	NNS	eruption
,	,	,
on	IN	on
the	DT	the
order	NN	order
of	IN	of
one	CD	one
every	DT	every
five	CD	five
years	NNS	year
,	,	,
that	WDT	that
completely	RB	completely
wipes	VBZ	wipe
the	DT	the
area	NN	area
out	RP	out
.	SENT	.
Despite	IN	despite
that	DT	that
,	,	,
these	DT	these
animals	NNS	animal
grow	VBP	grow
back	RB	back
in	IN	in
about	IN	about
a	DT	a
year	NN	year
'	POS	'
s	NN	S
time	NN	time
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
biodensities	NNS	biodensity
and	CC	and
biodiversity	NN	biodiversity
,	,	,
again	RB	again
,	,	,
higher	JJR	high
than	IN	than
the	DT	the
rainforest	NN	rainforest
that	WDT	that
just	RB	just
springs	VBZ	spring
back	RB	back
to	TO	to
life	NN	life
.	SENT	.
Is	VBZ	be
it	PP	it
sensitive	JJ	sensitive
?	SENT	?
Yes	UH	yes
.	SENT	.
Is	VBZ	be
it	PP	it
fragile	JJ	fragile
?	SENT	?
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
really	RB	really
very	RB	very
fragile	JJ	fragile
.	SENT	.
I	NP	I
'	POS	'
ll	NN	ll
end	NN	end
up	RB	up
with	IN	with
saying	VBG	say
one	CD	one
thing	NN	thing
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
story	NN	story
in	IN	in
the	DT	the
sea	NN	sea
,	,	,
in	IN	in
the	DT	the
waters	NNS	water
of	IN	of
the	DT	the
sea	NN	sea
,	,	,
in	IN	in
the	DT	the
sediments	NNS	sediment
and	CC	and
the	DT	the
rocks	NNS	rock
of	IN	of
the	DT	the
sea	NN	sea
floor	NN	floor
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
incredible	JJ	incredible
story	NN	story
.	SENT	.
What	WP	what
we	PP	we
see	VBP	see
when	WRB	when
we	PP	we
look	VBP	look
back	RB	back
in	IN	in
time	NN	time
,	,	,
in	IN	in
those	DT	those
sediments	NNS	sediment
and	CC	and
rocks	NNS	rock
,	,	,
is	VBZ	be
a	DT	a
record	NN	record
of	IN	of
Earth	NP	Earth
history	NN	history
.	SENT	.
Everything	NN	everything
on	IN	on
this	DT	this
planet	NN	planet
—	:	-
everything	NN	everything
—	:	-
works	NNS	work
by	IN	by
cycles	NNS	cycle
and	CC	and
rhythms	NNS	rhythm
.	SENT	.
The	DT	the
continents	NNS	continent
move	VBP	move
apart	RB	apart
.	SENT	.
They	PP	they
come	VBP	come
back	RB	back
together	RB	together
.	SENT	.
Oceans	NNS	ocean
come	VBP	come
and	CC	and
go	VBP	go
.	SENT	.
Mountains	NNS	mountain
come	VBP	come
and	CC	and
go	VBP	go
.	SENT	.
Glaciers	NNS	glacier
come	VBP	come
and	CC	and
go	VBP	go
.	SENT	.
El	NP	El
Nino	NP	Nino
comes	VBZ	come
and	CC	and
goes	VBZ	go
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
disaster	NN	disaster
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
rhythmic	JJ	rhythmic
.	SENT	.
What	WP	what
we	PP	we
'	POS	'
re	NN	re
learning	VBG	learn
now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
like	IN	like
a	DT	a
symphony	NN	symphony
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
like	IN	like
music	NN	music
—	:	-
it	PP	it
really	RB	really
is	VBZ	be
just	RB	just
like	IN	like
music	NN	music
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
learning	NN	learning
now	RB	now
is	VBZ	be
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
listen	VB	listen
to	TO	to
a	DT	a
five-billion-year	JJ	<unknown>
long	JJ	long
symphony	NN	symphony
,	,	,
get	VB	get
to	TO	to
today	NN	today
and	CC	and
say	VB	say
,	,	,
"	''	"
Stop	NP	Stop
!	SENT	!
We	PP	we
want	VBP	want
tomorrow	NN	tomorrow
'	POS	'
s	NNS	<unknown>
note	VBP	note
to	TO	to
be	VB	be
the	DT	the
same	JJ	same
as	IN	as
it	PP	it
was	VBD	be
today	NN	today
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
absurd	JJ	absurd
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
absurd	JJ	absurd
.	SENT	.
So	RB	so
,	,	,
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
learn	VB	learn
now	RB	now
is	VBZ	be
to	TO	to
find	VB	find
out	RP	out
where	WRB	where
this	DT	this
planet	NN	planet
'	POS	'
s	NNS	<unknown>
going	VBG	go
at	IN	at
all	PDT	all
these	DT	these
different	JJ	different
scales	NNS	scale
and	CC	and
work	VB	work
with	IN	with
it	PP	it
.	SENT	.
Learn	VB	learn
to	TO	to
manage	VB	manage
it	PP	it
.	SENT	.
The	DT	the
concept	NN	concept
of	IN	of
preservation	NN	preservation
is	VBZ	be
futile	JJ	futile
.	SENT	.
Conservation	NP	Conservation
'	POS	'
s	NNS	<unknown>
tougher	RBR	tougher
,	,	,
but	CC	but
we	PP	we
can	MD	can
probably	RB	probably
get	VB	get
there	RB	there
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
