About	RB	about
estimated	VBN	estimate
21	CD	@card@
million	CD	million
victims	NNS	victim
of	IN	of
human	JJ	human
trafficking	NN	trafficking
in	IN	in
the	DT	the
world	NN	world
,	,	,
they	PP	they
have	VBP	have
helped	VBN	help
and	CC	and
identified	VBN	identify
fewer	JJR	few
than	IN	than
50	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
like	IN	like
comparing	VBG	compare
the	DT	the
population	NN	population
of	IN	of
the	DT	the
world	NN	world
to	TO	to
the	DT	the
population	NN	population
of	IN	of
Los	NP	Los
Angeles	NP	Angeles
,	,	,
proportionally	RB	proportionally
speaking	VBG	speak
.	SENT	.
As	RB	as
for	IN	for
convictions	NNS	conviction
,	,	,
out	RB	out
of	IN	of
an	DT	an
estimated	JJ	estimated
5	CD	@card@
,	,	,
700	CD	@card@
convictions	NNS	conviction
in	IN	in
2013	CD	@card@
,	,	,
fewer	JJR	few
than	IN	than
500	CD	@card@
were	VBD	be
for	IN	for
labor	NN	labor
trafficking	NN	trafficking
.	SENT	.
Keep	VB	keep
in	IN	in
mind	NN	mind
that	IN	that
labor	NN	labor
trafficking	NN	trafficking
accounts	NNS	account
for	IN	for
68	CD	@card@
percent	NN	percent
of	IN	of
all	DT	all
trafficking	NN	trafficking
,	,	,
but	CC	but
fewer	JJR	few
than	IN	than
10	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
convictions	NNS	conviction
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
one	CD	one
expert	NN	expert
say	VBP	say
that	IN	that
trafficking	NN	trafficking
happens	VBZ	happen
where	WRB	where
need	NN	need
meets	VBZ	meet
greed	NN	greed
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
add	VB	add
one	CD	one
more	JJR	more
element	NN	element
to	TO	to
that	DT	that
.	SENT	.
Trafficking	NN	trafficking
happens	VBZ	happen
in	IN	in
sectors	NNS	sector
where	WRB	where
workers	NNS	worker
are	VBP	be
excluded	VBN	exclude
from	IN	from
protections	NNS	protection
,	,	,
and	CC	and
denied	VBD	deny
the	DT	the
right	NN	right
to	TO	to
organize	VB	organize
.	SENT	.
Trafficking	NN	trafficking
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
.	SENT	.
It	PP	it
happens	VBZ	happen
in	IN	in
systematically	RB	systematically
degraded	VBN	degrade
work	NN	work
environments	NNS	environment
.	SENT	.
You	PP	you
might	MD	might
be	VB	be
thinking	VBG	think
,	,	,
oh	UH	oh
,	,	,
she	PP	she
'	POS	'
s	NNS	<unknown>
talking	VBG	talk
about	IN	about
failed	JJ	failed
states	NNS	state
,	,	,
or	CC	or
war-torn	JJ	war-torn
states	NNS	state
,	,	,
or	CC	or
—	:	-
I	PP	I
'	POS	'
m	NN	m
actually	RB	actually
talking	VBG	talk
about	IN	about
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
what	WP	what
that	DT	that
looks	NNS	look
like	VBP	like
.	SENT	.
I	PP	I
spent	VBD	spend
many	JJ	many
months	NNS	month
researching	VBG	research
a	DT	a
trafficking	NN	trafficking
case	NN	case
called	VBD	call
Global	NP	Global
Horizons	NP	Horizons
,	,	,
involving	VBG	involve
hundreds	NNS	hundred
of	IN	of
Thai	JJ	Thai
farm	NN	farm
workers	NNS	worker
.	SENT	.
They	PP	they
were	VBD	be
sent	VBN	send
all	RB	all
over	IN	over
the	DT	the
States	NPS	States
,	,	,
to	TO	to
work	VB	work
in	IN	in
Hawaii	NP	Hawaii
pineapple	NN	pineapple
plantations	NNS	plantation
,	,	,
and	CC	and
Washington	NP	Washington
apple	NN	apple
orchards	NNS	orchard
,	,	,
and	CC	and
anywhere	RB	anywhere
the	DT	the
work	NN	work
was	VBD	be
needed	VBN	need
.	SENT	.
They	PP	they
were	VBD	be
promised	VBN	promise
three	CD	three
years	NNS	year
of	IN	of
solid	JJ	solid
agricultural	JJ	agricultural
work	NN	work
.	SENT	.
So	RB	so
they	PP	they
made	VBD	make
a	DT	a
calculated	JJ	calculated
risk	NN	risk
.	SENT	.
They	PP	they
sold	VBD	sell
their	PP$	their
land	NN	land
,	,	,
they	PP	they
sold	VBD	sell
their	PP$	their
wives	NNS	wife
'	POS	'
jewelry	NN	jewelry
,	,	,
to	TO	to
make	VB	make
thousands	NNS	thousand
in	IN	in
recruitment	NN	recruitment
fees	NNS	fee
for	IN	for
this	DT	this
company	NN	company
,	,	,
Global	NP	Global
Horizons	NP	Horizons
.	SENT	.
But	CC	but
once	RB	once
they	PP	they
were	VBD	be
brought	VBN	bring
over	RP	over
,	,	,
their	PP$	their
passports	NNS	passport
were	VBD	be
confiscated	VBN	confiscate
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
men	NNS	man
were	VBD	be
beaten	VBN	beat
and	CC	and
held	VBN	hold
at	IN	at
gunpoint	NN	gunpoint
.	SENT	.
They	PP	they
worked	VBD	work
so	RB	so
hard	RB	hard
they	PP	they
fainted	VBD	faint
in	IN	in
the	DT	the
fields	NNS	field
.	SENT	.
This	DT	this
case	NN	case
hit	VBD	hit
me	PP	me
so	RB	so
hard	JJ	hard
.	SENT	.
After	IN	after
I	PP	I
came	VBD	come
back	RB	back
home	RB	home
,	,	,
I	PP	I
was	VBD	be
wandering	VBG	wander
through	IN	through
the	DT	the
grocery	NN	grocery
store	NN	store
,	,	,
and	CC	and
I	PP	I
froze	VBD	freeze
in	IN	in
the	DT	the
produce	NN	produce
department	NN	department
.	SENT	.
I	PP	I
was	VBD	be
remembering	VBG	remember
the	DT	the
over-the-top	JJ	<unknown>
meals	NNS	meal
the	DT	the
Global	JJ	global
Horizons	NP	Horizons
survivors	NNS	survivor
would	MD	would
make	VB	make
for	IN	for
me	PP	me
every	DT	every
time	NN	time
I	PP	I
showed	VBD	show
up	RP	up
to	TO	to
interview	VB	interview
them	PP	them
.	SENT	.
They	PP	they
finished	VBD	finish
one	CD	one
meal	NN	meal
with	IN	with
this	DT	this
plate	NN	plate
of	IN	of
perfect	JJ	perfect
,	,	,
long-stemmed	JJ	long-stemmed
strawberries	NNS	strawberry
,	,	,
and	CC	and
as	IN	as
they	PP	they
handed	VBD	hand
them	PP	them
to	TO	to
me	PP	me
,	,	,
they	PP	they
said	VBD	say
,	,	,
"	``	"
Aren	NP	Aren
'	POS	'
t	NN	t
these	DT	these
the	DT	the
kind	NN	kind
of	IN	of
strawberries	NNS	strawberry
you	PP	you
eat	VBP	eat
with	IN	with
somebody	NN	somebody
special	JJ	special
in	IN	in
the	DT	the
States	NPS	States
?	SENT	?
And	CC	and
don	NN	don
'	POS	'
t	NN	t
they	PP	they
taste	VBP	taste
so	RB	so
much	RB	much
better	JJR	good
when	WRB	when
you	PP	you
know	VBP	know
the	DT	the
people	NNS	people
whose	WP$	whose
hands	NNS	hand
picked	VBD	pick
them	PP	them
for	IN	for
you	PP	you
?	SENT	?
"	``	"
As	IN	as
I	PP	I
stood	VBD	stand
in	IN	in
that	DT	that
grocery	NN	grocery
store	NN	store
weeks	NNS	week
later	RBR	later
,	,	,
I	PP	I
realized	VBD	realize
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
of	IN	of
who	WP	who
to	TO	to
thank	VB	thank
for	IN	for
this	DT	this
plenty	NN	plenty
,	,	,
and	CC	and
no	DT	no
idea	NN	idea
of	IN	of
how	WRB	how
they	PP	they
were	VBD	be
being	VBG	be
treated	VBN	treat
.	SENT	.
So	RB	so
,	,	,
like	IN	like
the	DT	the
journalist	NN	journalist
I	PP	I
am	VBP	be
,	,	,
I	PP	I
started	VBD	start
digging	VBG	dig
into	IN	into
the	DT	the
agricultural	JJ	agricultural
sector	NN	sector
.	SENT	.
And	CC	and
I	PP	I
found	VBD	find
there	EX	there
are	VBP	be
too	RB	too
many	JJ	many
fields	NNS	field
,	,	,
and	CC	and
too	RB	too
few	JJ	few
labor	NN	labor
inspectors	NNS	inspector
.	SENT	.
I	PP	I
found	VBD	find
multiple	JJ	multiple
layers	NNS	layer
of	IN	of
plausible	JJ	plausible
deniability	NN	deniability
between	IN	between
grower	NN	grower
and	CC	and
distributor	NN	distributor
and	CC	and
processor	NN	processor
,	,	,
and	CC	and
God	NP	God
knows	VBZ	know
who	WP	who
else	RB	else
.	SENT	.
The	DT	the
Global	NP	Global
Horizons	NP	Horizons
survivors	NNS	survivor
had	VBD	have
been	VBN	be
brought	VBN	bring
to	TO	to
the	DT	the
States	NPS	States
on	IN	on
a	DT	a
temporary	JJ	temporary
guest	NN	guest
worker	NN	worker
program	NN	program
.	SENT	.
That	DT	that
guest	JJ	guest
worker	NN	worker
program	NN	program
ties	VBZ	tie
a	DT	a
person	NN	person
'	POS	'
s	JJ	<unknown>
legal	JJ	legal
status	NN	status
to	TO	to
his	PP$	his
or	CC	or
her	PP$	her
employer	NN	employer
,	,	,
and	CC	and
denies	VBZ	deny
that	DT	that
worker	NN	worker
the	DT	the
right	NN	right
to	TO	to
organize	VB	organize
.	SENT	.
Mind	VB	mind
you	PP	you
,	,	,
none	NN	none
of	IN	of
what	WP	what
I	PP	I
am	VBP	be
describing	VBG	describe
about	IN	about
this	DT	this
agricultural	JJ	agricultural
sector	NN	sector
or	CC	or
the	DT	the
guest	JJ	guest
worker	NN	worker
program	NN	program
is	VBZ	be
actually	RB	actually
human	JJ	human
trafficking	NN	trafficking
.	SENT	.
It	PP	it
is	VBZ	be
merely	RB	merely
what	WP	what
we	PP	we
find	VBP	find
legally	RB	legally
tolerable	JJ	tolerable
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
argue	VB	argue
this	DT	this
is	VBZ	be
fertile	JJ	fertile
ground	NN	ground
for	IN	for
exploitation	NN	exploitation
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
had	VBD	have
been	VBN	be
hidden	VBN	hide
to	TO	to
me	PP	me
,	,	,
before	IN	before
I	PP	I
had	VBD	have
tried	VBN	try
to	TO	to
understand	VB	understand
it	PP	it
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
the	DT	the
only	JJ	only
person	NN	person
grappling	VBG	grapple
with	IN	with
these	DT	these
issues	NNS	issue
.	SENT	.
Pierre	NP	Pierre
Omidyar	NP	<unknown>
,	,	,
founder	NN	founder
of	IN	of
eBay	NN	<unknown>
,	,	,
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
anti-trafficking	NN	anti-trafficking
philanthropists	NNS	philanthropist
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
even	RB	even
he	PP	he
wound	VBD	wind
up	RP	up
accidentally	RB	accidentally
investing	VBG	invest
nearly	RB	nearly
10	CD	@card@
million	CD	million
dollars	NNS	dollar
in	IN	in
the	DT	the
pineapple	NN	pineapple
plantation	NN	plantation
cited	VBD	cite
as	IN	as
having	VBG	have
the	DT	the
worst	JJS	bad
working	JJ	working
conditions	NNS	condition
in	IN	in
that	DT	that
Global	NP	Global
Horizons	NP	Horizons
case	NN	case
.	SENT	.
When	WRB	when
he	PP	he
found	VBD	find
out	RP	out
,	,	,
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
were	VBD	be
shocked	VBN	shock
and	CC	and
horrified	VBN	horrify
,	,	,
and	CC	and
they	PP	they
wound	VBD	wind
up	RP	up
writing	VBG	write
an	DT	an
op-ed	NN	<unknown>
for	IN	for
a	DT	a
newspaper	NN	newspaper
,	,	,
saying	VBG	say
that	IN	that
it	PP	it
was	VBD	be
up	RP	up
to	TO	to
all	DT	all
of	IN	of
us	PP	us
to	TO	to
learn	VB	learn
everything	NN	everything
we	PP	we
can	MD	can
about	RB	about
the	DT	the
labor	NN	labor
and	CC	and
supply	NN	supply
chains	NNS	chain
of	IN	of
the	DT	the
products	NNS	product
that	WDT	that
we	PP	we
support	VBP	support
.	SENT	.
I	PP	I
totally	RB	totally
agree	VBP	agree
.	SENT	.
What	WP	what
would	MD	would
happen	VB	happen
if	IN	if
each	DT	each
one	CD	one
of	IN	of
us	PP	us
decided	VBD	decide
that	IN	that
we	PP	we
are	VBP	be
no	RB	no
longer	RBR	longer
going	VBG	go
to	TO	to
support	VB	support
companies	NNS	company
if	IN	if
they	PP	they
don	VBP	don
'	''	'
t	NN	t
eliminate	VB	eliminate
exploitation	NN	exploitation
from	IN	from
their	PP$	their
labor	NN	labor
and	CC	and
supply	NN	supply
chains	NNS	chain
?	SENT	?
If	IN	if
we	PP	we
demanded	VBD	demand
laws	NNS	law
calling	VBG	call
for	IN	for
the	DT	the
same	JJ	same
?	SENT	?
If	IN	if
all	PDT	all
the	DT	the
CEOs	NNS	CEO
out	IN	out
there	RB	there
decided	VBN	decide
that	IN	that
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
go	VB	go
through	IN	through
their	PP$	their
businesses	NNS	business
and	CC	and
say	VBP	say
,	,	,
"	``	"
no	RB	no
more	JJR	more
"	''	"
?	SENT	?
If	IN	if
we	PP	we
ended	VBD	end
recruitment	NN	recruitment
fees	NNS	fee
for	IN	for
migrant	JJ	migrant
workers	NNS	worker
?	SENT	?
If	IN	if
we	PP	we
decided	VBD	decide
that	IN	that
guest	NN	guest
workers	NNS	worker
should	MD	should
have	VB	have
the	DT	the
right	NN	right
to	TO	to
organize	VB	organize
without	IN	without
fear	NN	fear
of	IN	of
retaliation	NN	retaliation
?	SENT	?
These	DT	these
would	MD	would
be	VB	be
decisions	NNS	decision
heard	VBN	hear
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
matter	NN	matter
of	IN	of
buying	VBG	buy
a	DT	a
fair-trade	JJ	fair-trade
peach	NN	peach
and	CC	and
calling	VBG	call
it	PP	it
a	DT	a
day	NN	day
,	,	,
buying	VBG	buy
a	DT	a
guilt-free	JJ	<unknown>
zone	NN	zone
with	IN	with
your	PP$	your
money	NN	money
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
decision	NN	decision
to	TO	to
change	VB	change
a	DT	a
system	NN	system
that	WDT	that
is	VBZ	be
broken	VBN	break
,	,	,
and	CC	and
that	IN	that
we	PP	we
have	VBP	have
unwittingly	RB	unwittingly
but	CC	but
willingly	RB	willingly
allowed	VBD	allow
ourselves	PP	ourselves
to	TO	to
profit	VB	profit
from	IN	from
and	CC	and
benefit	VB	benefit
from	IN	from
for	IN	for
too	RB	too
long	JJ	long
.	SENT	.
We	PP	we
often	RB	often
dwell	VBP	dwell
on	IN	on
human	JJ	human
trafficking	NN	trafficking
survivors	NNS	survivor
'	POS	'
victimization	NN	victimization
.	SENT	.
But	CC	but
that	DT	that
is	VBZ	be
not	RB	not
my	PP$	my
experience	NN	experience
of	IN	of
them	PP	them
.	SENT	.
Over	IN	over
all	PDT	all
the	DT	the
years	NNS	year
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
to	TO	to
them	PP	them
,	,	,
they	PP	they
have	VBP	have
taught	VBN	teach
me	PP	me
that	IN	that
we	PP	we
are	VBP	be
more	JJR	more
than	IN	than
our	PP$	our
worst	JJS	bad
days	NNS	day
.	SENT	.
Each	DT	each
one	CD	one
of	IN	of
us	PP	us
is	VBZ	be
more	JJR	more
than	IN	than
what	WP	what
we	PP	we
have	VBP	have
lived	VBN	live
through	RP	through
.	SENT	.
Especially	RB	especially
trafficking	NN	trafficking
survivors	NNS	survivor
.	SENT	.
These	DT	these
people	NNS	people
were	VBD	be
the	DT	the
most	RBS	most
resourceful	JJ	resourceful
and	CC	and
resilient	JJ	resilient
and	CC	and
responsible	JJ	responsible
in	IN	in
their	PP$	their
communities	NNS	community
.	SENT	.
They	PP	they
were	VBD	be
the	DT	the
people	NNS	people
that	IN	that
you	PP	you
would	MD	would
take	VB	take
a	DT	a
gamble	NN	gamble
on	RB	on
.	SENT	.
You	PP	you
'	POS	'
d	NN	d
say	VBP	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
gong	NN	gong
to	TO	to
sell	VB	sell
my	PP$	my
rings	NNS	ring
,	,	,
because	IN	because
I	PP	I
have	VBP	have
the	DT	the
chance	NN	chance
to	TO	to
send	VB	send
you	PP	you
off	RP	off
to	TO	to
a	DT	a
better	RBR	well
future	JJ	future
.	SENT	.
They	PP	they
were	VBD	be
the	DT	the
emissaries	NNS	emissary
of	IN	of
hope	NN	hope
.	SENT	.
These	DT	these
survivors	NNS	survivor
don	NN	don
'	POS	'
t	NN	t
need	NN	need
saving	NN	saving
.	SENT	.
They	PP	they
need	VBP	need
solidarity	NN	solidarity
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
behind	IN	behind
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
exciting	JJ	exciting
social	JJ	social
justice	NN	justice
movements	NNS	movement
out	IN	out
there	RB	there
today	NN	today
.	SENT	.
The	DT	the
nannies	NNS	nanny
and	CC	and
housekeepers	NNS	housekeeper
who	WP	who
marched	VBD	march
with	IN	with
their	PP$	their
families	NNS	family
and	CC	and
their	PP$	their
employers	NNS	employer
'	POS	'
families	NNS	family
—	:	-
their	PP$	their
activism	NN	activism
got	VBD	get
us	PP	us
an	DT	an
international	JJ	international
treaty	NN	treaty
on	IN	on
domestic	JJ	domestic
workers	NNS	worker
'	POS	'
rights	NNS	right
.	SENT	.
The	DT	the
Nepali	JJ	Nepali
women	NNS	woman
who	WP	who
were	VBD	be
trafficked	VBN	traffic
into	IN	into
the	DT	the
sex	NN	sex
trade	NN	trade
—	:	-
they	PP	they
came	VBD	come
together	RB	together
,	,	,
and	CC	and
they	PP	they
decided	VBD	decide
that	IN	that
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
make	VB	make
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
first	JJ	first
anti-	NN	<unknown>
trafficking	NN	trafficking
organization	NN	organization
actually	RB	actually
headed	VBN	head
and	CC	and
run	VBN	run
by	IN	by
trafficking	NN	trafficking
survivors	NNS	survivor
themselves	PP	themselves
.	SENT	.
These	DT	these
Indian	JJ	Indian
shipyard	NN	shipyard
workers	NNS	worker
were	VBD	be
trafficked	VBN	traffic
to	TO	to
do	VB	do
post-Hurricane	NP	post-Hurricane
Katrina	NP	Katrina
reconstruction	NN	reconstruction
.	SENT	.
They	PP	they
were	VBD	be
threatened	VBN	threaten
with	IN	with
deportation	NN	deportation
,	,	,
but	CC	but
they	PP	they
broke	VBD	break
out	RP	out
of	IN	of
their	PP$	their
work	NN	work
compound	NN	compound
and	CC	and
they	PP	they
marched	VBD	march
from	IN	from
New	NP	New
Orleans	NP	Orleans
to	TO	to
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
,	,	,
to	TO	to
protest	VB	protest
labor	NN	labor
exploitation	NN	exploitation
.	SENT	.
They	PP	they
cofounded	VBD	cofound
an	DT	an
organization	NN	organization
called	VBD	call
the	DT	the
National	NP	National
Guest	NP	Guest
Worker	NP	Worker
Alliance	NP	Alliance
,	,	,
and	CC	and
through	IN	through
this	DT	this
organization	NN	organization
,	,	,
they	PP	they
have	VBP	have
wound	VBN	wind
up	RP	up
helping	VBG	help
other	JJ	other
workers	NNS	worker
bring	VBP	bring
to	TO	to
light	VB	light
exploitation	NN	exploitation
and	CC	and
abuses	NNS	abuse
in	IN	in
supply	NN	supply
chains	NNS	chain
in	IN	in
Walmart	NP	<unknown>
and	CC	and
Hershey	NP	Hershey
'	POS	'
s	NN	S
factories	NNS	factory
.	SENT	.
And	CC	and
although	IN	although
the	DT	the
Department	NP	Department
of	IN	of
Justice	NP	Justice
declined	VBD	decline
to	TO	to
take	VB	take
their	PP$	their
case	NN	case
,	,	,
a	DT	a
team	NN	team
of	IN	of
civil	JJ	civil
rights	NNS	right
lawyers	NNS	lawyer
won	VBD	win
the	DT	the
first	JJ	first
of	IN	of
a	DT	a
dozen	NN	dozen
civil	JJ	civil
suits	NNS	suit
this	DT	this
February	NP	February
,	,	,
and	CC	and
got	VBD	get
their	PP$	their
clients	NNS	client
14	CD	@card@
million	CD	million
dollars	NNS	dollar
.	SENT	.
These	DT	these
survivors	NNS	survivor
are	VBP	be
fighting	VBG	fight
for	IN	for
people	NNS	people
they	PP	they
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VBP	know
yet	RB	yet
,	,	,
other	JJ	other
workers	NNS	worker
,	,	,
and	CC	and
for	IN	for
the	DT	the
possibility	NN	possibility
of	IN	of
a	DT	a
just	JJ	just
world	NN	world
for	IN	for
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
This	DT	this
is	VBZ	be
our	PP$	our
chance	NN	chance
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
.	SENT	.
This	DT	this
is	VBZ	be
our	PP$	our
chance	NN	chance
to	TO	to
make	VB	make
the	DT	the
decision	NN	decision
that	WDT	that
tells	VBZ	tell
us	PP	us
who	WP	who
we	PP	we
are	VBP	be
,	,	,
as	IN	as
a	DT	a
people	NNS	people
and	CC	and
as	IN	as
a	DT	a
society	NN	society
;	:	;
that	IN	that
our	PP$	our
prosperity	NN	prosperity
is	VBZ	be
no	DT	no
longer	JJR	long
prosperity	NN	prosperity
,	,	,
as	RB	as
long	RB	long
as	IN	as
it	PP	it
is	VBZ	be
pinned	VBN	pin
to	TO	to
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
pain	NN	pain
;	:	;
that	IN	that
our	PP$	our
lives	NNS	life
are	VBP	be
inextricably	RB	inextricably
woven	VBN	weave
together	RB	together
;	:	;
and	CC	and
that	IN	that
we	PP	we
have	VBP	have
the	DT	the
power	NN	power
to	TO	to
make	VB	make
a	DT	a
different	JJ	different
choice	NN	choice
.	SENT	.
I	PP	I
was	VBD	be
so	RB	so
reluctant	JJ	reluctant
to	TO	to
share	VB	share
my	PP$	my
story	NN	story
of	IN	of
my	PP$	my
auntie	NN	auntie
with	IN	with
you	PP	you
.	SENT	.
Before	IN	before
I	PP	I
started	VBD	start
this	DT	this
TED	VB	ted
process	NN	process
and	CC	and
climbed	VBD	climb
up	RP	up
on	IN	on
this	DT	this
stage	NN	stage
,	,	,
I	PP	I
had	VBD	have
told	VBN	tell
literally	RB	literally
a	DT	a
handful	NN	handful
of	IN	of
people	NNS	people
about	IN	about
it	PP	it
,	,	,
because	RB	because
,	,	,
like	IN	like
many	JJ	many
a	DT	a
journalist	NN	journalist
,	,	,
I	PP	I
am	VBP	be
far	RB	far
more	RBR	more
interested	JJ	interested
in	IN	in
learning	VBG	learn
about	IN	about
your	PP$	your
stories	NNS	story
than	IN	than
sharing	VBG	share
much	RB	much
,	,	,
if	IN	if
anything	NN	anything
,	,	,
about	IN	about
my	PP$	my
own	JJ	own
.	SENT	.
I	PP	I
also	RB	also
haven	NN	haven
'	POS	'
t	NN	t
done	VBN	do
my	PP$	my
journalistic	JJ	journalistic
due	JJ	due
diligence	NN	diligence
on	IN	on
this	DT	this
.	SENT	.
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
issued	VBD	issue
my	PP$	my
mountains	NNS	mountain
of	IN	of
document	NN	document
requests	NNS	request
,	,	,
and	CC	and
interviewed	VBN	interview
everyone	NN	everyone
and	CC	and
their	PP$	their
mother	NN	mother
,	,	,
and	CC	and
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
found	VBD	find
my	PP$	my
auntie	NN	auntie
yet	RB	yet
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
her	PP$	her
story	NN	story
of	IN	of
what	WP	what
happened	VBD	happen
,	,	,
and	CC	and
of	IN	of
her	PP$	her
life	NN	life
now	RB	now
.	SENT	.
The	DT	the
story	NN	story
as	IN	as
I	PP	I
'	POS	'
ve	NN	ve
told	VBD	tell
it	PP	it
to	TO	to
you	PP	you
is	VBZ	be
messy	JJ	messy
and	CC	and
unfinished	JJ	unfinished
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
it	PP	it
mirrors	VBZ	mirror
the	DT	the
messy	JJ	messy
and	CC	and
unfinished	JJ	unfinished
situation	NN	situation
we	PP	we
'	''	'
re	IN	re
all	DT	all
in	IN	in
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
human	JJ	human
trafficking	NN	trafficking
.	SENT	.
We	PP	we
are	VBP	be
all	RB	all
implicated	VBN	implicate
in	IN	in
this	DT	this
problem	NN	problem
.	SENT	.
But	CC	but
that	DT	that
means	VBZ	mean
we	PP	we
are	VBP	be
all	RB	all
also	RB	also
part	NN	part
of	IN	of
its	PP$	its
solution	NN	solution
.	SENT	.
Figuring	VBG	figure
out	RP	out
how	WRB	how
to	TO	to
build	VB	build
a	DT	a
more	RBR	more
just	JJ	just
world	NN	world
is	VBZ	be
our	PP$	our
work	NN	work
to	TO	to
do	VB	do
,	,	,
and	CC	and
our	PP$	our
story	NN	story
to	TO	to
tell	VB	tell
.	SENT	.
So	RB	so
let	VB	let
us	PP	us
tell	VB	tell
it	PP	it
the	DT	the
way	NN	way
we	PP	we
should	MD	should
have	VB	have
done	VBN	do
,	,	,
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
.	SENT	.
Let	VB	let
us	PP	us
tell	VB	tell
this	DT	this
story	NN	story
together	RB	together
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
