AIDS	NP	AIDS
,	,	,
having	VBG	have
more	JJR	more
than	IN	than
one	CD	one
partner	NN	partner
in	IN	in
the	DT	the
same	JJ	same
month	NN	month
is	VBZ	be
much	RB	much
more	RBR	more
dangerous	JJ	dangerous
for	IN	for
HIV	NP	HIV
than	IN	than
others	NNS	other
.	SENT	.
Probably	RB	probably
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
combination	NN	combination
of	IN	of
this	DT	this
.	SENT	.
And	CC	and
what	WP	what
makes	VBZ	make
me	PP	me
so	RB	so
happy	JJ	happy
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
moving	VBG	move
now	RB	now
towards	IN	towards
fact	NN	fact
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
this	DT	this
.	SENT	.
You	PP	you
can	MD	can
get	VB	get
this	DT	this
chart	NN	chart
,	,	,
free	JJ	free
.	SENT	.
We	PP	we
have	VBP	have
uploaded	VBN	upload
UNAIDS	NNS	<unknown>
data	NNS	datum
on	IN	on
the	DT	the
Gapminder	NP	Gapminder
site	NN	site
.	SENT	.
And	CC	and
we	PP	we
hope	VBP	hope
that	IN	that
when	WRB	when
we	PP	we
act	VBP	act
on	IN	on
global	JJ	global
problems	NNS	problem
in	IN	in
the	DT	the
future	NN	future
we	PP	we
will	MD	will
not	RB	not
only	RB	only
have	VB	have
the	DT	the
heart	NN	heart
,	,	,
we	PP	we
will	MD	will
not	RB	not
only	RB	only
have	VB	have
the	DT	the
money	NN	money
,	,	,
but	CC	but
we	PP	we
will	MD	will
also	RB	also
use	VB	use
the	DT	the
brain	NN	brain
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
