[	SYM	[
.	SENT	.
We	PP	we
had	VBD	have
these	DT	these
big	JJ	big
things	NNS	thing
that	IN	that
I	PP	I
weigh	VBP	weigh
the	DT	the
bison	NN	bison
on	IN	on
,	,	,
for	IN	for
instance	NN	instance
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
guessing	VBG	guess
that	IN	that
he	PP	he
'	POS	'
s	NN	S
at	IN	at
least	JJS	least
1	CD	@card@
,	,	,
600	CD	@card@
pounds	NNS	pound
.	SENT	.
But	CC	but
I	PP	I
would	MD	would
put	VB	put
him	PP	him
closer	JJR	close
to	TO	to
2	CD	@card@
,	,	,
000	CD	@card@
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
basically	RB	basically
a	DT	a
walking	VBG	walk
mulch	NN	mulch
pile	NN	pile
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
like	JJ	like
buds	NNS	bud
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
also	RB	also
a	DT	a
male	NN	male
as	IN	as
well	RB	well
.	SENT	.
KB	NP	KB
:	:	:
He	PP	he
sees	VBZ	see
you	PP	you
as	IN	as
competition	NN	competition
?	SENT	?
Senior	JJ	Senior
Keeper	NN	keeper
:	:	:
Yeah	RB	yeah
,	,	,
exactly	RB	exactly
.	SENT	.
And	CC	and
it	PP	it
makes	VBZ	make
him	PP	him
very	RB	very
dangerous	JJ	dangerous
at	IN	at
this	DT	this
time	NN	time
of	IN	of
year	NN	year
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
even	RB	even
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
think	VBP	think
about	IN	about
it	PP	it
!	SENT	!
But	CC	but
now	RB	now
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
meet	VB	meet
.	SENT	.
Out	RB	out
!	SENT	!
Out	RB	out
!	SENT	!
Out	RB	out
!	SENT	!
No	UH	no
.	SENT	.
Out	RB	out
!	SENT	!
KB	NP	KB
:	:	:
What	WP	what
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
show	NN	show
you	PP	you
was	VBD	be
,	,	,
you	PP	you
got	VBD	get
that	IN	that
swinging	VBG	swing
thing	NN	thing
going	VBG	go
?	SENT	?
Well	RB	well
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
glad	JJ	glad
I	NP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
show	VBP	show
you	PP	you
this	DT	this
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
other	JJ	other
things	NNS	thing
about	IN	about
the	DT	the
camel	NN	camel
'	POS	'
s	JJ	<unknown>
beautiful	JJ	beautiful
design	NN	design
is	VBZ	be
that	IN	that
its	PP$	its
penis	NN	penis
points	NNS	point
backwards	RB	backwards
.	SENT	.
That	DT	that
way	NN	way
the	DT	the
camel	NN	camel
can	MD	can
dip	VB	dip
its	PP$	its
tail	NN	tail
in	IN	in
the	DT	the
stream	NN	stream
,	,	,
and	CC	and
just	RB	just
whacker	NN	whacker
the	DT	the
entire	JJ	entire
area	NN	area
around	IN	around
him	PP	him
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
he	PP	he
really	RB	really
marks	VBZ	mark
his	PP$	his
territory	NN	territory
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
you	PP	you
also	RB	also
didn	NN	<unknown>
'	POS	'
t	NN	t
see	NN	see
was	VBD	be
that	DT	that
—	:	-
and	CC	and
you	PP	you
may	MD	may
have	VB	have
noticed	VBN	notice
in	IN	in
the	DT	the
pen	NN	pen
beside	IN	beside
him	PP	him
and	CC	and
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
the	DT	the
camel	NN	camel
'	POS	'
s	NN	S
name	NN	name
is	VBZ	be
Suki	NP	Suki
.	SENT	.
In	IN	in
the	DT	the
pen	NN	pen
beside	IN	beside
him	PP	him
is	VBZ	be
Jasmine	NP	Jasmine
.	SENT	.
Jasmine	NP	Jasmine
has	VBZ	have
been	VBN	be
his	PP$	his
mate	NN	mate
for	IN	for
some	DT	some
time	NN	time
.	SENT	.
But	CC	but
on	IN	on
this	DT	this
particular	JJ	particular
occasion	NN	occasion
,	,	,
it	PP	it
was	VBD	be
very	RB	very
,	,	,
very	RB	very
clear	JJ	clear
that	IN	that
as	RB	as
horny	JJ	horny
as	IN	as
Suki	NP	Suki
was	VBD	be
,	,	,
Jasmine	NP	Jasmine
was	VBD	be
having	VBG	have
none	NN	none
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
started	VBD	start
thinking	VBG	think
.	SENT	.
Well	RB	well
,	,	,
if	IN	if
poor	JJ	poor
old	JJ	old
Suki	NP	Suki
is	VBZ	be
in	IN	in
search	NN	search
of	IN	of
a	DT	a
mate	NN	mate
,	,	,
what	WP	what
would	MD	would
Suki	NP	Suki
do	VBP	do
to	TO	to
find	VB	find
the	DT	the
perfect	JJ	perfect
mate	NN	mate
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
another	DT	another
film	NN	film
.	SENT	.
But	CC	but
before	IN	before
I	PP	I
do	VBP	do
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
mention	VB	mention
that	IN	that
this	DT	this
animal	NN	animal
truly	RB	truly
is	VBZ	be
a	DT	a
sort	NN	sort
of	IN	of
the	DT	the
SUV	NP	SUV
of	IN	of
the	DT	the
sand	NN	sand
,	,	,
the	DT	the
ship	NN	ship
of	IN	of
the	DT	the
desert	NN	desert
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
so	RB	so
vital	JJ	vital
to	TO	to
the	DT	the
inhabitants	NNS	inhabitant
of	IN	of
the	DT	the
areas	NNS	area
in	IN	in
which	WDT	which
the	DT	the
camel	NN	camel
is	VBZ	be
found	VBN	find
,	,	,
largely	RB	largely
Mongolia	NP	Mongolia
and	CC	and
Sahara	NP	Sahara
,	,	,
that	IN	that
there	EX	there
are	VBP	be
160	CD	@card@
words	NNS	word
in	IN	in
Arabic	NP	Arabic
to	TO	to
describe	VB	describe
the	DT	the
camel	NN	camel
.	SENT	.
And	CC	and
if	IN	if
this	DT	this
is	VBZ	be
a	DT	a
creature	NN	creature
that	WDT	that
was	VBD	be
designed	VBN	design
by	IN	by
committee	NN	committee
,	,	,
it	PP	it
'	POS	'
s	NN	S
certainly	RB	certainly
been	VBN	be
like	IN	like
no	DT	no
committee	NN	committee
I	PP	I
'	POS	'
ve	NN	ve
ever	RB	ever
been	VBN	be
on	IN	on
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	NNS	<unknown>
what	WDT	what
Suki	NP	Suki
would	MD	would
do	VB	do
in	IN	in
search	NN	search
of	IN	of
a	DT	a
mate	NN	mate
.	SENT	.
Can	MD	can
you	PP	you
roll	VB	roll
it	PP	it
,	,	,
please	UH	please
?	SENT	?
Camel	NP	Camel
seeking	VBG	seek
camel	JJ	camel
Lusty	JJ	lusty
beast	NN	beast
desires	NNS	desire
attractive	JJ	attractive
and	CC	and
sincere	JJ	sincere
mate	NN	mate
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
seven	CD	seven
feet	NNS	foot
,	,	,
2	CD	@card@
,	,	,
000	CD	@card@
lbs	NNS	<unknown>
.	SENT	.
,	,	,
with	IN	with
brown	JJ	brown
hair	NN	hair
and	CC	and
eyes	NNS	eye
,	,	,
long	JJ	long
legs	NNS	leg
—	:	-
and	CC	and
I	PP	I
'	POS	'
m	NN	m
very	RB	very
well	RB	well
.	SENT	.
.	SENT	.
.	SENT	.
hung	VBD	hang
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
TED	VB	ted
Camel	NP	Camel
.	SENT	.
The	DT	the
perfect	JJ	perfect
desert	NN	desert
machine	NN	machine
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
smartly	RB	smartly
designed	VBN	design
.	SENT	.
Eyelashes	NNS	eyelash
that	WDT	that
keep	VBP	keep
out	RP	out
sand	NN	sand
and	CC	and
a	DT	a
third	JJ	third
eyelash	NN	eyelash
that	WDT	that
works	VBZ	work
like	IN	like
a	DT	a
windshield	NN	windshield
wiper	NN	wiper
.	SENT	.
A	DT	a
distinguished	JJ	distinguished
nose	NN	nose
—	:	-
with	IN	with
nostrils	NNS	nostril
lined	VBN	line
to	TO	to
filter	VB	filter
out	RP	out
sand	NN	sand
and	CC	and
dust	NN	dust
and	CC	and
a	DT	a
groove	NN	groove
that	WDT	that
catches	VBZ	catch
moisture	NN	moisture
.	SENT	.
Amazingly	RB	amazingly
full	JJ	full
lips	NNS	lip
—	:	-
that	WDT	that
allow	VBP	allow
me	PP	me
to	TO	to
eat	VB	eat
practically	RB	practically
anything	NN	anything
that	WDT	that
grows	VBZ	grow
.	SENT	.
Callouses	VBZ	callous
on	RP	on
my	PP$	my
knees	NNS	knee
that	WDT	that
let	VBP	let
me	PP	me
kneel	VBP	kneel
comfortably	RB	comfortably
.	SENT	.
Leathery	JJ	leathery
chest	NN	chest
pads	NNS	pad
that	WDT	that
beat	VBP	beat
the	DT	the
heat	NN	heat
.	SENT	.
Short	JJ	short
fur	NN	fur
that	WDT	that
keeps	VBZ	keep
my	PP$	my
skin	NN	skin
cool	NN	cool
.	SENT	.
Long	JJ	long
legs	NNS	leg
that	WDT	that
allow	VBP	allow
heat	NN	heat
to	TO	to
escape	VB	escape
.	SENT	.
And	CC	and
my	PP$	my
hump	NN	hump
?	SENT	?
Ogden	NP	Ogden
Nash	NP	Nash
once	RB	once
wrote	VBD	write
:	:	:
"	``	"
The	DT	the
camel	NN	camel
has	VBZ	have
a	DT	a
single	JJ	single
hump	NN	hump
;	:	;
the	DT	the
dromedary	NN	dromedary
two	CD	two
,	,	,
or	CC	or
else	RB	else
the	DT	the
other	JJ	other
way	NN	way
around	RB	around
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
never	RB	never
sure	JJ	sure
.	SENT	.
Are	VBP	be
you	PP	you
?	SENT	?
"	``	"
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
hint	NN	hint
:	:	:
Bactarian	JJ	Bactarian
.	SENT	.
Dromedary	NN	dromedary
.	SENT	.
My	PP$	my
hump	NN	hump
contains	VBZ	contain
up	RP	up
to	TO	to
80	CD	@card@
lbs	NNS	<unknown>
.	SENT	.
of	IN	of
fat	JJ	fat
,	,	,
but	CC	but
doesn	NP	<unknown>
'	POS	'
t	NN	t
store	NN	store
H2O	NP	H2O
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
built	VBD	build
to	TO	to
last	VB	last
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
the	DT	the
go-to	NN	<unknown>
animal	NN	animal
when	WRB	when
the	DT	the
oasis	NN	oasis
is	VBZ	be
dry	JJ	dry
.	SENT	.
I	PP	I
usually	RB	usually
won	VBD	win
'	''	'
t	NN	t
sweat	NN	sweat
until	IN	until
my	PP$	my
body	NN	body
reaches	VBZ	reach
105	CD	@card@
��F	NN	<unknown>
,	,	,
enough	RB	enough
to	TO	to
fry	VB	fry
an	DT	an
egg	NN	egg
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
able	JJ	able
to	TO	to
lose	VB	lose
40	CD	@card@
%	NN	%
of	IN	of
my	PP$	my
weight	NN	weight
without	IN	without
dying	VBG	die
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
drink	VBP	drink
5	CD	@card@
to	TO	to
7	CD	@card@
gallons	NNS	gallon
of	IN	of
water	NN	water
a	DT	a
day	NN	day
.	SENT	.
But	CC	but
go	VB	go
without	IN	without
for	IN	for
more	JJR	more
than	IN	than
a	DT	a
month	NN	month
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
powerful	JJ	powerful
.	SENT	.
Able	JJ	able
to	TO	to
pack	VB	pack
up	RP	up
to	TO	to
400	CD	@card@
lbs	NNS	<unknown>
.	SENT	.
of	IN	of
cargo	NN	cargo
.	SENT	.
Outrun	VB	outrun
a	DT	a
horse	NN	horse
—	:	-
And	CC	and
cover	VB	cover
26	CD	@card@
miles	NNS	mile
on	IN	on
a	DT	a
good	JJ	good
day	NN	day
.	SENT	.
Camelot	NP	Camelot
.	SENT	.
Jackie	NP	Jackie
O	NP	O
.	SENT	.
once	RB	once
said	VBD	say
that	IN	that
traveling	VBG	travel
by	IN	by
camel	NN	camel
made	VBD	make
riding	VBG	ride
an	DT	an
elephant	NN	elephant
seem	VBP	seem
like	IN	like
taking	VBG	take
a	DT	a
jet	NN	jet
plane	NN	plane
.	SENT	.
Yet	CC	yet
my	PP$	my
large	JJ	large
,	,	,
soft	JJ	soft
feet	NNS	foot
allow	VBP	allow
me	PP	me
to	TO	to
navigate	VB	navigate
sand	NN	sand
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
good	JJ	good
provider	NN	provider
,	,	,
too	RB	too
.	SENT	.
Bedouins	NP	Bedouins
call	VBP	call
the	DT	the
camel	NN	camel
the	DT	the
Gift	NP	Gift
of	IN	of
God	NP	God
.	SENT	.
No	DT	no
surprise	NN	surprise
.	SENT	.
Tents	NNS	tent
and	CC	and
rugs	NNS	rug
are	VBP	be
made	VBN	make
of	IN	of
my	PP$	my
hair	NN	hair
.	SENT	.
My	PP$	my
dried	VBN	dry
bones	NNS	bone
are	VBP	be
prized	VBN	prize
as	IN	as
a	DT	a
sort	NN	sort
of	IN	of
ivory	NN	ivory
.	SENT	.
My	PP$	my
dung	NN	dung
is	VBZ	be
burned	VBN	burn
as	IN	as
fuel	NN	fuel
.	SENT	.
My	PP$	my
milk	NN	milk
is	VBZ	be
used	VBN	use
for	IN	for
cheese	NN	cheese
.	SENT	.
"	``	"
Camels	NNS	camel
are	VBP	be
like	IN	like
angels	NNS	angel
,	,	,
"	''	"
a	DT	a
Bedouin	NN	Bedouin
once	RB	once
said	VBD	say
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
one	CD	one
last	JJ	last
thought	NN	thought
,	,	,
which	WDT	which
is	VBZ	be
probably	RB	probably
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
to	TO	to
take	VB	take
away	RB	away
.	SENT	.
Humans	NNS	human
,	,	,
the	DT	the
animal	NN	animal
,	,	,
are	VBP	be
pretty	RB	pretty
lucky	JJ	lucky
creatures	NNS	creature
because	IN	because
,	,	,
by	IN	by
and	CC	and
large	JJ	large
,	,	,
we	PP	we
really	RB	really
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
adapt	VB	adapt
to	TO	to
our	PP$	our
environment	NN	environment
;	:	;
we	PP	we
adapt	VBP	adapt
our	PP$	our
environment	NN	environment
to	TO	to
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
that	IN	that
repeatedly	RB	repeatedly
through	IN	through
this	DT	this
conference	NN	conference
,	,	,
not	RB	not
just	RB	just
this	DT	this
year	NN	year
,	,	,
but	CC	but
in	IN	in
past	JJ	past
years	NNS	year
.	SENT	.
But	CC	but
this	DT	this
creature	NN	creature
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
just	RB	just
seen	VBN	see
ultimately	RB	ultimately
adapts	VBZ	adapt
,	,	,
and	CC	and
keeps	VBZ	keep
adapting	NN	adapting
and	CC	and
adapting	NN	adapting
.	SENT	.
I	PP	I
think	VBP	think
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
animal	JJ	animal
kingdom	NN	kingdom
,	,	,
that	WDT	that
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
remarkable	JJ	remarkable
things	NNS	thing
.	SENT	.
It	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
an	DT	an
environment	NN	environment
that	WDT	that
adapts	VBZ	adapt
to	TO	to
it	PP	it
;	:	;
it	PP	it
has	VBZ	have
to	TO	to
adapt	VB	adapt
to	TO	to
the	DT	the
environment	NN	environment
.	SENT	.
Ricky	NP	Ricky
,	,	,
thank	VBP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
having	VBG	have
me	PP	me
.	SENT	.
RW	NN	RW
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
terrific	JJ	terrific
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
