Cyndi	NP	Cyndi
distributors	NNS	distributor
,	,	,
mainly	RB	mainly
because	IN	because
what	WP	what
I	PP	I
dream	VBP	dream
of	IN	of
doing	VBG	do
is	VBZ	be
creating	VBG	create
content	NN	content
.	SENT	.
I	PP	I
really	RB	really
love	VBP	love
to	TO	to
create	VB	create
content	NN	content
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
paid	VBN	pay
for	IN	for
it	PP	it
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
paid	VBN	pay
the	DT	the
money	NN	money
that	IN	that
I	PP	I
deserve	VBP	deserve
to	TO	to
get	VB	get
paid	VBN	pay
for	IN	for
it	PP	it
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
hard	JJ	hard
part	NN	part
in	IN	in
finding	VBG	find
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
made	VBN	make
possible	JJ	possible
for	IN	for
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
people	NNS	people
who	WP	who
work	VBP	work
with	IN	with
me	PP	me
,	,	,
the	DT	the
people	NNS	people
who	WP	who
work	VBP	work
for	IN	for
me	PP	me
,	,	,
everybody	NN	everybody
to	TO	to
sort	VB	sort
of	IN	of
get	VB	get
paid	VBN	pay
in	IN	in
a	DT	a
way	NN	way
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
making	VBG	make
a	DT	a
living	NN	living
.	SENT	.
How	WRB	how
it	PP	it
gets	VBZ	get
distributed	VBN	distribute
is	VBZ	be
getting	VBG	get
harder	JJR	hard
and	CC	and
harder	JJR	hard
.	SENT	.
CS	NP	CS
:	:	:
How	WRB	how
about	RB	about
the	DT	the
many	JJ	many
new	JJ	new
tools	NNS	tool
,	,	,
you	PP	you
know	VBP	know
,	,	,
VR	NP	VR
,	,	,
AR	NP	Ar
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
find	VBP	find
it	PP	it
fascinating	JJ	fascinating
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
binge-watch	NN	binge-watch
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
fast-forward	JJ	fast-forward
in	IN	in
those	DT	those
things	NNS	thing
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
see	VBP	see
as	IN	as
the	DT	the
future	NN	future
of	IN	of
those	DT	those
for	IN	for
storytelling	NN	storytelling
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
spent	VBD	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
just	RB	just
exploring	VBG	explore
those	DT	those
,	,	,
getting	VBG	get
lots	NNS	lot
of	IN	of
demonstrations	NNS	demonstration
and	CC	and
paying	VBG	pay
attention	NN	attention
.	SENT	.
I	PP	I
find	VBP	find
them	PP	them
fascinating	JJ	fascinating
,	,	,
mainly	RB	mainly
because	IN	because
I	PP	I
think	VBP	think
that	DT	that
—	:	-
I	PP	I
think	VBP	think
most	JJS	most
people	NNS	people
think	VBP	think
of	IN	of
them	PP	them
for	IN	for
gaming	NN	gaming
,	,	,
I	PP	I
think	VBP	think
most	JJS	most
people	NNS	people
think	VBP	think
of	IN	of
them	PP	them
for	IN	for
things	NNS	thing
like	IN	like
action	NN	action
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
sense	NN	sense
of	IN	of
intimacy	NN	intimacy
that	WDT	that
is	VBZ	be
very	RB	very
present	JJ	present
in	IN	in
those	DT	those
things	NNS	thing
,	,	,
the	DT	the
idea	NN	idea
that	WDT	that
—	:	-
picture	VBP	picture
this	DT	this
,	,	,
you	PP	you
can	MD	can
sit	VB	sit
there	RB	there
and	CC	and
have	VB	have
a	DT	a
conversation	NN	conversation
with	IN	with
Fitz	NP	Fitz
,	,	,
or	CC	or
at	IN	at
least	JJS	least
sit	VB	sit
there	RB	there
while	IN	while
Fitz	NP	Fitz
talks	VBZ	talk
to	TO	to
you	PP	you
,	,	,
President	NP	President
Fitzgerald	NP	Fitzgerald
Grant	NP	Grant
III	NP	III
,	,	,
while	IN	while
he	PP	he
talks	VBZ	talk
to	TO	to
you	PP	you
about	IN	about
why	WRB	why
he	PP	he
'	POS	'
s	NN	S
making	VBG	make
a	DT	a
choice	NN	choice
that	IN	that
he	PP	he
makes	VBZ	make
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
heartfelt	JJ	heartfelt
moment	NN	moment
.	SENT	.
And	CC	and
instead	RB	instead
of	IN	of
you	PP	you
watching	VBG	watch
a	DT	a
television	NN	television
screen	NN	screen
,	,	,
you	PP	you
'	POS	'
re	NN	re
sitting	VBG	sit
there	RB	there
next	JJ	next
to	TO	to
him	PP	him
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
having	VBG	have
this	DT	this
conversation	NN	conversation
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
fall	VBP	fall
in	IN	in
love	NN	love
with	IN	with
the	DT	the
man	NN	man
while	IN	while
he	PP	he
'	POS	'
s	NN	S
doing	VBG	do
it	PP	it
from	IN	from
a	DT	a
television	NN	television
screen	NN	screen
.	SENT	.
Imagine	VB	imagine
sitting	VBG	sit
next	JJ	next
to	TO	to
him	PP	him
,	,	,
or	CC	or
being	VBG	be
with	IN	with
a	DT	a
character	NN	character
like	IN	like
Huck	NP	Huck
who	WP	who
'	POS	'
s	NN	S
about	RB	about
to	TO	to
execute	VB	execute
somebody	NN	somebody
.	SENT	.
And	CC	and
instead	RB	instead
of	IN	of
having	VBG	have
a	DT	a
scene	NN	scene
where	WRB	where
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
talking	VBG	talk
to	TO	to
another	DT	another
character	NN	character
very	RB	very
rapidly	RB	rapidly
,	,	,
he	PP	he
goes	VBZ	go
into	IN	into
a	DT	a
closet	NN	closet
and	CC	and
turns	VBZ	turn
to	TO	to
you	PP	you
and	CC	and
tells	VBZ	tell
you	PP	you
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
and	CC	and
why	WRB	why
he	PP	he
'	POS	'
s	JJ	<unknown>
afraid	JJ	afraid
and	CC	and
nervous	JJ	nervous
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
little	RB	little
more	JJR	more
like	IN	like
theater	NN	theater
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
it	PP	it
would	MD	would
work	VB	work
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
fascinating	JJ	fascinating
by	IN	by
the	DT	the
concept	NN	concept
of	IN	of
something	NN	something
like	IN	like
that	WDT	that
and	CC	and
what	WP	what
that	WDT	that
would	MD	would
mean	VB	mean
for	IN	for
an	DT	an
audience	NN	audience
.	SENT	.
And	CC	and
to	TO	to
get	VB	get
to	TO	to
play	VB	play
with	IN	with
those	DT	those
ideas	NNS	idea
would	MD	would
be	VB	be
interesting	JJ	interesting
,	,	,
and	CC	and
I	PP	I
think	VBP	think
,	,	,
you	PP	you
know	VBP	know
,	,	,
for	IN	for
my	PP$	my
audience	NN	audience
,	,	,
the	DT	the
people	NNS	people
who	WP	who
watch	VBP	watch
my	PP$	my
shows	NNS	show
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
women	NNS	woman
12	CD	@card@
to	TO	to
75	CD	@card@
,	,	,
there	EX	there
'	''	'
s	NN	S
something	NN	something
interesting	JJ	interesting
in	IN	in
there	RB	there
for	IN	for
them	PP	them
.	SENT	.
CS	NP	CS
:	:	:
And	CC	and
how	WRB	how
about	RB	about
the	DT	the
input	NN	input
of	IN	of
the	DT	the
audience	NN	audience
?	SENT	?
How	WRB	how
interested	JJ	interested
are	VBP	be
you	PP	you
in	IN	in
the	DT	the
things	NNS	thing
where	WRB	where
the	DT	the
audience	NN	audience
can	MD	can
actually	RB	actually
go	VB	go
up	RP	up
to	TO	to
a	DT	a
certain	JJ	certain
point	NN	point
and	CC	and
then	RB	then
decide	VB	decide
,	,	,
oh	UH	oh
wait	VB	wait
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
choose	VB	choose
my	PP$	my
own	JJ	own
adventure	NN	adventure
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
run	VB	run
off	RP	off
with	IN	with
Fitz	NP	Fitz
or	CC	or
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
run	VB	run
off	RP	off
with	IN	with
—	:	-
SR	NN	SR
:	:	:
Oh	UH	oh
,	,	,
the	DT	the
choose-	NN	<unknown>
your-own-adventure	NN	your-own-adventure
stories	NNS	story
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
hard	JJ	hard
time	NN	time
with	IN	with
those	DT	those
,	,	,
and	CC	and
not	RB	not
necessarily	RB	necessarily
because	IN	because
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
in	IN	in
control	NN	control
of	IN	of
everything	NN	everything
,	,	,
but	CC	but
because	IN	because
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
watching	VBG	watch
television	NN	television
or	CC	or
I	PP	I
'	POS	'
m	NN	m
watching	VBG	watch
a	DT	a
movie	NN	movie
,	,	,
I	PP	I
know	VBP	know
for	IN	for
a	DT	a
fact	NN	fact
that	IN	that
a	DT	a
story	NN	story
is	VBZ	be
not	RB	not
as	RB	as
good	JJ	good
when	WRB	when
I	PP	I
have	VBP	have
control	NN	control
over	IN	over
exactly	RB	exactly
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
to	TO	to
somebody	NN	somebody
else	RB	else
'	POS	'
s	NN	S
character	NN	character
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
I	PP	I
could	MD	could
tell	VB	tell
you	PP	you
exactly	RB	exactly
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
happen	VB	happen
to	TO	to
Walter	NP	Walter
White	NP	White
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
,	,	,
but	CC	but
the	DT	the
story	NN	story
is	VBZ	be
not	RB	not
the	DT	the
same	JJ	same
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
as	RB	as
powerful	JJ	powerful
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
I	PP	I
'	POS	'
m	NN	m
in	IN	in
charge	NN	charge
of	IN	of
how	WRB	how
"	``	"
The	DT	the
Sopranos	NNS	soprano
"	``	"
ends	VBZ	end
,	,	,
then	RB	then
that	RB	that
'	''	'
s	NNS	<unknown>
lovely	JJ	lovely
and	CC	and
I	PP	I
have	VBP	have
an	DT	an
ending	NN	ending
that	RB	that
'	POS	'
s	JJ	<unknown>
nice	JJ	nice
and	CC	and
satisfying	JJ	satisfying
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
same	JJ	same
story	NN	story
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
same	JJ	same
emotional	JJ	emotional
impact	NN	impact
.	SENT	.
CS	NP	CS
:	:	:
I	PP	I
can	MD	can
'	''	'
t	NN	t
stop	NN	stop
imagining	VBG	imagine
what	WP	what
that	DT	that
might	MD	might
be	VB	be
.	SENT	.
Sorry	RB	sorry
,	,	,
you	PP	you
'	POS	'
re	NN	re
losing	VBG	lose
me	PP	me
for	IN	for
a	DT	a
minute	NN	minute
.	SENT	.
SR	NN	SR
:	:	:
But	CC	but
what	WP	what
'	POS	'
s	NN	S
wonderful	JJ	wonderful
is	VBZ	be
I	PP	I
don	VBP	don
'	''	'
t	NN	t
get	VBP	get
to	TO	to
imagine	VB	imagine
it	PP	it
,	,	,
because	IN	because
Vince	NP	Vince
has	VBZ	have
his	PP$	his
own	JJ	own
ending	NN	ending
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
it	PP	it
really	RB	really
powerful	JJ	powerful
to	TO	to
know	VB	know
that	DT	that
somebody	NN	somebody
else	RB	else
has	VBZ	have
told	VBN	tell
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
could	MD	could
decide	VB	decide
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
"	``	"
Jaws	NNS	jaw
,	,	,
"	''	"
the	DT	the
shark	NN	shark
wins	NNS	win
or	CC	or
something	NN	something
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
what	WP	what
it	PP	it
needs	VBZ	need
to	TO	to
do	VB	do
for	IN	for
you	PP	you
.	SENT	.
The	DT	the
story	NN	story
is	VBZ	be
the	DT	the
story	NN	story
that	WDT	that
is	VBZ	be
told	VBN	tell
,	,	,
and	CC	and
you	PP	you
can	MD	can
walk	VB	walk
away	RB	away
angry	JJ	angry
and	CC	and
you	PP	you
can	MD	can
walk	VB	walk
away	RP	away
debating	VBG	debate
and	CC	and
you	PP	you
can	MD	can
walk	VB	walk
away	RP	away
arguing	VBG	argue
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
works	VBZ	work
.	SENT	.
That	DT	that
is	VBZ	be
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
art	NN	art
.	SENT	.
Otherwise	RB	otherwise
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
game	NN	game
,	,	,
and	CC	and
games	NNS	game
can	MD	can
be	VB	be
art	NN	art
,	,	,
but	CC	but
in	IN	in
a	DT	a
very	RB	very
different	JJ	different
way	NN	way
.	SENT	.
CS	NP	CS
:	:	:
Gamers	NNS	<unknown>
who	WP	who
actually	RB	actually
sell	VBP	sell
the	DT	the
right	NN	right
to	TO	to
sit	VB	sit
there	RB	there
and	CC	and
comment	VB	comment
on	IN	on
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
,	,	,
to	TO	to
me	PP	me
that	IN	that
'	POS	'
s	JJ	<unknown>
more	JJR	more
community	NN	community
than	IN	than
storytelling	NN	storytelling
.	SENT	.
SR	NN	SR
:	:	:
And	CC	and
that	DT	that
is	VBZ	be
its	PP$	its
own	JJ	own
form	NN	form
of	IN	of
campfire	NN	campfire
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
discount	NN	discount
that	IN	that
as	IN	as
a	DT	a
form	NN	form
of	IN	of
storytelling	NN	storytelling
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
group	NN	group
form	NN	form
,	,	,
I	PP	I
suppose	VBP	suppose
.	SENT	.
CS	NP	CS
:	:	:
All	DT	all
right	NN	right
,	,	,
what	WP	what
about	IN	about
the	DT	the
super-super	NN	super-super
—	:	-
the	DT	the
fact	NN	fact
that	IN	that
everything	NN	everything
'	POS	'
s	NNS	<unknown>
getting	VBG	get
shorter	JJR	short
,	,	,
shorter	JJR	short
,	,	,
shorter	JJR	short
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
Snapchat	NP	<unknown>
now	RB	now
has	VBZ	have
something	NN	something
it	PP	it
calls	VBZ	call
shows	NNS	show
that	WDT	that
are	VBP	be
one	CD	one
minute	NN	minute
long	RB	long
.	SENT	.
SR	NN	SR
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
.	SENT	.
Part	NN	part
of	IN	of
me	PP	me
thinks	VBZ	think
it	PP	it
sounds	VBZ	sound
like	IN	like
commercials	NNS	commercial
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
does	VBZ	do
—	:	-
like	IN	like
,	,	,
sponsored	VBN	sponsor
by	IN	by
.	SENT	.
But	CC	but
part	NN	part
of	IN	of
me	PP	me
also	RB	also
gets	VBZ	get
it	PP	it
completely	RB	completely
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
something	NN	something
really	RB	really
wonderful	JJ	wonderful
about	IN	about
it	PP	it
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
about	IN	about
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
most	JJS	most
people	NNS	people
are	VBP	be
watching	VBG	watch
television	NN	television
on	IN	on
their	PP$	their
phones	NNS	phone
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
a	DT	a
place	NN	place
like	IN	like
India	NP	India
,	,	,
where	WRB	where
most	JJS	most
of	IN	of
the	DT	the
input	NN	input
is	VBZ	be
coming	VBG	come
in	RP	in
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
most	JJS	most
of	IN	of
the	DT	the
product	NN	product
is	VBZ	be
coming	VBG	come
in	IN	in
,	,	,
shorter	JJR	short
makes	NNS	make
sense	NN	sense
.	SENT	.
If	IN	if
you	PP	you
can	MD	can
charge	VB	charge
people	NNS	people
more	JJR	more
for	IN	for
shorter	JJR	short
periods	NNS	period
of	IN	of
content	NN	content
,	,	,
some	DT	some
distributor	NN	distributor
has	VBZ	have
figured	VBN	figure
out	RP	out
a	DT	a
way	NN	way
to	TO	to
make	VB	make
a	DT	a
lot	NN	lot
more	JJR	more
money	NN	money
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
making	VBG	make
content	NN	content
,	,	,
it	PP	it
costs	VBZ	cost
less	JJR	less
money	NN	money
to	TO	to
make	VB	make
it	PP	it
and	CC	and
put	VB	put
it	PP	it
out	RP	out
there	RB	there
.	SENT	.
And	CC	and
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
if	IN	if
you	PP	you
'	''	'
re	IN	re
14	CD	@card@
and	CC	and
have	VB	have
a	DT	a
short	JJ	short
attention	NN	attention
span	NN	span
,	,	,
like	IN	like
my	PP$	my
daughter	NN	daughter
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
,	,	,
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
do	VBP	do
it	PP	it
right	RB	right
and	CC	and
it	PP	it
actually	RB	actually
feels	VBZ	feel
like	IN	like
narrative	NN	narrative
,	,	,
people	NNS	people
will	MD	will
hang	VB	hang
on	IN	on
for	IN	for
it	PP	it
no	RB	no
matter	VBP	matter
what	WP	what
you	PP	you
do	VBP	do
.	SENT	.
CS	NP	CS
:	:	:
I	PP	I
'	POS	'
m	NN	m
glad	NN	glad
you	PP	you
raised	VBD	raise
your	PP$	your
daughters	NNS	daughter
,	,	,
because	IN	because
I	PP	I
am	VBP	be
wondering	VBG	wonder
how	WRB	how
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
consume	VB	consume
entertainment	NN	entertainment
,	,	,
and	CC	and
also	RB	also
not	RB	not
just	RB	just
entertainment	NN	entertainment
,	,	,
but	CC	but
news	NN	news
,	,	,
too	RB	too
.	SENT	.
When	WRB	when
they	PP	they
'	POS	'
re	NN	re
not	RB	not
—	:	-
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
algorithmic	JJ	algorithmic
robot	NN	robot
overlords	NNS	overlord
are	VBP	be
going	VBG	go
to	TO	to
feed	VB	feed
them	PP	them
what	WP	what
they	PP	they
'	POS	'
ve	NN	ve
already	RB	already
done	VBN	do
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
we	PP	we
will	MD	will
correct	VB	correct
for	IN	for
that	DT	that
and	CC	and
make	VB	make
people	NNS	people
well-rounded	JJ	well-rounded
citizens	NNS	citizen
?	SENT	?
SR	NN	SR
:	:	:
Well	RB	well
,	,	,
me	PP	me
and	CC	and
how	WRB	how
I	PP	I
correct	VBP	correct
for	IN	for
it	PP	it
is	VBZ	be
completely	RB	completely
different	JJ	different
than	IN	than
how	WRB	how
somebody	NN	somebody
else	RB	else
might	MD	might
do	VB	do
it	PP	it
.	SENT	.
CS	NP	CS
:	:	:
Feel	VBP	feel
free	JJ	free
to	TO	to
speculate	VB	speculate
.	SENT	.
SR	NN	SR
:	:	:
I	PP	I
really	RB	really
don	VBP	don
'	POS	'
t	NN	t
know	VB	know
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
my	PP$	my
poor	JJ	poor
children	NNS	child
have	VBP	have
been	VBN	be
the	DT	the
subject	NN	subject
of	IN	of
all	DT	all
of	IN	of
my	PP$	my
experiments	NNS	experiment
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
still	RB	still
doing	VBG	do
what	WP	what
I	PP	I
call	VBP	call
"	``	"
Amish	JJ	Amish
summers	NNS	summer
"	''	"
where	WRB	where
I	PP	I
turn	VBP	turn
off	RP	off
all	DT	all
electronics	NNS	electronics
and	CC	and
pack	VB	pack
away	RP	away
all	PDT	all
their	PP$	their
computers	NNS	computer
and	CC	and
stuff	NN	stuff
and	CC	and
watch	VB	watch
them	PP	them
scream	VB	scream
for	IN	for
a	DT	a
while	NN	while
until	IN	until
they	PP	they
settle	VBP	settle
down	RP	down
into	IN	into
,	,	,
like	VB	like
,	,	,
an	DT	an
electronic-free	JJ	<unknown>
summer	NN	summer
.	SENT	.
But	CC	but
honestly	RB	honestly
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
hard	JJ	hard
world	NN	world
in	IN	in
which	WDT	which
now	RB	now
,	,	,
as	IN	as
grown-ups	NNS	grown-up
,	,	,
we	PP	we
'	POS	'
re	NN	re
so	RB	so
interested	JJ	interested
in	IN	in
watching	VBG	watch
our	PP$	our
own	JJ	own
thing	NN	thing
,	,	,
and	CC	and
we	PP	we
don	NN	don
'	POS	'
t	NN	t
even	RB	even
know	VBP	know
that	IN	that
we	PP	we
'	POS	'
re	NN	re
being	VBG	be
fed	VBN	feed
,	,	,
sometimes	RB	sometimes
,	,	,
just	RB	just
our	PP$	our
own	JJ	own
opinions	NNS	opinion
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	NNS	<unknown>
working	VBG	work
now	RB	now
,	,	,
you	PP	you
'	POS	'
re	NN	re
watching	VBG	watch
a	DT	a
feed	NN	feed
,	,	,
and	CC	and
the	DT	the
feeds	NNS	feed
are	VBP	be
being	VBG	be
corrected	VBN	correct
so	RB	so
that	IN	that
you	PP	you
'	POS	'
re	NN	re
only	RB	only
getting	VBG	get
your	PP$	your
own	JJ	own
opinions	NNS	opinion
and	CC	and
you	PP	you
'	POS	'
re	NN	re
feeling	NN	feeling
more	RBR	more
and	CC	and
more	RBR	more
right	RB	right
about	IN	about
yourself	PP	yourself
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
you	PP	you
really	RB	really
start	VBP	start
to	TO	to
discern	VB	discern
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
getting	VBG	get
a	DT	a
little	JJ	little
bit	NN	bit
disturbing	JJ	disturbing
.	SENT	.
So	RB	so
maybe	RB	maybe
it	PP	it
'	POS	'
ll	NN	ll
overcorrect	NN	<unknown>
,	,	,
maybe	RB	maybe
it	PP	it
'	POS	'
ll	NNS	<unknown>
all	RB	all
explode	VBP	explode
,	,	,
or	CC	or
maybe	RB	maybe
we	PP	we
'	POS	'
ll	NN	ll
all	RB	all
just	RB	just
become	VBN	become
—	:	-
I	PP	I
hate	VBP	hate
to	TO	to
be	VB	be
negative	JJ	negative
about	IN	about
it	PP	it
,	,	,
but	CC	but
maybe	RB	maybe
we	PP	we
'	POS	'
ll	NN	ll
all	RB	all
just	RB	just
become	VB	become
more	RBR	more
idiotic	JJ	idiotic
.	SENT	.
CS	NP	CS
:	:	:
Yeah	RB	yeah
,	,	,
can	MD	can
you	PP	you
picture	VB	picture
any	DT	any
corrective	NN	corrective
that	IN	that
you	PP	you
could	MD	could
do	VB	do
with	IN	with
scripted	VBN	script
,	,	,
fictional	JJ	fictional
work	NN	work
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
television	NN	television
has	VBZ	have
the	DT	the
power	NN	power
to	TO	to
educate	VB	educate
people	NNS	people
in	IN	in
a	DT	a
powerful	JJ	powerful
way	NN	way
,	,	,
and	CC	and
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
watching	VBG	watch
television	NN	television
—	:	-
for	IN	for
instance	NN	instance
,	,	,
they	PP	they
do	VBP	do
studies	NNS	study
about	IN	about
medical	JJ	medical
shows	NNS	show
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBZ	<unknown>
87	CD	@card@
percent	NN	percent
,	,	,
87	CD	@card@
percent	NN	percent
of	IN	of
people	NNS	people
get	VBP	get
most	JJS	most
of	IN	of
their	PP$	their
knowledge	NN	knowledge
about	IN	about
medicine	NN	medicine
and	CC	and
medical	JJ	medical
facts	NNS	fact
from	IN	from
medical	JJ	medical
shows	NNS	show
,	,	,
much	RB	much
more	RBR	more
so	RB	so
than	IN	than
they	PP	they
do	VBP	do
from	IN	from
their	PP$	their
doctors	NNS	doctor
,	,	,
than	IN	than
from	IN	from
articles	NNS	article
.	SENT	.
So	RB	so
we	PP	we
work	VBP	work
really	RB	really
hard	JJ	hard
to	TO	to
be	VB	be
accurate	JJ	accurate
,	,	,
and	CC	and
every	DT	every
time	NN	time
we	PP	we
make	VBP	make
a	DT	a
mistake	NN	mistake
,	,	,
I	PP	I
feel	VBP	feel
really	RB	really
guilty	JJ	guilty
,	,	,
like	IN	like
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
something	NN	something
bad	JJ	bad
,	,	,
but	CC	but
we	PP	we
also	RB	also
give	VBP	give
a	DT	a
lot	NN	lot
of	IN	of
good	JJ	good
medical	JJ	medical
information	NN	information
.	SENT	.
There	EX	there
are	VBP	be
so	RB	so
many	JJ	many
other	JJ	other
ways	NNS	way
to	TO	to
give	VB	give
information	NN	information
on	IN	on
those	DT	those
shows	NNS	show
.	SENT	.
People	NNS	people
are	VBP	be
being	VBG	be
entertained	VBN	entertain
and	CC	and
maybe	RB	maybe
they	PP	they
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
read	VB	read
the	DT	the
news	NN	news
,	,	,
but	CC	but
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
ways	NNS	way
to	TO	to
give	VB	give
fair	JJ	fair
information	NN	information
out	RP	out
on	IN	on
those	DT	those
shows	NNS	show
,	,	,
not	RB	not
in	IN	in
some	DT	some
creepy	JJ	creepy
,	,	,
like	VB	like
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
control	VB	control
people	NNS	people
'	POS	'
s	NN	S
minds	NNS	mind
way	NN	way
,	,	,
but	CC	but
in	IN	in
a	DT	a
way	NN	way
that	RB	that
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
very	RB	very
interesting	JJ	interesting
and	CC	and
intelligent	JJ	intelligent
and	CC	and
not	RB	not
about	IN	about
pushing	VBG	push
one	CD	one
side	NN	side
'	POS	'
s	NN	S
version	NN	version
