People	NNS	people
and	CC	and
say	VBP	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
loved	VBN	love
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
