Can	MD	can
And	CC	and
as	IN	as
I	PP	I
left	VBD	leave
his	PP$	his
office	NN	office
,	,	,
he	PP	he
called	VBD	call
me	PP	me
back	RB	back
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
time	NN	time
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
time	NN	time
to	TO	to
stop	VB	stop
fighting	NN	fighting
and	CC	and
do	VB	do
something	NN	something
different	JJ	different
.	SENT	.
"	''	"
And	CC	and
that	IN	that
door	NN	door
closed	VBD	close
.	SENT	.
And	CC	and
that	DT	that
silence	NN	silence
just	RB	just
outside	IN	outside
a	DT	a
doctor	NN	doctor
'	POS	'
s	NN	S
office	NN	office
,	,	,
that	WDT	that
many	JJ	many
of	IN	of
us	PP	us
know	VBP	know
.	SENT	.
And	CC	and
my	PP$	my
chest	NN	chest
ached	VBD	ache
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
where	WRB	where
I	PP	I
was	VBD	be
going	VBG	go
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
.	SENT	.
But	CC	but
I	PP	I
did	VBD	do
know	VB	know
the	DT	the
game	NN	game
was	VBD	be
up	RP	up
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
home	NN	home
,	,	,
and	CC	and
,	,	,
because	IN	because
the	DT	the
pain	NN	pain
in	IN	in
my	PP$	my
chest	NN	chest
ached	VBD	ache
so	RB	so
much	RB	much
,	,	,
I	PP	I
thought	VBD	think
,	,	,
"	``	"
I	PP	I
'	POS	'
ll	NNS	<unknown>
go	VBP	go
out	RP	out
for	IN	for
a	DT	a
run	NN	run
.	SENT	.
"	''	"
Really	RB	really
not	RB	not
a	DT	a
very	RB	very
sensible	JJ	sensible
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
on	IN	on
a	DT	a
run	NN	run
that	IN	that
I	PP	I
know	VBP	know
so	RB	so
well	RB	well
.	SENT	.
I	PP	I
know	VBP	know
this	DT	this
run	NN	run
so	RB	so
well	RB	well
,	,	,
by	IN	by
the	DT	the
back	NN	back
of	IN	of
my	PP$	my
hand	NN	hand
.	SENT	.
I	PP	I
always	RB	always
run	VBP	run
it	PP	it
perfectly	RB	perfectly
fine	JJ	fine
.	SENT	.
I	PP	I
count	VBP	count
the	DT	the
steps	NNS	step
and	CC	and
the	DT	the
lampposts	NNS	lamppost
and	CC	and
all	PDT	all
those	DT	those
things	NNS	thing
that	WDT	that
visually	RB	visually
impaired	VBD	impair
people	NNS	people
have	VBP	have
a	DT	a
tendency	NN	tendency
to	TO	to
have	VB	have
a	DT	a
lot	NN	lot
of	IN	of
meetings	NNS	meeting
with	IN	with
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
rock	NN	rock
that	IN	that
I	PP	I
always	RB	always
missed	VBD	miss
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
never	RB	never
fallen	VBN	fall
on	IN	on
it	PP	it
,	,	,
never	RB	never
.	SENT	.
And	CC	and
there	EX	there
I	PP	I
was	VBD	be
crying	VBG	cry
away	RP	away
,	,	,
and	CC	and
smash	NN	smash
,	,	,
bash	NN	bash
on	IN	on
my	PP$	my
rock	NN	rock
.	SENT	.
Broken	VBN	break
,	,	,
fallen	VBN	fall
over	IN	over
on	IN	on
this	DT	this
rock	NN	rock
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
March	NP	March
in	IN	in
2000	CD	@card@
,	,	,
typical	JJ	typical
Irish	JJ	Irish
weather	NN	weather
on	IN	on
a	DT	a
Wednesday	NP	Wednesday
—	:	-
gray	JJ	gray
,	,	,
snot	NN	snot
,	,	,
tears	NNS	tear
everywhere	RB	everywhere
,	,	,
ridiculously	RB	ridiculously
self-pitying	JJ	self-pitying
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
floored	VBN	floor
,	,	,
and	CC	and
I	PP	I
was	VBD	be
broken	VBN	break
,	,	,
and	CC	and
I	PP	I
was	VBD	be
angry	JJ	angry
.	SENT	.
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
sat	VBD	sit
there	RB	there
for	IN	for
quite	PDT	quite
some	DT	some
time	NN	time
going	VBG	go
,	,	,
"	``	"
How	WRB	how
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
get	VB	get
off	RP	off
this	DT	this
rock	NN	rock
and	CC	and
go	VB	go
home	NN	home
?	SENT	?
Because	IN	because
who	WP	who
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
be	VB	be
?	SENT	?
What	WP	what
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
be	VB	be
?	SENT	?
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
about	IN	about
my	PP$	my
dad	NN	dad
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Good	NP	Good
God	NP	God
,	,	,
I	NP	I
'	POS	'
m	NN	m
so	RB	so
not	RB	not
Sue	NP	Sue
now	RB	now
.	SENT	.
"	``	"
And	CC	and
I	PP	I
kept	VBD	keep
thinking	VBG	think
over	RP	over
and	CC	and
over	RP	over
in	IN	in
my	PP$	my
mind	NN	mind
,	,	,
what	WP	what
had	VBD	have
happened	VBN	happen
?	SENT	?
Where	WRB	where
did	VBD	do
it	PP	it
go	VBP	go
wrong	JJ	wrong
?	SENT	?
Why	WRB	why
didn	NP	<unknown>
'	POS	'
t	NN	t
I	PP	I
understand	VBP	understand
?	SENT	?
And	CC	and
you	PP	you
know	VBP	know
,	,	,
the	DT	the
extraordinary	JJ	extraordinary
part	NN	part
of	IN	of
it	PP	it
is	VBZ	be
I	PP	I
just	RB	just
simply	RB	simply
had	VBD	have
no	DT	no
answers	NNS	answer
.	SENT	.
I	PP	I
had	VBD	have
lost	VBN	lose
my	PP$	my
belief	NN	belief
.	SENT	.
Look	VB	look
where	WRB	where
my	PP$	my
belief	NN	belief
had	VBD	have
brought	VBN	bring
me	PP	me
to	TO	to
.	SENT	.
And	CC	and
now	RB	now
I	PP	I
had	VBD	have
lost	VBN	lose
it	PP	it
.	SENT	.
And	CC	and
now	RB	now
I	PP	I
really	RB	really
couldn	NN	<unknown>
'	POS	'
t	NN	t
see	VB	see
.	SENT	.
I	PP	I
was	VBD	be
crumpled	VBN	crumple
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
remember	VBP	remember
thinking	VBG	think
about	IN	about
that	DT	that
eye	NN	eye
specialist	NN	specialist
asking	VBG	ask
me	PP	me
,	,	,
"	''	"
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
?	SENT	?
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
?	SENT	?
What	WP	what
did	VBD	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
when	WRB	when
you	PP	you
were	VBD	be
little	JJ	little
?	SENT	?
Do	VB	do
you	PP	you
love	VB	love
what	WP	what
you	PP	you
do	VBP	do
?	SENT	?
Do	VB	do
something	NN	something
different	JJ	different
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
?	SENT	?
Do	VB	do
something	NN	something
different	JJ	different
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
?	SENT	?
"	''	"
And	CC	and
really	RB	really
slowly	RB	slowly
,	,	,
slowly	RB	slowly
,	,	,
slowly	RB	slowly
,	,	,
it	PP	it
happened	VBD	happen
.	SENT	.
And	CC	and
it	PP	it
did	VBD	do
happen	VB	happen
this	DT	this
way	NN	way
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
minute	NN	minute
it	PP	it
came	VBD	come
,	,	,
it	PP	it
blew	VBD	blow
up	RP	up
in	IN	in
my	PP$	my
head	NN	head
and	CC	and
bashed	VBN	bash
in	IN	in
my	PP$	my
heart	NN	heart
—	:	-
something	NN	something
different	JJ	different
.	SENT	.
"	''	"
Well	RB	well
,	,	,
how	WRB	how
about	RB	about
Mowgli	NP	<unknown>
from	IN	from
'	''	'
The	DT	the
Jungle	NN	jungle
Book	NN	book
'	POS	'
?	SENT	?
You	PP	you
don	VBP	don
'	''	'
t	NN	t
get	VB	get
more	RBR	more
different	JJ	different
than	IN	than
that	DT	that
.	SENT	.
"	''	"
And	CC	and
the	DT	the
moment	NN	moment
,	,	,
and	CC	and
I	PP	I
mean	VBP	mean
the	DT	the
moment	NN	moment
,	,	,
the	DT	the
moment	NN	moment
that	WDT	that
hit	VBD	hit
me	PP	me
,	,	,
I	PP	I
swear	VBP	swear
to	TO	to
God	NP	God
,	,	,
it	PP	it
was	VBD	be
like	IN	like
woo	VB	woo
hoo	NN	hoo
!	SENT	!
You	PP	you
know	VBP	know
—	:	-
something	NN	something
to	TO	to
believe	VB	believe
in	IN	in
.	SENT	.
And	CC	and
nobody	NN	nobody
can	MD	can
tell	VB	tell
me	PP	me
no	RB	no
.	SENT	.
Yes	UH	yes
,	,	,
you	PP	you
can	MD	can
say	VB	say
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
an	DT	an
archeologist	NN	archeologist
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
tell	VB	tell
me	PP	me
,	,	,
no	UH	no
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
be	VB	be
Mowgli	NP	<unknown>
,	,	,
because	IN	because
guess	VBP	guess
what	WP	what
?	SENT	?
Nobody	NN	nobody
'	POS	'
s	NN	S
ever	RB	ever
done	VBN	do
it	PP	it
before	IN	before
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
whether	IN	whether
I	PP	I
'	POS	'
m	NN	m
a	DT	a
boy	NN	boy
or	CC	or
a	DT	a
girl	NN	girl
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
going	VBG	go
to	TO	to
scoot	VB	scoot
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
got	VBD	get
off	RP	off
that	DT	that
rock	NN	rock
,	,	,
and	CC	and
,	,	,
oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
did	VBD	do
I	PP	I
run	VBP	run
home	NN	home
.	SENT	.
And	CC	and
I	PP	I
sprinted	VBD	sprint
home	NN	home
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
fall	NN	fall
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
crash	NN	crash
.	SENT	.
And	CC	and
I	PP	I
ran	VBD	run
up	RP	up
the	DT	the
stairs	NNS	stair
,	,	,
and	CC	and
there	EX	there
was	VBD	be
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
books	NNS	book
of	IN	of
all	DT	all
time	NN	time
,	,	,
"	''	"
Travels	VBZ	travel
on	IN	on
My	PP$	my
Elephant	NN	elephant
"	''	"
by	IN	by
Mark	NP	Mark
Shand	NP	<unknown>
—	:	-
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
any	DT	any
of	IN	of
you	PP	you
know	VBP	know
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
grabbed	VBD	grab
this	DT	this
book	NN	book
off	RP	off
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sitting	VBG	sit
on	IN	on
the	DT	the
couch	NN	couch
going	VBG	go
,	,	,
"	``	"
I	PP	I
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
.	SENT	.
I	PP	I
know	VBP	know
how	WRB	how
to	TO	to
be	VB	be
Mowgli	NP	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
across	IN	across
India	NP	India
on	IN	on
the	DT	the
back	NN	back
of	IN	of
an	DT	an
elephant	NN	elephant
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
an	DT	an
elephant	NN	elephant
handler	NN	handler
.	SENT	.
"	``	"
And	CC	and
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
how	WRB	how
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
an	DT	an
elephant	NN	elephant
handler	NN	handler
.	SENT	.
From	IN	from
global	JJ	global
management	NN	management
consultant	NN	consultant
to	TO	to
elephant	NN	elephant
handler	NN	handler
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
how	WRB	how
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
how	WRB	how
you	PP	you
hire	VBP	hire
an	DT	an
elephant	NN	elephant
,	,	,
get	VB	get
an	DT	an
elephant	NN	elephant
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
speak	VBP	speak
Hindi	JJ	Hindi
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
never	RB	never
been	VBN	be
to	TO	to
India	NP	India
.	SENT	.
Hadn	NP	<unknown>
'	POS	'
t	NN	t
a	DT	a
clue	NN	clue
.	SENT	.
But	CC	but
I	PP	I
knew	VBD	know
I	PP	I
would	MD	would
.	SENT	.
Because	RB	because
,	,	,
when	WRB	when
you	PP	you
make	VBP	make
a	DT	a
decision	NN	decision
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
and	CC	and
the	DT	the
right	JJ	right
place	NN	place
,	,	,
God	NP	God
,	,	,
that	DT	that
universe	NN	universe
makes	VBZ	make
it	PP	it
happen	VB	happen
for	IN	for
you	PP	you
.	SENT	.
Nine	CD	nine
months	NNS	month
later	RBR	later
,	,	,
after	IN	after
that	DT	that
day	NN	day
on	IN	on
snot	NN	snot
rock	NN	rock
,	,	,
I	PP	I
had	VBD	have
the	DT	the
only	JJ	only
blind	JJ	blind
date	NN	date
in	IN	in
my	PP$	my
life	NN	life
with	IN	with
a	DT	a
seven	CD	seven
and	CC	and
a	DT	a
half	JJ	half
foot	NN	foot
elephant	NN	elephant
called	VBN	call
Kanchi	NP	<unknown>
.	SENT	.
And	CC	and
together	RB	together
we	PP	we
would	MD	would
trek	VB	trek
a	DT	a
thousand	CD	thousand
kilometers	NNS	kilometer
across	IN	across
India	NP	India
.	SENT	.
The	DT	the
most	RBS	most
powerful	JJ	powerful
thing	NN	thing
of	IN	of
all	DT	all
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
achieve	VB	achieve
before	RB	before
then	RB	then
.	SENT	.
Oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
I	PP	I
did	VBD	do
.	SENT	.
But	CC	but
you	PP	you
know	VBP	know
,	,	,
I	PP	I
was	VBD	be
believing	VBG	believe
in	IN	in
the	DT	the
wrong	JJ	wrong
thing	NN	thing
.	SENT	.
Because	IN	because
I	PP	I
wasn	NN	<unknown>
'	POS	'
t	NN	t
believing	VBG	believe
in	IN	in
me	PP	me
,	,	,
really	RB	really
me	PP	me
,	,	,
all	RB	all
the	DT	the
bits	NNS	bit
of	IN	of
me	PP	me
—	:	-
all	PDT	all
the	DT	the
bits	NNS	bit
of	IN	of
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
Do	VB	do
you	PP	you
know	VB	know
how	WRB	how
much	JJ	much
of	IN	of
us	PP	us
all	RB	all
pretend	VBP	pretend
to	TO	to
be	VB	be
somebody	NN	somebody
we	PP	we
'	POS	'
re	NN	re
not	RB	not
?	SENT	?
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
,	,	,
when	WRB	when
you	PP	you
really	RB	really
believe	VBP	believe
in	IN	in
yourself	PP	yourself
and	CC	and
everything	NN	everything
about	IN	about
you	PP	you
,	,	,
it	PP	it
'	POS	'
s	NN	S
extraordinary	JJ	extraordinary
what	WP	what
happens	VBZ	happen
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
,	,	,
that	DT	that
trip	NN	trip
,	,	,
that	WDT	that
thousand	CD	thousand
kilometers	NNS	kilometer
,	,	,
it	PP	it
raised	VBD	raise
enough	JJ	enough
money	NN	money
for	IN	for
6	CD	@card@
,	,	,
000	CD	@card@
cataract	NN	cataract
eye	NN	eye
operations	NNS	operation
.	SENT	.
Six	CD	six
thousand	CD	thousand
people	NNS	people
got	VBD	get
to	TO	to
see	VB	see
because	IN	because
of	IN	of
that	DT	that
.	SENT	.
When	WRB	when
I	PP	I
came	VBD	come
home	NN	home
off	IN	off
that	DT	that
elephant	NN	elephant
,	,	,
do	VBP	do
you	PP	you
know	VBP	know
what	WP	what
the	DT	the
most	RBS	most
amazing	JJ	amazing
part	NN	part
was	VBD	be
?	SENT	?
I	PP	I
chucked	VBD	chuck
in	IN	in
my	PP$	my
job	NN	job
at	IN	at
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
left	VBD	leave
,	,	,
and	CC	and
I	PP	I
became	VBD	become
a	DT	a
social	JJ	social
entrepreneur	NN	entrepreneur
,	,	,
and	CC	and
I	PP	I
set	VBD	set
up	RP	up
an	DT	an
organization	NN	organization
with	IN	with
Mark	NP	Mark
Shand	NP	<unknown>
called	VBD	call
Elephant	NN	elephant
Family	NP	Family
,	,	,
which	WDT	which
deals	VBZ	deal
with	IN	with
Asian	JJ	Asian
elephant	NN	elephant
conservation	NN	conservation
.	SENT	.
And	CC	and
I	PP	I
set	VBD	set
up	RP	up
Kanchi	NP	<unknown>
,	,	,
because	IN	because
my	PP$	my
organization	NN	organization
was	VBD	be
always	RB	always
going	VBG	go
to	TO	to
be	VB	be
named	VBN	name
after	IN	after
my	PP$	my
elephant	NN	elephant
,	,	,
because	IN	because
disability	NN	disability
is	VBZ	be
like	IN	like
the	DT	the
elephant	NN	elephant
in	IN	in
the	DT	the
room	NN	room
.	SENT	.
And	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
you	PP	you
see	VB	see
it	PP	it
in	IN	in
a	DT	a
positive	JJ	positive
way	NN	way
—	:	-
no	DT	no
charity	NN	charity
,	,	,
no	DT	no
pity	NN	pity
.	SENT	.
But	CC	but
I	PP	I
wanted	VBD	want
to	TO	to
work	VB	work
only	RB	only
and	CC	and
truly	RB	truly
with	IN	with
business	NN	business
and	CC	and
media	NNS	medium
leadership	NN	leadership
to	TO	to
totally	RB	totally
reframe	JJ	<unknown>
disability	NN	disability
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
was	VBD	be
exciting	JJ	exciting
and	CC	and
possible	JJ	possible
.	SENT	.
It	PP	it
was	VBD	be
extraordinary	JJ	extraordinary
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
I	PP	I
never	RB	never
thought	VBD	think
about	IN	about
noes	NNS	no
anymore	RB	anymore
,	,	,
or	CC	or
not	RB	not
seeing	VBG	see
,	,	,
or	CC	or
any	DT	any
of	IN	of
that	DT	that
kind	NN	kind
of	IN	of
nothing	NN	nothing
.	SENT	.
It	PP	it
just	RB	just
seemed	VBD	seem
that	IN	that
it	PP	it
was	VBD	be
possible	JJ	possible
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
the	DT	the
oddest	JJS	odd
part	NN	part
is	VBZ	be
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
on	IN	on
my	PP$	my
way	NN	way
traveling	VBG	travel
here	RB	here
to	TO	to
TED	VB	ted
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
honest	JJ	honest
,	,	,
I	PP	I
was	VBD	be
petrified	VBN	petrify
.	SENT	.
And	CC	and
I	PP	I
speak	VBP	speak
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
an	DT	an
amazing	JJ	amazing
audience	NN	audience
,	,	,
and	CC	and
what	WP	what
am	VBP	be
I	PP	I
doing	VBG	do
here	RB	here
?	SENT	?
But	CC	but
as	IN	as
I	PP	I
was	VBD	be
traveling	VBG	travel
here	RB	here
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
be	VB	be
very	RB	very
happy	JJ	happy
to	TO	to
know	VB	know
,	,	,
I	PP	I
did	VBD	do
use	VB	use
my	PP$	my
white	JJ	white
symbol	NN	symbol
stick	NN	stick
cane	NN	cane
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
really	RB	really
good	JJ	good
to	TO	to
skip	VB	skip
queues	NNS	queue
in	IN	in
the	DT	the
airport	NN	airport
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
my	PP$	my
way	NN	way
here	RB	here
being	VBG	be
happily	RB	happily
proud	JJ	proud
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
see	VB	see
.	SENT	.
And	CC	and
the	DT	the
one	CD	one
thing	NN	thing
is	VBZ	be
that	IN	that
a	DT	a
really	RB	really
good	JJ	good
friend	NN	friend
of	IN	of
mine	NN	mine
,	,	,
he	PP	he
texted	VBD	<unknown>
me	PP	me
on	IN	on
the	DT	the
way	NN	way
over	RB	over
,	,	,
knowing	VBG	know
I	PP	I
was	VBD	be
scared	VBN	scare
.	SENT	.
Even	RB	even
though	IN	though
I	PP	I
present	VBP	present
confident	JJ	confident
,	,	,
I	PP	I
was	VBD	be
scared	VBN	scare
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Be	NP	Be
you	PP	you
.	SENT	.
"	''	"
And	CC	and
so	RB	so
here	RB	here
I	PP	I
am	VBP	be
.	SENT	.
This	DT	this
is	VBZ	be
me	PP	me
,	,	,
all	RB	all
of	IN	of
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
learned	VBN	learn
,	,	,
you	PP	you
know	VBP	know
what	WP	what
,	,	,
cars	NNS	car
and	CC	and
motorbikes	NNS	motorbike
and	CC	and
elephants	NNS	elephant
,	,	,
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
freedom	NN	freedom
.	SENT	.
Being	VBG	be
absolutely	RB	absolutely
true	JJ	true
to	TO	to
yourself	PP	yourself
is	VBZ	be
freedom	NN	freedom
.	SENT	.
And	CC	and
I	PP	I
never	RB	never
needed	VBD	need
eyes	NNS	eye
to	TO	to
see	VB	see
—	:	-
never	RB	never
.	SENT	.
I	PP	I
simply	RB	simply
needed	VBD	need
vision	NN	vision
and	CC	and
belief	NN	belief
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
truly	RB	truly
believe	VBP	believe
—	:	-
and	CC	and
I	PP	I
mean	VBP	mean
believe	VB	believe
from	IN	from
the	DT	the
bottom	NN	bottom
of	IN	of
your	PP$	your
heart	NN	heart
—	:	-
you	PP	you
can	MD	can
make	VB	make
change	NN	change
happen	VB	happen
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
make	VB	make
it	PP	it
happen	VB	happen
,	,	,
because	IN	because
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
us	PP	us
—	:	-
woman	NN	woman
,	,	,
man	UH	man
,	,	,
gay	JJ	gay
,	,	,
straight	JJ	straight
,	,	,
disabled	JJ	disabled
,	,	,
perfect	JJ	perfect
,	,	,
normal	JJ	normal
,	,	,
whatever	WDT	whatever
—	:	-
everyone	NN	everyone
of	IN	of
us	PP	us
must	MD	must
be	VB	be
the	DT	the
very	RB	very
best	JJS	good
of	IN	of
ourselves	PP	ourselves
.	SENT	.
I	PP	I
no	RB	no
longer	RBR	longer
want	VBP	want
anybody	NN	anybody
to	TO	to
be	VB	be
invisible	JJ	invisible
.	SENT	.
We	PP	we
all	RB	all
have	VB	have
to	TO	to
be	VB	be
included	VBN	include
.	SENT	.
And	CC	and
stop	VB	stop
with	IN	with
the	DT	the
labels	NNS	label
,	,	,
the	DT	the
limiting	VBG	limit
.	SENT	.
Losing	VBG	lose
of	IN	of
labels	NNS	label
,	,	,
because	IN	because
we	PP	we
are	VBP	be
not	RB	not
jam	NN	jam
jars	NNS	jar
.	SENT	.
We	PP	we
are	VBP	be
extraordinary	JJ	extraordinary
,	,	,
different	JJ	different
,	,	,
wonderful	JJ	wonderful
people	NNS	people
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
