Human	JJ	human
language	NN	language
for	IN	for
computational	JJ	computational
thinking	NN	thinking
.	SENT	.
The	DT	the
goal	NN	goal
is	VBZ	be
to	TO	to
formalize	VB	formalize
what	WP	what
we	PP	we
know	VBP	know
about	IN	about
the	DT	the
world	NN	world
in	IN	in
computational	JJ	computational
terms	NNS	term
,	,	,
to	TO	to
have	VB	have
computational	JJ	computational
ways	NNS	way
to	TO	to
represent	VB	represent
cities	NNS	city
and	CC	and
chemicals	NNS	chemical
and	CC	and
movies	NNS	movie
and	CC	and
humor	NN	humor
and	CC	and
formulas	NNS	formula
and	CC	and
our	PP$	our
knowledge	NN	knowledge
about	IN	about
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
vast	JJ	vast
undertaking	NN	undertaking
that	WDT	that
spanned	VBD	span
more	JJR	more
than	IN	than
four	CD	four
decades	NNS	decade
of	IN	of
my	PP$	my
life	NN	life
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
something	NN	something
very	RB	very
unique	JJ	unique
and	CC	and
different	JJ	different
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
happy	JJ	happy
to	TO	to
report	VB	report
that	IN	that
in	IN	in
what	WP	what
has	VBZ	have
been	VBN	be
Mathematica	NP	Mathematica
and	CC	and
is	VBZ	be
now	RB	now
the	DT	the
Wolfram	NP	Wolfram
Language	NP	Language
,	,	,
I	PP	I
think	VBP	think
we	PP	we
firmly	RB	firmly
succeeded	VBD	succeed
in	IN	in
creating	VBG	create
a	DT	a
truly	RB	truly
full-scale	JJ	full-scale
computational	JJ	computational
language	NN	language
.	SENT	.
In	IN	in
effect	NN	effect
,	,	,
every	DT	every
one	CD	one
of	IN	of
these	DT	these
functions	NNS	function
here	RB	here
can	MD	can
be	VB	be
thought	VBN	think
of	IN	of
as	RB	as
formalizing	VBG	formalize
and	CC	and
encapsulating	VBG	encapsulate
,	,	,
in	IN	in
computational	JJ	computational
terms	NNS	term
,	,	,
some	DT	some
facet	NN	facet
of	IN	of
the	DT	the
intellectual	JJ	intellectual
achievements	NNS	achievement
of	IN	of
our	PP$	our
civilization	NN	civilization
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
the	DT	the
most	RBS	most
concentrated	JJ	concentrated
form	NN	form
of	IN	of
intellectual	JJ	intellectual
expression	NN	expression
that	IN	that
I	PP	I
know	VBP	know
,	,	,
sort	NN	sort
of	IN	of
finding	VBG	find
the	DT	the
essence	NN	essence
of	IN	of
everything	NN	everything
and	CC	and
coherently	RB	coherently
expressing	VBG	express
it	PP	it
in	IN	in
the	DT	the
design	NN	design
of	IN	of
our	PP$	our
computational	JJ	computational
language	NN	language
.	SENT	.
For	IN	for
me	PP	me
personally	RB	personally
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
an	DT	an
amazing	JJ	amazing
journey	NN	journey
,	,	,
kind	NN	kind
of	IN	of
,	,	,
year	NN	year
after	IN	after
year	NN	year
,	,	,
building	VBG	build
the	DT	the
sort	NN	sort
of	IN	of
tower	NN	tower
of	IN	of
ideas	NNS	idea
and	CC	and
technology	NN	technology
that	RB	that
'	POS	'
s	NN	S
needed	VBD	need
.	SENT	.
And	CC	and
nowadays	RB	nowadays
sharing	VBG	share
that	DT	that
process	NN	process
with	IN	with
the	DT	the
world	NN	world
in	IN	in
things	NNS	thing
like	IN	like
open	JJ	open
live	JJ	live
streams	NNS	stream
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
A	DT	a
few	JJ	few
centuries	NNS	century
ago	RB	ago
,	,	,
the	DT	the
development	NN	development
of	IN	of
mathematical	JJ	mathematical
notation	NN	notation
,	,	,
and	CC	and
what	WP	what
amounts	VBZ	amount
to	TO	to
the	DT	the
language	NN	language
of	IN	of
mathematics	NNS	mathematics
,	,	,
gave	VBD	give
a	DT	a
systematic	JJ	systematic
way	NN	way
to	TO	to
express	VB	express
math	NN	math
and	CC	and
made	VBD	make
possible	JJ	possible
algebra	NN	algebra
and	CC	and
calculus	NN	calculus
,	,	,
and	CC	and
eventually	RB	eventually
all	RB	all
of	IN	of
modern	JJ	modern
mathematical	JJ	mathematical
science	NN	science
.	SENT	.
And	CC	and
computational	JJ	computational
language	NN	language
now	RB	now
provides	VBZ	provide
a	DT	a
similar	JJ	similar
path	NN	path
,	,	,
letting	VBG	let
us	PP	us
ultimately	RB	ultimately
create	VBP	create
a	DT	a
computational	JJ	computational
X	NN	X
for	IN	for
all	DT	all
imaginable	JJ	imaginable
fields	NNS	field
X	NN	X
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
the	DT	the
growth	NN	growth
of	IN	of
computer	NN	computer
science	NN	science
,	,	,
CS	NP	CS
,	,	,
but	CC	but
computational	JJ	computational
language	NN	language
opens	VBZ	open
up	RP	up
something	NN	something
ultimately	RB	ultimately
much	RB	much
bigger	JJR	big
and	CC	and
broader	JJR	broad
,	,	,
CX	NP	CX
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
for	IN	for
70	CD	@card@
years	NNS	year
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
programming	NN	programming
languages	NNS	language
which	WDT	which
are	VBP	be
about	RB	about
telling	VBG	tell
computers	NNS	computer
in	IN	in
their	PP$	their
terms	NNS	term
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
But	CC	but
computational	JJ	computational
language	NN	language
is	VBZ	be
about	RB	about
something	NN	something
intellectually	RB	intellectually
much	RB	much
bigger	JJR	big
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
taking	VBG	take
everything	NN	everything
we	PP	we
can	MD	can
think	VB	think
about	RB	about
and	CC	and
operationalizing	VBG	operationalize
it	PP	it
in	IN	in
computational	JJ	computational
terms	NNS	term
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
built	VBD	build
the	DT	the
Wolfram	NP	Wolfram
Language	NP	Language
first	JJ	first
and	CC	and
foremost	RB	foremost
because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
use	VB	use
it	PP	it
myself	PP	myself
.	SENT	.
And	CC	and
now	RB	now
when	WRB	when
I	PP	I
use	VBP	use
it	PP	it
,	,	,
I	PP	I
feel	VBP	feel
like	IN	like
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
giving	VBG	give
me	PP	me
some	DT	some
kind	NN	kind
of	IN	of
superpower	NN	superpower
.	SENT	.
I	PP	I
just	RB	just
have	VB	have
to	TO	to
imagine	VB	imagine
something	NN	something
in	IN	in
computational	JJ	computational
terms	NNS	term
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
language	NN	language
sort	NN	sort
of	IN	of
almost	RB	almost
magically	RB	magically
lets	VBZ	let
me	PP	me
bring	VB	bring
it	PP	it
into	IN	into
reality	NN	reality
,	,	,
see	VB	see
its	PP$	its
consequences	NNS	consequence
,	,	,
and	CC	and
build	VB	build
on	IN	on
them	PP	them
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
sort	NN	sort
of	IN	of
superpower	NN	superpower
that	RB	that
'	POS	'
s	NNS	<unknown>
let	VBP	let
me	PP	me
do	VBP	do
things	NNS	thing
like	IN	like
our	PP$	our
physics	NN	physics
project	NN	project
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
past	JJ	past
35	CD	@card@
years	NNS	year
,	,	,
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
my	PP$	my
great	JJ	great
privilege	NN	privilege
to	TO	to
share	VB	share
this	DT	this
superpower	NN	superpower
with	IN	with
many	JJ	many
other	JJ	other
people	NNS	people
,	,	,
and	CC	and
by	IN	by
doing	VBG	do
so	RB	so
,	,	,
to	TO	to
have	VB	have
enabled	VBN	enable
an	DT	an
incredible	JJ	incredible
number	NN	number
of	IN	of
advances	NNS	advance
across	IN	across
many	JJ	many
fields	NNS	field
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
a	DT	a
wonderful	JJ	wonderful
thing	NN	thing
to	TO	to
see	VB	see
people	NNS	people
,	,	,
researchers	NNS	researcher
,	,	,
CEOs	NNS	CEO
,	,	,
kids	NNS	kid
,	,	,
using	VBG	use
our	PP$	our
language	NN	language
to	TO	to
fluently	RB	fluently
think	VB	think
in	IN	in
computational	JJ	computational
terms	NNS	term
,	,	,
kind	NN	kind
of	IN	of
crispening	VBG	<unknown>
up	RP	up
their	PP$	their
own	JJ	own
thinking	NN	thinking
,	,	,
and	CC	and
then	RB	then
in	IN	in
effect	NN	effect
,	,	,
automatically	RB	automatically
calling	VBG	call
in	IN	in
computational	JJ	computational
superpowers	NNS	superpower
.	SENT	.
And	CC	and
now	RB	now
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
people	NNS	people
who	WP	who
can	MD	can
do	VB	do
that	DT	that
.	SENT	.
AIs	NNS	ai
can	MD	can
use	VB	use
our	PP$	our
computational	JJ	computational
language	NN	language
as	IN	as
a	DT	a
tool	NN	tool
,	,	,
too	RB	too
.	SENT	.
Yes	UH	yes
,	,	,
to	TO	to
get	VB	get
their	PP$	their
facts	NNS	fact
straight	RB	straight
,	,	,
but	CC	but
even	RB	even
more	RBR	more
importantly	RB	importantly
,	,	,
to	TO	to
compute	VB	compute
new	JJ	new
facts	NNS	fact
.	SENT	.
There	EX	there
are	VBP	be
already	RB	already
some	DT	some
integrations	NNS	integration
of	IN	of
our	PP$	our
technology	NN	technology
into	IN	into
LLMs	NP	<unknown>
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
more	RBR	more
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
seeing	VBG	see
soon	RB	soon
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
building	VBG	build
new	JJ	new
things	NNS	thing
in	IN	in
a	DT	a
very	RB	very
powerful	JJ	powerful
emerging	VBG	emerge
workflow	NN	<unknown>
,	,	,
it	PP	it
'	POS	'
s	NN	S
basically	RB	basically
to	TO	to
start	VB	start
by	IN	by
telling	VBG	tell
the	DT	the
LLM	NN	LLM
roughly	RB	roughly
what	WP	what
you	PP	you
want	VBP	want
,	,	,
then	RB	then
to	TO	to
have	VB	have
it	PP	it
try	VB	try
to	TO	to
express	VB	express
that	IN	that
in	IN	in
precise	JJ	precise
Wolfram	NP	Wolfram
Language	NP	Language
,	,	,
then	RB	then
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
critical	JJ	critical
feature	NN	feature
of	IN	of
our	PP$	our
computational	JJ	computational
language	NN	language
,	,	,
compared	VBN	compare
to	TO	to
,	,	,
for	IN	for
example	NN	example
,	,	,
programming	NN	programming
language	NN	language
,	,	,
you	PP	you
as	IN	as
a	DT	a
human	NN	human
can	MD	can
read	VB	read
the	DT	the
code	NN	code
,	,	,
and	CC	and
if	IN	if
it	PP	it
does	VBZ	do
what	WP	what
you	PP	you
want	VBP	want
,	,	,
you	PP	you
can	MD	can
use	VB	use
it	PP	it
as	IN	as
kind	NN	kind
of	IN	of
a	DT	a
dependable	JJ	dependable
component	NN	component
to	TO	to
build	VB	build
on	RP	on
.	SENT	.
OK	UH	OK
,	,	,
but	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
we	PP	we
use	VB	use
more	RBR	more
and	CC	and
more	RBR	more
AI	VBZ	ai
,	,	,
more	JJR	more
and	CC	and
more	JJR	more
computation	NN	computation
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
world	NN	world
going	VBG	go
to	TO	to
be	VB	be
like	JJ	like
?	SENT	?
From	IN	from
the	DT	the
industrial	JJ	industrial
revolution	NN	revolution
on	IN	on
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
used	VBN	use
to	TO	to
doing	VBG	do
engineering	NN	engineering
where	WRB	where
we	PP	we
can	MD	can
in	IN	in
effect	NN	effect
,	,	,
see	VBP	see
how	WRB	how
the	DT	the
gears	NNS	gear
mesh	VBP	mesh
to	TO	to
understand	VB	understand
how	WRB	how
things	NNS	thing
work	VBP	work
.	SENT	.
But	CC	but
computational	JJ	computational
irreducibility	NN	irreducibility
now	RB	now
shows	VBZ	show
us	PP	us
that	IN	that
that	DT	that
won	NN	won
'	POS	'
t	NN	t
always	RB	always
be	VB	be
possible	JJ	possible
.	SENT	.
We	PP	we
won	VBD	win
'	''	'
t	NN	t
always	RB	always
be	VB	be
able	JJ	able
to	TO	to
make	VB	make
a	DT	a
kind	NN	kind
of	IN	of
simple	JJ	simple
human	JJ	human
or	CC	or
,	,	,
say	VBP	say
,	,	,
mathematical	JJ	mathematical
narrative	NN	narrative
to	TO	to
explain	VB	explain
or	CC	or
predict	VB	predict
what	WP	what
a	DT	a
system	NN	system
will	MD	will
do	VB	do
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
this	DT	this
is	VBZ	be
science	NN	science
,	,	,
in	IN	in
effect	NN	effect
,	,	,
eating	VBG	eat
itself	PP	itself
from	IN	from
the	DT	the
inside	NN	inside
.	SENT	.
From	IN	from
all	PDT	all
the	DT	the
successes	NNS	success
of	IN	of
mathematical	JJ	mathematical
science	NN	science
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
believe	VB	believe
that	IN	that
somehow	RB	somehow
,	,	,
if	IN	if
we	PP	we
only	RB	only
could	MD	could
find	VB	find
them	PP	them
,	,	,
there	EX	there
'	''	'
d	SYM	d
be	VB	be
formulas	NNS	formula
to	TO	to
kind	NN	kind
of	IN	of
predict	VB	predict
everything	NN	everything
.	SENT	.
But	CC	but
now	RB	now
computational	JJ	computational
irreducibility	NN	irreducibility
shows	VBZ	show
us	PP	us
that	IN	that
that	DT	that
isn	NN	isn
'	POS	'
t	NN	t
true	JJ	true
.	SENT	.
And	CC	and
that	IN	that
in	IN	in
effect	NN	effect
,	,	,
to	TO	to
find	VB	find
out	RP	out
what	WP	what
a	DT	a
system	NN	system
will	MD	will
do	VB	do
,	,	,
we	PP	we
have	VBP	have
to	TO	to
go	VB	go
through	IN	through
the	DT	the
same	JJ	same
irreducible	JJ	irreducible
computational	JJ	computational
steps	NNS	step
as	IN	as
the	DT	the
system	NN	system
itself	PP	itself
.	SENT	.
Yes	UH	yes
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
weakness	NN	weakness
of	IN	of
science	NN	science
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
also	RB	also
why	WRB	why
the	DT	the
passage	NN	passage
of	IN	of
time	NN	time
is	VBZ	be
significant	JJ	significant
and	CC	and
meaningful	JJ	meaningful
and	CC	and
why	WRB	why
we	PP	we
can	MD	can
'	''	'
t	NN	t
just	RB	just
sort	RB	sort
of	IN	of
jump	VB	jump
ahead	RB	ahead
to	TO	to
get	VB	get
the	DT	the
answer	NN	answer
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
live	VB	live
the	DT	the
steps	NNS	step
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
going	VBG	go
to	TO	to
be	VB	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
a	DT	a
great	JJ	great
societal	JJ	societal
dilemma	NN	dilemma
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
If	IN	if
we	PP	we
let	VBP	let
our	PP$	our
AIs	NNS	ai
achieve	VB	achieve
their	PP$	their
kind	NN	kind
of	IN	of
full	JJ	full
computational	JJ	computational
potential	NN	potential
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
have	VBP	have
lots	NNS	lot
of	IN	of
computational	JJ	computational
irreducibility	NN	irreducibility
and	CC	and
we	PP	we
won	VBD	win
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
predict	VB	predict
what	WP	what
they	PP	they
'	POS	'
ll	NNS	<unknown>
do	VBP	do
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
put	VBD	put
constraints	NNS	constraint
on	IN	on
them	PP	them
to	TO	to
make	VB	make
them	PP	them
more	RBR	more
predictable	JJ	predictable
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
limit	VBP	limit
what	WP	what
they	PP	they
can	MD	can
do	VB	do
for	IN	for
us	PP	us
.	SENT	.
So	RB	so
what	WP	what
will	MD	will
it	PP	it
feel	VB	feel
like	IN	like
if	IN	if
our	PP$	our
world	NN	world
is	VBZ	be
full	JJ	full
of	IN	of
computational	JJ	computational
irreducibility	NN	irreducibility
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
nothing	RB	nothing
new	JJ	new
because	IN	because
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
story	NN	story
with	IN	with
much	JJ	much
of	IN	of
nature	NN	nature
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
there	EX	there
is	VBZ	be
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
found	VBD	find
ways	NNS	way
to	TO	to
operate	VB	operate
within	IN	within
nature	NN	nature
,	,	,
even	RB	even
though	IN	though
nature	NN	nature
can	MD	can
sometimes	RB	sometimes
still	RB	still
surprise	VB	surprise
us	PP	us
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
will	MD	will
be	VB	be
with	IN	with
the	DT	the
AIs	NNS	ai
.	SENT	.
We	PP	we
might	MD	might
give	VB	give
them	PP	them
a	DT	a
constitution	NN	constitution
,	,	,
but	CC	but
there	EX	there
will	MD	will
always	RB	always
be	VB	be
consequences	NNS	consequence
we	PP	we
can	MD	can
'	''	'
t	NN	t
predict	VBP	predict
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
even	RB	even
figuring	VBG	figure
out	RP	out
societally	RB	societally
what	WP	what
we	PP	we
want	VBP	want
from	IN	from
the	DT	the
AIs	NNS	ai
is	VBZ	be
hard	JJ	hard
.	SENT	.
Maybe	RB	maybe
we	PP	we
need	VBP	need
you	PP	you
know	VBP	know
,	,	,
a	DT	a
promptocracy	NN	<unknown>
where	WRB	where
people	NNS	people
write	VBP	write
prompts	NNS	prompt
instead	RB	instead
of	IN	of
just	RB	just
voting	VBG	vote
.	SENT	.
But	CC	but
basically	RB	basically
,	,	,
every	DT	every
control	NN	control
the	DT	the
outcome	NN	outcome
scheme	NN	scheme
seems	VBZ	seem
full	JJ	full
of	IN	of
both	DT	both
political	JJ	political
philosophy	NN	philosophy
and	CC	and
computational	JJ	computational
irreducibility	NN	irreducibility
gotchas	NNS	<unknown>
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
whole	JJ	whole
arc	NN	arc
of	IN	of
human	JJ	human
history	NN	history
,	,	,
the	DT	the
one	CD	one
thing	NN	thing
that	RB	that
'	POS	'
s	NN	S
systematically	RB	systematically
changed	VBN	change
is	VBZ	be
that	IN	that
more	RBR	more
and	CC	and
more	RBR	more
gets	VBZ	get
automated	VBN	automate
.	SENT	.
And	CC	and
LLMs	NP	<unknown>
just	RB	just
gave	VBD	give
us	PP	us
a	DT	a
dramatic	JJ	dramatic
and	CC	and
unexpected	JJ	unexpected
example	NN	example
of	IN	of
that	DT	that
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
that	DT	that
mean	NN	mean
?	SENT	?
Does	VBZ	do
that	DT	that
mean	NN	mean
that	IN	that
in	IN	in
the	DT	the
end	NN	end
,	,	,
us	PP	us
humans	NNS	human
will	MD	will
have	VB	have
nothing	NN	nothing
to	TO	to
do	VB	do
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
history	NN	history
,	,	,
what	WP	what
seems	VBZ	seem
to	TO	to
happen	VB	happen
is	VBZ	be
that	IN	that
when	WRB	when
one	CD	one
thing	NN	thing
gets	VBZ	get
automated	VBN	automate
away	RB	away
,	,	,
it	PP	it
opens	VBZ	open
up	RP	up
lots	NNS	lot
of	IN	of
new	JJ	new
things	NNS	thing
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
as	IN	as
economies	NNS	economy
develop	VBP	develop
,	,	,
the	DT	the
pie	NN	pie
chart	NN	chart
of	IN	of
occupations	NNS	occupation
seems	VBZ	seem
to	TO	to
get	VB	get
more	RBR	more
and	CC	and
more	RBR	more
fragmented	JJ	fragmented
.	SENT	.
And	CC	and
now	RB	now
we	PP	we
'	POS	'
re	NN	re
back	RB	back
to	TO	to
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
Because	IN	because
at	IN	at
a	DT	a
foundational	JJ	foundational
level	NN	level
,	,	,
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
is	VBZ	be
that	IN	that
automation	NN	automation
is	VBZ	be
opening	VBG	open
up	RP	up
more	JJR	more
directions	NNS	direction
to	TO	to
go	VB	go
in	IN	in
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
abstract	JJ	abstract
way	NN	way
to	TO	to
choose	VB	choose
between	IN	between
these	DT	these
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
question	NN	question
of	IN	of
what	WP	what
we	PP	we
humans	NNS	human
want	VBP	want
,	,	,
and	CC	and
it	PP	it
requires	VBZ	require
kind	NN	kind
of	IN	of
humans	NNS	human
doing	VBG	do
work	NN	work
to	TO	to
define	VB	define
that	DT	that
.	SENT	.
So	IN	so
a	DT	a
society	NN	society
of	IN	of
AI	NN	ai
as	IN	as
sort	NN	sort
of	IN	of
untethered	JJ	untethered
by	IN	by
human	JJ	human
input	NN	input
,	,	,
would	MD	would
effectively	RB	effectively
go	VB	go
off	RP	off
and	CC	and
explore	VB	explore
the	DT	the
whole	JJ	whole
ruliad	NN	<unknown>
.	SENT	.
But	CC	but
most	JJS	most
of	IN	of
what	WP	what
they	PP	they
do	VBP	do
would	MD	would
seem	VB	seem
to	TO	to
us	PP	us
random	JJ	random
and	CC	and
pointless	JJ	pointless
,	,	,
much	JJ	much
like	IN	like
most	RBS	most
of	IN	of
nature	NN	nature
doesn	NN	<unknown>
'	POS	'
t	NN	t
seem	VBP	seem
to	TO	to
us	PP	us
right	RB	right
now	RB	now
,	,	,
like	IN	like
it	PP	it
'	POS	'
s	NN	S
achieving	VBG	achieve
a	DT	a
purpose	NN	purpose
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
one	PP	one
used	VBD	use
to	TO	to
imagine	VB	imagine
that	IN	that
to	TO	to
build	VB	build
things	NNS	thing
that	WDT	that
are	VBP	be
useful	JJ	useful
to	TO	to
us	PP	us
,	,	,
we	PP	we
'	POS	'
d	NN	d
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
kind	NN	kind
of	IN	of
step	NN	step
by	IN	by
step	NN	step
.	SENT	.
But	CC	but
AI	VBP	ai
and	CC	and
the	DT	the
whole	JJ	whole
phenomenon	NN	phenomenon
of	IN	of
computation	NN	computation
tell	VB	tell
us	PP	us
that	IN	that
really	RB	really
what	WP	what
we	PP	we
need	VBP	need
is	VBZ	be
more	RBR	more
just	RB	just
to	TO	to
define	VB	define
what	WP	what
we	PP	we
want	VBP	want
.	SENT	.
Then	RB	then
computation	NN	computation
,	,	,
AI	VBP	ai
,	,	,
automation	NN	automation
can	MD	can
make	VB	make
it	PP	it
happen	VB	happen
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
I	PP	I
think	VBP	think
the	DT	the
key	NN	key
to	TO	to
defining	VBG	define
in	IN	in
a	DT	a
clear	JJ	clear
way	NN	way
what	WP	what
we	PP	we
want	VBP	want
is	VBZ	be
computational	JJ	computational
language	NN	language
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
even	RB	even
after	IN	after
35	CD	@card@
years	NNS	year
,	,	,
for	IN	for
many	JJ	many
people	NNS	people
,	,	,
Wolfram	NP	Wolfram
Language	NP	Language
is	VBZ	be
still	RB	still
sort	NN	sort
of	IN	of
an	DT	an
artifact	NN	artifact
from	IN	from
the	DT	the
future	NN	future
.	SENT	.
If	IN	if
your	PP$	your
job	NN	job
is	VBZ	be
to	TO	to
program	VB	program
,	,	,
it	PP	it
seems	VBZ	seem
like	IN	like
a	DT	a
cheat	NN	cheat
.	SENT	.
How	WRB	how
come	VBP	come
you	PP	you
can	MD	can
do	VB	do
in	IN	in
an	DT	an
hour	NN	hour
what	WP	what
would	MD	would
usually	RB	usually
take	VB	take
you	PP	you
a	DT	a
week	NN	week
?	SENT	?
But	CC	but
it	PP	it
can	MD	can
also	RB	also
be	VB	be
kind	JJ	kind
of	IN	of
daunting	VBG	daunt
because	IN	because
having	VBG	have
dashed	VBN	dash
off	RP	off
that	DT	that
one	CD	one
thing	NN	thing
,	,	,
you	PP	you
now	RB	now
have	VB	have
to	TO	to
conceptualize	VB	conceptualize
the	DT	the
next	JJ	next
thing	NN	thing
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
great	JJ	great
for	IN	for
CEOs	NNS	CEO
and	CC	and
CTOs	NNS	<unknown>
and	CC	and
intellectual	JJ	intellectual
leaders	NNS	leader
who	WP	who
are	VBP	be
ready	JJ	ready
to	TO	to
race	VB	race
on	IN	on
to	TO	to
the	DT	the
next	JJ	next
thing	NN	thing
.	SENT	.
And	CC	and
indeed	RB	indeed
,	,	,
it	PP	it
'	POS	'
s	NN	S
an	DT	an
impressively	RB	impressively
popular	JJ	popular
thing	NN	thing
in	IN	in
that	DT	that
set	NN	set
.	SENT	.
In	IN	in
a	DT	a
sense	NN	sense
,	,	,
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
is	VBZ	be
that	IN	that
Wolfram	NP	Wolfram
Language	NP	Language
shifts	NNS	shift
from	IN	from
concentrating	VBG	concentrate
on	IN	on
mechanics	NNS	mechanic
to	TO	to
concentrating	VBG	concentrate
on	IN	on
conceptualization	NN	conceptualization
,	,	,
and	CC	and
the	DT	the
key	NN	key
to	TO	to
that	DT	that
conceptualization	NN	conceptualization
is	VBZ	be
broad	JJ	broad
computational	JJ	computational
thinking	NN	thinking
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
one	PP	one
learn	VB	learn
to	TO	to
do	VB	do
that	DT	that
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
really	RB	really
a	DT	a
story	NN	story
of	IN	of
CS	NP	CS
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
a	DT	a
story	NN	story
of	IN	of
CX	NP	CX
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
kind	NN	kind
of	IN	of
education	NN	education
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
like	IN	like
liberal	JJ	liberal
arts	NNS	art
than	IN	than
STEM	NN	stem
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
a	DT	a
trend	NN	trend
that	IN	that
when	WRB	when
you	PP	you
automate	VBP	automate
technical	JJ	technical
execution	NN	execution
,	,	,
what	WP	what
becomes	VBZ	become
important	JJ	important
is	VBZ	be
not	RB	not
figuring	VBG	figure
out	RP	out
how	WRB	how
to	TO	to
do	VB	do
things	NNS	thing
,	,	,
but	CC	but
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
more	RBR	more
a	DT	a
story	NN	story
of	IN	of
broad	JJ	broad
