Here	RB	here
So	IN	so
a	DT	a
chemist	NN	chemist
at	IN	at
this	DT	this
startup	NN	startup
came	VBD	come
up	RP	up
with	IN	with
the	DT	the
brilliant	JJ	brilliant
idea	NN	idea
of	IN	of
dissolving	VBG	dissolve
the	DT	the
sulfa	JJ	sulfa
drug	NN	drug
in	IN	in
diethylene	NN	diethylene
glycol	NN	glycol
and	CC	and
then	RB	then
adding	VBG	add
some	DT	some
raspberry	JJ	raspberry
flavoring	NN	flavoring
to	TO	to
make	VB	make
it	PP	it
more	RBR	more
palatable	JJ	palatable
for	IN	for
the	DT	the
kids	NNS	kid
.	SENT	.
Seemed	VBN	seem
like	IN	like
a	DT	a
brilliant	JJ	brilliant
idea	NN	idea
,	,	,
except	IN	except
that	DT	that
diethylene	NN	diethylene
glycol	NN	glycol
is	VBZ	be
toxic	JJ	toxic
to	TO	to
human	JJ	human
beings	NNS	being
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
basically	RB	basically
antifreeze	NN	antifreeze
.	SENT	.
And	CC	and
so	RB	so
almost	RB	almost
immediately	RB	immediately
,	,	,
weeks	NNS	week
after	RB	after
,	,	,
there	EX	there
were	VBD	be
dozens	NNS	dozen
of	IN	of
deaths	NNS	death
around	IN	around
the	DT	the
United	NP	United
States	NPS	States
from	IN	from
this	DT	this
terrible	JJ	terrible
concoction	NN	concoction
,	,	,
and	CC	and
the	DT	the
crazy	JJ	crazy
thing	NN	thing
is	VBZ	be
that	IN	that
putting	VBG	put
diethylene	NN	diethylene
glycol	NN	glycol
in	IN	in
your	PP$	your
medicine	NN	medicine
was	VBD	be
not	RB	not
a	DT	a
problem	NN	problem
,	,	,
given	VBN	give
the	DT	the
existing	VBG	exist
regulations	NNS	regulation
of	IN	of
the	DT	the
day	NN	day
.	SENT	.
The	DT	the
only	JJ	only
thing	NN	thing
that	IN	that
the	DT	the
FDA	NP	FDA
was	VBD	be
really	RB	really
interested	JJ	interested
in	RB	in
was	VBD	be
whether	IN	whether
you	PP	you
were	VBD	be
actually	RB	actually
listing	VBG	list
the	DT	the
ingredients	NNS	ingredient
of	IN	of
your	PP$	your
potion	NN	potion
on	IN	on
the	DT	the
label	NN	label
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
wanted	VBD	want
to	TO	to
put	VB	put
antifreeze	NN	antifreeze
in	IN	in
your	PP$	your
cough	NN	cough
syrup	NN	syrup
,	,	,
go	VB	go
ahead	RB	ahead
,	,	,
as	RB	as
long	RB	long
as	IN	as
you	PP	you
list	VBP	list
ingredients	NNS	ingredient
on	IN	on
the	DT	the
label	NN	label
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
life	NN	life
was	VBD	be
like	JJ	like
.	SENT	.
But	CC	but
because	IN	because
of	IN	of
this	DT	this
tragedy	NN	tragedy
,	,	,
laws	NNS	law
were	VBD	be
changed	VBN	change
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
the	DT	the
FDA	NP	FDA
mandated	VBD	mandate
the	DT	the
pharma	NN	<unknown>
companies	NNS	company
show	VBP	show
that	IN	that
their	PP$	their
drugs	NNS	drug
were	VBD	be
not	RB	not
harmful	JJ	harmful
to	TO	to
consumers	NNS	consumer
,	,	,
which	WDT	which
seems	VBZ	seem
kind	NN	kind
of	IN	of
obvious	JJ	obvious
,	,	,
but	CC	but
somebody	NN	somebody
had	VBD	have
to	TO	to
figure	VB	figure
that	IN	that
out	RB	out
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
we	PP	we
needed	VBD	need
at	IN	at
that	DT	that
point	NN	point
was	VBD	be
not	RB	not
just	RB	just
kind	NN	kind
of	IN	of
new	JJ	new
miracle	NN	miracle
drugs	NNS	drug
.	SENT	.
We	PP	we
needed	VBD	need
new	JJ	new
institutions	NNS	institution
.	SENT	.
We	PP	we
needed	VBD	need
new	JJ	new
medi-innovations	NNS	medi-innovation
,	,	,
like	IN	like
three	CD	three
phase	NN	phase
trials	NNS	trial
and	CC	and
randomized	VBN	randomize
controlled	JJ	controlled
experiments	NNS	experiment
,	,	,
and	CC	and
regulatory	JJ	regulatory
bodies	NNS	body
,	,	,
like	IN	like
the	DT	the
FDA	NP	FDA
,	,	,
to	TO	to
separate	VB	separate
out	RP	out
the	DT	the
fake	JJ	fake
cures	NNS	cure
from	IN	from
the	DT	the
real	JJ	real
thing	NN	thing
.	SENT	.
And	CC	and
that	DT	that
kind	NN	kind
of	IN	of
institutional	JJ	institutional
innovation	NN	innovation
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
increasingly	RB	increasingly
important	JJ	important
in	IN	in
the	DT	the
decades	NNS	decade
to	TO	to
come	VB	come
,	,	,
because	IN	because
all	DT	all
around	IN	around
the	DT	the
world	NN	world
right	RB	right
now	RB	now
,	,	,
there	EX	there
are	VBP	be
well-funded	JJ	well-funded
scientists	NNS	scientist
and	CC	and
serious	JJ	serious
labs	NNS	lab
that	WDT	that
are	VBP	be
working	VBG	work
on	IN	on
tackling	VBG	tackle
the	DT	the
problem	NN	problem
of	IN	of
aging	VBG	age
itself	PP	itself
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
currently	RB	currently
the	DT	the
outer	JJ	outer
boundary	NN	boundary
of	IN	of
human	JJ	human
life	NN	life
is	VBZ	be
somewhere	RB	somewhere
around	IN	around
110	CD	@card@
and	CC	and
115	CD	@card@
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
to	TO	to
live	VB	live
past	IN	past
that	DT	that
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
serious	JJ	serious
research	NN	research
out	IN	out
there	RB	there
that	WDT	that
suggests	VBZ	suggest
that	IN	that
we	PP	we
can	MD	can
just	RB	just
blow	VB	blow
past	JJ	past
that	IN	that
boundary	NN	boundary
and	CC	and
live	VB	live
for	IN	for
decades	NNS	decade
longer	RBR	longer
,	,	,
maybe	RB	maybe
even	RB	even
indefinitely	RB	indefinitely
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
on	IN	on
the	DT	the
table	NN	table
.	SENT	.
And	CC	and
the	DT	the
thing	NN	thing
about	IN	about
it	PP	it
is	VBZ	be
,	,	,
if	IN	if
we	PP	we
did	VBD	do
do	VB	do
that	WDT	that
,	,	,
it	PP	it
would	MD	would
be	VB	be
the	DT	the
most	RBS	most
momentous	JJ	momentous
change	NN	change
in	IN	in
the	DT	the
history	NN	history
of	IN	of
our	PP$	our
species	NNS	specie
,	,	,
right	RB	right
?	SENT	?
Initially	RB	initially
,	,	,
it	PP	it
would	MD	would
intensely	RB	intensely
--	:	--
increase	VB	increase
the	DT	the
health	NN	health
inequalities	NNS	inequality
in	IN	in
the	DT	the
world	NN	world
because	IN	because
people	NNS	people
could	MD	could
--	:	--
only	RB	only
rich	JJ	rich
people	NNS	people
could	MD	could
afford	VB	afford
these	DT	these
treatments	NNS	treatment
originally	RB	originally
.	SENT	.
It	PP	it
would	MD	would
greatly	RB	greatly
exacerbate	VB	exacerbate
our	PP$	our
runaway	JJ	runaway
population	NN	population
growth	NN	growth
problem	NN	problem
and	CC	and
it	PP	it
would	MD	would
fundamentally	RB	fundamentally
alter	VB	alter
the	DT	the
definition	NN	definition
of	IN	of
the	DT	the
arc	NN	arc
of	IN	of
a	DT	a
human	JJ	human
life	NN	life
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
ask	VBP	ask
people	NNS	people
,	,	,
do	VBP	do
you	PP	you
think	VBP	think
we	PP	we
should	MD	should
mess	VB	mess
around	RP	around
with	IN	with
immortality	NN	immortality
,	,	,
ordinary	JJ	ordinary
people	NNS	people
,	,	,
most	JJS	most
of	IN	of
them	PP	them
say	VBP	say
no	RB	no
.	SENT	.
But	CC	but
the	DT	the
problem	NN	problem
is	VBZ	be
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
collectively	RB	collectively
a	DT	a
decision-making	NN	decision-making
body	NN	body
that	WDT	that
can	MD	can
help	VB	help
us	PP	us
wrestle	VB	wrestle
with	IN	with
changes	NNS	change
this	DT	this
immense	NN	immense
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
like	IN	like
the	DT	the
FDA	NP	FDA
back	NN	back
in	IN	in
1930	CD	@card@
,	,	,
like	IN	like
,	,	,
go	VB	go
ahead	RB	ahead
and	CC	and
make	VB	make
your	PP$	your
immortality	NN	immortality
pill	NN	pill
.	SENT	.
Just	RB	just
make	VB	make
sure	RB	sure
the	DT	the
ingredients	NNS	ingredient
are	VBP	be
right	JJ	right
on	IN	on
the	DT	the
label	NN	label
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
are	VBP	be
.	SENT	.
So	IN	so
the	DT	the
kinds	NNS	kind
of	IN	of
innovations	NNS	innovation
we	PP	we
need	VBP	need
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
on	IN	on
the	DT	the
level	NN	level
of	IN	of
oversight	NN	oversight
and	CC	and
decision	NN	decision
making	NN	making
,	,	,
and	CC	and
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
make	VB	make
these	DT	these
innovations	NNS	innovation
if	IN	if
we	PP	we
if	IN	if
we	PP	we
work	VBP	work
at	IN	at
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
all	RB	all
realize	VBP	realize
that	DT	that
regulatory	JJ	regulatory
overreach	VB	overreach
is	VBZ	be
a	DT	a
problem	NN	problem
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
design	VB	design
decision-making	NN	decision-making
bodies	NNS	body
that	WDT	that
are	VBP	be
both	CC	both
sensitive	JJ	sensitive
to	TO	to
the	DT	the
dangers	NNS	danger
and	CC	and
the	DT	the
unintended	JJ	unintended
consequences	NNS	consequence
,	,	,
but	CC	but
also	RB	also
genuinely	RB	genuinely
open	JJ	open
to	TO	to
the	DT	the
possibilities	NNS	possibility
.	SENT	.
But	CC	but
to	TO	to
my	PP$	my
mind	NN	mind
,	,	,
we	PP	we
should	MD	should
be	VB	be
focusing	VBG	focus
less	RBR	less
on	IN	on
extending	VBG	extend
life	NN	life
indefinitely	RB	indefinitely
and	CC	and
more	JJR	more
on	IN	on
reducing	VBG	reduce
the	DT	the
gaps	NNS	gap
that	WDT	that
remain	VBP	remain
in	IN	in
health	NN	health
outcomes	NNS	outcome
here	RB	here
and	CC	and
around	RB	around
the	DT	the
world	NN	world
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
just	RB	just
look	VBP	look
at	IN	at
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
lived	VBD	live
through	RP	through
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
and	CC	and
a	DT	a
half	NN	half
.	SENT	.
On	IN	on
average	JJ	average
,	,	,
white	JJ	white
Americans	NPS	Americans
lost	VBD	lose
one	CD	one
year	NN	year
of	IN	of
expected	VBN	expect
life	NN	life
in	IN	in
2020	CD	@card@
,	,	,
thanks	NNS	thanks
largely	RB	largely
to	TO	to
covid	NN	<unknown>
.	SENT	.
African	NP	African
Americans	NPS	Americans
lost	VBD	lose
three	CD	three
years	NNS	year
.	SENT	.
And	CC	and
we	PP	we
should	MD	should
be	VB	be
focusing	VBG	focus
on	IN	on
reducing	VBG	reduce
the	DT	the
gap	NN	gap
between	IN	between
what	WP	what
we	PP	we
call	VBP	call
health	NN	health
span	NN	span
and	CC	and
lifespan	NN	lifespan
.	SENT	.
The	DT	the
amount	NN	amount
of	IN	of
time	NN	time
that	IN	that
we	PP	we
spend	VBP	spend
that	WDT	that
is	VBZ	be
fundamentally	RB	fundamentally
healthy	JJ	healthy
and	CC	and
full	JJ	full
capacity	NN	capacity
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
all	DT	all
agree	VBP	agree
that	IN	that
these	DT	these
are	VBP	be
problems	NNS	problem
that	WDT	that
are	VBP	be
worth	JJ	worth
solving	VBG	solve
and	CC	and
we	PP	we
have	VBP	have
the	DT	the
tools	NNS	tool
at	IN	at
our	PP$	our
disposal	NN	disposal
right	RB	right
now	RB	now
to	TO	to
solve	VB	solve
them	PP	them
.	SENT	.
If	IN	if
the	DT	the
first	JJ	first
great	JJ	great
revolution	NN	revolution
in	IN	in
human	JJ	human
health	NN	health
was	VBD	be
extending	VBG	extend
the	DT	the
overall	JJ	overall
average	JJ	average
human	JJ	human
life	NN	life
,	,	,
the	DT	the
second	NN	second
should	MD	should
be	VB	be
about	RB	about
closing	VBG	close
the	DT	the
gaps	NNS	gap
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
