Beau	NP	Beau
Strudwick	NP	Strudwick
:	:	:
So	RB	so
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
—	:	-
Student	NP	Student
:	:	:
5C	NN	5C
.	SENT	.
Dave	NP	Dave
Strudwick	NP	Strudwick
:	:	:
Is	VBZ	be
she	PP	she
still	RB	still
going	VBG	go
up	RP	up
here	RB	here
?	SENT	?
Student	NN	student
:	:	:
Yeah	RB	yeah
.	SENT	.
Dave	NP	Dave
Strudwick	NP	Strudwick
:	:	:
So	RB	so
you	PP	you
keep	VB	keep
track	NN	track
of	IN	of
each	DT	each
.	SENT	.
Student	NN	student
:	:	:
Henry	NP	Henry
,	,	,
can	MD	can
you	PP	you
help	VB	help
me	PP	me
here	RB	here
?	SENT	?
BL	NP	BL
:	:	:
"	``	"
Can	MD	can
you	PP	you
help	VB	help
me	PP	me
,	,	,
Henry	NP	Henry
?	SENT	?
"	``	"
What	WP	what
good	JJ	good
scientist	NN	scientist
says	VBZ	say
that	IN	that
,	,	,
right	RB	right
?	SENT	?
Student	NN	student
:	:	:
There	EX	there
'	''	'
s	VBZ	<unknown>
two	CD	two
up	RP	up
there	RB	there
.	SENT	.
And	CC	and
three	CD	three
in	IN	in
here	RB	here
.	SENT	.
BL	NP	BL
:	:	:
Right	NN	right
?	SENT	?
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
our	PP$	our
observations	NNS	observation
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
our	PP$	our
data	NNS	datum
.	SENT	.
They	PP	they
do	VBP	do
the	DT	the
simple	JJ	simple
mathematics	NN	mathematics
,	,	,
averaging	VBG	average
,	,	,
etc	FW	etc
.	SENT	.
,	,	,
etc	FW	etc
.	SENT	.
And	CC	and
now	RB	now
we	PP	we
want	VBP	want
to	TO	to
share	VB	share
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
next	JJ	next
step	NN	step
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
write	VB	write
this	DT	this
up	RP	up
and	CC	and
try	VB	try
to	TO	to
submit	VB	submit
this	DT	this
for	IN	for
publication	NN	publication
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
write	VB	write
it	PP	it
up	RP	up
.	SENT	.
So	RB	so
we	PP	we
go	VBP	go
,	,	,
of	IN	of
course	NN	course
,	,	,
to	TO	to
the	DT	the
pub	NN	pub
.	SENT	.
All	DT	all
right	NN	right
?	SENT	?
The	DT	the
one	CD	one
on	IN	on
the	DT	the
left	NN	left
is	VBZ	be
mine	JJ	mine
,	,	,
okay	JJ	okay
?	SENT	?
Now	RB	now
,	,	,
I	PP	I
tell	VBP	tell
them	PP	them
,	,	,
a	DT	a
paper	NN	paper
has	VBZ	have
four	CD	four
different	JJ	different
sections	NNS	section
:	:	:
an	DT	an
introduction	NN	introduction
,	,	,
a	DT	a
methods	NNS	method
,	,	,
a	DT	a
results	NNS	result
,	,	,
a	DT	a
discussion	NN	discussion
.	SENT	.
The	DT	the
introduction	NN	introduction
says	VBZ	say
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
question	NN	question
and	CC	and
why	WRB	why
?	SENT	?
Methods	NNS	method
,	,	,
what	WP	what
did	VBD	do
you	PP	you
do	VBP	do
?	SENT	?
Results	NNS	result
,	,	,
what	WP	what
was	VBD	be
the	DT	the
observation	NN	observation
?	SENT	?
And	CC	and
the	DT	the
discussion	NN	discussion
is	VBZ	be
,	,	,
who	WP	who
cares	VBZ	care
?	SENT	?
Right	RB	right
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
science	NN	science
paper	NN	paper
,	,	,
basically	RB	basically
.	SENT	.
So	IN	so
the	DT	the
kids	NNS	kid
give	VBP	give
me	PP	me
the	DT	the
words	NNS	word
,	,	,
right	RB	right
?	SENT	?
I	PP	I
put	VBD	put
it	PP	it
into	IN	into
a	DT	a
narrative	NN	narrative
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
this	DT	this
paper	NN	paper
is	VBZ	be
written	VBN	write
in	IN	in
kidspeak	NN	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
written	VBN	write
by	IN	by
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
written	VBN	write
by	IN	by
Amy	NP	Amy
and	CC	and
the	DT	the
other	JJ	other
students	NNS	student
in	IN	in
the	DT	the
class	NN	class
.	SENT	.
As	IN	as
a	DT	a
consequence	NN	consequence
,	,	,
this	DT	this
science	NN	science
paper	NN	paper
begins	VBZ	begin
,	,	,
"	``	"
Once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
.	SENT	.
.	SENT	.
.	SENT	.
"	``	"
The	DT	the
results	NNS	result
section	NN	section
,	,	,
it	PP	it
says	VBZ	say
:	:	:
"	``	"
Training	NN	training
phase	NN	phase
,	,	,
the	DT	the
puzzle	NN	puzzle
.	SENT	.
.	SENT	.
.	SENT	.
duh	NP	duh
duh	NP	duh
duuuuuhhh	NN	<unknown>
.	SENT	.
"	''	"
Right	RB	right
?	SENT	?
And	CC	and
the	DT	the
methods	NNS	method
,	,	,
it	PP	it
says	VBZ	say
,	,	,
"	``	"
Then	RB	then
we	PP	we
put	VBP	put
the	DT	the
bees	NNS	bee
into	IN	into
the	DT	the
fridge	NN	fridge
,	,	,
"	``	"
smiley	NN	<unknown>
face	NN	face
.	SENT	.
Right	RB	right
?	SENT	?
This	DT	this
is	VBZ	be
a	DT	a
science	NN	science
paper	NN	paper
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
get	VB	get
it	PP	it
published	VBN	publish
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
title	NN	title
page	NN	page
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
number	NN	number
of	IN	of
authors	NNS	author
there	RB	there
.	SENT	.
All	PDT	all
the	DT	the
ones	NNS	one
in	IN	in
bold	JJ	bold
are	VBP	be
eight	CD	eight
to	TO	to
10	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
The	DT	the
first	JJ	first
author	NN	author
is	VBZ	be
Blackawton	NP	<unknown>
Primary	JJ	primary
School	NP	School
,	,	,
because	IN	because
if	IN	if
it	PP	it
were	VBD	be
ever	RB	ever
referenced	VBN	reference
,	,	,
it	PP	it
would	MD	would
be	VB	be
"	``	"
Blackawton	NP	<unknown>
et	NP	et
al	NP	al
,	,	,
"	''	"
and	CC	and
not	RB	not
one	CD	one
individual	NN	individual
.	SENT	.
So	RB	so
we	PP	we
submit	VBP	submit
it	PP	it
to	TO	to
a	DT	a
public	JJ	public
access	NN	access
journal	NN	journal
,	,	,
and	CC	and
it	PP	it
says	VBZ	say
this	DT	this
.	SENT	.
It	PP	it
said	VBD	say
many	JJ	many
things	NNS	thing
,	,	,
but	CC	but
it	PP	it
said	VBD	say
this	DT	this
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
the	DT	the
paper	NN	paper
fails	VBZ	fail
our	PP$	our
initial	JJ	initial
quality	NN	quality
control	NN	control
checks	NNS	check
in	IN	in
several	JJ	several
different	JJ	different
ways	NNS	way
.	SENT	.
"	''	"
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
it	PP	it
starts	VBZ	start
off	RP	off
"	''	"
once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
,	,	,
"	''	"
the	DT	the
figures	NNS	figure
are	VBP	be
in	IN	in
crayon	NN	crayon
,	,	,
etc	FW	etc
.	SENT	.
So	RB	so
we	PP	we
said	VBD	say
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
get	VBP	get
it	PP	it
reviewed	VBD	review
.	SENT	.
So	RB	so
I	PP	I
sent	VBD	send
it	PP	it
to	TO	to
Dale	NP	Dale
Purves	NP	Purves
,	,	,
who	WP	who
is	VBZ	be
at	IN	at
the	DT	the
National	NP	National
Academy	NP	Academy
of	IN	of
Science	NP	Science
,	,	,
one	CD	one
of	IN	of
the	DT	the
leading	VBG	lead
neuroscientists	NNS	neuroscientist
in	IN	in
the	DT	the
world	NN	world
,	,	,
and	CC	and
he	PP	he
says	VBZ	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
most	RBS	most
original	JJ	original
science	NN	science
paper	NN	paper
I	PP	I
have	VBP	have
ever	RB	ever
read	VBN	read
"	''	"
—	:	-
—	:	-
"	``	"
and	CC	and
it	PP	it
certainly	RB	certainly
deserves	VBZ	deserve
wide	JJ	wide
exposure	NN	exposure
.	SENT	.
"	''	"
Larry	NP	Larry
Maloney	NP	Maloney
,	,	,
expert	NN	expert
in	IN	in
vision	NN	vision
,	,	,
says	VBZ	say
,	,	,
"	``	"
The	DT	the
paper	NN	paper
is	VBZ	be
magnificent	JJ	magnificent
.	SENT	.
The	DT	the
work	NN	work
would	MD	would
be	VB	be
publishable	JJ	publishable
if	IN	if
done	VBN	do
by	IN	by
adults	NNS	adult
.	SENT	.
"	''	"
So	RB	so
what	WP	what
did	VBD	do
we	PP	we
do	VBP	do
?	SENT	?
We	PP	we
send	VBP	send
it	PP	it
back	RB	back
to	TO	to
the	DT	the
editor	NN	editor
.	SENT	.
They	PP	they
say	VBP	say
no	RB	no
.	SENT	.
So	RB	so
we	PP	we
asked	VBD	ask
Larry	NP	Larry
and	CC	and
Natalie	NP	Natalie
Hempel	NP	Hempel
to	TO	to
write	VB	write
a	DT	a
commentary	NN	commentary
situating	VBG	<unknown>
the	DT	the
findings	NNS	finding
for	IN	for
scientists	NNS	scientist
,	,	,
right	RB	right
,	,	,
putting	VBG	put
in	IN	in
the	DT	the
references	NNS	reference
,	,	,
and	CC	and
we	PP	we
submit	VBP	submit
it	PP	it
to	TO	to
Biology	NN	biology
Letters	NP	Letters
.	SENT	.
And	CC	and
there	EX	there
,	,	,
it	PP	it
was	VBD	be
reviewed	VBN	review
by	IN	by
five	CD	five
independent	JJ	independent
referees	NNS	referee
,	,	,
and	CC	and
it	PP	it
was	VBD	be
published	VBN	publish
.	SENT	.
Okay	JJ	okay
?	SENT	?
It	PP	it
took	VBD	take
four	CD	four
months	NNS	month
to	TO	to
do	VB	do
the	DT	the
science	NN	science
,	,	,
two	CD	two
years	NNS	year
to	TO	to
get	VB	get
it	PP	it
published	VBN	publish
.	SENT	.
Typical	JJ	typical
science	NN	science
,	,	,
actually	RB	actually
,	,	,
right	RB	right
?	SENT	?
So	RB	so
this	DT	this
makes	VBZ	make
Amy	NP	Amy
and	CC	and
her	PP$	her
friends	NNS	friend
the	DT	the
youngest	JJS	young
published	JJ	published
scientists	NNS	scientist
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
What	WP	what
was	VBD	be
the	DT	the
feedback	NN	feedback
like	IN	like
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
was	VBD	be
published	VBN	publish
two	CD	two
days	NNS	day
before	IN	before
Christmas	NP	Christmas
,	,	,
downloaded	VBD	download
30	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
in	IN	in
the	DT	the
first	JJ	first
day	NN	day
,	,	,
right	RB	right
?	SENT	?
It	PP	it
was	VBD	be
the	DT	the
Editors	NNS	editor
'	POS	'
Choice	NN	choice
in	IN	in
Science	NP	Science
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
top	JJ	top
science	NN	science
magazine	NN	magazine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
forever	RB	forever
freely	RB	freely
accessible	JJ	accessible
by	IN	by
Biology	NN	biology
Letters	NP	Letters
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
paper	NN	paper
that	WDT	that
will	MD	will
ever	RB	ever
be	VB	be
freely	RB	freely
accessible	JJ	accessible
by	IN	by
this	DT	this
journal	NN	journal
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
it	PP	it
was	VBD	be
the	DT	the
second-most	JJ	second-most
downloaded	JJ	downloaded
paper	NN	paper
by	IN	by
Biology	NN	biology
Letters	NP	Letters
,	,	,
and	CC	and
the	DT	the
feedback	NN	feedback
from	IN	from
not	RB	not
just	RB	just
scientists	NNS	scientist
and	CC	and
teachers	NNS	teacher
but	CC	but
the	DT	the
public	NN	public
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
read	VBP	read
one	PP	one
.	SENT	.
"	``	"
I	PP	I
have	VBP	have
read	NN	read
'	POS	'
Blackawton	NP	<unknown>
Bees	NP	Bees
'	POS	'
recently	RB	recently
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
words	NNS	word
to	TO	to
explain	VB	explain
exactly	RB	exactly
how	WRB	how
I	PP	I
am	VBP	be
feeling	VBG	feel
right	RB	right
now	RB	now
.	SENT	.
What	WP	what
you	PP	you
guys	VBZ	guy
have	VBP	have
done	VBN	do
is	VBZ	be
real	JJ	real
,	,	,
true	JJ	true
and	CC	and
amazing	JJ	amazing
.	SENT	.
Curiosity	NN	curiosity
,	,	,
interest	NN	interest
,	,	,
innocence	NN	innocence
and	CC	and
zeal	NN	zeal
are	VBP	be
the	DT	the
most	RBS	most
basic	JJ	basic
and	CC	and
most	RBS	most
important	JJ	important
things	NNS	thing
to	TO	to
do	VB	do
science	NN	science
.	SENT	.
Who	WP	who
else	RB	else
can	MD	can
have	VB	have
these	DT	these
qualities	NNS	quality
more	RBR	more
than	IN	than
children	NNS	child
?	SENT	?
Please	UH	please
congratulate	VB	congratulate
your	PP$	your
children	NNS	child
'	POS	'
s	NN	S
team	NN	team
from	IN	from
my	PP$	my
side	NN	side
.	SENT	.
"	``	"
So	IN	so
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
conclude	VB	conclude
with	IN	with
a	DT	a
physical	JJ	physical
metaphor	NN	metaphor
.	SENT	.
Can	MD	can
I	PP	I
do	VB	do
it	PP	it
on	IN	on
you	PP	you
?	SENT	?
Oh	UH	oh
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
come	VB	come
on	RP	on
.	SENT	.
Yeah	RB	yeah
yeah	RB	yeah
.	SENT	.
Okay	JJ	okay
.	SENT	.
Now	RB	now
,	,	,
science	NN	science
is	VBZ	be
about	RB	about
taking	VBG	take
risks	NNS	risk
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
an	DT	an
incredible	JJ	incredible
risk	NN	risk
,	,	,
right	RB	right
?	SENT	?
For	IN	for
me	PP	me
,	,	,
not	RB	not
for	IN	for
him	PP	him
.	SENT	.
Right	RB	right
?	SENT	?
Because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
only	RB	only
done	VBN	do
this	DT	this
once	RB	once
before	RB	before
.	SENT	.
And	CC	and
you	PP	you
like	VBP	like
technology	NN	technology
,	,	,
right	RB	right
?	SENT	?
Shimon	NP	Shimon
Schocken	NP	Schocken
:	:	:
Right	RB	right
,	,	,
but	CC	but
I	PP	I
like	VBP	like
myself	PP	myself
.	SENT	.
BL	NP	BL
:	:	:
This	DT	this
is	VBZ	be
the	DT	the
epitome	NN	epitome
of	IN	of
technology	NN	technology
.	SENT	.
Right	RB	right
.	SENT	.
Okay	JJ	okay
.	SENT	.
Now	RB	now
.	SENT	.
.	SENT	.
.	SENT	.
Okay	JJ	okay
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
a	DT	a
little	JJ	little
demonstration	NN	demonstration
,	,	,
right	RB	right
?	SENT	?
You	PP	you
have	VBP	have
to	TO	to
close	VB	close
your	PP$	your
eyes	NNS	eye
,	,	,
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
point	VB	point
where	WRB	where
you	PP	you
hear	VBP	hear
me	PP	me
clapping	VBG	clap
.	SENT	.
All	DT	all
right	NN	right
?	SENT	?
Okay	RB	okay
,	,	,
how	WRB	how
about	RB	about
if	IN	if
everyone	NN	everyone
over	IN	over
there	EX	there
shouts	VBZ	shout
.	SENT	.
One	CD	one
,	,	,
two	CD	two
,	,	,
three	CD	three
?	SENT	?
Audience	NN	audience
:	:	:
Brilliant	JJ	brilliant
.	SENT	.
Now	RB	now
,	,	,
open	VB	open
your	PP$	your
eyes	NNS	eye
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
it	PP	it
one	CD	one
more	JJR	more
time	NN	time
.	SENT	.
Everyone	NN	everyone
over	IN	over
there	RB	there
shout	NN	shout
.	SENT	.
Where	WRB	where
'	POS	'
s	NNS	<unknown>
the	DT	the
sound	NN	sound
coming	VBG	come
from	IN	from
?	SENT	?
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
point	NN	point
?	SENT	?
The	DT	the
point	NN	point
is	VBZ	be
what	WP	what
science	NN	science
does	VBZ	do
for	IN	for
us	PP	us
.	SENT	.
Right	RB	right
?	SENT	?
We	PP	we
normally	RB	normally
walk	VBP	walk
through	IN	through
life	NN	life
responding	VBG	respond
,	,	,
but	CC	but
if	IN	if
we	PP	we
ever	RB	ever
want	VBP	want
to	TO	to
do	VB	do
anything	NN	anything
different	JJ	different
,	,	,
we	PP	we
have	VBP	have
to	TO	to
step	VB	step
into	IN	into
uncertainty	NN	uncertainty
.	SENT	.
When	WRB	when
he	PP	he
opened	VBD	open
his	PP$	his
eyes	NNS	eye
,	,	,
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
see	VB	see
the	DT	the
world	NN	world
in	IN	in
a	DT	a
new	JJ	new
way	NN	way
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
science	NN	science
offers	VBZ	offer
us	PP	us
.	SENT	.
It	PP	it
offers	VBZ	offer
the	DT	the
possibility	NN	possibility
to	TO	to
step	VB	step
on	IN	on
uncertainty	NN	uncertainty
through	IN	through
the	DT	the
process	NN	process
of	IN	of
play	NN	play
,	,	,
right	RB	right
?	SENT	?
Now	RB	now
,	,	,
true	JJ	true
science	NN	science
education	NN	education
I	PP	I
think	VBP	think
should	MD	should
be	VB	be
about	RB	about
giving	VBG	give
people	NNS	people
a	DT	a
voice	NN	voice
and	CC	and
enabling	VBG	enable
to	TO	to
express	VB	express
that	DT	that
voice	NN	voice
,	,	,
so	IN	so
I	PP	I
'	POS	'
ve	NN	ve
asked	VBD	ask
Amy	NP	Amy
to	TO	to
be	VB	be
the	DT	the
last	JJ	last
voice	NN	voice
in	IN	in
this	DT	this
short	JJ	short
story	NN	story
.	SENT	.
So	RB	so
,	,	,
Amy	NP	Amy
?	SENT	?
AO	NP	AO
:	:	:
This	DT	this
project	NN	project
was	VBD	be
really	RB	really
exciting	JJ	exciting
for	IN	for
me	PP	me
,	,	,
because	IN	because
it	PP	it
brought	VBD	bring
the	DT	the
process	NN	process
of	IN	of
discovery	NN	discovery
to	TO	to
life	NN	life
,	,	,
and	CC	and
it	PP	it
showed	VBD	show
me	PP	me
that	DT	that
anyone	NN	anyone
,	,	,
and	CC	and
I	PP	I
mean	VBP	mean
anyone	NN	anyone
,	,	,
has	VBZ	have
the	DT	the
potential	NN	potential
to	TO	to
discover	VB	discover
something	NN	something
new	JJ	new
,	,	,
and	CC	and
that	IN	that
a	DT	a
small	JJ	small
question	NN	question
can	MD	can
lead	VB	lead
into	IN	into
a	DT	a
big	JJ	big
discovery	NN	discovery
.	SENT	.
Changing	VBG	change
the	DT	the
way	NN	way
a	DT	a
person	NN	person
thinks	VBZ	think
about	IN	about
something	NN	something
can	MD	can
be	VB	be
easy	JJ	easy
or	CC	or
hard	JJ	hard
.	SENT	.
It	PP	it
all	RB	all
depends	VBZ	depend
on	IN	on
the	DT	the
way	NN	way
the	DT	the
person	NN	person
feels	VBZ	feel
about	RB	about
change	VB	change
.	SENT	.
But	CC	but
changing	VBG	change
the	DT	the
way	NN	way
I	PP	I
thought	VBD	think
about	RB	about
science	NN	science
was	VBD	be
surprisingly	RB	surprisingly
easy	JJ	easy
.	SENT	.
Once	RB	once
we	PP	we
played	VBD	play
the	DT	the
games	NNS	game
and	CC	and
then	RB	then
started	VBD	start
to	TO	to
think	VB	think
about	IN	about
the	DT	the
puzzle	NN	puzzle
,	,	,
I	PP	I
then	RB	then
realized	VBD	realize
that	IN	that
science	NN	science
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
a	DT	a
boring	JJ	boring
subject	NN	subject
,	,	,
and	CC	and
that	IN	that
anyone	NN	anyone
can	MD	can
discover	VB	discover
something	NN	something
new	JJ	new
.	SENT	.
You	PP	you
just	RB	just
need	VBP	need
an	DT	an
opportunity	NN	opportunity
.	SENT	.
My	PP$	my
opportunity	NN	opportunity
came	VBD	come
in	IN	in
the	DT	the
form	NN	form
of	IN	of
Beau	NP	Beau
,	,	,
and	CC	and
the	DT	the
Blackawton	NP	<unknown>
Bee	NP	Bee
Project	NP	Project
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
BL	NP	BL
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
