I	NP	I
Local	JJ	local
jihad	NN	jihad
,	,	,
if	IN	if
you	PP	you
ignore	VBP	ignore
it	PP	it
,	,	,
becomes	VBZ	become
global	JJ	global
jihad	NN	jihad
again	RB	again
.	SENT	.
The	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
that	IN	that
it	PP	it
doesn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
.	SENT	.
We	PP	we
know	VBP	know
how	WRB	how
to	TO	to
fight	VB	fight
it	PP	it
now	RB	now
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
tools	NNS	tool
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
knowhow	NN	knowhow
,	,	,
and	CC	and
we	PP	we
can	MD	can
take	VB	take
the	DT	the
lessons	NNS	lesson
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
from	IN	from
the	DT	the
fight	NN	fight
against	IN	against
global	JJ	global
jihad	NN	jihad
,	,	,
the	DT	the
victory	NN	victory
against	IN	against
global	JJ	global
jihad	NN	jihad
,	,	,
and	CC	and
apply	VB	apply
those	DT	those
to	TO	to
local	JJ	local
jihad	NN	jihad
.	SENT	.
What	WP	what
are	VBP	be
those	DT	those
lessons	NNS	lesson
?	SENT	?
We	PP	we
know	VBP	know
who	WP	who
killed	VBD	kill
bin	NN	bin
Laden	JJ	laden
:	:	:
SEAL	NN	seal
Team	NP	Team
Six	CD	six
.	SENT	.
Do	VB	do
we	PP	we
know	VBP	know
,	,	,
do	VBP	do
we	PP	we
understand	VB	understand
,	,	,
who	WP	who
killed	VBD	kill
bin	NN	bin
Ladenism	NN	<unknown>
?	SENT	?
Who	WP	who
ended	VBD	end
the	DT	the
global	JJ	global
jihad	NN	jihad
?	SENT	?
There	RB	there
lie	VB	lie
the	DT	the
answers	NNS	answer
to	TO	to
the	DT	the
solution	NN	solution
to	TO	to
local	JJ	local
jihad	NN	jihad
.	SENT	.
Who	WP	who
killed	VBD	kill
bin	NN	bin
Ladenism	NN	<unknown>
?	SENT	?
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
bin	NN	bin
Laden	VBN	lade
himself	PP	himself
.	SENT	.
He	PP	he
probably	RB	probably
thought	VBD	think
9	CD	@card@
/	SYM	/
11	CD	@card@
was	VBD	be
his	PP$	his
greatest	JJS	great
achievement	NN	achievement
.	SENT	.
In	IN	in
reality	NN	reality
,	,	,
it	PP	it
was	VBD	be
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
end	NN	end
for	IN	for
him	PP	him
.	SENT	.
He	PP	he
killed	VBD	kill
3	CD	@card@
,	,	,
000	CD	@card@
innocent	JJ	innocent
people	NNS	people
,	,	,
and	CC	and
that	IN	that
filled	VBN	fill
the	DT	the
Muslim	JJ	Muslim
world	NN	world
with	IN	with
horror	NN	horror
and	CC	and
revulsion	NN	revulsion
,	,	,
and	CC	and
what	WP	what
that	DT	that
meant	VBN	mean
was	VBD	be
that	IN	that
his	PP$	his
idea	NN	idea
of	IN	of
jihad	NN	jihad
could	MD	could
never	RB	never
become	VB	become
mainstream	NN	mainstream
.	SENT	.
He	PP	he
condemned	VBD	condemn
himself	PP	himself
to	TO	to
operating	VBG	operate
on	IN	on
the	DT	the
lunatic	JJ	lunatic
fringes	NNS	fringe
of	IN	of
his	PP$	his
own	JJ	own
community	NN	community
.	SENT	.
9	CD	@card@
/	SYM	/
11	CD	@card@
didn	NN	<unknown>
'	POS	'
t	NN	t
empower	VBP	empower
him	PP	him
;	:	;
it	PP	it
doomed	VBD	doom
him	PP	him
.	SENT	.
Who	WP	who
killed	VBD	kill
bin	NN	bin
Ladenism	NN	<unknown>
?	SENT	?
Abu	NP	Abu
Musab	NP	<unknown>
al-Zarqawi	NP	<unknown>
killed	VBD	kill
it	PP	it
.	SENT	.
He	PP	he
was	VBD	be
the	DT	the
especially	RB	especially
sadistic	JJ	sadistic
head	NN	head
of	IN	of
al	NP	al
Qaeda	NP	<unknown>
in	IN	in
Iraq	NP	Iraq
who	WP	who
sent	VBD	send
hundreds	NNS	hundred
of	IN	of
suicide	NN	suicide
bombers	NNS	bomber
to	TO	to
attack	VB	attack
not	RB	not
Americans	NNS	American
but	CC	but
Iraqis	NNS	Iraqi
.	SENT	.
Muslims	NPS	Muslims
.	SENT	.
Sunni	NP	Sunni
as	RB	as
well	RB	well
as	IN	as
Shiites	NPS	Shiites
.	SENT	.
Any	DT	any
claim	NN	claim
that	IN	that
al	NP	al
Qaeda	NP	<unknown>
had	VBD	have
to	TO	to
being	JJ	being
protectors	NNS	protector
of	IN	of
Islam	NP	Islam
against	IN	against
the	DT	the
Western	JJ	Western
crusaders	NNS	crusader
was	VBD	be
drowned	VBN	drown
in	IN	in
the	DT	the
blood	NN	blood
of	IN	of
Iraqi	JJ	Iraqi
Muslims	NNS	Muslim
.	SENT	.
Who	WP	who
killed	VBD	kill
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
?	SENT	?
The	DT	the
SEAL	NN	seal
Team	NP	Team
Six	CD	six
.	SENT	.
Who	WP	who
killed	VBD	kill
bin	NN	bin
Ladenism	NN	<unknown>
?	SENT	?
Al	NP	Al
Jazeera	NP	<unknown>
did	VBD	do
,	,	,
Al	NP	Al
Jazeera	NP	<unknown>
and	CC	and
half	PDT	half
a	DT	a
dozen	NN	dozen
other	JJ	other
satellite	NN	satellite
news	NN	news
stations	NNS	station
in	IN	in
Arabic	NP	Arabic
,	,	,
because	IN	because
they	PP	they
circumvented	VBD	circumvent
the	DT	the
old	JJ	old
,	,	,
state-owned	JJ	state-owned
television	NN	television
stations	NNS	station
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
countries	NNS	country
which	WDT	which
were	VBD	be
designed	VBN	design
to	TO	to
keep	VB	keep
information	NN	information
from	IN	from
people	NNS	people
.	SENT	.
Al	NP	Al
Jazeera	NP	<unknown>
brought	VBD	bring
information	NN	information
to	TO	to
them	PP	them
,	,	,
showed	VBD	show
them	PP	them
what	WP	what
was	VBD	be
being	VBG	be
said	VBN	say
and	CC	and
done	VBN	do
in	IN	in
the	DT	the
name	NN	name
of	IN	of
their	PP$	their
religion	NN	religion
,	,	,
exposed	VBD	expose
the	DT	the
hypocrisy	NN	hypocrisy
of	IN	of
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
and	CC	and
al	NP	al
Qaeda	NP	<unknown>
,	,	,
and	CC	and
allowed	VBD	allow
them	PP	them
,	,	,
gave	VBD	give
them	PP	them
the	DT	the
information	NN	information
that	WDT	that
allowed	VBD	allow
them	PP	them
to	TO	to
come	VB	come
to	TO	to
their	PP$	their
own	JJ	own
conclusions	NNS	conclusion
.	SENT	.
Who	WP	who
killed	VBD	kill
bin	NN	bin
Ladenism	NN	<unknown>
?	SENT	?
The	DT	the
Arab	NP	Arab
Spring	NP	Spring
did	VBD	do
,	,	,
because	IN	because
it	PP	it
showed	VBD	show
a	DT	a
way	NN	way
for	IN	for
young	JJ	young
Muslims	NNS	Muslim
to	TO	to
bring	VB	bring
about	IN	about
change	NN	change
in	IN	in
a	DT	a
manner	NN	manner
that	IN	that
Osama	NP	Osama
bin	VB	bin
Laden	JJ	laden
,	,	,
with	IN	with
his	PP$	his
limited	JJ	limited
imagination	NN	imagination
,	,	,
could	MD	could
never	RB	never
have	VB	have
conceived	VBN	conceive
.	SENT	.
Who	WP	who
defeated	VBD	defeat
the	DT	the
global	JJ	global
jihad	NN	jihad
?	SENT	?
The	DT	the
American	NP	American
military	NN	military
did	VBD	do
,	,	,
the	DT	the
American	JJ	American
soldiers	NNS	soldier
did	VBD	do
,	,	,
with	IN	with
their	PP$	their
allies	NNS	ally
,	,	,
fighting	VBG	fight
in	IN	in
faraway	JJ	faraway
battlefields	NNS	battlefield
.	SENT	.
And	CC	and
perhaps	RB	perhaps
,	,	,
a	DT	a
time	NN	time
will	MD	will
come	VB	come
when	WRB	when
they	PP	they
get	VBP	get
the	DT	the
rightful	JJ	rightful
credit	NN	credit
for	IN	for
it	PP	it
.	SENT	.
So	RB	so
all	PDT	all
these	DT	these
factors	NNS	factor
,	,	,
and	CC	and
many	RB	many
more	RBR	more
besides	RB	besides
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
even	RB	even
fully	RB	fully
understand	VB	understand
some	DT	some
of	IN	of
them	PP	them
yet	RB	yet
,	,	,
these	DT	these
came	VBD	come
together	RB	together
to	TO	to
defeat	VB	defeat
a	DT	a
monstrosity	NN	monstrosity
as	IN	as
big	JJ	big
as	IN	as
bin	NN	bin
Ladenism	NN	<unknown>
,	,	,
the	DT	the
global	JJ	global
jihad	NN	jihad
,	,	,
you	PP	you
needed	VBD	need
this	DT	this
group	NN	group
effort	NN	effort
.	SENT	.
Now	RB	now
,	,	,
not	RB	not
all	RB	all
of	IN	of
these	DT	these
things	NNS	thing
will	MD	will
work	VB	work
in	IN	in
local	JJ	local
jihad	NN	jihad
.	SENT	.
The	DT	the
American	JJ	American
military	NN	military
is	VBZ	be
not	RB	not
going	VBG	go
to	TO	to
march	VB	march
into	IN	into
Nigeria	NP	Nigeria
to	TO	to
take	VB	take
on	IN	on
Boko	NP	<unknown>
Haram	NP	<unknown>
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
unlikely	JJ	unlikely
that	IN	that
SEAL	NN	seal
Team	NP	Team
Six	CD	six
will	MD	will
rappel	VB	rappel
into	IN	into
the	DT	the
homes	NNS	home
of	IN	of
al	NP	al
Shabaab	NP	<unknown>
'	POS	'
s	NN	S
leaders	NNS	leader
and	CC	and
take	VB	take
them	PP	them
out	RP	out
.	SENT	.
But	CC	but
many	JJ	many
of	IN	of
these	DT	these
other	JJ	other
factors	NNS	factor
that	WDT	that
were	VBD	be
in	IN	in
play	NN	play
are	VBP	be
now	RB	now
even	RB	even
stronger	JJR	strong
than	IN	than
before	RB	before
.	SENT	.
Half	PDT	half
the	DT	the
work	NN	work
is	VBZ	be
already	RB	already
done	VBN	do
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
reinvent	VB	reinvent
the	DT	the
wheel	NN	wheel
.	SENT	.
The	DT	the
notion	NN	notion
of	IN	of
violent	JJ	violent
jihad	NN	jihad
in	IN	in
which	WDT	which
more	JJR	more
Muslims	NNS	Muslim
are	VBP	be
killed	VBN	kill
than	IN	than
any	DT	any
other	JJ	other
kind	NN	kind
of	IN	of
people	NNS	people
is	VBZ	be
already	RB	already
thoroughly	RB	thoroughly
discredited	VBN	discredit
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
go	VB	go
back	RB	back
to	TO	to
that	DT	that
.	SENT	.
Satellite	JJ	satellite
television	NN	television
and	CC	and
the	DT	the
Internet	NN	Internet
are	VBP	be
informing	VBG	inform
and	CC	and
empowering	VBG	empower
young	JJ	young
Muslims	NNS	Muslim
in	IN	in
exciting	JJ	exciting
new	JJ	new
ways	NNS	way
.	SENT	.
And	CC	and
the	DT	the
Arab	NP	Arab
Spring	NP	Spring
has	VBZ	have
produced	VBN	produce
governments	NNS	government
,	,	,
many	JJ	many
of	IN	of
them	PP	them
Islamist	NN	<unknown>
governments	NNS	government
,	,	,
who	WP	who
know	VBP	know
that	IN	that
,	,	,
for	IN	for
their	PP$	their
own	JJ	own
self-	NN	<unknown>
preservation	NN	preservation
,	,	,
they	PP	they
need	VBP	need
to	TO	to
take	VB	take
on	IN	on
the	DT	the
extremists	NNS	extremist
in	IN	in
their	PP$	their
midsts	NNS	midst
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
persuade	VB	persuade
them	PP	them
,	,	,
but	CC	but
we	PP	we
do	VBP	do
need	VB	need
to	TO	to
help	VB	help
them	PP	them
,	,	,
because	IN	because
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
really	RB	really
come	VBN	come
to	TO	to
this	DT	this
place	NN	place
before	RB	before
.	SENT	.
The	DT	the
good	JJ	good
news	NN	news
,	,	,
again	RB	again
,	,	,
is	VBZ	be
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
things	NNS	thing
they	PP	they
need	VBP	need
we	PP	we
already	RB	already
have	VBP	have
,	,	,
and	CC	and
we	PP	we
are	VBP	be
very	RB	very
good	JJ	good
at	IN	at
giving	VBG	give
:	:	:
economic	JJ	economic
assistance	NN	assistance
,	,	,
not	RB	not
just	RB	just
money	NN	money
,	,	,
but	CC	but
expertise	NN	expertise
,	,	,
technology	NN	technology
,	,	,
knowhow	NN	knowhow
,	,	,
private	JJ	private
investment	NN	investment
,	,	,
fair	JJ	fair
terms	NNS	term
of	IN	of
trade	NN	trade
,	,	,
medicine	NN	medicine
,	,	,
education	NN	education
,	,	,
technical	JJ	technical
support	NN	support
for	IN	for
training	NN	training
for	IN	for
their	PP$	their
police	NN	police
forces	NNS	force
to	TO	to
become	VB	become
more	RBR	more
effective	JJ	effective
,	,	,
for	IN	for
their	PP$	their
anti-terror	NN	anti-terror
forces	NNS	force
to	TO	to
become	VB	become
more	RBR	more
efficient	JJ	efficient
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
plenty	NN	plenty
of	IN	of
these	DT	these
things	NNS	thing
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
other	JJ	other
things	NNS	thing
that	IN	that
they	PP	they
need	VBP	need
we	PP	we
'	''	'
re	IN	re
not	RB	not
very	RB	very
good	JJ	good
at	IN	at
giving	VBG	give
.	SENT	.
Maybe	RB	maybe
nobody	NN	nobody
is	VBZ	be
.	SENT	.
Time	NN	time
,	,	,
patience	NN	patience
,	,	,
subtlety	NN	subtlety
,	,	,
understanding	VBG	understand
—	:	-
these	DT	these
are	VBP	be
harder	JJR	hard
to	TO	to
give	VB	give
.	SENT	.
I	PP	I
live	VBP	live
in	IN	in
New	NP	New
York	NP	York
now	RB	now
.	SENT	.
Just	RB	just
this	DT	this
week	NN	week
,	,	,
posters	NNS	poster
have	VBP	have
gone	VBN	go
up	RP	up
in	IN	in
subway	NN	subway
stations	NNS	station
in	IN	in
New	NP	New
York	NP	York
that	WDT	that
describe	VBP	describe
jihad	NN	jihad
as	IN	as
savage	NN	savage
.	SENT	.
But	CC	but
in	IN	in
all	PDT	all
the	DT	the
many	JJ	many
years	NNS	year
that	IN	that
I	PP	I
have	VBP	have
covered	VBN	cover
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
I	PP	I
have	VBP	have
never	RB	never
been	VBN	be
as	RB	as
optimistic	JJ	optimistic
as	IN	as
I	PP	I
am	VBP	be
today	NN	today
that	IN	that
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
Muslim	JJ	Muslim
world	NN	world
and	CC	and
the	DT	the
West	NP	West
is	VBZ	be
narrowing	VBG	narrow
fast	RB	fast
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
many	JJ	many
reasons	NNS	reason
for	IN	for
my	PP$	my
optimism	NN	optimism
is	VBZ	be
that	IN	that
,	,	,
because	IN	because
I	PP	I
know	VBP	know
there	EX	there
are	VBP	be
millions	NNS	million
,	,	,
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
people	NNS	people
,	,	,
Muslims	NNS	Muslim
like	VBP	like
that	IN	that
old	JJ	old
imam	NN	imam
in	IN	in
Tunis	NP	Tunis
,	,	,
who	WP	who
are	VBP	be
reclaiming	VBG	reclaim
this	DT	this
word	NN	word
and	CC	and
restoring	VBG	restore
to	TO	to
its	PP$	its
original	JJ	original
,	,	,
beautiful	JJ	beautiful
purpose	NN	purpose
.	SENT	.
Bin	NN	bin
Laden	JJ	laden
is	VBZ	be
dead	JJ	dead
.	SENT	.
Bin	NP	Bin
Ladenism	NP	<unknown>
has	VBZ	have
been	VBN	be
defeated	VBN	defeat
.	SENT	.
His	PP$	his
definition	NN	definition
of	IN	of
jihad	NN	jihad
can	MD	can
now	RB	now
be	VB	be
expunged	VBN	expunge
.	SENT	.
To	TO	to
that	DT	that
jihad	NN	jihad
we	PP	we
can	MD	can
say	VB	say
,	,	,
"	''	"
Goodbye	NN	goodbye
.	SENT	.
Good	JJ	good
riddance	NN	riddance
.	SENT	.
"	''	"
To	TO	to
the	DT	the
real	JJ	real
jihad	NN	jihad
we	PP	we
can	MD	can
say	VB	say
,	,	,
"	``	"
Welcome	VB	welcome
back	RB	back
.	SENT	.
Good	JJ	good
luck	NN	luck
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
