Philosophers philosopher
an an
investigative investigative
report report
by by
General general
Fay fay
, ,
says say
the the
system system
is be
guilty guilty
. .
In in
this this
report report
, ,
he he
says say
it it
was be
the the
environment environment
that that
created create
Abu abu
Ghraib ghraib
, ,
by by
leadership leadership
failures failure
that that
contributed contribute
to to
the the
occurrence occurrence
of of
such such
abuse abuse
, ,
and and
because because
it it
remained remain
undiscovered undiscovered
by by
higher high
authorities authority
for for
a a
long long
period period
of of
time time
. .
Those those
abuses abuse
went go
on on
for for
three three
months month
. .
Who who
was be
watching watch
the the
store store
? ?
The the
answer answer
is be
nobody nobody
, ,
I i
think think
on on
purpose purpose
. .
He he
gave give
the the
guards guard
permission permission
to to
do do
those those
things thing
, ,
and and
they they
knew know
nobody nobody
was be
ever ever
going go
to to
come come
down down
to to
that that
dungeon dungeon
. .
So so
you you
need need
a a
paradigm paradigm
shift shift
in in
all all
of of
these these
areas area
. .
The the
shift shift
is be
away away
from from
the the
medical medical
model model
that that
focuses focus
only only
on on
the the
individual individual
. .
The the
shift shift
is be
toward toward
a a
public public
health health
model model
that that
recognizes recognize
situational situational
and and
systemic systemic
vectors vector
of of
disease disease
. .
Bullying bully
is be
a a
disease disease
. .
Prejudice prejudice
is be
a a
disease disease
. .
Violence violence
is be
a a
disease disease
. .
Since since
the the
Inquisition inquisition
, ,
we we
' '
ve ve
been be
dealing deal
with with
problems problem
at at
the the
individual individual
level level
. .
It it
doesn doesn
' '
t t
work work
. .
Aleksandr aleksandr
Solzhenitsyn solzhenitsyn
says say
, ,
" "
The the
line line
between between
good good
and and
evil evil
cuts cut
through through
the the
heart heart
of of
every every
human human
being be
. .
" "
That that
means mean
that that
line line
is be
not not
out out
there there
. .
That that
' '
s s
a a
decision decision
that that
you you
have have
to to
make make
, ,
a a
personal personal
thing thing
. .
So so
I i
want want
to to
end end
very very
quickly quickly
on on
a a
positive positive
note note
. .
Heroism heroism
as as
the the
antidote antidote
to to
evil evil
, ,
by by
promoting promote
the the
heroic heroic
imagination imagination
, ,
especially especially
in in
our our
kids kid
, ,
in in
our our
educational educational
system system
. .
We we
want want
kids kid
to to
think think
, ,
" "
I i
' '
m m
a a
hero hero
in in
waiting wait
, ,
waiting wait
for for
the the
right right
situation situation
to to
come come
along along
, ,
and and
I i
will will
act act
heroically heroically
. .
My my
whole whole
life life
, ,
I i
' '
m m
now now
going go
to to
focus focus
away away
from from
evil evil
— -
that that
I i
' '
ve ve
been be
in in
since since
I i
was be
a a
kid kid
— -
to to
understanding understanding
heroes hero
. .
Banality banality
of of
heroism heroism
. .
It it
' '
s s
ordinary ordinary
people people
who who
do do
heroic heroic
deeds deed
. .
It it
' '
s s
the the
counterpoint counterpoint
to to
Hannah hannah
Arendt arendt
' '
s s
" "
Banality banality
of of
Evil evil
. .
" "
Our our
traditional traditional
societal societal
heroes hero
are be
wrong wrong
, ,
because because
they they
are be
the the
exceptions exception
. .
They they
organize organize
their their
life life
around around
this this
. .
That that
' '
s s
why why
we we
know know
their their
names name
. .
Our our
kids kid
' '
heroes hero
are be
also also
wrong wrong
models model
for for
them them
, ,
because because
they they
have have
supernatural supernatural
talents talent
. .
We we
want want
our our
kids kid
to to
realize realize
most most
heroes hero
are be
everyday everyday
people people
, ,
and and
the the
heroic heroic
act act
is be
unusual unusual
. .
This this
is be
Joe joe
Darby darby
. .
He he
was be
the the
one one
that that
stopped stop
those those
abuses abuse
you you
saw see
, ,
because because
when when
he he
saw see
those those
images image
, ,
he he
turned turn
them them
over over
to to
a a
senior senior
investigating investigate
officer officer
. .
He he
was be
a a
low-level low-level
private private
, ,
and and
that that
stopped stop
it it
. .
Was be
he he
a a
hero hero
? ?
No no
. .
They they
had have
to to
put put
him him
in in
hiding hiding
, ,
because because
people people
wanted want
to to
kill kill
him him
, ,
and and
then then
his his
mother mother
and and
his his
wife wife
. .
For for
three three
years year
, ,
they they
were be
in in
hiding hiding
. .
This this
is be
the the
woman woman
who who
stopped stop
the the
Stanford stanford
Prison prison
Study study
. .
When when
I i
said say
it it
got get
out out
of of
control control
, ,
I i
was be
the the
prison prison
superintendent superintendent
. .
I i
didn didn
' '
t t
know know
it it
was be
out out
of of
control control
. .
I i
was be
totally totally
indifferent indifferent
. .
She she
saw see
that that
madhouse madhouse
and and
said say
, ,
" "
You you
know know
what what
, ,
it it
' '
s s
terrible terrible
what what
you you
' '
re re
doing do
to to
those those
boys boy
. .
They they
' '
re re
not not
prisoners prisoner
nor nor
guards guard
, ,
they they
' '
re re
boys boy
, ,
and and
you you
are be
responsible responsible
. .
" "
And and
I i
ended end
the the
study study
the the
next next
day day
. .
The the
good good
news news
is be
I i
married marry
her her
the the
next next
year year
. .
I i
just just
came come
to to
my my
senses sense
, ,
obviously obviously
. .
So so
situations situation
have have
the the
power power
to to
do do
[ [
three three
things thing
] ]
. .
But but
the the
point point
is be
, ,
this this
is be
the the
same same
situation situation
that that
can can
inflame inflame
the the
hostile hostile
imagination imagination
in in
some some
of of
us us
, ,
that that
makes make
us us
perpetrators perpetrator
of of
evil evil
, ,
can can
inspire inspire
the the
heroic heroic
imagination imagination
in in
others other
. .
It it
' '
s s
the the
same same
situation situation
and and
you you
' '
re re
on on
one one
side side
or or
the the
other other
. .
Most most
people people
are be
guilty guilty
of of
the the
evil evil
of of
inaction inaction
, ,
because because
your your
mother mother
said say
, ,
" "
Don don
' '
t t
get get
involved involve
. .
Mind mind
your your
own own
business business
. .
" "
And and
you you
have have
to to
say say
, ,
" "
Mama mama
, ,
humanity humanity
is be
my my
business business
. .
" "
So so
the the
psychology psychology
of of
heroism heroism
is be
— -
we we
' '
re re
going go
to to
end end
in in
a a
moment moment
— -
how how
do do
we we
encourage encourage
children child
in in
new new
hero hero
courses course
, ,
that that
I i
' '
m m
working work
on on
with with
Matt matt
Langdon langdon
— -
he he
has have
a a
hero hero
workshop workshop
— -
to to
develop develop
this this
heroic heroic
imagination imagination
, ,
this this
self-labeling self-labeling
, ,
" "
I i
am be
a a
hero hero
in in
waiting wait
, ,
" "
and and
teach teach
them them
skills skill
. .
To to
be be
a a
hero hero
, ,
you you
have have
to to
learn learn
to to
be be
a a
deviant deviant
, ,
because because
you you
' '
re re
always always
going go
against against
the the
conformity conformity
of of
the the
group group
. .
Heroes hero
are be
ordinary ordinary
people people
whose whose
social social
actions action
are be
extraordinary extraordinary
. .
Who who
act act
. .
The the
key key
to to
heroism heroism
is be
two two
things thing
. .
You you
have have
to to
act act
when when
other other
people people
are be
passive passive
. .
B b
: :
You you
have have
to to
act act
socio-centrically socio-centrically
, ,
not not
egocentrically egocentrically
. .
And and
I i
want want
to to
end end
with with
a a
known know
story story
about about
Wesley wesley
Autrey autrey
, ,
New new
York york
subway subway
hero hero
. .
Fifty- fifty-
year-old year-old
African-American african-american
construction construction
worker worker
standing standing
on on
a a
subway subway
. .
A a
white white
guy guy
falls fall
on on
the the
tracks track
. .
The the
subway subway
train train
is be
coming come
. .
There there
' '
s s
75 @card@
people people
there there
. .
You you
know know
what what
? ?
They they
freeze freeze
. .
He he
' '
s s
got get
a a
reason reason
not not
to to
get get
involved involve
. .
He he
' '
s s
black black
, ,
the the
guy guy
' '
s s
white white
, ,
and and
he he
' '
s s
got get
two two
kids kid
. .
Instead instead
, ,
he he
gives give
his his
kids kid
to to
a a
stranger stranger
, ,
jumps jump
on on
the the
tracks track
, ,
puts put
the the
guy guy
between between
the the
tracks track
, ,
lays lay
on on
him him
, ,
the the
subway subway
goes go
over over
him him
. .
Wesley wesley
and and
the the
guy guy
— -
20 @card@
and and
a a
half half
inches inch
height height
. .
The the
train train
clearance clearance
is be
21 @card@
inches inch
. .
A a
half half
an an
inch inch
would would
have have
taken take
his his
head head
off off
. .
And and
he he
said say
, ,
" "
I i
did do
what what
anyone anyone
could could
do do
, ,
" "
no no
big big
deal deal
to to
jump jump
on on
the the
tracks track
. .
And and
the the
moral moral
imperative imperative
is be
" "
I i
did do
what what
everyone everyone
should should
do do
. .
" "
And and
so so
one one
day day
, ,
you you
will will
be be
in in
a a
new new
situation situation
. .
Take take
path path
one one
, ,
you you
' '
re re
going go
to to
be be
a a
perpetrator perpetrator
of of
evil evil
. .
Evil evil
, ,
meaning mean
you you
' '
re re
going go
to to
be be
Arthur arthur
Andersen andersen
. .
You you
' '
re re
going go
to to
cheat cheat
, ,
or or
you you
' '
re re
going go
to to
allow allow
bullying bully
. .
Path path
two two
, ,
you you
become become
guilty guilty
of of
the the
evil evil
of of
passive passive
inaction inaction
. .
Path path
three three
, ,
you you
become become
a a
hero hero
. .
The the
point point
is be
, ,
are be
we we
ready ready
to to
take take
the the
path path
to to
celebrating celebrate
ordinary ordinary
heroes hero
, ,
waiting wait
for for
the the
right right
situation situation
to to
come come
along along
to to
put put
heroic heroic
imagination imagination
into into
action action
? ?
Because because
it it
may may
only only
happen happen
once once
in in
your your
life life
, ,
and and
when when
you you
pass pass
it it
by by
, ,
you you
' '
ll ll
always always
know know
, ,
I i
could could
have have
been be
a a
hero hero
and and
I i
let let
it it
pass pass
me me
by by
. .
So so
the the
point point
is be
thinking think
it it
and and
then then
doing do
it it
. .
So so
I i
want want
to to
thank thank
you you
. .
Thank thank
you you
. .
Let let
' '
s s
oppose oppose
the the
power power
of of
evil evil
systems system
at at
home home
and and
abroad abroad
, ,
and and
let let
' '
s s
focus focus
on on
the the
positive positive
. .
Advocate advocate
for for
respect respect
of of
personal personal
dignity dignity
, ,
for for
justice justice
and and
peace peace
, ,
which which
sadly sadly
our our
administration administration
has have
not not
been be
doing do
. .
Thanks thanks
so so
much much
. .
