Welcome welcome
at at
ants ant
and and
their their
feet foot
, ,
because because
one one
of of
my my
other other
colleagues colleague
at at
Berkeley berkeley
has have
built build
a a
six-millimeter six-millimeter
silicone silicone
robot robot
with with
legs leg
. .
But but
it it
gets get
stuck stick
. .
It it
doesn doesn
' '
t t
move move
very very
well well
. .
But but
the the
ants ant
do do
, ,
and and
we we
' '
ll ll
figure figure
out out
why why
, ,
so so
that that
ultimately ultimately
we we
' '
ll ll
make make
this this
move move
. .
And and
imagine imagine
: :
you you
' '
re re
going go
to to
be be
able able
to to
have have
swarms swarm
of of
these these
six-millimeter six-millimeter
robots robot
available available
to to
run run
around around
. .
Where where
' '
s s
this this
going going
? ?
I i
think think
you you
can can
see see
it it
already already
. .
Clearly clearly
, ,
the the
Internet internet
is be
already already
having have
eyes eye
and and
ears ear
, ,
you you
have have
web web
cams cam
and and
so so
forth forth
. .
But but
it it
' '
s s
going go
to to
also also
have have
legs leg
and and
hands hand
. .
You you
' '
re re
going go
to to
be be
able able
to to
do do
programmable programmable
work work
through through
these these
kinds kind
of of
robots robot
, ,
so so
that that
you you
can can
run run
, ,
fly fly
and and
swim swim
anywhere anywhere
. .
We we
saw see
David david
Kelly kelly
is be
at at
the the
beginning beginning
of of
that that
with with
his his
fish fish
. .
So so
, ,
in in
conclusion conclusion
, ,
I i
think think
the the
message message
is be
clear clear
. .
If if
you you
need need
a a
message message
, ,
if if
nature nature
' '
s s
not not
enough enough
, ,
if if
you you
care care
about about
search search
and and
rescue rescue
, ,
or or
mine mine
clearance clearance
, ,
or or
medicine medicine
, ,
or or
the the
various various
things thing
we we
' '
re re
working work
on on
, ,
we we
must must
preserve preserve
nature nature
' '
s s
designs design
, ,
otherwise otherwise
these these
secrets secret
will will
be be
lost lose
forever forever
. .
Thank thank
you you
. .
