Interestingly	RB	interestingly
vitamin	NN	vitamin
D	NP	D
deficiency	NN	deficiency
,	,	,
from	IN	from
a	DT	a
lack	NN	lack
of	IN	of
ultraviolet	JJ	ultraviolet
B	NP	B
radiation	NN	radiation
,	,	,
is	VBZ	be
a	DT	a
major	JJ	major
problem	NN	problem
.	SENT	.
Vitamin	NN	vitamin
D	NP	D
deficiency	NN	deficiency
creeps	VBZ	creep
up	RP	up
on	IN	on
people	NNS	people
,	,	,
and	CC	and
causes	VBZ	cause
all	DT	all
sorts	NNS	sort
of	IN	of
health	NN	health
problems	NNS	problem
to	TO	to
their	PP$	their
bones	NNS	bone
,	,	,
to	TO	to
their	PP$	their
gradual	JJ	gradual
decay	NN	decay
of	IN	of
their	PP$	their
immune	JJ	immune
systems	NNS	system
,	,	,
or	CC	or
loss	NN	loss
of	IN	of
immune	JJ	immune
function	NN	function
,	,	,
and	CC	and
probably	RB	probably
some	DT	some
problems	NNS	problem
with	IN	with
their	PP$	their
mood	NN	mood
and	CC	and
health	NN	health
,	,	,
their	PP$	their
mental	JJ	mental
health	NN	health
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
,	,	,
in	IN	in
skin	NN	skin
pigmentation	NN	pigmentation
,	,	,
one	CD	one
of	IN	of
these	DT	these
wonderful	JJ	wonderful
products	NNS	product
of	IN	of
evolution	NN	evolution
that	WDT	that
still	RB	still
has	VBZ	have
consequences	NNS	consequence
for	IN	for
us	PP	us
today	NN	today
.	SENT	.
And	CC	and
the	DT	the
social	JJ	social
consequences	NNS	consequence
,	,	,
as	IN	as
we	PP	we
know	VBP	know
,	,	,
are	VBP	be
incredibly	RB	incredibly
profound	JJ	profound
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
a	DT	a
world	NN	world
where	WRB	where
we	PP	we
have	VBP	have
lightly	RB	lightly
and	CC	and
darkly	RB	darkly
pigmented	JJ	<unknown>
people	NNS	people
living	VBG	live
next	JJ	next
to	TO	to
one	CD	one
another	DT	another
,	,	,
but	CC	but
often	RB	often
brought	VBN	bring
into	IN	into
proximity	NN	proximity
initially	RB	initially
as	IN	as
a	DT	a
result	NN	result
of	IN	of
very	RB	very
invidious	JJ	invidious
social	JJ	social
interactions	NNS	interaction
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
we	PP	we
overcome	VB	overcome
this	DT	this
?	SENT	?
How	WRB	how
can	MD	can
we	PP	we
begin	VB	begin
to	TO	to
understand	VB	understand
it	PP	it
?	SENT	?
Evolution	NN	evolution
helps	VBZ	help
us	PP	us
.	SENT	.
200	CD	@card@
years	NNS	year
after	IN	after
Darwin	NP	Darwin
'	POS	'
s	NN	S
birthday	NN	birthday
,	,	,
we	PP	we
have	VBP	have
the	DT	the
first	JJ	first
moderately	RB	moderately
pigmented	VBN	<unknown>
President	NP	President
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
How	WRB	how
wonderful	JJ	wonderful
is	VBZ	be
that	RB	that
?	SENT	?
This	DT	this
man	NN	man
is	VBZ	be
significant	JJ	significant
for	IN	for
a	DT	a
whole	JJ	whole
host	NN	host
of	IN	of
reasons	NNS	reason
.	SENT	.
But	CC	but
we	PP	we
need	VBP	need
to	TO	to
think	VB	think
about	RB	about
how	WRB	how
he	PP	he
compares	VBZ	compare
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
his	PP$	his
pigmentation	NN	pigmentation
,	,	,
to	TO	to
other	JJ	other
people	NNS	people
on	IN	on
Earth	NP	Earth
.	SENT	.
He	PP	he
,	,	,
as	RB	as
one	CD	one
of	IN	of
many	JJ	many
urban	JJ	urban
admixed	VBN	admix
populations	NNS	population
,	,	,
is	VBZ	be
very	RB	very
emblematic	JJ	emblematic
of	IN	of
a	DT	a
mixed	JJ	mixed
parentage	NN	parentage
,	,	,
of	IN	of
a	DT	a
mixed	JJ	mixed
pigmentation	NN	pigmentation
.	SENT	.
And	CC	and
he	PP	he
resembles	VBZ	resemble
,	,	,
very	RB	very
closely	RB	closely
,	,	,
people	NNS	people
with	IN	with
moderate	JJ	moderate
levels	NNS	level
of	IN	of
pigmentation	NN	pigmentation
who	WP	who
live	VBP	live
in	IN	in
southern	JJ	southern
Africa	NP	Africa
,	,	,
or	CC	or
Southeast	NP	Southeast
Asia	NP	Asia
.	SENT	.
These	DT	these
people	NNS	people
have	VBP	have
a	DT	a
tremendous	JJ	tremendous
potential	NN	potential
to	TO	to
tan	VB	tan
,	,	,
to	TO	to
develop	VB	develop
more	JJR	more
pigment	NN	pigment
in	IN	in
their	PP$	their
skin	NN	skin
,	,	,
as	IN	as
a	DT	a
result	NN	result
of	IN	of
exposure	NN	exposure
to	TO	to
sun	NN	sun
.	SENT	.
They	PP	they
also	RB	also
run	VBP	run
the	DT	the
risk	NN	risk
of	IN	of
vitamin	NN	vitamin
D	NP	D
deficiency	NN	deficiency
,	,	,
if	IN	if
they	PP	they
have	VBP	have
desk	NN	desk
jobs	NNS	job
,	,	,
like	IN	like
that	DT	that
guy	NN	guy
.	SENT	.
So	RB	so
lets	VBZ	let
all	DT	all
wish	NN	wish
for	IN	for
his	PP$	his
great	JJ	great
health	NN	health
,	,	,
and	CC	and
his	PP$	his
awareness	NN	awareness
of	IN	of
his	PP$	his
own	JJ	own
skin	NN	skin
pigmentation	NN	pigmentation
.	SENT	.
Now	RB	now
what	WP	what
is	VBZ	be
wonderful	JJ	wonderful
about	IN	about
the	DT	the
evolution	NN	evolution
of	IN	of
human	JJ	human
skin	NN	skin
pigmentation	NN	pigmentation
,	,	,
and	CC	and
the	DT	the
phenomenon	NN	phenomenon
of	IN	of
pigmentation	NN	pigmentation
,	,	,
is	VBZ	be
that	IN	that
it	PP	it
is	VBZ	be
the	DT	the
demonstration	NN	demonstration
,	,	,
the	DT	the
evidence	NN	evidence
,	,	,
of	IN	of
evolution	NN	evolution
by	IN	by
natural	JJ	natural
selection	NN	selection
,	,	,
right	RB	right
on	IN	on
your	PP$	your
body	NN	body
.	SENT	.
When	WRB	when
people	NNS	people
ask	VBP	ask
you	PP	you
,	,	,
"	``	"
What	WP	what
is	VBZ	be
the	DT	the
evidence	NN	evidence
for	IN	for
evolution	NN	evolution
?	SENT	?
"	``	"
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
think	VB	think
about	IN	about
some	DT	some
exotic	JJ	exotic
examples	NNS	example
,	,	,
or	CC	or
fossils	NNS	fossil
.	SENT	.
You	PP	you
just	RB	just
have	VB	have
to	TO	to
look	VB	look
at	IN	at
your	PP$	your
skin	NN	skin
.	SENT	.
Darwin	NP	Darwin
,	,	,
I	PP	I
think	VBP	think
,	,	,
would	MD	would
have	VB	have
appreciated	VBN	appreciate
this	DT	this
,	,	,
even	RB	even
though	IN	though
he	PP	he
eschewed	VBD	eschew
the	DT	the
importance	NN	importance
of	IN	of
climate	NN	climate
on	IN	on
the	DT	the
evolution	NN	evolution
of	IN	of
pigmentation	NN	pigmentation
during	IN	during
his	PP$	his
own	JJ	own
life	NN	life
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
were	VBD	be
he	PP	he
able	JJ	able
to	TO	to
look	VB	look
at	IN	at
the	DT	the
evidence	NN	evidence
we	PP	we
have	VBP	have
today	NN	today
,	,	,
he	PP	he
would	MD	would
understand	VB	understand
it	PP	it
.	SENT	.
He	PP	he
would	MD	would
appreciate	VB	appreciate
it	PP	it
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
all	DT	all
,	,	,
he	PP	he
would	MD	would
teach	VB	teach
it	PP	it
.	SENT	.
You	PP	you
,	,	,
you	PP	you
can	MD	can
teach	VB	teach
it	PP	it
.	SENT	.
You	PP	you
can	MD	can
touch	VB	touch
it	PP	it
.	SENT	.
You	PP	you
can	MD	can
understand	VB	understand
it	PP	it
.	SENT	.
Take	VB	take
it	PP	it
out	RP	out
of	IN	of
this	DT	this
room	NN	room
.	SENT	.
Take	VB	take
your	PP$	your
skin	NN	skin
color	NN	color
,	,	,
and	CC	and
celebrate	VB	celebrate
it	PP	it
.	SENT	.
Spread	VB	spread
the	DT	the
word	NN	word
.	SENT	.
You	PP	you
have	VBP	have
the	DT	the
evolution	NN	evolution
of	IN	of
the	DT	the
history	NN	history
of	IN	of
our	PP$	our
species	NNS	specie
,	,	,
part	NN	part
of	IN	of
it	PP	it
,	,	,
written	VBN	write
in	IN	in
your	PP$	your
skin	NN	skin
.	SENT	.
Understand	VB	understand
it	PP	it
.	SENT	.
Appreciate	VB	appreciate
it	PP	it
.	SENT	.
Celebrate	VB	celebrate
it	PP	it
.	SENT	.
Go	VB	go
out	RP	out
.	SENT	.
Isn	NP	Isn
'	POS	'
t	NN	t
it	PP	it
beautiful	JJ	beautiful
?	SENT	?
Isn	NP	Isn
'	POS	'
t	NN	t
it	PP	it
wonderful	JJ	wonderful
?	SENT	?
You	PP	you
are	VBP	be
the	DT	the
products	NNS	product
of	IN	of
evolution	NN	evolution
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
