I	NP	I
asking	VBG	ask
for	IN	for
grapes	NNS	grape
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
a	DT	a
fight	NN	fight
and	CC	and
an	DT	an
argument	NN	argument
because	IN	because
—	:	-
"	``	"
I	PP	I
want	VBP	want
grapes	NNS	grape
.	SENT	.
"	''	"
"	``	"
I	PP	I
want	VBP	want
eneb	NN	<unknown>
.	SENT	.
"	``	"
I	PP	I
want	VBP	want
angur	NN	<unknown>
.	SENT	.
"	''	"
—	:	-
not	RB	not
knowing	VBG	know
that	IN	that
the	DT	the
word	NN	word
that	IN	that
they	PP	they
'	POS	'
re	NN	re
using	VBG	use
refers	VBZ	refer
to	TO	to
the	DT	the
same	JJ	same
reality	NN	reality
in	IN	in
different	JJ	different
languages	NNS	language
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
only	RB	only
one	CD	one
absolute	JJ	absolute
reality	NN	reality
by	IN	by
definition	NN	definition
,	,	,
one	CD	one
absolute	JJ	absolute
being	NN	being
by	IN	by
definition	NN	definition
,	,	,
because	IN	because
absolute	JJ	absolute
is	VBZ	be
,	,	,
by	IN	by
definition	NN	definition
,	,	,
single	JJ	single
,	,	,
and	CC	and
absolute	JJ	absolute
and	CC	and
singular	JJ	singular
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
absolute	JJ	absolute
concentration	NN	concentration
of	IN	of
being	VBG	be
,	,	,
the	DT	the
absolute	JJ	absolute
concentration	NN	concentration
of	IN	of
consciousness	NN	consciousness
,	,	,
awareness	NN	awareness
,	,	,
an	DT	an
absolute	JJ	absolute
locus	NN	locus
of	IN	of
compassion	NN	compassion
and	CC	and
love	NN	love
that	WDT	that
defines	VBZ	define
the	DT	the
primary	JJ	primary
attributes	NNS	attribute
of	IN	of
divinity	NN	divinity
.	SENT	.
And	CC	and
these	DT	these
should	MD	should
also	RB	also
be	VB	be
the	DT	the
primary	JJ	primary
attributes	NNS	attribute
of	IN	of
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
human	JJ	human
.	SENT	.
For	IN	for
what	WP	what
defines	VBZ	define
humanity	NN	humanity
,	,	,
perhaps	RB	perhaps
biologically	RB	biologically
,	,	,
is	VBZ	be
our	PP$	our
physiology	NN	physiology
,	,	,
but	CC	but
God	NP	God
defines	VBZ	define
humanity	NN	humanity
by	IN	by
our	PP$	our
spirituality	NN	spirituality
,	,	,
by	IN	by
our	PP$	our
nature	NN	nature
.	SENT	.
And	CC	and
the	DT	the
Koran	NP	Koran
says	VBZ	say
,	,	,
He	PP	he
speaks	VBZ	speak
to	TO	to
the	DT	the
angels	NNS	angel
and	CC	and
says	VBZ	say
,	,	,
"	``	"
When	WRB	when
I	PP	I
have	VBP	have
finished	VBN	finish
the	DT	the
formation	NN	formation
of	IN	of
Adam	NP	Adam
from	IN	from
clay	NN	clay
,	,	,
and	CC	and
breathed	VBD	breathe
into	IN	into
him	PP	him
of	IN	of
my	PP$	my
spirit	NN	spirit
,	,	,
then	RB	then
,	,	,
fall	NN	fall
in	IN	in
prostration	NN	prostration
to	TO	to
him	PP	him
.	SENT	.
"	``	"
The	DT	the
angels	NNS	angel
prostrate	VBP	prostrate
,	,	,
not	RB	not
before	IN	before
the	DT	the
human	JJ	human
body	NN	body
,	,	,
but	CC	but
before	IN	before
the	DT	the
human	JJ	human
soul	NN	soul
.	SENT	.
Why	WRB	why
?	SENT	?
Because	IN	because
the	DT	the
soul	NN	soul
,	,	,
the	DT	the
human	JJ	human
soul	NN	soul
,	,	,
embodies	VBZ	embody
a	DT	a
piece	NN	piece
of	IN	of
the	DT	the
divine	JJ	divine
breath	NN	breath
,	,	,
a	DT	a
piece	NN	piece
of	IN	of
the	DT	the
divine	JJ	divine
soul	NN	soul
.	SENT	.
This	DT	this
is	VBZ	be
also	RB	also
expressed	VBN	express
in	IN	in
biblical	JJ	biblical
vocabulary	NN	vocabulary
when	WRB	when
we	PP	we
are	VBP	be
taught	VBN	teach
that	IN	that
we	PP	we
were	VBD	be
created	VBN	create
in	IN	in
the	DT	the
divine	JJ	divine
image	NN	image
.	SENT	.
What	WP	what
is	VBZ	be
the	DT	the
imagery	NN	imagery
of	IN	of
God	NP	God
?	SENT	?
The	DT	the
imagery	NN	imagery
of	IN	of
God	NP	God
is	VBZ	be
absolute	JJ	absolute
being	NN	being
,	,	,
absolute	JJ	absolute
awareness	NN	awareness
and	CC	and
knowledge	NN	knowledge
and	CC	and
wisdom	NN	wisdom
and	CC	and
absolute	JJ	absolute
compassion	NN	compassion
and	CC	and
love	NN	love
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
for	IN	for
us	PP	us
to	TO	to
be	VB	be
human	JJ	human
—	:	-
in	IN	in
the	DT	the
greatest	JJS	great
sense	NN	sense
of	IN	of
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
human	JJ	human
,	,	,
in	IN	in
the	DT	the
most	RBS	most
joyful	JJ	joyful
sense	NN	sense
of	IN	of
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
human	JJ	human
—	:	-
means	VBZ	mean
that	IN	that
we	PP	we
too	RB	too
have	VB	have
to	TO	to
be	VB	be
proper	JJ	proper
stewards	NNS	steward
of	IN	of
the	DT	the
breath	NN	breath
of	IN	of
divinity	NN	divinity
within	IN	within
us	PP	us
,	,	,
and	CC	and
seek	VB	seek
to	TO	to
perfect	VB	perfect
within	IN	within
ourselves	PP	ourselves
the	DT	the
attribute	NN	attribute
of	IN	of
being	VBG	be
,	,	,
of	IN	of
being	VBG	be
alive	JJ	alive
,	,	,
of	IN	of
beingness	NN	<unknown>
;	:	;
the	DT	the
attribute	NN	attribute
of	IN	of
wisdom	NN	wisdom
,	,	,
of	IN	of
consciousness	NN	consciousness
,	,	,
of	IN	of
awareness	NN	awareness
;	:	;
and	CC	and
the	DT	the
attribute	NN	attribute
of	IN	of
being	VBG	be
compassionate	JJ	compassionate
and	CC	and
loving	JJ	loving
beings	NNS	being
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
I	PP	I
understand	VBP	understand
from	IN	from
my	PP$	my
faith	NN	faith
tradition	NN	tradition
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
understand	VBP	understand
from	IN	from
my	PP$	my
studies	NNS	study
of	IN	of
other	JJ	other
faith	NN	faith
traditions	NNS	tradition
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
common	JJ	common
platform	NN	platform
on	IN	on
which	WDT	which
we	PP	we
must	MD	must
all	RB	all
stand	VB	stand
,	,	,
and	CC	and
when	WRB	when
we	PP	we
stand	VBP	stand
on	IN	on
this	DT	this
platform	NN	platform
as	IN	as
such	JJ	such
,	,	,
I	PP	I
am	VBP	be
convinced	VBN	convince
that	IN	that
we	PP	we
can	MD	can
make	VB	make
a	DT	a
wonderful	JJ	wonderful
world	NN	world
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
,	,	,
personally	RB	personally
,	,	,
that	IN	that
we	PP	we
'	POS	'
re	NN	re
on	IN	on
the	DT	the
verge	NN	verge
and	CC	and
that	IN	that
,	,	,
with	IN	with
the	DT	the
presence	NN	presence
and	CC	and
help	VB	help
of	IN	of
people	NNS	people
like	IN	like
you	PP	you
here	RB	here
,	,	,
we	PP	we
can	MD	can
bring	VB	bring
about	IN	about
the	DT	the
prophecy	NN	prophecy
of	IN	of
Isaiah	NP	Isaiah
.	SENT	.
For	IN	for
he	PP	he
foretold	VBD	foretell
of	IN	of
a	DT	a
period	NN	period
when	WRB	when
people	NNS	people
shall	MD	shall
transform	VB	transform
their	PP$	their
swords	NNS	sword
into	IN	into
plowshares	NP	plowshares
and	CC	and
will	MD	will
not	RB	not
learn	VB	learn
war	NN	war
or	CC	or
make	VB	make
war	NN	war
anymore	RB	anymore
.	SENT	.
We	PP	we
have	VBP	have
reached	VBN	reach
a	DT	a
stage	NN	stage
in	IN	in
human	JJ	human
history	NN	history
that	IN	that
we	PP	we
have	VBP	have
no	DT	no
option	NN	option
:	:	:
we	PP	we
must	MD	must
,	,	,
we	PP	we
must	MD	must
lower	VB	lower
our	PP$	our
egos	NNS	ego
,	,	,
control	VB	control
our	PP$	our
egos	NNS	ego
—	:	-
whether	IN	whether
it	PP	it
is	VBZ	be
individual	JJ	individual
ego	NN	ego
,	,	,
personal	JJ	personal
ego	NN	ego
,	,	,
family	NN	family
ego	NN	ego
,	,	,
national	JJ	national
ego	NN	ego
—	:	-
and	CC	and
let	VB	let
all	DT	all
be	VB	be
for	IN	for
the	DT	the
glorification	NN	glorification
of	IN	of
the	DT	the
one	CD	one
.	SENT	.
Thank	VB	thank
you	PP	you
,	,	,
and	CC	and
God	NP	God
bless	VB	bless
you	PP	you
.	SENT	.
