Tyler	NP	Tyler
'	POS	'
ve	JJ	<unknown>
taken	VBN	take
millions	NNS	million
of	IN	of
breaths	NNS	breath
,	,	,
collectively	RB	collectively
,	,	,
and	CC	and
perhaps	RB	perhaps
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
witnessed	VBD	witness
any	DT	any
course	NN	course
changes	NNS	change
happening	VBG	happen
in	IN	in
our	PP$	our
lives	NNS	life
,	,	,
but	CC	but
we	PP	we
often	RB	often
miss	VBP	miss
the	DT	the
very	RB	very
subtle	JJ	subtle
changes	NNS	change
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
sometimes	RB	sometimes
we	PP	we
develop	VB	develop
grand	JJ	grand
concepts	NNS	concept
of	IN	of
what	WP	what
happiness	NN	happiness
might	MD	might
look	VB	look
like	IN	like
for	IN	for
us	PP	us
,	,	,
but	CC	but
that	IN	that
,	,	,
if	IN	if
we	PP	we
pay	VBP	pay
attention	NN	attention
,	,	,
we	PP	we
can	MD	can
see	VB	see
that	IN	that
there	EX	there
are	VBP	be
little	JJ	little
symbols	NNS	symbol
of	IN	of
happiness	NN	happiness
in	IN	in
every	DT	every
breath	NN	breath
that	IN	that
we	PP	we
take	VBP	take
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
,	,	,
every	DT	every
one	CD	one
of	IN	of
you	PP	you
who	WP	who
has	VBZ	have
come	VBN	come
here	RB	here
is	VBZ	be
so	RB	so
talented	JJ	talented
,	,	,
and	CC	and
you	PP	you
have	VBP	have
so	RB	so
much	JJ	much
to	TO	to
offer	VB	offer
to	TO	to
the	DT	the
world	NN	world
,	,	,
I	PP	I
think	VBP	think
it	PP	it
would	MD	would
be	VB	be
a	DT	a
good	JJ	good
note	NN	note
to	TO	to
conclude	VB	conclude
on	RP	on
then	RB	then
to	TO	to
just	RB	just
take	VB	take
a	DT	a
moment	NN	moment
to	TO	to
appreciate	VB	appreciate
how	WRB	how
fortunate	JJ	fortunate
we	PP	we
are	VBP	be
to	TO	to
have	VB	have
come	VBN	come
together	RB	together
in	IN	in
this	DT	this
way	NN	way
and	CC	and
exchanged	VBN	exchange
ideas	NNS	idea
and	CC	and
really	RB	really
form	VB	form
a	DT	a
strong	JJ	strong
aspiration	NN	aspiration
and	CC	and
energy	NN	energy
within	IN	within
ourselves	PP	ourselves
that	IN	that
we	PP	we
will	MD	will
take	VB	take
the	DT	the
good	NN	good
that	WDT	that
has	VBZ	have
come	VBN	come
from	IN	from
this	DT	this
conference	NN	conference
,	,	,
the	DT	the
momentum	NN	momentum
,	,	,
the	DT	the
positivity	NN	<unknown>
,	,	,
and	CC	and
we	PP	we
will	MD	will
spread	VB	spread
that	IN	that
and	CC	and
plant	VB	plant
it	PP	it
in	IN	in
all	DT	all
of	IN	of
the	DT	the
corners	NNS	corner
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
His	PP$	his
Holiness	NN	holiness
the	DT	the
Karmapa	NP	<unknown>
:	:	:
Tomorrow	NN	tomorrow
is	VBZ	be
my	PP$	my
Talk	NN	talk
.	SENT	.
TD	NP	TD
:	:	:
Lakshmi	NP	Lakshmi
has	VBZ	have
worked	VBN	work
incredibly	RB	incredibly
hard	JJ	hard
,	,	,
even	RB	even
in	IN	in
inviting	VBG	invite
me	PP	me
,	,	,
let	VB	let
alone	RB	alone
everything	NN	everything
else	RB	else
that	IN	that
she	PP	she
has	VBZ	have
done	VBN	do
to	TO	to
make	VB	make
this	DT	this
happen	VB	happen
,	,	,
and	CC	and
I	PP	I
was	VBD	be
somewhat	RB	somewhat
resistant	JJ	resistant
at	IN	at
times	NNS	time
,	,	,
and	CC	and
I	PP	I
was	VBD	be
also	RB	also
very	RB	very
nervous	JJ	nervous
throughout	IN	throughout
this	DT	this
week	NN	week
.	SENT	.
I	PP	I
was	VBD	be
feeling	VBG	feel
under	IN	under
the	DT	the
weather	NN	weather
and	CC	and
dizzy	JJ	dizzy
and	CC	and
so	RB	so
forth	RB	forth
,	,	,
and	CC	and
people	NNS	people
would	MD	would
ask	VB	ask
me	PP	me
,	,	,
why	WRB	why
.	SENT	.
I	PP	I
would	MD	would
tell	VB	tell
them	PP	them
,	,	,
"	''	"
It	PP	it
'	POS	'
s	NN	S
because	IN	because
I	PP	I
have	VBP	have
to	TO	to
talk	VB	talk
tomorrow	NN	tomorrow
.	SENT	.
"	''	"
And	CC	and
so	IN	so
Lakshmi	NP	Lakshmi
had	VBD	have
to	TO	to
put	VB	put
up	RP	up
with	IN	with
me	PP	me
through	IN	through
all	DT	all
of	IN	of
that	DT	that
,	,	,
but	CC	but
I	PP	I
very	RB	very
much	RB	much
appreciate	VB	appreciate
the	DT	the
opportunity	NN	opportunity
she	PP	she
'	POS	'
s	NN	S
given	VBN	give
me	PP	me
to	TO	to
be	VB	be
here	RB	here
.	SENT	.
And	CC	and
to	TO	to
you	PP	you
,	,	,
everyone	NN	everyone
,	,	,
thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
HH	NP	HH
:	:	:
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
