Catherine catherine
especially especially
to to
, ,
you you
know know
, ,
lower-emission lower-emission
countries country
don don
' '
t t
exist exist
. .
These these
are be
the the
countries country
that that
need need
to to
grow grow
and and
growth growth
needs need
energy energy
. .
That that
energy energy
does do
not not
have have
to to
come come
from from
fossil fossil
fuels fuel
. .
CA ca
: :
We we
often often
speak speak
with with
the the
acceptance acceptance
of of
this this
tautology tautology
that that
no no
country country
has have
ever ever
developed develop
without without
the the
use use
of of
fossil fossil
fuels fuel
. .
But but
that that
' '
s s
not not
the the
whole whole
truth truth
, ,
right right
? ?
The the
whole whole
truth truth
is be
that that
no no
country country
has have
developed develop
without without
the the
use use
of of
fossil fossil
fuels fuel
yet yet
. .
LT lt
: :
You you
have have
to to
really really
invest invest
in in
the the
future future
of of
these these
low-income low-income
countries country
. .
And and
access access
to to
energy energy
, ,
really really
looking look
at at
the the
poorest poor
households household
in in
all all
the the
region region
is be
really really
an an
important important
thing thing
. .
If if
not not
, ,
the the
transition transition
will will
always always
appear appear
very very
unfair unfair
. .
MR mr
: :
The the
World world
Bank bank
hasn hasn
' '
t t
been be
doing do
enough enough
to to
provide provide
that that
more more
concessional concessional
finance finance
that that
brings bring
in in
private-sector private-sector
financing financing
and and
that that
, ,
you you
know know
, ,
really really
looks look
at at
what what
are be
the the
projects project
that that
are be
ready ready
for for
investment investment
and and
takes take
risks risk
because because
it it
' '
s s
really really
important important
to to
have have
a a
sense sense
that that
Africa africa
is be
part part
of of
the the
clean clean
energy energy
going go
forward forward
. .
LL ll
: :
Global global
finance finance
isn isn
' '
t t
flowing flow
at at
scale scale
where where
it it
' '
s s
needed need
most most
. .
How how
do do
we we
change change
that that
? ?
Here here
' '
s s
Zoë zoë
Knight knight
of of
the the
HSBC hsbc
Center center
for for
Sustainable sustainable
Finance finance
to to
explain explain
two two
major major
roles role
that that
banks bank
could could
play play
. .
ZK zk
: :
So so
the the
most most
immediate immediate
, ,
pressing press
task task
that that
we we
have have
is be
to to
finance finance
the the
transition transition
, ,
right right
? ?
And and
banks bank
are be
mission-critical mission-critical
to to
making make
that that
happen happen
. .
And and
the the
reason reason
for for
that that
is be
because because
we we
have have
two two
very very
powerful powerful
levers lever
. .
The the
first first
is be
really really
to to
take take
environmental environmental
impact impact
into into
account account
in in
the the
financing financing
decisions decision
that that
we we
take take
, ,
and and
we we
' '
re re
working work
on on
that that
. .
And and
the the
second second
is be
to to
really really
actively actively
engage engage
with with
the the
governments government
that that
we we
finance finance
, ,
the the
state-owned state-owned
corporates corporate
that that
we we
finance finance
and and
really really
work work
through through
how how
they they
can can
deliver deliver
their their
transition transition
plan plan
. .
So so
if if
we we
think think
about about
the the
next next
10 @card@
to to
15 @card@
years year
, ,
the the
industrial industrial
landscape landscape
is be
going go
to to
look look
very very
different different
than than
it it
does do
from from
today today
, ,
particularly particularly
in in
the the
case case
of of
energy energy
. .
And and
we we
know know
that that
that that
' '
s s
taking take
trillions trillion
of of
investment investment
to to
make make
the the
shift shift
. .
We we
need need
a a
trillion trillion
per per
year year
by by
the the
end end
of of
the the
decade decade
to to
have have
half half
a a
semblance semblance
of of
being be
on on
track track
for for
net net
zero zero
. .
And and
let let
me me
be be
clear clear
, ,
one one
of of
the the
things thing
that that
the the
financial financial
system system
absolutely absolutely
has have
to to
do do
is be
enable enable
a a
science-aligned science-aligned
phase phase
down down
of of
the the
financing financing
of of
fossil fossil
fuels fuel
. .
We we
have have
to to
do do
that that
. .
But but
equally equally
, ,
we we
need need
to to
channel channel
the the
capital capital
that that
is be
being be
generated generate
from from
the the
oil oil
and and
gas gas
industry industry
for for
good good
purpose purpose
because because
we we
need need
the the
know-how know-how
of of
the the
sector sector
and and
we we
need need
to to
make make
capital capital
move move
in in
a a
way way
that that
' '
s s
necessary necessary
. .
So so
think think
about about
this this
. .
The the
International international
Monetary monetary
Fund fund
has have
just just
estimated estimate
that that
the the
Middle middle
East east
oil oil
and and
gas gas
companies company
will will
generate generate
an an
incremental incremental
1 @card@
. .
3 @card@
trillion trillion
[ [
dollars dollar
] ]
in in
revenues revenue
over over
the the
next next
four four
years year
. .
The the
banks bank
and and
financiers financier
can can
help help
move move
that that
money money
into into
renewables renewables
in in
a a
way way
that that
will will
make make
us us
achieve achieve
the the
net-zero net-zero
ambition ambition
much much
, ,
much much
faster faster
. .
DB db
: :
In in
any any
discussion discussion
on on
this this
topic topic
, ,
it it
' '
s s
easy easy
to to
get get
lost lose
in in
the the
argument argument
or or
focus focus
entirely entirely
on on
the the
end end
goal goal
. .
What what
' '
s s
also also
critical critical
is be
that that
we we
need need
more more
planning planning
to to
get get
us us
off off
fossil fossil
fuels fuel
rapidly rapidly
and and
without without
major major
disruptions disruption
that that
might might
undermine undermine
confidence confidence
in in
the the
energy energy
transition transition
itself itself
. .
Here here
' '
s s
engineer engineer
and and
environmental environmental
sociologist sociologist
Emily emily
Grubert grubert
. .
EG eg
: :
If if
we we
succeed succeed
at at
reaching reach
international international
climate climate
goals goal
, ,
the the
fossil fossil
fuel fuel
infrastructure infrastructure
systems system
that that
support support
about about
80 @card@
percent percent
of of
global global
energy energy
consumption consumption
will will
mostly mostly
, ,
if if
not not
entirely entirely
, ,
retire retire
over over
the the
next next
few few
decades decade
. .
What what
I i
' '
m m
talking talk
about about
is be
big big
infrastructure infrastructure
like like
power power
plants plant
and and
refineries refinery
, ,
but but
it it
' '
s s
also also
things thing
like like
gas gas
stations station
and and
people people
' '
s s
cars car
, ,
stoves stove
and and
furnaces furnace
. .
Fossil fossil
fuel fuel
infrastructure infrastructure
is be
a a
complex complex
network network
of of
high-hazard high-hazard
industries industry
that that
need need
to to
be be
able able
to to
continue continue
to to
operate operate
safely safely
until until
the the
new new
system system
is be
completely completely
ready ready
to to
take take
over over
, ,
including include
during during
emergencies emergency
complicated complicate
by by
climate climate
change change
. .
Just just
letting let
these these
systems system
go go
away away
would would
be be
deeply deeply
disruptive disruptive
and and
hazardous hazardous
. .
We we
' '
d d
expect expect
disproportionate disproportionate
harm harm
to to
overburdened overburden
and and
underserved underserv
communities community
who who
can can
' '
t t
opt opt
out out
from from
skyrocketing skyrocket
prices price
, ,
abandoned abandon
remediation remediation
plans plan
and and
declining decline
access access
to to
energy energy
services service
. .
This this
means mean
ongoing ongoing
fossil fossil
expenditures expenditure
and and
a a
reliance reliance
on on
highly-trained highly-trained
workers worker
in in
industries industry
that that
might might
not not
outlast outlast
their their
careers career
-- --
with with
a a
simultaneous simultaneous
focus focus
on on
phasing phase
out out
these these
same same
industries industry
as as
quickly quickly
as as
possible possible
to to
address address
climate climate
change change
and and
a a
host host
of of
other other
environmental environmental
injustices injustice
. .
This this
is be
why why
we we
need need
to to
plan plan
. .
And and
right right
now now
, ,
there there
' '
s s
basically basically
nowhere nowhere
in in
the the
world world
where where
these these
urgently urgently
needed need
plans plan
for for
phasing phase
out out
the the
fossil fossil
system system
while while
phasing phase
in in
the the
clean clean
energy energy
system system
exist exist
. .
When when
we we
talk talk
about about
climate climate
goals goal
, ,
the the
question question
I i
like like
to to
ask ask
is be
: :
If if
we we
actually actually
believed believe
we we
were be
going go
to to
succeed succeed
, ,
what what
would would
we we
need need
to to
be be
doing do
right right
now now
? ?
One one
strategy strategy
here here
is be
to to
set set
deadlines deadline
for for
fossil fossil
asset asset
retirements retirement
. .
Ample ample
notice notice
, ,
say say
, ,
a a
decade decade
, ,
gives give
communities community
enough enough
time time
to to
create create
and and
implement implement
plans plan
, ,
and and
a a
legislated legislate
end end
date date
gives give
people people
enough enough
confidence confidence
to to
commit commit
to to
what what
can can
be be
an an
intense intense
process process
. .
I i
showed show
that that
in in
the the
United united
States states
, ,
requiring require
all all
fossil fossil
fuel-fired fuel-fired
power power
generators generator
to to
close close
by by
2035 @card@
, ,
which which
is be
President president
Biden biden
' '
s s
power power
sector sector
decarbonization decarbonization
target target
, ,
would would
actually actually
allow allow
the the
large large
majority majority
of of
them them
to to
meet meet
or or
exceed exceed
a a
typical typical
lifespan lifespan
, ,
potentially potentially
giving give
communities community
some some
confidence confidence
that that
these these
deadlines deadline
are be
manageable manageable
. .
That that
is be
what what
earns earn
and and
maintains maintain
trust trust
. .
Not not
far-off far-off
emissions emission
targets target
with with
vague vague
implementation implementation
plans plan
. .
The the
alternative alternative
of of
unplanned unplanned
transitions transition
is be
unacceptable unacceptable
but but
common common
. .
Planning plan
the the
transition transition
is be
an an
ethical ethical
responsibility responsibility
that that
takes take
time time
but but
also also
creates create
opportunities opportunity
to to
implement implement
a a
just just
and and
sustainable sustainable
future future
that that
corrects correct
the the
harms harm
of of
the the
past past
. .
Collaboration collaboration
and and
a a
laser-like laser-like
focus focus
on on
ensuring ensure
people people
have have
what what
we we
need need
to to
succeed succeed
through through
this this
transition transition
will will
be be
critical critical
, ,
particularly particularly
as as
the the
transition transition
collides collide
with with
climate climate
tragedies tragedy
. .
What what
would would
we we
do do
now now
if if
we we
believed believe
we we
' '
d d
succeed succeed
? ?
Manish manish
Bhardwaj bhardwaj
: :
Emily emily
Grubert grubert
said say
something something
which which
I i
' '
m m
going go
to to
, ,
really really
sort sort
of of
, ,
take take
away away
, ,
maybe maybe
even even
teach teach
: :
that that
plans plan
build build
trust trust
. .
Promises promise
, ,
you you
may may
not not
believe believe
mine mine
, ,
I i
might might
not not
believe believe
yours yours
, ,
but but
if if
we we
put put
something something
down down
, ,
this this
is be
what what
we we
are be
going go
to to
do do
year year
after after
year year
, ,
then then
I i
think think
that that
can can
build build
trust trust
. .
I i
think think
that that
' '
s s
just just
a a
beautiful beautiful
thing thing
that that
I i
' '
m m
carrying carry
away away
from from
her her
. .
LL ll
: :
Emily emily
challenged challenge
us us
to to
act act
like like
we we
' '
re re
going go
to to
succeed succeed
. .
Ramez ramez
Naam naam
, ,
a a
technologist technologist
and and
entrepreneur entrepreneur
, ,
believes believe
we we
have have
a a
real real
shot shot
at at
it it
. .
Renewables renewables
are be
plummeting plummet
in in
price price
, ,
and and
there there
' '
s s
opportunity opportunity
to to
increase increase
their their
share share
around around
the the
world world
if if
we we
get get
out out
of of
the the
way way
of of
progress progress
. .
Here here
' '
s s
some some
of of
his his
talk talk
. .
RN rn
: :
Clean clean
energy energy
will will
win win
on on
cost cost
definitively definitively
, ,
but but
only only
if if
we we
get get
out out
of of
the the
way way
and and
allow allow
it it
to to
be be
built build
. .
Let let
' '
s s
focus focus
on on
that that
first first
point point
. .
Let let
' '
s s
look look
at at
the the
cost cost
of of
clean clean
energy energy
technology technology
. .
In in
1975 @card@
, ,
if if
you you
were be
buying buy
a a
solar solar
panel panel
per per
watt watt
of of
power power
that that
it it
produced produce
, ,
it it
would would
cost cost
you you
100 @card@
US us
dollars dollar
. .
By by
2020 @card@
, ,
that that
cost cost
had have
declined decline
to to
20 @card@
cents cent
per per
watt watt
of of
power power
. .
That that
' '
s s
a a
500-fold 500-fold
decline decline
. .
This this
is be
unlike unlike
anything anything
else else
ever ever
seen see
in in
energy energy
. .
It it
is be
unlike unlike
anything anything
else else
ever ever
seen see
in in
physical physical
infrastructure infrastructure
. .
And and
it it
continues continue
today today
, ,
and and
it it
is be
likely likely
to to
continue continue
for for
decades decade
to to
come come
. .
Now now
, ,
this this
has have
surprised surprise
the the
leading lead
experts expert
on on
clean clean
energy energy
and and
even even
the the
biggest big
optimists optimist
on on
the the
future future
of of
clean clean
energy energy
. .
We we
' '
ve ve
seen see
the the
cost cost
of of
batteries battery
that that
power power
our our
electric electric
vehicles vehicle
and and
grid grid
energy energy
storage storage
drop drop
at at
the the
same same
pace pace
or or
faster fast
than than
the the
pace pace
of of
solar solar
. .
And and
we we
are be
just just
at at
the the
very very
beginning beginning
of of
an an
exponential exponential
cost cost
decline decline
in in
the the
cost cost
of of
using use
clean clean
electricity electricity
to to
make make
hydrogen hydrogen
and and
other other
fuels fuel
that that
we we
can can
use use
to to
power power
industry industry
, ,
to to
provide provide
weeks week
or or
months month
of of
storage storage
on on
the the
grid grid
and and
to to
provide provide
fuels fuel
we we
can can
use use
for for
aviation aviation
, ,
for for
shipping ship
and and
so so
on on
. .
Clean clean
energy energy
technologies technology
are be
technologies technology
, ,
and and
they they
drop drop
in in
cost cost
like like
technology technology
. .
As as
they they
are be
scaled scale
, ,
they they
come come
down down
in in
price price
. .
Meanwhile meanwhile
, ,
fossil fossil
fuels fuel
are be
commodities commodity
, ,
and and
fossil fossil
fuel fuel
prices price
fluctuate fluctuate
over over
time time
. .
But but
there there
' '
s s
two two
barriers barrier
I i
want want
to to
talk talk
about about
in in
particular particular
, ,
which which
are be
the the
reluctance reluctance
to to
build build
-- --
not not
in in
my my
backyard backyard
-- --
and and
the the
challenges challenge
with with
permitting permit
. .
Because because
we we
look look
at at
renewables renewables
and and
a a
common common
complaint complaint
is be
they they
take take
up up
too too
much much
land land
. .
All all
of of
us us
want want
clean clean
energy energy
infrastructure infrastructure
, ,
but but
many many
of of
us us
don don
' '
t t
want want
it it
in in
our our
backyard backyard
. .
In in
winter winter
you you
have have
one-seventh one-seventh
the the
solar solar
resource resource
in in
the the
UK uk
that that
you you
have have
in in
summer summer
. .
You you
have have
one-sixth one-sixth
the the
solar solar
resource resource
in in
Germany germany
that that
you you
have have
in in
summer summer
. .
So so
every every
model model
, ,
every every
simulation simulation
of of
weather weather
and and
energy energy
demand demand
shows show
this this
. .
It it
shows show
that that
if if
you you
want want
to to
have have
the the
highest high
reliability reliability
grid grid
at at
the the
lowest low
cost cost
with with
the the
least least
carbon carbon
emissions emission
and and
the the
most most
clean clean
energy energy
deployment deployment
, ,
you you
want want
to to
build build
a a
continent-sized continent-sized
grid grid
. .
In in
China china
, ,
the the
bulk bulk
of of
energy energy
demand demand
is be
on on
the the
East east
Coast coast
, ,
yet yet
the the
greatest great
solar solar
resources resource
and and
wind wind
resources resource
are be
in in
the the
interior interior
. .
And and
China china
is be
building build
literally literally
scores score
of of
high-voltage high-voltage
power power
lines line
that that
transmit transmit
power power
from from
where where
the the
sun sun
and and
wind wind
are be
to to
the the
coasts coast
, ,
where where
the the
energy energy
demand demand
is be
. .
And and
the the
longest long
of of
these these
lines line
right right
now now
, ,
that that
Ürümqi ürümqi
to to
Shanghai shanghai
line line
, ,
is be
3 @card@
, ,
400 @card@
kilometers kilometer
long long
. .
It it
is be
90 @card@
percent percent
efficient efficient
, ,
very very
low low
losses loss
, ,
and and
it it
adds add
maybe maybe
a a
penny penny
or or
two two
to to
the the
cost cost
of of
electricity electricity
. .
That that
' '
s s
what what
' '
s s
technically technically
feasible feasible
with with
current current
technology technology
, ,
let let
alone alone
advances advance
. .
In in
Europe europe
, ,
that that
would would
allow allow
us us
to to
transmit transmit
electricity electricity
from from
Seville seville
to to
Copenhagen copenhagen
. .
To to
bring bring
power power
from from
the the
North north
Sea sea
to to
anywhere anywhere
in in
the the
continent continent
that that
needs need
it it
. .
In in
my my
home home
country country
, ,
the the
United united
States states
, ,
we we
could could
bring bring
power power
from from
the the
sunny sunny
, ,
wide wide
open open
areas area
of of
New new
Mexico mexico
to to
population population
and and
land-dense land-dense
New new
York york
, ,
which which
doesn doesn
' '
t t
get get
so so
much much
sun sun
. .
And and
we we
could could
take take
wind wind
power power
from from
the the
Great great
Plains plains
, ,
that that
are be
largely largely
devoid devoid
of of
population population
, ,
and and
bring bring
it it
to to
the the
coasts coast
in in
winter winter
. .
That that
is be
what what
a a
modern modern
grid grid
looks look
like like
. .
And and
yet yet
we we
are be
not not
building build
this this
. .
It it
is be
time time
for for
us us
to to
build build
. .
DB db
: :
With with
technology technology
advancing advance
as as
fast fast
as as
it it
is be
, ,
there there
' '
s s
certainly certainly
hope hope
that that
we we
can can
meet meet
our our
energy energy
transition transition
goals goal
, ,
and and
there there
are be
ways way
to to
ensure ensure
that that
everyone everyone
benefits benefit
in in
this this
transition transition
. .
But but
it it
' '
s s
going go
to to
be be
challenging challenging
. .
LL ll
: :
There there
' '
s s
no no
shortage shortage
of of
ideas idea
, ,
but but
time time
is be
running run
out out
, ,
making make
it it
all all
the the
more more
critical critical
to to
collaborate collaborate
with with
urgency urgency
and and
resolve resolve
this this
fundamental fundamental
dilemma dilemma
. .
Here here
, ,
again again
, ,
are be
some some
leading lead
voices voice
on on
how how
we we
get get
there there
. .
MR mr
: :
We we
all all
need need
to to
do do
three three
things thing
. .
We we
need need
to to
make make
the the
climate climate
crisis crisis
very very
personal personal
in in
our our
lives life
, ,
change change
our our
habits habit
a a
bit bit
as as
a a
result result
. .
Secondly secondly
, ,
we we
need need
to to
get get
angry angry
about about
those those
who who
aren aren
' '
t t
doing do
enough enough
. .
And and
thirdly thirdly
, ,
we we
need need
to to
imagine imagine
this this
world world
that that
is be
round around
the the
corner corner
. .
ZK zk
: :
Every every
year year
I i
can can
see see
more more
focus focus
from from
different different
actors actor
that that
are be
needed need
to to
be be
part part
of of
the the
solution solution
. .
LT lt
: :
Renewable renewable
energy energy
is be
a a
good good
business business
in in
many many
places place
. .
HM hm
: :
There there
is be
a a
strong strong
business business
case case
for for
it it
. .
It it
makes make
investment investment
sense sense
. .
HL hl
: :
China china
is be
adding add
an an
astonishing astonishing
amount amount
of of
wind wind
and and
solar solar
to to
its its
grid grid
every every
year year
. .
RN rn
: :
It it
' '
s s
cheaper cheap
to to
build build
a a
new new
solar solar
or or
wind wind
farm farm
than than
it it
is be
to to
put put
fuel fuel
into into
a a
natural natural
gas gas
plant plant
or or
a a
coal coal
plant plant
. .
TB tb
: :
Our our
job job
has have
to to
be be
to to
make make
sure sure
that that
politicians politician
know know
that that
they they
' '
re re
going go
to to
have have
the the
support support
that that
they they
need need
for for
the the
hard hard
policies policy
. .
LN ln
: :
We we
need need
people people
to to
get get
on on
board board
in in
a a
fight fight
for for
climate climate
justice justice
. .
And and
this this
means mean
getting get
people people
on on
board board
that that
have have
never never
spoken speak
to to
each each
other other
before before
and and
that that
have have
always always
disagreed disagree
. .
MB mb
: :
Even even
at at
this this
conference conference
, ,
you you
will will
meet meet
people people
and and
you you
expect expect
them them
to to
have have
very very
particular particular
sort sort
of of
, ,
polar polar
stance stance
. .
But but
when when
you you
actually actually
get get
into into
a a
conversation conversation
, ,
you you
see see
the the
openings opening
. .
CA ca
: :
I i
love love
listening listen
to to
people people
with with
different different
points point
of of
view view
. .
Dialogue dialogue
is be
absolutely absolutely
essential essential
and and
so so
generative generative
. .
But but
once once
we we
leave leave
the the
safe safe
space space
of of
this this
conversation conversation
, ,
we we
go go
back back
out out
into into
a a
world world
that that
is be
rife rife
with with
power power
dynamics dynamics
and and
institutionalized institutionalize
, ,
structural structural
inequities inequity
. .
And and
we we
have have
to to
just just
acknowledge acknowledge
that that
fact fact
. .
RN rn
: :
So so
I i
think think
it it
' '
s s
not not
a a
bad bad
thing thing
to to
listen listen
and and
then then
apply apply
your your
own own
judgment judgment
to to
what what
you you
' '
ve ve
heard hear
. .
And and
is be
it it
self-serving self-serving
or or
not not
, ,
and and
what what
nuggets nugget
of of
truth truth
or or
what what
pieces piece
of of
data datum
are be
there there
? ?
MB mb
: :
What what
we we
don don
' '
t t
want want
to to
lose lose
is be
that that
ultimately ultimately
there there
are be
people people
at at
the the
heart heart
of of
systems system
. .
And and
systems system
change change
will will
sometimes sometimes
fail fail
just just
because because
two two
folks folk
cannot can
get get
along along
with with
each each
other other
. .
Jade jade
Begay begay
: :
I i
think think
we we
overlook overlook
relationship relationship
building building
as as
kind kind
of of
cheesy cheesy
or or
corny corny
, ,
but but
ask ask
any any
person person
who who
' '
s s
built build
change change
over over
time time
, ,
and and
it it
happens happen
through through
relationships relationship
. .
MR mr
: :
I i
was be
very very
affected affect
, ,
as as
were be
the the
other other
women woman
leaders leader
, ,
when when
Jade jade
said say
, ,
" "
In in
our our
tribe tribe
in in
New new
Mexico mexico
, ,
we we
say say
, ,
' '
What what
if if
our our
best good
times time
are be
still still
ahead ahead
of of
us us
? ?
' '
" "
Our our
best good
times time
are be
still still
ahead ahead
of of
us us
. .
But but
so so
are be
our our
worst bad
times time
. .
We we
have have
that that
choice choice
. .
And and
of of
course course
, ,
we we
have have
to to
choose choose
our our
best good
times time
and and
we we
have have
to to
know know
how how
difficult difficult
it it
is be
. .
And and
yet yet
, ,
Nelson nelson
Mandela mandela
famously famously
said say
" "
it it
always always
seems seem
impossible impossible
until until
it it
is be
done do
. .
" "
And and
I i
love love
that that
phrase phrase
. .
