When when
, ,
you you
being being
you you
, ,
you you
probably probably
have have
the the
impulse impulse
to to
guard guard
very very
carefully carefully
what what
' '
s s
inside inside
your your
own own
suitcase suitcase
. .
And and
that that
' '
s s
okay okay
. .
But but
occasionally occasionally
, ,
just just
occasionally occasionally
, ,
I i
hope hope
you you
will will
open open
up up
your your
suitcases suitcase
for for
other other
people people
to to
see see
, ,
because because
the the
world world
needs need
you you
and and
it it
needs need
the the
things thing
you you
carry carry
. .
So so
I i
wish wish
you you
the the
best good
of of
all all
possible possible
journeys journey
and and
the the
courage courage
to to
speak speak
softly softly
. .
Thank thank
you you
very very
much much
. .
Thank thank
you you
. .
Thank thank
you you
. .
